checked_date,object,id,sign,target_frame,source_class,position_1based,text_length,prev2,prev,next,terminal_after_sign,symbol,cult,complete,condition,text
2026-05-31,M-1749,2195.1,125,False,metadata_same_register_background,3,4,220,455,031,False,Bull1:W,SAN,Y,Poor,+220-455-125-031+
2026-05-31,M-1903,2471.1,125,False,metadata_same_register_background,3,3,740,861,,True,Buff,Trough,Y,Fair,+740-861-125+
2026-05-31,M-5,2534.1,692,False,metadata_same_register_background,6,6,235,060,,True,Bull1:W,SAF,Y,Fair,+740-773-240-235-060-692+
2026-05-31,M-21,2549.1,692,False,metadata_same_register_background,5,8,740,362,032,False,Bull1:W,SAN,Y,Good,+350-001-740-362-692-032-002-861+
2026-05-31,M-23,2551.1,692,False,metadata_same_register_background,8,13,482,060,520,False,Bull1:W,RAF,Y,Good,+842-871-192-368/740-482-060-692-520-220-235-001-920+
2026-05-31,M-26,2554.1,692,False,metadata_same_register_background,5,5,531,060,,True,Bull1:J,RBN,Y,Good,+090-740-531-060-692+
2026-05-31,M-55,2583.1,692,False,metadata_same_register_background,6,6,510,001,,True,Bull1:W,SAF,N,Fair,+000-760-463-510-001-692+
2026-05-31,M-69,2597.1,692,False,metadata_same_register_background,5,5,231,060,,True,Bull1:I,SAN,Y,Fair,+740-803-231-060-692+
2026-05-31,M-126,2653.1,692,False,metadata_same_register_background,4,4,552,060,,True,Bull1:U,SAN,Y,Fair,+520-552-060-692+
2026-05-31,M-134,2661.1,692,False,metadata_same_register_background,3,3,872,032,,True,Bull1:W,SAF,Y,Good,+872-032-692+
2026-05-31,M-146,2673.1,692,False,metadata_same_register_background,5,5,920,060,,True,Bull1:J,RAF,Y,Poor,+740-255-920-060-692+
2026-05-31,M-171,2696.1,692,False,metadata_same_register_background,8,8,806,060,,True,Bull1:W,SAN,Y,Fair,+407-061-740-923-233-806-060-692+
2026-05-31,M-234,2757.1,692,False,metadata_same_register_background,8,13,482,060,520,False,Gaur,Trough,Y,Fair,+842-535-099-004/740-482-060-692-520-220-235-001-920+
2026-05-31,M-291,2811.1,692,False,metadata_same_register_background,3,3,740,890,,True,Othr,None,Y,Fair,+740-890-692+
2026-05-31,M-317,2835.1,692,False,metadata_same_register_background,3,5,255,060,401,False,Bull1,SAN,Y,Poor,+255-060-692-401-920+
2026-05-31,M-626,3077.1,692,False,metadata_same_register_background,7,13,803,060,740,False,Bull1:J,S,Y,Fair,+842-374-125/740-803-060-692-740-690-435-255-060-692+
2026-05-31,M-626,3077.1,692,False,metadata_same_register_background,13,13,255,060,,True,Bull1:J,S,Y,Fair,+842-374-125/740-803-060-692-740-690-435-255-060-692+
2026-05-31,M-666,3105.1,692,False,metadata_same_register_background,5,5,231,060,,True,Bull1,R,Y,Poor,+740-440-231-060-692+
2026-05-31,M-682,2214.1,692,False,metadata_same_register_background,10,16,803,060,740,False,None,None,N,Poor,+000-000-000-000-000-000/740-803-060-692-740-690-435-255-060-692+
2026-05-31,M-682,2214.1,692,False,metadata_same_register_background,16,16,255,060,,True,None,None,N,Poor,+000-000-000-000-000-000/740-803-060-692-740-690-435-255-060-692+
2026-05-31,M-751,3174.1,692,False,metadata_same_register_background,1,2,,,451,False,Bull1:W,SAN,Y,Fair,+692-451+
2026-05-31,M-1111,3482.1,692,False,metadata_same_register_background,5,5,745,924,,True,Zebu,None,Y,Good,+740-798-745-924-692+
2026-05-31,M-1127,3496.1,692,False,metadata_same_register_background,2,6,,060,740,False,Buff,Trough,Y,Fair,+060-692/740-269-140-002+
2026-05-31,M-1165,3525.1,692,False,metadata_same_register_background,6,6,140,060,,True,Tigr,Trough,Y,Good,+090-740-920-140-060-692+
2026-05-31,M-1181,3537.1,692,False,metadata_same_register_background,5,5,231,060,,True,Anth,None,Y,Good,+740-927-231-060-692+
2026-05-31,M-1189,3540.1,692,False,metadata_same_register_background,3,7,861,892,000,False,-,-,N,Poor,]861-892-692/000-220-002-824[
2026-05-31,M-1683,2218.1,692,False,metadata_same_register_background,5,5,467,001,,True,Bull1:W,SAN,Y,Good,+155-806-467-001-692+
2026-05-31,M-1715,2385.1,692,False,metadata_same_register_background,6,6,705,060,,True,Bull1:J,RAF,Y,Good,+740-923-033-705-060-692+
2026-05-31,M-1738,2428.1,692,False,metadata_same_register_background,5,5,235,060,,True,Bull1:S,SAN,Y,Poor,+226-240-235-060-692+
2026-05-31,M-1747,2455.1,692,False,metadata_same_register_background,5,5,031,060,,True,Bull1:S,SAN,Y,Poor,+165-741-031-060-692+
2026-05-31,M-1786,2500.1,692,False,metadata_same_register_background,3,3,000,060,,True,Bull1,RBN,N,Poor,]000-060-692+
2026-05-31,M-1901,2402.1,692,False,metadata_same_register_background,6,6,002,252,,True,Zebu,None,Y,Good,+151-061/156-002-252-692+
