checked_date,row_id,object,site,type,symbol,cult,prev_before_002,left3_before_002,head_after_002,head_classifier_class,branch_after_head,tail_after_head,full_tail_after_002,terminal_after_head,tail_has_125,p086_head_390_405,p086_extension_390_405_392,closure_head_817_820_861,broad_open_head,text
2026-05-31,2569.1,M-41,Mohenjo-daro,SEAL:S,Bull1:W,SAN,235,240 233 235,405,formula_locked_nonterminal_head,125,125 820,405 125 820,false,true,true,true,false,false,+740-636-240-233-235-002-405-125-820+
2026-05-31,2574.1,M-46,Mohenjo-daro,SEAL:S,Bull1:W,SAN,235,798 240 235,220,open_selector_head,065,065 215,220 065 215,false,false,false,false,false,true,+740-798-240-235-002-220-065-215+
2026-05-31,2575.1,M-47,Mohenjo-daro,SEAL:S,Bull1:J,SA,235,740 760 235,861,closure_head,<END>,<END>,861,true,false,false,false,true,false,+740-760-235-002-861+
2026-05-31,2594.1,M-66,Mohenjo-daro,SEAL:S,Bull1:J,RBF,235,390 590 235,374,open_selector_head,309,309 350,374 309 350,false,false,false,false,false,true,+740-390-590-235-002-374-309-350+
2026-05-31,2762.1,M-239,Mohenjo-daro,SEAL:S,Gaur,Trough,235,760 921 235,112,low_count_unclassified,<END>,<END>,112,true,false,false,false,false,false,+740-760-921-235-002-112+
2026-05-31,2832.1,M-314,Mohenjo-daro,SEAL:S,None,None,235,231 240 235,820,closure_head,<END>,<END>,820,true,false,false,false,true,false,+953-817-390-125-308-809-033/740-760-706-466/520-231-240-235-002-820+
2026-05-31,2851.1,M-355,Mohenjo-daro,SEAL:R,None,None,235,705 231 235,861,closure_head,360,360 520 919 140,861 360 520 919 140,false,false,false,false,true,false,+740-877-032-033-705-231-235-002-861-360-520-919-140+
2026-05-31,3096.1,M-653,Mohenjo-daro,SEAL:S,Bull1:W,SAF,235,679 740 235,861,closure_head,<END>,<END>,861,true,false,false,false,true,false,+679-740-235-002-861+
2026-05-31,3130.1,M-703,Mohenjo-daro,SEAL:S,Bull1:W,SAF,235,000 233 235,817,closure_head,<END>,<END>,817,true,false,false,false,true,false,+000-000-233-235-002-817+
2026-05-31,3159.1,M-735,Mohenjo-daro,SEAL:S,Bull1:U,HAF,235,740 760 235,390,open_selector_head,125,125 195,390 125 195,false,true,true,true,false,true,+740-760-235-002-390-125-195+
2026-05-31,3202.1,M-788,Mohenjo-daro,SEAL:S,Bull1:J,SAN,235,740 482 235,824,closure_head,<END>,<END>,824,true,false,false,false,false,false,+740-482-235-002-824+
2026-05-31,3302.1,M-897,Mohenjo-daro,SEAL:S,Bull1,-,235,527 550 235,817,closure_head,<END>,<END>,817,true,false,false,false,true,false,+527-550-235-002-817+
2026-05-31,3329.1,M-934,Mohenjo-daro,SEAL:S,Bull1:W,SAF,235,526 555 235,861,closure_head,<END>,<END>,861,true,false,false,false,true,false,+526-555-235-002-861+
2026-05-31,3456.1,M-1082,Mohenjo-daro,SEAL:S,-,-,235,000 235,065,low_count_unclassified,834,834,065 834,false,false,false,false,false,false,]000-235-002-065-834+
2026-05-31,3513.1,M-1152,Mohenjo-daro,SEAL:S,Elep,Trough,235,032 840 235,861,closure_head,<END>,<END>,861,true,false,false,false,true,false,+740-032-840-235-002-861+
2026-05-31,3648.1,M-1343,Mohenjo-daro,SEAL,None,None,235,390 590 235,861,closure_head,<END>,<END>,861,true,false,false,false,true,false,+740-390-590-235-002-861+
2026-05-31,3682.1,M-1386,Mohenjo-daro,TAB:B,-,-,235,000 335 235,031,open_selector_head,480,480,031 480,false,false,false,false,false,true,]000-000-335-235-002-031-480[
2026-05-31,3896.1,-:3896.1,Unknown,SEAL:S,Bull1:W,SAF,235,740 222 235,820,closure_head,<END>,<END>,820,true,false,false,false,true,false,+740-222-235-002-820+
2026-05-31,3925.1,H-1048,Harappa,SEAL:S,Bull1:W,SAF,235,032 840 235,817,closure_head,<END>,<END>,817,true,false,false,false,true,false,+740-032-840-235-002-817+
2026-05-31,4155.1,-:4155.1,Gonur Depe,SEAL:S,Elep,None,235,125 220 235,285,low_count_unclassified,<END>,<END>,285,true,false,false,false,false,false,+740-390-590-125-220-235-002-285+
2026-05-31,4211.1,-:4211.1,Dholavira,SEAL,-,-,235,740 100 235,817,closure_head,<END>,<END>,817,true,false,false,false,true,false,+740-100-235-002-817+
2026-05-31,4244.1,-:4244.1,Dholavira,MISC,-,-,235,705 233 235,457,low_count_unclassified,<END>,<END>,457,true,false,false,false,false,false,+033-705-233-235-002-457+
