rank,queue_bucket,partition_class,y_after_002,y_terminal,post_y_len,cisi,id,site,type,symbol,material,condition,dir,idx_002,prev2_before_002,prev1_before_002,next1_after_y,next2_after_y,text,source_grade,source_grade_label,source_hint_count,best_source_rank,best_source_file,best_status_text,best_source_url,best_local_image,best_sha256,best_note,source_files,queue_reason
11,priority_branch_pole_source_check,posthoc_branch_pole,368,false,2,B-1,27.1,Banawali,SEAL:S,Bull1:O,Steatite,Fair,R/L,3,740,220,550,821,+090-740-220-002-368-550-821+,2,local_image_or_public_route_candidate,2,65,campaign_002_y_branch_gap_public_source_status.csv,"public_cisi_plate_route_candidate | source_route_inventory_only | Needs visual source-panel review, token boxing, side/direction check, and matched negatives before source-normalized evidence.",https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n379_w2000.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/B_1_cisi_india_n379_1_context_enhanced_x2.jpg,6f3afc580013a6f6d171aca10682ab7ca1f1792c9277848c75688a47660afa54,Supplemental public CISI route for branch-pole gap sign 368; not token-boxed or source-normalized.,campaign_002_y_branch_gap_public_routes.csv;campaign_002_y_branch_gap_public_source_status.csv;campaign_002_y_branch_gap_public_source_summary.json,Branch-pole sign 368 has existing source evidence and should be used to avoid overfitting the branch pole to metadata only.
12,priority_branch_pole_source_check,posthoc_branch_pole,368,false,4,K-10,1885.1,Kalibangan,SEAL:S,Bull1:I,Steatite,Fine,R/L,4,435,255,861,590,+740-690-435-255-002-368-861-590-032-368+,2,local_image_or_public_route_candidate,2,65,campaign_002_y_branch_gap_public_source_status.csv,"public_cisi_plate_route_candidate | source_route_inventory_only | Needs visual source-panel review, token boxing, side/direction check, and matched negatives before source-normalized evidence.",https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n336_w2000.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/K_10_cisi_india_n336_1_context_enhanced_x2.jpg,61a6da5019525f6adf65a19ef01660f7ee16059b53067c5418ad0e69d8e1bc11,Supplemental public CISI route for branch-pole gap sign 368; not token-boxed or source-normalized.,campaign_002_y_branch_gap_public_routes.csv;campaign_002_y_branch_gap_public_source_status.csv;campaign_002_y_branch_gap_public_source_summary.json,Branch-pole sign 368 has existing source evidence and should be used to avoid overfitting the branch pole to metadata only.
13,priority_branch_pole_source_check,posthoc_branch_pole,368,false,1,M-311,2830.1,Mohenjo-daro,SEAL:S,Comp,Steatite,Good,R/L,1,<START>,401,165,<END>,+401-002-368-165+,2,local_image_or_public_route_candidate,2,65,campaign_002_y_branch_gap_public_source_status.csv,"public_cisi_plate_route_candidate | source_route_inventory_only | Needs visual source-panel review, token boxing, side/direction check, and matched negatives before source-normalized evidence.",https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n112_w2000.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_311_cisi_india_n112_1_context_enhanced_x2.jpg,de02d7c8fd33543881a96a393352c93719affa2a17df86d4e55298a8b8b5b84b,Supplemental public CISI route for branch-pole gap sign 368; not token-boxed or source-normalized.,campaign_002_y_branch_gap_public_routes.csv;campaign_002_y_branch_gap_public_source_status.csv;campaign_002_y_branch_gap_public_source_summary.json,Branch-pole sign 368 has existing source evidence and should be used to avoid overfitting the branch pole to metadata only.
14,priority_branch_pole_source_check,posthoc_branch_pole,031,false,2,H-389,1402.1,Harappa,SEAL:S,Bull1:W,NA,Good,R/L,4,590,235,480,625,+740-405-590-235-002-031-480-625+,2,local_image_or_public_route_candidate,1,65,campaign_002_y_branch_gap_public_source_status.csv,"public_cisi_plate_route_candidate | source_route_inventory_only | Needs visual source-panel review, token boxing, side/direction check, and matched negatives before source-normalized evidence.",https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n294_w2000.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/H_389_cisi_pakistan_n294_1_context_enhanced_x2.jpg,1a9d8722f1d20562f14a0580bc40580d7a5a64003e079c022601d87b2e4a9415,Supplemental public CISI route for branch-pole gap sign 031; not token-boxed or source-normalized.,campaign_002_y_branch_gap_public_routes.csv;campaign_002_y_branch_gap_public_source_status.csv;campaign_002_y_branch_gap_public_source_summary.json,Branch-pole sign 031 has existing source evidence and should be used to avoid overfitting the branch pole to metadata only.
15,priority_gap_branch_pole_source_dark,posthoc_branch_pole,031,false,1,NA,4164.1,Dholavira,SEAL:R,None,Steatite,Fair,L/R,4,001,423,104,<END>,+423-003-001-423-002-031-104+,1,source_hint_only,4,5,campaign_032_002_branch_tail_source_routes.csv,blocked_until_object_id_resolved,,,,,campaign_032_002_branch_tail_source_routes.csv;campaign_032_002_source_normalized_branch_tail_decisive_rows.csv;campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv,Branch-pole sign 031 lacks local-image/public-route coverage in the current source index; acquire source evidence before source-normalized partition testing.
16,priority_gap_branch_pole_source_dark,posthoc_branch_pole,390,false,5,M-119,2646.1,Mohenjo-daro,SEAL:S,Bull1:S,Steatite,Good,R/L,3,337,484,125,632,+151-337-484-002-390-125-632-032-900-563+,1,source_hint_only,4,30,campaign_032_002_source_normalized_branch_tail_family_rows.csv,not_routed_in_current_packet | needs_source_route | none,,,,,campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Branch-pole sign 390 lacks local-image/public-route coverage in the current source index; acquire source evidence before source-normalized partition testing.
17,priority_gap_branch_pole_source_dark,posthoc_branch_pole,390,false,2,NA,3335.1,Unknown,SEAL:S,Bull1:J,NA,Good,R/L,3,205,032,590,032,+740-205-032-002-390-590-032+,1,source_hint_only,4,5,campaign_032_002_branch_tail_source_routes.csv,blocked_until_object_id_resolved,,,,,campaign_032_002_branch_tail_source_routes.csv;campaign_032_002_source_normalized_branch_tail_decisive_rows.csv;campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv,Branch-pole sign 390 lacks local-image/public-route coverage in the current source index; acquire source evidence before source-normalized partition testing.
18,priority_gap_branch_pole_source_dark,posthoc_branch_pole,390,false,1,NA,4237.1,Dholavira,SEAL:S,Bull1:I,NA,Fair,R/L,3,032,388,705,<END>,+151-032-388-002-390-705+,1,source_hint_only,4,5,campaign_032_002_branch_tail_source_routes.csv,blocked_until_object_id_resolved,,,,,campaign_032_002_branch_tail_source_routes.csv;campaign_032_002_source_normalized_branch_tail_decisive_rows.csv;campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv,Branch-pole sign 390 lacks local-image/public-route coverage in the current source index; acquire source evidence before source-normalized partition testing.
19,priority_gap_branch_pole_source_dark,posthoc_branch_pole,220,false,2,H-268,1293.1,Harappa,SEAL:S,Bull1:W,Steatite,Poor,R/L,6,706,803,455,920,+740-585-017-033-706-803-002-220-455-920+,1,source_hint_only,3,30,campaign_032_002_source_normalized_branch_tail_family_rows.csv,not_routed_in_current_packet | needs_source_route | none,,,,,campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Branch-pole sign 220 lacks local-image/public-route coverage in the current source index; acquire source evidence before source-normalized partition testing.
20,priority_gap_branch_pole_source_dark,posthoc_branch_pole,220,false,2,H-82,1139.1,Harappa,SEAL:S,Gaur,Steatite,Poor,R/L,2,390,017,455,741,+390-017-002-220-455-741+,1,source_hint_only,3,30,campaign_032_002_source_normalized_branch_tail_family_rows.csv,not_routed_in_current_packet | needs_source_route | none,,,,,campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Branch-pole sign 220 lacks local-image/public-route coverage in the current source index; acquire source evidence before source-normalized partition testing.
21,priority_gap_branch_pole_source_dark,posthoc_branch_pole,220,false,3,K-25,1899.1,Kalibangan,SEAL:S,Bull1,Steatite,Poor,R/L,2,520,231,065,132,+520-231-002-220-065-132-082+,1,source_hint_only,3,30,campaign_032_002_source_normalized_branch_tail_family_rows.csv,not_routed_in_current_packet | needs_source_route | none,,,,,campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Branch-pole sign 220 lacks local-image/public-route coverage in the current source index; acquire source evidence before source-normalized partition testing.
22,priority_gap_branch_pole_source_dark,posthoc_branch_pole,220,false,3,M-140,2667.1,Mohenjo-daro,SEAL:S,Bull1:S,Faience,Good,R/L,2,740,336,065,440,+740-336-002-220-065-440-455+,1,source_hint_only,3,30,campaign_032_002_source_normalized_branch_tail_family_rows.csv,not_routed_in_current_packet | needs_source_route | none,,,,,campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Branch-pole sign 220 lacks local-image/public-route coverage in the current source index; acquire source evidence before source-normalized partition testing.
23,priority_gap_branch_pole_source_dark,posthoc_branch_pole,220,false,2,M-147,2674.1,Mohenjo-daro,SEAL:S,Bull1:J,Steatite,Good,R/L,2,226,803,455,520,+226-803-002-220-455-520+,1,source_hint_only,3,30,campaign_032_002_source_normalized_branch_tail_family_rows.csv,not_routed_in_current_packet | needs_source_route | none,,,,,campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Branch-pole sign 220 lacks local-image/public-route coverage in the current source index; acquire source evidence before source-normalized partition testing.
24,priority_gap_branch_pole_source_dark,posthoc_branch_pole,220,false,2,M-46,2574.1,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,Good,R/L,4,240,235,065,215,+740-798-240-235-002-220-065-215+,1,source_hint_only,3,30,campaign_032_002_source_normalized_branch_tail_family_rows.csv,not_routed_in_current_packet | needs_source_route | none,,,,,campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Branch-pole sign 220 lacks local-image/public-route coverage in the current source index; acquire source evidence before source-normalized partition testing.
25,priority_gap_branch_pole_source_dark,posthoc_branch_pole,390,false,1,M-1825,3992.1,Mohenjo-daro,SEAL:S,Bull1,NA,Fair,R/L,2,157,031,705,<END>,+157-031-002-390-705+,1,source_hint_only,3,30,campaign_032_002_source_normalized_branch_tail_family_rows.csv,not_routed_in_current_packet | needs_source_route | none,,,,,campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Branch-pole sign 390 lacks local-image/public-route coverage in the current source index; acquire source evidence before source-normalized partition testing.
26,priority_gap_branch_pole_source_dark,posthoc_branch_pole,390,false,2,M-735,3159.1,Mohenjo-daro,SEAL:S,Bull1:U,Steatite,Poor,R/L,3,760,235,125,195,+740-760-235-002-390-125-195+,1,source_hint_only,3,30,campaign_032_002_source_normalized_branch_tail_family_rows.csv,not_routed_in_current_packet | needs_source_route | none,,,,,campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Branch-pole sign 390 lacks local-image/public-route coverage in the current source index; acquire source evidence before source-normalized partition testing.
27,priority_gap_branch_pole_source_dark,posthoc_branch_pole,390,false,2,Sktd-1,3875.1,Surkotada,SEAL:S,Bull1,NA,Poor,R/L,2,390,004,125,820,+390-004-002-390-125-820+,1,source_hint_only,3,30,campaign_032_002_source_normalized_branch_tail_family_rows.csv,not_routed_in_current_packet | needs_source_route | none,,,,,campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Branch-pole sign 390 lacks local-image/public-route coverage in the current source index; acquire source evidence before source-normalized partition testing.
28,priority_gap_branch_pole_source_dark,posthoc_branch_pole,031,false,1,H-44,1103.1,Harappa,SEAL:S,Bull1:W,Steatite,Good,R/L,6,798,803,892,<END>,+520-033-706-235-798-803-002-031-892+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Branch-pole sign 031 lacks local-image/public-route coverage in the current source index; acquire source evidence before source-normalized partition testing.
29,priority_gap_branch_pole_source_dark,posthoc_branch_pole,031,false,1,M-1745,2393.1,Mohenjo-daro,SEAL:S,Bull1:L,Steatite,Fair,R/L,4,055,031,892,<END>,+368-821-055-031-002-031-892+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Branch-pole sign 031 lacks local-image/public-route coverage in the current source index; acquire source evidence before source-normalized partition testing.
30,priority_gap_branch_pole_source_dark,posthoc_branch_pole,031,false,1,M-1823,3991.1,Mohenjo-daro,SEAL:S,Bull1:S,NA,Good,R/L,2,390,004,376,<END>,+390-004-002-031-376+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Branch-pole sign 031 lacks local-image/public-route coverage in the current source index; acquire source evidence before source-normalized partition testing.
31,priority_gap_branch_pole_source_dark,posthoc_branch_pole,031,false,1,M-211,2735.1,Mohenjo-daro,SEAL:S,Bull1:S,Steatite,Fair,R/L,4,100,220,165,<END>,+090-740-100-220-002-031-165+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Branch-pole sign 031 lacks local-image/public-route coverage in the current source index; acquire source evidence before source-normalized partition testing.
32,priority_gap_branch_pole_source_dark,posthoc_branch_pole,368,false,2,?-3,3892.1,Unknown,SEAL:S,None,NA,Poor,R/L,0,<START>,<START>,590,900,+002-368-590-900+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Branch-pole sign 368 lacks local-image/public-route coverage in the current source index; acquire source evidence before source-normalized partition testing.
33,priority_gap_branch_pole_source_dark,posthoc_branch_pole,368,false,1,Blk-2,20.1,Bala-kot,SEAL:S,Bull1,NA,Poor,R/L,3,717,061,634,<END>,+390-717-061-002-368-634+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Branch-pole sign 368 lacks local-image/public-route coverage in the current source index; acquire source evidence before source-normalized partition testing.
34,priority_gap_branch_pole_source_dark,posthoc_branch_pole,368,false,1,M-1789,2366.1,Mohenjo-daro,SEAL:S,Bull1:I,Faience,Good,R/L,2,740,455,260,<END>,+740-455-002-368-260+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Branch-pole sign 368 lacks local-image/public-route coverage in the current source index; acquire source evidence before source-normalized partition testing.
35,priority_gap_branch_pole_source_dark,posthoc_branch_pole,368,false,1,M-253,2776.1,Mohenjo-daro,SEAL:S,Gaur,Steatite,Good,R/L,3,550,803,518,<END>,+527-550-803-002-368-518+,1,source_hint_only,2,0,effective_unicity_directionality_source_queue_source_index.csv,,,,,,effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv,Branch-pole sign 368 lacks local-image/public-route coverage in the current source index; acquire source evidence before source-normalized partition testing.
36,priority_gap_branch_pole_source_dark,posthoc_branch_pole,368,false,2,M-36,2564.1,Mohenjo-daro,SEAL:S,Bull1:S,Steatite,Good,R/L,5,220,032,906,329,+740-794-630-220-032-002-368-906-329+,1,source_hint_only,2,0,campaign_032_002_tail_source_queue.csv,,,,,,campaign_032_002_tail_source_queue.csv;effective_unicity_directionality_source_queue_source_index.csv,Branch-pole sign 368 lacks local-image/public-route coverage in the current source index; acquire source evidence before source-normalized partition testing.
