"row_id","cisi","subtype","target_label","is_h_series","priority","type","site","sides","direction","short_side_index","order","short_text","context_class","side_relation","longer_row_count","longer_texts","sequence_family_key","horizontal_mm","vertical_mm","thickness_mm","h_bin","v_bin","area_bin","aspect_bin","th_bin","long_family","long_token_set","long_edge_frames","long_first_tokens","long_last_tokens","long_length_bin"
"4066.2","H-1270","033","FRAME700_SUBTYPE033","false","P2_tab_i_core_short_queue","TAB:I","Harappa","2","R/L","2","700_first","+700-033+","single_short_no_longer_text","no_longer_text","0","","1:+368-000+|2:+700-033+","12.7","6.9","","h_10_13","v_lt_7","area_80_120","aspect_1p5_1p9","th_missing","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","long_len_0"
"265.2","H-1273","034","FRAME700_SUBTYPE034","false","P1_mixed_short_long_core","TAB:I","Harappa","2","R/L","2","700_first","+700-034+","single_longer_text","short_after_all_longer","1","+400-740-176+","1:+400-740-176+|2:+700-034+","11.4","7.1","","h_10_13","v_7_8p5","area_80_120","aspect_1p5_1p9","th_missing","+400-740-176+","176;400;740","400...176","400","176","long_len_1_3"
"4068.1","H-1281","032","FRAME700_SUBTYPE032","false","P2_tab_i_core_short_queue","TAB:I","Harappa","2","R/L","1","700_first","+700-032+","single_short_no_longer_text","no_longer_text","0","","1:+700-032+|2:+000[","13.5","8.9","","h_13_16","v_8p5_10","area_120_180","aspect_1p5_1p9","th_missing","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","long_len_0"
"4069.2","H-1284","034","FRAME700_SUBTYPE034","false","P2_tab_i_core_short_queue","TAB:I","Harappa","2","L/R","2","700_first","+700-034+","single_longer_text","short_after_all_longer","1","+520-220-415+","1:+520-220-415+|2:+700-034+","13","7","","h_13_16","v_7_8p5","area_80_120","aspect_1p5_1p9","th_missing","+520-220-415+","220;415;520","520...415","520","415","long_len_1_3"
"264.2","H-1287","033","FRAME700_SUBTYPE033","false","P1_mixed_short_long_core","TAB:I","Harappa","2","R/L","2","700_first","+700-033+","single_longer_text","short_after_all_longer","1","+400-156-140-032+","1:+400-156-140-032+|2:+700-033+","15.2","8.9","","h_13_16","v_8p5_10","area_120_180","aspect_1p5_1p9","th_missing","+400-156-140-032+","032;140;156;400","400...032","400","032","long_len_4_5"
"1061.2","H-1294","032","FRAME700_SUBTYPE032","false","P2_tab_i_core_short_queue","TAB:I","Harappa","2","R/L","2","700_first","+700-032+","single_longer_text","short_after_all_longer","1","+527-550-233+","1:+527-550-233+|2:+700-032+","15.2","7.6","","h_13_16","v_7_8p5","area_80_120","aspect_ge_1p9","th_missing","+527-550-233+","233;527;550","527...233","527","233","long_len_1_3"
"4074.2","H-1295","033","FRAME700_SUBTYPE033","false","P2_tab_i_core_short_queue","TAB:I","Harappa","2","R/L","2","700_first","+700-033+","single_short_no_longer_text","no_longer_text","0","","1:+000-000-000+|2:+700-033+","14","8","","h_13_16","v_7_8p5","area_80_120","aspect_1p5_1p9","th_missing","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","long_len_0"
"4073.2","H-1302","033","FRAME700_SUBTYPE033","false","P1_mixed_short_long_core","TAB:I","Harappa","2","R/L","2","700_first","+700-033+","single_longer_text","short_after_all_longer","1","+400-740-176+","1:+400-740-176+|2:+700-033+","14","6.4","","h_13_16","v_lt_7","area_80_120","aspect_ge_1p9","th_missing","+400-740-176+","176;400;740","400...176","400","176","long_len_1_3"
"4077.2","H-1303","033","FRAME700_SUBTYPE033","false","P1_mixed_short_long_core","TAB:I","Harappa","2","R/L","2","700_first","+700-033+","single_longer_text","short_after_all_longer","1","+400-740-176+","1:+400-740-176+|2:+700-033+","13.2","7.6","","h_13_16","v_7_8p5","area_80_120","aspect_1p5_1p9","th_missing","+400-740-176+","176;400;740","400...176","400","176","long_len_1_3"
"5470.2","H-1304","033","FRAME700_SUBTYPE033","false","P1_mixed_short_long_core","TAB:I","Harappa","2","R/L","2","700_first","+700-033+","single_longer_text","short_after_all_longer","1","+400-740-176+","1:+400-740-176+|2:+700-033+","14.5","","","h_13_16","v_missing","area_missing","aspect_missing","th_missing","+400-740-176+","176;400;740","400...176","400","176","long_len_1_3"
"1058.2","H-1308","033","FRAME700_SUBTYPE033","false","P1_mixed_short_long_core","TAB:I","Harappa","2","L/R","2","700_first","+700-033+","single_longer_text","short_after_all_longer","1","+740-690-636-240+","1:+740-690-636-240+|2:+700-033+","17.8","10.2","","h_ge_16","v_ge_10","area_ge_180","aspect_1p5_1p9","th_missing","+740-690-636-240+","240;636;690;740","740...240","740","240","long_len_4_5"
"257.2","H-1309","032","FRAME700_SUBTYPE032","false","P1_mixed_short_long_core","TAB:I","Harappa","2","L/R","2","700_first","+700-032+","single_longer_text","short_after_all_longer","1","+156-176-741-060-920+","1:+156-176-741-060-920+|2:+700-032+","16.5","7.6","","h_ge_16","v_7_8p5","area_120_180","aspect_ge_1p9","th_missing","+156-176-741-060-920+","060;156;176;741;920","156...920","156","920","long_len_4_5"
"229.2","H-1312","032","FRAME700_SUBTYPE032","false","P1_mixed_short_long_core","TAB:I","Harappa","2","R/L","2","700_first","+700-032+","single_longer_text","short_after_all_longer","1","+740-031-904-001-032+","1:+740-031-904-001-032+|2:+700-032+","13","6","","h_13_16","v_lt_7","area_lt_80","aspect_ge_1p9","th_missing","+740-031-904-001-032+","001;031;032;740;904","740...032","740","032","long_len_4_5"
"4081.2","H-1313","032","FRAME700_SUBTYPE032","false","P2_tab_i_core_short_queue","TAB:I","Harappa","2","R/L","2","700_first","+700-032+","single_short_no_longer_text","no_longer_text","0","","1:+740-840-000+|2:+700-032+","15","6","1.5","h_13_16","v_lt_7","area_80_120","aspect_ge_1p9","th_lt_3","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","long_len_0"
"255.1","H-1319","032","FRAME700_SUBTYPE032","false","P2_tab_i_core_short_queue","TAB:I","Harappa","2","R/L","1","700_first","+700-032+","all_short_or_no_longer_text","no_longer_text","0","","1:+700-032+|2:+400-678+","17.8","8.9","","h_ge_16","v_8p5_10","area_120_180","aspect_ge_1p9","th_missing","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","long_len_0"
"4072.2","H-1320","032","FRAME700_SUBTYPE032","false","P2_tab_i_core_short_queue","TAB:I","Harappa","2","R/L","2","700_first","+700-032+","all_short_or_no_longer_text","no_longer_text","0","","1:+400-678+|2:+700-032+","17","10","","h_ge_16","v_ge_10","area_120_180","aspect_1p5_1p9","th_missing","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","long_len_0"
"317.2","H-1321","032","FRAME700_SUBTYPE032","false","P1_mixed_short_long_core","TAB:B","Harappa","2","R/L","2","700_first","+700-032+","single_longer_text","short_after_all_longer","1","+400-226-032+","1:+400-226-032+|2:+700-032+","16.5","10.2","","h_ge_16","v_ge_10","area_120_180","aspect_1p5_1p9","th_missing","+400-226-032+","032;226;400","400...032","400","032","long_len_1_3"
"282.1","H-1330","032","FRAME700_SUBTYPE032","false","P2_tab_i_core_short_queue","TAB:I","Harappa","2","R/L","1","700_first","+700-032+","all_short_or_no_longer_text","no_longer_text","0","","1:+700-032+|2:+520-220+","","","","h_missing","v_missing","area_missing","aspect_missing","th_missing","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","long_len_0"
"4085.2","H-1344","033","FRAME700_SUBTYPE033","false","P1_mixed_short_long_core","TAB:I","Harappa","2","R/L","2","700_first","+700-033+","single_longer_text","short_after_all_longer","1","+400-740-176+","1:+400-740-176+|2:+700-033+","14","8","","h_13_16","v_7_8p5","area_80_120","aspect_1p5_1p9","th_missing","+400-740-176+","176;400;740","400...176","400","176","long_len_1_3"
"4086.2","H-1345","033","FRAME700_SUBTYPE033","false","P1_mixed_short_long_core","TAB:I","Harappa","2","R/L","2","700_first","+700-033+","single_longer_text","short_after_all_longer","1","+400-740-176+","1:+400-740-176+|2:+700-033+","14.5","6.4","","h_13_16","v_lt_7","area_80_120","aspect_ge_1p9","th_missing","+400-740-176+","176;400;740","400...176","400","176","long_len_1_3"
"4087.2","H-1346","033","FRAME700_SUBTYPE033","false","P1_mixed_short_long_core","TAB:I","Harappa","2","R/L","2","700_first","+700-033+","single_longer_text","short_after_all_longer","1","+400-740-176+","1:+400-740-176+|2:+700-033+","10.2","6.4","","h_10_13","v_lt_7","area_lt_80","aspect_1p5_1p9","th_missing","+400-740-176+","176;400;740","400...176","400","176","long_len_1_3"
"4088.2","H-1347","033","FRAME700_SUBTYPE033","false","P1_mixed_short_long_core","TAB:I","Harappa","2","R/L","2","700_first","+700-033+","single_longer_text","short_after_all_longer","1","+400-740-176+","1:+400-740-176+|2:+700-033+","","7.6","","h_missing","v_7_8p5","area_missing","aspect_missing","th_missing","+400-740-176+","176;400;740","400...176","400","176","long_len_1_3"
"4089.2","H-1348","033","FRAME700_SUBTYPE033","false","P2_tab_i_core_short_queue","TAB:I","Harappa","2","R/L","2","700_first","+700-033+","single_short_no_longer_text","no_longer_text","0","","1:]740-176+|2:+700-033+","","6.4","","h_missing","v_lt_7","area_missing","aspect_missing","th_missing","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","long_len_0"
"222.3","H-1354","034","FRAME700_SUBTYPE034","false","P1_mixed_short_long_core","TAB:I","Harappa","3","R/L","3","700_first","+700-034+","multiple_longer_texts","short_after_all_longer","2","+740-714-840-799+|+824-032-578-415+","1:+824-032-578-415+|2:+740-714-840-799+|3:+700-034+","16.3","6.4","","h_ge_16","v_lt_7","area_80_120","aspect_ge_1p9","th_missing","+740-714-840-799+|+824-032-578-415+","032;415;578;714;740;799;824;840","740...799;824...415","740;824","415;799","long_len_4_5"
"758.2","H-1768","033","FRAME700_SUBTYPE033","false","P2_tab_b_core_short_queue","TAB:B","Harappa","2","R/L","2","700_first","+700-033+","single_short_no_longer_text","no_longer_text","0","","1:+144+|2:+700-033+","11.2","11.2","2","h_10_13","v_ge_10","area_120_180","aspect_lt_1p5","th_lt_3","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","long_len_0"
"371.1","H-1771","032","FRAME700_SUBTYPE032","false","P1_mixed_short_long_core","TAB:B","Harappa","2","L/R","1","700_first","+700-032+","single_longer_text","short_before_all_longer","1","+740-031-001-140+","1:+700-032+|2:+740-031-001-140+","16","7.5","","h_ge_16","v_7_8p5","area_120_180","aspect_ge_1p9","th_missing","+740-031-001-140+","001;031;140;740","740...140","740","140","long_len_4_5"
"400.1","H-1772","032","FRAME700_SUBTYPE032","false","P1_mixed_short_long_core","TAB:B","Harappa","2","R/L","1","700_first","+700-032+","single_longer_text","short_before_all_longer","1","+740-031-001-140+","1:+700-032+|2:+740-031-001-140+","17","8.8","2.1","h_ge_16","v_8p5_10","area_120_180","aspect_ge_1p9","th_lt_3","+740-031-001-140+","001;031;140;740","740...140","740","140","long_len_4_5"
"383.1","H-1773","032","FRAME700_SUBTYPE032","false","P1_mixed_short_long_core","TAB:B","Harappa","2","L/R","1","700_first","+700-032+","single_longer_text","short_before_all_longer","1","+740-031-001-140+","1:+700-032+|2:+740-031-001-140+","16.3","7","1.6","h_ge_16","v_7_8p5","area_80_120","aspect_ge_1p9","th_lt_3","+740-031-001-140+","001;031;140;740","740...140","740","140","long_len_4_5"
"1021.2","H-1774","032","FRAME700_SUBTYPE032","false","P1_mixed_short_long_core","TAB:B","Harappa","2","R/L","2","700_first","+700-032+","single_longer_text","short_after_all_longer","1","+400-740-335-482-175+","1:+400-740-335-482-175+|2:+700-032+","25","10.7","5.3","h_ge_16","v_ge_10","area_ge_180","aspect_ge_1p9","th_ge_5","+400-740-335-482-175+","175;335;400;482;740","400...175","400","175","long_len_4_5"
"570.1","H-1797","032","FRAME700_SUBTYPE032","false","P1_mixed_short_long_core","TAB:B","Harappa","2","L/R","1","700_last","+032-700+","single_longer_text","short_before_all_longer","1","+740-690-435-255-055+","1:+032-700+|2:+740-690-435-255-055+","19.5","9.2","3.9","h_ge_16","v_8p5_10","area_120_180","aspect_ge_1p9","th_3_5","+740-690-435-255-055+","055;255;435;690;740","740...055","740","055","long_len_4_5"
"477.1","H-1804","032","FRAME700_SUBTYPE032","false","P2_tab_b_core_short_queue","TAB:B","Harappa","2","R/L","1","700_first","+700-032+","single_short_no_longer_text","no_longer_text","0","","1:+700-032+|2:+000-591+","15","9","3.3","h_13_16","v_8p5_10","area_120_180","aspect_1p5_1p9","th_3_5","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","long_len_0"
"624.1","H-1817","034","FRAME700_SUBTYPE034","false","P1_mixed_short_long_core","TAB:B","Harappa","2","R/L","1","700_first","+700-034+","single_longer_text","short_before_all_longer","1","+400-525-554+","1:+700-034+|2:+400-525-554+","13.5","8","3.3","h_13_16","v_7_8p5","area_80_120","aspect_1p5_1p9","th_3_5","+400-525-554+","400;525;554","400...554","400","554","long_len_1_3"
"550.1","H-1822","033","FRAME700_SUBTYPE033","false","P1_mixed_short_long_core","TAB:B","Harappa","2","R/L","1","700_first","+700-033+","single_longer_text","short_before_all_longer","1","+400-740-176-519+","1:+700-033+|2:+400-740-176-519+","17.5","10.5","3.5","h_ge_16","v_ge_10","area_ge_180","aspect_1p5_1p9","th_3_5","+400-740-176-519+","176;400;519;740","400...519","400","519","long_len_4_5"
"649.1","H-1823","034","FRAME700_SUBTYPE034","false","P1_mixed_short_long_core","TAB:B","Harappa","2","R/L","1","700_first","+700-034+","single_longer_text","short_before_all_longer","1","+400-740-798-365-415-001+","1:+700-034+|2:+400-740-798-365-415-001+","13.5","7.5","3.2","h_13_16","v_7_8p5","area_80_120","aspect_1p5_1p9","th_3_5","+400-740-798-365-415-001+","001;365;400;415;740;798","400...001","400","001","long_len_6_plus"
"646.1","H-1824","034","FRAME700_SUBTYPE034","false","P1_mixed_short_long_core","TAB:B","Harappa","2","R/L","1","700_first","+700-034+","single_longer_text","short_before_all_longer","1","+740-176-031-060-201+","1:+700-034+|2:+740-176-031-060-201+","15.7","7.3","4.3","h_13_16","v_7_8p5","area_80_120","aspect_ge_1p9","th_3_5","+740-176-031-060-201+","031;060;176;201;740","740...201","740","201","long_len_4_5"
"467.1","H-1825","034","FRAME700_SUBTYPE034","false","P1_mixed_short_long_core","TAB:B","Harappa","2","L/R","1","700_first","+700-034+","single_longer_text","short_before_all_longer","1","+740-176-220+","1:+700-034+|2:+740-176-220+","14","7.7","2.5","h_13_16","v_7_8p5","area_80_120","aspect_1p5_1p9","th_lt_3","+740-176-220+","176;220;740","740...220","740","220","long_len_1_3"
"895.2","H-1828","034","FRAME700_SUBTYPE034","false","P2_tab_b_core_short_queue","TAB:B","Harappa","2","R/L","2","700_first","+700-034+","all_short_or_no_longer_text","no_longer_text","0","","1:+156-176+|2:+700-034+","12.5","7","5","h_10_13","v_7_8p5","area_80_120","aspect_1p5_1p9","th_ge_5","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","long_len_0"
"890.2","H-1829","034","FRAME700_SUBTYPE034","false","P2_tab_b_core_short_queue","TAB:B","Harappa","2","R/L","2","700_first","+700-034+","all_short_or_no_longer_text","no_longer_text","0","","1:+156-176+|2:+700-034+","12.6","7","4.5","h_10_13","v_7_8p5","area_80_120","aspect_1p5_1p9","th_3_5","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","long_len_0"
"773.1","H-1830","034","FRAME700_SUBTYPE034","false","P2_tab_b_core_short_queue","TAB:B","Harappa","2","R/L","1","700_first","+700-034+","all_short_or_no_longer_text","no_longer_text","0","","1:+700-034+|2:+156-176+","11.2","6.5","5","h_10_13","v_lt_7","area_lt_80","aspect_1p5_1p9","th_ge_5","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","long_len_0"
"772.1","H-1831","034","FRAME700_SUBTYPE034","false","P2_tab_b_core_short_queue","TAB:B","Harappa","2","R/L","1","700_first","+700-034+","all_short_or_no_longer_text","no_longer_text","0","","1:+700-034+|2:+156-176+","12.5","6","","h_10_13","v_lt_7","area_lt_80","aspect_ge_1p9","th_missing","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","long_len_0"
"415.1","H-1832","034","FRAME700_SUBTYPE034","false","P1_mixed_short_long_core","TAB:B","Harappa","2","R/L","1","700_first","+700-034+","single_longer_text","short_before_all_longer","1","+400-297-352-892-590-740-176+","1:+700-034+|2:+400-297-352-892-590-740-176+","24","9","3.5","h_ge_16","v_8p5_10","area_ge_180","aspect_ge_1p9","th_3_5","+400-297-352-892-590-740-176+","176;297;352;400;590;740;892","400...176","400","176","long_len_6_plus"
"497.1","H-1836","032","FRAME700_SUBTYPE032","false","P2_tab_b_core_short_queue","TAB:B","Harappa","2","R/L","1","700_first","+700-032+","single_short_no_longer_text","no_longer_text","0","","1:+700-032+|2:+400-740-000-792+","14","8","2.3","h_13_16","v_7_8p5","area_80_120","aspect_1p5_1p9","th_lt_3","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","long_len_0"
"593.1","H-1839","033","FRAME700_SUBTYPE033","false","P1_mixed_short_long_core","TAB:B","Harappa","2","R/L","1","700_first","+700-033+","single_longer_text","short_before_all_longer","1","+740-100-175-630-705+","1:+700-033+|2:+740-100-175-630-705+","18.5","9.8","3.9","h_ge_16","v_8p5_10","area_ge_180","aspect_1p5_1p9","th_3_5","+740-100-175-630-705+","100;175;630;705;740","740...705","740","705","long_len_4_5"
"652.1","H-1841","032","FRAME700_SUBTYPE032","false","P1_mixed_short_long_core","TAB:B","Harappa","2","R/L","1","700_first","+700-032+","single_longer_text","short_before_all_longer","1","+740-540-204-255+","1:+700-032+|2:+740-540-204-255+","","8","3.8","h_missing","v_7_8p5","area_missing","aspect_missing","th_3_5","+740-540-204-255+","204;255;540;740","740...255","740","255","long_len_4_5"
"631.1","H-1842","033","FRAME700_SUBTYPE033","false","P1_mixed_short_long_core","TAB:B","Harappa","2","R/L","1","700_last","+033-700+","single_longer_text","short_before_all_longer","1","+740-690-435-176-233-803+","1:+033-700+|2:+740-690-435-176-233-803+","18.4","9.2","4.9","h_ge_16","v_8p5_10","area_120_180","aspect_ge_1p9","th_3_5","+740-690-435-176-233-803+","176;233;435;690;740;803","740...803","740","803","long_len_6_plus"
"780.1","H-1844","034","FRAME700_SUBTYPE034","false","P1_mixed_short_long_core","TAB:B","Harappa","2","R/L","1","700_first","+700-034+","single_longer_text","short_before_all_longer","1","+400-154-690+","1:+700-034+|2:+400-154-690+","12.6","7.5","3","h_10_13","v_7_8p5","area_80_120","aspect_1p5_1p9","th_3_5","+400-154-690+","154;400;690","400...690","400","690","long_len_1_3"
"424.1","H-1845","034","FRAME700_SUBTYPE034","false","P1_mixed_short_long_core","TAB:B","Harappa","2","R/L","1","700_first","+700-034+","single_longer_text","short_before_all_longer","1","+740-642-240-060-692+","1:+700-034+|2:+740-642-240-060-692+","23.6","11.5","3","h_ge_16","v_ge_10","area_ge_180","aspect_ge_1p9","th_3_5","+740-642-240-060-692+","060;240;642;692;740","740...692","740","692","long_len_4_5"
"686.1","H-1846","034","FRAME700_SUBTYPE034","false","P1_mixed_short_long_core","TAB:B","Harappa","2","R/L","1","700_first","+700-034+","single_longer_text","short_before_all_longer","1","+740-603-240-060-692+","1:+700-034+|2:+740-603-240-060-692+","23.5","11","5","h_ge_16","v_ge_10","area_ge_180","aspect_ge_1p9","th_ge_5","+740-603-240-060-692+","060;240;603;692;740","740...692","740","692","long_len_4_5"
"480.1","H-1850","034","FRAME700_SUBTYPE034","false","P1_mixed_short_long_core","TAB:B","Harappa","2","R/L","1","700_first","+700-034+","single_longer_text","short_before_all_longer","1","+400-740-760-382+","1:+700-034+|2:+400-740-760-382+","17","9","","h_ge_16","v_8p5_10","area_120_180","aspect_1p5_1p9","th_missing","+400-740-760-382+","382;400;740;760","400...382","400","382","long_len_4_5"
"1024.1","H-1851","033","FRAME700_SUBTYPE033","false","P1_mixed_short_long_core","TAB:B","Harappa","2","R/L","1","700_last","+033-700+","single_longer_text","short_before_all_longer","1","+740-803-892-031-002-861+","1:+033-700+|2:+740-803-892-031-002-861+","17.3","9","1","h_ge_16","v_8p5_10","area_120_180","aspect_ge_1p9","th_lt_3","+740-803-892-031-002-861+","002;031;740;803;861;892","740...861","740","861","long_len_6_plus"
"386.1","H-1853","032","FRAME700_SUBTYPE032","false","P1_mixed_short_long_core","TAB:B","Harappa","2","R/L","1","700_first","+700-032+","single_longer_text","short_before_all_longer","1","+400-617-829+","1:+700-032+|2:+400-617-829+","20.5","10.5","2.5","h_ge_16","v_ge_10","area_ge_180","aspect_ge_1p9","th_lt_3","+400-617-829+","400;617;829","400...829","400","829","long_len_1_3"
