checked_date,target,label,object,row_id,site,type,text,prev2,prev1,sequence,next1,next2,at_end
2026-05-31,Ns-66,reset_candidate_000_002,H-653,1568.1,Harappa,SEAL:R,+000-000-000-000-002-820+,000,000,000 002,820,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,K-54,1917.1,Kalibangan,SEAL:S,+000-002-870+,<START>,<START>,000 002,870,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,K-87,1942.2,Kalibangan,TAG:L,+740-000-000-002-861[,740,000,000 002,861,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,K-89,1944.2,Kalibangan,TAG:L,+000-033-705-000-002-000+,033,705,000 002,000,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,L-5,1987.1,Lothal,SEAL:S,+740-760-552/000-002-455-692-416+,760,552,000 002,455,692,false
2026-05-31,Ns-66,reset_candidate_000_002,L-137,2079.1,Lothal,TAG,]000-000-002-820+,<START>,000,000 002,820,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,L-190,2112.2,Lothal,TAG,+000-000-000-002-920-317[,000,000,000 002,920,317,false
2026-05-31,Ns-66,reset_candidate_000_002,L-208,2127.1,Lothal,TAG,]000-002-000[,<START>,<START>,000 002,000,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,-:2171.1,2171.1,Mohenjo-daro,BNGL,+920-130-511-000-002+,130,511,000 002,<END>,<END>,true
2026-05-31,Ns-66,reset_candidate_000_002,M-1895,2198.1,Mohenjo-daro,SEAL:S,+740-923-000-002-285+,740,923,000 002,285,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,-:2258.1,2258.1,Mohenjo-daro,SEAL:L,+000-000-000-002-000+,000,000,000 002,000,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,M-1733,2374.1,Mohenjo-daro,SEAL:S,]000-002-735+,<START>,<START>,000 002,735,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,M-1960,2379.1,Mohenjo-daro,SEAL:R,+740-000-000-002-820+,740,000,000 002,820,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,H-167,2504.1,Harappa,TAG,+000-000-000-000-002-000+,000,000,000 002,000,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,M-19,2547.1,Mohenjo-daro,SEAL:S,]000-000-002-861+,<START>,000,000 002,861,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,M-106,2633.1,Mohenjo-daro,SEAL:S,+740-760-000-002-000-350+,740,760,000 002,000,350,false
2026-05-31,Ns-66,reset_candidate_000_002,M-110,2637.1,Mohenjo-daro,SEAL:S,+000-000-002-817+,<START>,000,000 002,817,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,M-451,2936.1,Mohenjo-daro,TAB:B,+000-002-520-000-000-000-906-388+,<START>,<START>,000 002,520,000,false
2026-05-31,Ns-66,reset_candidate_000_002,M-646,3090.1,Mohenjo-daro,SEAL:S,+740-760-440-000-002-817+,760,440,000 002,817,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,M-701,3128.1,Mohenjo-daro,SEAL:S,]000-002-824+,<START>,<START>,000 002,824,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,M-787,3201.1,Mohenjo-daro,SEAL:S,+151-000-002-000+,<START>,151,000 002,000,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,M-835,3247.1,Mohenjo-daro,SEAL:S,+090-740-035-171-000-002-817+,035,171,000 002,817,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,M-1354,3654.1,Mohenjo-daro,SEAL:R,]000-002-820+,<START>,<START>,000 002,820,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,M-1421,3708.1,Mohenjo-daro,TAB:B,+000-000-002[,<START>,000,000 002,<END>,<END>,true
2026-05-31,Ns-66,reset_candidate_000_002,M-1754,3986.1,Mohenjo-daro,SEAL:S,+000-000-002-820+,<START>,000,000 002,820,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,M-1959,4006.1,Mohenjo-daro,SEAL:R,+740-100-000-002-820+,740,100,000 002,820,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,-:4156.1,4156.1,Dholavira,TAG,+520-000-002-820+,<START>,520,000 002,820,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,-:4156.2,4156.2,Dholavira,TAG,+000-000-002-820+,<START>,000,000 002,820,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,-:4234.1,4234.1,Dholavira,SEAL:S,]000-000-002-820+,<START>,000,000 002,820,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,-:4298.1,4298.1,Dholavira,TAG,]220-000-002-000[,<START>,220,000 002,000,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,-:4314.1,4314.1,Dholavira,TAG,+520-000-002-820+,<START>,520,000 002,820,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,-:4314.2,4314.2,Dholavira,TAG,+520-000-002-000+,<START>,520,000 002,000,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,-:4348.1,4348.1,Dholavira,TAG,]740-142-000-002-861-390[,740,142,000 002,861,390,false
2026-05-31,Ns-66,reset_candidate_000_002,L-6,5260.1,Lothal,SEAL:S,+000-000-000-002-000+,000,000,000 002,000,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,K-157,5283.1,Kalibangan,TAB:B,+740-000-000-002-820+,740,000,000 002,820,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,K-416,5331.1,Kalibangan,POT:T:g,]000-002-861[,<START>,<START>,000 002,861,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,Ns-66,5367.1,Nausharo,POT:T:g,+033-999-400-090-740-100-000-002-892-000-002+,740,100,000 002,892,000,false
2026-05-31,Ns-66,reset_candidate_000_002,Ns-66,5367.1,Nausharo,POT:T:g,+033-999-400-090-740-100-000-002-892-000-002+,002,892,000 002,<END>,<END>,true
2026-05-31,Ns-66,reset_candidate_000_002,Ns-67,5368.1,Nausharo,POT:T:g,+000-151-390-000-002-000-000[,151,390,000 002,000,000,false
2026-05-31,Ns-66,frame_002_892_000,Ns-66,5367.1,Nausharo,POT:T:g,+033-999-400-090-740-100-000-002-892-000-002+,100,000,002 892 000,002,<END>,false
2026-05-31,Ns-66,terminal_002_context,Ad-8,13.1,Allahdino,MISC,+740-440-503-002-861-000+,440,503,002,861,000,false
2026-05-31,Ns-66,terminal_002_context,-:18.1,18.1,Bakkar Buthi,POT:T:g,+405-844-032-840-002-861+,032,840,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,Blk-1,19.1,Bala-kot,SEAL:S,+226-003-002-297-350-125-413+,226,003,002,297,350,false
2026-05-31,Ns-66,terminal_002_context,Blk-2,20.1,Bala-kot,SEAL:S,+390-717-061-002-368-634+,717,061,002,368,634,false
2026-05-31,Ns-66,terminal_002_context,B-1,27.1,Banawali,SEAL:S,+090-740-220-002-368-550-821+,740,220,002,368,550,false
2026-05-31,Ns-66,terminal_002_context,B-5,30.1,Banawali,SEAL:S,+002-817+,<START>,<START>,002,817,<END>,false
2026-05-31,Ns-66,terminal_002_context,B-7,31.1,Banawali,SEAL:S,+002-817+,<START>,<START>,002,817,<END>,false
2026-05-31,Ns-66,terminal_002_context,B-15,36.1,Banawali,SEAL:S,+002-817+,<START>,<START>,002,817,<END>,false
2026-05-31,Ns-66,terminal_002_context,B-17,37.1,Banawali,SEAL:S,+236-002-308-072+,<START>,236,002,308,072,false
2026-05-31,Ns-66,terminal_002_context,B-18,38.1,Banawali,SEAL:S,]000-002-861+,<START>,000,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,B-23,41.1,Banawali,TAG,+520-220-002[,520,220,002,<END>,<END>,true
2026-05-31,Ns-66,terminal_002_context,-:52.1,52.1,Bhirrana,SEAL:S,+236-002-820+,<START>,236,002,820,<END>,false
2026-05-31,Ns-66,terminal_002_context,C-66,61.1,Chanhu-daro,SEAL:S,+390-003-002-817+,390,003,002,817,<END>,false
2026-05-31,Ns-66,terminal_002_context,C-65,62.1,Chanhu-daro,SEAL:S,+000-100-240-220-032-002-861+,220,032,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,C-60,69.1,Chanhu-daro,SEAL:S,+740-176-032-002-861+,176,032,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,C-53,71.1,Chanhu-daro,SEAL:S,+032-031/740-222-235-002-861+,222,235,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,C-58,74.1,Chanhu-daro,SEAL:S,+032-031/740-222-235-002-861+,222,235,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,C-74,76.1,Chanhu-daro,SEAL:S,+125-002-861+,<START>,125,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,C-71,78.1,Chanhu-daro,SEAL:S,+000-000-000/000-861-002-906-003+,000,861,002,906,003,false
2026-05-31,Ns-66,terminal_002_context,C-78,81.1,Chanhu-daro,SEAL:S,+740-636-240/002-817+,636,240,002,817,<END>,false
2026-05-31,Ns-66,terminal_002_context,C-57,82.1,Chanhu-daro,SEAL:S,+740-032-840-002-296-530-000+,032,840,002,296,530,false
2026-05-31,Ns-66,terminal_002_context,C-85,84.1,Chanhu-daro,SEAL:R,+000-000-002-820+,000,000,002,820,<END>,false
2026-05-31,Ns-66,terminal_002_context,C-67,87.1,Chanhu-daro,SEAL:S,+520-233-803-002-817+,233,803,002,817,<END>,false
2026-05-31,Ns-66,terminal_002_context,C-1,89.1,Chanhu-daro,SEAL:S,+031-840-140-740-101-002-365-287-034+,740,101,002,365,287,false
2026-05-31,Ns-66,terminal_002_context,C-3,91.1,Chanhu-daro,SEAL:S,+740-016-002-920-317+,740,016,002,920,317,false
2026-05-31,Ns-66,terminal_002_context,C-4,92.1,Chanhu-daro,SEAL:S,+520-235-803-002-817+,235,803,002,817,<END>,false
2026-05-31,Ns-66,terminal_002_context,C-5,93.1,Chanhu-daro,SEAL:S,+740-140-717-002-298-741+,140,717,002,298,741,false
2026-05-31,Ns-66,terminal_002_context,C-6,94.1,Chanhu-daro,SEAL:S,+817-521-521/090-740-221-002-031-500+,740,221,002,031,500,false
2026-05-31,Ns-66,terminal_002_context,C-7,95.1,Chanhu-daro,SEAL:S,+520-033-705-240-798-002-000[,240,798,002,000,<END>,false
2026-05-31,Ns-66,terminal_002_context,C-10,98.1,Chanhu-daro,SEAL:S,+740-231-220-032-002-817+,220,032,002,817,<END>,false
2026-05-31,Ns-66,terminal_002_context,C-18,106.1,Chanhu-daro,SEAL:S,]000-031-002-817+,000,031,002,817,<END>,false
2026-05-31,Ns-66,terminal_002_context,Dlp-3,125.1,Desalpur,TAG,+394-032-002-892-740+,394,032,002,892,740,false
2026-05-31,Ns-66,terminal_002_context,-:130.1,130.1,Dholavira,SEAL:S,+244-165/740-879-220-416-803-002-861+,416,803,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,-:132.1,132.1,Dholavira,SEAL:S,+740-416-002-861+,740,416,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,-:136.1,136.1,Dholavira,SEAL:R,+390-016-002-861+,390,016,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,-:143.1,143.1,Dholavira,TAB:B,+000-400-350-031-002-817+,350,031,002,817,<END>,false
2026-05-31,Ns-66,terminal_002_context,Dlv-1,145.1,Dholavira,SEAL:S,+151-382-031-002-861+,382,031,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,Dlv-2,146.1,Dholavira,SEAL:R,]000-002-817+,<START>,000,002,817,<END>,false
2026-05-31,Ns-66,terminal_002_context,-:216.1,216.1,Baror,SEAL:S,+000-000-002-257-550+,000,000,002,257,550,false
2026-05-31,Ns-66,terminal_002_context,H-1042,223.1,Harappa,SEAL:S,+740-923-000-220-002-817+,000,220,002,817,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-1045,246.1,Harappa,SEAL:S,+740-900-005-002-820+,900,005,002,820,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-1038,256.1,Harappa,SEAL:S,+740-519-002-297-000[,740,519,002,297,000,false
2026-05-31,Ns-66,terminal_002_context,H-1051,259.1,Harappa,SEAL:S,+400-740-575-017-920-320-798-002-861+,320,798,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,-:280.1,280.1,Harappa,TAB:B,+740-904-240-002-817+,904,240,002,817,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-1030,284.1,Harappa,SEAL:S,+090-740-103-002-861+,740,103,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-1033,293.1,Harappa,SEAL:S,+220-500-520-002-862-032+,500,520,002,862,032,false
2026-05-31,Ns-66,terminal_002_context,H-1058,296.1,Harappa,SEAL,]740-019-002-000[,740,019,002,000,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-1043,303.1,Harappa,SEAL:S,+151-760-220-003-002-861+,220,003,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-1517,315.1,Harappa,ROD,+405-005-002+,405,005,002,<END>,<END>,true
2026-05-31,Ns-66,terminal_002_context,H-1421,323.1,Harappa,POT:T:g,]002-861[,<START>,<START>,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,-:341.1,341.1,Harappa,POT:T:g,+002+,<START>,<START>,002,<END>,<END>,true
2026-05-31,Ns-66,terminal_002_context,-:342.1,342.1,Harappa,POT:T:g,+002+,<START>,<START>,002,<END>,<END>,true
2026-05-31,Ns-66,terminal_002_context,-:349.1,349.1,Harappa,POT:T:g,+002+,<START>,<START>,002,<END>,<END>,true
2026-05-31,Ns-66,terminal_002_context,-:350.1,350.1,Harappa,POT:T:g,+002+,<START>,<START>,002,<END>,<END>,true
2026-05-31,Ns-66,terminal_002_context,-:356.1,356.1,Harappa,POT:T:g,+002+,<START>,<START>,002,<END>,<END>,true
2026-05-31,Ns-66,terminal_002_context,H-2016,370.1,Harappa,TAB:B,+317-740-335-740-176-002-920-491+,740,176,002,920,491,false
2026-05-31,Ns-66,terminal_002_context,H-1874,388.2,Harappa,TAB:B,+002-220-455-000+,<START>,<START>,002,220,455,false
2026-05-31,Ns-66,terminal_002_context,H-2003,401.1,Harappa,TAB:B,+390-004-002-817+,390,004,002,817,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-2015,402.2,Harappa,TAB:B,+520-033-705-235-832-002-817+,235,832,002,817,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-1942,409.2,Harappa,TAB:B,+405-035-002-861+,405,035,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-1865,411.2,Harappa,TAB:B,+740-702-061-002-000+,702,061,002,000,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-2014,412.2,Harappa,TAB:B,]000-832-002-817+,000,832,002,817,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-1967,448.1,Harappa,TAB:B,+382-760-382-002-820+,760,382,002,820,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-1882,466.1,Harappa,TAB:B,+002-820+,<START>,<START>,002,820,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-2094,476.2,Harappa,TAB:I,+002-861-416+,<START>,<START>,002,861,416,false
2026-05-31,Ns-66,terminal_002_context,H-2097,488.2,Harappa,TAB:I,+002-861-416+,<START>,<START>,002,861,416,false
2026-05-31,Ns-66,terminal_002_context,H-1681,507.1,Harappa,SEAL:S,]000-032-002-820+,000,032,002,820,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-1671,513.1,Harappa,SEAL:S,+740-061-002-455-420-032+,740,061,002,455,420,false
2026-05-31,Ns-66,terminal_002_context,H-2095,518.2,Harappa,TAB:I,+002-861-416+,<START>,<START>,002,861,416,false
2026-05-31,Ns-66,terminal_002_context,-:529.1,529.1,Harappa,POT:T:g,+002+,<START>,<START>,002,<END>,<END>,true
2026-05-31,Ns-66,terminal_002_context,H-1723,536.1,Harappa,TAG:L,]000-880-002-000[,000,880,002,000,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-1692,537.1,Harappa,SEAL:S,+740-390-590-002-861+,390,590,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,-:543.1,543.1,Harappa,POT:T:g,+000-480-003-064-002-003-861+,003,064,002,003,861,false
2026-05-31,Ns-66,terminal_002_context,H-2022,594.2,Harappa,TAB:B,+740-752-175-002-861+,752,175,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-1864,599.2,Harappa,TAB:B,+740-142-062-002-817+,142,062,002,817,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-2338,604.1,Harappa,POT:T:g,]740-061-002-575-000[,740,061,002,575,000,false
2026-05-31,Ns-66,terminal_002_context,-:617.1,617.1,Harappa,POT:T:g,]740-000-000-002-575-000[,000,000,002,575,000,false
2026-05-31,Ns-66,terminal_002_context,-:621.1,621.1,Harappa,TAB:I,+002-861-416+,<START>,<START>,002,861,416,false
2026-05-31,Ns-66,terminal_002_context,H-1706,623.1,Harappa,SEAL:R,+405-003-002-293-360+,405,003,002,293,360,false
2026-05-31,Ns-66,terminal_002_context,H-1662,626.1,Harappa,SEAL:S,+033-033/740-142-061-140-002-546+,061,140,002,546,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-1680,634.1,Harappa,SEAL:S,+390-003-002-820+,390,003,002,820,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-2096,665.2,Harappa,TAB:I,+002-861-416+,<START>,<START>,002,861,416,false
2026-05-31,Ns-66,terminal_002_context,H-1146,682.2,Harappa,TAB:B,+526-554-002-820+,526,554,002,820,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-2010,729.2,Harappa,TAB:B,+740-482-240-002-861+,482,240,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-1670,731.1,Harappa,SEAL:S,+740-760-033-033-240-002-824+,033,240,002,824,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-1993,744.2,Harappa,TAB:B,+740-000-220-004-002-390-095+,220,004,002,390,095,false
2026-05-31,Ns-66,terminal_002_context,H-1930,771.2,Harappa,TAB:B,+408-817-920-002-861+,817,920,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-1785,789.1,Harappa,TAB:B,+407-004-002-861+,407,004,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-1788,805.1,Harappa,TAB:B,+154-806-470-002-861+,806,470,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-2011,937.2,Harappa,TAB:B,+740-482-240-002-861+,482,240,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-1667,943.1,Harappa,SEAL:S,+740-540-002-817+,740,540,002,817,<END>,false
2026-05-31,Ns-66,terminal_002_context,-:951.1,951.1,Dholavira,SEAL:S,+390-004-002-817+,390,004,002,817,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-2583,955.1,Harappa,POT:T:g,+002+,<START>,<START>,002,<END>,<END>,true
2026-05-31,Ns-66,terminal_002_context,-:960.1,960.1,Harappa,POT:T:g,+002-002+,<START>,<START>,002,002,<END>,false
2026-05-31,Ns-66,terminal_002_context,-:960.1,960.1,Harappa,POT:T:g,+002-002+,<START>,002,002,<END>,<END>,true
2026-05-31,Ns-66,terminal_002_context,-:967.1,967.1,Harappa,POT:T:g,+002+,<START>,<START>,002,<END>,<END>,true
2026-05-31,Ns-66,terminal_002_context,-:974.1,974.1,Harappa,POT:T:g,+002+,<START>,<START>,002,<END>,<END>,true
2026-05-31,Ns-66,terminal_002_context,-:975.1,975.1,Harappa,POT:T:g,+002+,<START>,<START>,002,<END>,<END>,true
2026-05-31,Ns-66,terminal_002_context,-:989.1,989.1,Harappa,POT:T:g,+002-000+,<START>,<START>,002,000,<END>,false
2026-05-31,Ns-66,terminal_002_context,-:996.1,996.1,Harappa,POT:T:g,+002+,<START>,<START>,002,<END>,<END>,true
2026-05-31,Ns-66,terminal_002_context,H-1966,1004.1,Harappa,TAB:B,+520-233-049-002-861+,233,049,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-1726,1007.1,Harappa,POT:T:s,+740-100-692-491-002-817+,692,491,002,817,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-1657,1020.1,Harappa,SEAL:S,+740-405-590-032-900-003-806-235-220-032-002-690-921+,220,032,002,690,921,false
2026-05-31,Ns-66,terminal_002_context,H-1851,1024.2,Harappa,TAB:B,+740-803-892-031-002-861+,892,031,002,861,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-1739,1030.1,Harappa,POT:T:s,]034-002-817[,<START>,034,002,817,<END>,false
2026-05-31,Ns-66,terminal_002_context,-:1047.1,1047.1,Harappa,POT:T:g,+002-003+,<START>,<START>,002,003,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-1050,1060.1,Harappa,SEAL:S,+804-235-002-817+,804,235,002,817,<END>,false
2026-05-31,Ns-66,terminal_002_context,H-3,1064.1,Harappa,SEAL:S,+740-585-017-002-611-615-703+,585,017,002,611,615,false
2026-05-31,Ns-66,terminal_002_context,H-8,1069.1,Harappa,SEAL:S,+354-001-740-405-590-033-706-002-690-921+,033,706,002,690,921,false
