sign,rows,circular_rows,circular_share,examples
832,43,3,0.06976744186046512,H-1725:Harappa:TAG:P:circular:]000-590-832-741-003+ | M-415:Mohenjo-daro:SEAL:C:circular:+256-832+ | M-1369:Mohenjo-daro:SEAL:C:circular:]000-055-592-140-832-002-060-820[
405,71,3,0.04225352112676056,C-87:Chanhu-daro:TAG:P:circular:+740-405+ | M-416:Mohenjo-daro:SEAL:C:circular:+324-255-001-405-016+ | -:5231.1:Ur:SEAL:C:-:]405-090[
700,91,3,0.03296703296703297,H-246:Harappa:TAB:B:circular:+125-700-033+ | M-500:Mohenjo-daro:SEAL:C:circular:+400-592-140-003-900-692-003-700+ | -:3881.1:Susa:SEAL:C:circular:+700-604-407-090-365-000+
550,101,3,0.0297029702970297,H-1924:Harappa:TAB:B:circular:+550-003-435+ | M-1390:Mohenjo-daro:TAB:B:circular:+400-525-550+ | -:3889.1:Unknown:SEAL:C:circular:+740-740-001-550-467+
100,110,3,0.02727272727272727,H-2197:Harappa:TAB:I:circular:+400-090-740-100-390-231+ | M-427:Mohenjo-daro:TAG:P:circular:+740-100-415-741-060-920+ | -:5560.1:Rakhigarhi:TAG:circular:]000-100-415-240-741-060-920+
415,125,3,0.024,M-427:Mohenjo-daro:TAG:P:circular:+740-100-415-741-060-920+ | -:3898.1:Ur:SEAL:C:circular:+002-004-328-001-803-415+ | -:5560.1:Rakhigarhi:TAG:circular:]000-100-415-240-741-060-920+
920,132,3,0.022727272727272728,H-248:Harappa:TAB:B:circular:+400-740-920-320-233-240-798+ | M-427:Mohenjo-daro:TAG:P:circular:+740-100-415-741-060-920+ | -:5560.1:Rakhigarhi:TAG:circular:]000-100-415-240-741-060-920+
705,164,3,0.018292682926829267,H-369:Harappa:SEAL:CY:cylindrical:+368-033-705-031-741-390-741+ | M-433:Mohenjo-daro:TAB:B:circular:+740-390-590-033-705-000+ | M-432:Mohenjo-daro:TAB:B:circular:+740-390-590-033-705+
817,173,3,0.017341040462427744,-:147.1:Failaka:SEAL:C:circular:+317-817-000-090+ | H-838:Harappa:TAB:B:circular:+740-615-495-002-817+ | M-1385:Mohenjo-daro:TAG:P:circular:+740-760-032-002-817+
160,5,2,0.4,-:3863.1:Qala'at al-Bahrain:SEAL:C:circular:+160-090-055-060-190+ | -:5223.1:Unknown:SEAL:C:circular:+000-090-001-133-384-160+
219,6,2,0.3333333333333333,-:225.1:Harappa:TAB:B:circular:+804-740-219+ | H-245:Harappa:TAB:B:circular:+400-807-740-219+
093,7,2,0.2857142857142857,-:3897.1:Ur:SEAL:C:circular:+093-340-924-220-528+ | -:5229.1:Saar:SEAL:C:circular:+031-093-001-091-220-055+
592,7,2,0.2857142857142857,M-500:Mohenjo-daro:SEAL:C:circular:+400-592-140-003-900-692-003-700+ | M-1369:Mohenjo-daro:SEAL:C:circular:]000-055-592-140-832-002-060-820[
804,8,2,0.25,-:225.1:Harappa:TAB:B:circular:+804-740-219+ | H-246:Harappa:TAB:B:circular:+400-804-000-233-240+
924,8,2,0.25,-:3882.1:Susa:SEAL:CY:cylindrical:+416-150-002-055-031-319-001-924+ | -:3897.1:Ur:SEAL:C:circular:+093-340-924-220-528+
136,10,2,0.2,-:3902.1:Kanmer:IMPL:circular:+136-031+ | -:4301.1:Dholavira:TAG:circular:+136-033+
190,11,2,0.18181818181818182,-:3863.1:Qala'at al-Bahrain:SEAL:C:circular:+160-090-055-060-190+ | -:3887.1:Unknown:SEAL:C:circular:+000-603-091-190+
317,12,2,0.16666666666666666,-:147.1:Failaka:SEAL:C:circular:+317-817-000-090+ | -:5468.1:Rakhigarhi:SEAL:CY:cylindrical:+361-002-000-317-688+
831,16,2,0.125,-:2153.1:Luristan:SEAL:C:circular:+831-413-840-091+ | -:5232.1:Janabiyah:SEAL:C:circular:+055-099-121-055-831-031-071+
384,25,2,0.08,H-368:Harappa:SEAL:CY:cylindrical:+400-156-384-031+ | -:5223.1:Unknown:SEAL:C:circular:+000-090-001-133-384-160+
413,29,2,0.06896551724137931,-:2153.1:Luristan:SEAL:C:circular:+831-413-840-091+ | -:3900.2:Kanmer:IMPL:circular:+413-933-031+
156,43,2,0.046511627906976744,M-1388:Mohenjo-daro:TAG:L:circular:+156-003+ | H-368:Harappa:SEAL:CY:cylindrical:+400-156-384-031+
350,47,2,0.0425531914893617,-:148.1:Failaka:SEAL:C:circular:]090-001-350-716+ | -:3899.1:Ur:SEAL:C:circular:+000-000-004-090-350+
142,63,2,0.031746031746031744,H-1147:Harappa:TAB:B:circular:+400-142[ | H-241:Harappa:TAB:B:circular:+001-142+
004,78,2,0.02564102564102564,-:3898.1:Ur:SEAL:C:circular:+002-004-328-001-803-415+ | -:3899.1:Ur:SEAL:C:circular:+000-000-004-090-350+
900,83,2,0.024096385542168676,M-500:Mohenjo-daro:SEAL:C:circular:+400-592-140-003-900-692-003-700+ | M-2012:Mohenjo-daro:TAB:B:circular:+740-900-005-002-570+
840,94,2,0.02127659574468085,H-1923:Harappa:TAB:B:circular:+400-740-032-840+ | -:2153.1:Luristan:SEAL:C:circular:+831-413-840-091+
368,105,2,0.01904761904761905,H-369:Harappa:SEAL:CY:cylindrical:+368-033-705-031-741-390-741+ | -:4247.1:Dholavira:SEAL:C:circular:+806-091-001-368-255-000+
803,118,2,0.01694915254237288,H-240:Harappa:TAG:P:circular:+740-904-032-233-803+ | -:3898.1:Ur:SEAL:C:circular:+002-004-328-001-803-415+
176,122,2,0.01639344262295082,H-837:Harappa:TAB:B:circular:+000-480-176+ | M-428:Mohenjo-daro:TAB:B:circular:+090-740-176-000-000+
861,209,2,0.009569377990430622,H-343:Harappa:TAB:I:circular:+740-861-877+ | H-842:Harappa:TAB:B:circular:+400-740-861+
116,1,1,1,H-247:Harappa:TAB:B:circular:+116-032+
256,1,1,1,M-415:Mohenjo-daro:SEAL:C:circular:+256-832+
340,1,1,1,-:3897.1:Ur:SEAL:C:circular:+093-340-924-220-528+
375,1,1,1,C-32:Chanhu-daro:SEAL:C:circular:+375-400-390-632+
725,1,1,1,-:5226.1:Unknown:SEAL:C:circular:+002/000-090-725-000+
099,2,1,0.5,-:5232.1:Janabiyah:SEAL:C:circular:+055-099-121-055-831-031-071+
121,2,1,0.5,-:5232.1:Janabiyah:SEAL:C:circular:+055-099-121-055-831-031-071+
133,2,1,0.5,-:5223.1:Unknown:SEAL:C:circular:+000-090-001-133-384-160+
328,2,1,0.5,-:3898.1:Ur:SEAL:C:circular:+002-004-328-001-803-415+
516,2,1,0.5,H-1925:Harappa:TAB:B:circular:+516-775+
528,2,1,0.5,-:3897.1:Ur:SEAL:C:circular:+093-340-924-220-528+
570,2,1,0.5,M-2012:Mohenjo-daro:TAB:B:circular:+740-900-005-002-570+
823,2,1,0.5,H-830:Harappa:TAG:P:circular:]823+
931,2,1,0.5,-:3902.2:Kanmer:IMPL:circular:+931-000+
933,2,1,0.5,-:3900.2:Kanmer:IMPL:circular:+413-933-031+
071,3,1,0.3333333333333333,-:5232.1:Janabiyah:SEAL:C:circular:+055-099-121-055-831-031-071+
145,3,1,0.3333333333333333,-:5557.1:Unknown:SEAL:CY:cylindrical:+145-139-000-000+
324,3,1,0.3333333333333333,M-416:Mohenjo-daro:SEAL:C:circular:+324-255-001-405-016+
361,3,1,0.3333333333333333,-:5468.1:Rakhigarhi:SEAL:CY:cylindrical:+361-002-000-317-688+
688,3,1,0.3333333333333333,-:5468.1:Rakhigarhi:SEAL:CY:cylindrical:+361-002-000-317-688+
716,3,1,0.3333333333333333,-:148.1:Failaka:SEAL:C:circular:]090-001-350-716+
775,3,1,0.3333333333333333,H-1925:Harappa:TAB:B:circular:+516-775+
807,3,1,0.3333333333333333,H-245:Harappa:TAB:B:circular:+400-807-740-219+
319,4,1,0.25,-:3882.1:Susa:SEAL:CY:cylindrical:+416-150-002-055-031-319-001-924+
744,4,1,0.25,-:5222.1:Girsu:SEAL:C:circular:+740-000-744-013-255+
049,5,1,0.2,-:5420.1:Kanmer:TAG:circular:]000-049-002-820+
098,5,1,0.2,H-1332:Harappa:TAB:I:circular:+400-098+
132,5,1,0.2,-:3888.1:Unknown:SEAL:CY:cylindrical:+090-055-000-132-032+
139,5,1,0.2,-:5557.1:Unknown:SEAL:CY:cylindrical:+145-139-000-000+
362,5,1,0.2,H-345:Harappa:TAB:I:circular:+090-740-362+
603,5,1,0.2,-:3887.1:Unknown:SEAL:C:circular:+000-603-091-190+
150,6,1,0.16666666666666666,-:3882.1:Susa:SEAL:CY:cylindrical:+416-150-002-055-031-319-001-924+
392,6,1,0.16666666666666666,H-242:Harappa:TAB:B:circular:+400-740-392-000-000-000-000-255-000+
604,6,1,0.16666666666666666,-:3881.1:Susa:SEAL:C:circular:+700-604-407-090-365-000+
525,7,1,0.14285714285714285,M-1390:Mohenjo-daro:TAB:B:circular:+400-525-550+
370,8,1,0.125,M-436:Mohenjo-daro:TAB:B:circular:+390-370+
467,9,1,0.1111111111111111,-:3889.1:Unknown:SEAL:C:circular:+740-740-001-550-467+
526,9,1,0.1111111111111111,H-833:Harappa:TAB:B:circular:+526-554-002-820+
554,13,1,0.07692307692307693,H-833:Harappa:TAB:B:circular:+526-554-002-820+
320,17,1,0.058823529411764705,H-248:Harappa:TAB:B:circular:+400-740-920-320-233-240-798+
365,17,1,0.058823529411764705,-:3881.1:Susa:SEAL:C:circular:+700-604-407-090-365-000+
104,20,1,0.05,H-244:Harappa:TAB:B:circular:+104-002-820+
877,20,1,0.05,H-343:Harappa:TAB:I:circular:+740-861-877+
335,26,1,0.038461538461538464,H-247:Harappa:TAB:B:circular:+400-740-335-000+
495,26,1,0.038461538461538464,H-838:Harappa:TAB:B:circular:+740-615-495-002-817+
632,30,1,0.03333333333333333,C-32:Chanhu-daro:SEAL:C:circular:+375-400-390-632+
480,33,1,0.030303030303030304,H-837:Harappa:TAB:B:circular:+000-480-176+
923,35,1,0.02857142857142857,-:4300.1:Dholavira:TAG:circular:]923+
013,37,1,0.02702702702702703,-:5222.1:Girsu:SEAL:C:circular:+740-000-744-013-255+
016,38,1,0.02631578947368421,M-416:Mohenjo-daro:SEAL:C:circular:+324-255-001-405-016+
416,38,1,0.02631578947368421,-:3882.1:Susa:SEAL:CY:cylindrical:+416-150-002-055-031-319-001-924+
005,39,1,0.02564102564102564,M-2012:Mohenjo-daro:TAB:B:circular:+740-900-005-002-570+
615,40,1,0.025,H-838:Harappa:TAB:B:circular:+740-615-495-002-817+
455,41,1,0.024390243902439025,-:5227.1:Karzakan:SEAL:C:circular:+220-455-031-091+
790,43,1,0.023255813953488372,H-1149:Harappa:TAB:B:circular:+400-740-790+
904,53,1,0.018867924528301886,H-240:Harappa:TAG:P:circular:+740-904-032-233-803+
435,55,1,0.01818181818181818,H-1924:Harappa:TAB:B:circular:+550-003-435+
125,56,1,0.017857142857142856,H-246:Harappa:TAB:B:circular:+125-700-033+
061,59,1,0.01694915254237288,-:5224.1:Unknown:SEAL:C:circular:+000-061-032-001-220-033-000+
692,66,1,0.015151515151515152,M-500:Mohenjo-daro:SEAL:C:circular:+400-592-140-003-900-692-003-700+
407,70,1,0.014285714285714285,-:3881.1:Susa:SEAL:C:circular:+700-604-407-090-365-000+
231,83,1,0.012048192771084338,H-2197:Harappa:TAB:I:circular:+400-090-740-100-390-231+
806,97,1,0.010309278350515464,-:4247.1:Dholavira:SEAL:C:circular:+806-091-001-368-255-000+
760,108,1,0.009259259259259259,M-1385:Mohenjo-daro:TAG:P:circular:+740-760-032-002-817+
798,130,1,0.007692307692307693,H-248:Harappa:TAB:B:circular:+400-740-920-320-233-240-798+
006,6,0,0,
007,6,0,0,
012,3,0,0,
014,8,0,0,
015,8,0,0,
017,65,0,0,
018,7,0,0,
019,5,0,0,
020,2,0,0,
025,3,0,0,
026,1,0,0,
027,2,0,0,
028,3,0,0,
029,4,0,0,
034,29,0,0,
035,26,0,0,
036,6,0,0,
037,1,0,0,
039,1,0,0,
041,2,0,0,
042,2,0,0,
043,1,0,0,
044,1,0,0,
045,2,0,0,
046,3,0,0,
047,1,0,0,
048,6,0,0,
050,1,0,0,
051,1,0,0,
056,3,0,0,
057,1,0,0,
058,1,0,0,
059,2,0,0,
062,3,0,0,
063,13,0,0,
064,14,0,0,
065,15,0,0,
066,17,0,0,
067,8,0,0,
068,1,0,0,
069,1,0,0,
070,37,0,0,
072,14,0,0,
073,2,0,0,
074,1,0,0,
075,1,0,0,
080,2,0,0,
081,4,0,0,
082,2,0,0,
083,1,0,0,
084,1,0,0,
085,1,0,0,
092,2,0,0,
094,2,0,0,
095,22,0,0,
096,3,0,0,
097,13,0,0,
101,8,0,0,
102,1,0,0,
103,5,0,0,
105,3,0,0,
106,1,0,0,
107,1,0,0,
110,1,0,0,
111,15,0,0,
112,2,0,0,
113,1,0,0,
115,1,0,0,
117,2,0,0,
118,3,0,0,
119,1,0,0,
122,2,0,0,
123,1,0,0,
126,2,0,0,
127,4,0,0,
128,2,0,0,
129,1,0,0,
130,14,0,0,
131,1,0,0,
134,3,0,0,
135,1,0,0,
137,8,0,0,
138,1,0,0,
141,1,0,0,
143,4,0,0,
144,2,0,0,
146,4,0,0,
147,1,0,0,
148,2,0,0,
151,77,0,0,
152,1,0,0,
153,5,0,0,
154,38,0,0,
155,8,0,0,
157,2,0,0,
158,29,0,0,
159,5,0,0,
161,13,0,0,
165,27,0,0,
166,1,0,0,
167,8,0,0,
168,3,0,0,
169,1,0,0,
170,1,0,0,
171,21,0,0,
172,1,0,0,
173,1,0,0,
175,24,0,0,
177,3,0,0,
178,1,0,0,
179,1,0,0,
180,1,0,0,
191,2,0,0,
192,4,0,0,
193,3,0,0,
194,1,0,0,
195,2,0,0,
200,3,0,0,
201,5,0,0,
202,4,0,0,
203,1,0,0,
204,8,0,0,
205,2,0,0,
206,1,0,0,
207,1,0,0,
208,1,0,0,
209,1,0,0,
215,9,0,0,
216,4,0,0,
217,2,0,0,
221,6,0,0,
222,12,0,0,
223,3,0,0,
224,1,0,0,
225,1,0,0,
226,38,0,0,
227,2,0,0,
228,1,0,0,
229,3,0,0,
230,2,0,0,
232,10,0,0,
234,6,0,0,
235,195,0,0,
236,20,0,0,
237,1,0,0,
241,12,0,0,
242,5,0,0,
243,11,0,0,
244,5,0,0,
250,9,0,0,
251,1,0,0,
252,7,0,0,
253,1,0,0,
257,10,0,0,
260,8,0,0,
261,1,0,0,
262,2,0,0,
263,6,0,0,
264,3,0,0,
265,1,0,0,
266,2,0,0,
267,7,0,0,
268,4,0,0,
269,11,0,0,
270,1,0,0,
271,1,0,0,
272,5,0,0,
276,1,0,0,
277,2,0,0,
278,3,0,0,
279,5,0,0,
280,1,0,0,
281,2,0,0,
285,5,0,0,
286,3,0,0,
287,2,0,0,
290,1,0,0,
291,2,0,0,
292,4,0,0,
293,1,0,0,
294,2,0,0,
295,1,0,0,
296,3,0,0,
297,15,0,0,
298,9,0,0,
299,2,0,0,
300,3,0,0,
301,3,0,0,
302,3,0,0,
303,1,0,0,
304,2,0,0,
305,1,0,0,
306,1,0,0,
307,2,0,0,
308,3,0,0,
309,2,0,0,
310,3,0,0,
311,2,0,0,
315,11,0,0,
316,1,0,0,
318,3,0,0,
321,2,0,0,
322,4,0,0,
323,5,0,0,
325,1,0,0,
326,6,0,0,
327,1,0,0,
329,1,0,0,
330,2,0,0,
336,10,0,0,
337,12,0,0,
338,1,0,0,
341,1,0,0,
342,1,0,0,
343,2,0,0,
344,1,0,0,
345,3,0,0,
346,6,0,0,
347,3,0,0,
348,1,0,0,
351,2,0,0,
352,4,0,0,
353,10,0,0,
354,14,0,0,
360,11,0,0,
363,1,0,0,
367,3,0,0,
371,10,0,0,
372,1,0,0,
373,2,0,0,
374,16,0,0,
376,1,0,0,
380,6,0,0,
381,3,0,0,
382,18,0,0,
383,1,0,0,
385,1,0,0,
386,2,0,0,
387,1,0,0,
388,53,0,0,
389,1,0,0,
391,8,0,0,
393,1,0,0,
394,1,0,0,
401,7,0,0,
402,2,0,0,
403,1,0,0,
404,1,0,0,
406,12,0,0,
408,9,0,0,
409,4,0,0,
410,1,0,0,
411,7,0,0,
412,1,0,0,
417,2,0,0,
418,1,0,0,
420,6,0,0,
421,3,0,0,
422,4,0,0,
423,6,0,0,
424,3,0,0,
425,2,0,0,
426,6,0,0,
427,1,0,0,
428,1,0,0,
429,1,0,0,
430,1,0,0,
436,6,0,0,
440,42,0,0,
441,2,0,0,
442,5,0,0,
443,5,0,0,
444,2,0,0,
445,1,0,0,
450,2,0,0,
451,1,0,0,
452,3,0,0,
453,1,0,0,
454,1,0,0,
456,6,0,0,
457,2,0,0,
458,1,0,0,
460,37,0,0,
461,1,0,0,
462,1,0,0,
463,23,0,0,
465,2,0,0,
466,1,0,0,
468,7,0,0,
469,1,0,0,
470,4,0,0,
471,1,0,0,
472,5,0,0,
473,1,0,0,
474,1,0,0,
475,2,0,0,
479,1,0,0,
481,1,0,0,
482,26,0,0,
483,2,0,0,
484,12,0,0,
490,3,0,0,
491,14,0,0,
492,2,0,0,
493,1,0,0,
494,2,0,0,
500,14,0,0,
501,3,0,0,
502,4,0,0,
503,45,0,0,
504,8,0,0,
505,1,0,0,
506,1,0,0,
510,12,0,0,
511,10,0,0,
512,1,0,0,
513,3,0,0,
514,1,0,0,
515,12,0,0,
517,2,0,0,
518,7,0,0,
519,14,0,0,
520,224,0,0,
521,5,0,0,
527,58,0,0,
530,18,0,0,
531,4,0,0,
532,1,0,0,
533,2,0,0,
534,3,0,0,
535,1,0,0,
540,12,0,0,
541,2,0,0,
542,1,0,0,
543,4,0,0,
544,3,0,0,
545,10,0,0,
546,1,0,0,
547,1,0,0,
551,3,0,0,
552,10,0,0,
555,23,0,0,
556,10,0,0,
560,3,0,0,
561,3,0,0,
