checked_date,head_after_002,frame_count,terminal_count,terminal_share,next_entropy_bits,top_next_share,top_exact_text_share,top_next,top_sites,top_types,classifier_class,confidence_movement,examples
2026-05-31,002,2,1,0.500000,1.000000,0.500000,0.500000,<END>:1;817:1,Harappa:1;Mohenjo-daro:1,POT:T:g:1;SEAL:S:1,low_count_unclassified,background,-:+002-002+ | M-658:]000-003-070-002-002-817+
2026-05-31,055,2,0,0.000000,1.000000,0.500000,0.500000,031:1;373:1,Mohenjo-daro:1;Susa:1,SEAL:CY:1;SEAL:S:1,low_count_unclassified,background,M-43:+740-798-231-002-055-373+ | -:+416-150-002-055-031-319-001-924+
2026-05-31,111,2,0,0.000000,1.000000,0.500000,0.500000,165:1;700:1,Mohenjo-daro:2,SEAL:S:2,low_count_unclassified,background,M-95:+390-003-002-111-165+ | M-721:]000-233-002-111-700+
2026-05-31,112,2,2,1.000000,0.000000,1.000000,0.500000,<END>:2,Mohenjo-daro:2,SEAL:S:2,low_count_unclassified,background,M-33:+740-032-923-382-233-002-112+ | M-239:+740-760-921-235-002-112+
2026-05-31,125,2,0,0.000000,1.000000,0.500000,0.500000,350:1;590:1,Harappa:1;Mohenjo-daro:1,SEAL:S:2,low_count_unclassified,background,H-611:+527-550-002-125-590+ | M-251:+390-003-002-125-350+
2026-05-31,190,2,0,0.000000,1.000000,0.500000,0.500000,125:1;751:1,Mohenjo-daro:2,SEAL:S:2,low_count_unclassified,background,M-1692:+390-600-617-002-190-125-632-032+ | M-639:+226-415-002-190-751+
2026-05-31,257,2,0,0.000000,1.000000,0.500000,0.500000,550:1;898:1,Baror:1;Mohenjo-daro:1,SEAL:S:2,low_count_unclassified,background,-:+000-000-002-257-550+ | M-154:+520-220-621-415-002-257-898+
2026-05-31,267,2,0,0.000000,1.000000,0.500000,0.500000,000:1;455:1,Mohenjo-daro:1;Rakhigarhi:1,SEAL:S:2,low_count_unclassified,background,M-10:+405-061-070-032-033-706-235-806-002-267-455+ | -:+740-690-435-255-002-267-000-033+
2026-05-31,296,2,0,0.000000,1.000000,0.500000,0.500000,000:1;530:1,Chanhu-daro:1;Kalibangan:1,SEAL:S:2,low_count_unclassified,background,C-57:+740-032-840-002-296-530-000+ | K-146:]460-350-002-296-000[
2026-05-31,301,2,0,0.000000,1.000000,0.500000,0.500000,190:1;350:1,Mohenjo-daro:2,SEAL:S:2,low_count_unclassified,background,M-115:+390-844-140-176-803-002-301-190+ | M-242:+740-721-002-301-350+
2026-05-31,326,2,2,1.000000,0.000000,1.000000,1.000000,<END>:2,Mohenjo-daro:2,TAB:C:2,low_count_unclassified,background,M-509:+405-240-740-176-002-326+ | M-510:+405-240-740-176-002-326+
2026-05-31,370,2,2,1.000000,0.000000,1.000000,1.000000,<END>:2,Mohenjo-daro:2,POT:T:s:2,low_count_unclassified,background,M-1371:+527-550-002-370+ | M-1381:+527-550-002-370+
2026-05-31,388,2,0,0.000000,1.000000,0.500000,0.500000,031:1;385:1,Mohenjo-daro:2,SEAL:R:1;SEAL:S:1,low_count_unclassified,background,M-359:+740-405-590-220-235-803-002-388-385-705-632+ | M-948:+426-003-002-388-031+
2026-05-31,435,2,0,0.000000,1.000000,0.500000,0.500000,000:1;255:1,Harappa:1;Mohenjo-daro:1,SEAL:S:2,low_count_unclassified,background,H-598:+740-639-240-002-435-255-777+ | M-1027:+740-176-220-415-002-435-000[
2026-05-31,460,2,0,0.000000,1.000000,0.500000,0.500000,511:1;632:1,Harappa:1;Mohenjo-daro:1,SEAL:S:2,low_count_unclassified,background,H-426:]000-240-235-002-460-511+ | M-845:+000-061-002-460-632+
2026-05-31,502,2,0,0.000000,0.000000,1.000000,0.500000,031:2,Mohenjo-daro:2,SEAL:R:2,low_count_unclassified,background,M-358:+003-001-520-240-806-002-502-031+ | M-1284:+416-001-520-240-806-002-502-031+
2026-05-31,540,2,1,0.500000,1.000000,0.500000,0.500000,<END>:1;590:1,Lothal:1;Mohenjo-daro:1,SEAL:R:2,low_count_unclassified,background,L-112:+740-760-605-002-540-590+ | M-393:+679-740-575-017-240-806-002-540+
2026-05-31,550,2,1,0.500000,1.000000,0.500000,0.500000,<END>:1;615:1,Lothal:1;Mohenjo-daro:1,SEAL:S:1;TAG:1,low_count_unclassified,background,L-145:+390-415-002-550+ | M-849:+151-350-002-550-615+
2026-05-31,570,2,2,1.000000,0.000000,1.000000,0.500000,<END>:2,Mohenjo-daro:2,SEAL:R:1;TAB:B:1,low_count_unclassified,background,M-1263:+000-740-000-520-480-002-570+ | M-2012:+740-900-005-002-570+
2026-05-31,610,2,0,0.000000,0.000000,1.000000,0.500000,125:2,Harappa:1;Mohenjo-daro:1,SEAL:S:2,low_count_unclassified,background,H-74:+002-610-125-032+ | M-1665:+520-033-705-233-240-002-610-125-032+
2026-05-31,700,2,1,0.500000,1.000000,0.500000,0.500000,<END>:1;000:1,Kot-Diji:1;Mohenjo-daro:1,POT:T:g:1;SEAL:S:1,low_count_unclassified,background,Kd-15:]002-700+ | M-279:+520-220-415-002-700-000+
2026-05-31,717,2,0,0.000000,1.000000,0.500000,0.500000,747:1;820:1,Harappa:1;Mohenjo-daro:1,SEAL:R:1;SEAL:S:1,low_count_unclassified,background,H-639:+407-000-000-705-832-904-845-235-002-717-747+ | M-1667:+740-690-435-255-220-032-002-717-820+
2026-05-31,808,2,2,1.000000,0.000000,1.000000,0.500000,<END>:2,Dholavira:1;Mohenjo-daro:1,SEAL:R:1;SEAL:S:1,low_count_unclassified,background,M-833:+527-550-740-240-002-808+ | -:]806-002-808+
2026-05-31,812,2,0,0.000000,1.000000,0.500000,0.500000,031:1;095:1,Lothal:1;Mohenjo-daro:1,SEAL:S:2,low_count_unclassified,background,L-1:+527-550-233-002-812-095+ | M-756:+740-100-176-002-812-031+
2026-05-31,814,2,0,0.000000,1.000000,0.500000,0.500000,084:1;560:1,Mohenjo-daro:2,SEAL:S:2,low_count_unclassified,background,M-17:+390-016-002-814-560+ | M-92:+740-798-460-350-002-814-084+
2026-05-31,892,2,0,0.000000,1.000000,0.500000,0.500000,000:1;740:1,Desalpur:1;Nausharo:1,POT:T:g:1;TAG:1,low_count_unclassified,background,Dlp-3:+394-032-002-892-740+ | Ns-66:+033-999-400-090-740-100-000-002-892-000-002+
2026-05-31,940,2,0,0.000000,1.000000,0.500000,0.500000,260:1;705:1,Harappa:1;Mohenjo-daro:1,SEAL:S:2,low_count_unclassified,background,H-468:+740-900-003-002-940-705+ | M-107:+740-565-233-002-940-260+
2026-05-31,001,1,0,0.000000,0.000000,1.000000,1.000000,250:1,Nausharo:1,SEAL:S:1,low_count_unclassified,background,Ns-56:+111-002-001-250+
2026-05-31,004,1,0,0.000000,0.000000,1.000000,1.000000,328:1,Ur:1,SEAL:C:1,low_count_unclassified,background,-:+002-004-328-001-803-415+
2026-05-31,033,1,0,0.000000,0.000000,1.000000,1.000000,705:1,Mohenjo-daro:1,SEAL:S:1,low_count_unclassified,background,M-1155:+740-760-335-002-033-705+
2026-05-31,060,1,0,0.000000,0.000000,1.000000,1.000000,820:1,Mohenjo-daro:1,SEAL:C:1,low_count_unclassified,background,M-1369:]000-055-592-140-832-002-060-820[
2026-05-31,065,1,0,0.000000,0.000000,1.000000,1.000000,834:1,Mohenjo-daro:1,SEAL:S:1,low_count_unclassified,background,M-1082:]000-235-002-065-834+
2026-05-31,069,1,1,1.000000,0.000000,1.000000,1.000000,<END>:1,Mohenjo-daro:1,SEAL:S:1,low_count_unclassified,background,M-1883:+090-740-035-171-061-031-002-069+
2026-05-31,093,1,0,0.000000,0.000000,1.000000,1.000000,033:1,Mohenjo-daro:1,SEAL:S:1,low_count_unclassified,background,M-1765:+215-031-480-140-632-705-002-093-033+
2026-05-31,095,1,0,0.000000,0.000000,1.000000,1.000000,000:1,Tepe Yahya:1,POT:T:s:1,low_count_unclassified,background,TY-106:+002-095-000[
2026-05-31,107,1,1,1.000000,0.000000,1.000000,1.000000,<END>:1,Mohenjo-daro:1,SEAL:S:1,low_count_unclassified,background,M-35:+740-390-590-233-231-002-107+
2026-05-31,142,1,1,1.000000,0.000000,1.000000,1.000000,<END>:1,Mohenjo-daro:1,SEAL:S:1,low_count_unclassified,background,M-1686:+740-904-220-032-002-142+
2026-05-31,144,1,1,1.000000,0.000000,1.000000,1.000000,<END>:1,Mohenjo-daro:1,SEAL:S:1,low_count_unclassified,background,M-130:+740-094-220-032-002-144+
2026-05-31,156,1,0,0.000000,0.000000,1.000000,1.000000,920:1,Mohenjo-daro:1,SEAL:S:1,low_count_unclassified,background,M-1810:+740-100-140-003-002-156-920+
2026-05-31,168,1,0,0.000000,0.000000,1.000000,1.000000,032:1,Mohenjo-daro:1,SEAL:S:1,low_count_unclassified,background,M-1159:+232-220-032-002-168-032+
2026-05-31,172,1,0,0.000000,0.000000,1.000000,1.000000,032:1,Harappa:1,SEAL:S:1,low_count_unclassified,background,H-455:+520-033-705-002-172-032+
2026-05-31,207,1,0,0.000000,0.000000,1.000000,1.000000,550:1,Mohenjo-daro:1,SEAL:S:1,low_count_unclassified,background,M-82:+740-222-002-207-550-390+
2026-05-31,221,1,1,1.000000,0.000000,1.000000,1.000000,<END>:1,Lothal:1,SEAL:R:1,low_count_unclassified,background,L-82:+806-231-002-221+
2026-05-31,226,1,0,0.000000,0.000000,1.000000,1.000000,231:1,Dholavira:1,TAB:I:1,low_count_unclassified,background,-:+575-031-002-226-231[
2026-05-31,233,1,0,0.000000,0.000000,1.000000,1.000000,235:1,Harappa:1,SEAL:R:1,low_count_unclassified,background,H-141:+405-032-900-003-070-002-233-235+
2026-05-31,244,1,0,0.000000,0.000000,1.000000,1.000000,632:1,Mohenjo-daro:1,SEAL:S:1,low_count_unclassified,background,M-1188:]000/000-125-632-032/240-002-244-632+
2026-05-31,269,1,0,0.000000,0.000000,1.000000,1.000000,892:1,Mohenjo-daro:1,SEAL:S:1,low_count_unclassified,background,M-1766:+740-032-845-240-002-269-892-810-033+
2026-05-31,270,1,0,0.000000,0.000000,1.000000,1.000000,633:1,Mohenjo-daro:1,SEAL:S:1,low_count_unclassified,background,M-1169:+520-033-705-220-032/231-072-002-270-633-032+
2026-05-31,278,1,0,0.000000,0.000000,1.000000,1.000000,595:1,Salut:1,SEAL:S:1,low_count_unclassified,background,-:+392-004-002-278-595+
2026-05-31,281,1,1,1.000000,0.000000,1.000000,1.000000,<END>:1,Lakhanjo-daro:1,SEAL:S:1,low_count_unclassified,background,-:+740-032-029-002-281+
2026-05-31,286,1,0,0.000000,0.000000,1.000000,1.000000,220:1,Mohenjo-daro:1,SEAL:S:1,low_count_unclassified,background,M-1688:+125-435-255-002-286-220-031-012-031-455-033-590+
2026-05-31,287,1,0,0.000000,0.000000,1.000000,1.000000,140:1,Mohenjo-daro:1,SEAL:S:1,low_count_unclassified,background,M-109:+740-879-220-415-002-287-140+
2026-05-31,291,1,0,0.000000,0.000000,1.000000,1.000000,690:1,Mohenjo-daro:1,SEAL:S:1,low_count_unclassified,background,M-628:+740-560-233-002-291-690-564+
2026-05-31,293,1,0,0.000000,0.000000,1.000000,1.000000,360:1,Harappa:1,SEAL:R:1,low_count_unclassified,background,H-1706:+405-003-002-293-360+
2026-05-31,295,1,0,0.000000,0.000000,1.000000,1.000000,502:1,Mohenjo-daro:1,SEAL:S:1,low_count_unclassified,background,M-181:+520-175-002-295-502+
2026-05-31,299,1,0,0.000000,0.000000,1.000000,1.000000,530:1,Mohenjo-daro:1,SEAL:S:1,low_count_unclassified,background,M-623:+740-760-175-176-220-415-798-002-299-530-820+
2026-05-31,300,1,0,0.000000,0.000000,1.000000,1.000000,350:1,Mohenjo-daro:1,SEAL:S:1,low_count_unclassified,background,M-49:+527-550-240-220-032-002-300-350-032-190+
2026-05-31,305,1,0,0.000000,0.000000,1.000000,1.000000,032:1,Harappa:1,SEAL:S:1,low_count_unclassified,background,H-272:+740-585-017-240-002-305-032-904+
2026-05-31,308,1,0,0.000000,0.000000,1.000000,1.000000,072:1,Banawali:1,SEAL:S:1,low_count_unclassified,background,B-17:+236-002-308-072+
2026-05-31,315,1,0,0.000000,0.000000,1.000000,1.000000,850:1,Mohenjo-daro:1,SEAL:S:1,low_count_unclassified,background,M-1002:+740-373-031-002-315-850+
2026-05-31,320,1,0,0.000000,0.000000,1.000000,1.000000,705:1,Mohenjo-daro:1,SEAL:S:1,low_count_unclassified,background,M-1668:+740-773-233-803-002-320-705-125+
