object,site,region,type,material,shape,symbol,condition,complete,first_sign,target_position,text
M-1001,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Poor,Y,740,0,+740-482-235+
C-75,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Poor,Y,740,0,+740-531-060-692+
C-55,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,740,0,+740-067-741-647-892+
C-60,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-176-032-002-861+
C-70,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:II,Fair,Y,032,3,+032-031/151-740-240-235+
C-58,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,032,2,+032-031/740-222-235-002-861+
C-76,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Fair,Y,032,5,+032-031/850-032-530-740-741-456+
C-68,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,032,2,+032-031/740-791-713+
C-51,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fine,Y,151,1,+151-740-100-240+
C-78,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,NA,Fair,Y,740,0,+740-636-240/002-817+
C-57,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,N,740,0,+740-032-840-002-296-530-000+
C-89,Chanhu-daro,Lower Indus,POT:T:g,Clay,NA,NA,Poor,?,790,1,+790/740-055[
C-1,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Fair,Y,031,3,+031-840-140-740-101-002-365-287-034+
C-3,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-016-002-920-317+
C-5,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Fine,Y,740,0,+740-140-717-002-298-741+
C-6,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,Y,817,4,+817-521-521/090-740-221-002-031-500+
C-8,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fine,Y,740,0,+740-803-233-741-250-579+
C-10,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740,0,+740-231-220-032-002-817+
C-12,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Poor,Y,161,4,+161-390-590-031-740-060-920+
C-15,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,0,+740-400-920-031+
M-444,Mohenjo-daro,Lower Indus,SEAL,NA,square,NA,Poor,Y,740,0,+740-100+
C-29,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,NA,Poor,N,032,2,+032-031-740-384-032/000-000-840-634-032+
C-33,Chanhu-daro,Lower Indus,MISC,Steatite,circular,NA,Poor,N,220,2,+220-000-740/741-255+
C-40,Chanhu-daro,Lower Indus,IMPL,Copper,NA,NA,Poor,N,740,0,+740-000-835-240-235-031-900-066+
Dlp-1,Desalpur,Gujarat/Kutch,SEAL:R,NA,cuboid-convex,NA,Good,Y,740,0,+740-920-324-233-240-013-817+
Dlp-3,Desalpur,Gujarat/Kutch,TAG,NA,rectangular,NA,Fair,Y,394,4,+394-032-002-892-740+
-:126.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Comp,Fair,N,740,0,+740-760-000-742-013/742-552+
-:130.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:W,Fair,Y,244,2,+244-165/740-879-220-416-803-002-861+
-:132.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Tigr,Fair,Y,740,0,+740-416-002-861+
-:139.1,Dholavira,Gujarat/Kutch,SEAL:R,Steatite,rectangular,NA,Good,Y,740,0,+740-100-407-590+
-:4332.1,Dholavira,Gujarat/Kutch,TAG,NA,NA,NA,Poor,N,090,1,+090-740-000[
-:150.1,Farmana,Eastern Headwaters,TAG,Clay,NA,Bull1,Poor,Y,740,0,+740-760-445+
-:156.1,Ganweriwala,Inter-Riverine,TAB:B,NA,rectangular,Scene,Poor,?,400,1,+400-740-900[
Grb-1,Gharo Bhiro,Lower Indus,SEAL:R,NA,rectangular,NA,Fair,Y,740,0,+740-923-838+
H-1397,Harappa,Inter-Riverine,MISC,NA,NA,NA,Fair,Y,527,1,+527-740-914+
M-584,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Anth,Poor,N,740,0,+740-900-000-407-000-000-000+
H-1422,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,Y,740,0,+740-142+
H-321,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular-round,NA,Good,Y,740,0,+740-690-630-240+
H-1137,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Fair,Y,740,0,+740-603-240-060-692+
H-1411,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,?,740,0,+740-710-017[
K-411,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,400,1,+400-740-000[
H-661,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,740,0,+740-055-806+
H-974,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Bult,Poor,N,740,0,+740-000-892+
H-740,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,NA,Poor,N,400,1,+400-740-100-176-000+
H-294,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,S590,Good,Y,090,1,+090-740-240-220+
H-1177,Harappa,Inter-Riverine,TAB:I,Steatite,NA,NA,Poor,N,000,2,+000-000-740-519+
H-1354,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,Bult,Fair,Y,740,0,+740-714-840-799+
H-1042,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,N,740,0,+740-923-000-220-002-817+
-:225.1,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Poor,Y,804,1,+804-740-219+
H-1312,Harappa,Inter-Riverine,TAB:I,Steatite,oval,NA,Fair,Y,740,0,+740-031-904-001-032+
H-1393,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,000,4,]000-904-790-550-740-000[
H-1056,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Fair,Y,400,2,+400-090-740-220-003+
H-1045,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:U,Poor,Y,740,0,+740-900-005-002-820+
H-1512,Harappa,Inter-Riverine,TAB:I,NA,NA,NA,Poor,Y,740,0,+740-554+
H-1038,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Poor,N,740,0,+740-519-002-297-000[
H-1051,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Poor,Y,400,1,+400-740-575-017-920-320-798-002-861+
H-1304,Harappa,Inter-Riverine,TAB:I,NA,oval,NA,Poor,Y,400,1,+400-740-176+
H-882,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,Gavi,Poor,Y,400,1,+400-740-760-605+
H-1102,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,Y,400,1,+400-740-382+
H-1100,Harappa,Inter-Riverine,TAB:B,NA,rectangular,Bull2,Fair,Y,740,0,+740-904-240-002-817+
H-1030,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Good,Y,090,1,+090-740-103-002-861+
H-1152,Harappa,Inter-Riverine,TAB:B,Faience,prism,NA,Poor,?,740,0,]740-840[
H-1402,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,Y,740,0,+740-798-820+
-:289.1,Harappa,Inter-Riverine,POT:T:g,NA,NA,NA,Poor,N,740,0,+740-000-828+
H-873,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Gavi,Poor,Y,740,0,+740-407-590-690-436-255-920-318-220-415-803+
M-1108,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Fine,Y,740,0,+740-100-140-003+
H-161,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid,NA,Good,Y,740,0,+740-760-070-921-315-233+
H-1187,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular-round,Bult,Poor,Y,740,0,+740-924+
H-1058,Harappa,Inter-Riverine,SEAL,Steatite,NA,NA,Poor,N,740,0,]740-019-002-000[
H-874,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,NA,Good,Y,400,1,+400-740-455+
-:298.1,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Bult,Poor,N,400,1,+400-740-000-000+
H-890,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,740,0,+740-048-741-851+
H-2137,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,740,0,+740-100-176+
-:309.1,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,Pipal,Fair,Y,740,0,+740-785-004+
H-1192,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,400,1,+400-740-767-220-416+
H-524,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull,Poor,?,740,0,+740-441[
H-781,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Good,Y,740,0,+740-904-240+
-:321.1,Unknown,Other,SEAL:S,NA,square,Bull1:J,Fair,Y,090,1,+090-740-103-741-066+
-:5417.1,Rappwala Ther,Inter-Riverine,POT:T:g,Clay,NA,NA,Fair,N,000,1,]000-740[
-:338.1,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,?,740,0,+740-066-090-400[
M-1413,Mohenjo-daro,Lower Indus,TAB:B,NA,rectangular,NA,Poor,?,740,0,]740-630+
H-811,Harappa,Inter-Riverine,TAB:B,Faience,twisted rectangular,NA,Fair,Y,317,1,+317-740-335-740-176-002-920-491+
H-811,Harappa,Inter-Riverine,TAB:B,Faience,twisted rectangular,NA,Fair,Y,700,2,+700-032-740-335-575-413+
H-1772,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Goat:4,Good,Y,740,0,+740-031-001-140+
H-1800,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,N,400,1,+400-740-390-000[
H-1776,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Elep,Fair,Y,740,0,+740-390-590-060-550+
H-1848,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,N,740,0,+740-636-000[
H-1929,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bull2,Fair,Y,400,1,+400-740-061-140+
H-2140,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Good,Y,565,1,+565-740-176-231+
H-1962,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Gavi,Poor,N,000,1,]000-740-904-240+
H-1920,Harappa,Inter-Riverine,TAB:B,Faience,triangular,NA,Fair,Y,740,0,+740-515-126+
H-2192,Harappa,Inter-Riverine,TAB:I,Steatite,fish,NA,Fair,Y,740,0,+740-630-240-031-032-171+
H-251,Harappa,Inter-Riverine,TAB:B,Faience,prism,Gaur,Fair,Y,400,1,+400-740-100-240+
H-2214,Harappa,Inter-Riverine,TAB:I,Steatite,prism,NA,Fair,Y,740,0,+740-760-840-799+
H-1897,Harappa,Inter-Riverine,TAB:B,Faience,isosceles trapezoid,NA,Good,Y,400,1,+400-740-904-240+
H-1865,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,N,740,0,+740-702-061-002-000+
H-1832,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,400,5,+400-297-352-892-590-740-176+
H-1984,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,NA,Poor,?,400,1,+400-740-798-463[
H-1943,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bult,Good,Y,740,0,+740-384-031+
H-1997,Harappa,Inter-Riverine,TAB:B,Faience,unusual,Mult,Good,Y,400,1,+400-740-176-235+
H-237,Harappa,Inter-Riverine,TAB:B,NA,fish,NA,Fair,Y,740,0,+740-642-240-060-692+
H-2125,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,740,0,+740-143-067+
H-178,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Anth,Fair,Y,400,1,+400-740-717+
H-1905,Harappa,Inter-Riverine,TAB:B,Faience,notched oval,NA,Fair,Y,740,0,+740-843+
H-1914,Harappa,Inter-Riverine,TAB:B,Faience,fish,NA,Poor,?,740,0,+740-642[
H-1843,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,N,740,0,+740-690-000[
H-1778,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Gavi,Fair,Y,740,0,+740-817-491+
H-903,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,740,0,+740-760-240+
M-228,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740,0,+740-636-240+
H-1940,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bult,Good,Y,400,1,+400-740-067-100+
M-450,Mohenjo-daro,Lower Indus,TAB:B,Faience,rectangular,Gavi,Poor,?,740,0,]740-100-415+
M-1010,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Poor,?,740,0,]740-760[
H-1919,Harappa,Inter-Riverine,TAB:B,Faience,prism,NA,Poor,Y,740,0,+740-892+
H-1348,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Bult,Fair,?,740,0,]740-176+
M-1294,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Poor,?,740,0,+740-176-220[
H-1910,Harappa,Inter-Riverine,TAB:B,Faience,semi-circular,NA,Poor,N,740,0,]740-176-000[
H-1948,Harappa,Inter-Riverine,TAB:B,Faience,prism,NA,Poor,?,740,0,]740-440-920[
H-1850,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,400,1,+400-740-760-382+
H-2184,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular-round,NA,Fair,Y,400,1,+400-740-032-015+
H-742,Harappa,Inter-Riverine,TAB:B,Faience,cylindrical,NA,Good,Y,400,1,+400-740-100-176-175+
H-1836,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,N,400,1,+400-740-000-792+
H-1921,Harappa,Inter-Riverine,TAB:B,NA,circular,NA,Poor,N,000,1,]000-740-233-240+
H-1862,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Fair,Y,700,3,+700-033-400-740-388+
H-1932,Harappa,Inter-Riverine,TAB:B,NA,prism,Gavi,Poor,N,400,1,+400-740-000-832-000+
H-1114,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Fair,Y,400,1,+400-740-405-590-235-806+
H-1867,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,151,1,+151-740-221+
H-1868,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,151,1,+151-740-222+
H-1816,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Poor,N,740,0,+740-033-000-335-575-413+
H-1671,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:S,Good,Y,740,0,+740-061-002-455-420-032+
M-950,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,740,0,+740-690-435-255+
H-2073,Harappa,Inter-Riverine,TAB:I,Steatite,NA,NA,Poor,?,740,0,+740-032[
H-2175,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular-round,Fish,Good,Y,090,1,+090-740-101-031+
H-984,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Bult,Poor,?,400,1,+400-740-637[
-:2511.1,Mohenjo-daro,Lower Indus,TAB:B,Faience,NA,Scene,Poor,Y,740,0,+740-032-840+
H-1692,Harappa,Inter-Riverine,SEAL:S,Steatite,square,NA,Poor,Y,740,0,+740-390-590-002-861+
H-967,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular-round,NA,Good,Y,400,1,+400-740-032-028+
H-1969,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Gaur,Poor,?,090,1,+090-740-176[
H-2202,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Fish,Poor,?,740,0,+740-776[
H-1931,Harappa,Inter-Riverine,TAB:B,Faience,prism,Gavi,Good,Y,400,1,+400-740-176-791+
H-917,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,400,1,+400-740-032-027+
H-1822,Harappa,Inter-Riverine,TAB:B,Faience,cuboid,NA,Fair,Y,400,1,+400-740-176-519+
H-1906,Harappa,Inter-Riverine,TAB:B,Faience,heart,NA,Fair,Y,400,2,+400-090-740-400-090+
H-1939,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bult,Fair,Y,400,1,+400-740-141+
H-982,Harappa,Inter-Riverine,SEAL:R,Steatite,prism,Bult,Fair,Y,740,0,+740-388-031+
H-1923,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Good,Y,400,1,+400-740-032-840+
H-248,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Good,Y,400,1,+400-740-920-320-233-240-798+
H-1797,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Bult,Good,Y,740,0,+740-690-435-255-055+
H-1852,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,?,740,0,+740-806[
H-2019,Harappa,Inter-Riverine,TAB:B,Clay,prism,Gavi,Good,Y,090,1,+090-740-240-235+
H-1685,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull,Poor,N,090,1,+090-740-220-000-000-000-000+
H-1306,Harappa,Inter-Riverine,TAB:I,NA,oval,NA,Fair,?,400,1,+400-740[
H-2197,Harappa,Inter-Riverine,TAB:I,Steatite,circular,NA,Fair,Y,400,2,+400-090-740-100-390-231+
H-2006,Harappa,Inter-Riverine,TAB:B,Clay,twisted rectangular,NA,Poor,N,740,0,+740-752-175-000-000+
H-1988,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,NA,Fair,Y,851,1,+851-740-705-924-156+
H-1821,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,?,740,0,+740-519-741[
H-2193,Harappa,Inter-Riverine,TAB:I,Steatite,triangular,NA,Poor,N,000,1,+000-740-242-235+
H-1839,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,740,0,+740-100-175-630-705+
H-2022,Harappa,Inter-Riverine,TAB:B,Clay,prism,Phyt,Fair,Y,740,0,+740-752-175-002-861+
H-2139,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,740,0,+740-176-033-705-235+
H-2039,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,Fish,Fair,Y,740,0,+740-690-436-255+
H-1864,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,740,0,+740-142-062-002-817+
H-2005,Harappa,Inter-Riverine,TAB:B,Clay,twisted rectangular,Phyt,Poor,N,740,0,+740-752-175-000-861+
H-2021,Harappa,Inter-Riverine,TAB:B,Clay,prism,Phyt,Fair,Y,740,0,+740-752-070-255-832+
H-2021,Harappa,Inter-Riverine,TAB:B,Clay,prism,Phyt,Fair,Y,740,0,+740-752-463-495-240-415+
H-2338,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,740,0,]740-061-002-575-000[
H-2334,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,090,1,+090-740-400-000-000[
-:617.1,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,740,0,]740-000-000-002-575-000[
H-1662,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,033,2,+033-033/740-142-061-140-002-546+
H-1801,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,?,740,0,+740-390-590-741[
H-1842,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,740,0,+740-690-435-176-233-803+
H-1814,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,Y,740,0,+740-033-711-335-575-413+
H-2209,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Fish,Fair,Y,400,1,+400-740-032-025+
H-2108,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,400,1,+400-740-032-014+
H-2205,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Fish,Poor,?,740,0,]740-032-027+
H-2198,Harappa,Inter-Riverine,TAB:I,Steatite,circular,NA,Good,Y,740,0,+740-255-032+
H-1824,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Good,Y,740,0,+740-176-031-060-201+
H-1823,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,400,1,+400-740-798-365-415-001+
H-1849,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,?,400,1,+400-740-636[
H-1841,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,Y,740,0,+740-540-204-255+
H-1863,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,Y,400,1,+400-740-388+
H-1975,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Scene,Fair,Y,740,0,+740-760-061-060-692+
H-1672,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740,0,+740-400-142-061-033+
H-1903,Harappa,Inter-Riverine,TAB:B,Faience,hexagonal,NA,Good,Y,740,0,+740-923-235+
H-2030,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Mult,Poor,Y,090,1,+090-740-176-741-347+
H-850,Harappa,Inter-Riverine,TAB:B,Faience,prism,Fish,Poor,Y,400,1,+400-740-892-617+
H-1684,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,Y,682,3,+682-413-840/740-061+
H-2056,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,Fish,Fair,?,740,0,+740-240-235[
H-961,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular-rounded,NA,Poor,N,000,1,+000-740-176+
H-2336,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,?,740,0,+740-463-495-220[
H-2268,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,740,0,+740-495-000-034+
-:718.1,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,Y,740,0,+740-175-415-033-001+
H-1131,Harappa,Inter-Riverine,TAB:B,NA,twisted rectangular,NA,Poor,Y,740,0,+740-176-220-235+
H-1131,Harappa,Inter-Riverine,TAB:B,NA,twisted rectangular,NA,Poor,Y,740,0,+740-482-240-002-861+
H-174,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Gavi,Fair,Y,400,1,+400-740-017-503+
H-1670,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-760-033-033-240-002-824+
H-710,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Gavi,Poor,Y,400,1,+400-740-016-503+
-:4335.3,Dholavira,Gujarat/Kutch,TAG:PC,NA,NA,NA,Fair,N,740,0,+740-760-000[
H-2143,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Good,Y,090,1,+090-740-792+
H-1993,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,NA,Poor,N,740,0,+740-000-220-004-002-390-095+
H-2201,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Fish,Poor,Y,400,1,+400-740-176-240+
H-2183,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular-round,NA,Poor,Y,400,1,+400-740-575-017-798+
H-1947,Harappa,Inter-Riverine,TAB:B,Faience,prism,NA,Poor,N,740,0,+740-000-031+
H-1947,Harappa,Inter-Riverine,TAB:B,Faience,prism,NA,Poor,N,740,0,+740-630-000+
H-2040,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,Fish,Fair,Y,740,0,+740-803-060-550+
H-705,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Gavi,Poor,Y,712,3,+712-840-400-740-440+
H-2057,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,?,740,0,+740-336[
H-2103,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,?,740,0,]740-400-142+
H-1871,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,151,1,+151-740-235+
H-1840,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Bird,Poor,Y,090,1,+090-740-255-705-060-550+
H-1961,Harappa,Inter-Riverine,TAB:B,Clay,square,Gavi,Poor,Y,400,1,+400-740-440+
H-2585,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Poor,Y,400,1,+400-740-032+
H-900,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,400,1,+400-740-817-491+
H-2189,Harappa,Inter-Riverine,TAB:B,Steatite,heart,NA,Fair,Y,400,1,+400-740-152-240+
H-188,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Phyt,Good,Y,400,2,+400-090-740-100-415+
H-1775,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,Y,740,0,+740-100-415-176-792-102+
H-2104,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,740,0,+740-797-688+
H-2112,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,?,740,0,]740-032-013-904+
H-2190,Harappa,Inter-Riverine,TAB:I,Steatite,heart,NA,Good,Y,090,1,+090-740-327+
H-921,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,740,0,+740-255-061+
