scope,id,cisi,site,type,material,shape,text,third_slot,x_position_behavior,closure_binary,tail_token_count,tail_tokens,companion_formula_classes,duplicate_weight,source_ids
raw_clean_behavior,3464.1,M-1090,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-235-000-130-741+,235,medial_with_closed_tail,continues_after_x,3,000-130-741,,1,3464.1
raw_clean_behavior,3509.1,M-1148,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-002-861+,002,medial_with_closed_tail,continues_after_x,1,861,,1,3509.1
raw_clean_behavior,3556.1,M-1206,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-034+,034,terminal_closed,terminal_closed,0,,longer_other,1,3556.1
raw_clean_behavior,2681.1,M-154,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-621-415-002-257-898+,621,medial_with_closed_tail,continues_after_x,4,415-002-257-898,,1,2681.1
raw_clean_behavior,2689.1,M-163,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-415-060-820+,415,medial_with_closed_tail,continues_after_x,2,060-820,,1,2689.1
raw_clean_behavior,2516.1,M-1672,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-003-741-060-920+,003,medial_with_closed_tail,continues_after_x,3,741-060-920,,1,2516.1
raw_clean_behavior,2485.1,M-1687,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-368-817+,368,medial_with_closed_tail,continues_after_x,1,817,,1,2485.1
raw_clean_behavior,2506.1,M-1716,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-240-803-002-820+,240,medial_with_closed_tail,continues_after_x,3,803-002-820,,1,2506.1
raw_clean_behavior,2513.1,M-1776,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-803-741-262+,803,medial_with_closed_tail,continues_after_x,2,741-262,,1,2513.1
raw_clean_behavior,2420.1,M-1814,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-415-240+,415,medial_with_closed_tail,continues_after_x,1,240,,1,2420.1
raw_clean_behavior,3995.1,M-1843,Mohenjo-daro,SEAL:S,NA,square,+520-220-001-820-220-063-315+,001,medial_with_closed_tail,continues_after_x,4,820-220-063-315,,1,3995.1
raw_clean_behavior,2510.1,M-1884,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-016-002-416-000+,016,medial_with_closed_tail,continues_after_x,3,002-416-000,,1,2510.1
raw_clean_behavior,2441.1,M-1912,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-003+,003,terminal_closed,terminal_closed,0,,,1,2441.1
raw_clean_behavior,2800.1,M-279,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-415-002-700-000+,415,medial_with_closed_tail,continues_after_x,3,002-700-000,,1,2800.1
raw_clean_behavior,2827.1,M-308,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-002-727-317+,002,medial_with_closed_tail,continues_after_x,2,727-317,,1,2827.1
raw_clean_behavior,2841.1,M-323,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-415-235+,415,medial_with_closed_tail,continues_after_x,1,235,,1,2841.1
raw_clean_behavior,2565.1,M-37,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-415+,415,terminal_closed,terminal_closed,0,,,1,2565.1
raw_clean_behavior,2891.1,M-395,Mohenjo-daro,SEAL:R,Steatite,cuboid-convex,+520-220-415-798+,415,medial_with_closed_tail,continues_after_x,1,798,,1,2891.1
raw_clean_behavior,2593.1,M-65,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-031-001-706-575+,031,medial_with_closed_tail,continues_after_x,3,001-706-575,,1,2593.1
raw_clean_behavior,3094.1,M-650,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-415-519-002-817+,415,medial_with_closed_tail,continues_after_x,3,519-002-817,,1,3094.1
raw_clean_behavior,2603.1,M-75,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-004-002-817+,004,medial_with_closed_tail,continues_after_x,2,002-817,,1,2603.1
raw_clean_behavior,2265.1,M-888,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-240-741-440+,240,medial_with_closed_tail,continues_after_x,2,741-440,,1,2265.1
raw_clean_behavior,3357.1,M-962,Mohenjo-daro,SEAL:S,NA,square,+520-220-240-235+,240,medial_with_closed_tail,continues_after_x,1,235,,1,3357.1
raw_clean_behavior,5360.1,Ns-59,Nausharo,SEAL:S,Steatite,square,+520-220-742-060-920+,742,medial_with_closed_tail,continues_after_x,2,060-920,,1,5360.1
exact_text_collapsed_clean_behavior,4069.1,H-1284,Harappa,TAB:I,NA,rectangular,+520-220-415+,415,terminal_closed,terminal_closed,0,,700_034,17,4069.1|221.1|913.1|913.2|841.1|481.1|848.1|816.1|1341.1|1366.1|1383.1|1677.2|1818.1|1819.2|1820.1|1821.2|2565.1
exact_text_collapsed_clean_behavior,479.1,H-1669,Harappa,SEAL:S,Steatite,square,+520-220-415-060-920+,415,medial_with_closed_tail,continues_after_x,2,060-920,,1,479.1
exact_text_collapsed_clean_behavior,485.2,H-1953,Harappa,TAB:B,Clay,rectangular,+520-220-415-240-803+,415,medial_with_closed_tail,continues_after_x,2,240-803,longer_other,1,485.2
exact_text_collapsed_clean_behavior,1258.1,H-231,Harappa,TAB:B,Faience,elliptical,+520-220-240-002-820+,240,medial_with_closed_tail,continues_after_x,2,002-820,700_033,1,1258.1
exact_text_collapsed_clean_behavior,199.1,H-423,Harappa,SEAL:S,Steatite,square,+520-220-240-798-060-692+,240,medial_with_closed_tail,continues_after_x,3,798-060-692,,1,199.1
exact_text_collapsed_clean_behavior,1822.1,H-942,Harappa,TAB:I,Steatite,rectangular,+520-220-016+,016,terminal_closed,terminal_closed,0,,033_700,1,1822.1
exact_text_collapsed_clean_behavior,5277.1,K-150,Kalibangan,SEAL:S,Steatite,square,+520-220-006+,006,terminal_closed,terminal_closed,0,,,1,5277.1
exact_text_collapsed_clean_behavior,2052.1,L-98,Lothal,SEAL:R,Steatite,rectangular,+520-220-415-519+,415,medial_with_closed_tail,continues_after_x,1,519,,1,2052.1
exact_text_collapsed_clean_behavior,3421.1,M-1044,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-032-002-861+,032,medial_with_closed_tail,continues_after_x,2,002-861,,1,3421.1
exact_text_collapsed_clean_behavior,3464.1,M-1090,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-235-000-130-741+,235,medial_with_closed_tail,continues_after_x,3,000-130-741,,1,3464.1
exact_text_collapsed_clean_behavior,3509.1,M-1148,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-002-861+,002,medial_with_closed_tail,continues_after_x,1,861,,1,3509.1
exact_text_collapsed_clean_behavior,3556.1,M-1206,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-034+,034,terminal_closed,terminal_closed,0,,longer_other,1,3556.1
exact_text_collapsed_clean_behavior,2681.1,M-154,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-621-415-002-257-898+,621,medial_with_closed_tail,continues_after_x,4,415-002-257-898,,1,2681.1
exact_text_collapsed_clean_behavior,2689.1,M-163,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-415-060-820+,415,medial_with_closed_tail,continues_after_x,2,060-820,,1,2689.1
exact_text_collapsed_clean_behavior,2516.1,M-1672,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-003-741-060-920+,003,medial_with_closed_tail,continues_after_x,3,741-060-920,,1,2516.1
exact_text_collapsed_clean_behavior,2485.1,M-1687,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-368-817+,368,medial_with_closed_tail,continues_after_x,1,817,,1,2485.1
exact_text_collapsed_clean_behavior,2506.1,M-1716,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-240-803-002-820+,240,medial_with_closed_tail,continues_after_x,3,803-002-820,,1,2506.1
exact_text_collapsed_clean_behavior,2513.1,M-1776,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-803-741-262+,803,medial_with_closed_tail,continues_after_x,2,741-262,,1,2513.1
exact_text_collapsed_clean_behavior,2420.1,M-1814,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-415-240+,415,medial_with_closed_tail,continues_after_x,1,240,,1,2420.1
exact_text_collapsed_clean_behavior,3995.1,M-1843,Mohenjo-daro,SEAL:S,NA,square,+520-220-001-820-220-063-315+,001,medial_with_closed_tail,continues_after_x,4,820-220-063-315,,1,3995.1
exact_text_collapsed_clean_behavior,2510.1,M-1884,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-016-002-416-000+,016,medial_with_closed_tail,continues_after_x,3,002-416-000,,1,2510.1
exact_text_collapsed_clean_behavior,2441.1,M-1912,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-003+,003,terminal_closed,terminal_closed,0,,,1,2441.1
exact_text_collapsed_clean_behavior,2800.1,M-279,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-415-002-700-000+,415,medial_with_closed_tail,continues_after_x,3,002-700-000,,1,2800.1
exact_text_collapsed_clean_behavior,2827.1,M-308,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-002-727-317+,002,medial_with_closed_tail,continues_after_x,2,727-317,,1,2827.1
exact_text_collapsed_clean_behavior,2841.1,M-323,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-415-235+,415,medial_with_closed_tail,continues_after_x,1,235,,1,2841.1
exact_text_collapsed_clean_behavior,2891.1,M-395,Mohenjo-daro,SEAL:R,Steatite,cuboid-convex,+520-220-415-798+,415,medial_with_closed_tail,continues_after_x,1,798,,1,2891.1
exact_text_collapsed_clean_behavior,2593.1,M-65,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-031-001-706-575+,031,medial_with_closed_tail,continues_after_x,3,001-706-575,,1,2593.1
exact_text_collapsed_clean_behavior,3094.1,M-650,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-415-519-002-817+,415,medial_with_closed_tail,continues_after_x,3,519-002-817,,1,3094.1
exact_text_collapsed_clean_behavior,2603.1,M-75,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-004-002-817+,004,medial_with_closed_tail,continues_after_x,2,002-817,,1,2603.1
exact_text_collapsed_clean_behavior,2265.1,M-888,Mohenjo-daro,SEAL:S,Steatite,square,+520-220-240-741-440+,240,medial_with_closed_tail,continues_after_x,2,741-440,,1,2265.1
exact_text_collapsed_clean_behavior,3357.1,M-962,Mohenjo-daro,SEAL:S,NA,square,+520-220-240-235+,240,medial_with_closed_tail,continues_after_x,1,235,,1,3357.1
exact_text_collapsed_clean_behavior,5360.1,Ns-59,Nausharo,SEAL:S,Steatite,square,+520-220-742-060-920+,742,medial_with_closed_tail,continues_after_x,2,060-920,,1,5360.1
