"prev","next","frame","strict_row_count","dedup_text_units","cisi_count","site_count","type_count","largest_text_family_count","largest_text_family_share","largest_text","companion_profile","sites","types","examples"
"240","415","240-220-415","1","1","1","1","1","1","1","+740-690-435-255-240-220-415-806-742-060-920+","no_companion_side:1","Mohenjo-daro","SEAL:R","2865.1"
"520","001","520-220-001","1","1","1","1","1","1","1","+520-220-001-820-220-063-315+","no_companion_side:1","Mohenjo-daro","SEAL:S","3995.1"
"520","004","520-220-004","1","1","1","1","1","1","1","+520-220-004-002-817+","no_companion_side:1","Mohenjo-daro","SEAL:S","2603.1"
"520","006","520-220-006","1","1","1","1","1","1","1","+520-220-006+","no_companion_side:1","Kalibangan","SEAL:S","5277.1"
"520","031","520-220-031","1","1","1","1","1","1","1","+520-220-031-001-706-575+","no_companion_side:1","Mohenjo-daro","SEAL:S","2593.1"
"520","032","520-220-032","1","1","1","1","1","1","1","+520-220-032-002-861+","no_companion_side:1","Mohenjo-daro","SEAL:S","3421.1"
"520","034","520-220-034","1","1","1","1","1","1","1","+520-220-034+","longer_other:1","Mohenjo-daro","SEAL:S","3556.1"
"520","060","520-220-060","1","1","1","1","1","1","1","+621-520-220-060-880+","no_companion_side:1","Mohenjo-daro","SEAL:S","2816.1"
"520","368","520-220-368","1","1","1","1","1","1","1","+520-220-368-817+","no_companion_side:1","Mohenjo-daro","SEAL:S","2485.1"
"520","621","520-220-621","1","1","1","1","1","1","1","+520-220-621-415-002-257-898+","no_companion_side:1","Mohenjo-daro","SEAL:S","2681.1"
"520","742","520-220-742","1","1","1","1","1","1","1","+520-220-742-060-920+","no_companion_side:1","Nausharo","SEAL:S","5360.1"
"520","803","520-220-803","1","1","1","1","1","1","1","+520-220-803-741-262+","no_companion_side:1","Mohenjo-daro","SEAL:S","2513.1"
"590","032","590-220-032","1","1","1","1","1","1","1","+740-405-590-220-032-806+","no_companion_side:1","Mohenjo-daro","SEAL:R","2888.1"
"590","033","590-220-033","1","1","1","1","1","1","1","+000-590-220-033+","one_sign_or_contains_110:1","Rupar","POT:T:g","3871.1"
"590","235","590-220-235","1","1","1","1","1","1","1","+740-405-590-220-235-803-002-388-385-705-632+","no_companion_side:1","Mohenjo-daro","SEAL:R","2855.1"
"590","463","590-220-463","1","1","1","1","1","1","1","+740-390-590-220-463-240-001-820-060+","one_sign_or_contains_110:1","Dholavira","SEAL:S","4229.1"
"740","002","740-220-002","1","1","1","1","1","1","1","+090-740-220-002-368-550-821+","no_companion_side:1","Banawali","SEAL:S","27.1"
"740","014","740-220-014","1","1","1","1","1","1","1","+090-740-220-014-002-820+","no_companion_side:1","Mohenjo-daro","SEAL:S","2783.1"
"740","060","740-220-060","1","1","1","1","1","1","1","+550-740-220-060-297-630+","no_companion_side:1","Mohenjo-daro","SEAL:S","3318.1"
"740","233","740-220-233","1","1","1","1","1","1","1","+740-220-233-000+","no_companion_side:1","Mohenjo-daro","TAB:C","3729.1"
"740","235","740-220-235","1","1","1","1","1","1","1","+090-740-220-235-853+","no_companion_side:1","Mohenjo-daro","SEAL:S","2631.1"
"740","416","740-220-416","1","1","1","1","1","1","1","+400-760-740-220-416+","700_other_branch:1","Harappa","TAB:I","1324.2"
"740","741","740-220-741","1","1","1","1","1","1","1","+565-740-220-741-176+","no_companion_side:1","Mohenjo-daro","SEAL:S","2654.1"
"740","742","740-220-742","1","1","1","1","1","1","1","+090-740-220-742-534-550-090+","no_companion_side:1","Mohenjo-daro","SEAL:S","2823.1"
