object,site,region,type,material,shape,symbol,condition,complete,has_740,has_407,first_sign,first_740_position,first_407_position,text
H-142,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,true,false,740,0,,+740-267-811-832-060-692+
H-143,Harappa,Inter-Riverine,SEAL:R,Terracotta,rectangular,NA,Good,Y,true,false,154,4,,+154-806-469-001-740-877-032+
H-150,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,true,false,063,1,,+063-740-918+
H-151,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Good,Y,false,true,407,,0,+407-017-060-193+
H-155,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,740,0,,+740-176-001-367-861-216+
H-158,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,true,false,154,4,,+154-806-472-001-740-405-590+
K-63,Kalibangan,Inter-Riverine,SEAL:R,Steatite,cuboid,NA,Fair,Y,true,false,400,1,,+400-740-776-495+
H-310,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Poor,Y,true,false,740,0,,+740-231-003+
M-596,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Poor,N,true,false,740,0,,+740-000-000+
H-639,Harappa,Inter-Riverine,SEAL:R,NA,cuboid-convex,NA,Poor,N,false,true,407,,0,+407-000-000-705-832-904-845-235-002-717-747+
H-641,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,true,false,405,2,,+405-061-740-100-503-705-000[
H-645,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,Y,true,false,595,2,,+595-632-740-550+
H-648,Harappa,Inter-Riverine,SEAL:R,NA,cuboid-convex,NA,Poor,N,true,false,353,2,,+353-001-740-000[
H-654,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Poor,Y,true,false,405,2,,+405-061-740-806+
H-657,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,false,true,407,,0,+407-061-231-235-000[
H-659,Harappa,Inter-Riverine,SEAL:R,NA,cuboid-convex,NA,Fair,Y,true,true,407,3,0,+407-845-140-740-233-240-798-365-263+
H-665,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Good,Y,false,true,407,,0,+407-004-060-692+
H-666,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,740,0,,+740-007-503-626-484+
H-668,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,Y,true,false,790,1,,+790-740+
H-669,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,true,false,740,0,,+740-220-032+
M-1312,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,true,false,400,1,,+400-740-220+
-:1983.1,Lothal,Gujarat/Kutch,SEAL:R,Steatite,rectangular,NA,Poor,?,true,false,740,0,,]740-564+
M-1452,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,Othr,Poor,Y,true,true,740,0,1,+740-407-590+
K-62,Kalibangan,Inter-Riverine,SEAL:R,Terracotta,cuboid,NA,Good,Y,true,false,740,0,,+740-176-233-803+
Krs-2,Khirsara,Gujarat/Kutch,SEAL:R,NA,cuboid-convex,NA,Good,Y,true,false,740,0,,+740-575-017+
L-78 ,Lothal,Gujarat/Kutch,SEAL:R,Clay,cuboid-convex,NA,Poor,N,true,false,090,1,,+090-740-000-503+
L-87,Lothal,Gujarat/Kutch,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,true,false,740,0,,+740-032-840-233-220-032-060-825-002+
L-90,Lothal,Gujarat/Kutch,SEAL:R,NA,cuboid-convex,NA,Fair,Y,false,true,423,,3,+423-003-060-407-140+
L-95,Lothal,Gujarat/Kutch,SEAL:R,Clay,rectangular,NA,Poor,N,true,false,740,0,,+740-000-175-002-880+
L-103,Lothal,Gujarat/Kutch,SEAL:R,Clay,cuboid,NA,Poor,N,true,false,740,0,,+740-575-000[
L-111,Lothal,Gujarat/Kutch,SEAL:R,Shell,rectangular,NA,Good,Y,true,false,740,0,,+740-904-240-235+
L-112,Lothal,Gujarat/Kutch,SEAL:R,Clay,rectangular,NA,Poor,Y,true,false,740,0,,+740-760-605-002-540-590+
L-114,Lothal,Gujarat/Kutch,SEAL:R,Steatite,rectangular,NA,Poor,Y,true,true,740,0,1,+740-407-590-904-220-032-803-060-920+
L-122,Lothal,Gujarat/Kutch,SEAL:R,Agate,cuboid,NA,Fair,Y,true,false,527,2,,+527-550-740-443-060-820+
M-1989,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,true,false,679,1,,+679-740-575-017-798+
M-1989,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,true,false,679,1,,+679-740-575+
M-1953,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,false,true,407,,0,+407-845-233-806+
M-1984,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Poor,Y,false,true,407,,0,+407-003+
M-1975,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,true,false,740,0,,+740-752-001-595-204-920+
M-1956,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,true,false,740,0,,+740-900-790-220-415-798-806+
-:2247.1,Mohenjo-daro,Lower Indus,SEAL:R,Paste,rectangular,NA,Good,N,true,false,740,0,,+740-798-405-000[
M-2046,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Gaur,Fair,Y,true,false,740,0,,+740-752-615-503+
M-2053,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Fair,Y,false,true,407,,0,+407-032-520-095-585-017-220+
M-2050,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Anth,Fair,Y,true,true,740,0,3,+740-900-850-407-061-845-806+
M-517,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,NA,Good,Y,true,false,740,0,,+740-615-503+
M-1982,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,true,false,740,0,,+740-100-240-031+
M-1954,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,true,true,740,0,1,+740-407-590-031-752-033-705-220-415-798-002-861+
M-1548,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Fair,Y,true,false,740,0,,+740-690-435-255-231+
M-1972,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Poor,Y,true,false,740,0,,+740-455-235-798-742-460-353+
-:2481.1,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Unknown,Poor,Y,false,true,407,,0,+407-063-845-240-798+
M-1965,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Poor,N,true,true,407,2,0,+407-061-740-575-000[
-:2488.2,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Comp,Fair,Y,true,false,001,1,,+001-740-923-033-705+
M-1524,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Poor,Y,false,true,407,,0,+407-585-033-705-233-235-806+
M-1514,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,NA,Poor,Y,true,false,740,0,,+740-752+
M-388,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,true,false,740,0,,+740-519+
M-1443,Mohenjo-daro,Lower Indus,SEAL:R,NA,rectangular,NA,Fair,Y,true,false,740,0,,+740-220-003+
M-354,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,true,true,740,0,2,+740-729-407-845-236-002-906-125+
M-355,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,740,0,,+740-877-032-033-705-231-235-002-861-360-520-919-140+
M-357,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,true,false,740,0,,+740-100-806-472-240-806-001-820+
M-359,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,true,false,740,0,,+740-405-590-220-235-803-002-388-385-705-632+
M-360,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Good,Y,true,false,090,1,,+090-740-717-770-235+
M-362,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,true,false,740,0,,+740-007-503-002-817+
M-363,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,740,0,,+740-100-415-745-060-920+
M-364,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,740,0,,+740-354-002-817+
M-368,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,false,true,527,,2,+527-555-407-844-055-000+
M-369,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,740,0,,+740-690-435-255-240-220-415-806-742-060-920+
M-370,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,832,2,,+832-904-740-444-388-233-798-806+
M-372,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,true,false,740,0,,+740-338-605-176-001-820+
M-374,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,740,0,,+740-900-003-615-503+
M-375,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,740,0,,+740-100-233-220-032-002-820+
M-376,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,true,false,740,0,,+740-100-176-002-861-533-717+
M-377,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Good,Y,true,false,740,0,,+740-690-435-255-240-235+
M-378,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,true,true,407,4,0,+407-005-001-746-740-590+
M-380,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,137,3,,+137-003-001-740-920-322+
M-381,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,740,0,,+740-055-220-032-798-002-820+
M-384,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,740,0,,+740-900-003-803-002-820+
M-385,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,false,true,407,,0,+407-004-002-820+
M-389,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,740,0,,+740-861-383-031+
M-391,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Good,Y,true,false,405,3,,+405-845-686-740-793-003-233-805-002-861-533-717+
M-392,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,740,0,,+740-405-590-220-032-806+
M-393,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,679,1,,+679-740-575-017-240-806-002-540+
M-394,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,740,0,,+740-752-001-033-706+
M-397,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,740,0,,+740-752-055-233+
M-398,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,740,0,,+740-920-323+
M-399,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,true,false,740,0,,+740-055-033-706-235+
M-403,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,false,true,407,,0,+407-063-520-095+
M-405,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,740,0,,+740-923-240-235-806+
M-407,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid,NA,Good,Y,true,false,740,0,,+740-923-235-742-380+
M-408,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid,NA,Good,Y,false,true,407,,0,+407-061-002-817+
M-409,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid,NA,Good,Y,true,false,045,1,,+045-740-806+
M-502,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,Othr,Poor,N,true,false,740,0,,+740-176-233-000+
M-1449,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,Othr,Poor,Y,true,false,740,0,,+740-176-233-806+
M-1550,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Poor,Y,true,false,740,0,,+740-384-233-806+
M-505,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,Othr,Fair,N,true,false,740,0,,+740-384-233-000+
M-1457,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,Loop,Fair,Y,false,true,407,,0,+407-845-220-415+
M-510,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,NA,Poor,Y,true,false,405,2,,+405-240-740-176-002-326+
M-512,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,NA,Good,Y,true,false,740,0,,+740-176-220-032+
M-515,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,NA,Poor,Y,false,true,407,,0,+407-585-233+
M-524,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Gaur,Poor,Y,false,true,407,,0,+407-071-032+
M-525,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Gaur,Good,Y,true,false,423,4,,+423-003-001-900-740-690-435-255+
M-530,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular-round,Elep,Poor,Y,true,false,001,1,,+001-740-923-033-706+
M-1547,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Poor,Y,false,true,407,,0,+407-321-407-845-033-705-235+
M-545,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Goat:8,Good,Y,true,false,790,1,,+790-740-100-176-421-003+
-:5587.1,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Buff,Fair,Y,false,true,407,,0,+407-032-520-095-585-017-231+
M-550,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Comp,Poor,Y,true,false,740,0,,+740-100-233-003+
M-1517,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Tigr,Fair,Y,false,true,407,,0,+407-061-845-240-798+
M-571,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Comp,Good,Y,true,false,740,0,,+740-773-220-032+
M-1522,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Rhin,Fair,Y,true,false,740,0,,+740-222-233-235+
M-573,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular-round,Othr,Fair,Y,true,false,740,0,,+740-222-233-235/617-142-001-368-861+
M-577,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Othr,Poor,Y,false,true,617,,5,+617-142-597-032-905/407-004-002-365-460-495+
M-1534,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular-round,Othr,Fair,Y,true,false,740,0,,+740-388-585-017+
M-603,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Poor,Y,true,true,740,0,3,+740-900-850-407-845-806+
M-605,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Fair,Y,true,false,740,0,,+740-405-590-220-003+
M-1568,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Fair,Y,true,false,740,0,,+740-100-904-033-705-231-798+
M-608,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Poor,N,true,false,740,0,,+740-220-000+
M-594,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Poor,N,true,false,740,0,,+740-690-435-000[
M-1298,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Poor,N,true,false,740,0,,]740-100-000[
M-1052,Mohenjo-daro,Lower Indus,SEAL:R,NA,rectangular,NA,Poor,Y,true,false,679,1,,+679-740-220-032-806-001-595-575-001-095+
M-1053,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,N,true,false,740,0,,+740-055-527-555-000[
M-1262,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,false,true,407,,0,+407-004-001-745-561-586+
M-1263,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Poor,N,true,false,000,1,,+000-740-000-520-480-002-570+
M-1264,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,true,false,740,0,,+740-100-456-001-820+
M-1265,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,true,false,740,0,,+740-055-240-220-032-806+
M-1266,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,true,false,740,0,,+740-483-233-235-055+
M-1267,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Poor,Y,true,false,416,2,,+416-001-740-720-175-002-861+
M-1268,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,true,false,740,0,,+740-455-176-002-817+
M-1273,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,true,false,740,0,,+740-055-002-861-603+
M-1275,Mohenjo-daro,Lower Indus,SEAL:R,NA,rectangular,NA,Good,Y,true,false,740,0,,+740-752-440-220-032-798+
M-1276,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,true,false,159,3,,+159-243-001-740-325+
M-1288,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Poor,?,true,false,090,1,,+090-740-900-100[
M-1291,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,?,true,false,740,0,,+740-222[
M-1295,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,false,true,407,,0,+407-845-220-415-798-000[
M-1296,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Poor,?,false,true,407,,0,+407-370[
M-1301,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Poor,N,true,true,740,0,1,+740-407-590-000[
M-1304,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Poor,?,true,false,740,0,,+740-405-590-745[
M-1306,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,true,false,740,0,,+740-405-590-806-002-820+
M-1307,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,true,false,740,0,,+740-460-503+
M-1308,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,true,true,740,0,4,+740-032-055-001-407-004+
M-1310,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,true,true,407,3,0,+407-004-001-740-407-590-235+
M-1314,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,true,true,407,3,0,+407-016-001-740-923+
M-1318,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,true,false,740,0,,+740-460-503-002-880+
M-1323,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Fair,Y,true,false,740,0,,+740-798-405-590-033-706-806+
M-1325,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,N,false,true,407,,0,+407-063-444-388-231-000[
M-1326,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Poor,?,true,false,740,0,,+740-585[
M-1328,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Poor,?,true,false,740,0,,+740-388-807-033-705-233[
M-1330,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Poor,?,false,true,407,,0,+407-845-220[
M-1337,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,?,true,true,407,2,0,+407-063-740[
M-1340,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fair,N,true,false,354,2,,+354-001-740-690-435-255-000[
M-1342,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Poor,Y,true,false,740,0,,+740-680-090-585-017+
M-1344,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,?,true,true,740,0,1,+740-407-220[
M-1346,Mohenjo-daro,Lower Indus,SEAL:R,NA,rectangular,NA,Poor,Y,true,false,740,0,,+740-861-032-233-803-002-820+
M-1353,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid,NA,Good,?,true,false,740,0,,+740-463-503-745[
M-1364,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Poor,N,true,false,740,0,,+740-923-033-705-000[
M-1366,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,true,false,740,0,,+740-483-803-626-061+
M-1438,Mohenjo-daro,Lower Indus,SEAL:R,NA,semi-circular,NA,Poor,Y,true,false,400,1,,+400-740-923-226-032+
M-1448,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,Othr,Poor,Y,true,false,740,0,,+740-176-233-831+
M-1450,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,Othr,Poor,N,true,false,740,0,,+740-220-233-000+
M-1452,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,Othr,Poor,Y,true,false,740,0,,+740-176-231-806+
M-1455,Mohenjo-daro,Lower Indus,TAB:C,NA,square,NA,Poor,N,true,false,740,0,,+740-384-000-000+
M-1457,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,Loop,Fair,Y,true,false,790,1,,+790-740-100-405-590+
M-1458,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,NA,Poor,Y,false,true,407,,0,+407-004-001-617-142+
M-1461,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,NA,Poor,Y,true,false,740,0,,+740-798-233+
M-1465,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,NA,Poor,Y,true,false,740,0,,+740-773+
M-1474,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Bull,Poor,N,true,false,000,1,,+000-740-690-435-255+
M-1475,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Buff,Fair,Y,true,false,424,4,,+424-003-001-900-740-690-435-255+
M-1480,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Poor,Y,true,false,422,3,,+422-003-900-740-690-435-255+
M-1477,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Bull,Poor,N,true,false,000,2,,+000-900-740-690-000+
M-2042,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Elep,Good,Y,true,false,740,0,,+740-923-033-706+
M-1499,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Othr,Poor,Y,true,false,740,0,,+740-100-176-422-003+
M-1498,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Othr,Poor,N,true,false,790,1,,+790-740-000-176-000-003+
M-1520,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Othr,Good,Y,true,false,740,0,,+740-222-220-235+
M-1532,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Othr,Poor,Y,false,true,407,,0,+407-004-002-365-460-495+
H-1076,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Good,Y,true,false,740,0,,+740-611-706-002-820+
H-1079,Harappa,Inter-Riverine,SEAL:R,NA,rectangular-notched,NA,Fair,N,true,false,740,0,,+740-390-590-002-000[
M-1958,Mohenjo-daro,Lower Indus,SEAL:R,NA,rectangular,NA,Fair,Y,true,false,740,0,,+740-903-850-033-706-235+
M-1959,Mohenjo-daro,Lower Indus,SEAL:R,NA,rectangular,NA,Poor,N,true,false,740,0,,+740-100-000-002-820+
