"id","cisi","site","region","area_section","material","shape","type","sides","condition","complete","dir","class","text_length","text","signs","second","third","fourth","length","exact_pair","exact_triplet","tail_after_second","tail_after_third","damaged_or_open"
"1112.1","H-53","Harappa","Inter-Riverine","--","-","square","SEAL:S","1","Good","Y","R/L","SS","3","+520-033-706+","520-033-706","033","706","<END>","3","False","True","706","","False"
"1123.1","H-64","Harappa","Inter-Riverine","FTrench I","Steatite","square","SEAL:S","1","Fair","Y","R/L","MT","4","+520-070-921-240+","520-070-921-240","070","921","240","4","False","False","921-240","240","False"
"1141.1","H-85","Harappa","Inter-Riverine","AB-","Steatite","square","SEAL:S","1","Poor","Y","R/L","SP","4","+520-219-002-817+","520-219-002-817","219","002","817","4","False","False","002-817","817","False"
"1142.1","H-86","Harappa","Inter-Riverine","FGranery","Steatite","square","SEAL:S","1","Fair","Y","R/L","SS","3","+520-460-031+","520-460-031","460","031","<END>","3","False","True","031","","False"
"1147.1","H-91","Harappa","Inter-Riverine","AB-","Steatite","square","SEAL:S","1","Fair","Y","R/L","SP","5","+520-070-253-060-692+","520-070-253-060-692","070","253","060","5","False","False","253-060-692","060-692","False"
"1155.1","H-100","Harappa","Inter-Riverine","FTrench I","Clay","square","SEAL:S","1","Poor","N","R/L","??","5","+520-031-000-002-000+","520-031-000-002-000","031","000","002","5","False","False","000-002-000","002-000","False"
"1189.1","H-148","Harappa","Inter-Riverine","F-","Steatite","cuboid-convex","SEAL:R","1","Fine","Y","R/L","MT","3","+520-240-235+","520-240-235","240","235","<END>","3","False","True","235","","False"
"1257.1","H-230","Harappa","Inter-Riverine","F-","Faience","hexagonal","TAB:B","2","Good","Y","R/L","MT","3","+520-072-219+","520-072-219","072","219","<END>","3","False","True","219","","False"
"1258.1","H-231","Harappa","Inter-Riverine","FTrench VI","Faience","elliptical","TAB:B","2","Fair","Y","R/L","SP","5","+520-220-240-002-820+","520-220-240-002-820","220","240","002","5","False","False","240-002-820","002-820","False"
"1274.2","H-249","Harappa","Inter-Riverine","FTrench VI","Faience","circular","TAB:B","2","Good","Y","R/L","MT","2","+520-233+","520-233","233","<END>","<END>","2","True","False","","","False"
"1277.1","H-252","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Poor","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1278.1","H-253","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Poor","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1279.1","H-254","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Poor","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1280.1","H-255","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Poor","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1281.1","H-256","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Poor","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1282.1","H-257","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Poor","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1283.1","H-258","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Poor","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1284.1","H-259","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Poor","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1285.1","H-260","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Poor","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1286.1","H-261","Harappa","Inter-Riverine","G-","Clay","cylindrical","TAB:B","1","Poor","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1287.1","H-262","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Poor","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1288.1","H-263","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Poor","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1289.1","H-264","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Poor","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1290.1","H-265","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Poor","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1298.1","H-276","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Poor","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1299.1","H-277","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Poor","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1316.1","-","Dholavira","Gujarat/Kutch","--","Steatite","square","SEAL:S","1","Fair","N","R/L","??","7","+520-920-320-235-175-000-820+","520-920-320-235-175-000-820","920","320","235","7","False","False","320-235-175-000-820","235-175-000-820","False"
"1341.1","H-319","Harappa","Inter-Riverine","FTrench IV+V","Steatite","oval","TAB:I","2","Good","Y","R/L","MT","3","+520-220-415+","520-220-415","220","415","<END>","3","False","True","415","","False"
"1342.1","H-320","Harappa","Inter-Riverine","FTrench I","Steatite","oval","TAB:I","2","Poor","N","R/L","??","3","+520-240-000+","520-240-000","240","000","<END>","3","False","True","000","","False"
"1351.1","H-329","Harappa","Inter-Riverine","--","-","fish","TAB:I","2","Poor","Y","R/L","SS","2","+520-220+","520-220","220","<END>","<END>","2","True","False","","","False"
"1366.1","H-346","Harappa","Inter-Riverine","FTrench IV+V","Steatite","circular","TAB:I","2","Fair","Y","R/L","MT","3","+520-220-415+","520-220-415","220","415","<END>","3","False","True","415","","False"
"1383.1","H-364","Harappa","Inter-Riverine","FTrench I","Steatite","cuboid","TAB:I","1","Fair","Y","R/L","MT","3","+520-220-415+","520-220-415","220","415","<END>","3","False","True","415","","False"
"1401.1","H-388","Harappa","Inter-Riverine","--","-","square","SEAL:S","1","Good","Y","R/L","LP","7","+520-033-706-231-806-002-817+","520-033-706-231-806-002-817","033","706","231","7","False","False","706-231-806-002-817","231-806-002-817","False"
"1445.1","H-455","Harappa","Inter-Riverine","FTrench VI","Steatite","square","SEAL:S","1","Poor","Y","R/L","IT","6","+520-033-705-002-172-032+","520-033-705-002-172-032","033","705","002","6","False","False","705-002-172-032","002-172-032","False"
"1446.1","H-456","Harappa","Inter-Riverine","FTrench III","Steatite","square","SEAL:S","1","Fair","Y","R/L","IT","6","+520-033-706-002-817-808+","520-033-706-002-817-808","033","706","002","6","False","False","706-002-817-808","002-817-808","False"
"1479.1","H-501","Harappa","Inter-Riverine","FTrench VI","Steatite","square","SEAL:S","1","Poor","Y","R/L","SP","5","+520-233-803-002-817+","520-233-803-002-817","233","803","002","5","False","False","803-002-817","002-817","False"
"1481.1","H-503","Harappa","Inter-Riverine","FTrench VI","Steatite","square","SEAL:S","1","Poor","Y","R/L","SS","2","+520-175+","520-175","175","<END>","<END>","2","True","False","","","False"
"1500.1","H-525","Harappa","Inter-Riverine","FTrench I","Steatite","square","SEAL:S","1","Poor","?","R/L","UC","2+?","+520-220[","520-220","220","<END>","<END>","2","False","False","","","True"
"1501.1","H-530","Harappa","Inter-Riverine","FTrench VI","Steatite","square","SEAL:S","1","Fair","Y","R/L","SS","4","+520-400-350-031+","520-400-350-031","400","350","031","4","False","False","350-031","031","False"
"1510.1","H-550","Harappa","Inter-Riverine","FTrench VI","Steatite","square","SEAL:S","1","Poor","Y","R/L","SC","4","+520-033-706-031+","520-033-706-031","033","706","031","4","False","False","706-031","031","False"
"1564.1","H-649","Harappa","Inter-Riverine","FTrench IV+V","Steatite","cuboid-convex","SEAL:R","1","Poor","Y","R/L","LP","8","+520-033-705-233-240-806-002-820+","520-033-705-233-240-806-002-820","033","705","233","8","False","False","705-233-240-806-002-820","233-240-806-002-820","False"
"1575.1","H-660","Harappa","Inter-Riverine","--","-","cuboid-convex","SEAL:R","1","Good","Y","R/L","MT","6","+520-095-033-706-240-798+","520-095-033-706-240-798","095","033","706","6","False","False","033-706-240-798","706-240-798","False"
"1594.1","H-688","Harappa","Inter-Riverine","--","-","-","SEAL","2","Poor","Y","R/L","SP","6","+520-233-002-861-831-165+","520-233-002-861-831-165","233","002","861","6","False","False","002-861-831-165","861-831-165","False"
"1677.2","H-786","Harappa","Inter-Riverine","--","-","rectangular","TAB:B","2","Good","Y","R/L","MT","3","+520-220-415+","520-220-415","220","415","<END>","3","False","True","415","","False"
"1704.2","H-815","Harappa","Inter-Riverine","FTrench VI","Faience","hexagonal","TAB:B","2","Good","Y","R/L","MT","3","+520-072-219+","520-072-219","072","219","<END>","3","False","True","219","","False"
"1708.1","H-819","Harappa","Inter-Riverine","--","-","heart","TAB:B","2","Fair","Y","R/L","MT","2","+520-240+","520-240","240","<END>","<END>","2","True","False","","","False"
"1742.1","H-859","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Good","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1743.1","H-860","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Good","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1744.1","H-861","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Good","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1745.1","H-862","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Good","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1746.1","H-863","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Good","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1747.1","H-864","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Good","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1748.1","H-865","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Good","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1749.1","H-866","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Good","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1750.1","H-867","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Good","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1751.1","H-868","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Good","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1752.1","H-869","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Good","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1753.1","H-870","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Good","Y","R/L","SP","5","+520-240-002-405-501+","520-240-002-405-501","240","002","405","5","False","False","002-405-501","405-501","False"
"1802.2","H-922","Harappa","Inter-Riverine","F-","Steatite","rectangular","TAB:I","2","Good","Y","R/L","SS","2","+520-031+","520-031","031","<END>","<END>","2","True","False","","","False"
"1803.2","H-923","Harappa","Inter-Riverine","FTrench I","Steatite","rectangular","TAB:I","2","Good","Y","R/L","SS","2","+520-031+","520-031","031","<END>","<END>","2","True","False","","","False"
"1818.1","H-938","Harappa","Inter-Riverine","F-","Steatite","rectangular","TAB:I","2","Good","Y","L/R","MT","3","+520-220-415+","520-220-415","220","415","<END>","3","False","True","415","","False"
"1819.2","H-939","Harappa","Inter-Riverine","D-","Steatite","rectangular","TAB:I","2","Poor","Y","L/R","MT","3","+520-220-415+","520-220-415","220","415","<END>","3","False","True","415","","False"
"1820.1","H-940","Harappa","Inter-Riverine","FGranery","Steatite","rectangular","TAB:I","2","Fair","Y","R/L","MT","3","+520-220-415+","520-220-415","220","415","<END>","3","False","True","415","","False"
"1821.2","H-941","Harappa","Inter-Riverine","FGranery","Steatite","rectangular","TAB:I","2","Poor","Y","R/L","MT","3","+520-220-415+","520-220-415","220","415","<END>","3","False","True","415","","False"
"1822.1","H-942","Harappa","Inter-Riverine","AB-","Steatite","rectangular","TAB:I","2","Fair","Y","L/R","MT","3","+520-220-016+","520-220-016","220","016","<END>","3","False","True","016","","False"
"1880.1","K-5","Kalibangan","Inter-Riverine","KLB-1-","Steatite","square","SEAL:S","1","Fine","Y","R/L","LP","6","+520-233-240-803-741-125+","520-233-240-803-741-125","233","240","803","6","False","False","240-803-741-125","803-741-125","False"
"1899.1","K-25","Kalibangan","Inter-Riverine","KLB-2-","Steatite","square","SEAL:S","1","Poor","Y","R/L","LC","7","+520-231-002-220-065-132-082+","520-231-002-220-065-132-082","231","002","220","7","False","False","002-220-065-132-082","220-065-132-082","False"
"1940.1","K-85","Kalibangan","Inter-Riverine","KLB-2-","-","-","TAG:L","1","Fair","Y","R/L","IT","4","+520-033-002-861+","520-033-002-861","033","002","861","4","False","False","002-861","861","False"
"1967.1","K-32","Kalibangan","Inter-Riverine","KLB-1-","Steatite","square","SEAL:S","1","Fine","Y","R/L","MT","2","+520-231+","520-231","231","<END>","<END>","2","True","False","","","False"
"1989.1","L-10","Lothal","Gujarat/Kutch","--","Steatite","square","SEAL:S","1","Fair","N","R/L","??","9","+520-033-705-233-240-460-491-002-000+","520-033-705-233-240-460-491-002-000","033","705","233","9","False","False","705-233-240-460-491-002-000","233-240-460-491-002-000","False"
"2012.1","L-39","Lothal","Gujarat/Kutch","SRG 620-III","Steatite","square","SEAL:S","1","Fair","Y","R/L","SC","5","+520-315-002-861-626+","520-315-002-861-626","315","002","861","5","False","False","002-861-626","861-626","False"
"2046.1","L-92","Lothal","Gujarat/Kutch","SRG 2-","Steatite","cuboid-convex","SEAL:R","1","Poor","Y","R/L","IT","6","+520-070-255-832-002-817+","520-070-255-832-002-817","070","255","832","6","False","False","255-832-002-817","832-002-817","False"
"2052.1","L-98","Lothal","Gujarat/Kutch","SRG 3BX 2","Steatite","rectangular","SEAL:R","1","Good","Y","R/L","MT","4","+520-220-415-519+","520-220-415-519","220","415","519","4","False","False","415-519","519","False"
"2077.1","L-134","Lothal","Gujarat/Kutch","--","Clay","-","TAG","1","Poor","Y","R/L","IT","6","+520-233-220-240-002-617+","520-233-220-240-002-617","233","220","240","6","False","False","220-240-002-617","240-002-617","False"
"2080.1","L-138","Lothal","Gujarat/Kutch","--","Clay","-","TAG:L","1","Poor","N","-","??","4+?","+520-070-002-000[","520-070-002-000","070","002","000","4","False","False","002-000","000","True"
"2088.1","L-146","Lothal","Gujarat/Kutch","SRG 3L 5","Clay","-","TAG:O","1","Poor","Y","R/L","SS","3","+520-033-705+","520-033-705","033","705","<END>","3","False","True","705","","False"
"2110.2","L-188","Lothal","Gujarat/Kutch","SRG 2B 1y","Clay","-","TAG","3","Poor","N","R/L","??","2+?","+520-000[","520-000","000","<END>","<END>","2","False","False","","","True"
"2178.1","M-1696","Mohenjo-daro","Lower Indus","DKB","Steatite","square","SEAL:S","1","Fair","Y","R/L","LP","7","+520-033-705-220-415-002-861+","520-033-705-220-415-002-861","033","705","220","7","False","False","705-220-415-002-861","220-415-002-861","False"
"2236.1","M-1677","Mohenjo-daro","Lower Indus","DKG. (N)","Steatite","square","SEAL:S","1","Fair","Y","R/L","LC","8","+520-382-032-002-820-001-440-012+","520-382-032-002-820-001-440-012","382","032","002","8","False","False","032-002-820-001-440-012","002-820-001-440-012","False"
"2245.1","M-1890","Mohenjo-daro","Lower Indus","DKG. (N)","Steatite","square","SEAL:S","1","Good","?","R/L","UC","5+?","+520-033-705-240-235[","520-033-705-240-235","033","705","240","5","False","False","705-240-235","240-235","True"
"2262.1","M-1827","Mohenjo-daro","Lower Indus","DKC","Steatite","square","SEAL:S","1","Good","Y","R/L","MT","2","+520-233+","520-233","233","<END>","<END>","2","True","False","","","False"
"2265.1","M-888","Mohenjo-daro","Lower Indus","DKB","Steatite","square","SEAL:S","1","Fair","Y","R/L","SP","5","+520-220-240-741-440+","520-220-240-741-440","220","240","741","5","False","False","240-741-440","741-440","False"
"2312.1","M-1900","Mohenjo-daro","Lower Indus","DKG","Steatite","square","SEAL:S","1","Fair","Y","R/L","SP","5","+520-240-741-590-575+","520-240-741-590-575","240","741","590","5","False","False","741-590-575","590-575","False"
"2315.1","M-1783","Mohenjo-daro","Lower Indus","DKG. (S)","Steatite","square","SEAL:S","1","Fair","N","R/L","??","7","+520-442/425-003-002-000-215+","520-442-425-003-002-000-215","442","425","003","7","False","False","425-003-002-000-215","003-002-000-215","False"
"2319.1","M-1829","Mohenjo-daro","Lower Indus","DKG. (S)","Steatite","square","SEAL:S","1","Good","Y","R/L","SS","2","+520-175+","520-175","175","<END>","<END>","2","True","False","","","False"
"2326.1","M-1967","Mohenjo-daro","Lower Indus","DKG. (S)","Steatite","rectangular","SEAL:R","1","Good","?","R/L","UC","5+?","+520-033-705-002-585[","520-033-705-002-585","033","705","002","5","False","False","705-002-585","002-585","True"
"2342.1","M-1661","Mohenjo-daro","Lower Indus","DKG. (S)","Steatite","square","SEAL:S","1","Good","Y","R/L","LP","9","+520-070-219-002-861-032-520-919-140+","520-070-219-002-861-032-520-919-140","070","219","002","9","False","False","219-002-861-032-520-919-140","002-861-032-520-919-140","False"
