checked_date,prev_before_002,rows,terminal_after_head,terminal_share,head_count,head_entropy_bits,top_head_share,top_heads,branch_count,top_branches,exact_text_count,top_exact_text_share,top_exact_texts
2026-05-31,029,1,1,1.000000,1,0.000000,1.000000,281:1,1,281-<END>:1,1,1.000000,+740-032-029-002-281+:1
2026-05-31,031,22,14,0.636364,10,2.749903,0.363636,861:8;817:5;820:2;000:1;031:1;069:1;226:1;315:1,13,861-<END>:6;817-<END>:5;000-<END>:1;031-892:1;069-<END>:1;226-231:1;315-850:1;390-705:1,22,0.045455,]000-031-002-817+:1;]031-002-861+:1;+000-136-031-002-861+:1;+000-400-350-031-002-817+:1
2026-05-31,032,46,31,0.673913,18,3.434648,0.217391,820:10;861:10;817:7;000:4;390:2;142:1;144:1;168:1,24,820-<END>:8;861-<END>:8;817-<END>:7;000-<END>:3;000-216:1;142-<END>:1;144-<END>:1;168-032:1,46,0.021739,]000-032-002-820+:1;]000-220-032-002-820+:1;]220-032-002-817+:1;]390-590-032-002-000[:1
2026-05-31,033,2,1,0.500000,2,1.000000,0.500000,000:1;861:1,2,000-031:1;861-<END>:1,2,0.500000,+520-033-002-861+:1;+808-033-002-000-031+:1
2026-05-31,034,2,1,0.500000,2,1.000000,0.500000,374:1;817:1,2,374-228:1;817-<END>:1,2,0.500000,]034-002-817[:1;+390-034-002-374-228-741+:1
2026-05-31,035,1,1,1.000000,1,0.000000,1.000000,861:1,1,861-<END>:1,1,1.000000,+405-035-002-861+:1
2026-05-31,042,1,1,1.000000,1,0.000000,1.000000,820:1,1,820-<END>:1,1,1.000000,+740-042-002-820+:1
2026-05-31,048,2,2,1.000000,1,0.000000,1.000000,817:2,1,817-<END>:2,2,0.500000,+048-002-817+:1;+740-048-002-817+:1
2026-05-31,049,3,3,1.000000,3,1.584963,0.333333,817:1;820:1;861:1,3,817-<END>:1;820-<END>:1;861-<END>:1,3,0.333333,]000-049-002-820+:1;+520-233-049-002-861+:1;+740-760-049-002-817+:1
2026-05-31,055,3,1,0.333333,3,1.584963,0.333333,595:1;820:1;861:1,3,595-575:1;820-<END>:1;861-603:1,3,0.333333,+520-033-705-220-803-055-002-820+:1;+740-032-840-233-240-033-706-055-002-595-575-794-000+:1;+740-055-002-861-603+:1
2026-05-31,061,16,8,0.500000,12,3.375000,0.250000,817:4;861:2;000:1;368:1;390:1;400:1;455:1;460:1,12,817-<END>:4;861-<END>:2;000-<END>:1;368-634:1;390-140:1;400-703:1;455-420:1;460-632:1,16,0.062500,]740-061-002-575-000[:1;+000-061-002-460-632+:1;+151-061-002-861+:1;+224-740-061-002-824+:1
2026-05-31,062,1,1,1.000000,1,0.000000,1.000000,817:1,1,817-<END>:1,1,1.000000,+740-142-062-002-817+:1
2026-05-31,064,1,0,0.000000,1,0.000000,1.000000,003:1,1,003-861:1,1,1.000000,+000-480-003-064-002-003-861+:1
2026-05-31,067,1,0,0.000000,1,0.000000,1.000000,374:1,1,374-310:1,1,1.000000,+740-142-067/002-374-310-350-495-834+:1
2026-05-31,070,3,1,0.333333,3,1.584963,0.333333,000:1;002:1;233:1,3,000-<END>:1;002-817:1;233-235:1,3,0.333333,]000-003-070-002-002-817+:1;+405-032-900-003-070-002-233-235+:1;+520-070-002-000[:1
2026-05-31,072,2,1,0.500000,2,1.000000,0.500000,270:1;817:1,2,270-633:1;817-<END>:1,2,0.500000,+406-072-002-817+:1;+520-033-705-220-032/231-072-002-270-633-032+:1
2026-05-31,093,1,0,0.000000,1,0.000000,1.000000,252:1,1,252-575:1,1,1.000000,+740-760-093-002-252-575+:1
2026-05-31,097,1,1,1.000000,1,0.000000,1.000000,817:1,1,817-<END>:1,1,1.000000,+161-097-002-817+:1
2026-05-31,101,2,1,0.500000,2,1.000000,0.500000,365:1;820:1,2,365-287:1;820-<END>:1,2,0.500000,+031-840-140-740-101-002-365-287-034+:1;+090-740-101-002-820+:1
2026-05-31,103,2,2,1.000000,2,1.000000,0.500000,000:1;861:1,2,000-<END>:1;861-<END>:1,2,0.500000,+090-740-103-002-861+:1;+565-740-240-103-002-000+:1
2026-05-31,104,3,3,1.000000,3,1.584963,0.333333,817:1;820:1;824:1,3,817-<END>:1;820-<END>:1;824-<END>:1,3,0.333333,+104-002-820+:1;+368-415-104-002-824+:1;+740-615-104-002-817+:1
2026-05-31,111,1,0,0.000000,1,0.000000,1.000000,001:1,1,001-250:1,1,1.000000,+111-002-001-250+:1
2026-05-31,125,2,2,1.000000,1,0.000000,1.000000,861:2,1,861-<END>:2,2,0.500000,+090-125-002-861+:1;+125-002-861+:1
2026-05-31,132,1,1,1.000000,1,0.000000,1.000000,861:1,1,861-<END>:1,1,1.000000,+924-132-002-861+:1
2026-05-31,136,2,1,0.500000,2,1.000000,0.500000,298:1;861:1,2,298-741:1;861-<END>:1,2,0.500000,+136-002-298-741+:1;+136-002-861+:1
2026-05-31,137,2,2,1.000000,1,0.000000,1.000000,820:2,1,820-<END>:2,2,0.500000,+137-002-820+:1;+700-033-137-002-820+:1
2026-05-31,139,1,1,1.000000,1,0.000000,1.000000,820:1,1,820-<END>:1,1,1.000000,+139-002-820+:1
2026-05-31,140,6,3,0.500000,5,2.251629,0.333333,741:2;220:1;546:1;817:1;861:1,5,741-060:2;220-627:1;546-<END>:1;817-<END>:1;861-<END>:1,6,0.166667,+000-840-140-002-817+:1;+033-033/740-142-061-140-002-546+:1;+036-269-140-002-741-060-920+:1;+136-140-002-861+:1
2026-05-31,142,3,2,0.666667,3,1.584963,0.333333,390:1;518:1;817:1,3,390-095:1;518-<END>:1;817-<END>:1,3,0.333333,+151-279-142-002-390-095+:1;+617-142-002-817+:1;+740-604-142-002-518+:1
2026-05-31,150,1,0,0.000000,1,0.000000,1.000000,055:1,1,055-031:1,1,1.000000,+416-150-002-055-031-319-001-924+:1
2026-05-31,155,1,1,1.000000,1,0.000000,1.000000,679:1,1,679-<END>:1,1,1.000000,+740-630-155-002-679+:1
2026-05-31,156,2,1,0.500000,2,1.000000,0.500000,252:1;820:1,2,252-692:1;820-<END>:1,2,0.500000,+151-061/156-002-252-692+:1;+740-773-156-002-820+:1
2026-05-31,168,1,1,1.000000,1,0.000000,1.000000,817:1,1,817-<END>:1,1,1.000000,+390-503-740-168-002-817+:1
2026-05-31,175,5,4,0.800000,4,1.921928,0.400000,861:2;000:1;295:1;880:1,4,861-<END>:2;000-<END>:1;295-502:1;880-<END>:1,5,0.200000,+416-001-740-720-175-002-861+:1;+520-175-002-295-502+:1;+740-000-175-002-880+:1;+740-752-175-002-861+:1
2026-05-31,176,14,7,0.500000,9,2.835238,0.357143,861:5;817:2;000:1;326:1;405:1;798:1;812:1;820:1,11,861-<END>:3;817-<END>:2;000-000:1;326-<END>:1;405-372:1;798-590:1;812-031:1;820-<END>:1,14,0.071429,+000-176-002-798-590-032+:1;+090-740-176-002-861+:1;+151-176-002-861+:1;+317-740-335-740-176-002-920-491+:1
2026-05-31,190,1,0,0.000000,1,0.000000,1.000000,798:1,1,798-055:1,1,1.000000,+409-190-002-798-055+:1
2026-05-31,191,1,1,1.000000,1,0.000000,1.000000,817:1,1,817-<END>:1,1,1.000000,+740-100-415-191-002-817+:1
2026-05-31,215,1,0,0.000000,1,0.000000,1.000000,368:1,1,368-119:1,1,1.000000,+740-215-002-368-119+:1
2026-05-31,219,2,1,0.500000,2,1.000000,0.500000,817:1;861:1,2,817-<END>:1;861-032:1,2,0.500000,+520-070-219-002-861-032-520-919-140+:1;+520-219-002-817+:1
2026-05-31,220,19,13,0.684211,10,3.115834,0.210526,861:4;817:3;820:3;000:2;368:2;031:1;130:1;595:1,11,861-<END>:4;817-<END>:3;820-<END>:3;000-<END>:2;031-165:1;130-035:1;368-550:1;368-840:1,19,0.052632,]000-220-002-000[:1;]220-002-368-840-900+:1;]234-220-002-820[:1;]861-892-692/000-220-002-824[:1
2026-05-31,221,1,0,0.000000,1,0.000000,1.000000,031:1,1,031-500:1,1,1.000000,+817-521-521/090-740-221-002-031-500+:1
2026-05-31,222,3,2,0.666667,3,1.584963,0.333333,207:1;817:1;820:1,3,207-550:1;817-<END>:1;820-<END>:1,3,0.333333,+740-222-002-207-550-390+:1;+740-222-002-817+:1;+740-222-002-820+:1
2026-05-31,226,3,2,0.666667,3,1.584963,0.333333,000:1;031:1;861:1,3,000-<END>:1;031-575:1;861-<END>:1,3,0.333333,]231-226-002-031-575+:1;+226-002-000[:1;+226-002-861+:1
2026-05-31,231,15,7,0.466667,10,3.139572,0.200000,817:3;861:3;820:2;055:1;107:1;220:1;221:1;298:1,13,817-<END>:2;861-<END>:2;055-373:1;107-<END>:1;220-065:1;221-<END>:1;298-460:1;564-617:1,15,0.066667,]231-002-861+:1;]798-233-231-002-817-000+:1;+090-740-222-231-002-861-683+:1;+298-465-033-705-231-002-564-617-033+:1
2026-05-31,233,23,13,0.565217,13,3.132258,0.347826,817:8;861:4;000:1;111:1;112:1;220:1;291:1;368:1,15,817-<END>:7;861-<END>:3;000-<END>:1;111-700:1;112-<END>:1;220-880:1;291-690:1;368-202:1,23,0.043478,]000-233-002-111-700+:1;]233-002-817+:1;+090-740-100-233-002-575-031+:1;+090-740-233-002-817+:1
2026-05-31,235,38,25,0.657895,17,3.337847,0.289474,861:11;817:9;031:2;390:2;820:2;065:1;112:1;220:1,18,861-<END>:10;817-<END>:9;031-480:2;390-125:2;820-<END>:2;065-834:1;112-<END>:1;220-065:1,38,0.026316,]000-000-335-235-002-031-480[:1;]000-235-002-065-834+:1;]000-235-002-861+:1;]000-240-235-002-460-511+:1
2026-05-31,236,5,2,0.400000,5,2.321928,0.200000,308:1;390:1;820:1;861:1;906:1,5,308-072:1;390-707:1;820-<END>:1;861-<END>:1;906-125:1,5,0.200000,]236-002-861+:1;+236-002-308-072+:1;+236-002-390-707+:1;+236-002-820+:1
2026-05-31,240,47,29,0.617021,22,3.861316,0.212766,861:10;817:8;820:5;000:3;031:2;617:2;900:2;220:1,25,861-<END>:9;817-<END>:7;820-<END>:5;000-<END>:3;031-000:2;900-003:2;220-000:1;244-632:1,47,0.021277,]000-220-240-002-000[:1;]000-240-002-820+:1;]000/000-125-632-032/240-002-244-632+:1;]240-002-031-000[:1
2026-05-31,241,2,2,1.000000,2,1.000000,0.500000,000:1;880:1,2,000-<END>:1;880-<END>:1,2,0.500000,]000-220-241-002-000[:1;+241-002-880+:1
2026-05-31,242,1,0,0.000000,1,0.000000,1.000000,861:1,1,861-901:1,1,1.000000,+740-923-070-032-033-706-231-242-002-861-901+:1
2026-05-31,255,5,2,0.400000,5,2.321928,0.200000,267:1;286:1;368:1;817:1;861:1,5,267-000:1;286-220:1;368-861:1;817-<END>:1;861-<END>:1,5,0.200000,+125-435-255-002-286-220-031-012-031-455-033-590+:1;+740-690-435-255-002-267-000-033+:1;+740-690-435-255-002-368-861-590-032-368+:1;+740-690-435-255-002-817+:1
2026-05-31,260,1,1,1.000000,1,0.000000,1.000000,817:1,1,817-<END>:1,1,1.000000,+156-260-002-817+:1
2026-05-31,268,1,0,0.000000,1,0.000000,1.000000,840:1,1,840-032:1,1,1.000000,+740-760-268-002-840-032+:1
2026-05-31,307,1,0,0.000000,1,0.000000,1.000000,762:1,1,762-463:1,1,1.000000,+307-002-762-463-140+:1
2026-05-31,315,1,0,0.000000,1,0.000000,1.000000,861:1,1,861-626:1,1,1.000000,+520-315-002-861-626+:1
2026-05-31,335,3,1,0.333333,3,1.584963,0.333333,033:1;285:1;630:1,3,033-705:1;285-491:1;630-<END>:1,3,0.333333,+440-411-740-335-002-285-491+:1;+740-335-002-630[:1;+740-760-335-002-033-705+:1
2026-05-31,336,1,0,0.000000,1,0.000000,1.000000,220:1,1,220-065:1,1,1.000000,+740-336-002-220-065-440-455+:1
2026-05-31,350,8,3,0.375000,7,2.750000,0.250000,817:2;296:1;374:1;550:1;595:1;814:1;820:1,7,817-<END>:2;296-000:1;374-575:1;550-615:1;595-390:1;814-084:1;820-<END>:1,8,0.125000,]460-350-002-296-000[:1;+001-350-002-595-390-000+:1;+151-350-002-550-615+:1;+368-001-550/740-543-350-002-820+:1
2026-05-31,354,3,2,0.666667,2,0.918296,0.666667,817:2;130:1,2,817-<END>:2;130-035:1,3,0.333333,+000-798-000-354-002-130-035[:1;+520-400-354-002-817+:1;+740-354-002-817+:1
2026-05-31,361,1,0,0.000000,1,0.000000,1.000000,000:1,1,000-317:1,1,1.000000,+361-002-000-317-688+:1
2026-05-31,362,1,0,0.000000,1,0.000000,1.000000,360:1,1,360-832:1,1,1.000000,+090-740-362-002-360-832+:1
2026-05-31,382,1,1,1.000000,1,0.000000,1.000000,820:1,1,820-<END>:1,1,1.000000,+382-760-382-002-820+:1
2026-05-31,384,3,0,0.000000,3,1.584963,0.333333,390:1;452:1;629:1,3,390-346:1;452-000:1;629-279:1,3,0.333333,+090-740-384-002-452-000+:1;+740-384-002-390-346+:1;+740-384-002-629-279+:1
2026-05-31,388,3,2,0.666667,3,1.584963,0.333333,000:1;390:1;820:1,3,000-<END>:1;390-705:1;820-<END>:1,3,0.333333,+000-850-140-388-002-000[:1;+151-032-388-002-390-705+:1;+740-388-002-820+:1
2026-05-31,390,1,1,1.000000,1,0.000000,1.000000,820:1,1,820-<END>:1,1,1.000000,+740-817-390-002-820+:1
2026-05-31,391,2,0,0.000000,2,1.000000,0.500000,365:1;527:1,2,365-550:1;527-475:1,2,0.500000,+391-002-365-550+:1;+391-002-527-475-005+:1
2026-05-31,401,1,0,0.000000,1,0.000000,1.000000,368:1,1,368-165:1,1,1.000000,+401-002-368-165+:1
2026-05-31,406,1,1,1.000000,1,0.000000,1.000000,820:1,1,820-<END>:1,1,1.000000,]000-000-406-002-820+:1
2026-05-31,415,13,5,0.384615,12,3.546594,0.153846,861:2;031:1;130:1;190:1;257:1;287:1;435:1;550:1,12,861-<END>:2;031-350:1;130-035:1;190-751:1;257-898:1;287-140:1;435-000:1;550-<END>:1,13,0.076923,+090-740-100-415-002-031-350-550-692+:1;+226-415-002-190-751+:1;+390-415-002-550+:1;+520-033-705-220-415-002-861+:1
2026-05-31,416,5,5,1.000000,4,1.921928,0.400000,861:2;615:1;817:1;824:1,4,861-<END>:2;615-<END>:1;817-<END>:1;824-<END>:1,5,0.200000,]416-002-817+:1;+156-176-518-220-416-002-615+:1;+416-002-824+:1;+740-416-002-861+:1
2026-05-31,417,1,0,0.000000,1,0.000000,1.000000,056:1,1,056-091:1,1,1.000000,+892-890-417-002-056-091+:1
2026-05-31,423,1,0,0.000000,1,0.000000,1.000000,031:1,1,031-104:1,1,1.000000,+423-003-001-423-002-031-104+:1
2026-05-31,440,1,0,0.000000,1,0.000000,1.000000,297:1,1,297-416:1,1,1.000000,+740-760-440-002-297-416+:1
2026-05-31,441,1,0,0.000000,1,0.000000,1.000000,820:1,1,820-033:1,1,1.000000,+740-441-002-820-033+:1
2026-05-31,455,1,0,0.000000,1,0.000000,1.000000,368:1,1,368-260:1,1,1.000000,+740-455-002-368-260+:1
2026-05-31,460,1,1,1.000000,1,0.000000,1.000000,861:1,1,861-<END>:1,1,1.000000,+740-000-460-002-861+:1
2026-05-31,470,1,1,1.000000,1,0.000000,1.000000,861:1,1,861-<END>:1,1,1.000000,+154-806-470-002-861+:1
2026-05-31,480,1,1,1.000000,1,0.000000,1.000000,570:1,1,570-<END>:1,1,1.000000,+000-740-000-520-480-002-570+:1
2026-05-31,482,1,1,1.000000,1,0.000000,1.000000,820:1,1,820-<END>:1,1,1.000000,+740-482-002-820+:1
2026-05-31,484,1,0,0.000000,1,0.000000,1.000000,390:1,1,390-125:1,1,1.000000,+151-337-484-002-390-125-632-032-900-563+:1
2026-05-31,491,2,2,1.000000,2,1.000000,0.500000,000:1;817:1,2,000-<END>:1;817-<END>:1,2,0.500000,+520-033-705-233-240-460-491-002-000+:1;+740-100-692-491-002-817+:1
2026-05-31,495,4,3,0.750000,4,2.000000,0.250000,595:1;817:1;825:1;861:1,4,595-906:1;817-<END>:1;825-<END>:1;861-<END>:1,4,0.250000,]000-495-002-861+:1;+520-460-495-002-595-906+:1;+740-615-495-002-817+:1;+740-615-495-002-825+:1
2026-05-31,503,7,6,0.857143,3,1.148835,0.714286,817:5;861:1;880:1,3,817-<END>:5;861-000:1;880-<END>:1,7,0.142857,+740-007-503-002-817+:1;+740-440-503-002-861-000+:1;+740-460-503-002-817+:1;+740-460-503-002-880+:1
2026-05-31,506,1,1,1.000000,1,0.000000,1.000000,817:1,1,817-<END>:1,1,1.000000,+506-002-817+:1
2026-05-31,519,4,2,0.500000,4,2.000000,0.250000,297:1;817:1;861:1;900:1,4,297-000:1;817-<END>:1;861-<END>:1;900-630:1,4,0.250000,+520-220-415-519-002-817+:1;+740-519-002-297-000[:1;+740-519-002-861+:1;+740-519-002-900-630+:1
2026-05-31,520,1,0,0.000000,1,0.000000,1.000000,862:1,1,862-032:1,1,1.000000,+220-500-520-002-862-032+:1
2026-05-31,521,1,1,1.000000,1,0.000000,1.000000,820:1,1,820-<END>:1,1,1.000000,+064-031-400-521-002-820+:1
2026-05-31,527,1,1,1.000000,1,0.000000,1.000000,000:1,1,000-<END>:1,1,1.000000,+840-527-002-000+:1
2026-05-31,531,1,1,1.000000,1,0.000000,1.000000,820:1,1,820-<END>:1,1,1.000000,+621-390-531-002-820+:1
2026-05-31,540,2,2,1.000000,2,1.000000,0.500000,817:1;820:1,2,817-<END>:1;820-<END>:1,2,0.500000,+740-540-002-817+:1;+740-540-002-820+:1
2026-05-31,550,3,2,0.666667,3,1.584963,0.333333,125:1;370:1;861:1,3,125-590:1;370-<END>:1;861-<END>:1,3,0.333333,+527-550-002-125-590+:1;+527-550-002-370+:1;+740-575-017-233-550-002-861+:1
2026-05-31,552,1,1,1.000000,1,0.000000,1.000000,817:1,1,817-<END>:1,1,1.000000,+740-760-840-552-002-817+:1
2026-05-31,554,2,2,1.000000,2,1.000000,0.500000,820:1;880:1,2,820-<END>:1;880-<END>:1,2,0.500000,+526-554-002-820+:1;+526-554-002-880+:1
2026-05-31,555,1,1,1.000000,1,0.000000,1.000000,817:1,1,817-<END>:1,1,1.000000,+527-555-002-817+:1
2026-05-31,590,9,7,0.777778,5,2.113283,0.333333,817:3;861:3;000:1;374:1;820:1,6,861-<END>:3;817-<END>:2;000-<END>:1;374-840:1;817-690:1;820-<END>:1,9,0.111111,+151-390-590-002-374-840+:1;+161-390-590-002-861+:1;+621-740-390-590-002-817+:1;+740-390-590-002-000[:1
2026-05-31,605,2,1,0.500000,2,1.000000,0.500000,540:1;861:1,2,540-590:1;861-<END>:1,2,0.500000,+740-760-605-002-540-590+:1;+740-760-605-002-861+:1
2026-05-31,606,1,1,1.000000,1,0.000000,1.000000,820:1,1,820-<END>:1,1,1.000000,+861-111-606-002-820+:1
2026-05-31,617,1,0,0.000000,1,0.000000,1.000000,190:1,1,190-125:1,1,1.000000,+390-600-617-002-190-125-632-032+:1
2026-05-31,621,1,1,1.000000,1,0.000000,1.000000,820:1,1,820-<END>:1,1,1.000000,+740-416-621-002-820+:1
2026-05-31,645,1,1,1.000000,1,0.000000,1.000000,817:1,1,817-<END>:1,1,1.000000,+898-017-645-002-817+:1
2026-05-31,705,10,7,0.700000,7,2.521928,0.400000,861:4;000:1;093:1;172:1;577:1;585:1;905:1,8,861-<END>:3;000-<END>:1;093-033:1;172-032:1;577-<END>:1;585-<END>:1;861-803:1;905-<END>:1,10,0.100000,+000-705-002-861+:1;+041-705-002-905+:1;+090-740-255-705-002-861+:1;+215-031-480-140-632-705-002-093-033+:1
2026-05-31,706,6,4,0.666667,6,2.584963,0.166667,000:1;690:1;817:1;820:1;850:1;861:1,6,000-<END>:1;690-921:1;817-808:1;820-<END>:1;850-<END>:1;861-<END>:1,6,0.166667,]706-002-850+:1;+354-001-740-405-590-033-706-002-690-921+:1;+520-033-706-002-817-808+:1;+520-033-706-002-861+:1
2026-05-31,710,1,1,1.000000,1,0.000000,1.000000,861:1,1,861-<END>:1,1,1.000000,+367-390-710-002-861+:1
2026-05-31,717,4,3,0.750000,4,2.000000,0.250000,000:1;298:1;764:1;861:1,4,000-<END>:1;298-741:1;764-<END>:1;861-<END>:1,4,0.250000,+226-803-717-002-764+:1;+384-575/892-706-717-002-861+:1;+740-100-717-002-000[:1;+740-140-717-002-298-741+:1
2026-05-31,721,1,0,0.000000,1,0.000000,1.000000,301:1,1,301-350:1,1,1.000000,+740-721-002-301-350+:1
2026-05-31,740,2,2,1.000000,2,1.000000,0.500000,820:1;861:1,2,820-<END>:1;861-<END>:1,2,0.500000,+621/090-740/002-861+:1;+832-390-032/000-032-740-002-820+:1
2026-05-31,760,1,1,1.000000,1,0.000000,1.000000,817:1,1,817-<END>:1,1,1.000000,+740-760-002-817+:1
2026-05-31,772,3,3,1.000000,2,0.918296,0.666667,817:2;861:1,2,817-<END>:2;861-<END>:1,3,0.333333,+000-772-002-817+:1;+740-772-002-817+:1;+740-772-002-861+:1
2026-05-31,778,1,1,1.000000,1,0.000000,1.000000,817:1,1,817-<END>:1,1,1.000000,+590-705-435-255-778-002-817+:1
2026-05-31,790,1,1,1.000000,1,0.000000,1.000000,861:1,1,861-<END>:1,1,1.000000,+390-721-790-002-861+:1
2026-05-31,792,1,1,1.000000,1,0.000000,1.000000,817:1,1,817-<END>:1,1,1.000000,+090-740-792-002-817+:1
2026-05-31,798,18,11,0.611111,8,2.461320,0.444444,861:8;820:3;000:2;297:1;299:1;354:1;693:1;817:1,11,861-<END>:6;820-<END>:3;000-<END>:1;000-090:1;297-350:1;299-530:1;354-004:1;693-<END>:1,18,0.055556,]415-798-002-354-004+:1;+000-000-000-798-002-817-032-320+:1;+226-032-231-798-002-693+:1;+236-240-033-705-798-002-820+:1
2026-05-31,803,32,17,0.531250,15,3.429229,0.250000,820:8;861:6;817:3;000:2;220:2;850:2;031:1;301:1,18,820-<END>:7;861-<END>:5;817-<END>:3;000-<END>:2;220-455:2;031-892:1;301-190:1;320-705:1,32,0.031250,]000-803-002-820+:1;]000-920-705-803-002-861+:1;]235-803-002-000+:1;]240-803-002-861+:1
2026-05-31,805,1,0,0.000000,1,0.000000,1.000000,861:1,1,861-533:1,1,1.000000,+405-845-686-740-793-003-233-805-002-861-533-717+:1
2026-05-31,806,19,10,0.526316,15,3.826875,0.105263,502:2;817:2;820:2;861:2;031:1;220:1;267:1;405:1,15,502-031:2;817-<END>:2;820-<END>:2;861-<END>:2;031-502:1;220-455:1;267-455:1;405-321:1,19,0.052632,]000-806-002-575-000+:1;]798-806-002-904-346+:1;]806-002-808+:1;]806-002-824+:1
2026-05-31,820,1,1,1.000000,1,0.000000,1.000000,820:1,1,820-<END>:1,1,1.000000,+294-350-595-820-002-820+:1
2026-05-31,830,1,1,1.000000,1,0.000000,1.000000,861:1,1,861-<END>:1,1,1.000000,+368-840-830-002-861+:1
2026-05-31,832,6,4,0.666667,4,1.792481,0.500000,817:3;000:1;060:1;861:1,4,817-<END>:3;000-000:1;060-820:1;861-<END>:1,6,0.166667,]000-055-592-140-832-002-060-820[:1;]000-220-832-002-000-000[:1;]000-832-002-817+:1;+520-033-705-235-832-002-817+:1
2026-05-31,838,2,2,1.000000,2,1.000000,0.500000,817:1;820:1,2,817-<END>:1;820-<END>:1,2,0.500000,]838-002-817+:1;+740-390-590-233-220-415-798-838-002-820+:1
2026-05-31,840,4,3,0.750000,4,2.000000,0.250000,000:1;296:1;768:1;861:1,4,000-<END>:1;296-530:1;768-<END>:1;861-<END>:1,4,0.250000,]000-032-840-002-000+:1;+405-844-032-840-002-861+:1;+740-032-840-002-296-530-000+:1;+740-032-840-002-768+:1
2026-05-31,844,1,1,1.000000,1,0.000000,1.000000,820:1,1,820-<END>:1,1,1.000000,+621-390-844-002-820+:1
2026-05-31,861,1,0,0.000000,1,0.000000,1.000000,906:1,1,906-003:1,1,1.000000,+000-000-000/000-861-002-906-003+:1
2026-05-31,869,1,1,1.000000,1,0.000000,1.000000,861:1,1,861-<END>:1,1,1.000000,+390-869-002-861+:1
2026-05-31,880,1,1,1.000000,1,0.000000,1.000000,000:1,1,000-<END>:1,1,1.000000,]000-880-002-000[:1
2026-05-31,900,3,3,1.000000,3,1.584963,0.333333,003:1;817:1;861:1,3,003-<END>:1;817-<END>:1;861-<END>:1,3,0.333333,]900-002-817+:1;+151-390-590-900-002-861+:1;+740-067-900-002-003+:1
