id,cisi,site,region,type,material,shape,symbol,cult,condition,complete,dir,class,text,text_dedup_key,strict_complete_closed,idx_002,prev1_before_002,prev2_before_002,y_after_002,next1_after_y,next2_after_y,post_y_len,y_terminal,continuation_class,context_scope
52.1,-,Bhirrana,Eastern Headwaters,SEAL:S,-,square,Bull1,RAN,Good,Y,R/L,SP,+236-002-820+,236 002 820,true,1,236,<START>,820,<END>,<END>,0,true,terminal,other_after_002
61.1,C-66,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,RAN,Fair,Y,R/L,IM,+390-003-002-817+,390 003 002 817,true,2,003,390,817,<END>,<END>,0,true,terminal,other_after_002
62.1,C-65,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAF,Good,N,R/L,??,+000-100-240-220-032-002-861+,000 100 240 220 032 002 861,false,5,032,220,861,<END>,<END>,0,true,terminal,after_032
69.1,C-60,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAN,Good,Y,R/L,SP,+740-176-032-002-861+,740 176 032 002 861,true,3,032,176,861,<END>,<END>,0,true,terminal,after_032
71.1,C-53,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,-,Fair,Y,R/L,2L,+032-031/740-222-235-002-861+,032 031 740 222 235 002 861,false,5,235,222,861,<END>,<END>,0,true,terminal,other_after_002
74.1,C-58,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,-,Poor,Y,R/L,2L,+032-031/740-222-235-002-861+,032 031 740 222 235 002 861,false,5,235,222,861,<END>,<END>,0,true,terminal,other_after_002
76.1,C-74,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Trough,Fair,Y,R/L,IM,+125-002-861+,125 002 861,true,1,125,<START>,861,<END>,<END>,0,true,terminal,other_after_002
78.1,C-71,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,-,Poor,N,-,??,+000-000-000/000-861-002-906-003+,000 000 000 000 861 002 906 003,false,5,861,000,906,003,<END>,1,false,one_token_continuation,other_after_002
81.1,C-78,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,None,None,Fair,Y,R/L,2L,+740-636-240/002-817+,740 636 240 002 817,false,3,240,636,817,<END>,<END>,0,true,terminal,other_after_002
82.1,C-57,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAF,Fair,N,R/L,??,+740-032-840-002-296-530-000+,740 032 840 002 296 530 000,false,3,840,032,296,530,000,2,false,multi_token_continuation,other_after_002
84.1,C-85,Chanhu-daro,Lower Indus,SEAL:R,Steatite,rectangular,-,-,Poor,N,R/L,??,+000-000-002-820+,000 000 002 820,false,2,000,000,820,<END>,<END>,0,true,terminal,other_after_002
87.1,C-67,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,SAN,Poor,Y,R/L,SP,+520-233-803-002-817+,520 233 803 002 817,true,3,803,233,817,<END>,<END>,0,true,terminal,other_after_002
89.1,C-1,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,None,Fair,Y,R/L,LC,+031-840-140-740-101-002-365-287-034+,031 840 140 740 101 002 365 287 034,true,5,101,740,365,287,034,2,false,multi_token_continuation,other_after_002
91.1,C-3,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAN,Good,Y,R/L,IT,+740-016-002-920-317+,740 016 002 920 317,true,2,016,740,920,317,<END>,1,false,one_token_continuation,other_after_002
92.1,C-4,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,RAN,Fair,Y,R/L,SP,+520-235-803-002-817+,520 235 803 002 817,true,3,803,235,817,<END>,<END>,0,true,terminal,other_after_002
93.1,C-5,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,RBF,Fine,Y,R/L,SP,+740-140-717-002-298-741+,740 140 717 002 298 741,true,3,717,140,298,741,<END>,1,false,one_token_continuation,other_after_002
94.1,C-6,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,RAN,Poor,Y,R/L,2L,+817-521-521/090-740-221-002-031-500+,817 521 521 090 740 221 002 031 500,false,6,221,740,031,500,<END>,1,false,one_token_continuation,other_after_002
95.1,C-7,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull,-,Poor,N,R/L,??,+520-033-705-240-798-002-000[,520 033 705 240 798 002 000,false,5,798,240,000,<END>,<END>,0,true,terminal,other_after_002
98.1,C-10,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAN,Poor,Y,R/L,SP,+740-231-220-032-002-817+,740 231 220 032 002 817,true,4,032,220,817,<END>,<END>,0,true,terminal,after_032
106.1,C-18,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,-,Poor,N,R/L,??,]000-031-002-817+,000 031 002 817,false,2,031,000,817,<END>,<END>,0,true,terminal,other_after_002
125.1,Dlp-3,Desalpur,Gujarat/Kutch,TAG,-,rectangular,None,None,Fair,Y,-,SC,+394-032-002-892-740+,394 032 002 892 740,true,2,032,394,892,740,<END>,1,false,one_token_continuation,after_032
130.1,-,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:W,S??,Fair,Y,R/L,2L,+244-165/740-879-220-416-803-002-861+,244 165 740 879 220 416 803 002 861,false,7,803,416,861,<END>,<END>,0,true,terminal,other_after_002
132.1,-,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Tigr,None,Fair,Y,R/L,IT,+740-416-002-861+,740 416 002 861,true,2,416,740,861,<END>,<END>,0,true,terminal,other_after_002
136.1,-,Dholavira,Gujarat/Kutch,SEAL:R,Steatite,rectangular,None,None,Good,Y,R/L,IM,+390-016-002-861+,390 016 002 861,true,2,016,390,861,<END>,<END>,0,true,terminal,other_after_002
143.1,-,Dholavira,Gujarat/Kutch,TAB:B,Clay,rectangular,Gavi,None,Fair,N,R/L,??,+000-400-350-031-002-817+,000 400 350 031 002 817,false,4,031,350,817,<END>,<END>,0,true,terminal,other_after_002
145.1,Dlv-1,Dholavira,Gujarat/Kutch,SEAL:S,-,square,Bull1:J,HBN,Poor,Y,R/L,SP,+151-382-031-002-861+,151 382 031 002 861,true,3,031,382,861,<END>,<END>,0,true,terminal,other_after_002
146.1,Dlv-2,Dholavira,Gujarat/Kutch,SEAL:R,-,cuboid-convex,None,None,Poor,N,R/L,??,]000-002-817+,000 002 817,false,1,000,<START>,817,<END>,<END>,0,true,terminal,other_after_002
216.1,-,Baror,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,SAF,Poor,N,R/L,??,+000-000-002-257-550+,000 000 002 257 550,false,2,000,000,257,550,<END>,1,false,one_token_continuation,other_after_002
223.1,H-1042,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,RAN,Poor,N,R/L,??,+740-923-000-220-002-817+,740 923 000 220 002 817,false,4,220,000,817,<END>,<END>,0,true,terminal,other_after_002
246.1,H-1045,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:U,RAN,Poor,Y,R/L,IT,+740-900-005-002-820+,740 900 005 002 820,true,3,005,900,820,<END>,<END>,0,true,terminal,other_after_002
256.1,H-1038,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,-,Poor,N,R/L,??,+740-519-002-297-000[,740 519 002 297 000,false,2,519,740,297,000,<END>,1,false,one_token_continuation,other_after_002
259.1,H-1051,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,SAN,Poor,Y,R/L,LP,+400-740-575-017-920-320-798-002-861+,400 740 575 017 920 320 798 002 861,true,7,798,320,861,<END>,<END>,0,true,terminal,other_after_002
280.1,-,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Bull2,SAN,Fair,Y,R/L,SP,+740-904-240-002-817+,740 904 240 002 817,true,3,240,904,817,<END>,<END>,0,true,terminal,other_after_002
284.1,H-1030,Harappa,Inter-Riverine,SEAL:S,-,square,Bull1:W,RAF,Good,Y,R/L,IT,+090-740-103-002-861+,090 740 103 002 861,true,3,103,740,861,<END>,<END>,0,true,terminal,other_after_002
293.1,H-1033,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,-,Poor,Y,R/L,LC,+220-500-520-002-862-032+,220 500 520 002 862 032,true,3,520,500,862,032,<END>,1,false,one_token_continuation,other_after_002
296.1,H-1058,Harappa,Inter-Riverine,SEAL,Steatite,-,-,-,Poor,N,R/L,??,]740-019-002-000[,740 019 002 000,false,2,019,740,000,<END>,<END>,0,true,terminal,other_after_002
303.1,H-1043,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,HBF,Poor,Y,R/L,SP,+151-760-220-003-002-861+,151 760 220 003 002 861,true,4,003,220,861,<END>,<END>,0,true,terminal,other_after_002
323.1,H-1421,Harappa,Inter-Riverine,POT:T:g,Clay,-,None,None,Poor,?,R/L,UC,]002-861[,002 861,false,0,<START>,<START>,861,<END>,<END>,0,true,terminal,other_after_002
370.1,H-2016,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,None,None,Fair,Y,R/L,LP,+317-740-335-740-176-002-920-491+,317 740 335 740 176 002 920 491,true,5,176,740,920,491,<END>,1,false,one_token_continuation,other_after_002
388.2,H-1874,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,None,None,Poor,N,R/L,??,+002-220-455-000+,002 220 455 000,false,0,<START>,<START>,220,455,000,2,false,multi_token_continuation,other_after_002
401.1,H-2003,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Mult,None,Poor,Y,R/L,IM,+390-004-002-817+,390 004 002 817,true,2,004,390,817,<END>,<END>,0,true,terminal,other_after_002
402.2,H-2015,Harappa,Inter-Riverine,TAB:B,Clay,rectangular-round,None,None,Poor,Y,L/R,LP,+520-033-705-235-832-002-817+,520 033 705 235 832 002 817,true,5,832,235,817,<END>,<END>,0,true,terminal,other_after_002
409.2,H-1942,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bult,None,Good,Y,R/L,IM,+405-035-002-861+,405 035 002 861,true,2,035,405,861,<END>,<END>,0,true,terminal,other_after_002
411.2,H-1865,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,None,None,Fair,N,R/L,??,+740-702-061-002-000+,740 702 061 002 000,false,3,061,702,000,<END>,<END>,0,true,terminal,other_after_002
412.2,H-2014,Harappa,Inter-Riverine,TAB:B,Clay,-,None,None,Poor,N,L/R,??,]000-832-002-817+,000 832 002 817,false,2,832,000,817,<END>,<END>,0,true,terminal,other_after_002
448.1,H-1967,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Mult,None,Poor,Y,R/L,SC,+382-760-382-002-820+,382 760 382 002 820,true,3,382,760,820,<END>,<END>,0,true,terminal,other_after_002
466.1,H-1882,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,None,None,Fair,Y,R/L,SS,+002-820+,002 820,true,0,<START>,<START>,820,<END>,<END>,0,true,terminal,other_after_002
476.2,H-2094,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,None,None,Fair,Y,R/L,SS,+002-861-416+,002 861 416,true,0,<START>,<START>,861,416,<END>,1,false,one_token_continuation,other_after_002
488.2,H-2097,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,None,None,Good,Y,R/L,SS,+002-861-416+,002 861 416,true,0,<START>,<START>,861,416,<END>,1,false,one_token_continuation,other_after_002
507.1,H-1681,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,-,Poor,N,R/L,??,]000-032-002-820+,000 032 002 820,false,2,032,000,820,<END>,<END>,0,true,terminal,after_032
513.1,H-1671,Harappa,Inter-Riverine,SEAL:S,-,square,Bull1:S,RAN,Good,Y,R/L,IT,+740-061-002-455-420-032+,740 061 002 455 420 032,true,2,061,740,455,420,032,2,false,continues_with_later_032,other_after_002
518.2,H-2095,Harappa,Inter-Riverine,TAB:I,-,rectangular,None,None,Fair,Y,R/L,SS,+002-861-416+,002 861 416,true,0,<START>,<START>,861,416,<END>,1,false,one_token_continuation,other_after_002
536.1,H-1723,Harappa,Inter-Riverine,TAG:L,-,-,-,-,Poor,N,R/L,??,]000-880-002-000[,000 880 002 000,false,2,880,000,000,<END>,<END>,0,true,terminal,other_after_002
537.1,H-1692,Harappa,Inter-Riverine,SEAL:S,Steatite,square,None,None,Poor,Y,R/L,IT,+740-390-590-002-861+,740 390 590 002 861,true,3,590,390,861,<END>,<END>,0,true,terminal,other_after_002
543.1,-,Harappa,Inter-Riverine,POT:T:g,Clay,-,None,None,Poor,N,R/L,??,+000-480-003-064-002-003-861+,000 480 003 064 002 003 861,false,4,064,003,003,861,<END>,1,false,one_token_continuation,other_after_002
594.2,H-2022,Harappa,Inter-Riverine,TAB:B,Clay,prism,Phyt,Mult,Fair,Y,R/L,IT,+740-752-175-002-861+,740 752 175 002 861,true,3,175,752,861,<END>,<END>,0,true,terminal,other_after_002
599.2,H-1864,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,None,None,Fair,Y,R/L,IT,+740-142-062-002-817+,740 142 062 002 817,true,3,062,142,817,<END>,<END>,0,true,terminal,other_after_002
604.1,H-2338,Harappa,Inter-Riverine,POT:T:g,Clay,-,None,None,Poor,N,R/L,??,]740-061-002-575-000[,740 061 002 575 000,false,2,061,740,575,000,<END>,1,false,one_token_continuation,other_after_002
617.1,-,Harappa,Inter-Riverine,POT:T:g,Clay,-,None,None,Poor,N,-,??,]740-000-000-002-575-000[,740 000 000 002 575 000,false,3,000,000,575,000,<END>,1,false,one_token_continuation,other_after_002
621.1,-,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,None,None,Good,Y,R/L,SS,+002-861-416+,002 861 416,true,0,<START>,<START>,861,416,<END>,1,false,one_token_continuation,other_after_002
623.1,H-1706,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,None,None,Good,Y,R/L,IM,+405-003-002-293-360+,405 003 002 293 360,true,2,003,405,293,360,<END>,1,false,one_token_continuation,other_after_002
626.1,H-1662,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,H,Poor,Y,R/L,2L,+033-033/740-142-061-140-002-546+,033 033 740 142 061 140 002 546,false,6,140,061,546,<END>,<END>,0,true,terminal,other_after_002
634.1,H-1680,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,SAN,Poor,Y,R/L,IM,+390-003-002-820+,390 003 002 820,true,2,003,390,820,<END>,<END>,0,true,terminal,other_after_002
665.2,H-2096,Harappa,Inter-Riverine,TAB:I,-,rectangular,None,None,Good,Y,R/L,SS,+002-861-416+,002 861 416,true,0,<START>,<START>,861,416,<END>,1,false,one_token_continuation,other_after_002
682.2,H-1146,Harappa,Inter-Riverine,TAB:B,-,circular,None,None,Fair,Y,R/L,IT,+526-554-002-820+,526 554 002 820,true,2,554,526,820,<END>,<END>,0,true,terminal,other_after_002
729.2,H-2010,Harappa,Inter-Riverine,TAB:B,Faience,oval,Bull1,None,Fair,Y,R/L,SP,+740-482-240-002-861+,740 482 240 002 861,true,3,240,482,861,<END>,<END>,0,true,terminal,other_after_002
731.1,H-1670,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,HAF,Good,Y,R/L,LP,+740-760-033-033-240-002-824+,740 760 033 033 240 002 824,true,5,240,033,824,<END>,<END>,0,true,terminal,other_after_002
744.2,H-1993,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,None,None,Poor,N,R/L,??,+740-000-220-004-002-390-095+,740 000 220 004 002 390 095,false,4,004,220,390,095,<END>,1,false,one_token_continuation,other_after_002
771.2,H-1930,Harappa,Inter-Riverine,TAB:B,Faience,prism,Gavi,None,Fair,Y,R/L,SP,+408-817-920-002-861+,408 817 920 002 861,true,3,920,817,861,<END>,<END>,0,true,terminal,other_after_002
789.1,H-1785,Harappa,Inter-Riverine,TAB:B,Faience,rectangular-rounded,Phyt,None,Poor,Y,R/L,IM,+407-004-002-861+,407 004 002 861,true,2,004,407,861,<END>,<END>,0,true,terminal,other_after_002
805.1,H-1788,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,None,SAN,Poor,Y,R/L,SP,+154-806-470-002-861+,154 806 470 002 861,true,3,470,806,861,<END>,<END>,0,true,terminal,other_after_002
937.2,H-2011,Harappa,Inter-Riverine,TAB:B,Clay,elliptical,Bull1,None,Poor,Y,R/L,SP,+740-482-240-002-861+,740 482 240 002 861,true,3,240,482,861,<END>,<END>,0,true,terminal,other_after_002
943.1,H-1667,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,SAN,Poor,Y,R/L,IT,+740-540-002-817+,740 540 002 817,true,2,540,740,817,<END>,<END>,0,true,terminal,other_after_002
951.1,-,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:U,SAN,Good,Y,R/L,IM,+390-004-002-817+,390 004 002 817,true,2,004,390,817,<END>,<END>,0,true,terminal,other_after_002
960.1,-,Harappa,Inter-Riverine,POT:T:g,Clay,-,None,None,Poor,Y,-,NU,+002-002+,002 002,true,0,<START>,<START>,002,<END>,<END>,0,true,terminal,other_after_002
989.1,-,Harappa,Inter-Riverine,POT:T:g,Clay,-,None,None,Poor,N,-,??,+002-000+,002 000,false,0,<START>,<START>,000,<END>,<END>,0,true,terminal,other_after_002
1004.1,H-1966,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Gaur,Trough,Good,Y,R/L,SP,+520-233-049-002-861+,520 233 049 002 861,true,3,049,233,861,<END>,<END>,0,true,terminal,other_after_002
1007.1,H-1726,Harappa,Inter-Riverine,POT:T:s,Clay,rectangular,None,None,Poor,Y,R/L,SP,+740-100-692-491-002-817+,740 100 692 491 002 817,true,4,491,692,817,<END>,<END>,0,true,terminal,other_after_002
1020.1,H-1657,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,SAN,Good,Y,R/L,LP,+740-405-590-032-900-003-806-235-220-032-002-690-921+,740 405 590 032 900 003 806 235 220 032 002 690 921,true,10,032,220,690,921,<END>,1,false,one_token_continuation,after_032
1024.2,H-1851,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,None,None,Good,Y,R/L,SP,+740-803-892-031-002-861+,740 803 892 031 002 861,true,4,031,892,861,<END>,<END>,0,true,terminal,other_after_002
1030.1,H-1739,Harappa,Inter-Riverine,POT:T:s,Clay,rectangular,None,None,Poor,?,R/L,UC,]034-002-817[,034 002 817,false,1,034,<START>,817,<END>,<END>,0,true,terminal,other_after_002
1047.1,-,Harappa,Inter-Riverine,POT:T:g,Clay,-,None,None,Poor,Y,-,NU,+002-003+,002 003,true,0,<START>,<START>,003,<END>,<END>,0,true,terminal,other_after_002
1060.1,H-1050,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,SAN,Poor,Y,R/L,SP,+804-235-002-817+,804 235 002 817,true,2,235,804,817,<END>,<END>,0,true,terminal,other_after_002
1064.1,H-3,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,SAN,Good,Y,R/L,IT,+740-585-017-002-611-615-703+,740 585 017 002 611 615 703,true,3,017,585,611,615,703,2,false,multi_token_continuation,other_after_002
1069.1,H-8,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,SAN,Fair,Y,R/L,LP,+354-001-740-405-590-033-706-002-690-921+,354 001 740 405 590 033 706 002 690 921,true,7,706,033,690,921,<END>,1,false,one_token_continuation,other_after_002
1073.1,H-12,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,SAF,Good,Y,R/L,LP,+740-690-435-255-803-220-240-235-002-817+,740 690 435 255 803 220 240 235 002 817,true,8,235,240,817,<END>,<END>,0,true,terminal,other_after_002
1074.1,H-13,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,SAF,Good,Y,R/L,IT,+740-760-615-503-002-817+,740 760 615 503 002 817,true,4,503,615,817,<END>,<END>,0,true,terminal,other_after_002
1076.1,H-15,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,SAN,Poor,N,R/L,??,]000-000-002-817+,000 000 002 817,false,2,000,000,817,<END>,<END>,0,true,terminal,other_after_002
1078.1,H-18,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,-,Poor,N,R/L,??,]000-220-032-002-820+,000 220 032 002 820,false,3,032,220,820,<END>,<END>,0,true,terminal,after_032
1081.1,H-21,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,S,Poor,Y,R/L,LP,+405-061-527-555-233-235-806-002-817+,405 061 527 555 233 235 806 002 817,true,7,806,235,817,<END>,<END>,0,true,terminal,other_after_002
1082.1,H-22,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,SAN,Fine,Y,R/L,LP,+740-920-320-233-806-002-405-321+,740 920 320 233 806 002 405 321,true,5,806,233,405,321,<END>,1,false,one_token_continuation,other_after_002
1091.1,H-31,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,SAN,Poor,N,R/L,??,+740-100-415-240-002-365-374-000+,740 100 415 240 002 365 374 000,false,4,240,415,365,374,000,2,false,multi_token_continuation,other_after_002
1100.1,H-41,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,R,Poor,N,R/L,??,]000-002-690+,000 002 690,false,1,000,<START>,690,<END>,<END>,0,true,terminal,other_after_002
1101.1,H-42,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,RAN,Poor,Y,R/L,SP,+740-380-235-002-817+,740 380 235 002 817,true,3,235,380,817,<END>,<END>,0,true,terminal,other_after_002
1103.1,H-44,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,SAN,Good,Y,R/L,LP,+520-033-706-235-798-803-002-031-892+,520 033 706 235 798 803 002 031 892,true,6,803,798,031,892,<END>,1,false,one_token_continuation,other_after_002
1104.1,H-45,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,-,Poor,Y,R/L,IT,+090-740-101-002-820+,090 740 101 002 820,true,3,101,740,820,<END>,<END>,0,true,terminal,other_after_002
1110.1,H-51,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,HAF,Fair,Y,R/L,SP,+740-643-240-002-861+,740 643 240 002 861,true,3,240,643,861,<END>,<END>,0,true,terminal,other_after_002
1114.1,H-55,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:X,SAF,Fair,Y,R/L,IM,+390-004-002-861-125+,390 004 002 861 125,true,2,004,390,861,125,<END>,1,false,one_token_continuation,other_after_002
1119.1,H-60,Harappa,Inter-Riverine,SEAL:S,-,square,Bull1:II,H,Poor,Y,R/L,2L,+621-740-900-003/002-820+,621 740 900 003 002 820,false,4,003,900,820,<END>,<END>,0,true,terminal,other_after_002
1127.1,H-68,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,RAN,Fair,Y,R/L,LP,+090-740-220-003-002-390-072+,090 740 220 003 002 390 072,true,4,003,220,390,072,<END>,1,false,one_token_continuation,other_after_002
1132.1,H-74,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,RAN,Fair,Y,R/L,SC,+002-610-125-032+,002 610 125 032,true,0,<START>,<START>,610,125,032,2,false,continues_with_later_032,other_after_002
1135.1,H-78,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Gaur,Trough,Poor,N,R/L,??,]000-806-002-575-000+,000 806 002 575 000,false,2,806,000,575,000,<END>,1,false,one_token_continuation,other_after_002
1139.1,H-82,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Gaur,Trough,Poor,Y,R/L,IM,+390-017-002-220-455-741+,390 017 002 220 455 741,true,2,017,390,220,455,741,2,false,multi_token_continuation,other_after_002
1141.1,H-85,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Zebu,-,Poor,Y,R/L,SP,+520-219-002-817+,520 219 002 817,true,2,219,520,817,<END>,<END>,0,true,terminal,other_after_002
1148.1,H-92,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Elep,None,Fair,Y,R/L,LP,+156-176-518-220-416-002-615+,156 176 518 220 416 002 615,true,5,416,220,615,<END>,<END>,0,true,terminal,other_after_002
1155.1,H-100,Harappa,Inter-Riverine,SEAL:S,Clay,square,None,None,Poor,N,R/L,??,+520-031-000-002-000+,520 031 000 002 000,false,3,000,031,000,<END>,<END>,0,true,terminal,other_after_002
1170.1,H-129,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,None,None,Good,Y,R/L,LP,+409-061-740-235-220-031-002-861-244-165+,409 061 740 235 220 031 002 861 244 165,true,6,031,220,861,244,165,2,false,multi_token_continuation,other_after_002
1171.1,H-130,Harappa,Inter-Riverine,SEAL:R,-,rectangular,None,None,Fair,Y,R/L,LP,+409-032-845-033-705-231-806-002-595-812-125-717+,409 032 845 033 705 231 806 002 595 812 125 717,true,7,806,231,595,812,125,3,false,multi_token_continuation,other_after_002
1172.1,H-131,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,None,None,Poor,N,R/L,??,+740-032-840-233-240-033-706-055-002-595-575-794-000+,740 032 840 233 240 033 706 055 002 595 575 794 000,false,8,055,706,595,575,794,3,false,multi_token_continuation,other_after_002
