checked_date,branch,frames,terminal,continuing,continuing_share,one_complement,one_complement_share,distinct_heads,distinct_sites,heads,sites,first_tails,decision,examples
2026-05-31,502,2,2,0,0.000000,0,0.000000,2,1,031:1;295:1,Mohenjo-daro:2,<END>:2,baseline,M-181:+520-175-002-295-502+ | M-678:+740-752-006-503-236-806-002-031-502+
2026-05-31,511,2,2,0,0.000000,0,0.000000,2,2,455:1;460:1,Harappa:1;Mohenjo-daro:1,<END>:2,baseline,H-426:]000-240-235-002-460-511+ | M-1907:+390-005-002-455-511+
2026-05-31,533,2,0,2,1.000000,2,1.000000,1,1,861:2,Mohenjo-daro:2,717:2,baseline,M-376:+740-100-176-002-861-533-717+ | M-391:+405-845-686-740-793-003-233-805-002-861-533-717+
2026-05-31,690,2,0,2,1.000000,2,1.000000,2,1,291:1;817:1,Mohenjo-daro:2,544:1;564:1,baseline,M-628:+740-560-233-002-291-690-564+ | M-855:+861-260-832-390-590-002-817-690-544+
2026-05-31,700,2,2,0,0.000000,0,0.000000,2,1,111:1;820:1,Mohenjo-daro:2,<END>:2,baseline,M-86:+520-033-705-231-002-820-700+ | M-721:]000-233-002-111-700+
2026-05-31,832,2,2,0,0.000000,0,0.000000,2,2,360:1;861:1,Kalibangan:1;Mohenjo-daro:1,<END>:2,baseline,K-89:+090-740-362-002-360-832+ | M-1681:+520-072-233-740-798-002-861-832+
2026-05-31,920,2,1,1,0.500000,1,0.500000,2,1,156:1;944:1,Mohenjo-daro:2,<END>:1;140:1,baseline,M-1810:+740-100-140-003-002-156-920+ | M-280:+740-482-240-002-944-920-140+
2026-05-31,921,2,2,0,0.000000,0,0.000000,1,1,690:2,Harappa:2,<END>:2,baseline,H-1657:+740-405-590-032-900-003-806-235-220-032-002-690-921+ | H-8:+354-001-740-405-590-033-706-002-690-921+
2026-05-31,001,1,0,1,1.000000,0,0.000000,1,1,820:1,Mohenjo-daro:1,440:1,baseline,M-1677:+520-382-032-002-820-001-440-012+
2026-05-31,004,1,1,0,0.000000,0,0.000000,1,1,354:1,Mohenjo-daro:1,<END>:1,baseline,M-413:]415-798-002-354-004+
2026-05-31,016,1,1,0,0.000000,0,0.000000,1,1,840:1,Mohenjo-daro:1,<END>:1,baseline,M-491:+850-140-803-002-840-016+
2026-05-31,036,1,0,1,1.000000,0,0.000000,1,1,861:1,Mohenjo-daro:1,460:1,baseline,M-20:+390-005-002-861-036-460-513+
2026-05-31,055,1,1,0,0.000000,0,0.000000,1,1,798:1,Lothal:1,<END>:1,baseline,L-47:+409-190-002-798-055+
2026-05-31,070,1,1,0,0.000000,0,0.000000,1,1,617:1,Mohenjo-daro:1,<END>:1,baseline,M-81:+527-555-240-002-617-070+
2026-05-31,084,1,1,0,0.000000,0,0.000000,1,1,814:1,Mohenjo-daro:1,<END>:1,baseline,M-92:+740-798-460-350-002-814-084+
2026-05-31,091,1,1,0,0.000000,0,0.000000,1,1,056:1,Kalibangan:1,<END>:1,baseline,K-156:+892-890-417-002-056-091+
2026-05-31,096,1,1,0,0.000000,0,0.000000,1,1,861:1,Mohenjo-daro:1,<END>:1,baseline,M-2089:+002-861-096+
2026-05-31,104,1,1,0,0.000000,0,0.000000,1,1,031:1,Dholavira:1,<END>:1,baseline,-:4164.1:+423-003-001-423-002-031-104+
2026-05-31,119,1,1,0,0.000000,0,0.000000,1,1,368:1,Mohenjo-daro:1,<END>:1,baseline,M-99:+740-215-002-368-119+
2026-05-31,127,1,1,0,0.000000,0,0.000000,1,1,705:1,Tell Umma:1,<END>:1,baseline,-:3884.1:+390-004-002-705-127+
2026-05-31,192,1,0,1,1.000000,1,1.000000,1,1,817:1,Mohenjo-daro:1,000:1,baseline,M-1662:+520-033-706-233-002-817-192-000+
2026-05-31,202,1,0,1,1.000000,0,0.000000,1,1,368:1,Mohenjo-daro:1,892:1,baseline,M-12:+740-390-590-233-002-368-202-892-371+
2026-05-31,215,1,1,0,0.000000,0,0.000000,1,1,000:1,Mohenjo-daro:1,<END>:1,baseline,M-1783:+520-442/425-003-002-000-215+
2026-05-31,220,1,0,1,1.000000,0,0.000000,1,1,286:1,Mohenjo-daro:1,031:1,baseline,M-1688:+125-435-255-002-286-220-031-012-031-455-033-590+
2026-05-31,228,1,0,1,1.000000,1,1.000000,1,1,374:1,Mohenjo-daro:1,741:1,baseline,M-315:+390-034-002-374-228-741+
2026-05-31,231,1,1,0,0.000000,0,0.000000,1,1,226:1,Dholavira:1,<END>:1,baseline,-:4200.1:+575-031-002-226-231[
2026-05-31,235,1,1,0,0.000000,0,0.000000,1,1,233:1,Harappa:1,<END>:1,baseline,H-141:+405-032-900-003-070-002-233-235+
2026-05-31,244,1,0,1,1.000000,1,1.000000,1,1,861:1,Harappa:1,165:1,baseline,H-129:+409-061-740-235-220-031-002-861-244-165+
2026-05-31,250,1,1,0,0.000000,0,0.000000,1,1,001:1,Nausharo:1,<END>:1,baseline,Ns-56:+111-002-001-250+
2026-05-31,279,1,1,0,0.000000,0,0.000000,1,1,629:1,Dholavira:1,<END>:1,baseline,-:4209.1:+740-384-002-629-279+
2026-05-31,285,1,1,0,0.000000,0,0.000000,1,1,900:1,Mohenjo-daro:1,<END>:1,baseline,M-1358:+032-002-900-285+
2026-05-31,287,1,0,1,1.000000,1,1.000000,1,1,365:1,Chanhu-daro:1,034:1,baseline,C-1:+031-840-140-740-101-002-365-287-034+
2026-05-31,290,1,0,1,1.000000,1,1.000000,1,1,790:1,Mohenjo-daro:1,741:1,baseline,M-1631:+002-790-290-741+
2026-05-31,309,1,0,1,1.000000,1,1.000000,1,1,374:1,Mohenjo-daro:1,350:1,baseline,M-66:+740-390-590-235-002-374-309-350+
2026-05-31,310,1,0,1,1.000000,0,0.000000,1,1,374:1,Nausharo:1,350:1,baseline,Ns-9:+740-142-067/002-374-310-350-495-834+
2026-05-31,321,1,1,0,0.000000,0,0.000000,1,1,405:1,Harappa:1,<END>:1,baseline,H-22:+740-920-320-233-806-002-405-321+
2026-05-31,328,1,0,1,1.000000,0,0.000000,1,1,004:1,Ur:1,001:1,baseline,-:3898.1:+002-004-328-001-803-415+
2026-05-31,342,1,0,1,1.000000,1,1.000000,1,1,595:1,Mohenjo-daro:1,632:1,baseline,M-1341:+016-002-595-342-632+
2026-05-31,368,1,0,1,1.000000,1,1.000000,1,1,413:1,Mohenjo-daro:1,031:1,baseline,M-1894:+740-440-233-002-413-368-031+
2026-05-31,372,1,0,1,1.000000,1,1.000000,1,1,405:1,Mohenjo-daro:1,374:1,baseline,M-34:+740-336-176-002-405-372-374+
2026-05-31,373,1,1,0,0.000000,0,0.000000,1,1,055:1,Mohenjo-daro:1,<END>:1,baseline,M-43:+740-798-231-002-055-373+
2026-05-31,374,1,0,1,1.000000,1,1.000000,1,1,365:1,Harappa:1,000:1,baseline,H-31:+740-100-415-240-002-365-374-000+
2026-05-31,376,1,1,0,0.000000,0,0.000000,1,1,031:1,Mohenjo-daro:1,<END>:1,baseline,M-1823:+390-004-002-031-376+
2026-05-31,385,1,0,1,1.000000,0,0.000000,1,1,388:1,Mohenjo-daro:1,705:1,baseline,M-359:+740-405-590-220-235-803-002-388-385-705-632+
2026-05-31,392,1,1,0,0.000000,0,0.000000,1,1,861:1,Lothal:1,<END>:1,baseline,L-46:+527-388-233-740-176-002-861-392+
2026-05-31,420,1,0,1,1.000000,1,1.000000,1,1,455:1,Harappa:1,032:1,baseline,H-1671:+740-061-002-455-420-032+
2026-05-31,435,1,0,1,1.000000,0,0.000000,1,1,798:1,Mohenjo-daro:1,255:1,baseline,M-1772:+740-400-142-061-002-798-435-255-705+
2026-05-31,463,1,0,1,1.000000,1,1.000000,1,1,762:1,Kalibangan:1,140:1,baseline,K-18:+307-002-762-463-140+
2026-05-31,475,1,0,1,1.000000,1,1.000000,1,1,527:1,Mohenjo-daro:1,005:1,baseline,M-40:+391-002-527-475-005+
2026-05-31,493,1,1,0,0.000000,0,0.000000,1,1,850:1,Mohenjo-daro:1,<END>:1,baseline,M-325:+241-803-002-850-493+
2026-05-31,500,1,1,0,0.000000,0,0.000000,1,1,031:1,Chanhu-daro:1,<END>:1,baseline,C-6:+817-521-521/090-740-221-002-031-500+
2026-05-31,501,1,1,0,0.000000,0,0.000000,1,1,405:1,Harappa:1,<END>:1,baseline,H-1155:+520-240-002-405-501+
2026-05-31,503,1,1,0,0.000000,0,0.000000,1,1,702:1,Harappa:1,<END>:1,baseline,H-408:+740-176-240-002-702-503+
2026-05-31,504,1,0,1,1.000000,1,1.000000,1,1,595:1,Mohenjo-daro:1,803:1,baseline,M-1676:+740-760-070-255-832-240-002-595-504-803+
2026-05-31,518,1,1,0,0.000000,0,0.000000,1,1,368:1,Mohenjo-daro:1,<END>:1,baseline,M-253:+527-550-803-002-368-518+
2026-05-31,560,1,1,0,0.000000,0,0.000000,1,1,814:1,Mohenjo-daro:1,<END>:1,baseline,M-17:+390-016-002-814-560+
2026-05-31,595,1,1,0,0.000000,0,0.000000,1,1,278:1,Salut:1,<END>:1,baseline,-:4173.1:+392-004-002-278-595+
2026-05-31,617,1,0,1,1.000000,1,1.000000,1,1,564:1,Mohenjo-daro:1,033:1,baseline,M-4:+298-465-033-705-231-002-564-617-033+
2026-05-31,626,1,1,0,0.000000,0,0.000000,1,1,861:1,Lothal:1,<END>:1,baseline,L-39:+520-315-002-861-626+
2026-05-31,627,1,0,1,1.000000,0,0.000000,1,1,220:1,Mohenjo-daro:1,615:1,baseline,M-1427:+484-140-002-220-627-615-906-388+
2026-05-31,630,1,1,0,0.000000,0,0.000000,1,1,900:1,Dholavira:1,<END>:1,baseline,-:4302.1:+740-519-002-900-630+
2026-05-31,633,1,0,1,1.000000,1,1.000000,1,1,270:1,Mohenjo-daro:1,032:1,baseline,M-1169:+520-033-705-220-032/231-072-002-270-633-032+
2026-05-31,634,1,1,0,0.000000,0,0.000000,1,1,368:1,Bala-kot:1,<END>:1,baseline,Blk-2:+390-717-061-002-368-634+
2026-05-31,683,1,1,0,0.000000,0,0.000000,1,1,861:1,Mohenjo-daro:1,<END>:1,baseline,M-1674:+090-740-222-231-002-861-683+
2026-05-31,698,1,1,0,0.000000,0,0.000000,1,1,861:1,Mohenjo-daro:1,<END>:1,baseline,M-330:+002-861-698+
2026-05-31,703,1,1,0,0.000000,0,0.000000,1,1,400:1,Mohenjo-daro:1,<END>:1,baseline,M-1135:+740-061-002-400-703+
2026-05-31,707,1,1,0,0.000000,0,0.000000,1,1,390:1,Mohenjo-daro:1,<END>:1,baseline,M-232:+236-002-390-707+
2026-05-31,717,1,1,0,0.000000,0,0.000000,1,1,504:1,Mohenjo-daro:1,<END>:1,baseline,M-52:+740-904-032-220-415-235-803-002-504-717+
2026-05-31,740,1,1,0,0.000000,0,0.000000,1,1,892:1,Desalpur:1,<END>:1,baseline,Dlp-3:+394-032-002-892-740+
2026-05-31,747,1,1,0,0.000000,0,0.000000,1,1,717:1,Harappa:1,<END>:1,baseline,H-639:+407-000-000-705-832-904-845-235-002-717-747+
2026-05-31,751,1,1,0,0.000000,0,0.000000,1,1,190:1,Mohenjo-daro:1,<END>:1,baseline,M-639:+226-415-002-190-751+
2026-05-31,791,1,0,1,1.000000,0,0.000000,1,1,861:1,Kalibangan:1,440:1,baseline,K-40:+760-031-002-861-791-440-717+
2026-05-31,803,1,1,0,0.000000,0,0.000000,1,1,861:1,Mohenjo-daro:1,<END>:1,baseline,M-1698:+740-482-033-705-002-861-803+
2026-05-31,808,1,1,0,0.000000,0,0.000000,1,1,817:1,Harappa:1,<END>:1,baseline,H-456:+520-033-706-002-817-808+
2026-05-31,812,1,0,1,1.000000,0,0.000000,1,1,595:1,Harappa:1,125:1,baseline,H-130:+409-032-845-033-705-231-806-002-595-812-125-717+
2026-05-31,817,1,1,0,0.000000,0,0.000000,1,1,002:1,Mohenjo-daro:1,<END>:1,baseline,M-658:]000-003-070-002-002-817+
2026-05-31,831,1,0,1,1.000000,1,1.000000,1,1,861:1,Harappa:1,165:1,baseline,H-688:+520-233-002-861-831-165+
2026-05-31,834,1,1,0,0.000000,0,0.000000,1,1,065:1,Mohenjo-daro:1,<END>:1,baseline,M-1082:]000-235-002-065-834+
2026-05-31,850,1,1,0,0.000000,0,0.000000,1,1,315:1,Mohenjo-daro:1,<END>:1,baseline,M-1002:+740-373-031-002-315-850+
2026-05-31,880,1,0,1,1.000000,1,1.000000,1,1,220:1,Mohenjo-daro:1,689:1,baseline,M-655:+740-717-233-002-220-880-689+
2026-05-31,898,1,1,0,0.000000,0,0.000000,1,1,257:1,Mohenjo-daro:1,<END>:1,baseline,M-154:+520-220-621-415-002-257-898+
2026-05-31,901,1,1,0,0.000000,0,0.000000,1,1,861:1,Mohenjo-daro:1,<END>:1,baseline,M-677:+740-923-070-032-033-706-231-242-002-861-901+
