"companion","type","order","context_class","side_relation","longer_side_texts","rows","sample_cisi","interpretation"
"033","TAB:B","700_last","single_short_no_longer_text","no_longer_text","","2","H-795;H-1112","companion_context_family_only_no_reading"
"033","TAB:B","700_last","single_longer_text","short_after_all_longer","1:+400-154-896+","2","H-792;H-793","companion_context_family_only_no_reading"
"033","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+400-740-178+","2","H-311;H-959","companion_context_family_only_no_reading"
"034","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+151-740-222+","2","H-1868;H-1869","companion_context_family_only_no_reading"
"034","TAB:B","700_last","single_longer_text","short_before_all_longer","2:+400-775-516+","2","H-1876;H-1877","companion_context_family_only_no_reading"
"034","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+520-220-415+","2","H-319;H-1284","companion_context_family_only_no_reading"
"034","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+565-740-176-231+","2","H-2140;H-2141","companion_context_family_only_no_reading"
"034","TAB:I","700_last","all_short_or_no_longer_text","no_longer_text","","2","H-945;H-2154","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+400-226-032+","1","H-1321","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+400-520-400-352+","1","H-213","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+400-520-400-353+","1","H-214","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+400-740-100-240+","1","H-251","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+400-740-177-519+","1","H-232","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+400-740-335-003+","1","H-854","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+400-740-335-482-175+","1","H-1774","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+400-740-382+","1","H-1102","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+400-820-100-415+","1","H-814","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+400-892-831+","1","H-1133","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+400-921-690-435-255-055+","1","H-209","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+520-072-219+","1","H-230","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+525-550-220+","1","H-1123","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+526-554-002-820+","1","H-833","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+740-337-484+","1","H-217","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+158-003-494+","1","H-1902","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+390-004-817+","1","H-778","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+400-090-740-400-090+","1","H-1906","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+400-236-220+","1","H-1941","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+400-617-829+","1","H-1853","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+400-740-032-840+","1","H-1923","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+400-740-176-791+","1","H-1931","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+400-740-920-320-233-240-798+","1","H-1922","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+511-032-142+","1","H-1936","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+520-072-219+","1","H-815","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+526-554-002-820+","1","H-1146","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+740-540-204-255+","1","H-1841","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+740-760-268-233-220+","1","H-852","companion_context_family_only_no_reading"
"032","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+740-817-491+","1","H-1909","companion_context_family_only_no_reading"
"032","TAB:B","700_last","all_short_or_no_longer_text","no_longer_text","","1","H-839","companion_context_family_only_no_reading"
"032","TAB:B","700_last","single_longer_text","short_after_all_longer","1:+400-156-118+","1","H-212","companion_context_family_only_no_reading"
"032","TAB:B","700_last","single_longer_text","short_after_all_longer","1:+400-232-235+","1","H-794","companion_context_family_only_no_reading"
"032","TAB:B","700_last","single_longer_text","short_after_all_longer","1:+400-740-336-018+","1","H-817","companion_context_family_only_no_reading"
"032","TAB:B","700_last","single_longer_text","short_before_all_longer","2:+390-004-104+","1","H-777","companion_context_family_only_no_reading"
"032","TAB:B","700_last","single_longer_text","short_before_all_longer","2:+400-153-118+","1","H-1855","companion_context_family_only_no_reading"
"032","TAB:B","700_last","single_longer_text","short_before_all_longer","2:+400-740-388-717-705+","1","H-1945","companion_context_family_only_no_reading"
"032","TAB:B","700_last","single_longer_text","short_before_all_longer","2:+405-035-002-861+","1","H-1942","companion_context_family_only_no_reading"
"032","TAB:B","700_last","single_longer_text","short_before_all_longer","2:+740-142-062-002-817+","1","H-1864","companion_context_family_only_no_reading"
"032","TAB:B","700_last","single_longer_text","short_before_all_longer","2:+740-690-435-255-055+","1","H-1797","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+156-176-741-060-920+","1","H-1309","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+400-740-032-028+","1","H-322","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+400-740-336-176+","1","H-341","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+520-220-415+","1","H-2146","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+527-550-233+","1","H-1294","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+740-031-904-001-032+","1","H-1312","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+740-255-032+","1","H-2198","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+740-760-382+","1","H-975","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+740-760-797+","1","H-362","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+740-900-004+","1","H-930","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+390-004-155-390+","1","H-2186","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+400-158-690+","1","H-2185","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+400-740-032-015+","1","H-2184","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+400-740-176-240+","1","H-2201","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+400-740-575-017-798+","1","H-2183","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+400-740-817-491+","1","H-2173","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+400-854-032+","1","H-2217","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+526-550-233+","1","H-968","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+700-840-032-741+","1","H-2211","companion_context_family_only_no_reading"
"032","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+740-176-033-705-235+","1","H-2139","companion_context_family_only_no_reading"
"032","TAB:I","700_last","single_longer_text","short_after_all_longer","1:+526-550-220+","1","H-359","companion_context_family_only_no_reading"
"032","TAB:I","700_last","single_longer_text","short_after_all_longer","1:+740-690-630-240+","1","H-321","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+032-820-100-415+","1","H-799","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+137-002-820+","1","H-702","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+151-840-416+","1","H-770","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+200-705-380+","1","H-876","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+400-236-220+","1","H-1124","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+400-740-100-031-705+","1","H-846","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+400-740-176+","1","H-233","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+400-740-220-415-798+","1","H-767","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+400-740-384-033+","1","H-790","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+400-740-690-436-255+","1","H-834","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+400-740-892-617+","1","H-229","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+400-740-920-320-233-240-798+","1","H-248","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+400-807-740-219+","1","H-245","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+415-035-171+","1","H-219","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+520-220-240-002-820+","1","H-231","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+740-336-018+","1","H-818","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+740-336-176+","1","H-218","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+740-337-484+","1","H-216","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+740-337-692-490+","1","H-800","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+740-390-590-235+","1","H-857","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+740-615-495-002-817+","1","H-838","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+740-642-240-060-692+","1","H-237","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+740-642-240-204-705-621+","1","H-206","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+032-920-491+","1","H-1915","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+400-151-142+","1","H-1995","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+400-236-220+","1","H-1872","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+400-236-233+","1","H-1873","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+400-368-741+","1","H-1898","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+400-520-400-352+","1","H-1933","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+400-740-061-140+","1","H-1929","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+400-740-067-100+","1","H-1940","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+400-740-176-519+","1","H-1822","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+400-892-831+","1","H-1896","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+526-550-233+","1","H-2142","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+740-100-175-630-705+","1","H-1839","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+740-790-032+","1","H-1883","companion_context_family_only_no_reading"
"033","TAB:B","700_first","single_longer_text","short_before_all_longer","3:+740-100-415+","1","H-847","companion_context_family_only_no_reading"
"033","TAB:B","700_last","single_longer_text","short_after_all_longer","1:+400-520-220-016+","1","H-789","companion_context_family_only_no_reading"
"033","TAB:B","700_last","single_longer_text","short_after_all_longer","1:+400-740-390-590+","1","H-816","companion_context_family_only_no_reading"
"033","TAB:B","700_last","single_longer_text","short_after_all_longer","1:+400-740-898-617+","1","H-211","companion_context_family_only_no_reading"
"033","TAB:B","700_last","single_longer_text","short_after_all_longer","1:+740-803-741-031-032-716+","1","H-776","companion_context_family_only_no_reading"
"033","TAB:B","700_last","single_longer_text","short_before_all_longer","2:+400-740-904-240+","1","H-1897","companion_context_family_only_no_reading"
"033","TAB:B","700_last","single_longer_text","short_before_all_longer","2:+550-003-435+","1","H-1924","companion_context_family_only_no_reading"
"033","TAB:B","700_last","single_longer_text","short_before_all_longer","2:+740-690-435-176-233-803+","1","H-1842","companion_context_family_only_no_reading"
"033","TAB:B","700_last","single_longer_text","short_before_all_longer","2:+740-690-435-255+","1","H-1938","companion_context_family_only_no_reading"
"033","TAB:B","700_last","single_longer_text","short_before_all_longer","2:+740-803-892-031-002-861+","1","H-1851","companion_context_family_only_no_reading"
"033","TAB:B","700_last","single_longer_text","short_before_all_longer","2:+740-904-240+","1","H-781","companion_context_family_only_no_reading"
"033","TAB:B","700_last","single_longer_text","short_before_all_longer","2:+740-923-235+","1","H-1903","companion_context_family_only_no_reading"
"033","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+090-740-362+","1","H-345","companion_context_family_only_no_reading"
"033","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+388-134-368-590+","1","H-951","companion_context_family_only_no_reading"
"033","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+400-151-229+","1","H-948","companion_context_family_only_no_reading"
"033","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+400-156-140-032+","1","H-1287","companion_context_family_only_no_reading"
"033","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+400-740-032-027+","1","H-303","companion_context_family_only_no_reading"
"033","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+400-740-032-059+","1","H-916","companion_context_family_only_no_reading"
"033","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+400-740-575-017-920+","1","H-296","companion_context_family_only_no_reading"
"033","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+400-740-817-491+","1","H-900","companion_context_family_only_no_reading"
"033","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+526-550-220+","1","H-344","companion_context_family_only_no_reading"
"033","TAB:I","700_first","multiple_longer_texts","short_between_longer_sides","1:+690-365-817+|3:+400-740-176+","1","H-987","companion_context_family_only_no_reading"
"033","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+740-032-840+","1","H-306","companion_context_family_only_no_reading"
"033","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+740-061-001-031-820+","1","H-1198","companion_context_family_only_no_reading"
"033","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+740-690-636-240+","1","H-1308","companion_context_family_only_no_reading"
"033","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+740-861-877+","1","H-343","companion_context_family_only_no_reading"
"033","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+400-090-740-100-390-231+","1","H-2197","companion_context_family_only_no_reading"
"033","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+400-740-032-025+","1","H-2209","companion_context_family_only_no_reading"
"033","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+400-740-032-028+","1","H-2115","companion_context_family_only_no_reading"
"033","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+740-143-067+","1","H-2125","companion_context_family_only_no_reading"
"033","TAB:I","700_first","multiple_longer_texts","short_before_all_longer","2:+740-760-840-799+|3:+876-032-578-415+","1","H-2214","companion_context_family_only_no_reading"
"033","TAB:I","700_first","multiple_longer_texts","short_before_all_longer","2:+824-032-578-415+|3:+740-760-840-799+","1","H-2213","companion_context_family_only_no_reading"
"033","TAB:I","700_last","single_short_no_longer_text","no_longer_text","","1","H-931","companion_context_family_only_no_reading"
"033","TAB:I","700_last","single_longer_text","short_after_all_longer","1:+520-220-016+","1","H-942","companion_context_family_only_no_reading"
"033","TAB:I","700_last","single_longer_text","short_after_all_longer","1:+710-455-220-032+","1","H-950","companion_context_family_only_no_reading"
"033","TAB:I","700_last","single_longer_text","short_after_all_longer","1:+740-100-240+","1","H-323","companion_context_family_only_no_reading"
"034","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+032-257-840+","1","H-771","companion_context_family_only_no_reading"
"034","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+740-400-142-061+","1","H-780","companion_context_family_only_no_reading"
"034","TAB:B","700_first","single_longer_text","short_after_all_longer","1:+740-603-240-060-692+","1","H-1138","companion_context_family_only_no_reading"
"034","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+151-740-221+","1","H-1867","companion_context_family_only_no_reading"
"034","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+151-740-235+","1","H-1871","companion_context_family_only_no_reading"
"034","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+390-004-455-371-741-590+","1","H-1987","companion_context_family_only_no_reading"
"034","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+400-154-690+","1","H-1844","companion_context_family_only_no_reading"
"034","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+400-297-352-892-590-740-176+","1","H-1832","companion_context_family_only_no_reading"
"034","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+400-525-554+","1","H-1817","companion_context_family_only_no_reading"
"034","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+400-740-061-140+","1","H-1894","companion_context_family_only_no_reading"
"034","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+400-740-100-240+","1","H-1895","companion_context_family_only_no_reading"
"034","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+400-740-717+","1","H-1854","companion_context_family_only_no_reading"
"034","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+400-740-760-382+","1","H-1850","companion_context_family_only_no_reading"
"034","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+400-740-798-365-415-001+","1","H-1823","companion_context_family_only_no_reading"
"034","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+740-176-031-060-201+","1","H-1824","companion_context_family_only_no_reading"
"034","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+740-176-220+","1","H-1825","companion_context_family_only_no_reading"
"034","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+740-384-031+","1","H-1943","companion_context_family_only_no_reading"
"034","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+740-603-240-060-692+","1","H-1846","companion_context_family_only_no_reading"
"034","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+740-636-240-060-692+","1","H-823","companion_context_family_only_no_reading"
"034","TAB:B","700_first","single_longer_text","short_before_all_longer","2:+740-642-240-060-692+","1","H-1845","companion_context_family_only_no_reading"
"034","TAB:B","700_last","single_longer_text","short_after_all_longer","1:+740-177-231+","1","H-853","companion_context_family_only_no_reading"
"034","TAB:B","700_last","single_longer_text","short_before_all_longer","2:+520-033-033+","1","H-1880","companion_context_family_only_no_reading"
"034","TAB:B","700_last","single_longer_text","short_before_all_longer","2:+740-690-435-255+","1","H-1937","companion_context_family_only_no_reading"
"034","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+002-861-416+","1","H-910","companion_context_family_only_no_reading"
"034","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+400-151-336-630-706+","1","H-297","companion_context_family_only_no_reading"
"034","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+400-156-384-031+","1","H-324","companion_context_family_only_no_reading"
"034","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+400-740-032-060-013+","1","H-351","companion_context_family_only_no_reading"
"034","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+400-740-337+","1","H-893","companion_context_family_only_no_reading"
"034","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+400-740-637-240+","1","H-983","companion_context_family_only_no_reading"
"034","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+565-741-263+","1","H-363","companion_context_family_only_no_reading"
"034","TAB:I","700_first","single_longer_text","short_after_all_longer","1:+740-690-642-240+","1","H-350","companion_context_family_only_no_reading"
"034","TAB:I","700_first","multiple_longer_texts","short_after_all_longer","1:+824-032-578-415+|2:+740-714-840-799+","1","H-1354","companion_context_family_only_no_reading"
"034","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+090-740-792+","1","H-2143","companion_context_family_only_no_reading"
"034","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+156-435-255+","1","H-985","companion_context_family_only_no_reading"
"034","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+400-740-032-027+","1","H-2204","companion_context_family_only_no_reading"
"034","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+400-740-176+","1","H-960","companion_context_family_only_no_reading"
"034","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+400-740-817-276+","1","H-2070","companion_context_family_only_no_reading"
"034","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+520-220-415+","1","H-939","companion_context_family_only_no_reading"
"034","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+740-032-025+","1","H-2206","companion_context_family_only_no_reading"
"034","TAB:I","700_first","single_longer_text","short_before_all_longer","2:+740-100-176+","1","H-2137","companion_context_family_only_no_reading"
"034","TAB:I","700_first","multiple_longer_texts","short_before_all_longer","2:+824-032-578-415+|3:+740-760-840-799+","1","H-2246","companion_context_family_only_no_reading"
"034","TAB:I","700_last","single_longer_text","short_after_all_longer","1:+400-156-435-255+","1","H-358","companion_context_family_only_no_reading"
"034","TAB:I","700_last","single_longer_text","short_after_all_longer","1:+400-740-336-176+","1","H-892","companion_context_family_only_no_reading"
"034","TAB:I","700_last","single_longer_text","short_after_all_longer","1:+520-220-415+","1","H-938","companion_context_family_only_no_reading"
"034","TAB:I","700_last","single_longer_text","short_before_all_longer","2:+002-861-416+","1","H-2097","companion_context_family_only_no_reading"
"034","TAB:I","700_last","single_longer_text","short_before_all_longer","2:+400-740-032-027+","1","H-2208","companion_context_family_only_no_reading"
"034","TAB:I","700_last","single_longer_text","short_before_all_longer","2:+400-740-176+","1","H-933","companion_context_family_only_no_reading"
