"id","cisi","region","site","area_section","period","phase","material","shape","type","sides","condition","complete","dir","class","text_length","text","signs","third_slot","exact_three","longer_after_third","same_cisi_row_count","companion_texts","has_110_companion","has_700_034_companion","has_700_033_companion","has_700_032_companion","has_numeral_companion"
"3421.1","M-1044","Lower Indus","Mohenjo-daro","HRB","-","-","Steatite","square","SEAL:S","1","Poor","Y","R/L","SP","5","+520-220-032-002-861+","5","032","False","-002-861+","1","","False","False","False","False","False"
"3556.1","M-1206","Lower Indus","Mohenjo-daro","DKG. (S)","Late","III","Steatite","square","SEAL:S","2","Good","Y","R/L","MT","3","+520-220-034+","3","034","True","","2","+740-690-435-255-002-861+","False","False","False","False","True"
"3464.1","M-1090","Lower Indus","Mohenjo-daro","DKG","Early","I","Steatite","square","SEAL:S","1","Poor","N","R/L","??","6","+520-220-235-000-130-741+","5","235","False","-000-130-741+","1","","False","False","False","False","False"
"1258.1","H-231","Inter-Riverine","Harappa","FTrench VI","-","Stratum III","Faience","elliptical","TAB:B","2","Fair","Y","R/L","SP","5","+520-220-240-002-820+","5","240","False","-002-820+","2","+700-033+","False","False","True","False","False"
"199.1","H-423","Inter-Riverine","Harappa","--","-","-","Steatite","square","SEAL:S","1","Poor","Y","R/L","LP","6","+520-220-240-798-060-692+","6","240","False","-798-060-692+","1","","False","False","False","False","False"
"2506.1","M-1716","Lower Indus","Mohenjo-daro","VS-","-","-","Steatite","square","SEAL:S","1","Good","Y","R/L","SP","6","+520-220-240-803-002-820+","6","240","False","-803-002-820+","1","","False","False","False","False","False"
"2265.1","M-888","Lower Indus","Mohenjo-daro","DKB","-","-","Steatite","square","SEAL:S","1","Fair","Y","R/L","SP","5","+520-220-240-741-440+","5","240","False","-741-440+","1","","False","False","False","False","False"
"3357.1","M-962","Lower Indus","Mohenjo-daro","DK-","-","-","-","square","SEAL:S","1","Fair","Y","R/L","MT","4","+520-220-240-235+","4","240","False","-235+","1","","False","False","False","False","False"
"2485.1","M-1687","Lower Indus","Mohenjo-daro","HRA","-","-","Steatite","square","SEAL:S","1","Fair","Y","R/L","IT","4","+520-220-368-817+","4","368","False","-817+","1","","False","False","False","False","False"
"4069.1","H-1284","Inter-Riverine","Harappa","--","-","-","-","rectangular","TAB:I","2","Good","Y","L/R","MT","3","+520-220-415+","3","415","True","","2","+700-034+","False","True","False","False","False"
"221.1","H-1326","Inter-Riverine","Harappa","FTrench VI","-","Stratum III","Steatite","rectangular-round","TAB:I","1","Fair","Y","R/L","MT","3","+520-220-415+","3","415","True","","1","","False","False","False","False","False"
"479.1","H-1669","Inter-Riverine","Harappa","ETrench 11","3","C","Steatite","square","SEAL:S","1","Poor","Y","R/L","SP","5","+520-220-415-060-920+","5","415","False","-060-920+","1","","False","False","False","False","False"
"517.1","H-1722","Inter-Riverine","Harappa","E-","3","B/C","-","-","TAG","2","Poor","N","R/L","??","4+?","+520-220-415-000[","3","415","False","-000[","2","]000-220[","False","False","False","False","False"
"485.2","H-1953","Inter-Riverine","Harappa","ETrench 11","3","C","Clay","rectangular","TAB:B","2","Fair","Y","R/L","MT","5","+520-220-415-240-803+","5","415","False","-240-803+","2","+700-032-220+","False","False","False","True","False"
"913.1","H-1992","Inter-Riverine","Harappa","ETrench 11","3","-","Faience","cylindrical","TAB:B","2","Poor","Y","R/L","MT","3","+520-220-415+","3","415","True","","2","+520-220-415+","False","False","False","False","False"
"913.2","H-1992","Inter-Riverine","Harappa","ETrench 11","3","-","Faience","cylindrical","TAB:B","2","Poor","Y","R/L","MT","3","+520-220-415+","3","415","True","","2","+520-220-415+","False","False","False","False","False"
"841.1","H-2146","Inter-Riverine","Harappa","ETrench 11","3","B","Steatite","rectangular","TAB:I","2","Fair","Y","R/L","MT","3","+520-220-415+","3","415","True","","2","+700-032+","False","False","False","True","False"
"481.1","H-2148","Inter-Riverine","Harappa","ETrench 11","3","C","Steatite","rectangular","TAB:I","2","Good","Y","R/L","MT","3","+520-220-415+","3","415","True","","2","+110+","True","False","False","False","False"
"848.1","H-2149","Inter-Riverine","Harappa","ETrench 11","3","B","Steatite","rectangular","TAB:I","2","Fair","Y","R/L","MT","3","+520-220-415+","3","415","True","","2","+590-032-645-003+","False","False","False","False","True"
"816.1","H-2240","Inter-Riverine","Harappa","ETrench 11","3","B/C","Steatite","rectangular","TAB:I","2","Good","Y","R/L","MT","3","+520-220-415+","3","415","True","","2","+869-575+","False","False","False","False","False"
"1341.1","H-319","Inter-Riverine","Harappa","FTrench IV+V","-","Stratum IV","Steatite","oval","TAB:I","2","Good","Y","R/L","MT","3","+520-220-415+","3","415","True","","2","+700-034+","False","True","False","False","False"
"1366.1","H-346","Inter-Riverine","Harappa","FTrench IV+V","-","Stratum VI","Steatite","circular","TAB:I","2","Fair","Y","R/L","MT","3","+520-220-415+","3","415","True","","2","+700-090+","False","False","False","False","False"
"1383.1","H-364","Inter-Riverine","Harappa","FTrench I","-","Stratum VI","Steatite","cuboid","TAB:I","1","Fair","Y","R/L","MT","3","+520-220-415+","3","415","True","","1","","False","False","False","False","False"
"1677.2","H-786","Inter-Riverine","Harappa","--","-","-","-","rectangular","TAB:B","2","Good","Y","R/L","MT","3","+520-220-415+","3","415","True","","2","+824-892-413+","False","False","False","False","False"
"1818.1","H-938","Inter-Riverine","Harappa","F-","-","Stratum IV","Steatite","rectangular","TAB:I","2","Good","Y","L/R","MT","3","+520-220-415+","3","415","True","","2","+034-700+","False","True","False","False","False"
"1819.2","H-939","Inter-Riverine","Harappa","D-","-","Stratum IV","Steatite","rectangular","TAB:I","2","Poor","Y","L/R","MT","3","+520-220-415+","3","415","True","","2","+700-034+","False","True","False","False","False"
"1820.1","H-940","Inter-Riverine","Harappa","FGranery","-","Stratum V","Steatite","rectangular","TAB:I","2","Fair","Y","R/L","MT","3","+520-220-415+","3","415","True","","2","+110+","True","False","False","False","False"
"1821.2","H-941","Inter-Riverine","Harappa","FGranery","-","Stratum V","Steatite","rectangular","TAB:I","2","Poor","Y","R/L","MT","3","+520-220-415+","3","415","True","","2","+590-032-645-003+","False","False","False","False","True"
"2052.1","L-98","Gujarat/Kutch","Lothal","SRG 3BX 2","Layer 5","II","Steatite","rectangular","SEAL:R","1","Good","Y","R/L","MT","4","+520-220-415-519+","4","415","False","-519+","1","","False","False","False","False","False"
"3413.1","M-1031","Lower Indus","Mohenjo-daro","SD-","-","-","-","square","SEAL:S","1","Poor","?","R/L","UC","4+?","+520-220-415-817[","4","415","False","-817[","1","","False","False","False","False","False"
"2689.1","M-163","Lower Indus","Mohenjo-daro","HRB","-","-","Steatite","square","SEAL:S","1","Poor","Y","R/L","SP","5","+520-220-415-060-820+","5","415","False","-060-820+","1","","False","False","False","False","False"
"2420.1","M-1814","Lower Indus","Mohenjo-daro","DKE","-","-","Steatite","square","SEAL:S","1","Poor","Y","R/L","MT","4","+520-220-415-240+","4","415","False","-240+","1","","False","False","False","False","False"
"2800.1","M-279","Lower Indus","Mohenjo-daro","DK-","-","-","Steatite","square","SEAL:S","1","Poor","N","R/L","??","6","+520-220-415-002-700-000+","5","415","False","-002-700-000+","1","","False","False","False","False","False"
"2841.1","M-323","Lower Indus","Mohenjo-daro","DKE","-","-","Steatite","square","SEAL:S","1","Poor","Y","R/L","MT","4","+520-220-415-235+","4","415","False","-235+","1","","False","False","False","False","False"
"2565.1","M-37","Lower Indus","Mohenjo-daro","DKB","-","-","Steatite","square","SEAL:S","1","Fine","Y","R/L","MT","3","+520-220-415+","3","415","True","","1","","False","False","False","False","False"
"2891.1","M-395","Lower Indus","Mohenjo-daro","DKG. (N)","Late","III","Steatite","cuboid-convex","SEAL:R","1","Good","Y","R/L","MT","4","+520-220-415-798+","4","415","False","-798+","1","","False","False","False","False","False"
"3094.1","M-650","Lower Indus","Mohenjo-daro","HRB","-","-","Steatite","square","SEAL:S","1","Fair","Y","R/L","SP","6","+520-220-415-519-002-817+","6","415","False","-519-002-817+","1","","False","False","False","False","False"
"2681.1","M-154","Lower Indus","Mohenjo-daro","DKG. (S)","Intermediate","I","Steatite","square","SEAL:S","1","Good","Y","R/L","2L","7","+520-220-621-415-002-257-898+","7","621","False","-415-002-257-898+","1","","False","False","False","False","False"
"5360.1","Ns-59","Lower Indus","Nausharo","--","3","-","Steatite","square","SEAL:S","1","Poor","Y","R/L","SP","5","+520-220-742-060-920+","5","742","False","-060-920+","1","","False","False","False","False","False"
"2513.1","M-1776","Lower Indus","Mohenjo-daro","VSA","-","-","Steatite","square","SEAL:S","1","Poor","Y","R/L","SP","5","+520-220-803-741-262+","5","803","False","-741-262+","1","","False","False","False","False","False"
