"id","cisi","region","site","area_section","period","phase","material","shape","type","sides","dir","class","text_length","text","signs","occurrence_position","at_start","at_end_after_220","before_520","after_220","after2","after_tail","exact_520_220","exact_520_220_x","damaged_or_open"
"2506.1","M-1716","Lower Indus","Mohenjo-daro","VS-","-","-","Steatite","square","SEAL:S","1","R/L","SP","6","+520-220-240-803-002-820+","520-220-240-803-002-820","0","True","False","","240","803","240-803-002-820","False","False","False"
"2265.1","M-888","Lower Indus","Mohenjo-daro","DKB","-","-","Steatite","square","SEAL:S","1","R/L","SP","5","+520-220-240-741-440+","520-220-240-741-440","0","True","False","","240","741","240-741-440","False","False","False"
"3357.1","M-962","Lower Indus","Mohenjo-daro","DK-","-","-","-","square","SEAL:S","1","R/L","MT","4","+520-220-240-235+","520-220-240-235","0","True","False","","240","235","240-235","False","False","False"
"2485.1","M-1687","Lower Indus","Mohenjo-daro","HRA","-","-","Steatite","square","SEAL:S","1","R/L","IT","4","+520-220-368-817+","520-220-368-817","0","True","False","","368","817","368-817","False","False","False"
"4069.1","H-1284","Inter-Riverine","Harappa","--","-","-","-","rectangular","TAB:I","2","L/R","MT","3","+520-220-415+","520-220-415","0","True","False","","415","","415","False","True","False"
"221.1","H-1326","Inter-Riverine","Harappa","FTrench VI","-","Stratum III","Steatite","rectangular-round","TAB:I","1","R/L","MT","3","+520-220-415+","520-220-415","0","True","False","","415","","415","False","True","False"
"479.1","H-1669","Inter-Riverine","Harappa","ETrench 11","3","C","Steatite","square","SEAL:S","1","R/L","SP","5","+520-220-415-060-920+","520-220-415-060-920","0","True","False","","415","060","415-060-920","False","False","False"
"517.1","H-1722","Inter-Riverine","Harappa","E-","3","B/C","-","-","TAG","2","R/L","??","4+?","+520-220-415-000[","520-220-415-000","0","True","False","","415","000","415-000","False","False","True"
"485.2","H-1953","Inter-Riverine","Harappa","ETrench 11","3","C","Clay","rectangular","TAB:B","2","R/L","MT","5","+520-220-415-240-803+","520-220-415-240-803","0","True","False","","415","240","415-240-803","False","False","False"
"913.1","H-1992","Inter-Riverine","Harappa","ETrench 11","3","-","Faience","cylindrical","TAB:B","2","R/L","MT","3","+520-220-415+","520-220-415","0","True","False","","415","","415","False","True","False"
"913.2","H-1992","Inter-Riverine","Harappa","ETrench 11","3","-","Faience","cylindrical","TAB:B","2","R/L","MT","3","+520-220-415+","520-220-415","0","True","False","","415","","415","False","True","False"
"841.1","H-2146","Inter-Riverine","Harappa","ETrench 11","3","B","Steatite","rectangular","TAB:I","2","R/L","MT","3","+520-220-415+","520-220-415","0","True","False","","415","","415","False","True","False"
"481.1","H-2148","Inter-Riverine","Harappa","ETrench 11","3","C","Steatite","rectangular","TAB:I","2","R/L","MT","3","+520-220-415+","520-220-415","0","True","False","","415","","415","False","True","False"
"848.1","H-2149","Inter-Riverine","Harappa","ETrench 11","3","B","Steatite","rectangular","TAB:I","2","R/L","MT","3","+520-220-415+","520-220-415","0","True","False","","415","","415","False","True","False"
"816.1","H-2240","Inter-Riverine","Harappa","ETrench 11","3","B/C","Steatite","rectangular","TAB:I","2","R/L","MT","3","+520-220-415+","520-220-415","0","True","False","","415","","415","False","True","False"
"1341.1","H-319","Inter-Riverine","Harappa","FTrench IV+V","-","Stratum IV","Steatite","oval","TAB:I","2","R/L","MT","3","+520-220-415+","520-220-415","0","True","False","","415","","415","False","True","False"
"1366.1","H-346","Inter-Riverine","Harappa","FTrench IV+V","-","Stratum VI","Steatite","circular","TAB:I","2","R/L","MT","3","+520-220-415+","520-220-415","0","True","False","","415","","415","False","True","False"
"1383.1","H-364","Inter-Riverine","Harappa","FTrench I","-","Stratum VI","Steatite","cuboid","TAB:I","1","R/L","MT","3","+520-220-415+","520-220-415","0","True","False","","415","","415","False","True","False"
"1677.2","H-786","Inter-Riverine","Harappa","--","-","-","-","rectangular","TAB:B","2","R/L","MT","3","+520-220-415+","520-220-415","0","True","False","","415","","415","False","True","False"
"1818.1","H-938","Inter-Riverine","Harappa","F-","-","Stratum IV","Steatite","rectangular","TAB:I","2","L/R","MT","3","+520-220-415+","520-220-415","0","True","False","","415","","415","False","True","False"
"1819.2","H-939","Inter-Riverine","Harappa","D-","-","Stratum IV","Steatite","rectangular","TAB:I","2","L/R","MT","3","+520-220-415+","520-220-415","0","True","False","","415","","415","False","True","False"
"1820.1","H-940","Inter-Riverine","Harappa","FGranery","-","Stratum V","Steatite","rectangular","TAB:I","2","R/L","MT","3","+520-220-415+","520-220-415","0","True","False","","415","","415","False","True","False"
"1821.2","H-941","Inter-Riverine","Harappa","FGranery","-","Stratum V","Steatite","rectangular","TAB:I","2","R/L","MT","3","+520-220-415+","520-220-415","0","True","False","","415","","415","False","True","False"
"2052.1","L-98","Gujarat/Kutch","Lothal","SRG 3BX 2","Layer 5","II","Steatite","rectangular","SEAL:R","1","R/L","MT","4","+520-220-415-519+","520-220-415-519","0","True","False","","415","519","415-519","False","False","False"
"3413.1","M-1031","Lower Indus","Mohenjo-daro","SD-","-","-","-","square","SEAL:S","1","R/L","UC","4+?","+520-220-415-817[","520-220-415-817","0","True","False","","415","817","415-817","False","False","True"
"2689.1","M-163","Lower Indus","Mohenjo-daro","HRB","-","-","Steatite","square","SEAL:S","1","R/L","SP","5","+520-220-415-060-820+","520-220-415-060-820","0","True","False","","415","060","415-060-820","False","False","False"
"2420.1","M-1814","Lower Indus","Mohenjo-daro","DKE","-","-","Steatite","square","SEAL:S","1","R/L","MT","4","+520-220-415-240+","520-220-415-240","0","True","False","","415","240","415-240","False","False","False"
"2800.1","M-279","Lower Indus","Mohenjo-daro","DK-","-","-","Steatite","square","SEAL:S","1","R/L","??","6","+520-220-415-002-700-000+","520-220-415-002-700-000","0","True","False","","415","002","415-002-700-000","False","False","False"
"2841.1","M-323","Lower Indus","Mohenjo-daro","DKE","-","-","Steatite","square","SEAL:S","1","R/L","MT","4","+520-220-415-235+","520-220-415-235","0","True","False","","415","235","415-235","False","False","False"
"2565.1","M-37","Lower Indus","Mohenjo-daro","DKB","-","-","Steatite","square","SEAL:S","1","R/L","MT","3","+520-220-415+","520-220-415","0","True","False","","415","","415","False","True","False"
"2891.1","M-395","Lower Indus","Mohenjo-daro","DKG. (N)","Late","III","Steatite","cuboid-convex","SEAL:R","1","R/L","MT","4","+520-220-415-798+","520-220-415-798","0","True","False","","415","798","415-798","False","False","False"
"3094.1","M-650","Lower Indus","Mohenjo-daro","HRB","-","-","Steatite","square","SEAL:S","1","R/L","SP","6","+520-220-415-519-002-817+","520-220-415-519-002-817","0","True","False","","415","519","415-519-002-817","False","False","False"
"2681.1","M-154","Lower Indus","Mohenjo-daro","DKG. (S)","Intermediate","I","Steatite","square","SEAL:S","1","R/L","2L","7","+520-220-621-415-002-257-898+","520-220-621-415-002-257-898","0","True","False","","621","415","621-415-002-257-898","False","False","False"
"5360.1","Ns-59","Lower Indus","Nausharo","--","3","-","Steatite","square","SEAL:S","1","R/L","SP","5","+520-220-742-060-920+","520-220-742-060-920","0","True","False","","742","060","742-060-920","False","False","False"
"2513.1","M-1776","Lower Indus","Mohenjo-daro","VSA","-","-","Steatite","square","SEAL:S","1","R/L","SP","5","+520-220-803-741-262+","520-220-803-741-262","0","True","False","","803","741","803-741-262","False","False","False"
"2268.1","M-1709","Lower Indus","Mohenjo-daro","DKB","-","-","Steatite","square","SEAL:S","1","R/L","SP","5","+621-520-220-002-817+","621-520-220-002-817","1","False","False","621","002","817","002-817","False","False","False"
"258.1","H-1121","Inter-Riverine","Harappa","FTrench III","-","Stratum VI","Faience","rectangular","TAB:B","2","L/R","MT","4","+400-520-220-016+","400-520-220-016","1","False","False","400","016","","016","False","False","False"
"1680.1","H-789","Inter-Riverine","Harappa","FTrench I","-","Stratum VI","Faience","rectangular","TAB:B","2","R/L","MT","4","+400-520-220-016+","400-520-220-016","1","False","False","400","016","","016","False","False","False"
"1153.1","H-98","Inter-Riverine","Harappa","F-","-","Stratum VI","Steatite","square","SEAL:S","1","R/L","2L","5","+861-920/520-220-016+","861-920-520-220-016","2","False","False","920","016","","016","False","False","False"
"4170.1","-","Gujarat/Kutch","Dholavira","Middle Town-","-","-","-","-","TAB:I","1","L/R","??","4+?","]000-520-220-032+","000-520-220-032","1","False","False","000","032","","032","False","False","True"
"2816.1","M-296","Lower Indus","Mohenjo-daro","DKB","-","-","Steatite","square","SEAL:S","1","R/L","SP","5","+621-520-220-060-880+","621-520-220-060-880","1","False","False","621","060","880","060-880","False","False","False"
"2551.1","M-23","Lower Indus","Mohenjo-daro","DKG. (S)","Intermediate","I","Steatite","square","SEAL:S","1","R/L","2L","13","+842-871-192-368/740-482-060-692-520-220-235-001-920+","842-871-192-368-740-482-060-692-520-220-235-001-920","8","False","False","692","235","001","235-001-920","False","False","False"
"2757.1","M-234","Lower Indus","Mohenjo-daro","DKC","-","-","Steatite","square","SEAL:S","1","R/L","2L","13","+842-535-099-004/740-482-060-692-520-220-235-001-920+","842-535-099-004-740-482-060-692-520-220-235-001-920","8","False","False","692","235","001","235-001-920","False","False","False"
