scope,object,id,site,region,type,shape,has_740,text
local_090,H-188,1221.1,Harappa,Inter-Riverine,TAB:B,rectangular,true,+400-090-740-100-415+
local_090,H-2190,838.1,Harappa,Inter-Riverine,TAB:I,heart,true,+090-740-327+
local_090,H-2144,873.2,Harappa,Inter-Riverine,TAB:I,NA,false,+090-000[
local_090,H-1710,932.1,Harappa,Inter-Riverine,SEAL:R,rectangular,false,+090-326-700-920-125-001-055-920-140+
local_090,H-1720,940.1,Harappa,Inter-Riverine,TAG:L,NA,false,+033-413-893-405-090-405-326[
local_090,H-1719,942.1,Harappa,Inter-Riverine,TAG:L,NA,false,]405-090-405-326-920+
local_090,H-2013,1002.1,Harappa,Inter-Riverine,TAB:B,rectangular-round,true,+090-740-100-801-000+
local_090,H-45,1104.1,Harappa,Inter-Riverine,SEAL:S,square,true,+090-740-101-002-820+
local_090,H-68,1127.1,Harappa,Inter-Riverine,SEAL:S,square,true,+090-740-220-003-002-390-072+
local_090,H-1003,1157.1,Harappa,Inter-Riverine,POT:T:g,NA,false,]090-000-000[
local_090,H-160,1201.2,Harappa,Inter-Riverine,SEAL:R,plano-convex,false,+090-017+
local_090,H-345,1365.1,Harappa,Inter-Riverine,TAB:I,circular,true,+090-740-362+
local_090,4341.1,4341.1,Dholavira,Gujarat/Kutch,TAG,NA,false,]700-090[
local_090,L-189,2111.1,Lothal,Gujarat/Kutch,TAG,NA,true,+090-740-220-000[
local_090,H-440,1430.1,Harappa,Inter-Riverine,SEAL:S,square,true,+090-740-240-031+
local_090,H-461,1450.1,Harappa,Inter-Riverine,SEAL:S,square,true,+090-740-384-002-452-000+
local_090,H-502,1480.1,Harappa,Inter-Riverine,SEAL:S,square,true,+090-740-220-032+
local_090,M-265,2788.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-035-171-061+
local_090,H-722,1624.1,Harappa,Inter-Riverine,TAB:B,cylindrical,true,+400-090-740-000[
local_090,H-954,1834.1,Harappa,Inter-Riverine,TAB:I,rectangular,true,+090-740-235-240+
local_090,K-16,1891.1,Kalibangan,Inter-Riverine,SEAL:S,square,true,+090-740-240/060-820+
local_090,K-55,1918.1,Kalibangan,Inter-Riverine,SEAL,NA,true,+090-740-004-000[
local_090,K-89,1944.1,Kalibangan,Inter-Riverine,TAG:L,NA,true,+090-740-362-002-360-832+
local_090,K-121,1965.1,Kalibangan,Inter-Riverine,ROD,NA,true,+090-740-240-032-000+
local_090,L-4,1986.1,Lothal,Gujarat/Kutch,SEAL:S,square,true,+090-740-100-233-002-575-031+
local_090,L-31,2007.1,Lothal,Gujarat/Kutch,SEAL:S,square,true,+090-255-740-233-000[
local_090,L-41,2013.1,Lothal,Gujarat/Kutch,SEAL:S,square,true,+090-740-233-002-817+
local_090,L-78 ,2033.1,Lothal,Gujarat/Kutch,SEAL:R,cuboid-convex,true,+090-740-000-503+
local_090,L-127,5388.1,Lothal,Gujarat/Kutch,TAG:L,NA,true,+090-740-220-055-001-741-500-705+
local_090,L-217,2133.2,Lothal,Gujarat/Kutch,TAB:B,rectangular,true,+740-090-703+
local_090,M-1685,2197.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-101-908-545+
local_090,M-1674,2240.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-222-231-002-861-683+
local_090,M-1746,2283.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-100-415-240-002-817+
local_090,M-1770,2354.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+740-176-390-090-390+
local_090,M-2122,2369.1,Mohenjo-daro,Lower Indus,IMPL,NA,true,+832/006-740/090+
local_090,M-1416,3704.1,Mohenjo-daro,Lower Indus,TAB:B,rectangular,true,+090-740-240-235-590-645-104+
local_090,M-1918,2384.1,Mohenjo-daro,Lower Indus,SEAL:S,square,false,+390-090-000[
local_090,M-1921,2396.1,Mohenjo-daro,Lower Indus,SEAL,square,false,+400-750-090+
local_090,M-1883,2398.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-035-171-061-031-002-069+
local_090,M-15,2543.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-176-002-861+
local_090,M-24,2552.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-240-235-002-906-140+
local_090,M-26,2554.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-531-060-692+
local_090,M-53,2581.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-220-016-002-297-190-920-140+
local_090,M-68,2596.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+690-518/090-740-176-742-060-920+
local_090,M-100,2627.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-255-705-002-861+
local_090,M-104,2631.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-220-235-853+
local_090,M-136,2663.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-220-016-031-908-545+
local_090,M-184,2709.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-101-853+
local_090,M-191,2716.1,Mohenjo-daro,Lower Indus,SEAL:S,square,false,+090-125+
local_090,M-194,2719.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-900-005+
local_090,M-199,2724.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-100-415-240-002-861+
local_090,M-211,2735.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-100-220-002-031-165+
local_090,M-230,2754.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-176-233+
local_090,M-241,2764.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-032-840-741-572-683+
local_090,M-260,2783.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-220-014-002-820+
local_090,M-263,2786.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-400-350-031-545+
local_090,M-268,2791.1,Mohenjo-daro,Lower Indus,SEAL:S,square,false,+215-001-480-090-820+
local_090,M-275,2796.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-760-717-853+
local_090,M-288,2808.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+820/090-740-176-741-065-123+
local_090,M-295,2815.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+621/090-740/002-861+
local_090,M-297,2817.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-240-575-703-060+
local_090,M-304,2823.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-220-742-534-550-090+
local_090,M-360,2856.1,Mohenjo-daro,Lower Indus,SEAL:R,cuboid-convex,true,+090-740-717-770-235+
local_090,M-428,2922.1,Mohenjo-daro,Lower Indus,TAB:B,circular,true,+090-740-176-000-000+
local_090,M-484,2968.2,Mohenjo-daro,Lower Indus,TAB:B,elliptical,false,+000-455-066-942-090-000+
local_090,M-486,2969.3,Mohenjo-daro,Lower Indus,TAB:B,prism,true,+090-740-615+
local_090,M-492,2974.2,Mohenjo-daro,Lower Indus,TAB:B,prism,true,+090-740-585-803-240+
local_090,M-600,3062.2,Mohenjo-daro,Lower Indus,TAB:C,NA,false,]090-520-032-408+
local_090,M-644,3089.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+740-585-017-740-240-002-817-090-370+
local_090,M-648,3092.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-100-220-032-741-361+
local_090,M-669,3108.1,Mohenjo-daro,Lower Indus,SEAL:S,square,false,]090-368-000[
local_090,M-725,3149.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-220-003-741-252-530+
local_090,M-730,3154.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+740-384-090-351-741-033-272+
local_090,M-737,3161.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+706-000/090-740-220-000[
local_090,M-739,3163.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-100-415-002-031-350-550-692+
local_090,M-742,3166.1,Mohenjo-daro,Lower Indus,SEAL:S,square,false,+090-850-032-060-573+
local_090,M-744,3167.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-543-000[
local_090,M-835,3247.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-035-171-000-002-817+
local_090,M-853,3265.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-792-002-817+
local_090,M-865,3276.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-240-235-001-820+
local_090,M-896,3301.1,Mohenjo-daro,Lower Indus,SEAL:S,square,false,+151-031-090-032-001-505+
local_090,M-901,3306.1,Mohenjo-daro,Lower Indus,SEAL:S,square,false,+090-125-002-861+
local_090,M-902,3307.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+740-798-002-000-090+
local_090,M-944,3339.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-233-060-368-817+
local_090,M-947,3342.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+400-090-740-035-171-061+
local_090,M-1057,3431.1,Mohenjo-daro,Lower Indus,SEAL:S,square,false,+353-090-350-001-440-220-705-000[
local_090,M-1165,3525.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-920-140-060-692+
local_090,M-1186,3538.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+621/090-740-231-740-560-534+
local_090,M-1221,3557.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+090-740-100-320-001-300-632+
local_090,M-1224,3559.1,Mohenjo-daro,Lower Indus,SEAL:S,square,true,+400-090-740-032-840+
local_090,M-1288,3593.1,Mohenjo-daro,Lower Indus,SEAL:R,cuboid-convex,true,+090-740-900-100[
local_090,M-1342,3647.1,Mohenjo-daro,Lower Indus,SEAL:R,cuboid-convex,true,+740-680-090-585-017+
local_090,M-1429,3713.1,Mohenjo-daro,Lower Indus,TAB:B,prism,true,+090-740-792-740-220-003-803+
local_090,M-1629,3823.1,Mohenjo-daro,Lower Indus,BNGL,NA,false,+705-032-595-090-175+
local_090,Ns-5,3853.1,Nausharo,Lower Indus,SEAL:S,square,true,+090-740-220-016-002-820+
local_090,3888.1,3888.1,Unknown,Other,SEAL:CY,cylindrical,false,+090-055-000-132-032+
local_090,H-1021,3915.1,Harappa,Inter-Riverine,SEAL:S,square,true,+090-740-235-741-572-368+
local_090,H-1031,3919.1,Harappa,Inter-Riverine,SEAL:S,NA,false,]000-090-000[
local_090,M-2030,4020.2,Mohenjo-daro,Lower Indus,TAB:B,elliptical,false,+455-066-942-090+
local_090,M-2114,4046.1,Mohenjo-daro,Lower Indus,ROD,NA,false,+742-031-090[
local_090,H-1342,4084.1,Harappa,Inter-Riverine,TAB:I,prism,true,+090-740-220+
local_090,H-1366,4096.1,Harappa,Inter-Riverine,POT:T:g,NA,false,]140-000-999-405-090[
local_090,4172.1,4172.1,Dholavira,Gujarat/Kutch,SEAL:S,square,false,+090-160+
local_090,4233.1,4233.1,Dholavira,Gujarat/Kutch,SEAL:S,square,false,+423-003-031-005-130-090-000[
local_090,4239.1,4239.1,Dholavira,Gujarat/Kutch,SEAL:S,square,false,+090-095-741-374-132+
local_090,4250.1,4250.1,Dholavira,Gujarat/Kutch,SEAL:S,square,false,+520-090-803-564-741-798-892+
local_090,4253.1,4253.1,Dholavira,Gujarat/Kutch,SEAL:S,NA,false,]000-572-090+
local_090,4276.1,4276.1,Dholavira,Gujarat/Kutch,SEAL:R,rectangular,false,]705-090-705+
local_090,4331.1,4331.1,Dholavira,Gujarat/Kutch,TAG,rectangular,true,+090-740-055-000[
local_090,5216.1,5216.1,Gola Dhoro (Bagasra),Gujarat/Kutch,SEAL:S,square,true,+090-740-100-415-240-820-033+
local_090,5223.1,5223.1,Unknown,Other,SEAL:C,circular,false,+000-090-001-133-384-160+
local_090,5226.1,5226.1,Unknown,Other,SEAL:C,circular,false,+002/000-090-725-000+
local_090,Ns-65,5366.1,Nausharo,Lower Indus,POT:T:g,NA,true,+740-090-413-000+
local_090,Ns-66,5367.1,Nausharo,Lower Indus,POT:T:g,NA,true,+033-999-400-090-740-100-000-002-892-000-002+
external_circular_090,147.1,147.1,Failaka,Persian Gulf,SEAL:C,circular,false,+317-817-000-090+
external_circular_090,148.1,148.1,Failaka,Persian Gulf,SEAL:C,circular,false,]090-001-350-716+
external_circular_090,3863.1,3863.1,Qala'at al-Bahrain,Persian Gulf,SEAL:C,circular,false,+160-090-055-060-190+
external_circular_090,3881.1,3881.1,Susa,Iranian Plateau,SEAL:C,circular,false,+700-604-407-090-365-000+
external_circular_090,3899.1,3899.1,Ur,Mesopotamia,SEAL:C,circular,false,+000-000-004-090-350+
external_circular_090,5225.1,5225.1,Ur,Mesopotamia,SEAL:C,circular,false,]000-001-000-090-000[
external_circular_090,5231.1,5231.1,Ur,Mesopotamia,SEAL:C,NA,false,]405-090[
