"cisi","priority","type","site","h_series","side_count_from_signature","row_count","short_mark_rows","long_text_rows","sequence_signature","strict_h_roles_present","strict_h_role_count","unordered_h_roles_present","unordered_h_role_count","strict_h_template_class","unordered_h_template_class","strict_complete_h_inventory","unordered_complete_h_inventory","strict_role_15x_side","unordered_role_15x_side","interpretation_status"
"H-2234","P1_tab_i_three_side_short_series","TAB:I","Harappa","true","3","3","3","0","1:+861-003+|2:+700-034+|3:+156-003+","role_15x_003;role_700_03x;role_861_003","3","role_15x_003;role_700_03x;role_861_003","3","template_861_700_15x","template_861_700_15x","true","true","3","3","no_reading_admissible"
"H-2236","P1_tab_i_three_side_short_series","TAB:I","Harappa","true","3","3","3","0","1:+861-003+|2:+700-034+|3:+156-003+","role_15x_003;role_700_03x;role_861_003","3","role_15x_003;role_700_03x;role_861_003","3","template_861_700_15x","template_861_700_15x","true","true","3","3","no_reading_admissible"
"H-2239","P1_tab_i_three_side_short_series","TAB:I","Harappa","true","3","3","3","0","1:+861-003+|2:+700-034+|3:+156-003+","role_15x_003;role_700_03x;role_861_003","3","role_15x_003;role_700_03x;role_861_003","3","template_861_700_15x","template_861_700_15x","true","true","3","3","no_reading_admissible"
"H-2221","P1_tab_i_three_side_short_series","TAB:I","Harappa","true","3","3","3","0","1:+700-034+|2:+861-003+|3:+156-003+","role_15x_003;role_700_03x;role_861_003","3","role_15x_003;role_700_03x;role_861_003","3","template_700_861_15x","template_700_861_15x","true","true","3","3","no_reading_admissible"
"H-2226","P1_tab_i_three_side_short_series","TAB:I","Harappa","true","3","3","3","0","1:+700-034+|2:+861-003+|3:+156-003+","role_15x_003;role_700_03x;role_861_003","3","role_15x_003;role_700_03x;role_861_003","3","template_700_861_15x","template_700_861_15x","true","true","3","3","no_reading_admissible"
"H-2227","P1_tab_i_three_side_short_series","TAB:I","Harappa","true","3","3","3","0","1:+700-034+|2:+861-003+|3:+156-003+","role_15x_003;role_700_03x;role_861_003","3","role_15x_003;role_700_03x;role_861_003","3","template_700_861_15x","template_700_861_15x","true","true","3","3","no_reading_admissible"
"H-2228","P1_tab_i_three_side_short_series","TAB:I","Harappa","true","3","3","3","0","1:+700-034+|2:+861-003+|3:+156-003+","role_15x_003;role_700_03x;role_861_003","3","role_15x_003;role_700_03x;role_861_003","3","template_700_861_15x","template_700_861_15x","true","true","3","3","no_reading_admissible"
"H-2230","P1_tab_i_three_side_short_series","TAB:I","Harappa","true","3","3","3","0","1:+700-034+|2:+861-003+|3:+156-003+","role_15x_003;role_700_03x;role_861_003","3","role_15x_003;role_700_03x;role_861_003","3","template_700_861_15x","template_700_861_15x","true","true","3","3","no_reading_admissible"
"H-2233","P1_tab_i_three_side_short_series","TAB:I","Harappa","true","3","3","3","0","1:+700-034+|2:+861-003+|3:+156-003+","role_15x_003;role_700_03x;role_861_003","3","role_15x_003;role_700_03x;role_861_003","3","template_700_861_15x","template_700_861_15x","true","true","3","3","no_reading_admissible"
"H-2235","P1_tab_i_three_side_short_series","TAB:I","Harappa","true","3","3","3","0","1:+700-034+|2:+861-003+|3:+156-003+","role_15x_003;role_700_03x;role_861_003","3","role_15x_003;role_700_03x;role_861_003","3","template_700_861_15x","template_700_861_15x","true","true","3","3","no_reading_admissible"
"H-309","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-176+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-316","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-176+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-353","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-176+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-357","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-176+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-935","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-176+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-978","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-176+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1302","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-176+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1303","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-176+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1304","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-176+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1344","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-176+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1345","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-176+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1346","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-176+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1347","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-176+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-2237","P1_tab_i_three_side_short_series","TAB:I","Harappa","true","3","3","3","0","1:+700-034+|2:+861-003+|3:+154-003+","role_15x_003;role_700_03x;role_861_003","3","role_15x_003;role_700_03x;role_861_003","3","template_700_861_15x","template_700_861_15x","true","true","3","3","no_reading_admissible"
"H-2238","P1_tab_i_three_side_short_series","TAB:I","Harappa","true","3","3","3","0","1:+700-033+|2:+861-003+|3:+156-003+","role_15x_003;role_700_03x;role_861_003","3","role_15x_003;role_700_03x;role_861_003","3","template_700_861_15x","template_700_861_15x","true","true","3","3","no_reading_admissible"
"H-308","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-176+|2:+700-034+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-312","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-176+|2:+700-034+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-313","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-176+|2:+700-034+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-314","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-176+|2:+700-034+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-317","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-176+|2:+700-034+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-936","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-176+|2:+700-034+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1273","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-176+|2:+700-034+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-326","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+740-840-013+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-356","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+700-033+|2:+400-740-176+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-924","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+740-840-013+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-925","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+740-840-013+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-934","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+700-033+|2:+400-740-176+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-979","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+700-033+|2:+400-740-176+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1771","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-032+|2:+740-031-001-140+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1772","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-032+|2:+740-031-001-140+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1773","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-032+|2:+740-031-001-140+","","0","","0","","","false","false","","","no_reading_admissible"
"H-311","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-178+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-315","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-176+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-697","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+740-904-240-002-817+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-733","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+740-390-590-240+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-734","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+740-390-590-240+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-792","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-154-896+|2:+033-700+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-793","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-154-896+|2:+033-700+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-821","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-033+|2:+740-642-240-001-692+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-822","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-033+|2:+740-642-240-001-692+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-849","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-740-892-617+|2:+032-700+","","0","","0","","","false","false","","","no_reading_admissible"
"H-850","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-740-892-617+|2:+032-700+","","0","","0","","","false","false","","","no_reading_admissible"
"H-894","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-636-240+|2:+700-125+","","0","","0","","","false","false","","","no_reading_admissible"
"H-943","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-158-592+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-944","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-158-592+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-959","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-178+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-962","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-176+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-965","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+740-690-636-240+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-966","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+740-690-636-240+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1100","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+740-904-240-002-817+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1178","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-636-240+|2:+700-125+","","0","","0","","","false","false","","","no_reading_admissible"
"H-1868","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-034+|2:+151-740-222+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1869","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-034+|2:+151-740-222+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1876","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+034-700+|2:+400-775-516+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-1877","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+034-700+|2:+400-775-516+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-2140","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+700-034+|2:+565-740-176-231+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-2141","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+700-034+|2:+565-740-176-231+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-206","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+740-642-240-204-705-621+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-209","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-921-690-435-255-055+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-211","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-740-898-617+|2:+033-700+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-212","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-156-118+|2:+032-700+","","0","","0","","","false","false","","","no_reading_admissible"
"H-213","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-520-400-352+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-214","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-520-400-353+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-216","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+740-337-484+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-217","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+740-337-484+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-218","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+740-336-176+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-229","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-740-892-617+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-231","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+520-220-240-002-820+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-232","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-740-177-519+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-233","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-740-176+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-237","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+740-642-240-060-692+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-245","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-807-740-219+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-248","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-740-920-320-233-240-798+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-251","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-740-100-240+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-296","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-575-017-920+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-297","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-151-336-630-706+|2:+700-034+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-298","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-636-240+|2:+700-126+","","0","","0","","","false","false","","","no_reading_admissible"
"H-303","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-032-027+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-306","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+740-032-840+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-321","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+740-690-630-240+|2:+032-700+","","0","","0","","","false","false","","","no_reading_admissible"
"H-322","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-032-028+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-323","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+740-100-240+|2:+033-700+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-324","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-156-384-031+|2:+700-034+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-341","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-336-176+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-343","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+740-861-877+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-345","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+090-740-362+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-350","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+740-690-642-240+|2:+700-034+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-351","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-032-060-013+|2:+700-034+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-355","P1_mixed_short_long_core","TAB:I","Harappa","false","3","3","2","1","1:+400-740-176+|2:+700-033+|3:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-358","P1_mixed_short_long_core","TAB:I","Harappa","false","3","3","1","1","1:+400-156-435-255+|2:+034-700+|3:+740-000+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-362","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+740-760-797+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-743","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-745+|2:+740-752-482-240+","","0","","0","","","false","false","","","no_reading_admissible"
"H-767","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-740-220-415-798+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-776","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+740-803-741-031-032-716+|2:+033-700+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-780","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+740-400-142-061+|2:+700-034+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-781","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+033-700+|2:+740-904-240+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-789","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-520-220-016+|2:+033-700+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-790","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-740-384-033+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-794","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-232-235+|2:+032-700+","","0","","0","","","false","false","","","no_reading_admissible"
"H-800","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+740-337-692-490+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-814","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-820-100-415+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-816","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-740-390-590+|2:+033-700+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-817","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-740-336-018+|2:+032-700+","","0","","0","","","false","false","","","no_reading_admissible"
"H-818","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+740-336-018+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-823","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-034+|2:+740-636-240-060-692+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-834","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-740-690-436-255+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-838","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+740-615-495-002-817+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-846","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-740-100-031-705+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-847","P1_mixed_short_long_core","TAB:B","Harappa","false","3","3","1","1","1:+000-690-000+|2:+700-033+|3:+740-100-415+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-852","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+700-032+|2:+740-760-268-233-220+","","0","","0","","","false","false","","","no_reading_admissible"
"H-853","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+740-177-231+|2:+034-700+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-854","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+400-740-335-003+|2:+700-032+","","0","","0","","","false","false","","","no_reading_admissible"
"H-857","P1_mixed_short_long_core","TAB:B","Harappa","false","2","2","1","1","1:+740-390-590-235+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-892","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-336-176+|2:+034-700+","","0","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-893","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-337+|2:+700-034+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-900","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-817-491+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
"H-916","P1_mixed_short_long_core","TAB:I","Harappa","false","2","2","1","1","1:+400-740-032-059+|2:+700-033+","role_700_03x","1","role_700_03x","1","","","false","false","","","no_reading_admissible"
