"id","cisi","site","type","material","shape","period","phase","area_section","condition","complete","dir","class","text_length","signs","text","third_slot","x_position_1based","x_position_behavior","exact_three","tail_token_count","tail_tokens","tail_first","tail_last","tail_pattern_class","tail_contains_unknown_000","tail_contains_220_repeat","tail_contains_002","tail_contains_700","tail_contains_060_920","tail_contains_820_or_861","object_row_count","companion_side_row_count","companion_ids","companion_texts","companion_formula_classes","companion_has_one_sign_110","companion_has_700_034_or_034_700","companion_has_700_033_or_033_700","companion_has_700_032","crosswalk_520_mayig","crosswalk_220_mayig","crosswalk_x_mayig","crosswalk_position_coverage_count","crosswalk_evidence_status","source_visibility_hint","source_hint_reports","source_hint_paths"
"1820.1","H-940","Harappa","TAB:I","Steatite","rectangular","-","Stratum V","FGranery","Fair","Y","R/L","MT","3","3","+520-220-415+","415","3","terminal_closed","true","0","","","","no_tail_closed_exact_three","false","false","false","false","false","false","2","1","1820.2","+110+","one_sign_110","true","false","false","false","","","","0","","source_visible_exact_side;source_grade_exact_side;source_local220_candidate","data/open_prototype/reports/lipi_034_m1206_allograph_decision_gate_evidence.csv;data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv;data/open_prototype/reports/parpola_sign60_local220_middle_crop_manifest.csv;data/open_prototype/reports/parpola_sign60_local220_strict_fish_family_manifest.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T008.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T015.png;tmp/parpola_sign60_local220_middle_probe/neutral_packet/N007.png;tmp/parpola_sign60_local220_strict_probe/neutral_packet/S011.png"
"1821.2","H-941","Harappa","TAB:I","Steatite","rectangular","-","Stratum V","FGranery","Poor","Y","R/L","MT","3","3","+520-220-415+","415","3","terminal_closed","true","0","","","","no_tail_closed_exact_three","false","false","false","false","false","false","2","1","1821.1","+590-032-645-003+","longer_other","false","false","false","false","","","","0","","source_visible_but_side_mapping_unresolved;not_exact_side_control","data/open_prototype/reports/lipi_034_m1206_allograph_decision_gate_evidence.csv;data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T010.png"
"1822.1","H-942","Harappa","TAB:I","Steatite","rectangular","-","Stratum IV","AB-","Fair","Y","L/R","MT","3","3","+520-220-016+","016","3","terminal_closed","true","0","","","","no_tail_closed_exact_three","false","false","false","false","false","false","2","1","1822.2","+033-700+","033_700","false","false","true","false","","","","0","","crop_manifest_locked;local_stress_matrix_defined;object_level_side_inference_only;prior_work_control_set_preserved;source_normalization_pending;source_visible_full_signband_control;terminal_evidence_rejected_for_now;source_visible_side_mapping_caution;data_route_present_but_blurry;label_confirmation_only;source_visible_companion_side;not_primary_evidence;source_visible_singleton_016_control_target_side_mapping_caution;weak_source_local220_candidate","data/open_prototype/reports/h942_h2240_h2241_source_normalization_gate.csv;data/open_prototype/reports/lipi_034_m1206_allograph_decision_gate_evidence.csv;data/open_prototype/reports/lipi_034_m1206_k150_h942_singleton_controls_source_gate_sources.csv;data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv;data/open_prototype/reports/parpola_sign60_local220_middle_crop_manifest.csv;data/open_prototype/reports/parpola_sign60_local220_strict_fish_family_manifest.csv","tmp/m1206_singleton_controls/derived/h942/*.png;tmp/lipi_current_inscriptions_20260526.csv;visual/sign-count inference only;tmp/parpola_2019_bone_rods.txt lines 102-106;combined prior-work/local/source-visibility state;CISI Pakistan IA leaf n374 / printed p. 340; stored H-942 crops;prior source-normalized component packet plus current visual check;tmp/cisi_pakistan_pages/data_h786_h941/page-479.png;tmp/cisi_xml/Corpus of Indus Seals and Inscriptions. Collections in Pakistan_djvu.txt;no_external_url_stored;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_source_normalized_component_packet\derived\H942_A_left_component_context_from_signband.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_source_normalized_component_packet\derived\H942_A_middle_component_context_from_signband.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_source_normalized_component_packet\derived\H942_A_right_component_candidate_from_signband.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_singleton_controls\derived\h942\H942_A_signband_from_cisi_pakistan_n374.png;tmp/parpola_sign60_local220_middle_probe/neutral_packet/N008.png;tmp/parpola_sign60_local220_strict_probe/neutral_packet/S012.png"
"5277.1","K-150","Kalibangan","SEAL:S","Steatite","square","2","-","KLB-1-","Fine","Y","R/L","MT","3","3","+520-220-006+","006","3","terminal_closed","true","0","","","","no_tail_closed_exact_three","false","false","false","false","false","false","1","0","","","","false","false","false","false","","","","0","","secondary_catalogue_lead_only_not_source_grade;local_row_only;negative_public_route_result;not_in_checked_cisi1_range;secondary_catalogue_lead_only","data/open_prototype/reports/lipi_034_m1206_allograph_decision_gate_evidence.csv;data/open_prototype/reports/lipi_034_m1206_k150_h942_singleton_controls_source_gate_sources.csv","data/open_prototype/lipi/metadata_filtered.csv;not_applicable;tmp/cisi_xml/Corpus of Indus Seals and Inscriptions. Collections in India_djvu.txt;tmp/m1206_bhaskar/S1-IndusZoomorphicIconCatalogue.txt"
"2052.1","L-98","Lothal","SEAL:R","Steatite","rectangular","Layer 5","II","SRG 3BX 2","Good","Y","R/L","MT","4","4","+520-220-415-519+","415","3","medial_with_closed_tail","false","1","519","519","519","tail_1_closed","false","false","false","false","false","false","1","0","","","","false","false","false","false","","","","0","","","",""
"3413.1","M-1031","Mohenjo-daro","SEAL:S","-","square","-","-","SD-","Poor","?","R/L","UC","4+?","4","+520-220-415-817[","415","3","medial_with_damaged_or_open_tail","false","1","817","817","817","tail_1_damaged_or_open","false","false","false","false","false","false","1","0","","","","false","false","false","false","","","","0","","","",""
"3421.1","M-1044","Mohenjo-daro","SEAL:S","Steatite","square","-","-","HRB","Poor","Y","R/L","SP","5","5","+520-220-032-002-861+","032","3","medial_with_closed_tail","false","2","002-861","002","861","tail_2_closed","false","false","true","false","false","true","1","0","","","","false","false","false","false","","","","0","","","",""
"3464.1","M-1090","Mohenjo-daro","SEAL:S","Steatite","square","Early","I","DKG","Poor","N","R/L","??","6","5","+520-220-235-000-130-741+","235","3","medial_with_closed_tail","false","3","000-130-741","000","741","tail_3plus_closed","true","false","false","false","false","false","1","0","","","","false","false","false","false","","","","0","","","",""
"3509.1","M-1148","Mohenjo-daro","SEAL:S","Steatite","square","Intermediate","III","DKG. (S)","Good","Y","R/L","SP","4","4","+520-220-002-861+","002","3","medial_with_closed_tail","false","1","861","861","861","tail_1_closed","false","false","false","false","false","true","1","0","","","","false","false","false","false","","","","0","","","",""
"3556.1","M-1206","Mohenjo-daro","SEAL:S","Steatite","square","Late","III","DKG. (S)","Good","Y","R/L","MT","3","3","+520-220-034+","034","3","terminal_closed","true","0","","","","no_tail_closed_exact_three","false","false","false","false","false","false","2","1","3556.2","+740-690-435-255-002-861+","longer_other","false","false","false","false","","","","0","","source_visible;source_grade_target;source_visible_composite_label_warning;source_crop_visible;source_data_locator_visible;source_visible_all_sides","data/open_prototype/reports/lipi_034_m1206_allograph_decision_gate_evidence.csv;data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv;data/open_prototype/reports/lipi_034_m1206_terminal_triad_visual_inputs.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T002.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T003.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T011.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T012.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T001.png;tmp/m1206_terminal_triad_source_recheck/derived/m1206_A_signband_v2.png;tmp/m1206_terminal_triad_source_recheck/derived/m1206_AE_signband_v2.png;tmp/m1206_terminal_triad_source_recheck/derived/m1206_e1_edge_row_v2.png;tmp/m1206_terminal_triad_source_recheck/derived/m1206_data_rows_xmlcoords.png;tmp/m1206_terminal_triad_source_recheck/cisi_pakistan_n181_w2000.jpg"
"2681.1","M-154","Mohenjo-daro","SEAL:S","Steatite","square","Intermediate","I","DKG. (S)","Good","Y","R/L","2L","7","7","+520-220-621-415-002-257-898+","621","3","medial_with_closed_tail","false","4","415-002-257-898","415","898","tail_3plus_closed","false","false","true","false","false","false","1","0","","","","false","false","false","false","P217","P050","P092","3","provisional_position_alignment_only","","",""
"2689.1","M-163","Mohenjo-daro","SEAL:S","Steatite","square","-","-","HRB","Poor","Y","R/L","SP","5","5","+520-220-415-060-820+","415","3","medial_with_closed_tail","false","2","060-820","060","820","tail_2_closed","false","false","false","false","false","true","1","0","","","","false","false","false","false","P217","P050","P092","3","provisional_position_alignment_only","","",""
"2516.1","M-1672","Mohenjo-daro","SEAL:S","Steatite","square","-","-","VSA","Good","Y","R/L","SP","6","6","+520-220-003-741-060-920+","003","3","medial_with_closed_tail","false","3","741-060-920","741","920","tail_3plus_closed","false","false","false","false","true","false","1","0","","","","false","false","false","false","","","","0","","","",""
"2485.1","M-1687","Mohenjo-daro","SEAL:S","Steatite","square","-","-","HRA","Fair","Y","R/L","IT","4","4","+520-220-368-817+","368","3","medial_with_closed_tail","false","1","817","817","817","tail_1_closed","false","false","false","false","false","false","1","0","","","","false","false","false","false","","","","0","","","",""
"2506.1","M-1716","Mohenjo-daro","SEAL:S","Steatite","square","-","-","VS-","Good","Y","R/L","SP","6","6","+520-220-240-803-002-820+","240","3","medial_with_closed_tail","false","3","803-002-820","803","820","tail_3plus_closed","false","false","true","false","false","true","1","0","","","","false","false","false","false","","","","0","","","",""
"2513.1","M-1776","Mohenjo-daro","SEAL:S","Steatite","square","-","-","VSA","Poor","Y","R/L","SP","5","5","+520-220-803-741-262+","803","3","medial_with_closed_tail","false","2","741-262","741","262","tail_2_closed","false","false","false","false","false","false","1","0","","","","false","false","false","false","","","","0","","","",""
"2420.1","M-1814","Mohenjo-daro","SEAL:S","Steatite","square","-","-","DKE","Poor","Y","R/L","MT","4","4","+520-220-415-240+","415","3","medial_with_closed_tail","false","1","240","240","240","tail_1_closed","false","false","false","false","false","false","1","0","","","","false","false","false","false","","","","0","","","",""
"3995.1","M-1843","Mohenjo-daro","SEAL:S","-","square","-","-","DK-","Fair","Y","R/L","LP","7","7","+520-220-001-820-220-063-315+","001","3","medial_with_closed_tail","false","4","820-220-063-315","820","315","tail_3plus_closed","false","true","false","false","false","true","1","0","","","","false","false","false","false","","","","0","","","",""
"2510.1","M-1884","Mohenjo-daro","SEAL:S","Steatite","square","-","-","DKA","Poor","N","R/L","??","6","5","+520-220-016-002-416-000+","016","3","medial_with_closed_tail","false","3","002-416-000","002","000","tail_3plus_closed","true","false","true","false","false","false","1","0","","","","false","false","false","false","","","","0","","","",""
"2441.1","M-1912","Mohenjo-daro","SEAL:S","Steatite","square","-","-","HRA","Fair","Y","R/L","MT","3","3","+520-220-003+","003","3","terminal_closed","true","0","","","","no_tail_closed_exact_three","false","false","false","false","false","false","1","0","","","","false","false","false","false","","","","0","","secondary_visual_lead_only_not_source_grade;secondary_visual_only","data/open_prototype/reports/lipi_034_m1206_allograph_decision_gate_evidence.csv;data/open_prototype/reports/lipi_034_m1206_terminal_triad_visual_inputs.csv","tmp/m1206_bhaskar/bulletin_page15-15.png"
"2800.1","M-279","Mohenjo-daro","SEAL:S","Steatite","square","-","-","DK-","Poor","N","R/L","??","6","5","+520-220-415-002-700-000+","415","3","medial_with_closed_tail","false","3","002-700-000","002","000","tail_3plus_closed","true","false","true","true","false","false","1","0","","","","false","false","false","false","","","","0","","","",""
"2827.1","M-308","Mohenjo-daro","SEAL:S","Steatite","square","Late","II","DKG. (N)","Good","Y","R/L","SP","5","5","+520-220-002-727-317+","002","3","medial_with_closed_tail","false","2","727-317","727","317","tail_2_closed","false","false","false","false","false","false","1","0","","","","false","false","false","false","","","","0","","","",""
"2841.1","M-323","Mohenjo-daro","SEAL:S","Steatite","square","-","-","DKE","Poor","Y","R/L","MT","4","4","+520-220-415-235+","415","3","medial_with_closed_tail","false","1","235","235","235","tail_1_closed","false","false","false","false","false","false","1","0","","","","false","false","false","false","","","","0","","","",""
"2565.1","M-37","Mohenjo-daro","SEAL:S","Steatite","square","-","-","DKB","Fine","Y","R/L","MT","3","3","+520-220-415+","415","3","terminal_closed","true","0","","","","no_tail_closed_exact_three","false","false","false","false","false","false","1","0","","","","false","false","false","false","P217","P050","P092","3","provisional_position_alignment_only","source_visible_same_site;source_grade_exact_side;source_crop_visible;source_visible;source_local220_candidate","data/open_prototype/reports/lipi_034_m1206_allograph_decision_gate_evidence.csv;data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv;data/open_prototype/reports/lipi_034_m1206_terminal_triad_visual_inputs.csv;data/open_prototype/reports/parpola_sign60_local220_middle_crop_manifest.csv;data/open_prototype/reports/parpola_sign60_local220_strict_fish_family_manifest.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T013.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_m37_terminal_recut_gate\derived\M37_A_terminal_minimal_core_from_signband.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_m37_terminal_recut_gate\derived\M37_A_terminal_strict_core_from_signband.png;tmp/m1206_terminal_triad_source_recheck/derived/m37_A_signband_v2.png;tmp/m1206_terminal_triad_source_recheck/cisi_india_n54_w2000.jpg;tmp/parpola_sign60_local220_middle_probe/neutral_packet/N005.png;tmp/parpola_sign60_local220_strict_probe/neutral_packet/S009.png"
"2891.1","M-395","Mohenjo-daro","SEAL:R","Steatite","cuboid-convex","Late","III","DKG. (N)","Good","Y","R/L","MT","4","4","+520-220-415-798+","415","3","medial_with_closed_tail","false","1","798","798","798","tail_1_closed","false","false","false","false","false","false","1","0","","","","false","false","false","false","","","","0","","","",""
"2593.1","M-65","Mohenjo-daro","SEAL:S","Steatite","square","Intermediate","II","DKG. (S)","Good","Y","R/L","MS","6","6","+520-220-031-001-706-575+","031","3","medial_with_closed_tail","false","3","001-706-575","001","575","tail_3plus_closed","false","false","false","false","false","false","1","0","","","","false","false","false","false","P217","P050","P144","3","provisional_position_alignment_only","","",""
"3094.1","M-650","Mohenjo-daro","SEAL:S","Steatite","square","-","-","HRB","Fair","Y","R/L","SP","6","6","+520-220-415-519-002-817+","415","3","medial_with_closed_tail","false","3","519-002-817","519","817","tail_3plus_closed","false","false","true","false","false","false","1","0","","","","false","false","false","false","","","","0","","","",""
"3140.1","M-715","Mohenjo-daro","SEAL:S","Steatite","square","Early","I","DKG. (S)","Poor","N","R/L","??","6+?","5","+520-220-016-741-556-000[","016","3","medial_with_damaged_or_open_tail","false","3","741-556-000","741","000","tail_3plus_damaged_or_open","true","false","false","false","false","false","1","0","","","","false","false","false","false","","","","0","","","",""
"2603.1","M-75","Mohenjo-daro","SEAL:S","Steatite","square","-","-","VSA","Good","Y","R/L","SP","5","5","+520-220-004-002-817+","004","3","medial_with_closed_tail","false","2","002-817","002","817","tail_2_closed","false","false","true","false","false","false","1","0","","","","false","false","false","false","P217","P050","P124","3","provisional_position_alignment_only","","",""
"2265.1","M-888","Mohenjo-daro","SEAL:S","Steatite","square","-","-","DKB","Fair","Y","R/L","SP","5","5","+520-220-240-741-440+","240","3","medial_with_closed_tail","false","2","741-440","741","440","tail_2_closed","false","false","false","false","false","false","1","0","","","","false","false","false","false","","","","0","","","",""
"3357.1","M-962","Mohenjo-daro","SEAL:S","-","square","-","-","DK-","Fair","Y","R/L","MT","4","4","+520-220-240-235+","240","3","medial_with_closed_tail","false","1","235","235","235","tail_1_closed","false","false","false","false","false","false","1","0","","","","false","false","false","false","","","","0","","","",""
"5360.1","Ns-59","Nausharo","SEAL:S","Steatite","square","3","-","--","Poor","Y","R/L","SP","5","5","+520-220-742-060-920+","742","3","medial_with_closed_tail","false","2","060-920","060","920","tail_2_closed","false","false","false","false","true","false","1","0","","","","false","false","false","false","","","","0","","","",""
