"acquisition_rank","primary_bucket","source_route","evidence_grade_now","cisi","packet_rank_min","packet_row_count","packet_rows","packet_labels","subtypes","short_texts","side_relations","context_classes","longer_texts","long_token_sets","sequence_family_keys","sequence_family_count_max_no_h","metadata_row_count","metadata_rows","excavation_ids","figure_refs","area_sections","room_grids","period_phase","depth","material","shape_cross_section","condition_preservation","dimensions_mm","local_rows_to_reconcile","public_lead_statuses","source_request","preserves_034_residue_if","kills_or_downgrades_if","source_check_status"
"11","A_034_no_longer_small_object","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1830","11","1","773.1","duplicate_family_risk;positive_034_residue_candidate","034","773.1:+700-034+","no_longer_text","all_short_or_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+700-034+|2:+156-176+","2","2","773.1;773.2","H96-3052","Figure 21.11","ETrench 11","--","Period 3B/C/B/C","- -","Faience","rectangular/plano-convex","Good/complete","11.2 x 6.5 x 5","773.1:+700-034+;773.2:+156-176+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1830. Metadata source hooks: H96-3052; Figure 21.11. Packet rows to verify: 773.1 +700-034+. All local rows to reconcile: 773.1 +700-034+; 773.2 +156-176+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until complete/no-longer status, source dimensions, and diagnostic sign visibility are validated.","No-longer status is missing imaging, dimensions are catalog shortcuts, or 034 is a damaged/allographic sibling.","source_acquisition_only_source_images_not_validated"
"12","A_034_no_longer_small_object","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1831","12","1","772.1","duplicate_family_risk;positive_034_residue_candidate","034","772.1:+700-034+","no_longer_text","all_short_or_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+700-034+|2:+156-176+","2","2","772.1;772.2","H96-3051","Figure 21.10","ETrench 11","--","Period 3B/C/B/C","- -","Faience","rectangular/plano-convex","Poor/slightly chipped","12.5 x 6 x 3.5 - 4.8","772.1:+700-034+;772.2:+156-176+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1831. Metadata source hooks: H96-3051; Figure 21.10. Packet rows to verify: 772.1 +700-034+. All local rows to reconcile: 772.1 +700-034+; 772.2 +156-176+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until complete/no-longer status, source dimensions, and diagnostic sign visibility are validated.","No-longer status is missing imaging, dimensions are catalog shortcuts, or 034 is a damaged/allographic sibling.","source_acquisition_only_source_images_not_validated"
"13","A_034_no_longer_small_object","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1907","13","1","743.2","duplicate_family_risk;positive_034_residue_candidate","034","743.2:+700-034+","no_longer_text","all_short_or_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+520-240+|2:+700-034+","2","2","743.1;743.2","H96-2768","Figure 21.07","ETrench 11","--","Period 3B/C/B/C","- -","Faience","heart/rectangular","Good/complete","11 x 8 x 2.5","743.1:+520-240+;743.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1907. Metadata source hooks: H96-2768; Figure 21.07. Packet rows to verify: 743.2 +700-034+. All local rows to reconcile: 743.1 +520-240+; 743.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until complete/no-longer status, source dimensions, and diagnostic sign visibility are validated.","No-longer status is missing imaging, dimensions are catalog shortcuts, or 034 is a damaged/allographic sibling.","source_acquisition_only_source_images_not_validated"
"14","A_034_no_longer_small_object","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-2155","28","1","812.1","positive_034_residue_candidate","034","812.1:+700-034+","no_longer_text","all_short_or_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+700-034+|2:+400-236+","1","2","812.1;812.2","H96-3173","Figure 19.12","ETrench 11","--","Period 3B/C/B/C","- -","Steatite","rectangular/rectangular","Fair/complete","9.2 x 7.1 x 2.7","812.1:+700-034+;812.2:+400-236+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-2155. Metadata source hooks: H96-3173; Figure 19.12. Packet rows to verify: 812.1 +700-034+. All local rows to reconcile: 812.1 +700-034+; 812.2 +400-236+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until complete/no-longer status, source dimensions, and diagnostic sign visibility are validated.","No-longer status is missing imaging, dimensions are catalog shortcuts, or 034 is a damaged/allographic sibling.","source_acquisition_only_source_images_not_validated"
"15","A_034_no_longer_small_object","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-788","36","1","1679.2","positive_034_residue_candidate","034","1679.2:+700-034+","no_longer_text","single_short_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+740-255-000+|2:+700-034+","1","2","1679.1;1679.2","558683","","FTrench I","-M11/12","Period 3B/C/Stratum VI","-15.5 ft","Faience","rectangular/rectangular","Poor/complete","12.7 x 7.6 x 0","1679.1:+740-255-000+;1679.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-788. Metadata source hooks: 558683. Packet rows to verify: 1679.2 +700-034+. All local rows to reconcile: 1679.1 +740-255-000+; 1679.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until complete/no-longer status, source dimensions, and diagnostic sign visibility are validated.","No-longer status is missing imaging, dimensions are catalog shortcuts, or 034 is a damaged/allographic sibling.","source_acquisition_only_source_images_not_validated"
"16","A_034_no_longer_small_object","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-953","38","1","1833.1","positive_034_residue_candidate","034","1833.1:+700-034+","no_longer_text","single_short_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+700-034+|2:+000-550-556+","1","2","1833.1;1833.2","13395","","--","--","-/-","- -","","rectangular/-","Poor/complete","11.5 x 7 x 0","1833.1:+700-034+;1833.2:+000-550-556+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-953. Metadata source hooks: 13395. Packet rows to verify: 1833.1 +700-034+. All local rows to reconcile: 1833.1 +700-034+; 1833.2 +000-550-556+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until complete/no-longer status, source dimensions, and diagnostic sign visibility are validated.","No-longer status is missing imaging, dimensions are catalog shortcuts, or 034 is a damaged/allographic sibling.","source_acquisition_only_source_images_not_validated"
"17","A_034_no_longer_small_object","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-2105","40","1","642.2","positive_034_residue_candidate","034","642.2:+700-034+","no_longer_text","single_short_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+137+|2:+700-034+","1","2","642.1;642.2","H95-2428","Figure 27.13","ETrench 10W/11","--","Period 3B/C/B/C","- -","Steatite","rectangular/rectangular","Poor/complete","11.5 x 7.5 x 3","642.1:+137+;642.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-2105. Metadata source hooks: H95-2428; Figure 27.13. Packet rows to verify: 642.2 +700-034+. All local rows to reconcile: 642.1 +137+; 642.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until complete/no-longer status, source dimensions, and diagnostic sign visibility are validated.","No-longer status is missing imaging, dimensions are catalog shortcuts, or 034 is a damaged/allographic sibling.","source_acquisition_only_source_images_not_validated"
"18","A_034_no_longer_small_object","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-285","79","1","1307.2","positive_034_residue_candidate","034","1307.2:+700-034+","no_longer_text","single_short_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+740-382-002[|2:+700-034+","1","2","1307.1;1307.2","J581406","","D-","-O31/17","-/Stratum III","-6.33 ft","Steatite","rectangular/-","Poor/fragment","11.4 x 11.4 x 0","1307.1:+740-382-002[;1307.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-285. Metadata source hooks: J581406. Packet rows to verify: 1307.2 +700-034+. All local rows to reconcile: 1307.1 +740-382-002[; 1307.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until complete/no-longer status, source dimensions, and diagnostic sign visibility are validated.","No-longer status is missing imaging, dimensions are catalog shortcuts, or 034 is a damaged/allographic sibling.","source_acquisition_only_source_images_not_validated"
"19","A_034_direction_reversal","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-945","19","1","1825.2","allograph_direction_risk;positive_034_residue_candidate","034","1825.2:+034-700+","no_longer_text","all_short_or_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+400-234+|2:+034-700+","1","2","1825.1;1825.2","2698503","","FTrench I","-M10/15","Period 3B/C/Stratum VI","-17.0 ft","Steatite","rectangular/rectangular","Fair/complete","14 x 6.4 x 0","1825.1:+400-234+;1825.2:+034-700+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-945. Metadata source hooks: 2698503. Packet rows to verify: 1825.2 +034-700+. All local rows to reconcile: 1825.1 +400-234+; 1825.2 +034-700+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","+034-700+ survives image-direction checking as a real ordered variant rather than normalized reading order.","+034-700+ is explained by impression/copy direction or catalog normalization.","source_acquisition_only_source_images_not_validated"
"20","A_034_direction_reversal","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-2154","20","1","815.1","allograph_direction_risk;positive_034_residue_candidate","034","815.1:+034-700+","no_longer_text","all_short_or_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+034-700+|2:+400-226+","1","2","815.1;815.2","H96-3176","Figure 19.03","ETrench 11","--","Period 3B/C/B/C","- -","Steatite","rectangular/rectangular","Fair/complete","14 x 6 x 3.4","815.1:+034-700+;815.2:+400-226+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-2154. Metadata source hooks: H96-3176; Figure 19.03. Packet rows to verify: 815.1 +034-700+. All local rows to reconcile: 815.1 +034-700+; 815.2 +400-226+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","+034-700+ survives image-direction checking as a real ordered variant rather than normalized reading order.","+034-700+ is explained by impression/copy direction or catalog normalization.","source_acquisition_only_source_images_not_validated"
"21","A_034_direction_reversal","use_text_lead_as_bibliographic_pointer_then_CISI_HARP_plate","T4_text_pointer_not_source_validated","H-933","21","1","1813.1","allograph_direction_risk;positive_034_residue_candidate","034","1813.1:+034-700+","short_before_all_longer","single_longer_text","+400-740-176+","176;400;740","1:+034-700+|2:+400-740-176+","1","2","1813.1;1813.2","G252","","--","--","-/-","- -","","rectangular/-","Fair/complete","14 x 8 x 0","1813.1:+034-700+;1813.2:+400-740-176+","text_only_or_bibliographic_lead","Request source-grade images/plates for all catalog rows of H-933. Metadata source hooks: G252. Packet rows to verify: 1813.1 +034-700+. All local rows to reconcile: 1813.1 +034-700+; 1813.2 +400-740-176+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","+034-700+ survives image-direction checking as a real ordered variant rather than normalized reading order.","+034-700+ is explained by impression/copy direction or catalog normalization.","source_acquisition_only_source_images_not_validated"
"22","A_034_direction_reversal","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1880","29","1","831.1","allograph_direction_risk;positive_034_residue_candidate","034","831.1:+034-700+","short_before_all_longer","single_longer_text","+520-033-033+","033;520","1:+034-700+|2:+520-033-033+","1","2","831.1;831.2","H97-3289","Figure 14.10","ETrench 11","--","Period 3B/B","- -","Faience","rectangular/rectangular","Good/complete","13.3 x 8 x 2.7","831.1:+034-700+;831.2:+520-033-033+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1880. Metadata source hooks: H97-3289; Figure 14.10. Packet rows to verify: 831.1 +034-700+. All local rows to reconcile: 831.1 +034-700+; 831.2 +520-033-033+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","+034-700+ survives image-direction checking as a real ordered variant rather than normalized reading order.","+034-700+ is explained by impression/copy direction or catalog normalization.","source_acquisition_only_source_images_not_validated"
"23","A_034_direction_reversal","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-2208","30","1","549.1","allograph_direction_risk;positive_034_residue_candidate","034","549.1:+034-700+","short_before_all_longer","single_longer_text","+400-740-032-027+","027;032;400;740","1:+034-700+|2:+400-740-032-027+","1","2","549.1;549.2","H94-2179","Figure 27.04","ETrench 10W/11","--","Period 3B/C/B/C","- -","Steatite","prism/triangular","Fair/complete","14.5 x 7.5 x 0","549.1:+034-700+;549.2:+400-740-032-027+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-2208. Metadata source hooks: H94-2179; Figure 27.04. Packet rows to verify: 549.1 +034-700+. All local rows to reconcile: 549.1 +034-700+; 549.2 +400-740-032-027+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","+034-700+ survives image-direction checking as a real ordered variant rather than normalized reading order.","+034-700+ is explained by impression/copy direction or catalog normalization.","source_acquisition_only_source_images_not_validated"
"24","A_034_direction_reversal","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1877","41","1","396.1","allograph_direction_risk;duplicate_family_risk;positive_034_residue_candidate","034","396.1:+034-700+","short_before_all_longer","single_longer_text","+400-775-516+","400;516;775","1:+034-700+|2:+400-775-516+","2","2","396.1;396.2","H2000-4428","Figure 41.06","ETrench 54","--","Period 3B/C/B/C","- -","Faience","rectangular/rectangular","Good/complete","14.5 x 8.2 x 1.8","396.1:+034-700+;396.2:+400-775-516+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1877. Metadata source hooks: H2000-4428; Figure 41.06. Packet rows to verify: 396.1 +034-700+. All local rows to reconcile: 396.1 +034-700+; 396.2 +400-775-516+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","+034-700+ survives image-direction checking as a real ordered variant rather than normalized reading order.","+034-700+ is explained by impression/copy direction or catalog normalization.","source_acquisition_only_source_images_not_validated"
"25","A_034_direction_reversal","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-358","67","1","1377.2","allograph_direction_risk;positive_034_residue_candidate","034","1377.2:+034-700+","short_after_all_longer","single_longer_text","+400-156-435-255+","156;255;400;435","1:+400-156-435-255+|2:+034-700+|3:+740-000+","1","3","1377.1;1377.2;1377.3","11390579","","FTrench VI","-O9/19","Period 3C-1/Stratum IV","-10.0 ft","Steatite","prism/triangular","Poor/slightly chipped","15.2 x 7.6 x 0","1377.1:+400-156-435-255+;1377.2:+034-700+;1377.3:+740-000+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-358. Metadata source hooks: 11390579. Packet rows to verify: 1377.2 +034-700+. All local rows to reconcile: 1377.1 +400-156-435-255+; 1377.2 +034-700+; 1377.3 +740-000+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","+034-700+ survives image-direction checking as a real ordered variant rather than normalized reading order.","+034-700+ is explained by impression/copy direction or catalog normalization.","source_acquisition_only_source_images_not_validated"
"26","A_034_direction_reversal","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-853","68","1","1739.2","allograph_direction_risk;positive_034_residue_candidate","034","1739.2:+034-700+","short_after_all_longer","single_longer_text","+740-177-231+","177;231;740","1:+740-177-231+|2:+034-700+","1","2","1739.1;1739.2","13556","","--","--","-/-","- -","","prism/triangular","Fair/complete","14 x 6 x 0","1739.1:+740-177-231+;1739.2:+034-700+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-853. Metadata source hooks: 13556. Packet rows to verify: 1739.2 +034-700+. All local rows to reconcile: 1739.1 +740-177-231+; 1739.2 +034-700+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","+034-700+ survives image-direction checking as a real ordered variant rather than normalized reading order.","+034-700+ is explained by impression/copy direction or catalog normalization.","source_acquisition_only_source_images_not_validated"
