rank,scope,unit_kind,unit,context_field,context_value,n_rows,unit_rows,label_rows,support,expected,precision,recall,lift,log2_lift,z,max_null_ge_observed_share,worst_null_model,non_site_max_null_ge_observed_share,non_site_worst_null_model,field_max_null_ge_observed_share,field_worst_null_model,example_cisis,example_texts
11,text_only,bigram,154-806,site_type_symbol,Harappa|SEAL:R|None,1798,12,56,7,0.373749,0.583333,0.125,18.729167,4.227215,11.045419,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,H-132;H-143;H-146;H-152|H-670|H-681|M-1986;H-154;H-158;H-160,+154-806-471-407-845-740-233-231-798+;+154-806-469-001-740-877-032+;+154-806-467-031+;+154-806-468+;+154-806-467-013-817+;+154-806-472-001-740-405-590+;+400-154-806-468+
12,text_only,unigram,407,material,Copper,1798,45,57,14,1.426585,0.311111,0.245614,9.813645,3.294789,10.831359,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,Hls-1|M-1452;M-2053;M-1535|M-1536|M-1540|M-1563|M-2050|M-2054|M-582|M-583|M-585|M-586|M-587|M-588|M-602|M-604;M-1456|M-1457|M-507|M-508;M-513|M-514|M-515;M-523|M-524;M-1491|M-1492|M-1493|M-1494|M-1547|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542|M-593;M-1555|M-1556|M-1557|M-1558|M-547|M-548|M-549,+740-407-590+;+407-032-520-095-585-017-220+;+740-900-850-407-061-845-806+;+407-845-220-415+;+407-585-233+;+407-071-032+;+407-321-407-845-033-705-235+;+407-032-520-095-585-017-231+
13,text_only,unigram,400,site_type_symbol,Harappa|TAB:B|None,1798,199,181,63,20.032814,0.316583,0.348066,3.14484,1.652987,10.73138,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,H-1142|H-761;H-1133|H-1896;H-1121|H-789;H-1273|H-1302|H-1303|H-1304|H-1344|H-1345|H-1346|H-1347|H-1827|H-1954|H-233|H-308|H-309|H-312|H-313|H-314|H-315|H-316|H-317|H-352|H-353|H-354|H-355|H-356|H-357|H-932|H-933|H-934|H-935|H-936|H-937|H-960|H-962|H-978|H-979|H-987|M-2097;H-1102;H-874;H-1321;H-1894|H-1929,+400-154-440-220+;+400-892-831+;+400-520-220-016+;+400-740-176+;+400-740-382+;+400-740-455+;+400-226-032+;+400-740-061-140+
14,text_only,unigram,400,type_symbol,TAB:B|None,1798,199,200,67,22.135706,0.336683,0.335,3.026784,1.597786,10.722854,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,0.32,shuffle_units_within_site_type,H-1142|H-761;H-1133|H-1896;H-1121|H-789;H-1273|H-1302|H-1303|H-1304|H-1344|H-1345|H-1346|H-1347|H-1827|H-1954|H-233|H-308|H-309|H-312|H-313|H-314|H-315|H-316|H-317|H-352|H-353|H-354|H-355|H-356|H-357|H-932|H-933|H-934|H-935|H-936|H-937|H-960|H-962|H-978|H-979|H-987|M-2097;H-1102;H-874;H-1321;H-1894|H-1929,+400-154-440-220+;+400-892-831+;+400-520-220-016+;+400-740-176+;+400-740-382+;+400-740-455+;+400-226-032+;+400-740-061-140+
15,text_only,first,400,material,Faience,1798,181,206,64,20.737486,0.353591,0.31068,3.086199,1.625831,10.643294,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,H-1142|H-761;H-1133|H-1896;H-1121|H-789;H-1273|H-1302|H-1303|H-1304|H-1344|H-1345|H-1346|H-1347|H-1827|H-1954|H-233|H-308|H-309|H-312|H-313|H-314|H-315|H-316|H-317|H-352|H-353|H-354|H-355|H-356|H-357|H-932|H-933|H-934|H-935|H-936|H-937|H-960|H-962|H-978|H-979|H-987|M-2097;H-1102;H-1894|H-1929;H-1853;H-1858|H-1859|H-1956|H-2104|H-215|H-976,+400-154-440-220+;+400-892-831+;+400-520-220-016+;+400-740-176+;+400-740-382+;+400-740-061-140+;+400-617-829+;+400-137+
16,text_only,bigram,154-806,site_type,Harappa|SEAL:R,1798,12,60,7,0.400445,0.583333,0.116667,17.480556,4.127679,10.64012,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,H-132;H-143;H-146;H-152|H-670|H-681|M-1986;H-154;H-158;H-160,+154-806-471-407-845-740-233-231-798+;+154-806-469-001-740-877-032+;+154-806-467-031+;+154-806-468+;+154-806-467-013-817+;+154-806-472-001-740-405-590+;+400-154-806-468+
17,text_only,unigram,400,material_type,Faience|TAB:B,1798,199,192,64,21.250278,0.321608,0.333333,3.011725,1.59059,10.402144,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,H-1142|H-761;H-1133|H-1896;H-1121|H-789;H-1273|H-1302|H-1303|H-1304|H-1344|H-1345|H-1346|H-1347|H-1827|H-1954|H-233|H-308|H-309|H-312|H-313|H-314|H-315|H-316|H-317|H-352|H-353|H-354|H-355|H-356|H-357|H-932|H-933|H-934|H-935|H-936|H-937|H-960|H-962|H-978|H-979|H-987|M-2097;H-1102;H-1894|H-1929;H-1853;H-1858|H-1859|H-1956|H-2104|H-215|H-976,+400-154-440-220+;+400-892-831+;+400-520-220-016+;+400-740-176+;+400-740-382+;+400-740-061-140+;+400-617-829+;+400-137+
18,text_only,unigram,002,type,SEAL:S,1798,455,1018,349,257.614016,0.767033,0.342829,1.35474,0.438016,9.999503,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,Blk-1;Blk-2;B-1;B-15|B-5|B-7|H-292|H-293|H-887|K-27;B-17;C-66|H-407|M-32;C-60;C-74,+226-003-002-297-350-125-413+;+390-717-061-002-368-634+;+090-740-220-002-368-550-821+;+002-817+;+236-002-308-072+;+390-003-002-817+;+740-176-032-002-861+;+125-002-861+
19,text_only,unigram,400,material,Faience,1798,199,206,65,22.799778,0.326633,0.315534,2.850905,1.51142,9.956864,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,H-1142|H-761;H-1133|H-1896;H-1121|H-789;H-1273|H-1302|H-1303|H-1304|H-1344|H-1345|H-1346|H-1347|H-1827|H-1954|H-233|H-308|H-309|H-312|H-313|H-314|H-315|H-316|H-317|H-352|H-353|H-354|H-355|H-356|H-357|H-932|H-933|H-934|H-935|H-936|H-937|H-960|H-962|H-978|H-979|H-987|M-2097;H-1102;H-1894|H-1929;H-1853;H-1858|H-1859|H-1956|H-2104|H-215|H-976,+400-154-440-220+;+400-892-831+;+400-520-220-016+;+400-740-176+;+400-740-382+;+400-740-061-140+;+400-617-829+;+400-137+
20,text_only,bigram,400-740,site_type,Harappa|TAB:B,1798,83,261,43,12.048387,0.518072,0.164751,3.568942,1.835497,9.872308,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,H-1273|H-1302|H-1303|H-1304|H-1344|H-1345|H-1346|H-1347|H-1827|H-1954|H-233|H-308|H-309|H-312|H-313|H-314|H-315|H-316|H-317|H-352|H-353|H-354|H-355|H-356|H-357|H-932|H-933|H-934|H-935|H-936|H-937|H-960|H-962|H-978|H-979|H-987|M-2097;H-1158|H-287|H-879|H-880|H-881|H-882;H-1102;H-874;H-1894|H-1929;H-1895|H-251;H-1897;H-1997,+400-740-176+;+400-740-760-605+;+400-740-382+;+400-740-455+;+400-740-061-140+;+400-740-100-240+;+400-740-904-240+;+400-740-176-235+
21,text_only,bigram,400-740,type,TAB:B,1798,83,312,47,14.40267,0.566265,0.150641,3.263284,1.706325,9.671369,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,H-1273|H-1302|H-1303|H-1304|H-1344|H-1345|H-1346|H-1347|H-1827|H-1954|H-233|H-308|H-309|H-312|H-313|H-314|H-315|H-316|H-317|H-352|H-353|H-354|H-355|H-356|H-357|H-932|H-933|H-934|H-935|H-936|H-937|H-960|H-962|H-978|H-979|H-987|M-2097;H-1158|H-287|H-879|H-880|H-881|H-882;H-1102;H-874;H-1894|H-1929;H-1895|H-251;H-1897;H-1997,+400-740-176+;+400-740-760-605+;+400-740-382+;+400-740-455+;+400-740-061-140+;+400-740-100-240+;+400-740-904-240+;+400-740-176-235+
22,text_only,first,407,site_type,Mohenjo-daro|TAB:C,1798,33,52,10,0.954394,0.30303,0.192308,10.477855,3.389272,9.480872,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,M-2053;M-1456|M-1457|M-507|M-508;M-513|M-514|M-515;M-523|M-524;M-1491|M-1492|M-1493|M-1494|M-1547|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542|M-593;M-1555|M-1556|M-1557|M-1558|M-547|M-548|M-549;M-1515|M-1516|M-1517|M-567|M-568|M-569;M-1458,+407-032-520-095-585-017-220+;+407-845-220-415+;+407-585-233+;+407-071-032+;+407-321-407-845-033-705-235+;+407-032-520-095-585-017-231+;+407-061-845-240-798+;+407-004-001-617-142+
23,text_only,first,407,type,TAB:C,1798,33,53,10,0.972747,0.30303,0.188679,10.28016,3.361791,9.374634,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-2053;M-1456|M-1457|M-507|M-508;M-513|M-514|M-515;M-523|M-524;M-1491|M-1492|M-1493|M-1494|M-1547|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542|M-593;M-1555|M-1556|M-1557|M-1558|M-547|M-548|M-549;M-1515|M-1516|M-1517|M-567|M-568|M-569;M-1458,+407-032-520-095-585-017-220+;+407-845-220-415+;+407-585-233+;+407-071-032+;+407-321-407-845-033-705-235+;+407-032-520-095-585-017-231+;+407-061-845-240-798+;+407-004-001-617-142+
24,text_only,first,407,material_type,Copper|TAB:C,1798,33,53,10,0.972747,0.30303,0.188679,10.28016,3.361791,9.374634,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-2053;M-1456|M-1457|M-507|M-508;M-513|M-514|M-515;M-523|M-524;M-1491|M-1492|M-1493|M-1494|M-1547|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542|M-593;M-1555|M-1556|M-1557|M-1558|M-547|M-548|M-549;M-1515|M-1516|M-1517|M-567|M-568|M-569;M-1458,+407-032-520-095-585-017-220+;+407-845-220-415+;+407-585-233+;+407-071-032+;+407-321-407-845-033-705-235+;+407-032-520-095-585-017-231+;+407-061-845-240-798+;+407-004-001-617-142+
25,text_only,bigram,617-142,site_type,Mohenjo-daro|TAB:C,1798,13,52,6,0.375973,0.461538,0.115385,15.95858,3.99626,9.338917,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,M-519|M-520;M-574;M-1528|M-1530|M-1531|M-1532|M-575|M-576;M-1458;M-1470;M-1529,+617-142-001-595-095-760-744+;+617-142-001-368-861+;+617-142-597-032-905+;+407-004-001-617-142+;+617-142-001-595-095-717-747+;+617-142-597-032-904+
26,text_only,unigram,095,material,Copper,1798,12,57,6,0.380423,0.5,0.105263,15.77193,3.979287,9.287508,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,C-40;M-2053;M-519|M-520;M-1555|M-1556|M-1557|M-1558|M-547|M-548|M-549;M-599;M-1470,+390-095-909-005-825-776-220-016+;+407-032-520-095-585-017-220+;+617-142-001-595-095-760-744+;+407-032-520-095-585-017-231+;+408-032-520-095-585-017-220+;+617-142-001-595-095-717-747+
27,text_only,bigram,617-142,type,TAB:C,1798,13,53,6,0.383204,0.461538,0.113208,15.657475,3.96878,9.241149,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-519|M-520;M-574;M-1528|M-1530|M-1531|M-1532|M-575|M-576;M-1458;M-1470;M-1529,+617-142-001-595-095-760-744+;+617-142-001-368-861+;+617-142-597-032-905+;+407-004-001-617-142+;+617-142-001-595-095-717-747+;+617-142-597-032-904+
28,text_only,bigram,617-142,material_type,Copper|TAB:C,1798,13,53,6,0.383204,0.461538,0.113208,15.657475,3.96878,9.241149,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-519|M-520;M-574;M-1528|M-1530|M-1531|M-1532|M-575|M-576;M-1458;M-1470;M-1529,+617-142-001-595-095-760-744+;+617-142-001-368-861+;+617-142-597-032-905+;+407-004-001-617-142+;+617-142-001-595-095-717-747+;+617-142-597-032-904+
29,text_only,first,400,cult,None,1798,181,867,146,87.278643,0.80663,0.168397,1.672803,0.742268,9.208335,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,0.09,shuffle_units_within_site_type,H-1142|H-761;H-1133|H-1896;H-1319|H-1320;H-1121|H-789;H-1287;H-1273|H-1302|H-1303|H-1304|H-1344|H-1345|H-1346|H-1347|H-1827|H-1954|H-233|H-308|H-309|H-312|H-313|H-314|H-315|H-316|H-317|H-352|H-353|H-354|H-355|H-356|H-357|H-932|H-933|H-934|H-935|H-936|H-937|H-960|H-962|H-978|H-979|H-987|M-2097;H-1158|H-287|H-879|H-880|H-881|H-882;H-1102,+400-154-440-220+;+400-892-831+;+400-678+;+400-520-220-016+;+400-156-140-032+;+400-740-176+;+400-740-760-605+;+400-740-382+
30,text_only,first,690,type_symbol,TAB:I|None,1798,9,140,8,0.700779,0.888889,0.057143,11.415873,3.512969,9.100339,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,0.96,shuffle_units_within_site_type,H-1140|H-1141|H-1325|H-2192|H-236|H-300;H-2108|H-304;H-2109;H-328;H-917|H-919;H-987;M-2040;M-1444|M-1445|M-501,+690-368-817+;+690-681+;+690-032-025+;+690-004+;+690-687+;+690-365-817+;+690-322+;+690-323+
31,text_only,unigram,407,site_type_symbol,Mohenjo-daro|TAB:C|None,1798,45,21,7,0.525584,0.155556,0.333333,13.318519,3.735362,9.095231,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,M-2053;M-1535|M-1536|M-1540|M-1563|M-2050|M-2054|M-582|M-583|M-585|M-586|M-587|M-588|M-602|M-604;M-513|M-514|M-515;M-1491|M-1492|M-1493|M-1494|M-1547|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542|M-593;M-1555|M-1556|M-1557|M-1558|M-547|M-548|M-549;M-603;M-2055,+407-032-520-095-585-017-220+;+740-900-850-407-061-845-806+;+407-585-233+;+407-321-407-845-033-705-235+;+407-032-520-095-585-017-231+;+740-900-850-407-845-806+;+002-407-125-590-831+
32,text_only,unigram,806,type,SEAL:R,1798,73,212,33,8.607341,0.452055,0.15566,3.833936,1.938826,9.0354,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,H-661;H-130;H-132;H-135;H-143;H-146;H-152|H-670|H-681|M-1986;H-154,+740-055-806+;+409-032-845-033-705-231-806-002-595-812-125-717+;+154-806-471-407-845-740-233-231-798+;+740-773-231-806-002-861+;+154-806-469-001-740-877-032+;+154-806-467-031+;+154-806-468+;+154-806-467-013-817+
33,text_only,first,407,material,Copper,1798,33,57,10,1.046162,0.30303,0.175439,9.558745,3.256821,8.976495,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-2053;M-1456|M-1457|M-507|M-508;M-513|M-514|M-515;M-523|M-524;M-1491|M-1492|M-1493|M-1494|M-1547|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542|M-593;M-1555|M-1556|M-1557|M-1558|M-547|M-548|M-549;M-1515|M-1516|M-1517|M-567|M-568|M-569;M-1458,+407-032-520-095-585-017-220+;+407-845-220-415+;+407-585-233+;+407-071-032+;+407-321-407-845-033-705-235+;+407-032-520-095-585-017-231+;+407-061-845-240-798+;+407-004-001-617-142+
34,text_only,unigram,806,type_symbol,SEAL:R|None,1798,73,204,32,8.282536,0.438356,0.156863,3.863551,1.949927,8.933399,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,H-661;H-130;H-132;H-135;H-143;H-146;H-152|H-670|H-681|M-1986;H-154,+740-055-806+;+409-032-845-033-705-231-806-002-595-812-125-717+;+154-806-471-407-845-740-233-231-798+;+740-773-231-806-002-861+;+154-806-469-001-740-877-032+;+154-806-467-031+;+154-806-468+;+154-806-467-013-817+
35,text_only,unigram,400,cult,None,1798,199,867,155,95.958287,0.778894,0.178777,1.615285,0.691789,8.87948,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,0.28,shuffle_units_within_site_type,H-1142|H-761;H-1133|H-1896;H-1319|H-1320;H-1121|H-789;H-1287;H-1273|H-1302|H-1303|H-1304|H-1344|H-1345|H-1346|H-1347|H-1827|H-1954|H-233|H-308|H-309|H-312|H-313|H-314|H-315|H-316|H-317|H-352|H-353|H-354|H-355|H-356|H-357|H-932|H-933|H-934|H-935|H-936|H-937|H-960|H-962|H-978|H-979|H-987|M-2097;H-1158|H-287|H-879|H-880|H-881|H-882;H-1102,+400-154-440-220+;+400-892-831+;+400-678+;+400-520-220-016+;+400-156-140-032+;+400-740-176+;+400-740-760-605+;+400-740-382+
36,text_only,bigram,617-142,material,Copper,1798,13,57,6,0.412125,0.461538,0.105263,14.558704,3.86381,8.875296,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-519|M-520;M-574;M-1528|M-1530|M-1531|M-1532|M-575|M-576;M-1458;M-1470;M-1529,+617-142-001-595-095-760-744+;+617-142-001-368-861+;+617-142-597-032-905+;+407-004-001-617-142+;+617-142-001-595-095-717-747+;+617-142-597-032-904+
37,text_only,unigram,407,type_symbol,TAB:C|None,1798,45,22,7,0.550612,0.155556,0.318182,12.713131,3.668248,8.854259,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-2053;M-1535|M-1536|M-1540|M-1563|M-2050|M-2054|M-582|M-583|M-585|M-586|M-587|M-588|M-602|M-604;M-513|M-514|M-515;M-1491|M-1492|M-1493|M-1494|M-1547|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542|M-593;M-1555|M-1556|M-1557|M-1558|M-547|M-548|M-549;M-603;M-2055,+407-032-520-095-585-017-220+;+740-900-850-407-061-845-806+;+407-585-233+;+407-321-407-845-033-705-235+;+407-032-520-095-585-017-231+;+740-900-850-407-845-806+;+002-407-125-590-831+
38,text_only,first,400,type,TAB:I,1798,181,173,50,17.415462,0.276243,0.289017,2.871012,1.521559,8.658273,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,H-1319|H-1320;H-1287;H-1273|H-1302|H-1303|H-1304|H-1344|H-1345|H-1346|H-1347|H-1827|H-1954|H-233|H-308|H-309|H-312|H-313|H-314|H-315|H-316|H-317|H-352|H-353|H-354|H-355|H-356|H-357|H-932|H-933|H-934|H-935|H-936|H-937|H-960|H-962|H-978|H-979|H-987|M-2097;H-1158|H-287|H-879|H-880|H-881|H-882;H-1331|H-1332|H-2033|H-2034|H-347;H-1192;H-1181|H-2062|H-2063|H-2066|H-299|H-358|H-761|H-896|H-897;H-1858|H-1859|H-1956|H-2104|H-215|H-976,+400-678+;+400-156-140-032+;+400-740-176+;+400-740-760-605+;+400-098+;+400-740-767-220-416+;+400-156-435-255+;+400-137+
