unit,context_class,id,cisi,site,type,symbol,material,shape,sides,class,direction,text_length,text,unit_index,prev1,prev2,next1,unit_terminal,source_visible_post_861_focus,source_visible_bare_control_for_lane,companion_rows
416,independent,2556.1,M-28,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,square,1,LP,R/L,8,+892-374-740-760-840-416-002-861+,5,840,760 840,002,false,false,false,
255 416,post_002_861,2618.1,M-91,Mohenjo-daro,SEAL:S,Bull1:S,Steatite,square,1,LP,R/L,9,+740-100-798-220-032-002-861-255-416+,7,861,002 861,<END>,true,true,false,
416,independent,2618.1,M-91,Mohenjo-daro,SEAL:S,Bull1:S,Steatite,square,1,LP,R/L,9,+740-100-798-220-032-002-861-255-416+,8,255,861 255,<END>,true,true,false,
416,independent,2641.1,M-114,Mohenjo-daro,SEAL:S,Bull1:S,Steatite,square,1,IT,R/L,6,+740-760-440-002-297-416+,5,297,002 297,<END>,true,false,false,
603,post_002_861,2763.1,M-240,Mohenjo-daro,SEAL:S,Gaur,Steatite,square,1,LP,R/L,7,+520-240-220-032-002-861-603+,6,861,002 861,<END>,true,true,false,
416,independent,2813.1,M-293,Mohenjo-daro,SEAL:S,Gavi,Steatite,square,1,IT,R/L,4,+151-416-741-849+,1,151,151,741,false,false,false,
698,post_002_861,2847.1,M-329,Mohenjo-daro,SEAL:S,None,Steatite,square,1,SS,R/L,3,+002-861-698+,2,861,002 861,<END>,true,false,false,
698,post_002_861,2848.1,M-330,Mohenjo-daro,SEAL:S,None,Steatite,square,2,SS,R/L,3,+002-861-698+,2,861,002 861,<END>,true,false,false,+156-176+
533 717,post_002_861,2872.1,M-376,Mohenjo-daro,SEAL:R,None,Steatite,cuboid-convex,1,IT,R/L,7,+740-100-176-002-861-533-717+,5,861,002 861,<END>,true,true,false,
533 717,post_002_861,2887.1,M-391,Mohenjo-daro,SEAL:R,None,-,cuboid-convex,1,LP,R/L,12,+405-845-686-740-793-003-233-805-002-861-533-717+,10,861,002 861,<END>,true,true,false,
603,post_002_861,3139.1,M-714,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,square,1,LP,R/L,11,+740-585-017-033-705-233-798-803-002-861-603+,10,861,002 861,<END>,true,true,false,
416,independent,3165.1,M-741,Mohenjo-daro,SEAL:S,Bull1:I,Steatite,square,1,SS,R/L,2,+151-416+,1,151,151,<END>,true,false,false,
416,independent,3333.1,M-938,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,square,1,SS,R/L,2,+740-416+,1,740,740,<END>,true,false,false,
416,independent,3364.1,M-971,Mohenjo-daro,SEAL:S,Bull1:J,Steatite,square,1,IT,R/L,5,+740-416-741-060-920+,1,740,740,741,false,false,false,
416,independent,3506.1,M-1139,Mohenjo-daro,SEAL:S,Rhin,Steatite,square,1,IT,R/L,5,+740-416-621-002-820+,1,740,740,621,false,false,false,
096,independent,3544.1,M-1193,Mohenjo-daro,SEAL:S,None,Steatite,square,1,SC,R/L,2,+143-096+,1,143,143,<END>,true,false,false,
416,independent,3558.1,M-1222,Mohenjo-daro,SEAL:S,Bull1,Steatite,square,1,SS,R/L,2,+151-416+,1,151,151,<END>,true,false,false,
416,independent,3574.1,M-1267,Mohenjo-daro,SEAL:R,None,Steatite,rectangular,1,IT,R/L,7,+416-001-740-720-175-002-861+,0,<START>,<START>,001,false,false,false,
603,post_002_861,3580.1,M-1273,Mohenjo-daro,SEAL:R,None,Steatite,rectangular,1,IT,R/L,5,+740-055-002-861-603+,4,861,002 861,<END>,true,true,false,
416,independent,3589.1,M-1284,Mohenjo-daro,SEAL:R,None,Steatite,rectangular,1,LP,R/L,8,+416-001-520-240-806-002-502-031+,0,<START>,<START>,001,false,false,false,
416,independent,3845.1,M-182,Mohenjo-daro,SEAL:S,Bull1:S,Steatite,square,1,SS,R/L,2,+740-416+,1,740,740,<END>,true,false,false,
416,independent,3882.1,-,Susa,SEAL:CY,Gaur,-,cylindrical,1,LC,R/L,8,+416-150-002-055-031-319-001-924+,0,<START>,<START>,150,false,false,false,
603,independent,3887.1,-,Unknown,SEAL:C,Scene,Steatite,circular,1,??,R/L,4,+000-603-091-190+,1,000,000,091,false,false,false,
603,independent,3975.1,H-1137,Harappa,TAB:B,None,-,rectangular,1,SP,R/L,5,+740-603-240-060-692+,1,740,740,240,false,false,false,
416,independent,4056.1,H-1191,Harappa,TAB:I,None,-,rectangular,2,MT,R/L,5,+400-740-760-220-416+,4,220,760 220,<END>,true,false,false,+220-700-004+
416,independent,4165.1,-,Dholavira,SEAL:S,Bull1:V,Steatite,square,1,SS,R/L,3,+740-840-416+,2,840,740 840,<END>,true,false,false,
416,independent,4202.1,-,Dholavira,SEAL:S,Bull2,-,square,1,TS,NR,1,+416+,0,<START>,<START>,<END>,true,false,false,
