date,group,id,cisi,site,type,material,shape,sides,dir,text_length,signs,text,token_1,token_2,token_3,terminal,object_note,accepted_reading_claim
2026-05-25,prefix_390_x_002,3137.1,M-712,Mohenjo-daro,SEAL:S,Steatite,square,1,R/L,4,4,+390-003-002-861+,390,003,002,861,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,3217.1,M-803,Mohenjo-daro,SEAL:S,Steatite,square,1,R/L,4,4,+390-005-002-817+,390,005,002,817,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,3281.1,M-872,Mohenjo-daro,SEAL:S,-,square,1,R/L,4,4,+390-016-002-824+,390,016,002,824,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,3315.1,M-918,Mohenjo-daro,SEAL:S,-,square,1,R/L,4,4,+390-869-002-861+,390,869,002,861,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,3855.1,Ns-7,Nausharo,SEAL:S,Steatite,square,1,R/L,4,4,+390-003-002-820+,390,003,002,820,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,3875.1,Sktd-1,Surkotada,SEAL:S,-,square,1,R/L,6,6,+390-004-002-390-125-820+,390,004,002,820,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,3884.1,-,Tell Umma,TAG:L,Clay,-,1,R/L,5,5,+390-004-002-705-127+,390,004,002,127,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,3990.1,M-1806,Mohenjo-daro,SEAL:S,-,square,1,R/L,4,4,+390-003-002-820+,390,003,002,820,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,3991.1,M-1823,Mohenjo-daro,SEAL:S,-,square,1,R/L,5,5,+390-004-002-031-376+,390,004,002,376,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,4260.1,-,Dholavira,SEAL:R,-,rectangular,1,R/L,4,4,+390-016-002-861+,390,016,002,861,same_390_X_002_slot_control,0
2026-05-25,prefix_390_034_all,17.1,Ai-7,Amri,POT:T:g,Clay,-,1,L/R,2,2,+390-034+,390,034,,034,short_390_034_control,0
2026-05-25,prefix_390_034_all,1356.1,H-335,Harappa,TAB:I,Steatite,hare,1,R/L,2,2,+390-034+,390,034,,034,short_390_034_control,0
2026-05-25,prefix_390_034_all,2833.1,M-315,Mohenjo-daro,SEAL:S,Steatite,square,1,R/L,6,6,+390-034-002-374-228-741+,390,034,002,741,target_extended_390_034,0
