checked_date,branch,row_id,object,site,type,prev2,next1,next2,next4,terminal,in_002390_frame,text
2026-05-31,590,1384.1,H-365,Harappa,TAB:I,740 000,031,031,031,false,false,+740-000-740-000-590-031+
2026-05-31,705,1388.1,H-369,Harappa,SEAL:CY,368 033,031,031 741,031 741 390 741,false,false,+368-033-705-031-741-390-741+
2026-05-31,705,1398.1,H-383,Harappa,SEAL:S,017 033,002,002 000,002 000,false,false,+740-585-017-033-705-002-000+
2026-05-31,590,1402.1,H-389,Harappa,SEAL:S,740 405,235,235 002,235 002 031 480,false,false,+740-405-590-235-002-031-480-625+
2026-05-31,140,1422.1,H-420,Harappa,SEAL:S,443 388,<END>,<END>,<END>,true,false,+407-004-001-740-443-388-140+
2026-05-31,590,1439.1,H-449,Harappa,SEAL:S,740 390,240,240 741,240 741 390 728,false,false,+740-390-590-240-741-390-728+
2026-05-31,590,1444.1,H-454,Harappa,SEAL:S,740 390,742,742 700,742 700,false,false,+740-390-590-742-700+
2026-05-31,705,1445.1,H-455,Harappa,SEAL:S,520 033,002,002 172,002 172 032,false,false,+520-033-705-002-172-032+
2026-05-31,590,1452.1,H-464,Harappa,SEAL:S,002 798,032,032,032,false,false,+000-176-002-798-590-032+
2026-05-31,590,1454.1,H-466,Harappa,SEAL:S,740 390,233,233 231,233 231 741 000,false,false,+740-390-590-233-231-741-000+
2026-05-31,125,1455.1,H-467,Harappa,SEAL:S,741 390,<END>,<END>,<END>,true,false,]741-390-125+
2026-05-31,705,1456.1,H-468,Harappa,SEAL:S,002 940,<END>,<END>,<END>,true,false,+740-900-003-002-940-705+
2026-05-31,590,1467.1,H-479,Harappa,SEAL:S,740 405,790,790,790,false,false,+740-405-590-790+
2026-05-31,140,1483.1,H-505,Harappa,SEAL:S,527,<END>,<END>,<END>,true,false,+527-140+
2026-05-31,590,1487.1,H-510,Harappa,SEAL:S,740 390,060,060 795,060 795,false,false,+740-390-590-060-795+
2026-05-31,590,1492.1,H-515,Harappa,SEAL:S,350 741,032,032,032,false,false,+740-798-463-350-741-590-032+
2026-05-31,705,1502.1,H-531,Harappa,SEAL:S,520 033,<END>,<END>,<END>,true,false,]482-520-033-705[
2026-05-31,590,1538.1,H-595,Harappa,SEAL:S,717 741,000,000,000,false,false,+151-717-741-590-000[
2026-05-31,590,1540.2,H-597,Harappa,SEAL:S,740 390,070,070 032,070 032 002 861,false,false,+740-390-590-070-032-002-861+
2026-05-31,140,1548.1,H-608,Harappa,SEAL:S,<START>,220,220 530,220 530,false,false,+140-220/530+
2026-05-31,530,1548.1,H-608,Harappa,SEAL:S,140 220,<END>,<END>,<END>,true,false,+140-220/530+
2026-05-31,125,1551.1,H-611,Harappa,SEAL:S,550 002,590,590,590,false,false,+527-550-002-125-590+
2026-05-31,590,1551.1,H-611,Harappa,SEAL:S,002 125,<END>,<END>,<END>,true,false,+527-550-002-125-590+
2026-05-31,590,1552.2,H-612,Harappa,SEAL:S,740 892,893,893 001,893 001 615,false,false,+740-892-590-893-001-615+
2026-05-31,705,1554.1,H-639,Harappa,SEAL:R,000 000,832,832 904,832 904 845 235,false,false,+407-000-000-705-832-904-845-235-002-717-747+
2026-05-31,705,1556.1,H-641,Harappa,SEAL:R,100 503,000,000,000,false,false,+405-061-740-100-503-705-000[
2026-05-31,125,1557.1,H-642,Harappa,SEAL:R,304 354,812,812 033,812 033,false,false,+001-304-354-125-812-033+
2026-05-31,692,1561.1,H-646,Harappa,SEAL:R,033 060,<END>,<END>,<END>,true,false,+000-033-033-060-692+
2026-05-31,140,1562.1,H-647,Harappa,SEAL:R,632 706,<END>,<END>,<END>,true,false,]368-632-706-140+
2026-05-31,705,1564.1,H-649,Harappa,SEAL:R,520 033,233,233 240,233 240 806 002,false,false,+520-033-705-233-240-806-002-820+
2026-05-31,140,1574.1,H-659,Harappa,SEAL:R,407 845,740,740 233,740 233 240 798,false,false,+407-845-140-740-233-240-798-365-263+
2026-05-31,095,1575.1,H-660,Harappa,SEAL:R,520,033,033 706,033 706 240 798,false,false,+520-095-033-706-240-798+
2026-05-31,590,1576.1,-:1576.1,Dholavira,SEAL:S,740,017,017,017,false,false,+740-590-017+
2026-05-31,692,1580.1,H-665,Harappa,SEAL:R,004 060,<END>,<END>,<END>,true,false,+407-004-060-692+
2026-05-31,140,1582.1,H-667,Harappa,SEAL:R,900 003,<END>,<END>,<END>,true,false,]000-235-806-900-003-140+
2026-05-31,590,1589.1,H-682,Harappa,SEAL:R,706,892,892 317,892 317 625,false,false,]706-590-892-317-625+
2026-05-31,140,1594.2,H-688,Harappa,SEAL,<START>,820,820,820,false,false,]140-820+
2026-05-31,590,1600.1,H-695,Harappa,TAB:B,740 390,235,235 368,235 368 806,false,false,+740-390-590-235-368-806+
2026-05-31,705,1620.1,H-717,Harappa,TAB:B,<START>,904,904,904,false,false,+705-904+
2026-05-31,705,1660.1,H-768,Harappa,TAB:B,740 033,233,233 235,233 235 000,false,false,+400-740-033-705-233-235-000+
2026-05-31,705,1661.1,H-769,Harappa,TAB:B,<START>,233,233 235,233 235 803,false,false,]705-233-235-803+
2026-05-31,530,1665.1,H-773,Harappa,TAB:B,002 390,741,741,741,false,true,+740-798-803-002-390-530-741+
2026-05-31,692,1691.1,H-800,Harappa,TAB:B,740 337,490,490,490,false,false,+740-337-692-490+
2026-05-31,692,1711.2,H-822,Harappa,TAB:B,240 001,<END>,<END>,<END>,true,false,+740-642-240-001-692+
2026-05-31,692,1714.1,H-824,Harappa,TAB:B,240 060,<END>,<END>,<END>,true,false,]240-060-692+
2026-05-31,140,1725.2,H-839,Harappa,TAB:B,400,<END>,<END>,<END>,true,false,+400-140+
2026-05-31,705,1732.1,H-846,Harappa,TAB:B,100 031,<END>,<END>,<END>,true,false,+400-740-100-031-705+
2026-05-31,590,3967.1,H-1107,Harappa,TAB:B,740 390,235,235,235,false,false,+740-390-590-235+
2026-05-31,705,1761.1,H-878,Harappa,TAB:B,<START>,692,692,692,false,false,]705-692[
2026-05-31,692,1761.1,H-878,Harappa,TAB:B,705,<END>,<END>,<END>,true,false,]705-692[
2026-05-31,705,1768.1,H-885,Harappa,TAB:I,400,<END>,<END>,<END>,true,false,]400-705[
2026-05-31,590,1773.2,H-891,Harappa,TAB:I,400 740,017,017 000,017 000,false,false,+400-740-590-017-000+
2026-05-31,692,1798.1,H-918,Harappa,TAB:I,<START>,687,687,687,false,false,+692-687+
2026-05-31,590,1831.1,H-951,Harappa,TAB:I,134 368,<END>,<END>,<END>,true,false,+388-134-368-590+
2026-05-31,590,3730.2,M-1452,Mohenjo-daro,TAB:C,740 407,<END>,<END>,<END>,true,false,+740-407-590+
2026-05-31,140,1879.1,K-4,Kalibangan,SEAL:S,036 269,002,002 741,002 741 060 920,false,false,+036-269-140-002-741-060-920+
2026-05-31,125,1880.1,K-5,Kalibangan,SEAL:S,803 741,<END>,<END>,<END>,true,false,+520-233-240-803-741-125+
2026-05-31,530,1882.1,K-7,Kalibangan,SEAL:S,220 455,741,741,741,false,false,+740-100-176-838-001-220-455-530-741+
2026-05-31,590,1885.1,K-10,Kalibangan,SEAL:S,368 861,032,032 368,032 368,false,false,+740-690-435-255-002-368-861-590-032-368+
2026-05-31,140,1893.1,K-18,Kalibangan,SEAL:S,762 463,<END>,<END>,<END>,true,false,+307-002-762-463-140+
2026-05-31,590,1907.1,K-39,Kalibangan,SEAL:S,<START>,390,390,390,false,false,+590-390+
2026-05-31,705,1944.2,K-89,Kalibangan,TAG:L,000 033,000,000 002,000 002 000,false,false,+000-033-705-000-002-000+
2026-05-31,590,1952.1,K-98,Kalibangan,POT:T:g,740 411,<END>,<END>,<END>,true,false,+400-740-411-590[
2026-05-31,346,1968.1,Krs-1,Khirsara,SEAL:R,060 413,706,706,706,false,false,+215-001-480-306-813-033-060-413-346-706+
2026-05-31,590,1971.1,-:1971.1,Kish,SEAL:S,740 390,220,220 003,220 003 060 840,false,false,+740-390-590-220-003-060-840-416+
2026-05-31,095,1974.1,Kd-9,Kot-Diji,POT:T:g,033,<END>,<END>,<END>,true,false,+033-095+
2026-05-31,590,1981.1,Lh-1,Lohumjo-daro,SEAL:S,002 392,125,125,125,false,false,+740-760-615-104-717-235-002-392-590-125+
2026-05-31,125,1981.1,Lh-1,Lohumjo-daro,SEAL:S,392 590,<END>,<END>,<END>,true,false,+740-760-615-104-717-235-002-392-590-125+
2026-05-31,095,1984.1,L-1,Lothal,SEAL:S,002 812,<END>,<END>,<END>,true,false,+527-550-233-002-812-095+
2026-05-31,692,1987.1,L-5,Lothal,SEAL:S,002 455,416,416,416,false,false,+740-760-552/000-002-455-692-416+
2026-05-31,705,1989.1,L-10,Lothal,SEAL:S,520 033,233,233 240,233 240 460 491,false,false,+520-033-705-233-240-460-491-002-000+
2026-05-31,590,1990.1,L-11,Lothal,SEAL:S,<START>,705,705 435,705 435 255 778,false,false,+590-705-435-255-778-002-817+
2026-05-31,705,1990.1,L-11,Lothal,SEAL:S,590,435,435 255,435 255 778 002,false,false,+590-705-435-255-778-002-817+
2026-05-31,140,2004.1,L-27,Lothal,SEAL:S,390 016,000,000,000,false,false,+390-016-140-000[
2026-05-31,590,2005.1,L-28,Lothal,SEAL:S,740 406,741,741 060,741 060 920,false,false,+740-406-590-741-060-920+
2026-05-31,590,2015.1,L-43,Lothal,SEAL:S,151,390,390,390,false,false,+151-590-390+
2026-05-31,140,2027.1,L-60,Lothal,SEAL:S,740 861,<END>,<END>,<END>,true,false,+740-861-140+
2026-05-31,705,2039.1,L-85,Lothal,SEAL:R,285,<END>,<END>,<END>,true,false,+285-705+
