checked_date,target,object,row_id,site,type,text,head,tail_after_x,exception_type,severity,current_gloss,source_success_for_rule,rule_damage_outcome,rule_promotion_outcome
2026-05-31,M-141,M-141,2668.1,Mohenjo-daro,SEAL:S,+817-255-636/000-000-000-240-002-031-000+,031,<END>,closed_control,control,FRAME(002) HEAD(031) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
2026-05-31,M-279,M-279,2800.1,Mohenjo-daro,SEAL:S,+520-220-415-002-700-000+,700,<END>,closed_control,control,FRAME(002) HEAD(700) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
2026-05-31,M-692,M-692,3123.1,Mohenjo-daro,SEAL:S,+000-004-002-817-000[,817,<END>,closed_control,control,FRAME(002) HEAD(817) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
2026-05-31,M-1027,M-1027,3409.1,Mohenjo-daro,SEAL:S,+740-176-220-415-002-435-000[,435,<END>,closed_control,control,FRAME(002) HEAD(435) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
2026-05-31,M-1045,M-1045,3422.1,Mohenjo-daro,SEAL:S,+740-100-415-070-032-002-820-000+,820,<END>,closed_control,control,FRAME(002) HEAD(820) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
2026-05-31,TY-106,TY-106,3886.1,Tepe Yahya,POT:T:s,+002-095-000[,095,<END>,closed_control,control,FRAME(002) HEAD(095) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
2026-05-31,M-1995,M-1995,4018.1,Mohenjo-daro,SEAL,]000-220-832-002-000-000[,000,<END>,closed_control,control,FRAME(002) HEAD(000) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
2026-05-31,4344.1,-:4344.1,4344.1,Dholavira,TAG,]240-002-031-000[,031,<END>,closed_control,control,FRAME(002) HEAD(031) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
2026-05-31,K-146,K-146,5274.1,Kalibangan,SEAL:S,]460-350-002-296-000[,296,<END>,closed_control,control,FRAME(002) HEAD(296) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
2026-05-31,K-155,K-155,5282.1,Kalibangan,TAG,]002-817-000+,817,<END>,closed_control,control,FRAME(002) HEAD(817) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
2026-05-31,Ns-67,Ns-67,5368.1,Nausharo,POT:T:g,+000-151-390-000-002-000-000[,000,<END>,closed_control,control,FRAME(002) HEAD(000) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
2026-05-31,5541.1,-:5541.1,5541.1,Shikarpur,POT:T:p,+002-861-000[,861,<END>,closed_control,control,FRAME(002) HEAD(861) ZERO_COMPLEMENT(000),"If source confirms terminal 000, it supports the zero-complement core.",A hidden payload tail after final 000 damages the rule.,Terminal source-bound X=000 promotes zero-complement behavior.
