edge,text_families,terminal_families,terminal_share,sites,types,examples
240-235,30,9,0.3,4,4,+032-031/151-740-240-235+ | +090-740-240-235+ | +740-690-435-255-803-220-240-235-002-817+ | +740-390-590-231-240-235-745-060-920+ | +740-100-240-235-741-175-132+ | +520-240-235+ | +740-904-240-235+ | +151-240-235-741-892+
100-415,30,6,0.2,4,5,+090-100-415-717+ | +740-100-415+ | +400-090-740-100-415+ | +740-100-415-176-792-102+ | +595-820-100-415-741-315-850+ | +032-820-100-415+ | +400-820-100-415+ | +090-740-100-415-240-002-817+
235-002,30,0,0,8,4,+032-031/740-222-235-002-861+ | +804-235-002-817+ | +740-690-435-255-803-220-240-235-002-817+ | +740-380-235-002-817+ | +740-405-590-235-002-031-480-625+ | +740-770-235-002-817+ | +740-760-615-104-717-235-002-392-590-125+ | +527-555-235-002-861+
033-706,29,4,0.13793103448275862,3,3,+520-033-706-233+ | +520-033-706-231-415-803+ | +354-001-740-405-590-033-706-002-690-921+ | +520-033-706-235-798-803-002-031-892+ | +520-033-706+ | +405-061-033-706-794-630-220-002-820+ | +740-585-017-033-706-803-002-220-455-920+ | +520-033-706-231-806-002-817+
741-060,29,0,0,7,5,+429-003-741-060-920+ | +156-176-741-060-920+ | +504-350-741-060-920+ | +232-240-741-060-920+ | +167-705-368-005-741-060-920+ | +036-269-140-002-741-060-920+ | +740-406-590-741-060-920+ | +740-821-741-060-920+
740-690,28,1,0.03571428571428571,4,5,+740-690-435-255+ | +740-690-435-255-055+ | +740-690-436-255+ | +740-690-435-176-233-803+ | +740-690-636-240+ | +740-690-435-255-803-220-240-235-002-817+ | +740-690-435-255-001-060-201+ | +740-690-630-240+
803-002,27,0,0,4,3,+520-233-803-002-817+ | +520-235-803-002-817+ | +244-165/740-879-220-416-803-002-861+ | +520-033-706-235-798-803-002-031-892+ | +740-585-017-033-706-803-002-220-455-920+ | +740-798-803-002-390-530-741+ | +740-773-233-803-002-320-705-125+ | +390-920-322-803-002-820+
740-220,26,3,0.11538461538461539,7,7,+090-740-220-002-368-550-821+ | +400-090-740-220-003+ | +090-740-220-003-002-390-072+ | +400-740-220-415-798+ | +400-760-740-220-416+ | +090-740-220-032+ | +740-220-032+ | +515-740-220-003-900+
032-840,24,5,0.20833333333333334,5,5,+405-844-032-840-002-861+ | +740-032-840+ | +400-740-032-840+ | +740-032-840-820+ | +032-840+ | +740-032-840-679+ | +740-032-840-233-060-550+ | +740-032-840-002+
740-923,24,2,0.08333333333333333,3,4,+740-923-838+ | +740-923-235+ | +740-923+ | +740-923-240-235-060-820+ | +740-923-806+ | +740-923-033-705-060-692+ | +001-740-923-033-705+ | +740-923-220-032+
060-820,23,23,1,5,4,+869-060-820+ | +526-550-060-820+ | +090-740-240/060-820+ | +156-142-060-820+ | +527-550-740-443-060-820+ | +740-923-240-235-060-820+ | +740-455-240-235-060-820+ | +740-798-231-060-820+
060-550,23,22,0.9565217391304348,4,6,+060-550+ | +390-003-060-550+ | +740-390-590-060-550+ | +740-803-060-550+ | +090-740-255-705-060-550+ | +740-176-690-435-255-220-032-806-060-550+ | +556-060-550+ | +679-740-240-060-550+
690-435,23,0,0,3,4,+740-690-435-255+ | +740-690-435-255-055+ | +740-690-435-176-233-803+ | +740-690-435-255-803-220-240-235-002-817+ | +740-176-690-435-255-220-032-806-060-550+ | +740-690-435-255-001-060-201+ | +400-921-690-435-255-055+ | +740-690-435-255-002-368-861-590-032-368+
740-585,20,0,0,5,4,+740-585-017-002-611-615-703+ | +740-585-017-033-706-803-002-220-455-920+ | +740-585-017-240-002-305-032-904+ | +740-585-798-002-861-216+ | +740-585-900-014-820+ | +740-585-017-741-630+ | +740-585-017-002-817+ | +740-585-017+
740-900,20,0,0,3,5,+740-900-005-002-820+ | +740-900-003-806-033-705-235-055+ | +621-740-900-003/002-820+ | +740-900-003-002-940-705+ | +740-900-482-484-900+ | +740-900-005+ | +740-900-005-033+ | +740-900-004+
233-002,19,0,0,5,4,+740-443-388-033-705-233-002-817+ | +520-233-002-861-831-165+ | +740-803-233-002-817+ | +527-550-233-002-812-095+ | +090-740-100-233-002-575-031+ | +090-740-233-002-817+ | +740-390-590-233-002-368-202-892-371+ | +740-032-923-382-233-002-112+
003-002,18,0,0,6,3,+226-003-002-297-350-125-413+ | +390-003-002-817+ | +151-760-220-003-002-861+ | +405-003-002-293-360+ | +390-003-002-820+ | +621-740-900-003/002-820+ | +090-740-220-003-002-390-072+ | +740-405-590-220-003-002-861+
585-017,17,3,0.17647058823529413,4,4,+740-585-017-002-611-615-703+ | +740-585-017-033-706-803-002-220-455-920+ | +740-585-017-240-002-305-032-904+ | +740-585-017-741-630+ | +407-032-520-095-585-017-220+ | +740-585-017-002-817+ | +740-585-017+ | +740-585-017-033-705-240-798-002-820+
390-004,17,2,0.11764705882352941,8,4,+390-004+ | +390-004-455-371-741-590+ | +390-004-002-817+ | +390-004-155-390+ | +390-004-002-861-125+ | +390-004-104+ | +390-004-817+ | +390-004-491+
520-233,17,2,0.11764705882352941,5,4,+520-233-803-002-817+ | +520-233-240+ | +400-520-233+ | +520-233-240-220-032+ | +520-233-049-002-861+ | +520-233-240-060-201+ | +520-233+ | +520-233-002-861-831-165+
527-550,17,1,0.058823529411764705,3,5,+527-550-233+ | +527-550-002-125-590+ | +527-550-233-002-812-095+ | +527-550+ | +527-550-740-443-060-820+ | +527-550-235+ | +527-550-798-220+ | +527-550-240-002-817+
740-904,17,0,0,4,4,+740-904-033-705-235+ | +740-904-240-002-817+ | +740-904-240+ | +400-740-904-240+ | +740-904-231-240-798-060-692+ | +740-904-032-233-803+ | +740-904-033-741-700+ | +740-904-240-235+
405-590,16,3,0.1875,3,4,+740-405-590-032-900-003-806-235-220-032-002-690-921+ | +354-001-740-405-590-033-706-002-690-921+ | +740-405-590-220-003-002-861+ | +154-806-472-001-740-405-590+ | +400-740-405-590-235-806+ | +740-405-590-235-002-031-480-625+ | +740-405-590-790+ | +740-405-590+
001-740,16,0,0,3,3,+354-001-740-405-590-033-706-002-690-921+ | +154-806-468-001-740-877-032+ | +154-806-469-001-740-877-032+ | +154-806-472-001-740-405-590+ | +407-004-001-740-443-388-140+ | +520-240-031-001-740-121+ | +001-740-923-033-705+ | +350-001-740-362-692-032-002-861+
004-002,16,0,0,6,5,+390-004-002-817+ | +407-004-002-861+ | +390-004-002-861-125+ | +405-004-002-861+ | +390-004-002-861+ | +520-220-004-002-817+ | +390-004-002-820+ | +621-390-004-002-817+
001-820,15,11,0.7333333333333333,3,3,+869-060-001-820+ | +740-388-231-240-798-001-820+ | +740-440-240-001-820+ | +645-202-001-820+ | +740-900-790-233-798-001-820+ | +832-904-001-820+ | +740-100-806-472-240-806-001-820+ | +740-338-605-176-001-820+
233-235,15,4,0.26666666666666666,3,4,+405-061-527-555-233-235-806-002-817+ | +405-032-900-003-070-002-233-235+ | +400-527-555-233-235+ | +520-033-705-233-235-060-820+ | +407-585-033-705-233-235-806+ | +740-636-240-233-235-002-405-125-820+ | +740-222-233-235+ | +740-222-233-235/617-142-001-368-861+
617-142,15,2,0.13333333333333333,3,4,+617-142+ | +617-142-002-817+ | +617-142-746-140+ | +617-142-384-032-154-806-467+ | +617-142-013-820+ | +617-142-001-595-095-760-744+ | +740-222-233-235/617-142-001-368-861+ | +617-142-001-368-861+
740-405,15,1,0.06666666666666667,4,5,+740-405+ | +740-405-590-032-900-003-806-235-220-032-002-690-921+ | +354-001-740-405-590-033-706-002-690-921+ | +740-405-590-220-003-002-861+ | +154-806-472-001-740-405-590+ | +400-740-405-590-235-806+ | +740-405-590-235-002-031-480-625+ | +740-405-590-790+
740-482,15,1,0.06666666666666667,4,5,+740-482-235+ | +740-482-240-002-861+ | +740-482-055-220-415-798-803-742-617+ | +740-482-002-820+ | +742-406/740-482-235-001-480+ | +842-871-192-368/740-482-060-692-520-220-235-001-920+ | +842-535-099-004/740-482-060-692-520-220-235-001-920+ | +740-482-240-002-944-920-140+
740-752,15,1,0.06666666666666667,2,4,+740-752-175-002-861+ | +740-752-070-255-832+ | +740-752-463-495-240-415+ | +740-752-482-240+ | +740-752-482+ | +158-806-468-740-752-231-235+ | +740-752-001-595-204-920+ | +740-752-615-503+
806-002,15,0,0,2,2,+405-061-527-555-233-235-806-002-817+ | +740-920-320-233-806-002-405-321+ | +409-032-845-033-705-231-806-002-595-812-125-717+ | +740-773-231-806-002-861+ | +520-033-706-231-806-002-817+ | +236-806-002-863+ | +520-033-705-233-240-806-002-820+ | +405-061-070-032-033-706-235-806-002-267-455+
220-003,14,5,0.35714285714285715,5,4,+400-090-740-220-003+ | +151-760-220-003-002-861+ | +090-740-220-003-002-390-072+ | +740-405-590-220-003-002-861+ | +515-740-220-003-900+ | +740-390-590-220-003-060-840-416+ | +520-220-003+ | +520-220-003-741-060-920+
740-388,14,4,0.2857142857142857,3,5,+700-033-400-740-388+ | +740-388-031+ | +400-740-388+ | +400-740-388-717-705+ | +740-388-231-240-798-001-820+ | +740-388+ | +740-388-220-004-060-920+ | +740-388-235+
233-240,14,3,0.21428571428571427,4,3,+740-920-324-233-240-013-817+ | +503-233-240+ | +520-233-240+ | +400-740-920-320-233-240-798+ | +520-233-240-220-032+ | +520-233-240-060-201+ | +520-033-705-233-240-806-002-820+ | +407-845-140-740-233-240-798-365-263+
705-233,14,2,0.14285714285714285,3,4,+740-626-176-033-705-233+ | +740-443-388-033-705-233-002-817+ | +520-033-705-233-240-806-002-820+ | +520-033-705-233-240-002-610-125-032+ | +520-033-705-233-235-060-820+ | +407-585-033-705-233-235-806+ | +740-772-033-705-233-803-002-861+ | +740-585-017-033-705-233-798-803-002-861-603+
740-803,14,2,0.14285714285714285,5,3,+740-803+ | +740-803-233-741-250-579+ | +740-803-060-550+ | +740-803-892-031-002-861+ | +740-803-741-031-032-716+ | +740-803-233-002-817+ | +740-803-220-032-220-002-820+ | +740-803-235+
390-003,14,1,0.07142857142857142,7,6,+390-003-003+ | +390-003-002-817+ | +390-003-060-550+ | +390-003+ | +390-003-002-820+ | +390-003-368-817+ | +390-003-491+ | +390-003-002-861+
002-390,14,0,0,5,2,+090-740-220-003-002-390-072+ | +740-798-803-002-390-530-741+ | +740-690-435-255-220-032-240-235-002-390-125-632-032+ | +226-032-002-390-692+ | +151-279-142-002-390-095+ | +151-337-484-002-390-125-632-032-900-563+ | +740-384-002-390-346+ | +236-002-390-707+
031-002,14,0,0,5,3,+151-382-031-002-861+ | +740-803-892-031-002-861+ | +409-061-740-235-220-031-002-861-244-165+ | +700-033-151-706-031-002-817+ | +760-031-002-861-791-440-717+ | +415-031-002-820+ | +368-821-055-031-002-031-892+ | +090-740-035-171-061-031-002-069+
798-002,14,0,0,3,3,+400-740-575-017-920-320-798-002-861+ | +740-585-798-002-861-216+ | +520-072-233-740-798-002-861-832+ | +740-407-590-031-752-033-705-220-415-798-002-861+ | +740-585-017-033-705-240-798-002-820+ | +236-240-033-705-798-002-820+ | +226-032-231-798-002-693+ | +740-055-220-032-798-002-820+
415-798,13,3,0.23076923076923078,2,3,+740-554-220-415-798-060-692+ | +400-740-220-415-798+ | +740-482-055-220-415-798-803-742-617+ | +527-555-740-055-240-415-798-060-201+ | +740-900-790-220-415-798-806+ | +740-760-001-220-415-798-803+ | +740-407-590-031-752-033-705-220-415-798-002-861+ | +520-220-415-798+
240-220,13,2,0.15384615384615385,3,4,+240-220+ | +090-740-240-220+ | +520-233-240-220-032+ | +740-760-440-240-220-002-861+ | +161-055-240-220-032-002-820+ | +527-550-240-220-032-002-300-350-032-190+ | +527-550-240-220-255-812-906-388+ | +520-240-220-032-002-861-603+
527-555,13,1,0.07692307692307693,3,2,+405-061-527-555-233-235-806-002-817+ | +527-555-740-055-240-415-798-060-201+ | +527-555-231-002-817+ | +527-555-231-235+ | +527-555-235-002-861+ | +527-555-002-817+ | +400-527-555-233-235+ | +527-555-033-706-235-002-817+
740-575,13,1,0.07692307692307693,3,4,+400-740-575-017-920-320-798-002-861+ | +400-740-575-017-798+ | +400-740-575-017-920+ | +740-575-017-220-415-803+ | +740-575-017+ | +679-740-575-017-798+ | +679-740-575+ | +679-740-575-017-240-806-002-540+
154-806,13,0,0,3,3,+400-154-806-467+ | +154-806-470-002-861+ | +154-806-468-001-740-877-032+ | +154-806-471-407-845-740-233-231-798+ | +154-806-469-001-740-877-032+ | +154-806-467-031+ | +154-806-468+ | +154-806-467-013-817+
231-002,13,0,0,5,2,+527-555-231-002-817+ | +520-231-002-220-065-132-082+ | +806-231-002-221+ | +090-740-222-231-002-861-683+ | +298-465-033-705-231-002-564-617-033+ | +740-390-590-233-231-002-107+ | +740-798-231-002-055-373+ | +520-033-705-231-002-820-700+
368-817,12,12,1,2,3,+690-368-817+ | +700-032-690-368-817+ | +390-003-368-817+ | +368-817+ | +700-034-690-368-817+ | +700-033-900-645-368-817+ | +740-760-017-503-368-817+ | +520-220-368-817+
233-803,12,6,0.5,4,4,+520-233-803-002-817+ | +151-233-803-033-705-240+ | +740-690-435-176-233-803+ | +740-904-032-233-803+ | +740-176-233-803+ | +740-773-233-803-002-320-705-125+ | +400-520-233-803+ | +740-772-033-705-233-803-002-861+
240-798,12,5,0.4166666666666667,2,4,+520-220-240-798-060-692+ | +400-740-920-320-233-240-798+ | +740-904-231-240-798-060-692+ | +740-388-231-240-798-001-820+ | +407-845-140-740-233-240-798-365-263+ | +520-095-033-706-240-798+ | +407-063-845-240-798+ | +740-585-017-033-705-240-798-002-820+
368-861,12,5,0.4166666666666667,4,3,+368-861-503+ | +368-861-575+ | +622-740-717/368-861-820-551+ | +740-690-435-255-002-368-861-590-032-368+ | +390-003-480-368-861+ | +001-368-861-255-371+ | +368-861-903+ | +740-222-233-235/617-142-001-368-861+
226-032,12,3,0.25,4,5,+390-128-702-032/226-032-013-480-850+ | +400-226-032+ | +865-685/226-032-741-390+ | +233-226-032-001-223-575+ | +865-032/226-032-700-605+ | +226-032-060-891+ | +226-032-231-798-002-693+ | +226-032-002-390-692+
590-032,12,3,0.25,4,4,+590-032-220+ | +590-032-645-003+ | +690-590-032-220+ | +740-405-590-032-900-003-806-235-220-032-002-690-921+ | +740-798-463-350-741-590-032+ | +740-690-435-255-002-368-861-590-032-368+ | +740-390-590-032-060-201+ | +298-350-590-032-900-853+
740-061,12,2,0.16666666666666666,4,3,+740-061+ | +400-740-061-140+ | +740-061-002-455-420-032+ | +682-413-840/740-061+ | +740-061-877+ | +740-061-002-817+ | +740-061-001-694+ | +224-740-061-002-824+
575-017,12,1,0.08333333333333333,3,4,+400-740-575-017-920-320-798-002-861+ | +400-740-575-017-798+ | +400-740-575-017-920+ | +740-575-017-220-415-803+ | +740-575-017+ | +679-740-575-017-798+ | +679-740-575-017-240-806-002-540+ | +740-575-017-002-820+
740-255,12,1,0.08333333333333333,2,3,+740-255-032+ | +090-740-255-705-060-550+ | +740-255-061+ | +740-255+ | +740-255-705-140-003-002-861+ | +090-740-255-705-002-861+ | +740-255-920-060-692+ | +740-255-705+
741-390,12,1,0.08333333333333333,3,2,+368-033-705-031-741-390-741+ | +740-390-590-240-741-390-728+ | +865-685/226-032-741-390+ | +817-740-194/740-760-001-741-390-032+ | +240-741-390-458+ | +740-838-741-390-900-140+ | +740-798-460-350-235-741-390-140+ | +740-390-590-741-390-790+
061-002,12,0,0,4,3,+390-717-061-002-368-634+ | +740-061-002-455-420-032+ | +740-400-142-061-002-798-435-255-705+ | +740-142-061-002-817+ | +740-061-002-817+ | +224-740-061-002-824+ | +407-061-002-817+ | +740-061-002-390-140+
176-002,12,0,0,3,5,+317-740-335-740-176-002-920-491+ | +527-388-233-740-176-002-861-392+ | +740-176-002-861+ | +151-176-002-861+ | +740-176-002-817+ | +740-100-415-176-002-820+ | +090-740-176-002-861+ | +740-336-176-002-405-372-374+
240-741,12,0,0,3,1,+232-240-741-060-920+ | +740-630-240-741-861+ | +740-390-590-240-741-390-728+ | +740-100-240-741-702-900-003+ | +740-840-416-240-741-500-091+ | +520-220-240-741-440+ | +240-741-390-458+ | +520-240-741-590-575+
520-070,12,0,0,5,3,+520-070-255-832+ | +520-070-921-240+ | +520-070-253-060-692+ | +520-070-255-832-002-817+ | +520-070-219-002-861-032-520-919-140+ | +520-070-220-032-240-838-741-958-220-278+ | +520-070-255-832-220-003-853+ | +520-070-233-798-002-861+
740-240,12,0,0,4,3,+032-031/151-740-240-235+ | +090-740-240-220+ | +090-740-240-235+ | +679-740-240-060-550+ | +090-740-240-031+ | +090-740-240/060-820+ | +090-740-240-235-590-645-104+ | +090-740-240-235-002-906-140+
035-171,11,6,0.5454545454545454,3,5,+415-035-171+ | +090-740-035-171-061+ | +035-171+ | +090-740-035-171-061-031-002-069+ | +820-130-035-171+ | +740-100-415-002-130-035-171+ | +400-090-740-035-171-061+ | +740-585-220/002-130-035-171+
407-004,11,2,0.18181818181818182,2,4,+407-004-002-861+ | +407-004-001-740-443-388-140+ | +407-004+ | +407-004-060-692+ | +407-004-002-820+ | +617-142-597-032-905/407-004-002-365-460-495+ | +407-004-001-745-561-586+ | +740-032-055-001-407-004+
740-717,11,2,0.18181818181818182,3,4,+400-740-717+ | +159-097/520-033-705/740-717-220-415-806+ | +740-717-233-220-032+ | +740-717-790+ | +622-740-717/368-861-820-551+ | +740-717-415-790-900+ | +740-717-220-415+ | +740-717+
900-003,11,2,0.18181818181818182,3,2,+740-405-590-032-900-003-806-235-220-032-002-690-921+ | +740-900-003-806-033-705-235-055+ | +621-740-900-003/002-820+ | +405-032-900-003-070-002-233-235+ | +740-100-240-741-702-900-003+ | +740-900-003-002-940-705+ | +740-900-003-615-503+ | +740-900-003-803-002-820+
100-176,11,1,0.09090909090909091,3,5,+740-100-176+ | +400-740-100-176-175+ | +740-100-176-405-019+ | +740-100-176-101+ | +740-100-176-838-001-220-455-530-741+ | +740-100-176-741-617+ | +740-100-176-840-013-002-817+ | +740-100-176-002-861-533-717+
520-240,11,1,0.09090909090909091,3,4,+520-240+ | +520-240-235+ | +520-240-002-405-501+ | +520-240-741-590-575+ | +520-240-031-001-740-121+ | +520-240-220-032-002-861-603+ | +003-001-520-240-806-002-502-031+ | +520-240-806+
740-222,11,1,0.09090909090909091,5,3,+032-031/740-222-235-002-861+ | +151-740-222+ | +090-740-222-231-002-861-683+ | +791-575-413/740-222-176-060-920+ | +740-222-002-207-550-390+ | +740-222-002-820+ | +740-222-233-235+ | +740-222-233-235/617-142-001-368-861+
740-384,11,1,0.09090909090909091,4,4,+740-384-031+ | +740-384-032-002-817+ | +400-740-384-033+ | +740-384-741-859+ | +740-384-002-390-346+ | +740-384-233-806+ | +740-384-090-351-741-033-272+ | +740-384-032-803-002-820+
740-920,11,1,0.09090909090909091,4,5,+740-920-324-233-240-013-817+ | +400-740-920-320-233-240-798+ | +740-920-318-700-692+ | +740-920-320-233-806-002-405-321+ | +740-920-320-235+ | +740-920-320-233-001-821+ | +137-003-001-740-920-322+ | +740-920-323+
002-368,11,0,0,6,1,+390-717-061-002-368-634+ | +090-740-220-002-368-550-821+ | +002-368-260+ | +740-690-435-255-002-368-861-590-032-368+ | +740-455-002-368-260+ | +740-390-590-233-002-368-202-892-371+ | +740-794-630-220-032-002-368-906-329+ | +740-215-002-368-119+
220-002,11,0,0,3,4,+090-740-220-002-368-550-821+ | +405-061-033-706-794-630-220-002-820+ | +621-520-220-002-817+ | +740-760-440-240-220-002-861+ | +740-803-220-032-220-002-820+ | +090-740-100-220-002-031-165+ | +520-220-002-727-317+ | +740-032-840-220-002-861+
240-060,11,0,0,6,3,+740-603-240-060-692+ | +740-642-240-060-692+ | +740-772-240-060-415-056+ | +520-233-240-060-201+ | +740-636-240-060-692+ | +679-740-240-060-550+ | +090-740-240/060-820+ | +740-798-240-060-111-166+
415-002,11,0,0,2,2,+390-415-002-550+ | +520-033-705-220-415-002-861+ | +740-879-220-415-002-287-140+ | +520-220-621-415-002-257-898+ | +740-100-415-002-705-590+ | +226-415-002-190-751+ | +740-100-415-002-130-035-171+ | +740-100-415-002-820+
220-016,10,5,0.5,4,5,+390-095-909-005-825-776-220-016+ | +220-016+ | +400-520-220-016+ | +861-920/520-220-016+ | +151-220-016-002-820+ | +520-220-016+ | +090-740-220-016-002-297-190-920-140+ | +740-760-220-016-382-741-572-684+
700-033,10,3,0.3,2,5,+700-033+ | +700-033-711-335-575-413+ | +415-700-033-171+ | +125-700-033+ | +700-033-368-091+ | +700-033-400-740-388+ | +700-033-151-706-031-002-817+ | +700-033-137-002-820+
002-031,10,0,0,4,2,+817-521-521/090-740-221-002-031-500+ | +520-033-706-235-798-803-002-031-892+ | +740-405-590-235-002-031-480-625+ | +368-821-055-031-002-031-892+ | +090-740-100-220-002-031-165+ | +390-003-002-031-575+ | +740-752-006-503-236-806-002-031-502+ | +090-740-100-415-002-031-350-550-692+
400-158,10,0,0,2,3,+400-158-806-475+ | +400-158-690+ | +400-158-806-470+ | +400-158-806-472+ | +400-158-904-736+ | +400-158-592+ | +400-158-003+ | +400-158-806-473+
679-740,10,0,0,2,2,+679-740-240-060-550+ | +679-740-575-017-798+ | +679-740-575+ | +679-740-233-240+ | +679-740-575-017-240-806-002-540+ | +679-740-176-240-798-002-861+ | +679-740-220-415-001-820-812-820-140-820+ | +679-740-235-002-861+
001-480,9,3,0.3333333333333333,5,6,+001-480-388-032+ | +001-480+ | +215-001-480-306-813-033-060-413-346-706+ | +790-001-480+ | +742-406/740-482-235-001-480+ | +368-501-706/821-001-480-850-595-391+ | +821-001-480-850-595-391+ | +215-001-480-090-820+
740-861,9,3,0.3333333333333333,4,5,+740-861-877+ | +400-740-861+ | +740-861-140+ | +617-243-031-740-861+ | +740-861-125+ | +740-861-383-031+ | +740-861-877-741-705-319+ | +740-861-032-233-803-002-820+
520-231,9,1,0.1111111111111111,3,2,+400-520-231-240+ | +520-231-002-220-065-132-082+ | +520-231+ | +520-231-002-817+ | +520-231-235+ | +953-817-390-125-308-809-033/740-760-706-466/520-231-240-235-002-820+ | +892-070-590-495-520-231-368-861+ | +520-231-002-820+
