"cisi","lipi_id","site","type","symbol","material","lipi_complete","direction","text","token_count","control_class","control_position_index0","prev_token","focus_token","next_token","y_after_002","availability_tier","local_image_hit_count","source_panel_graph_count","mayig_overlap_count","same_site_as_source_visible","same_type_as_source_visible","same_symbol_as_source_visible","target_length_bucket_match","match_score","local_image_paths_first5","source_panel_graph_labels","mayig_paths"
"C-1","89.1","Chanhu-daro","SEAL:S","Bull1","Steatite","Y","R/L","+031-840-140-740-101-002-365-287-034+","9","negative_002_y_prev_not_032","5","101","002","365","365","local_image_hit","2","0","0","yes","yes","yes","yes","14","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_cohesion_gate\derived\C001.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\blind_390x002_sort_20260526\primary_context\C001.png","",""
"C-3","91.1","Chanhu-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-016-002-920-317+","5","negative_002_y_prev_not_032","2","016","002","920","920","local_image_hit","2","0","0","yes","yes","yes","yes","14","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_cohesion_gate\derived\C003.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\blind_390x002_sort_20260526\primary_context\C003.png","",""
"M-683","3119.1","Mohenjo-daro","SEAL:S","Bull1","Steatite","Y","R/L","+740-798-231-002-298-460-032+","7","negative_002_y_prev_not_032","3","231","002","298","298","local_image_hit","2","0","0","yes","yes","yes","yes","14","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m685_cisi2\derived\m685_page37_m683_m686_context_gray_autocontrast.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m685_cisi2\derived\m685_page37_m683_m686_context.png","",""
"M-1206","3556.2","Mohenjo-daro","SEAL:S","Gaur","Steatite","Y","R/L","+740-690-435-255-002-861+","6","negative_002_y_prev_not_032","4","255","002","861","861","local_image_hit","26","0","0","yes","yes","no","yes","13","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_cohesion_gate\derived\m1206_034_cohesion_neutral_contact_sheet.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_next_source_normalized_blind_component_control_20260526\m1206_source_normalized_component_neutral_contact_sheet.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\m1206_034_terminal_component_neutral_contact_sheet.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_bhaskar\derived\m1206_fig3_caption_context_gray_autocontrast.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_bhaskar\derived\m1206_fig3_caption_context.png","",""
"M-984","2453.1","Mohenjo-daro","SEAL:S","Bull1","Steatite","Y","R/L","+390-004-002-817+","4","negative_002_y_prev_not_032","2","004","002","817","817","local_image_hit","13","0","0","yes","yes","yes","no","13","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_first3_context_crops\M-984_face_A_390-004-002_control_damaged_control.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_first3_context_crops\M-984_impression_a_390-004-002_control_clean_control.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_preblind_token2_crops\M-984_impression_a_004_control_clean_control.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_preblind_token2_crops\M-984_impression_a_bis_004_control_partial_control.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_preblind_token2_crops\M-984_impression_a_ter_004_control_partial_control.png","",""
"M-803","3217.1","Mohenjo-daro","SEAL:S","Bull1","Steatite","Y","R/L","+390-005-002-817+","4","negative_002_y_prev_not_032","2","005","002","817","817","local_image_hit","8","0","0","yes","yes","yes","no","13","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_first3_context_crops\M-803_face_A_390-005-002_control_weak_control.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_first3_context_crops\M-803_impression_a_390-005-002_control_weak_control.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_preblind_token2_crops\M-803_face_A_005_control_weak_control.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_preblind_token2_crops\M-803_impression_a_005_control_weak_control.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\new_controls\derived\M-803_face_A_full_with_label.png","",""
"M-918","3315.1","Mohenjo-daro","SEAL:S","Bull1","-","Y","R/L","+390-869-002-861+","4","negative_002_y_prev_not_032","2","869","002","861","861","local_image_hit","8","0","0","yes","yes","yes","no","13","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_first3_context_crops\M-918_face_A_390-869-002_control_not_token2_grade.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_first3_context_crops\M-918_impression_a_390-869-002_control_not_token2_grade.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_preblind_token2_crops\M-918_face_A_869_control_not_token2_grade.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_preblind_token2_crops\M-918_impression_a_869_control_not_token2_grade.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\new_controls\derived\M-918_face_A_full_with_label.png","",""
"M-391","2887.1","Mohenjo-daro","SEAL:R","None","-","Y","R/L","+405-845-686-740-793-003-233-805-002-861-533-717+","12","negative_002_y_prev_not_032","8","805","002","861","861","local_image_hit","3","0","0","yes","yes","yes","no","13","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M391_A_cisi_india_n131.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M391_face_A_cisi_india_n131.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M391_impression_a_cisi_india_n131.png","",""
"M-714","3139.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-585-017-033-705-233-798-803-002-861-603+","11","negative_002_y_prev_not_032","8","803","002","861","861","local_image_hit","3","0","0","yes","yes","yes","no","13","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M714_A_cisi_pakistan_n079.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M714_face_A_cisi_pakistan_n079.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M714_impression_a_cisi_pakistan_n079.png","",""
"C-4","92.1","Chanhu-daro","SEAL:S","Bull1:L","Steatite","Y","R/L","+520-235-803-002-817+","5","negative_002_y_prev_not_032","3","803","002","817","817","local_image_hit","2","0","0","yes","yes","no","yes","13","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_cohesion_gate\derived\C004.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\blind_390x002_sort_20260526\primary_context\C004.png","",""
"C-5","93.1","Chanhu-daro","SEAL:S","Bull1:I","Steatite","Y","R/L","+740-140-717-002-298-741+","6","negative_002_y_prev_not_032","3","717","002","298","298","local_image_hit","2","0","0","yes","yes","no","yes","13","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_cohesion_gate\derived\C005.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\blind_390x002_sort_20260526\primary_context\C005.png","",""
"H-941","1821.1","Harappa","TAB:I","None","Steatite","Y","R/L","+590-032-645-003+","4","negative_032_next_not_002","1","590","032","645","","local_image_hit","9","0","0","yes","no","yes","no","12","C:\Users\Acer\OneDrive\Documents\ivc\tmp\cisi_pakistan_pages\data_h786_h941\page479_h938_h941_tight.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_m37_blind_visual_comparanda\derived\panel_crops\H941_A_bis_panel.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_m37_blind_visual_comparanda\derived\panel_crops\H941_A_panel.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_m37_blind_visual_comparanda\derived\panel_crops\H941_B_bis_panel.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_m37_blind_visual_comparanda\derived\panel_crops\H941_B_panel.png","",""
"H-943","1823.2","Harappa","TAB:I","None","Steatite","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","local_image_hit","1","0","0","yes","no","yes","no","12","C:\Users\Acer\OneDrive\Documents\ivc\tmp\cisi_pakistan_pages\data_h786_h941\page479_h938_h943_enlarged.png","",""
"H-1678","920.1","Harappa","SEAL:S","Bull1:W","Steatite","Y","R/L","+520-233-240-220-032+","5","negative_220_032_next_not_002","4","220","032","","","metadata_only","0","0","0","yes","yes","yes","yes","10","","",""
"H-20","1080.1","Harappa","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-176-690-435-255-220-032-806-060-550+","10","negative_220_032_next_not_002","6","220","032","806","","metadata_only","0","0","0","yes","yes","yes","yes","10","","",""
"H-601","1544.1","Harappa","SEAL:S","Bull1","Clay","Y","R/L","+740-717-233-220-032+","5","negative_220_032_next_not_002","4","220","032","","","metadata_only","0","0","0","yes","yes","yes","yes","10","","",""
"H-771","1663.1","Harappa","TAB:B","None","Faience","Y","R/L","+032-257-840+","3","negative_032_next_not_002","0","","032","257","","source_panel_graph","0","5","0","yes","no","yes","no","10","","H-771 A;H-771 A bis;H-771 A ter;H-771 A quater;H-771 B",""
"M-113","2640.1","Mohenjo-daro","SEAL:S","Bull1:J","Steatite","Y","R/L","+740-032-840-741-060-920+","6","negative_032_next_not_002","1","740","032","840","","mayig_overlap_only","0","0","1","yes","yes","yes","yes","10","","","corpus/m100_m199/m113.json"
"M-124","2651.1","Mohenjo-daro","SEAL:S","Bull1:W","Clay","Y","R/L","+740-923-220-032+","4","negative_220_032_next_not_002","3","220","032","","","mayig_overlap_only","0","0","1","yes","yes","yes","no","10","","","corpus/m100_m199/m124.json"
"M-1265","3572.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+740-055-240-220-032-806+","6","negative_220_032_next_not_002","4","220","032","806","","metadata_only","0","0","0","yes","yes","yes","yes","10","","",""
"M-1275","3582.1","Mohenjo-daro","SEAL:R","None","-","Y","R/L","+740-752-440-220-032-798+","6","negative_220_032_next_not_002","4","220","032","798","","metadata_only","0","0","0","yes","yes","yes","yes","10","","",""
"M-1690","2403.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+520-070-220-032-240-838-741-958-220-278+","10","negative_220_032_next_not_002","3","220","032","240","","metadata_only","0","0","0","yes","yes","yes","yes","10","","",""
"M-170","2695.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-923-406-061-070-032-741-861+","8","negative_032_next_not_002","5","070","032","741","","mayig_overlap_only","0","0","1","yes","yes","yes","yes","10","","","corpus/m100_m199/m170.json"
"M-33","2561.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-032-923-382-233-002-112+","7","negative_032_next_not_002","1","740","032","923","","mayig_overlap_only","0","0","1","yes","yes","yes","yes","10","","","corpus/m001_m099/m033.json"
"M-38","2566.1","Mohenjo-daro","SEAL:S","Bull1:J","Steatite","Y","R/L","+740-690-435-255-220-032-240-235-002-390-125-632-032+","13","negative_220_032_next_not_002","5","220","032","240","","mayig_overlap_only","0","0","1","yes","yes","yes","no","10","","","corpus/m001_m099/m038.json"
"M-381","2877.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+740-055-220-032-798-002-820+","7","negative_220_032_next_not_002","3","220","032","798","","metadata_only","0","0","0","yes","yes","yes","yes","10","","",""
"M-392","2888.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+740-405-590-220-032-806+","6","negative_220_032_next_not_002","4","220","032","806","","metadata_only","0","0","0","yes","yes","yes","yes","10","","",""
"M-45","2573.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+617-831-013-302-840-032+","6","negative_032_next_not_002","5","840","032","","","mayig_overlap_only","0","0","1","yes","yes","yes","yes","10","","","corpus/m001_m099/m045.json"
"M-52","2580.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-904-032-220-415-235-803-002-504-717+","10","negative_032_next_not_002","2","904","032","220","","mayig_overlap_only","0","0","1","yes","yes","yes","yes","10","","","corpus/m001_m099/m052.json"
"M-56","2584.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-877-032-235-060-550-611-840+","8","negative_032_next_not_002","2","877","032","235","","mayig_overlap_only","0","0","1","yes","yes","yes","yes","10","","","corpus/m001_m099/m056.json"
"M-57","2585.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+226-032-231-798-002-693+","6","negative_032_next_not_002","1","226","032","231","","mayig_overlap_only","0","0","1","yes","yes","yes","yes","10","","","corpus/m001_m099/m057.json"
"M-631","3081.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+520-033-706-240-220-032-368-263+","8","negative_220_032_next_not_002","5","220","032","368","","metadata_only","0","0","0","yes","yes","yes","yes","10","","",""
"M-648","3092.1","Mohenjo-daro","SEAL:S","Bull1:J","-","Y","R/L","+090-740-100-220-032-741-361+","7","negative_220_032_next_not_002","4","220","032","741","","metadata_only","0","0","0","yes","yes","yes","yes","10","","",""
"M-89","2616.1","Mohenjo-daro","SEAL:S","Bull1:J","Steatite","Y","R/L","+740-794-734-032-235+","5","negative_032_next_not_002","3","734","032","235","","mayig_overlap_only","0","0","1","yes","yes","yes","yes","10","","","corpus/m001_m099/m089.json"
"C-54","64.1","Chanhu-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+842-032-031-592-031-060-920+","7","negative_032_next_not_002","1","842","032","031","","metadata_only","0","0","0","yes","yes","yes","yes","9","","",""
"H-1033","293.1","Harappa","SEAL:S","Bull1:W","Steatite","Y","R/L","+220-500-520-002-862-032+","6","negative_032_next_not_002","5","862","032","","","metadata_only","0","0","0","yes","yes","yes","yes","9","","",""
"H-1048","3925.1","Harappa","SEAL:S","Bull1:W","-","Y","R/L","+740-032-840-235-002-817+","6","negative_032_next_not_002","1","740","032","840","","metadata_only","0","0","0","yes","yes","yes","yes","9","","",""
"H-141","1182.1","Harappa","SEAL:R","None","Steatite","Y","R/L","+405-032-900-003-070-002-233-235+","8","negative_032_next_not_002","1","405","032","900","","metadata_only","0","0","0","yes","yes","yes","yes","9","","",""
"H-143","1184.1","Harappa","SEAL:R","None","Terracotta","Y","R/L","+154-806-469-001-740-877-032+","7","negative_032_next_not_002","6","877","032","","","metadata_only","0","0","0","yes","yes","yes","yes","9","","",""
"H-27","1087.1","Harappa","SEAL:S","Bull1:W","Steatite","Y","R/L","+154-806-468-001-740-877-032+","7","negative_032_next_not_002","6","877","032","","","metadata_only","0","0","0","yes","yes","yes","yes","9","","",""
"H-272","1296.1","Harappa","SEAL:S","Bull1","Steatite","Y","R/L","+740-585-017-240-002-305-032-904+","8","negative_032_next_not_002","6","305","032","904","","metadata_only","0","0","0","yes","yes","yes","yes","9","","",""
"H-412","1416.1","Harappa","SEAL:S","Bull1:I","Steatite","Y","R/L","+161-233-220-032-741-831+","6","negative_220_032_next_not_002","3","220","032","741","","metadata_only","0","0","0","yes","yes","no","yes","9","","",""
"H-455","1445.1","Harappa","SEAL:S","Bull1:J","Steatite","Y","R/L","+520-033-705-002-172-032+","6","negative_032_next_not_002","5","172","032","","","metadata_only","0","0","0","yes","yes","yes","yes","9","","",""
"H-483","1471.1","Harappa","SEAL:S","Bull1","Steatite","Y","R/L","+740-032-840-233-060-550+","6","negative_032_next_not_002","1","740","032","840","","metadata_only","0","0","0","yes","yes","yes","yes","9","","",""
"H-5","1066.1","Harappa","SEAL:S","Bull1:W","Steatite","Y","R/L","+920-706-193-384-032-920-140-902+","8","negative_032_next_not_002","4","384","032","920","","metadata_only","0","0","0","yes","yes","yes","yes","9","","",""
"H-502","1480.1","Harappa","SEAL:S","Bull1:J","Steatite","Y","R/L","+090-740-220-032+","4","negative_220_032_next_not_002","3","220","032","","","metadata_only","0","0","0","yes","yes","yes","no","9","","",""
"H-6","1067.1","Harappa","SEAL:S","Bull1:W","Steatite","Y","R/L","+317-890-001-032-776-625+","6","negative_032_next_not_002","3","001","032","776","","metadata_only","0","0","0","yes","yes","yes","yes","9","","",""
"H-669","1584.1","Harappa","SEAL:R","None","Steatite","Y","R/L","+740-220-032+","3","negative_220_032_next_not_002","2","220","032","","","metadata_only","0","0","0","yes","yes","yes","no","9","","",""
"M-10","2539.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+405-061-070-032-033-706-235-806-002-267-455+","11","negative_032_next_not_002","3","070","032","033","","mayig_overlap_only","0","0","1","yes","yes","yes","no","9","","","corpus/m001_m099/m010.json"
"M-101","2628.1","Mohenjo-daro","SEAL:S","Bull1:J","Steatite","Y","R/L","+390-503-740-168-002-817+","6","negative_002_y_prev_not_032","4","168","002","817","817","mayig_overlap_only","0","0","1","yes","yes","yes","yes","9","","","corpus/m100_m199/m101.json"
"M-1052","3427.1","Mohenjo-daro","SEAL:R","-","-","Y","R/L","+679-740-220-032-806-001-595-575-001-095+","10","negative_220_032_next_not_002","3","220","032","806","","metadata_only","0","0","0","yes","yes","no","yes","9","","",""
"M-115","2642.1","Mohenjo-daro","SEAL:S","Bull1","Steatite","Y","R/L","+390-844-140-176-803-002-301-190+","8","negative_002_y_prev_not_032","5","803","002","301","301","mayig_overlap_only","0","0","1","yes","yes","yes","yes","9","","","corpus/m100_m199/m115.json"
"M-118","2645.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-772-033-705-233-803-002-861+","8","negative_002_y_prev_not_032","6","803","002","861","861","mayig_overlap_only","0","0","1","yes","yes","yes","yes","9","","","corpus/m100_m199/m118.json"
"M-119","2646.1","Mohenjo-daro","SEAL:S","Bull1:S","Steatite","Y","R/L","+151-337-484-002-390-125-632-032-900-563+","10","negative_032_next_not_002","7","632","032","900","","mayig_overlap_only","0","0","1","yes","yes","no","yes","9","","","corpus/m100_m199/m119.json"
"M-12","2540.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-390-590-233-002-368-202-892-371+","9","negative_002_y_prev_not_032","4","233","002","368","368","mayig_overlap_only","0","0","1","yes","yes","yes","yes","9","","","corpus/m001_m099/m012.json"
"M-1308","3613.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+740-032-055-001-407-004+","6","negative_032_next_not_002","1","740","032","055","","metadata_only","0","0","0","yes","yes","yes","yes","9","","",""
"M-1316","3621.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+127-381-292-590-032-901-620+","7","negative_032_next_not_002","4","590","032","901","","metadata_only","0","0","0","yes","yes","yes","yes","9","","",""
"M-134","2661.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+872-032-692+","3","negative_032_next_not_002","1","872","032","692","","mayig_overlap_only","0","0","1","yes","yes","yes","no","9","","","corpus/m100_m199/m134.json"
"M-1346","3650.1","Mohenjo-daro","SEAL:R","None","-","Y","R/L","+740-861-032-233-803-002-820+","7","negative_032_next_not_002","2","861","032","233","","metadata_only","0","0","0","yes","yes","yes","yes","9","","",""
"M-14","2542.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+740-776-503-002-817+","5","negative_002_y_prev_not_032","3","503","002","817","817","mayig_overlap_only","0","0","1","yes","yes","yes","yes","9","","","corpus/m001_m099/m014.json"
"M-1438","3719.1","Mohenjo-daro","SEAL:R","None","-","Y","R/L","+400-740-923-226-032+","5","negative_032_next_not_002","4","226","032","","","metadata_only","0","0","0","yes","yes","yes","yes","9","","",""
"M-144","2671.1","Mohenjo-daro","SEAL:S","Bull1:J","Steatite","Y","R/L","+740-100-415-240-002-817+","6","negative_002_y_prev_not_032","4","240","002","817","817","mayig_overlap_only","0","0","1","yes","yes","yes","yes","9","","","corpus/m100_m199/m144.json"
"M-147","2674.1","Mohenjo-daro","SEAL:S","Bull1:J","Steatite","Y","R/L","+226-803-002-220-455-520+","6","negative_002_y_prev_not_032","2","803","002","220","220","mayig_overlap_only","0","0","1","yes","yes","yes","yes","9","","","corpus/m100_m199/m147.json"
