object,row_id,cisi,site,type,side,primary_side,text
H-1896,863.2,H-1896,Harappa,TAB:B,2,no,+400-892-831+
H-1812,867.1,H-1812,Harappa,TAB:B,1,yes,+400-525-550-033-705-240+
H-1995,869.2,H-1995,Harappa,TAB:B,2,no,+400-151-142+
H-2089,897.1,H-2089,Harappa,TAB:I,1,yes,+400-740-892-617+
H-1811,916.1,H-1811,Harappa,TAB:B,1,yes,+400-525-550-033-705-240+
H-1933,917.2,H-1933,Harappa,TAB:B,2,no,+400-520-400-352+
H-1929,921.2,H-1929,Harappa,TAB:B,2,no,+400-740-061-140+
H-1945,923.2,H-1945,Harappa,TAB:B,2,no,+400-740-388-717-705+
H-1941,927.2,H-1941,Harappa,TAB:B,2,no,+400-236-220+
H-1774,1021.1,H-1774,Harappa,TAB:B,1,yes,+400-740-335-482-175+
H-1182,1051.1,H-1182,Harappa,TAB:I,1,yes,+400-740-817-175+
1052,1052.1,-,Harappa,TAB:I,1,yes,+400-740-817-491+
H-209,1240.1,H-209,Harappa,TAB:B,1,yes,+400-921-690-435-255-055+
H-211,1242.1,H-211,Harappa,TAB:B,1,yes,+400-740-898-617+
H-212,1243.1,H-212,Harappa,TAB:B,1,yes,+400-156-118+
H-213,1244.1,H-213,Harappa,TAB:B,1,yes,+400-520-400-352+
H-214,1245.1,H-214,Harappa,TAB:B,1,yes,+400-520-400-353+
H-215,1246.2,H-215,Harappa,TAB:B,2,no,+400-137+
H-229,1256.1,H-229,Harappa,TAB:B,1,yes,+400-740-892-617+
H-232,1259.1,H-232,Harappa,TAB:B,1,yes,+400-740-177-519+
H-233,1260.1,H-233,Harappa,TAB:B,1,yes,+400-740-176+
H-245,1270.1,H-245,Harappa,TAB:B,1,yes,+400-807-740-219+
H-248,1273.1,H-248,Harappa,TAB:B,1,yes,+400-740-920-320-233-240-798+
H-251,1276.1,H-251,Harappa,TAB:B,1,yes,+400-740-100-240+
H-296,1318.1,H-296,Harappa,TAB:I,1,yes,+400-740-575-017-920+
H-297,1319.1,H-297,Harappa,TAB:I,1,yes,+400-151-336-630-706+
H-298,1320.1,H-298,Harappa,TAB:I,1,yes,+400-740-636-240+
H-299,1321.2,H-299,Harappa,TAB:I,2,no,+400-156-435-255+
H-300,1322.2,H-300,Harappa,TAB:I,2,no,+400-740-776-495+
H-301,1323.2,H-301,Harappa,TAB:I,2,no,+400-740-636-240-031-032-171+
H-302,1324.2,H-302,Harappa,TAB:I,2,no,+400-760-740-220-416+
H-303,1325.1,H-303,Harappa,TAB:I,1,yes,+400-740-032-027+
H-308,1330.1,H-308,Harappa,TAB:I,1,yes,+400-740-176+
H-309,1331.1,H-309,Harappa,TAB:I,1,yes,+400-740-176+
H-311,1333.1,H-311,Harappa,TAB:I,1,yes,+400-740-178+
H-312,1334.1,H-312,Harappa,TAB:I,1,yes,+400-740-176+
H-313,1335.1,H-313,Harappa,TAB:I,1,yes,+400-740-176+
H-314,1336.1,H-314,Harappa,TAB:I,1,yes,+400-740-176+
H-315,1337.1,H-315,Harappa,TAB:I,1,yes,+400-740-176+
H-316,1338.1,H-316,Harappa,TAB:I,1,yes,+400-740-176+
H-317,1339.1,H-317,Harappa,TAB:I,1,yes,+400-740-176+
H-322,1344.1,H-322,Harappa,TAB:I,1,yes,+400-740-032-028+
H-324,1346.1,H-324,Harappa,TAB:I,1,yes,+400-156-384-031+
H-328,1350.2,H-328,Harappa,TAB:I,2,no,+400-741-717-235+
H-341,1362.1,H-341,Harappa,TAB:I,1,yes,+400-740-336-176+
H-351,1370.1,H-351,Harappa,TAB:I,1,yes,+400-740-032-060-013+
H-353,1372.1,H-353,Harappa,TAB:I,1,yes,+400-740-176+
H-355,1374.1,H-355,Harappa,TAB:I,1,yes,+400-740-176+
H-356,1375.2,H-356,Harappa,TAB:I,2,no,+400-740-176+
H-357,1376.1,H-357,Harappa,TAB:I,1,yes,+400-740-176+
H-358,1377.1,H-358,Harappa,TAB:I,1,yes,+400-156-435-255+
H-761,1653.1,H-761,Harappa,TAB:B,1,yes,+400-156-435-255+
H-761,1653.2,H-761,Harappa,TAB:B,2,no,+400-154-440-220+
H-767,1659.1,H-767,Harappa,TAB:B,1,yes,+400-740-220-415-798+
H-774,1666.1,H-774,Harappa,TAB:B,1,yes,+400-525-550-033-705-240+
H-780,1671.1,H-780,Harappa,TAB:B,1,yes,+740-400-142-061+
H-787,1678.2,H-787,Harappa,TAB:B,2,no,+400-740-176-700-033+
H-789,1680.1,H-789,Harappa,TAB:B,1,yes,+400-520-220-016+
H-790,1681.1,H-790,Harappa,TAB:B,1,yes,+400-740-384-033+
H-792,1683.1,H-792,Harappa,TAB:B,1,yes,+400-154-896+
H-793,1684.1,H-793,Harappa,TAB:B,1,yes,+400-154-896+
H-794,1685.1,H-794,Harappa,TAB:B,1,yes,+400-232-235+
H-814,1703.1,H-814,Harappa,TAB:B,1,yes,+400-820-100-415+
H-816,1705.1,H-816,Harappa,TAB:B,1,yes,+400-740-390-590+
H-817,1706.1,H-817,Harappa,TAB:B,1,yes,+400-740-336-018+
H-834,1720.1,H-834,Harappa,TAB:B,1,yes,+400-740-690-436-255+
H-839,1725.2,H-839,Harappa,TAB:B,2,no,+400-140+
H-846,1732.1,H-846,Harappa,TAB:B,1,yes,+400-740-100-031-705+
H-849,1735.1,H-849,Harappa,TAB:B,1,yes,+400-740-892-617+
H-850,1736.1,H-850,Harappa,TAB:B,1,yes,+400-740-892-617+
H-854,1740.1,H-854,Harappa,TAB:B,1,yes,+400-740-335-003+
H-875,1758.1,H-875,Harappa,TAB:B,1,yes,+400-740-840-013+
H-892,1774.1,H-892,Harappa,TAB:I,1,yes,+400-740-336-176+
H-893,1775.1,H-893,Harappa,TAB:I,1,yes,+400-740-337+
H-894,1776.1,H-894,Harappa,TAB:I,1,yes,+400-740-636-240+
H-896,1778.2,H-896,Harappa,TAB:I,2,no,+400-156-435-255+
H-1181,1779.2,H-1181,Harappa,TAB:I,2,no,+400-156-435-255+
H-899,1781.2,H-899,Harappa,TAB:I,2,no,+400-520-231-240+
H-900,1782.1,H-900,Harappa,TAB:I,1,yes,+400-740-817-491+
H-905,1787.2,H-905,Harappa,TAB:I,2,no,+400-740-636-240-031-032-171+
H-912,1793.1,H-912,Harappa,TAB:I,1,yes,+400-740-760-220-416+
H-916,1796.1,H-916,Harappa,TAB:I,1,yes,+400-740-032-059+
H-917,1797.2,H-917,Harappa,TAB:I,2,no,+400-740-032-027+
H-933,1813.2,H-933,Harappa,TAB:I,2,no,+400-740-176+
H-934,1814.2,H-934,Harappa,TAB:I,2,no,+400-740-176+
H-935,1815.1,H-935,Harappa,TAB:I,1,yes,+400-740-176+
H-936,1816.1,H-936,Harappa,TAB:I,1,yes,+400-740-176+
H-943,1823.1,H-943,Harappa,TAB:I,1,yes,+400-158-592+
H-944,1824.1,H-944,Harappa,TAB:I,1,yes,+400-158-592+
H-945,1825.1,H-945,Harappa,TAB:I,1,yes,+400-234+
H-946,1826.2,H-946,Harappa,TAB:I,2,no,+400-234+
H-947,1827.1,H-947,Harappa,TAB:I,1,yes,+400-236+
H-948,1828.1,H-948,Harappa,TAB:I,1,yes,+400-151-229+
H-959,1836.1,H-959,Harappa,TAB:I,1,yes,+400-740-178+
H-960,1837.2,H-960,Harappa,TAB:I,2,no,+400-740-176+
H-962,1839.1,H-962,Harappa,TAB:I,1,yes,+400-740-176+
H-976,1853.1,H-976,Harappa,TAB:I,1,yes,+400-137+
H-978,1855.1,H-978,Harappa,TAB:I,1,yes,+400-740-176+
H-979,1856.2,H-979,Harappa,TAB:I,2,no,+400-740-176+
H-983,1859.1,H-983,Harappa,TAB:I,1,yes,+400-740-637-240+
H-987,1863.3,H-987,Harappa,TAB:I,3,no,+400-740-176+
H-988,1864.2,H-988,Harappa,TAB:I,2,no,+400-740-636-240-031-032-171+
K-68,1926.1,K-68,Kalibangan,TAB:B,1,yes,+400-740-263+
M-470,2955.2,M-470,Mohenjo-daro,TAB:B,2,no,+400-158-806-473+
M-471,2956.2,M-471,Mohenjo-daro,TAB:B,2,no,+400-740-904-798-460-350+
M-1419,3706.2,M-1419,Mohenjo-daro,TAB:B,2,no,+400-158-806-467+
H-1124,3969.1,H-1124,Harappa,TAB:B,1,yes,+400-236-220+
H-1178,4031.1,H-1178,Harappa,TAB:I,1,yes,+400-740-636-240+
H-897,4052.1,H-897,Harappa,TAB:I,1,yes,+400-156-435-255+
H-1191,4056.1,H-1191,Harappa,TAB:I,1,yes,+400-740-760-220-416+
H-1320,4072.1,H-1320,Harappa,TAB:I,1,yes,+400-678+
H-1302,4073.1,H-1302,Harappa,TAB:I,1,yes,+400-740-176+
H-1303,4077.1,H-1303,Harappa,TAB:I,1,yes,+400-740-176+
H-1344,4085.1,H-1344,Harappa,TAB:I,1,yes,+400-740-176+
H-1345,4086.1,H-1345,Harappa,TAB:I,1,yes,+400-740-176+
H-1346,4087.1,H-1346,Harappa,TAB:I,1,yes,+400-740-176+
H-1347,4088.1,H-1347,Harappa,TAB:I,1,yes,+400-740-176+
4290,4290.1,-,Rajanpur,TAB:B,1,yes,+400-740-690-436-255+
H-1304,5470.1,H-1304,Harappa,TAB:I,1,yes,+400-740-176+
