scope,y_binary,y_class,y_after_002,rows,terminal_rows,continuing_rows,terminal_rate,sites,types,symbols,example_cisi
all_002_strict_dedup,other,other,365,3,0,3,0/3,Chanhu-daro;Dholavira;Mohenjo-daro,SEAL:S;TAB:C,Bull1;Bull1:J;Othr,C-1;M-1532;-
all_002_strict_dedup,other,other,374,3,0,3,0/3,Mohenjo-daro,SEAL:S,Bull1:J;Gaur;None,M-66;M-315;M-1089
all_002_strict_dedup,other,other,705,3,0,3,0/3,Dholavira;Mohenjo-daro;Tell Umma,SEAL:S;TAG:L,Bull1;Gaur,M-248;-;-
all_002_strict_dedup,other,other,920,3,0,3,0/3,Chanhu-daro;Harappa;Mohenjo-daro,SEAL:S;TAB:B,Bull1:W;None,C-3;H-2016;M-44
all_002_strict_dedup,other,small_n_closure_like,880,3,3,0,3/3,Mohenjo-daro;Nausharo,SEAL:R;SEAL:S,Bull1:J;Bull1:S;None,M-225;M-1318;Ns-55
all_002_strict_dedup,other,other,055,2,0,2,0/2,Mohenjo-daro;Susa,SEAL:CY;SEAL:S,Bull1:W;Gaur,M-43;-
all_002_strict_dedup,other,other,125,2,0,2,0/2,Harappa;Mohenjo-daro,SEAL:S,Gaur;None,H-611;M-251
all_002_strict_dedup,other,other,190,2,0,2,0/2,Mohenjo-daro,SEAL:S,Bull1;Bull1:L,M-1692;M-639
all_002_strict_dedup,other,other,252,2,0,2,0/2,Kalibangan;Mohenjo-daro,SEAL:S,Bull1;Bull1:J,K-24;M-143
all_002_strict_dedup,other,other,285,2,1,1,1/2,Gonur Depe;Kalibangan,SEAL:S,Elep;Gaur,K-28;-
all_002_strict_dedup,other,other,301,2,0,2,0/2,Mohenjo-daro,SEAL:S,Bull1;Gaur,M-115;M-242
all_002_strict_dedup,other,other,388,2,0,2,0/2,Mohenjo-daro,SEAL:R;SEAL:S,Bull1;None,M-359;M-948
all_002_strict_dedup,other,other,455,2,0,2,0/2,Harappa;Mohenjo-daro,SEAL:S,Bull1:S;Rhin,H-1671;M-1907
all_002_strict_dedup,other,other,502,2,0,2,0/2,Mohenjo-daro,SEAL:R,None,M-358;M-1284
all_002_strict_dedup,other,other,540,2,1,1,1/2,Lothal;Mohenjo-daro,SEAL:R,None,L-112;M-393
all_002_strict_dedup,other,other,550,2,1,1,1/2,Lothal;Mohenjo-daro,SEAL:S;TAG,Bull1;Bull1:J,L-145;M-849
all_002_strict_dedup,other,other,610,2,0,2,0/2,Harappa;Mohenjo-daro,SEAL:S,Bull1:J;Bull1:W,H-74;M-1665
all_002_strict_dedup,other,other,617,2,1,1,1/2,Lothal;Mohenjo-daro,SEAL:S;TAG,-;Bull1:S,L-134;M-81
all_002_strict_dedup,other,other,690,2,0,2,0/2,Harappa,SEAL:S,Bull1:W,H-1657;H-8
all_002_strict_dedup,other,other,741,2,0,2,0/2,Kalibangan;Mohenjo-daro,SEAL:S,Bull1:W;Zebu,K-4;M-1114
all_002_strict_dedup,other,other,798,2,0,2,0/2,Lothal;Mohenjo-daro,SEAL:S,Bull1;Bull1:I,L-47;M-1772
all_002_strict_dedup,other,other,812,2,0,2,0/2,Lothal;Mohenjo-daro,SEAL:S,Bull1:W,L-1;M-756
all_002_strict_dedup,other,other,814,2,0,2,0/2,Mohenjo-daro,SEAL:S,Bull1:S;Bull1:W,M-17;M-92
all_002_strict_dedup,other,other,840,2,0,2,0/2,Mohenjo-daro,SEAL:S;TAB:B,Bull1:J;Scene,M-1791;M-490
all_002_strict_dedup,other,other,850,2,0,2,0/2,Mohenjo-daro,SEAL:S,Bull1:L,M-325;M-325
all_002_strict_dedup,other,other,906,2,0,2,0/2,Mohenjo-daro,SEAL:R;SEAL:S,Bull1:W;None,M-24;M-354
all_002_strict_dedup,other,other,940,2,0,2,0/2,Harappa;Mohenjo-daro,SEAL:S,Bull1:J;Bull1:S,H-468;M-107
all_002_strict_dedup,other,small_n_closure_like,003,2,2,0,2/2,Dholavira;Harappa,POT:T:g;SEAL:R,None,-;-
all_002_strict_dedup,other,small_n_closure_like,112,2,2,0,2/2,Mohenjo-daro,SEAL:S,Bull1:W;Gaur,M-33;M-239
all_002_strict_dedup,branch_family,branch_head,300,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1:W,M-49
all_002_strict_dedup,other,other,001,1,0,1,0/1,Nausharo,SEAL:S,Bull1:I,Ns-56
all_002_strict_dedup,other,other,002,1,1,0,1/1,Harappa,POT:T:g,None,-
all_002_strict_dedup,other,other,004,1,0,1,0/1,Ur,SEAL:C,Gaur,-
all_002_strict_dedup,other,other,033,1,0,1,0/1,Mohenjo-daro,SEAL:S,Elep,M-1155
all_002_strict_dedup,other,other,056,1,0,1,0/1,Kalibangan,TAG,Bull1,K-69
all_002_strict_dedup,other,other,069,1,1,0,1/1,Mohenjo-daro,SEAL:S,Gaur,M-1883
all_002_strict_dedup,other,other,093,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1:W,M-1765
all_002_strict_dedup,other,other,107,1,1,0,1/1,Mohenjo-daro,SEAL:S,Bull1:W,M-35
all_002_strict_dedup,other,other,111,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1:S,M-95
all_002_strict_dedup,other,other,130,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1:W,M-699
all_002_strict_dedup,other,other,156,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1:J,M-1810
all_002_strict_dedup,other,other,168,1,0,1,0/1,Mohenjo-daro,SEAL:S,Elep,M-1159
all_002_strict_dedup,other,other,172,1,0,1,0/1,Harappa,SEAL:S,Bull1:J,H-455
all_002_strict_dedup,other,other,207,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1:I,M-82
all_002_strict_dedup,other,other,233,1,0,1,0/1,Harappa,SEAL:R,None,H-141
all_002_strict_dedup,other,other,257,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1:J,M-154
all_002_strict_dedup,other,other,267,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1:W,M-10
all_002_strict_dedup,other,other,269,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1:W,M-1766
all_002_strict_dedup,other,other,278,1,0,1,0/1,Salut,SEAL:S,Gaur,-
all_002_strict_dedup,other,other,286,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1:S,M-1688
all_002_strict_dedup,other,other,287,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1:S,M-109
all_002_strict_dedup,other,other,291,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1:W,M-628
all_002_strict_dedup,other,other,293,1,0,1,0/1,Harappa,SEAL:R,None,H-1706
all_002_strict_dedup,other,other,295,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1:J,M-181
all_002_strict_dedup,other,other,299,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1:W,M-623
all_002_strict_dedup,other,other,305,1,0,1,0/1,Harappa,SEAL:S,Bull1,H-272
all_002_strict_dedup,other,other,308,1,0,1,0/1,Banawali,SEAL:S,Htgr,B-17
all_002_strict_dedup,other,other,315,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1,M-1002
all_002_strict_dedup,other,other,320,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1:S,M-1668
all_002_strict_dedup,other,other,360,1,0,1,0/1,Kalibangan,TAG:L,Bull1,K-89
all_002_strict_dedup,other,other,392,1,0,1,0/1,Lohumjo-daro,SEAL:S,Bull1:S,Lh-1
all_002_strict_dedup,other,other,400,1,0,1,0/1,Mohenjo-daro,SEAL:S,Rhin,M-1135
all_002_strict_dedup,other,other,407,1,0,1,0/1,Mohenjo-daro,TAB:C,None,M-2055
all_002_strict_dedup,other,other,413,1,0,1,0/1,Mohenjo-daro,SEAL:S,Zebu,M-1894
all_002_strict_dedup,other,other,416,1,1,0,1/1,Harappa,SEAL:S,Bull1:J,H-457
all_002_strict_dedup,other,other,435,1,0,1,0/1,Harappa,SEAL:S,Bull1:W,H-598
all_002_strict_dedup,other,other,456,1,1,0,1/1,Mohenjo-daro,SEAL:S,Elep,M-1150
all_002_strict_dedup,other,other,457,1,1,0,1/1,Dholavira,MISC,-,-
all_002_strict_dedup,other,other,504,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1:W,M-52
all_002_strict_dedup,other,other,518,1,1,0,1/1,Mohenjo-daro,SEAL:S,Tigr,M-1916
all_002_strict_dedup,other,other,527,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1:J,M-40
all_002_strict_dedup,other,other,564,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1:W,M-4
all_002_strict_dedup,other,other,570,1,1,0,1/1,Mohenjo-daro,TAB:B,Bull1,M-2012
all_002_strict_dedup,other,other,575,1,0,1,0/1,Lothal,SEAL:S,Bull1,L-4
all_002_strict_dedup,other,other,577,1,1,0,1/1,Mohenjo-daro,SEAL:S,Bull1,M-957
all_002_strict_dedup,other,other,590,1,0,1,0/1,Mohenjo-daro,SEAL:S,Rhin,M-1909
all_002_strict_dedup,other,other,611,1,0,1,0/1,Harappa,SEAL:S,Bull1:W,H-3
all_002_strict_dedup,other,other,615,1,1,0,1/1,Harappa,SEAL:S,Elep,H-92
all_002_strict_dedup,other,other,629,1,0,1,0/1,Dholavira,SEAL:S,Gaur,-
all_002_strict_dedup,other,other,679,1,1,0,1/1,Mohenjo-daro,SEAL:S,Buff,M-267
all_002_strict_dedup,other,other,693,1,1,0,1/1,Mohenjo-daro,SEAL:S,Bull1:W,M-57
all_002_strict_dedup,other,other,702,1,0,1,0/1,Harappa,SEAL:S,Bull1:W,H-408
all_002_strict_dedup,other,other,717,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1:W,M-1667
all_002_strict_dedup,other,other,727,1,0,1,0/1,Mohenjo-daro,SEAL:S,T-M-T,M-308
all_002_strict_dedup,other,other,762,1,0,1,0/1,Kalibangan,SEAL:S,Bull1:X,K-18
all_002_strict_dedup,other,other,764,1,1,0,1/1,Mohenjo-daro,SEAL:S,Bull1,M-713
all_002_strict_dedup,other,other,768,1,1,0,1/1,Mohenjo-daro,SEAL:S,Bull1:S,M-1759
all_002_strict_dedup,other,other,790,1,0,1,0/1,Mohenjo-daro,BNGL,None,M-1631
all_002_strict_dedup,other,other,803,1,1,0,1/1,Mohenjo-daro,SEAL:S,Bull1:S,M-177
all_002_strict_dedup,other,other,808,1,1,0,1/1,Mohenjo-daro,SEAL:S,Bull1:W,M-833
all_002_strict_dedup,other,other,818,1,1,0,1/1,Mohenjo-daro,SEAL:S,Goat:6,M-272
all_002_strict_dedup,other,other,825,1,1,0,1/1,Harappa,SEAL:S,Bull1:L,H-612
all_002_strict_dedup,other,other,862,1,0,1,0/1,Harappa,SEAL:S,Bull1:W,H-1033
all_002_strict_dedup,other,other,863,1,1,0,1/1,Harappa,SEAL:S,Bull1:W,H-405
all_002_strict_dedup,other,other,892,1,0,1,0/1,Desalpur,TAG,None,Dlp-3
all_002_strict_dedup,other,other,905,1,1,0,1/1,Mohenjo-daro,IMPL,None,M-2128
all_002_strict_dedup,other,other,933,1,1,0,1/1,Harappa,SEAL:S,Bull1:W,H-1049
all_002_strict_dedup,other,other,944,1,0,1,0/1,Mohenjo-daro,SEAL:S,Elep,M-280
all_002_strict_dedup,other,small_n_closure_like,142,1,1,0,1/1,Mohenjo-daro,SEAL:S,Bull1:W,M-1686
all_002_strict_dedup,other,small_n_closure_like,144,1,1,0,1/1,Mohenjo-daro,SEAL:S,Bull1:J,M-130
all_002_strict_dedup,other,small_n_closure_like,221,1,1,0,1/1,Lothal,SEAL:R,None,L-82
all_002_strict_dedup,other,small_n_closure_like,281,1,1,0,1/1,Lakhanjo-daro,SEAL:S,Bull1:S,-
all_002_strict_dedup,other,small_n_closure_like,326,1,1,0,1/1,Mohenjo-daro,TAB:C,None,M-509
all_002_strict_dedup,other,small_n_closure_like,370,1,1,0,1/1,Mohenjo-daro,POT:T:s,None,M-1371
after_032_strict_dedup,closure_family,leaky_closure,861,9,7,2,7/9,Chanhu-daro;Harappa;Mohenjo-daro,SEAL:S,Bull;Bull1;Bull1:J;Bull1:S;Bull1:W;Gaur,C-60;H-444;H-597;M-1763;M-21;M-91;M-240;M-723;M-1044
after_032_strict_dedup,closure_family,leaky_closure,820,7,6,1,6/7,Kalibangan;Mohenjo-daro,SEAL:R;SEAL:S,Bull1:I;Bull1:J;Bull1:T;Bull1:W;None,M-1737;M-1677;M-1728;M-174;M-221;M-375;K-145
after_032_strict_dedup,closure_family,hard_closure,817,4,4,0,4/4,Chanhu-daro;Harappa;Mohenjo-daro,SEAL:R;SEAL:S;TAG:P,Bull1;Bull1:W;None,C-10;H-140;M-722;M-1385
after_032_strict_dedup,branch_family,branch_head,390,2,0,2,0/2,Mohenjo-daro;Unknown,SEAL:S,Bull1:J;Bull1:T,M-70;-
after_032_strict_dedup,branch_family,branch_head,300,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1:W,M-49
after_032_strict_dedup,branch_family,branch_head,368,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1:S,M-36
after_032_strict_dedup,branch_family,branch_head,900,1,0,1,0/1,Mohenjo-daro,SEAL:R,None,M-1358
after_032_strict_dedup,other,other,168,1,0,1,0/1,Mohenjo-daro,SEAL:S,Elep,M-1159
after_032_strict_dedup,other,other,252,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1:J,M-143
after_032_strict_dedup,other,other,690,1,0,1,0/1,Harappa,SEAL:S,Bull1:W,H-1657
after_032_strict_dedup,other,other,717,1,0,1,0/1,Mohenjo-daro,SEAL:S,Bull1:W,M-1667
after_032_strict_dedup,other,other,892,1,0,1,0/1,Desalpur,TAG,None,Dlp-3
after_032_strict_dedup,other,small_n_closure_like,142,1,1,0,1/1,Mohenjo-daro,SEAL:S,Bull1:W,M-1686
after_032_strict_dedup,other,small_n_closure_like,144,1,1,0,1/1,Mohenjo-daro,SEAL:S,Bull1:J,M-130
