date,packet_id,blind_id,cisi,source_view,role,truth_class,target_text,expected_token_count,source_crop,enhanced_crop,masked_ocr_word_boxes,blind_image_sha256,source_note,accepted_claims_increment
2026-05-29,directionality_no_overlay_packet_v2c_ocr_coord_fix_controls,D2_011,M-811,A_diagnostic_v1_failed,primary_target_recut,tier1_route_candidate_v1_target_overcount_failure,+226-032-803+,3,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_811_A_diagnostic_v1_failed_source.png,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_811_A_diagnostic_v1_failed_enhanced_x2.png,0,007b233693156e9ef5b79df5544a2eebdef90a142df2574a99405db4f24c27bf,"Fresh raw-page crop retained as a primary target under the forger protocol, but v1 overcount makes it a high-risk failure witness.",0
2026-05-29,directionality_no_overlay_packet_v2c_ocr_coord_fix_controls,D2_012,H-654,A_recut_signband,primary_target_recut,tier1_directionality_candidate_recut_after_v1_overcount,+405-061-740-806+,4,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/H_654_A_recut_signband_source.png,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/H_654_A_recut_signband_enhanced_x2.png,0,0dfbc969021305df7102ccbff1d089b3de2b57130c02eb84d3a0012575e5ab30,"Tighter H-654 recut after v1 reviewer split 4 vs 5. Single public view, so not paired-view promotion-capable alone.",0
2026-05-29,directionality_no_overlay_packet_v2c_ocr_coord_fix_controls,D2_013,M-525,cisi_pakistan_n40_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+423-003-001-900-740-690-435-255+,8,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_525_cisi_pakistan_n40_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_525_cisi_pakistan_n40_label_masked_context_enhanced_x2.png,5,b04b1f21846731ef095b2b2855c8dc7748e686059b072d7757c3584f803dbe6d,"Forger-recommended routed real negative from the corrected v2 public route probe. Context crop is cut from raw page, with OCR word boxes parsed under the five-coordinate DjVu fix and masked before blinding; still requires human leakage QA.",0
2026-05-29,directionality_no_overlay_packet_v2c_ocr_coord_fix_controls,D2_014,SYN-BLANK-1,synthetic_blank_surface_control,synthetic_blank_auxiliary,auxiliary_control_not_real_negative_denominator,,0,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/SYN_BLANK_1_synthetic_blank_surface_control_source.png,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/SYN_BLANK_1_synthetic_blank_surface_control_enhanced_x2.png,0,466d5a799ce79cef2a72cca8cc9ad62887f2c0a2bce5d2e9915b3f3c827b27d1,Synthetic blank/non-script surface. Reviewers should reject as non-boxable; never counts toward the real-negative denominator.,0
2026-05-29,directionality_no_overlay_packet_v2c_ocr_coord_fix_controls,D2_015,SYN-LEAK-1,synthetic_label_leak_sentinel,synthetic_leak_sentinel_auxiliary,auxiliary_control_not_real_negative_denominator,,0,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/SYN_LEAK_1_synthetic_label_leak_sentinel_source.png,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/SYN_LEAK_1_synthetic_label_leak_sentinel_enhanced_x2.png,0,7eb01e79da492ad807aa7db5f8e21fc95b815324d664529ac806508a27f3b5ac,Deliberate fake metadata leak sentinel. Reviewers must flag label_leak=yes; never counts toward the real-negative denominator.,0
2026-05-29,directionality_no_overlay_packet_v2c_ocr_coord_fix_controls,D2_016,H-158,cisi_india_n237_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+154-806-472-001-740-405-590+,7,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/H_158_cisi_india_n237_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/H_158_cisi_india_n237_label_masked_context_enhanced_x2.png,6,19536a1a63e5b22c49709da9cb4d8b561d683050b75c036d9adf1d45ad4dd823,"Forger-recommended routed real negative from the corrected v2 public route probe. Context crop is cut from raw page, with OCR word boxes parsed under the five-coordinate DjVu fix and masked before blinding; still requires human leakage QA.",0
2026-05-29,directionality_no_overlay_packet_v2c_ocr_coord_fix_controls,D2_017,M-534,cisi_india_n35_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+407-321-407-845-033-705-235+,7,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_534_cisi_india_n35_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_534_cisi_india_n35_label_masked_context_enhanced_x2.png,72,f22de2ef705de8df85714c931db2600e1b13e94736278465efa07f1621fcbd57,"Forger-recommended routed real negative from the corrected v2 public route probe. Context crop is cut from raw page, with OCR word boxes parsed under the five-coordinate DjVu fix and masked before blinding; still requires human leakage QA.",0
2026-05-29,directionality_no_overlay_packet_v2c_ocr_coord_fix_controls,D2_018,M-1523,cisi_pakistan_n253_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+407-585-033-705-233-235-806+,7,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1523_cisi_pakistan_n253_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1523_cisi_pakistan_n253_label_masked_context_enhanced_x2.png,2,dae44b04fb783f12f1602ba43503ebf298b04d5bb9970b1b5083e9c22217b29a,"Forger-recommended routed real negative from the corrected v2 public route probe. Context crop is cut from raw page, with OCR word boxes parsed under the five-coordinate DjVu fix and masked before blinding; still requires human leakage QA.",0
2026-05-29,directionality_no_overlay_packet_v2c_ocr_coord_fix_controls,D2_019,M-567,cisi_india_n34_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+407-061-845-240-798+,5,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_567_cisi_india_n34_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_567_cisi_india_n34_label_masked_context_enhanced_x2.png,135,aeda4d52fe9362c1ac64ac0bfd2e6d665af79215b6600608fdbb5b5146d6ad31,"Forger-recommended routed real negative from the corrected v2 public route probe. Context crop is cut from raw page, with OCR word boxes parsed under the five-coordinate DjVu fix and masked before blinding; still requires human leakage QA.",0
2026-05-29,directionality_no_overlay_packet_v2c_ocr_coord_fix_controls,D2_020,M-1310,A_recut_signband,primary_target_recut,tier1_directionality_candidate_recut_after_v1_edge_fragments,+407-004-001-740-407-590-235+,7,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1310_A_recut_signband_source.png,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1310_A_recut_signband_enhanced_x2.png,0,a1a79584bef26d5cc1e95e8c41b52665f8397cd6abee39e3d1e316803331e3e1,Tighter M-1310 face recut after v1 reviewer noted edge fragments and counted 8 against 7.,0
2026-05-29,directionality_no_overlay_packet_v2c_ocr_coord_fix_controls,D2_021,M-386,cisi_india_n130_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+405-004-001-139+,4,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_386_cisi_india_n130_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_386_cisi_india_n130_label_masked_context_enhanced_x2.png,3,05c7a90e56f9bc199e4f8c47602f7347f3b5078982a2838f04ff896f033cdf45,"Forger-recommended routed real negative from the corrected v2 public route probe. Context crop is cut from raw page, with OCR word boxes parsed under the five-coordinate DjVu fix and masked before blinding; still requires human leakage QA.",0
2026-05-29,directionality_no_overlay_packet_v2c_ocr_coord_fix_controls,D2_022,SYN-BLANK-2,synthetic_blank_surface_control,synthetic_blank_auxiliary,auxiliary_control_not_real_negative_denominator,,0,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/SYN_BLANK_2_synthetic_blank_surface_control_source.png,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/SYN_BLANK_2_synthetic_blank_surface_control_enhanced_x2.png,0,ee2fd57176400cc045c56b489ba8ee86ac82b597d3f3c73082066230403a4140,Synthetic blank/non-script surface. Reviewers should reject as non-boxable; never counts toward the real-negative denominator.,0
2026-05-29,directionality_no_overlay_packet_v2c_ocr_coord_fix_controls,D2_023,M-1315,cisi_pakistan_n202_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+617-142-240+,3,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1315_cisi_pakistan_n202_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1315_cisi_pakistan_n202_label_masked_context_enhanced_x2.png,3,636bb40fccbbcd0ff7df88366c84cdbb1f981d40fd77fdb4f7620dd215c191ed,"Forger-recommended routed real negative from the corrected v2 public route probe. Context crop is cut from raw page, with OCR word boxes parsed under the five-coordinate DjVu fix and masked before blinding; still requires human leakage QA.",0
