"prev","next","frame","row_count","unique_text_count","largest_text_family_count","largest_text_family_share","largest_text","cisi_count","site_count","sites","types"
"<START>","016","<START>-220-016","2","1","2","1","+220-016+","2","1","Harappa","POT:T:s;SEAL:S"
"<START>","033","<START>-220-033","2","1","2","1","+220-033+","2","1","Harappa","POT:T:s"
"<START>","063","<START>-220-063","2","2","1","0.5","+220-063-051+","2","2","Chanhu-daro;Harappa","MISC;SEAL:S"
"<START>","065","<START>-220-065","2","2","1","0.5","]220-065-615-066+","2","1","Mohenjo-daro","SEAL:S"
"<START>","455","<START>-220-455","2","2","1","0.5","+220-455-031-091+","2","2","Karzakan;Mohenjo-daro","SEAL:C;SEAL:S"
"000","240","000-220-240","2","2","1","0.5","]000-220-240-002-000[","2","2","Dholavira;Lothal","TAG"
"001","455","001-220-455","2","2","1","0.5","]000-142-001-220-455-820+","2","2","Kalibangan;Mohenjo-daro","SEAL:R;SEAL:S"
"017","<END>","017-220-<END>","2","2","1","0.5","+407-032-520-095-585-017-220+","2","1","Mohenjo-daro","TAB:C"
"070","032","070-220-032","2","2","1","0.5","+390-070-220-032[","2","1","Mohenjo-daro","SEAL:R;SEAL:S"
"100","<END>","100-220-<END>","2","2","1","0.5","+151-100-220+","2","2","Lothal;Mohenjo-daro","SEAL:S;TAB:B"
"142","<END>","142-220-<END>","2","1","2","1","+455-590-142-220+","2","1","Harappa","TAB:I"
"231","032","231-220-032","2","2","1","0.5","+740-231-220-032-002-817+","2","2","Chanhu-daro;Kalibangan","SEAL:S"
"233","002","233-220-002","2","2","1","0.5","+000-233-220-002-861+","2","2","Lothal;Mohenjo-daro","SEAL:S;TAG"
"235","<END>","235-220-<END>","2","2","1","0.5","]235-220+","2","2","Dholavira;Harappa","SEAL:S;TAB:B"
"240","<END>","240-220-<END>","2","2","1","0.5","+090-740-240-220+","2","2","Farmana;Harappa","SEAL:S;TAB:I"
"320","415","320-220-415","2","2","1","0.5","+520-920-320-220-415[","2","1","Mohenjo-daro","SEAL:S"
"416","415","416-220-415","2","2","1","0.5","]220-416-220-415-741-000[","2","2","Khirsara;Pabumath","SEAL:R;SEAL:S"
"440","032","440-220-032","2","2","1","0.5","+740-440-220-032-741-390-590-032+","2","1","Mohenjo-daro","SEAL:R;SEAL:S"
"520","003","520-220-003","2","2","1","0.5","+520-220-003-741-060-920+","2","1","Mohenjo-daro","SEAL:S"
"520","032","520-220-032","2","2","1","0.5","]000-520-220-032+","2","2","Dholavira;Mohenjo-daro","SEAL:S;TAB:I"
"706","415","706-220-415","2","2","1","0.5","+000-550-033-706-220-415-798+","2","1","Mohenjo-daro","SEAL:R;SEAL:S"
"760","416","760-220-416","2","1","2","1","+400-740-760-220-416+","2","1","Harappa","TAB:I"
"892","920","892-220-920","2","1","2","1","+400-202-892-220-920+","2","1","Harappa","TAB:B"
"<START>","002","<START>-220-002","1","1","1","1","]220-002-368-840-900+","1","1","Lothal","TAG"
"<START>","014","<START>-220-014","1","1","1","1","+220-014+","1","1","Banawali","SEAL:S"
"<START>","017","<START>-220-017","1","1","1","1","+220-017+","1","1","Harappa","SEAL:S"
"<START>","150","<START>-220-150","1","1","1","1","]220-150-000+","1","1","Kalibangan","POT:T:g"
"<START>","233","<START>-220-233","1","1","1","1","+220-233+","1","1","Harappa","TAB:I"
"<START>","416","<START>-220-416","1","1","1","1","]220-416-220-415-741-000[","1","1","Pabumath","SEAL:S"
"<START>","500","<START>-220-500","1","1","1","1","+220-500-520-002-862-032+","1","1","Harappa","SEAL:S"
"<START>","760","<START>-220-760","1","1","1","1","]220-760[","1","1","Harappa","TAB:I"
"<START>","786","<START>-220-786","1","1","1","1","+220-786-255+","1","1","Mohenjo-daro","SEAL:R"
"000","003","000-220-003","1","1","1","1","+000-000-220-003+","1","1","Kalibangan","SEAL:S"
"000","004","000-220-004","1","1","1","1","+740-000-220-004-002-390-095+","1","1","Harappa","TAB:B"
"000","031","000-220-031","1","1","1","1","]220-032/817-000-220-031+","1","1","Mohenjo-daro","SEAL:S"
"000","241","000-220-241","1","1","1","1","]000-220-241-002-000[","1","1","Mohenjo-daro","SEAL:S"
"000","390","000-220-390","1","1","1","1","+000-220-390-440-384+","1","1","Tello","SEAL:S"
"000","617","000-220-617","1","1","1","1","]000-000-220-617[","1","1","Lothal","TAG"
"000","741","000-220-741","1","1","1","1","+000-031-003/000-220-741-703-632+","1","1","Kalibangan","SEAL:S"
"000","832","000-220-832","1","1","1","1","]000-220-832-002-000-000[","1","1","Mohenjo-daro","SEAL"
"000","838","000-220-838","1","1","1","1","]000-220-838-033-705-240+","1","1","Chanhu-daro","SEAL:S"
"000","840","000-220-840","1","1","1","1","]000-220-840[","1","1","Harappa","POT:T:g"
"001","<END>","001-220-<END>","1","1","1","1","+740-554-001-220[","1","1","Mohenjo-daro","SEAL"
"001","033","001-220-033","1","1","1","1","+000-061-032-001-220-033-000+","1","1","Unknown","SEAL:C"
"001","415","001-220-415","1","1","1","1","+740-760-001-220-415-798-803+","1","1","Mohenjo-daro","SEAL:S"
"001","786","001-220-786","1","1","1","1","+405-018-001-220-786-850+","1","1","Mohenjo-daro","SEAL:S"
"002","000","002-220-000","1","1","1","1","+740-760-235-240-002-220-000[","1","1","Harappa","SEAL:S"
"002","627","002-220-627","1","1","1","1","+484-140-002-220-627-615-906-388+","1","1","Mohenjo-daro","TAG:O"
"002","880","002-220-880","1","1","1","1","+740-717-233-002-220-880-689+","1","1","Mohenjo-daro","SEAL:S"
"013","455","013-220-455","1","1","1","1","+154-806-472-013-220-455-806+","1","1","Dholavira","SEAL:R"
"016","382","016-220-382","1","1","1","1","+016-220-382+","1","1","Harappa","POT:T:s"
"017","415","017-220-415","1","1","1","1","+740-575-017-220-415-803+","1","1","Harappa","SEAL:S"
"029","000","029-220-000","1","1","1","1","+740-029-220-000[","1","1","Ra's al-Junayz","POT:T:g"
"031","000","031-220-000","1","1","1","1","+031-220-000-741-850-001-111-003+","1","1","Kot-Diji","POT:T:g"
"032","002","032-220-002","1","1","1","1","+740-803-220-032-220-002-820+","1","1","Mohenjo-daro","SEAL:S"
"032","415","032-220-415","1","1","1","1","+740-904-032-220-415-235-803-002-504-717+","1","1","Mohenjo-daro","SEAL:S"
"033","520","033-220-520","1","1","1","1","]033-220-520-032-000[","1","1","Kalibangan","POT:T:g"
"036","415","036-220-415","1","1","1","1","+740-760-036-220-415-798-002-861+","1","1","Mohenjo-daro","TAB:B"
"055","032","055-220-032","1","1","1","1","+740-055-220-032-798-002-820+","1","1","Mohenjo-daro","SEAL:R"
"055","415","055-220-415","1","1","1","1","+740-482-055-220-415-798-803-742-617+","1","1","Harappa","SEAL:S"
"060","004","060-220-004","1","1","1","1","+520-033-706-060-220-004+","1","1","Mohenjo-daro","SEAL:S"
"060","065","060-220-065","1","1","1","1","+740-575-017-060-220-065-374+","1","1","Mohenjo-daro","SEAL:S"
"074","415","074-220-415","1","1","1","1","+074-220-415+","1","1","Harappa","TAB:I"
"081","<END>","081-220-<END>","1","1","1","1","+740-390-590-741-081-220+","1","1","Mohenjo-daro","SEAL:S"
"091","055","091-220-055","1","1","1","1","+031-093-001-091-220-055+","1","1","Saar","SEAL:C"
"094","032","094-220-032","1","1","1","1","+740-094-220-032-002-144+","1","1","Mohenjo-daro","SEAL:S"
"100","002","100-220-002","1","1","1","1","+090-740-100-220-002-031-165+","1","1","Mohenjo-daro","SEAL:S"
"100","032","100-220-032","1","1","1","1","+090-740-100-220-032-741-361+","1","1","Mohenjo-daro","SEAL:S"
"125","235","125-220-235","1","1","1","1","+740-390-590-125-220-235-002-285+","1","1","Gonur Depe","SEAL:S"
"140","001","140-220-001","1","1","1","1","+565-031-416-140-220-001+","1","1","Mohenjo-daro","SEAL:S"
"140","415","140-220-415","1","1","1","1","+031-625-140-220-415+","1","1","Mohenjo-daro","SEAL:R"
"140","530","140-220-530","1","1","1","1","+140-220/530+","1","1","Harappa","SEAL:S"
"151","<END>","151-220-<END>","1","1","1","1","+151-220+","1","1","Mohenjo-daro","SEAL:S"
"151","016","151-220-016","1","1","1","1","+151-220-016-002-820+","1","1","Harappa","SEAL:S"
"153","032","153-220-032","1","1","1","1","+153-220-032+","1","1","Dholavira","TAB:I"
"175","255","175-220-255","1","1","1","1","+740-760-175-220-255+","1","1","Dholavira","SEAL:S"
"176","803","176-220-803","1","1","1","1","+140-165-740-176-220-803+","1","1","Mohenjo-daro","SEAL:S"
"222","235","222-220-235","1","1","1","1","+740-222-220-235+","1","1","Mohenjo-daro","TAB:C"
"227","000","227-220-000","1","1","1","1","+000-740-227-220-000[","1","1","Mohenjo-daro","SEAL:R"
"231","002","231-220-002","1","1","1","1","+520-033-705-231-220-002-817+","1","1","Mohenjo-daro","SEAL:S"
"231","455","231-220-455","1","1","1","1","+740-000-231-220-455-615-689+","1","1","Mohenjo-daro","SEAL:S"
"232","032","232-220-032","1","1","1","1","+232-220-032-002-168-032+","1","1","Mohenjo-daro","SEAL:S"
"233","<END>","233-220-<END>","1","1","1","1","+740-760-268-233-220+","1","1","Harappa","TAB:B"
"233","001","233-220-001","1","1","1","1","]033-706-233-220-001-820+","1","1","Mohenjo-daro","SEAL:S"
"233","240","233-220-240","1","1","1","1","+520-233-220-240-002-617+","1","1","Lothal","TAG"
"233","415","233-220-415","1","1","1","1","+740-390-590-233-220-415-798-838-002-820+","1","1","Mohenjo-daro","SEAL:S"
"234","002","234-220-002","1","1","1","1","]234-220-002-820[","1","1","Lothal","TAG"
"235","031","235-220-031","1","1","1","1","+409-061-740-235-220-031-002-861-244-165+","1","1","Harappa","SEAL:R"
"236","032","236-220-032","1","1","1","1","+031-850-140-236-220-032-803-002-820+","1","1","Mohenjo-daro","SEAL:S"
"236","741","236-220-741","1","1","1","1","+411-440-236-220-741-634+","1","1","Lothal","SEAL:S"
"240","002","240-220-002","1","1","1","1","+740-760-440-240-220-002-861+","1","1","Mohenjo-daro","SEAL"
"240","255","240-220-255","1","1","1","1","+527-550-240-220-255-812-906-388+","1","1","Mohenjo-daro","SEAL:S"
"240","415","240-220-415","1","1","1","1","+740-690-435-255-240-220-415-806-742-060-920+","1","1","Mohenjo-daro","SEAL:R"
"241","032","241-220-032","1","1","1","1","+241-220-032-002-861+","1","1","Harappa","SEAL:S"
"241","235","241-220-235","1","1","1","1","+241-220-235-803+","1","1","Mohenjo-daro","POT:T:g"
"255","063","255-220-063","1","1","1","1","+740-760-260/220-255-220-063-315+","1","1","Mohenjo-daro","SEAL:S"
"260","255","260-220-255","1","1","1","1","+740-760-260/220-255-220-063-315+","1","1","Mohenjo-daro","SEAL:S"
"286","031","286-220-031","1","1","1","1","+125-435-255-002-286-220-031-012-031-455-033-590+","1","1","Mohenjo-daro","SEAL:S"
"320","<END>","320-220-<END>","1","1","1","1","+550-920-320-220[","1","1","Mohenjo-daro","SEAL"
"335","032","335-220-032","1","1","1","1","+740-760-335-220-032-002-820+","1","1","Mohenjo-daro","SEAL:S"
"335","098","335-220-098","1","1","1","1","+335-220-098-921-861+","1","1","Shikarpur","SEAL:S"
"368","031","368-220-031","1","1","1","1","]000-220-000-368-220-031+","1","1","Banawali","SEAL:S"
"371","415","371-220-415","1","1","1","1","+406-371-220-415-803-742-920-320+","1","1","Mohenjo-daro","SEAL:R"
"388","<END>","388-220-<END>","1","1","1","1","]080-388-220[","1","1","Harappa","POT:T:g"
"388","004","388-220-004","1","1","1","1","+740-388-220-004-060-920+","1","1","Lothal","TAG"
"388","235","388-220-235","1","1","1","1","+740-388-220-235-000[","1","1","Mohenjo-daro","SEAL:S"
"400","428","400-220-428","1","1","1","1","+400-220-428+","1","1","Mohenjo-daro","SEAL:S"
"407","<END>","407-220-<END>","1","1","1","1","+740-407-220[","1","1","Mohenjo-daro","SEAL:R"
"440","413","440-220-413","1","1","1","1","+440-220-413+","1","1","Mohenjo-daro","BNGL"
"440","705","440-220-705","1","1","1","1","+353-090-350-001-440-220-705-000[","1","1","Mohenjo-daro","SEAL:S"
"455","032","455-220-032","1","1","1","1","+710-455-220-032+","1","1","Harappa","TAB:I"
"495","<END>","495-220-<END>","1","1","1","1","+740-463-495-220[","1","1","Harappa","POT:T:g"
"510","065","510-220-065","1","1","1","1","+740-460-510-220-065-393+","1","1","Mohenjo-daro","SEAL:S"
"518","416","518-220-416","1","1","1","1","+156-176-518-220-416-002-615+","1","1","Harappa","SEAL:S"
"520","001","520-220-001","1","1","1","1","+520-220-001-820-220-063-315+","1","1","Mohenjo-daro","SEAL:S"
"520","004","520-220-004","1","1","1","1","+520-220-004-002-817+","1","1","Mohenjo-daro","SEAL:S"
"520","006","520-220-006","1","1","1","1","+520-220-006+","1","1","Kalibangan","SEAL:S"
"520","031","520-220-031","1","1","1","1","+520-220-031-001-706-575+","1","1","Mohenjo-daro","SEAL:S"
"520","034","520-220-034","1","1","1","1","+520-220-034+","1","1","Mohenjo-daro","SEAL:S"
"520","060","520-220-060","1","1","1","1","+621-520-220-060-880+","1","1","Mohenjo-daro","SEAL:S"
"520","368","520-220-368","1","1","1","1","+520-220-368-817+","1","1","Mohenjo-daro","SEAL:S"
"520","621","520-220-621","1","1","1","1","+520-220-621-415-002-257-898+","1","1","Mohenjo-daro","SEAL:S"
"520","742","520-220-742","1","1","1","1","+520-220-742-060-920+","1","1","Nausharo","SEAL:S"
"520","803","520-220-803","1","1","1","1","+520-220-803-741-262+","1","1","Mohenjo-daro","SEAL:S"
"554","415","554-220-415","1","1","1","1","+740-554-220-415-798-060-692+","1","1","Harappa","SEAL:R"
"585","<END>","585-220-<END>","1","1","1","1","+000-585-220+","1","1","Mohenjo-daro","SEAL:S"
"585","000","585-220-000","1","1","1","1","+585-220-000[","1","1","Harappa","SEAL:S"
"585","002","585-220-002","1","1","1","1","+740-585-220/002-130-035-171+","1","1","Mohenjo-daro","SEAL:S"
"590","<END>","590-220-<END>","1","1","1","1","]000-390-590-220[","1","1","Lothal","TAG"
"590","032","590-220-032","1","1","1","1","+740-405-590-220-032-806+","1","1","Mohenjo-daro","SEAL:R"
"590","033","590-220-033","1","1","1","1","+000-590-220-033+","1","1","Rupar","POT:T:g"
"590","235","590-220-235","1","1","1","1","+740-405-590-220-235-803-002-388-385-705-632+","1","1","Mohenjo-daro","SEAL:R"
"590","463","590-220-463","1","1","1","1","+740-390-590-220-463-240-001-820-060+","1","1","Dholavira","SEAL:S"
"626","016","626-220-016","1","1","1","1","+565-740-626-220-016-000[","1","1","Mohenjo-daro","SEAL:S"
"630","002","630-220-002","1","1","1","1","+405-061-033-706-794-630-220-002-820+","1","1","Harappa","SEAL:R"
"630","032","630-220-032","1","1","1","1","+740-794-630-220-032-002-368-906-329+","1","1","Mohenjo-daro","SEAL:S"
"679","240","679-220-240","1","1","1","1","+679-220-240-803-000[","1","1","Harappa","SEAL:S"
"700","004","700-220-004","1","1","1","1","+700-220-004+","1","1","Harappa","TAB:I"
"705","<END>","705-220-<END>","1","1","1","1","+400-525-550-033-705-220+","1","1","Harappa","TAB:B"
"705","000","705-220-000","1","1","1","1","]705-220-000[","1","1","Harappa","TAB:B"
"705","032","705-220-032","1","1","1","1","+520-033-705-220-032/231-072-002-270-633-032+","1","1","Mohenjo-daro","SEAL:S"
"705","803","705-220-803","1","1","1","1","+520-033-705-220-803-055-002-820+","1","1","Mohenjo-daro","SEAL:S"
"706","<END>","706-220-<END>","1","1","1","1","]706-220+","1","1","Rakhigarhi","Unknown"
"717","240","717-220-240","1","1","1","1","+740-717-220-240-002-820+","1","1","Mohenjo-daro","SEAL:S"
"740","002","740-220-002","1","1","1","1","+090-740-220-002-368-550-821+","1","1","Banawali","SEAL:S"
"740","014","740-220-014","1","1","1","1","+090-740-220-014-002-820+","1","1","Mohenjo-daro","SEAL:S"
"740","060","740-220-060","1","1","1","1","+550-740-220-060-297-630+","1","1","Mohenjo-daro","SEAL:S"
"740","233","740-220-233","1","1","1","1","+740-220-233-000+","1","1","Mohenjo-daro","TAB:C"
"740","235","740-220-235","1","1","1","1","+090-740-220-235-853+","1","1","Mohenjo-daro","SEAL:S"
"740","416","740-220-416","1","1","1","1","+400-760-740-220-416+","1","1","Harappa","TAB:I"
"740","741","740-220-741","1","1","1","1","+565-740-220-741-176+","1","1","Mohenjo-daro","SEAL:S"
"740","742","740-220-742","1","1","1","1","+090-740-220-742-534-550-090+","1","1","Mohenjo-daro","SEAL:S"
"760","003","760-220-003","1","1","1","1","+151-760-220-003-002-861+","1","1","Harappa","SEAL:S"
"760","016","760-220-016","1","1","1","1","+740-760-220-016-382-741-572-684+","1","1","Mohenjo-daro","SEAL:S"
"760","892","760-220-892","1","1","1","1","+151-740-760-220/892-590-850-032+","1","1","Mohenjo-daro","SEAL:S"
"767","416","767-220-416","1","1","1","1","+400-740-767-220-416+","1","1","Harappa","TAB:I"
"773","032","773-220-032","1","1","1","1","+740-773-220-032+","1","1","Mohenjo-daro","TAB:C"
"776","016","776-220-016","1","1","1","1","+390-095-909-005-825-776-220-016+","1","1","Chanhu-daro","IMPL"
"785","335","785-220-335","1","1","1","1","+871-947/400-740-543-350-895-785-220-335+","1","1","Kalibangan","SEAL:S"
"790","415","790-220-415","1","1","1","1","+740-900-790-220-415-798-806+","1","1","Mohenjo-daro","SEAL:R"
"794","<END>","794-220-<END>","1","1","1","1","]148-794-220[","1","1","Dholavira","TAG"
"798","<END>","798-220-<END>","1","1","1","1","+527-550-798-220+","1","1","Mohenjo-daro","TAB:B"
"798","032","798-220-032","1","1","1","1","+740-100-798-220-032-002-861-255-416+","1","1","Mohenjo-daro","SEAL:S"
"798","060","798-220-060","1","1","1","1","+740-798-220-060-820+","1","1","Mohenjo-daro","SEAL:S"
"798","415","798-220-415","1","1","1","1","+740-798-220-415-741-072+","1","1","Mohenjo-daro","SEAL:S"
"798","742","798-220-742","1","1","1","1","+740-798-220-742-146+","1","1","Harappa","SEAL:S"
"803","<END>","803-220-<END>","1","1","1","1","+032-031-390-844-000-000-032-803-220+","1","1","Chanhu-daro","TAB:B"
"803","032","803-220-032","1","1","1","1","+740-803-220-032-220-002-820+","1","1","Mohenjo-daro","SEAL:S"
"803","240","803-220-240","1","1","1","1","+740-690-435-255-803-220-240-235-002-817+","1","1","Harappa","SEAL:S"
"803","368","803-220-368","1","1","1","1","+740-803-220-368-000+","1","1","Mohenjo-daro","SEAL:S"
"804","060","804-220-060","1","1","1","1","+930/804-220-060-550+","1","1","Mohenjo-daro","SEAL:S"
"817","632","817-220-632","1","1","1","1","+817-220-632-066-740-760-026-060-257+","1","1","Nindowari-damb","SEAL:S"
"820","063","820-220-063","1","1","1","1","+520-220-001-820-220-063-315+","1","1","Mohenjo-daro","SEAL:S"
"820","065","820-220-065","1","1","1","1","+413-820-220-065-798-550-820+","1","1","Mohenjo-daro","SEAL:S"
"832","003","832-220-003","1","1","1","1","+520-070-255-832-220-003-853+","1","1","Unknown","SEAL:S"
"840","<END>","840-220-<END>","1","1","1","1","+740-032-840-220+","1","1","Mohenjo-daro","TAB:B"
"840","000","840-220-000","1","1","1","1","+740-032-840-220-000[","1","1","Dholavira","TAG:PC"
"840","002","840-220-002","1","1","1","1","+740-032-840-220-002-861+","1","1","Mohenjo-daro","TAB:B"
"845","<END>","845-220-<END>","1","1","1","1","+407-845-220[","1","1","Mohenjo-daro","SEAL:R"
"879","415","879-220-415","1","1","1","1","+740-879-220-415-002-287-140+","1","1","Mohenjo-daro","SEAL:S"
"879","416","879-220-416","1","1","1","1","+244-165/740-879-220-416-803-002-861+","1","1","Dholavira","SEAL:S"
"904","415","904-220-415","1","1","1","1","+832-904-220-415-806-000[","1","1","Harappa","SEAL:S"
"924","528","924-220-528","1","1","1","1","+093-340-924-220-528+","1","1","Ur","SEAL:C"
"927","235","927-220-235","1","1","1","1","+740-927-220-235-000[","1","1","Mohenjo-daro","SEAL:S"
"958","278","958-220-278","1","1","1","1","+520-070-220-032-240-838-741-958-220-278+","1","1","Mohenjo-daro","SEAL:S"
