"id","cisi","site","type","material","shape","condition","complete","dir","class","text","signs","length","occurrence_index","prev2","prev1","sign","next1","next2","before_pair","after_pair","tail_after_032","terminal","tail_string","category","after_220","a_before_220","strict_closed","damaged_or_open","has_slash"
"82.1","C-57","Chanhu-daro","SEAL:S","Steatite","square","Fair","N","R/L","??","+740-032-840-002-296-530-000+","740-032-840-002-296-530-000","7","1","<START>","740","032","840","002","<START>-740","840-002","5","false","840-002-296-530-000","outside_a_220_x_032","false","","true","false","false"
"88.1","C-77","Chanhu-daro","SEAL:S","Steatite","square","Fair","Y","R/L","2L","+151-690/032-031+","151-690-032-031","4","2","151","690","032","031","<END>","151-690","031-<END>","1","false","031","outside_a_220_x_032","false","","true","false","true"
"98.1","C-10","Chanhu-daro","SEAL:S","Steatite","square","Poor","Y","R/L","SP","+740-231-220-032-002-817+","740-231-220-032-002-817","6","3","231","220","032","002","817","231-220","002-817","2","false","002-817","non240_a_220_032","true","231","true","false","false"
"109.1","C-22","Chanhu-daro","SEAL:S","Steatite","square","Good","N","-","2L","+440-390-032/368-390-790+","440-390-032-368-390-790","6","2","440","390","032","368","390","440-390","368-390","3","false","368-390-790","outside_a_220_x_032","false","","true","false","true"
"111.1","C-24","Chanhu-daro","SEAL:S","Steatite","square","Poor","Y","R/L","2L","+390-128-702-032/226-032-013-480-850+","390-128-702-032-226-032-013-480-850","9","3","128","702","032","226","032","128-702","226-032","5","false","226-032-013-480-850","outside_a_220_x_032","false","","true","false","true"
"111.1","C-24","Chanhu-daro","SEAL:S","Steatite","square","Poor","Y","R/L","2L","+390-128-702-032/226-032-013-480-850+","390-128-702-032-226-032-013-480-850","9","5","032","226","032","013","480","032-226","013-480","3","false","013-480-850","outside_a_220_x_032","false","","true","false","true"
"112.1","C-29","Chanhu-daro","SEAL:S","Steatite","square","Poor","N","R/L","??","+032-031-740-384-032/000-000-840-634-032+","032-031-740-384-032-000-000-840-634-032","10","0","<START>","<START>","032","031","740","<START>-<START>","031-740","9","false","031-740-384-032-000-000-840-634-032","outside_a_220_x_032","false","","true","false","true"
"112.1","C-29","Chanhu-daro","SEAL:S","Steatite","square","Poor","N","R/L","??","+032-031-740-384-032/000-000-840-634-032+","032-031-740-384-032-000-000-840-634-032","10","4","740","384","032","000","000","740-384","000-000","5","false","000-000-840-634-032","outside_a_220_x_032","false","","true","false","true"
"112.1","C-29","Chanhu-daro","SEAL:S","Steatite","square","Poor","N","R/L","??","+032-031-740-384-032/000-000-840-634-032+","032-031-740-384-032-000-000-840-634-032","10","9","840","634","032","<END>","<END>","840-634","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","true"
"116.1","C-34","Chanhu-daro","TAB:B","Clay","rectangular","Poor","N","R/L","??","+032-031-390-844-000-000-032-803-220+","032-031-390-844-000-000-032-803-220","9","0","<START>","<START>","032","031","390","<START>-<START>","031-390","8","false","031-390-844-000-000-032-803-220","outside_a_220_x_032","false","","true","false","false"
"116.1","C-34","Chanhu-daro","TAB:B","Clay","rectangular","Poor","N","R/L","??","+032-031-390-844-000-000-032-803-220+","032-031-390-844-000-000-032-803-220","9","6","000","000","032","803","220","000-000","803-220","2","false","803-220","outside_a_220_x_032","false","","true","false","false"
"125.1","Dlp-3","Desalpur","TAG","-","rectangular","Fair","Y","-","SC","+394-032-002-892-740+","394-032-002-892-740","5","1","<START>","394","032","002","892","<START>-394","002-892","3","false","002-892-740","outside_a_220_x_032","false","","true","false","false"
"127.1","-","Dholavira","SEAL:S","Steatite","square","Good","Y","R/L","SS","+151-892-032+","151-892-032","3","2","151","892","032","<END>","<END>","151-892","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"135.1","-","Dholavira","SEAL:R","Clay","rectangular","Fair","Y","R/L","SC","+590-407-790-032+","590-407-790-032","4","3","407","790","032","<END>","<END>","407-790","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"151.1","-","Farmana","SEAL:S","Steatite","square","Fair","Y","R/L","ZN","+220-032+","220-032","2","1","<START>","220","032","<END>","<END>","<START>-220","<END>","0","true","<END>","non240_a_220_032","true","<START>","true","false","false"
"222.1","H-1354","Harappa","TAB:I","Steatite","rectangular","Fair","Y","R/L","SC","+824-032-578-415+","824-032-578-415","4","1","<START>","824","032","578","415","<START>-824","578-415","2","false","578-415","outside_a_220_x_032","false","","true","false","false"
"226.2","H-1119","Harappa","TAB:B","Faience","cylindrical","Poor","N","R/L","??","+400-032-000+","400-032-000","3","1","<START>","400","032","000","<END>","<START>-400","000-<END>","1","false","000","outside_a_220_x_032","false","","true","false","false"
"228.1","-","Harappa","TAB:I","Steatite","oval","Fair","Y","R/L","SC","+740-031-904-001-032+","740-031-904-001-032","5","4","904","001","032","<END>","<END>","904-001","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"228.2","-","Harappa","TAB:I","Steatite","oval","Fair","N","R/L","??","+700-031-000-032+","700-031-000-032","4","3","031","000","032","<END>","<END>","031-000","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"229.1","H-1312","Harappa","TAB:I","Steatite","oval","Fair","Y","R/L","SC","+740-031-904-001-032+","740-031-904-001-032","5","4","904","001","032","<END>","<END>","904-001","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"229.2","H-1312","Harappa","TAB:I","Steatite","oval","Fair","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"249.2","H-1133","Harappa","TAB:B","Faience","conical","Fair","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"255.1","H-1319","Harappa","TAB:I","Steatite","notched oval","Fair","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"257.2","H-1309","Harappa","TAB:I","Steatite","rectangular-round","Fair","Y","L/R","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"264.1","H-1287","Harappa","TAB:I","Steatite","rectangular","Poor","Y","R/L","SC","+400-156-140-032+","400-156-140-032","4","3","156","140","032","<END>","<END>","156-140","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"270.2","H-1156","Harappa","TAB:B","Steatite","rectangular","Poor","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"273.2","H-1102","Harappa","TAB:B","Faience","rectangular","Poor","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"280.2","-","Harappa","TAB:B","Clay","rectangular","Fair","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"282.1","H-1330","Harappa","TAB:I","Steatite","circular","Fair","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"293.1","H-1033","Harappa","SEAL:S","Steatite","square","Poor","Y","R/L","LC","+220-500-520-002-862-032+","220-500-520-002-862-032","6","5","002","862","032","<END>","<END>","002-862","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"313.2","H-1123","Harappa","TAB:B","Faience","rectangular","Good","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"317.1","H-1321","Harappa","TAB:B","Steatite","notched oval","Poor","Y","R/L","SC","+400-226-032+","400-226-032","3","2","400","226","032","<END>","<END>","400-226","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"317.2","H-1321","Harappa","TAB:B","Steatite","notched oval","Poor","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"326.1","-","Harappa","POT:T:g","Clay","-","Poor","Y","NR","NU","+032+","032","1","0","<START>","<START>","032","<END>","<END>","<START>-<START>","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"328.1","-","Harappa","POT:T:g","Clay","-","Poor","Y","NR","NU","+032+","032","1","0","<START>","<START>","032","<END>","<END>","<START>-<START>","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"332.1","-","Harappa","POT:T:g","Clay","-","Poor","Y","NR","NU","+032+","032","1","0","<START>","<START>","032","<END>","<END>","<START>-<START>","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"333.1","-","Harappa","POT:T:g","Clay","-","Poor","Y","NR","NU","+032+","032","1","0","<START>","<START>","032","<END>","<END>","<START>-<START>","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"343.1","-","Harappa","POT:T:g","Clay","-","Poor","Y","NR","NU","+032+","032","1","0","<START>","<START>","032","<END>","<END>","<START>-<START>","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"346.1","-","Harappa","POT:T:g","Clay","-","Poor","Y","NR","NU","+032+","032","1","0","<START>","<START>","032","<END>","<END>","<START>-<START>","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"348.1","-","Harappa","POT:T:g","Clay","-","Poor","Y","NR","NU","+032+","032","1","0","<START>","<START>","032","<END>","<END>","<START>-<START>","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"355.1","-","Harappa","POT:T:g","Clay","-","Poor","Y","NR","NU","+031-999-032+","031-999-032","3","2","031","999","032","<END>","<END>","031-999","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"357.1","-","Harappa","POT:T:g","Clay","-","Poor","Y","NR","NU","+032+","032","1","0","<START>","<START>","032","<END>","<END>","<START>-<START>","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"360.1","-","Harappa","POT:T:g","Clay","-","Poor","Y","NR","NU","+032+","032","1","0","<START>","<START>","032","<END>","<END>","<START>-<START>","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"363.1","-","Harappa","POT:T:g","Clay","-","Poor","Y","NR","NU","+032+","032","1","0","<START>","<START>","032","<END>","<END>","<START>-<START>","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"366.1","-","Harappa","POT:T:g","Clay","-","Poor","Y","NR","NU","+032+","032","1","0","<START>","<START>","032","<END>","<END>","<START>-<START>","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"367.1","-","Harappa","POT:T:g","Clay","-","Poor","Y","NR","NU","+032+","032","1","0","<START>","<START>","032","<END>","<END>","<START>-<START>","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"370.2","H-2016","Harappa","TAB:B","Clay","rectangular","Fair","Y","R/L","MS","+700-032-740-335-575-413+","700-032-740-335-575-413","6","1","<START>","700","032","740","335","<START>-700","740-335","4","false","740-335-575-413","outside_a_220_x_032","false","","true","false","false"
"371.1","H-1771","Harappa","TAB:B","Faience","rectangular","Fair","Y","L/R","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"383.1","H-1773","Harappa","TAB:B","Faience","rectangular","Poor","Y","L/R","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"386.1","H-1853","Harappa","TAB:B","Faience","rectangular","Good","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"400.1","H-1772","Harappa","TAB:B","Faience","rectangular","Good","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"405.2","H-2192","Harappa","TAB:I","Steatite","fish","Fair","Y","R/L","LP","+740-630-240-031-032-171+","740-630-240-031-032-171","6","4","240","031","032","171","<END>","240-031","171-<END>","1","false","171","outside_a_220_x_032","false","","true","false","false"
"407.2","H-2213","Harappa","TAB:I","Steatite","prism","Fair","Y","R/L","SC","+824-032-578-415+","824-032-578-415","4","1","<START>","824","032","578","415","<START>-824","578-415","2","false","578-415","outside_a_220_x_032","false","","true","false","false"
"409.1","H-1942","Harappa","TAB:B","Faience","prism","Good","Y","R/L","NV","+032-700+","032-700","2","0","<START>","<START>","032","700","<END>","<START>-<START>","700-<END>","1","false","700","outside_a_220_x_032","false","","true","false","false"
"411.1","H-1865","Harappa","TAB:B","Faience","rectangular","Fair","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"414.2","H-1915","Harappa","TAB:B","Faience","rectangular","Fair","Y","R/L","SC","+032-920-491+","032-920-491","3","0","<START>","<START>","032","920","491","<START>-<START>","920-491","2","false","920-491","outside_a_220_x_032","false","","true","false","false"
"426.1","H-1714","Harappa","SEAL:R","Steatite","cuboid-convex","Fine","Y","R/L","SC","+407-790-032+","407-790-032","3","2","407","790","032","<END>","<END>","407-790","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"442.1","-","Harappa","POT:T:g","Clay","-","Poor","Y","NR","NU","+032+","032","1","0","<START>","<START>","032","<END>","<END>","<START>-<START>","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"444.1","-","Harappa","POT:T:g","Clay","-","Poor","Y","NR","NU","+032+","032","1","0","<START>","<START>","032","<END>","<END>","<START>-<START>","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"445.1","-","Harappa","POT:T:g","Clay","-","Poor","Y","NR","NU","+032+","032","1","0","<START>","<START>","032","<END>","<END>","<START>-<START>","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"453.1","H-1909","Harappa","TAB:B","Faience","semi-circular","Good","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"463.1","H-1827","Harappa","TAB:B","Faience","rectangular","Good","Y","R/L","VX","+700-032-690-368-817+","700-032-690-368-817","5","1","<START>","700","032","690","368","<START>-700","690-368","3","false","690-368-817","outside_a_220_x_032","false","","true","false","false"
"477.1","H-1804","Harappa","TAB:B","Faience","rectangular","Fair","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"482.1","H-2351","Harappa","POT:T:g","Clay","-","Poor","N","R/L","??","+154-032-000+","154-032-000","3","1","<START>","154","032","000","<END>","<START>-154","000-<END>","1","false","000","outside_a_220_x_032","false","","true","false","false"
"484.2","H-2246","Harappa","TAB:I","Steatite","rectangular","Fair","Y","R/L","SC","+824-032-578-415+","824-032-578-415","4","1","<START>","824","032","578","415","<START>-824","578-415","2","false","578-415","outside_a_220_x_032","false","","true","false","false"
"485.1","H-1953","Harappa","TAB:B","Clay","rectangular","Fair","Y","R/L","VX","+700-032-220+","700-032-220","3","1","<START>","700","032","220","<END>","<START>-700","220-<END>","1","false","220","outside_a_220_x_032","false","","true","false","false"
"490.1","H-2184","Harappa","TAB:I","Steatite","rectangular-round","Fair","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"490.2","H-2184","Harappa","TAB:I","Steatite","rectangular-round","Fair","Y","R/L","SS","+400-740-032-015+","400-740-032-015","4","2","400","740","032","015","<END>","400-740","015-<END>","1","false","015","outside_a_220_x_032","false","","true","false","false"
"493.1","-","Harappa","POT:T:g","Clay","-","Poor","Y","NR","NU","+032+","032","1","0","<START>","<START>","032","<END>","<END>","<START>-<START>","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"497.1","H-1836","Harappa","TAB:B","Faience","rectangular","Poor","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"504.1","H-1932","Harappa","TAB:B","-","prism","Poor","Y","R/L","NV","+032-700+","032-700","2","0","<START>","<START>","032","700","<END>","<START>-<START>","700-<END>","1","false","700","outside_a_220_x_032","false","","true","false","false"
"513.1","H-1671","Harappa","SEAL:S","-","square","Good","Y","R/L","IT","+740-061-002-455-420-032+","740-061-002-455-420-032","6","5","455","420","032","<END>","<END>","455-420","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"519.1","H-2186","Harappa","TAB:I","Steatite","rectangular-round","Fair","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"535.1","H-1977","Harappa","TAB:B","Clay","rectangular","Good","Y","R/L","SS","+740-032-840+","740-032-840","3","1","<START>","740","032","840","<END>","<START>-740","840-<END>","1","false","840","outside_a_220_x_032","false","","true","false","false"
"535.2","H-1977","Harappa","TAB:B","Clay","rectangular","Good","Y","R/L","SS","+740-032-840+","740-032-840","3","1","<START>","740","032","840","<END>","<START>-740","840-<END>","1","false","840","outside_a_220_x_032","false","","true","false","false"
"544.2","H-2115","Harappa","TAB:I","Steatite","rectangular","Good","Y","R/L","SS","+400-740-032-028+","400-740-032-028","4","2","400","740","032","028","<END>","400-740","028-<END>","1","false","028","outside_a_220_x_032","false","","true","false","false"
"548.1","H-1931","Harappa","TAB:B","Faience","prism","Good","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"549.2","H-2208","Harappa","TAB:I","Steatite","prism","Fair","Y","R/L","SS","+400-740-032-027+","400-740-032-027","4","2","400","740","032","027","<END>","400-740","027-<END>","1","false","027","outside_a_220_x_032","false","","true","false","false"
"554.1","H-1906","Harappa","TAB:B","Faience","heart","Fair","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"557.1","H-1855","Harappa","TAB:B","Faience","rectangular","Fair","Y","R/L","NV","+032-700+","032-700","2","0","<START>","<START>","032","700","<END>","<START>-<START>","700-<END>","1","false","700","outside_a_220_x_032","false","","true","false","false"
"567.1","H-1923","Harappa","TAB:B","Faience","circular","Good","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"567.2","H-1923","Harappa","TAB:B","Faience","circular","Good","Y","R/L","SC","+400-740-032-840+","400-740-032-840","4","2","400","740","032","840","<END>","400-740","840-<END>","1","false","840","outside_a_220_x_032","false","","true","false","false"
"569.1","H-1922","Harappa","TAB:B","Faience","circular","Good","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"570.1","H-1797","Harappa","TAB:B","Faience","rectangular","Good","Y","L/R","VN","+032-700+","032-700","2","0","<START>","<START>","032","700","<END>","<START>-<START>","700-<END>","1","false","700","outside_a_220_x_032","false","","true","false","false"
"594.1","H-2022","Harappa","TAB:B","Clay","prism","Fair","Y","R/L","SC","+032-850-031+","032-850-031","3","0","<START>","<START>","032","850","031","<START>-<START>","850-031","2","false","850-031","outside_a_220_x_032","false","","true","false","false"
"596.1","H-2139","Harappa","TAB:I","Steatite","rectangular","Fair","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"599.1","H-1864","Harappa","TAB:B","Faience","rectangular","Fair","Y","R/L","NV","+032-700+","032-700","2","0","<START>","<START>","032","700","<END>","<START>-<START>","700-<END>","1","false","700","outside_a_220_x_032","false","","true","false","false"
"607.1","-","Harappa","POT:T:g","Clay","-","Poor","N","-","??","+032-000+","032-000","2","0","<START>","<START>","032","000","<END>","<START>-<START>","000-<END>","1","false","000","outside_a_220_x_032","false","","true","false","false"
"610.1","-","Harappa","POT:T:g","Clay","-","Poor","Y","NR","NU","+032+","032","1","0","<START>","<START>","032","<END>","<END>","<START>-<START>","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"615.1","-","Harappa","POT:T:g","Clay","-","Poor","Y","NR","NU","+032+","032","1","0","<START>","<START>","032","<END>","<END>","<START>-<START>","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"628.1","H-1899","Harappa","TAB:B","Faience","rectangular-round","Good","Y","R/L","NV","+032-032-700+","032-032-700","3","0","<START>","<START>","032","032","700","<START>-<START>","032-700","2","false","032-700","outside_a_220_x_032","false","","true","false","false"
"628.1","H-1899","Harappa","TAB:B","Faience","rectangular-round","Good","Y","R/L","NV","+032-032-700+","032-032-700","3","1","<START>","032","032","700","<END>","<START>-032","700-<END>","1","false","700","outside_a_220_x_032","false","","true","false","false"
"630.2","H-2207","Harappa","TAB:I","Steatite","prism","Good","Y","R/L","SS","+400-740-032-027+","400-740-032-027","4","2","400","740","032","027","<END>","400-740","027-<END>","1","false","027","outside_a_220_x_032","false","","true","false","false"
"632.1","H-2193","Harappa","TAB:I","Steatite","triangular","Poor","Y","R/L","SC","+590-032-220+","590-032-220","3","1","<START>","590","032","220","<END>","<START>-590","220-<END>","1","false","220","outside_a_220_x_032","false","","true","false","false"
"638.2","H-2209","Harappa","TAB:I","Steatite","prism","Fair","Y","R/L","SS","+400-740-032-025+","400-740-032-025","4","2","400","740","032","025","<END>","400-740","025-<END>","1","false","025","outside_a_220_x_032","false","","true","false","false"
"640.2","H-2108","Harappa","TAB:I","Steatite","rectangular","Fair","Y","R/L","SC","+400-740-032-014+","400-740-032-014","4","2","400","740","032","014","<END>","400-740","014-<END>","1","false","014","outside_a_220_x_032","false","","true","false","false"
"643.1","H-2198","Harappa","TAB:I","Steatite","circular","Good","Y","R/L","SS","+740-255-032+","740-255-032","3","2","740","255","032","<END>","<END>","740-255","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"643.2","H-2198","Harappa","TAB:I","Steatite","circular","Good","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"652.1","H-1841","Harappa","TAB:B","Faience","rectangular","Poor","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"659.2","H-2204","Harappa","TAB:I","Steatite","prism","Good","Y","R/L","SS","+400-740-032-027+","400-740-032-027","4","2","400","740","032","027","<END>","400-740","027-<END>","1","false","027","outside_a_220_x_032","false","","true","false","false"
"672.3","H-2214","Harappa","TAB:I","Steatite","prism","Fair","Y","L/R","SC","+876-032-578-415+","876-032-578-415","4","1","<START>","876","032","578","415","<START>-876","578-415","2","false","578-415","outside_a_220_x_032","false","","true","false","false"
"674.1","H-2129","Harappa","TAB:I","Steatite","rectangular","Poor","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"679.1","H-2217","Harappa","TAB:I","Steatite","prism","Good","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"679.2","H-2217","Harappa","TAB:I","Steatite","prism","Good","Y","R/L","SC","+400-854-032+","400-854-032","3","2","400","854","032","<END>","<END>","400-854","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"682.1","H-1146","Harappa","TAB:B","-","circular","Fair","Y","R/L","VN","+700-032+","700-032","2","1","<START>","700","032","<END>","<END>","<START>-700","<END>","0","true","<END>","outside_a_220_x_032","false","","true","false","false"
"694.1","H-2187","Harappa","TAB:I","Steatite","unusual","Fair","Y","R/L","SS","+740-032-840+","740-032-840","3","1","<START>","740","032","840","<END>","<START>-740","840-<END>","1","false","840","outside_a_220_x_032","false","","true","false","false"
"697.1","H-2000","Harappa","TAB:B","Clay","cylindrical","Poor","N","-","??","+700-032-000-091+","700-032-000-091","4","1","<START>","700","032","000","091","<START>-700","000-091","2","false","000-091","outside_a_220_x_032","false","","true","false","false"
