"dataset","category","tail_class","y_after_002","y_terminal","post_y_string","next002","core_tail_861_820_817","core_terminal_tail","terminal","before_pair","prev2","prev1","next1","next2","after_pair","tail_string","tail_after_032","text","occurrence_index","row_count","id","ids","cisi","cisis","site","sites","type","types","material","materials","has_slash"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","904-001","904","001","<END>","<END>","<END>","<END>","0","+740-031-904-001-032+","4",,"229.1",,"H-1312",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"229.2",,"H-1312",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"249.2",,"H-1133",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"255.1",,"H-1319",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"257.2",,"H-1309",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","156-140","156","140","<END>","<END>","<END>","<END>","0","+400-156-140-032+","3",,"264.1",,"H-1287",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"270.2",,"H-1156",,"Harappa",,"TAB:B",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"273.2",,"H-1102",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"280.2",,"-",,"Harappa",,"TAB:B",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"282.1",,"H-1330",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","002-862","002","862","<END>","<END>","<END>","<END>","0","+220-500-520-002-862-032+","5",,"293.1",,"H-1033",,"Harappa",,"SEAL:S",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"313.2",,"H-1123",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","400-226","400","226","<END>","<END>","<END>","<END>","0","+400-226-032+","2",,"317.1",,"H-1321",,"Harappa",,"TAB:B",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"317.2",,"H-1321",,"Harappa",,"TAB:B",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-<START>","<START>","<START>","<END>","<END>","<END>","<END>","0","+032+","0",,"326.1",,"-",,"Harappa",,"POT:T:g",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-<START>","<START>","<START>","<END>","<END>","<END>","<END>","0","+032+","0",,"328.1",,"-",,"Harappa",,"POT:T:g",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-<START>","<START>","<START>","<END>","<END>","<END>","<END>","0","+032+","0",,"332.1",,"-",,"Harappa",,"POT:T:g",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-<START>","<START>","<START>","<END>","<END>","<END>","<END>","0","+032+","0",,"333.1",,"-",,"Harappa",,"POT:T:g",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-<START>","<START>","<START>","<END>","<END>","<END>","<END>","0","+032+","0",,"343.1",,"-",,"Harappa",,"POT:T:g",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-<START>","<START>","<START>","<END>","<END>","<END>","<END>","0","+032+","0",,"346.1",,"-",,"Harappa",,"POT:T:g",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-<START>","<START>","<START>","<END>","<END>","<END>","<END>","0","+032+","0",,"348.1",,"-",,"Harappa",,"POT:T:g",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","031-999","031","999","<END>","<END>","<END>","<END>","0","+031-999-032+","2",,"355.1",,"-",,"Harappa",,"POT:T:g",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-<START>","<START>","<START>","<END>","<END>","<END>","<END>","0","+032+","0",,"357.1",,"-",,"Harappa",,"POT:T:g",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-<START>","<START>","<START>","<END>","<END>","<END>","<END>","0","+032+","0",,"360.1",,"-",,"Harappa",,"POT:T:g",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-<START>","<START>","<START>","<END>","<END>","<END>","<END>","0","+032+","0",,"363.1",,"-",,"Harappa",,"POT:T:g",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-<START>","<START>","<START>","<END>","<END>","<END>","<END>","0","+032+","0",,"366.1",,"-",,"Harappa",,"POT:T:g",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-<START>","<START>","<START>","<END>","<END>","<END>","<END>","0","+032+","0",,"367.1",,"-",,"Harappa",,"POT:T:g",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-700","<START>","700","740","335","740-335","740-335-575-413","4","+700-032-740-335-575-413+","1",,"370.2",,"H-2016",,"Harappa",,"TAB:B",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"371.1",,"H-1771",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"383.1",,"H-1773",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"386.1",,"H-1853",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"400.1",,"H-1772",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","240-031","240","031","171","<END>","171-<END>","171","1","+740-630-240-031-032-171+","4",,"405.2",,"H-2192",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-824","<START>","824","578","415","578-415","578-415","2","+824-032-578-415+","1",,"407.2",,"H-2213",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-<START>","<START>","<START>","700","<END>","700-<END>","700","1","+032-700+","0",,"409.1",,"H-1942",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"411.1",,"H-1865",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-<START>","<START>","<START>","920","491","920-491","920-491","2","+032-920-491+","0",,"414.2",,"H-1915",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","407-790","407","790","<END>","<END>","<END>","<END>","0","+407-790-032+","2",,"426.1",,"H-1714",,"Harappa",,"SEAL:R",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-<START>","<START>","<START>","<END>","<END>","<END>","<END>","0","+032+","0",,"442.1",,"-",,"Harappa",,"POT:T:g",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-<START>","<START>","<START>","<END>","<END>","<END>","<END>","0","+032+","0",,"444.1",,"-",,"Harappa",,"POT:T:g",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-<START>","<START>","<START>","<END>","<END>","<END>","<END>","0","+032+","0",,"445.1",,"-",,"Harappa",,"POT:T:g",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"453.1",,"H-1909",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-700","<START>","700","690","368","690-368","690-368-817","3","+700-032-690-368-817+","1",,"463.1",,"H-1827",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"477.1",,"H-1804",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-154","<START>","154","000","<END>","000-<END>","000","1","+154-032-000+","1",,"482.1",,"H-2351",,"Harappa",,"POT:T:g",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-824","<START>","824","578","415","578-415","578-415","2","+824-032-578-415+","1",,"484.2",,"H-2246",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-700","<START>","700","220","<END>","220-<END>","220","1","+700-032-220+","1",,"485.1",,"H-1953",,"Harappa",,"TAB:B",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"490.1",,"H-2184",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","400-740","400","740","015","<END>","015-<END>","015","1","+400-740-032-015+","2",,"490.2",,"H-2184",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-<START>","<START>","<START>","<END>","<END>","<END>","<END>","0","+032+","0",,"493.1",,"-",,"Harappa",,"POT:T:g",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"497.1",,"H-1836",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-<START>","<START>","<START>","700","<END>","700-<END>","700","1","+032-700+","0",,"504.1",,"H-1932",,"Harappa",,"TAB:B",,"-",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","455-420","455","420","<END>","<END>","<END>","<END>","0","+740-061-002-455-420-032+","5",,"513.1",,"H-1671",,"Harappa",,"SEAL:S",,"-",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"519.1",,"H-2186",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-740","<START>","740","840","<END>","840-<END>","840","1","+740-032-840+","1",,"535.1",,"H-1977",,"Harappa",,"TAB:B",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-740","<START>","740","840","<END>","840-<END>","840","1","+740-032-840+","1",,"535.2",,"H-1977",,"Harappa",,"TAB:B",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","400-740","400","740","028","<END>","028-<END>","028","1","+400-740-032-028+","2",,"544.2",,"H-2115",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"548.1",,"H-1931",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","400-740","400","740","027","<END>","027-<END>","027","1","+400-740-032-027+","2",,"549.2",,"H-2208",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"554.1",,"H-1906",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-<START>","<START>","<START>","700","<END>","700-<END>","700","1","+032-700+","0",,"557.1",,"H-1855",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"567.1",,"H-1923",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","400-740","400","740","840","<END>","840-<END>","840","1","+400-740-032-840+","2",,"567.2",,"H-1923",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"569.1",,"H-1922",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-<START>","<START>","<START>","700","<END>","700-<END>","700","1","+032-700+","0",,"570.1",,"H-1797",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-<START>","<START>","<START>","850","031","850-031","850-031","2","+032-850-031+","0",,"594.1",,"H-2022",,"Harappa",,"TAB:B",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"596.1",,"H-2139",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-<START>","<START>","<START>","700","<END>","700-<END>","700","1","+032-700+","0",,"599.1",,"H-1864",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-<START>","<START>","<START>","000","<END>","000-<END>","000","1","+032-000+","0",,"607.1",,"-",,"Harappa",,"POT:T:g",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-<START>","<START>","<START>","<END>","<END>","<END>","<END>","0","+032+","0",,"610.1",,"-",,"Harappa",,"POT:T:g",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-<START>","<START>","<START>","<END>","<END>","<END>","<END>","0","+032+","0",,"615.1",,"-",,"Harappa",,"POT:T:g",,"Clay",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-<START>","<START>","<START>","032","700","032-700","032-700","2","+032-032-700+","0",,"628.1",,"H-1899",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-032","<START>","032","700","<END>","700-<END>","700","1","+032-032-700+","1",,"628.1",,"H-1899",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","400-740","400","740","027","<END>","027-<END>","027","1","+400-740-032-027+","2",,"630.2",,"H-2207",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-590","<START>","590","220","<END>","220-<END>","220","1","+590-032-220+","1",,"632.1",,"H-2193",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","400-740","400","740","025","<END>","025-<END>","025","1","+400-740-032-025+","2",,"638.2",,"H-2209",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","400-740","400","740","014","<END>","014-<END>","014","1","+400-740-032-014+","2",,"640.2",,"H-2108",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","740-255","740","255","<END>","<END>","<END>","<END>","0","+740-255-032+","2",,"643.1",,"H-2198",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"643.2",,"H-2198",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"652.1",,"H-1841",,"Harappa",,"TAB:B",,"Faience",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","400-740","400","740","027","<END>","027-<END>","027","1","+400-740-032-027+","2",,"659.2",,"H-2204",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_other_tail","","False","","False","False","False","False","<START>-876","<START>","876","578","415","578-415","578-415","2","+876-032-578-415+","1",,"672.3",,"H-2214",,"Harappa",,"TAB:I",,"Steatite",,"false"
"strict_occurrence","outside_a_220_x_032","outside_032_terminal","","False","","False","False","False","True","<START>-700","<START>","700","<END>","<END>","<END>","<END>","0","+700-032+","1",,"674.1",,"H-2129",,"Harappa",,"TAB:I",,"Steatite",,"false"
