id,object,site,type,prev_before_390,branch_after_390,tail_after_branch,terminal_after_branch,is_002390,text
2560.1,M-32,Mohenjo-daro,SEAL:S,<START>,003,002 817,no,no,+390-003-002-817+
2563.1,M-35,Mohenjo-daro,SEAL:S,740,590,233 231 002 107,no,no,+740-390-590-233-231-002-107+
2566.1,M-38,Mohenjo-daro,SEAL:S,002,125,632 032,no,yes,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2576.1,M-48,Mohenjo-daro,SEAL:S,<START>,820,463 060 368 920,no,no,+390-820-463-060-368-920+
2579.1,M-51,Mohenjo-daro,SEAL:S,741,140,<END>,yes,no,+740-798-460-350-235-741-390-140+
2594.1,M-66,Mohenjo-daro,SEAL:S,740,590,235 002 374 309 350,no,no,+740-390-590-235-002-374-309-350+
2598.1,M-70,Mohenjo-daro,SEAL:S,002,692,<END>,yes,yes,+226-032-002-390-692+
2599.1,M-71,Mohenjo-daro,SEAL:S,002,095,<END>,yes,yes,+151-279-142-002-390-095+
2604.1,M-77,Mohenjo-daro,SEAL:S,832,803,002 861,no,no,+832-390-803-002-861+
2610.1,M-83,Mohenjo-daro,SEAL:S,<START>,018,796,no,no,+390-018-796+
2621.1,M-94,Mohenjo-daro,SEAL:S,740,590,220 003,no,no,+740-390-590-220-003+
2622.1,M-95,Mohenjo-daro,SEAL:S,<START>,003,002 111 165,no,no,+390-003-002-111-165+
2628.1,M-101,Mohenjo-daro,SEAL:S,<START>,503,740 168 002 817,no,no,+390-503-740-168-002-817+
2630.1,M-103,Mohenjo-daro,SEAL:S,<START>,004,002 820,no,no,+390-004-002-820+
2642.1,M-115,Mohenjo-daro,SEAL:S,<START>,844,140 176 803 002 301 190,no,no,+390-844-140-176-803-002-301-190+
2646.1,M-119,Mohenjo-daro,SEAL:S,002,125,632 032 900 563,no,yes,+151-337-484-002-390-125-632-032-900-563+
2658.1,M-131,Mohenjo-daro,SEAL:S,740,590,741 390 790,no,no,+740-390-590-741-390-790+
2658.1,M-131,Mohenjo-daro,SEAL:S,741,790,<END>,yes,no,+740-390-590-741-390-790+
2684.1,M-158,Mohenjo-daro,SEAL:S,<START>,016,060 550,no,no,+390-016-060-550+
2691.1,M-166,Mohenjo-daro,SEAL:S,<START>,844,240 806 002 861,no,no,+390-844-240-806-002-861+
2702.1,M-177,Mohenjo-daro,SEAL:S,<START>,003,002 803,no,no,+390-003-002-803+
2704.1,M-178,Mohenjo-daro,SEAL:S,<START>,016,<END>,yes,no,+390-016+
2705.1,M-179,Mohenjo-daro,SEAL:S,<START>,003,<END>,yes,no,+390-003+
2728.1,M-203,Mohenjo-daro,SEAL:S,740,590,741 081 220,no,no,+740-390-590-741-081-220+
2737.1,M-213,Mohenjo-daro,SEAL:S,002,346,<END>,yes,yes,+740-384-002-390-346+
2756.1,M-232,Mohenjo-daro,SEAL:S,002,707,<END>,yes,yes,+236-002-390-707+
2770.1,M-247,Mohenjo-daro,SEAL:S,<START>,017,741 060 920,no,no,+390-017-741-060-920+
2774.1,M-251,Mohenjo-daro,SEAL:S,<START>,003,002 125 350,no,no,+390-003-002-125-350+
2777.1,M-254,Mohenjo-daro,SEAL:S,255,005,<END>,yes,no,+435-255-390-005+
2799.1,M-278,Mohenjo-daro,SEAL:S,621,004,002 817,no,no,+621-390-004-002-817+
2804.1,M-283,Mohenjo-daro,SEAL:S,<START>,018,<END>,yes,no,+390-018+
2812.1,M-292,Mohenjo-daro,SEAL:S,<START>,003,060 920,no,no,+390-003-060-920+
2819.1,M-300,Mohenjo-daro,SEAL:S,740,590,001 060 820,no,no,+740-390-590-001/060-820+
2832.1,M-314,Mohenjo-daro,SEAL:S,817,125,308 809 033 740 760 706 466 520 231 240 235 002 820,no,no,+953-817-390-125-308-809-033/740-760-706-466/520-231-240-235-002-820+
2833.1,M-315,Mohenjo-daro,SEAL:S,<START>,034,002 374 228 741,no,no,+390-034-002-374-228-741+
2834.1,M-316,Mohenjo-daro,SEAL:S,367,710,002 861,no,no,+367-390-710-002-861+
2836.2,M-318,Mohenjo-daro,SEAL:S,<START>,003,002 031 575,no,no,+390-003-002-031-575+
2838.1,M-320,Mohenjo-daro,SEAL:S,741,125,<END>,yes,no,+740-176-741-390-125+
2844.4,M-326,Mohenjo-daro,SEAL:S,<START>,111,000,no,no,+390-111-000+
2907.1,M-411,Mohenjo-daro,SEAL:R,<START>,840,233 240 744 033 272,no,no,+390-840-233-240-744-033-272+
2924.1,M-430,Mohenjo-daro,TAB:B,740,590,033 705 000,no,no,+740-390-590-033-705-000+
2925.1,M-431,Mohenjo-daro,TAB:B,740,590,033 705,no,no,+740-390-590-033-705+
2926.1,M-432,Mohenjo-daro,TAB:B,740,590,033 705,no,no,+740-390-590-033-705+
2927.1,M-433,Mohenjo-daro,TAB:B,740,590,033 705 000,no,no,+740-390-590-033-705-000+
2929.1,M-437,Mohenjo-daro,TAG:P,740,590,002 820,no,no,+740-390-590-002-820+
2975.1,M-494,Mohenjo-daro,TAB:B,<START>,697,151 740 176 798 838,no,no,+390-697-151-740-176-798-838+
2976.1,M-495,Mohenjo-daro,TAB:B,<START>,697,151 740 176 798 838,no,no,+390-697-151-740-176-798-838+
3101.1,M-662,Mohenjo-daro,SEAL:S,<START>,704,001 820,no,no,+390-704-001-820+
3134.1,M-708,Mohenjo-daro,SEAL:S,002,140,<END>,yes,yes,+740-061-002-390-140+
3135.1,M-710,Mohenjo-daro,SEAL:S,400,004,<END>,yes,no,+400-390-004+
3137.1,M-712,Mohenjo-daro,SEAL:S,<START>,003,002 861,no,no,+390-003-002-861+
3143.1,M-719,Mohenjo-daro,SEAL:S,740,630,032,no,no,]000-740-390-630-032+
3148.1,M-724,Mohenjo-daro,SEAL:S,<START>,721,790 002 861,no,no,+390-721-790-002-861+
3158.1,M-734,Mohenjo-daro,SEAL:S,368,590,<END>,yes,no,+033-033-368-390-590+
3159.1,M-735,Mohenjo-daro,SEAL:S,002,125,195,no,yes,+740-760-235-002-390-125-195+
3169.1,M-746,Mohenjo-daro,SEAL:S,741,590,032,no,no,+740-440-220-032-741-390-590-032+
3198.1,M-784,Mohenjo-daro,SEAL:S,368,710,<END>,yes,no,+368-390-710+
3217.1,M-803,Mohenjo-daro,SEAL:S,<START>,005,002 817,no,no,+390-005-002-817+
3226.1,M-813,Mohenjo-daro,SEAL:S,161,590,002 861,no,no,+161-390-590-002-861+
3235.1,M-822,Mohenjo-daro,SEAL:S,<START>,016,<END>,yes,no,+390-016+
3237.1,M-824,Mohenjo-daro,SEAL:S,368,831,<END>,yes,no,+368-390-831+
3246.1,M-834,Mohenjo-daro,SEAL:S,151,590,900 002 861,no,no,+151-390-590-900-002-861+
3263.1,M-851,Mohenjo-daro,SEAL:S,740,590,002 817,no,no,+621-740-390-590-002-817+
3267.1,M-855,Mohenjo-daro,SEAL:S,832,590,002 817 690 544,no,no,+861-260-832-390-590-002-817-690-544+
3281.1,M-872,Mohenjo-daro,SEAL:S,<START>,016,002 824,no,no,+390-016-002-824+
3286.1,M-878,Mohenjo-daro,SEAL:S,741,125,<END>,yes,no,+740-900-005-741-390-125+
3290.1,M-882,Mohenjo-daro,SEAL:S,740,590,000 798 000,no,no,+621/740-390-590-000-798-000+
3305.1,M-900,Mohenjo-daro,SEAL:S,740,590,233 220 415 798 838 002 820,no,no,+740-390-590-233-220-415-798-838-002-820+
3309.1,M-907,Mohenjo-daro,SEAL:S,<START>,844,140 000,no,no,+390-844-140-000[
3310.1,M-909,Mohenjo-daro,SEAL:S,<START>,004,741 575,no,no,+390-004-741-575[
3315.1,M-918,Mohenjo-daro,SEAL:S,<START>,869,002 861,no,no,+390-869-002-861+
3328.1,M-933,Mohenjo-daro,SEAL:S,740,590,741 821,no,no,+740-390-590-741-821+
3335.1,-,Unknown,SEAL:S,002,590,032,no,yes,+740-205-032-002-390-590-032+
3359.1,M-965,Mohenjo-daro,SEAL:S,740,590,032 741 527,no,no,+740-390-590-032-741-527+
3361.1,M-968,Mohenjo-daro,SEAL:S,741,590,<END>,yes,no,+740-923-741-390-590+
3380.1,M-987,Mohenjo-daro,SEAL:S,<START>,016,<END>,yes,no,+390-016+
3390.1,M-998,Mohenjo-daro,SEAL:S,820,590,<END>,yes,no,+820-390-590+
3402.1,M-1017,Mohenjo-daro,SEAL:S,740,590,000,no,no,+740-390-590-000[
3407.1,M-1022,Mohenjo-daro,SEAL,<START>,000,<END>,yes,no,+390-000[
3432.1,M-1058,Mohenjo-daro,SEAL,<START>,000,000,no,no,+390-000-000[
3463.1,M-1089,Mohenjo-daro,SEAL:S,151,590,002 374 840,no,no,+151-390-590-002-374-840+
3470.1,M-1098,Mohenjo-daro,SEAL:S,<START>,005,140 000,no,no,+390-005-140-000[
3530.1,M-1170,Mohenjo-daro,SEAL:S,<START>,403,<END>,yes,no,+390-403+
3551.2,M-1200,Mohenjo-daro,SEAL:S,<START>,017,<END>,yes,no,+390-017+
3559.2,M-1224,Mohenjo-daro,SEAL:S,401,016,853,no,no,+401-390-016-853+
3648.1,M-1343,Mohenjo-daro,SEAL,740,590,235 002 861,no,no,+740-390-590-235-002-861+
3661.1,M-1362,Mohenjo-daro,SEAL:R,<START>,070,220 032,no,no,+390-070-220-032[
3664.1,M-1365,Mohenjo-daro,SEAL:R,<START>,016,<END>,yes,no,+390-016+
3812.1,M-1592,Mohenjo-daro,POT:T:g,740,590,<END>,yes,no,+740-390-590[
3817.1,M-1608,Mohenjo-daro,POT:T:g,<START>,003,000 000,no,no,]390-003-000-000[
3846.1,M-436,Mohenjo-daro,TAB:B,<START>,370,<END>,yes,no,+390-370+
3846.2,M-436,Mohenjo-daro,TAB:B,<START>,370,<END>,yes,no,+390-370+
3855.1,Ns-7,Nausharo,SEAL:S,<START>,003,002 820,no,no,+390-003-002-820+
3875.1,Sktd-1,Surkotada,SEAL:S,<START>,004,002 390 125 820,no,no,+390-004-002-390-125-820+
3875.1,Sktd-1,Surkotada,SEAL:S,002,125,820,no,yes,+390-004-002-390-125-820+
3876.1,Sktd-2,Surkotada,SEAL:S,060,803,740,no,no,+740-060-390-803-740+
3884.1,-,Tell Umma,TAG:L,<START>,004,002 705 127,no,no,+390-004-002-705-127+
3885.1,-,Tello,SEAL:S,220,440,384,no,no,+000-220-390-440-384+
3924.1,H-1046,Harappa,SEAL:S,151,590,<END>,yes,no,+151-390-590+
3931.1,H-1079,Harappa,SEAL:R,740,590,002 000,no,no,+740-390-590-002-000[
3967.1,H-1107,Harappa,TAB:B,740,590,235,no,no,+740-390-590-235+
3990.1,M-1806,Mohenjo-daro,SEAL:S,<START>,003,002 820,no,no,+390-003-002-820+
3991.1,M-1823,Mohenjo-daro,SEAL:S,<START>,004,002 031 376,no,no,+390-004-002-031-376+
3992.1,M-1825,Mohenjo-daro,SEAL:S,002,705,<END>,yes,yes,+157-031-002-390-705+
3993.1,M-1835,Mohenjo-daro,SEAL:S,001,032,<END>,yes,no,+154-900-004-001-390-032+
4071.1,H-1291,Harappa,TAB:I,000,590,<END>,yes,no,]000-390-590[
4155.1,-,Gonur Depe,SEAL:S,740,590,125 220 235 002 285,no,no,+740-390-590-125-220-235-002-285+
4180.1,-,Dholavira,SEAL:S,<START>,006,000,no,no,+390-006-000[
4182.1,-,Dholavira,SEAL:S,740,590,231 002 705 530 904,no,no,+740-390-590-231-002-705-530-904+
4195.1,-,Dholavira,SEAL:S,820,590,002 861,no,no,+820-390-590-002-861+
4198.1,-,Dholavira,SEAL:S,<START>,550,452 060 690,no,no,+390-550-452-060-690+
4203.1,-,Dholavira,SEAL:S,513,017,002 463 575,no,no,+463-513/390-017-002-463-575+
4229.1,-,Dholavira,SEAL:S,740,590,220 463 240 001 820 060,no,no,+740-390-590-220-463-240-001-820-060+
4237.1,-,Dholavira,SEAL:S,002,705,<END>,yes,yes,+151-032-388-002-390-705+
4260.1,-,Dholavira,SEAL:R,<START>,016,002 861,no,no,+390-016-002-861+
4278.1,-,Dholavira,TAB:I,<START>,003,<END>,yes,no,+390-003[
4575.1,H-1292,Harappa,TAB:I,000,520,<END>,yes,no,]740-000-390-520[
5316.1,K-392,Kalibangan,POT:T:g,<START>,017,<END>,yes,no,+390-017+
5353.1,Ns-46,Nausharo,SEAL,<START>,790,<END>,yes,no,+390-790+
5368.1,Ns-67,Nausharo,POT:T:g,151,000,002 000 000,no,no,+000-151-390-000-002-000-000[
5455.1,-,Khirsara,SEAL:S,<START>,016,013 820,no,no,+390-016-013-820+
5465.1,-,Unknown,SEAL:S,<START>,840,741 031 370,no,no,+390-840-741-031-370+
5533.1,M-2094,Mohenjo-daro,ROD,<START>,390,390,no,no,+390-390-390+
5533.1,M-2094,Mohenjo-daro,ROD,390,390,<END>,yes,no,+390-390-390+
