"cisi","lipi_id","lipi_site","lipi_type","lipi_dir","lipi_text_length","lipi_signs","mayig_side_id","mayig_grapheme_count","count_diff_mayig_minus_lipi","count_match","primary_category","flags","status","lipi_text","mayig_graphemes"
"M-25","2553.1","Mohenjo-daro","SEAL:S","R/L","4","4","M-25A","5","1","False","mayig_counts_more","","manual_count_disagreement","+617-243-706-595+","P268 P268 P050 P316 P276"
"M-26","2554.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-26A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+090-740-531-060-692+","P013 P324 P228 P120 P256"
"M-27","2555.1","Mohenjo-daro","SEAL:S","R/L","7","6","M-27A","7","1","False","lipi_unknown_zero","lipi_unknown_zero","manual_collation_required","+565-235-803-741-702-900-000+","P238 P060 P364 P325 P311 P154 P123"
"M-28","2556.1","Mohenjo-daro","SEAL:S","R/L","8","8","M-28A","8","0","True","count_match","mayig_unknown_p000","candidate_with_sensitivity_flag","+892-374-740-760-840-416-002-861+","P000 P103 P324 P332 P349 P095 P122 P385"
"M-29","2557.1","Mohenjo-daro","SEAL:S","R/L","9","9","M-29A","9","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-055-240-235-806-002-220-455-503+","P324 P142 P062 P060 P364 P122 P050 P221 P210"
"M-30","2558.1","Mohenjo-daro","SEAL:S","R/L","7","7","M-30A","7","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-752-017-503-240-235-806+","P324 P332 P127 P210 P062 P060 P364"
"M-31","2559.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-31A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-269-511-233-060-820+","P324 P067 P275 P058 P120 P378"
"M-32","2560.1","Mohenjo-daro","SEAL:S","R/L","4","4","M-32A","4","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+390-003-002-817+","P086 P123 P122 P385"
"M-33","2561.1","Mohenjo-daro","SEAL:S","R/L","7","7","M-33A","7","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-032-923-382-233-002-112+","P324 P145 P175 P111 P058 P122 P041"
"M-34","2562.1","Mohenjo-daro","SEAL:S","R/L","7","7","M-34A","7","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-336-176-002-405-372-374+","P324 P309 P194 P122 P086 P108 P103"
"M-35","2563.1","Mohenjo-daro","SEAL:S","R/L","7","7","M-35A","7","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-390-590-233-231-002-107+","P324 P086 P276 P058 P056 P122 P007"
"M-36","2564.1","Mohenjo-daro","SEAL:S","R/L","9","9","M-36A","9","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-794-630-220-032-002-368-906-329+","P324 P358 P270 P050 P145 P122 P202 P174 P307"
"M-37","2565.1","Mohenjo-daro","SEAL:S","R/L","3","3","M-37A","3","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+520-220-415+","P217 P050 P092"
"M-38","2566.1","Mohenjo-daro","SEAL:S","R/L","13","13","M-38A","13","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-690-435-255-220-032-240-235-002-390-125-632-032+","P324 P256 P188 P073 P050 P145 P062 P060 P122 P086 P035 P270 P145"
"M-39","2567.1","Mohenjo-daro","SEAL:S","R/L","6+?","6","M-39A","7","1","False","lipi_boundary_fragment","lipi_boundary_fragment;mayig_unknown_p000","manual_collation_required","]705-240-235-013-204-346+","P000 P316 P062 P060 P139 P083 P303"
"M-40","2568.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-40A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+391-002-527-475-005+","P089 P122 P301 P186 P125"
"M-41","2569.1","Mohenjo-daro","SEAL:S","R/L","9","9","M-41A","8","-1","False","lipi_counts_more","","manual_count_disagreement","+740-636-240-233-235-002-405-125-820+","P324 P270 P062 P060 P122 P086 P035 P378"
"M-42","2570.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-42A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+527-550-240-002-817+","P301 P230 P062 P122 P385"
"M-43","2571.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-43A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-798-231-002-055-373+","P324 P230 P056 P122 P142 P360"
"M-44","2572.1","Mohenjo-daro","SEAL:S","R/L","8","8","M-44A","8","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-760-033-705-803-002-920-317+","P324 P332 P147 P316 P364 P122 P154 P296"
"M-45","2573.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-45A","7","1","False","mayig_counts_more","","manual_count_disagreement","+617-831-013-302-840-032+","P268 P268 P372 P139 P205 P349 P145"
"M-46","2574.1","Mohenjo-daro","SEAL:S","R/L","8","8","M-46A","8","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-798-240-235-002-220-065-215+","P324 P230 P062 P060 P122 P050 P201 P353"
"M-47","2575.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-47A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-760-235-002-861+","P324 P332 P060 P122 P385"
"M-48","2576.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-48A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+390-820-463-060-368-920+","P086 P378 P215 P120 P202 P154"
"M-49","2577.1","Mohenjo-daro","SEAL:S","R/L","10","10","M-49A","10","0","True","count_match","mayig_unknown_p000","candidate_with_sensitivity_flag","+527-550-240-220-032-002-300-350-032-190+","P000 P230 P062 P050 P145 P122 P205 P091 P145 P076"
"M-50","2578.1","Mohenjo-daro","SEAL:S","R/L","9","9","M-50A","9","0","True","count_match","mayig_unknown_p000","candidate_with_sensitivity_flag","+740-585-017-033-705-240-798-002-820+","P324 P288 P127 P147 P316 P062 P230 P122 P000"
"M-51","2579.1","Mohenjo-daro","SEAL:S","R/L","8","8","M-51A","8","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-798-460-350-235-741-390-140+","P324 P230 P215 P091 P060 P324 P086 P011"
"M-52","2580.1","Mohenjo-daro","SEAL:S","R/L","10","10","M-52A","10","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-904-032-220-415-235-803-002-504-717+","P324 P172 P145 P050 P092 P060 P364 P122 P211 P320"
"M-53","2581.1","Mohenjo-daro","SEAL:S","R/L","9","9","M-53A","9","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+090-740-220-016-002-297-190-920-140+","P013 P324 P050 P126 P122 P205 P076 P154 P011"
"M-54","2582.1","Mohenjo-daro","SEAL:S","R/L","7","7","M-54A","7","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+236-240-033-705-798-002-820+","P051 P062 P147 P316 P230 P122 P378"
"M-55","2583.1","Mohenjo-daro","SEAL:S","R/L","6","5","M-55A","6","1","False","mayig_unknown_p000","mayig_unknown_p000","manual_collation_required","+000-760-463-510-001-692+","P000 P332 P215 P275 P121 P256"
"M-56","2584.1","Mohenjo-daro","SEAL:S","R/L","8","8","M-56A","8","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-877-032-235-060-550-611-840+","P324 P382 P145 P060 P120 P230 P281 P349"
"M-57","2585.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-57A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+226-032-231-798-002-693+","P051 P145 P056 P230 P122 P258"
"M-58","2586.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-58A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-460-503-002-817+","P324 P215 P210 P122 P385"
"M-59","2587.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-59A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+368-003-742-060-920+","P202 P123 P326 P120 P160"
"M-60","2588.1","Mohenjo-daro","SEAL:S","R/L","2","1","M-60A","2","1","False","shared_unknown_zero","lipi_unknown_zero;mayig_unknown_p000","manual_collation_required","+151-000+","P001 P000"
"M-61","2589.1","Mohenjo-daro","SEAL:S","R/L","7","6","M-61A","7","1","False","lipi_unknown_zero","lipi_unknown_zero","manual_collation_required","+740-000-231-220-455-615-689+","P324 P251 P056 P050 P221 P268 P246"
"M-62","2590.1","Mohenjo-daro","SEAL:S","R/L","6","5","M-62A","6","1","False","lipi_unknown_zero","lipi_unknown_zero","manual_collation_required","+226-032-741-550-000-551+","P051 P122 P325 P230 P310 P234"
"M-63","2591.1","Mohenjo-daro","SEAL:S","R/L","4","4","M-63A","4","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+526-555-060-550+","P301 P230 P120 P230"
"M-64","2592.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-64A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+520-033-706-060-220-004+","P217 P147 P316 P120 P050 P124"
"M-65","2593.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-65A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+520-220-031-001-706-575+","P217 P050 P144 P121 P316 P289"
"M-66","2594.1","Mohenjo-daro","SEAL:S","BUS","8","8","M-66A","8","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-390-590-235-002-374-309-350+","P086 P276 P060 P122 P103 P206 P091 P324"
"M-67","2595.1","Mohenjo-daro","SEAL:S","R/L","7","7","M-67A","7","0","True","count_match","lipi_compound_slash","candidate_with_sensitivity_flag","+457/740-165-900-060-111-575+","P324 P342 P154 P120 P040 P289 P223"
"M-68","2596.1","Mohenjo-daro","SEAL:S","R/L","8","8","M-68A","8","0","True","count_match","lipi_compound_slash","candidate_with_sensitivity_flag","+690-518/090-740-176-742-060-920+","P013 P324 P194 P326 P120 P160 P260 P047"
"M-69","2597.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-69A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-803-231-060-692+","P324 P364 P056 P120 P256"
"M-70","2598.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-70A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+226-032-002-390-692+","P051 P145 P122 P086 P256"
"M-71","2599.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-71A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+151-279-142-002-390-095+","P001 P108 P031 P122 P086 P023"
"M-72","2600.1","Mohenjo-daro","SEAL:S","R/L","7","7","M-72A","6","-1","False","lipi_counts_more","","manual_count_disagreement","+740-255-705-140-003-002-861+","P324 P073 P316 P011 P125 P385"
"M-73","2601.1","Mohenjo-daro","SEAL:S","R/L","3","3","M-73A","4","1","False","mayig_unknown_p000","mayig_unknown_p000","manual_collation_required","+400-520-897+","P098 P217 P181 P000"
"M-74","2602.1","Mohenjo-daro","SEAL:S","R/L","4","4","M-74A","4","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+595-575-704-140+","P280 P289 P316 P011"
"M-75","2603.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-75A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+520-220-004-002-817+","P217 P050 P124 P122 P385"
"M-77","2604.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-77A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+832-390-803-002-861+","P366 P086 P364 P122 P385"
"M-78","2605.1","Mohenjo-daro","SEAL:S","R/L","4","4","M-78A","4","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-344-032-545+","P324 P043 P145 P226"
"M-79","2606.1","Mohenjo-daro","SEAL:S","R/L","7","7","M-79A","7","0","True","count_match","lipi_compound_slash","candidate_with_sensitivity_flag","+688/740-100-240-233-002-861+","P324 P012 P062 P058 P122 P385 P247"
"M-80","2607.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-80A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+156-003-060-368-817+","P004 P123 P120 P202 P385"
"M-81","2608.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-81A","7","1","False","mayig_counts_more","","manual_count_disagreement","+527-555-240-002-617-070+","P301 P230 P062 P122 P268 P268 P217"
"M-82","2609.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-82A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-222-002-207-550-390+","P324 P053 P122 P082 P230 P086"
"M-83","2610.1","Mohenjo-daro","SEAL:S","R/L","3","3","M-83A","3","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+390-018-796+","P086 P128 P180"
"M-84","2611.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-84A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-765-240-001-368-920+","P324 P335 P062 P121 P202 P154"
"M-85","2612.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-85A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+520-233-741-081-272+","P217 P058 P325 P251 P070"
"M-86","2613.1","Mohenjo-daro","SEAL:S","R/L","7","7","M-86A","7","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+520-033-705-231-002-820-700+","P217 P147 P316 P056 P122 P378 P310"
"M-87","2614.1","Mohenjo-daro","SEAL:S","R/L","3","3","M-87A","3","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+400-890-104+","P098 P178 P020"
"M-88","2615.1","Mohenjo-daro","SEAL:S","R/L","3","3","M-88A","3","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+527-388-233+","P301 P110 P058"
"M-89","2616.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-89A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-794-734-032-235+","P324 P358 P313 P145 P060"
"M-90","2617.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-90A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-840-013-031-002-817+","P324 P349 P139 P144 P122 P385"
"M-91","2618.1","Mohenjo-daro","SEAL:S","R/L","9","9","M-91A","9","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-100-798-220-032-002-861-255-416+","P324 P009 P230 P050 P145 P122 P385 P073 P095"
"M-92","2619.1","Mohenjo-daro","SEAL:S","R/L","7","7","M-92A","7","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-798-460-350-002-814-084+","P324 P075 P215 P091 P122 P369 P253"
"M-93","2620.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-93A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+156-003-240-741-345+","P004 P123 P062 P325 P043"
"M-94","2621.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-94A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-390-590-220-003+","P324 P086 P276 P050 P123"
"M-95","2622.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-95A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+390-003-002-111-165+","P086 P123 P122 P040 P342"
"M-96","2623.1","Mohenjo-daro","SEAL:S","R/L","2","2","M-96A","2","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+156-004+","P004 P124"
"M-97","2624.1","Mohenjo-daro","SEAL:S","R/L","3","3","M-97A","3","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+156-435-255+","P004 P188 P073"
"M-98","2625.1","Mohenjo-daro","SEAL:S","R/L","4","4","M-98A","3","-1","False","lipi_counts_more","","manual_count_disagreement","+740-585-017-900+","P324 P288 P127"
"M-99","2626.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-99A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-215-002-368-119+","P324 P353 P122 P202 P038"
"M-100","2627.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-100A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+090-740-255-705-002-861+","P013 P324 P073 P316 P122 P385"
"M-101","2628.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-101A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+390-503-740-168-002-817+","P086 P210 P324 P003 P122 P385"
"M-102","2629.1","Mohenjo-daro","SEAL:S","R/L","4","4","M-102A","4","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+154-003-900-545+","P004 P123 P154 P226"
"M-103","2630.1","Mohenjo-daro","SEAL:S","R/L","4","4","M-103A","4","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+390-004-002-820+","P086 P124 P122 P378"
"M-104","2631.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-104A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+090-740-220-235-853+","P013 P324 P050 P060 P359"
"M-105","2632.1","Mohenjo-daro","SEAL:S","R/L","7","5","M-105A","7","2","False","lipi_unknown_zero","lipi_unknown_zero","manual_collation_required","+000-000-803-231-742-060-920+","P324 P324 P364 P056 P326 P120 P154"
"M-106","2633.1","Mohenjo-daro","SEAL:S","R/L","6","4","M-106A","3","-1","False","shared_unknown_zero","lipi_unknown_zero;mayig_unknown_p000","manual_collation_required","+740-760-000-002-000-350+","P324 P332 P000"
"M-107","2634.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-107A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-565-233-002-940-260+","P324 P238 P058 P122 P054 P071"
"M-108","2635.1","Mohenjo-daro","SEAL:S","R/L","7","7","M-108A","7","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+413-820-220-065-798-550-820+","P099 P378 P050 P201 P075 P230 P378"
"M-109","2636.1","Mohenjo-daro","SEAL:S","R/L","7","7","M-109A","7","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-879-220-415-002-287-140+","P324 P381 P050 P092 P122 P084 P011"
"M-110","2637.1","Mohenjo-daro","SEAL:S","R/L","4","2","M-110A","3","1","False","shared_unknown_zero","lipi_unknown_zero;mayig_unknown_p000","manual_collation_required","+000-000-002-817+","P000 P122 P385"
"M-111","2638.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-111A","7","1","False","mayig_counts_more","","manual_count_disagreement","+740-920-320-233-001-821+","P324 P160 P303 P058 P121 P378 P378"
"M-112","2639.1","Mohenjo-daro","SEAL:S","R/L","8","8","M-112A","8","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-760-220-016-382-741-572-684+","P324 P332 P056 P126 P111 P325 P285 P254"
"M-113","2640.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-113A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-032-840-741-060-920+","P324 P145 P349 P325 P120 P156"
"M-114","2641.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-114A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-760-440-002-297-416+","P324 P332 P283 P122 P205 P095"
"M-115","2642.1","Mohenjo-daro","SEAL:S","R/L","8","8","M-115A","8","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+390-844-140-176-803-002-301-190+","P086 P352 P011 P194 P364 P122 P205 P076"
"M-116","2643.1","Mohenjo-daro","SEAL:S","R/L","7","7","M-116A","7","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-100-176-840-013-002-817+","P324 P009 P194 P349 P139 P122 P385"
"M-117","2644.1","Mohenjo-daro","SEAL:S","R/L","8","8","M-117A","8","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+520-033-705-220-803-055-002-820+","P217 P147 P316 P050 P364 P142 P122 P378"
"M-118","2645.1","Mohenjo-daro","SEAL:S","R/L","8","8","M-118A","8","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-772-033-705-233-803-002-861+","P324 P096 P147 P316 P058 P364 P122 P385"
"M-119","2646.1","Mohenjo-daro","SEAL:S","R/L","10","10","M-119A","10","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+151-337-484-002-390-125-632-032-900-563+","P001 P309 P195 P122 P086 P035 P270 P145 P154 P230"
"M-120","2647.1","Mohenjo-daro","SEAL:S","R/L","7","7","M-120A","6","-1","False","lipi_compound_slash","lipi_compound_slash","manual_collation_required","+858/740-100-585-741-840-346+","P324 P009 P288 P325 P349 P044"
"M-121","2648.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-121A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-900-790-233-798+","P324 P154 P355 P058 P075"
"M-122","2649.1","Mohenjo-daro","SEAL:S","R/L","3","3","M-122A","3","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+520-033-705+","P217 P147 P316"
"M-123","2650.1","Mohenjo-daro","SEAL:S","R/L","4","4","M-123A","4","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+400-093-368-072+","P098 P014 P202 P114"
"M-124","2651.1","Mohenjo-daro","SEAL:S","R/L","4","4","M-124A","4","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-923-220-032+","P324 P175 P050 P145"
"M-125","2652.1","Mohenjo-daro","SEAL:S","R/L","5","3","M-125A","3","0","True","count_match","lipi_unknown_zero;mayig_unknown_p000","candidate_with_sensitivity_flag","+000-000-741-031-371+","P000 P144 P108"
"M-126","2653.1","Mohenjo-daro","SEAL:S","R/L","4","4","M-126A","5","1","False","mayig_unknown_p000","mayig_unknown_p000","manual_collation_required","+520-552-060-692+","P000 P230 P234 P120 P256"
"M-127","2654.1","Mohenjo-daro","SEAL:S","R/L","5","5","M-127A","5","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+565-740-220-741-176+","P238 P324 P060 P324 P194"
"M-128","2655.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-128A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-923-803-741-500-705+","P324 P175 P364 P324 P208 P316"
"M-129","2656.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-129A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+520-233-240-235-741-360+","P217 P058 P062 P060 P325 P293"
"M-130","2657.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-130A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-094-220-032-002-144+","P324 P003 P050 P145 P122 P032"
"M-131","2658.1","Mohenjo-daro","SEAL:S","R/L","6","6","M-131A","6","0","True","count_match","","candidate_for_pre_crosswalk_structure_tests","+740-390-590-741-390-790+","P324 P086 P276 P325 P086 P355"
