"prev","next","frame","text","row_count","cisi_count","site_count","sites","types","materials","ids","cisis","exact_triplet_count","exact_frame_triplet_count","companion_classes","companion_texts"
"<START>","033","<START>-220-033","+220-033+","2","2","1","Harappa","POT:T:s","Clay","1017.1;1032.1","H-1736;H-1737","0","0","no_companion_side",""
"<START>","063","<START>-220-063","+220-063-051+","1","1","1","Harappa","SEAL:S","Steatite","1065.1","H-4","0","0","no_companion_side",""
"<START>","063","<START>-220-063","+220-063-706-000+","1","1","1","Chanhu-daro","MISC","Copper","119.1","C-38","0","0","no_companion_side",""
"<START>","065","<START>-220-065","+220-065-864+","1","1","1","Mohenjo-daro","SEAL:S","Steatite","2678.1","M-151","0","0","no_companion_side",""
"<START>","233","<START>-220-233","+220-233+","1","1","1","Harappa","TAB:I","Steatite","416.1","H-2035","0","0","no_companion_side",""
"<START>","455","<START>-220-455","+220-455-031-091+","1","1","1","Karzakan","SEAL:C","-","5227.1","-","0","0","one_sign_or_contains_110","+220-000+ || +740-235+ || +405-844-032-840-002-861+ || +000+ || +520-001+ || +000-000-000+ || +390-003-003+ || +006+ || +236-002-820+ || +740-760-000-742-013/742-552+ || +151-892-032+ || +156-019+ || +093-808+ || +244-165/740-879-220-416-803-002-861+ || +520-460-495+ || +740-416-002-861+ || +520-460+ || +154-388-717-705+ || +590-407-790-032+ || +390-016-002-861+ || +617-142+ || +520-033-706-233+ || +740-100-407-590+ || +520-033[ || +090-740-000[ || +740-000+ || +000-400-350-031-002-817+ || +798-821-031-645-850-820-388-611-820+ || +317-817-000-090+ || ]090-001-350-716+ || +240-220+ || +740-760-445+ || +220-032+ || ]615-715+ || +390-371+ || +390-371+ || ]390-390[ || ]740+ || +400-740-900[ || +236-140-893-861+ || +617-117+ || +031-463-000+ || ]000-055-033-033+ || +000-000-033+ || +415-000-160+ || +692+ || +740-000-892+ || +700-033+ || +000-000-000-000+ || +400-740-100-176-000+ || +000-000-002-257-550+ || +804-740-219+ || +700-033+ || +740-031-904-001-032+ || +700-031-000-032+ || +868-705-590+ || +400-156-435-255+ || +776-495+ || ]740-000+ || +060-550+ || +156-384-031-400+ || +700-033+ || +400-740-176+ || +400-740-176+ || +000-700+ || +154-435-255+ || +700-034+ || +000+ || +700-000+ || +390+ || +740-904-240-002-817+ || +700-032+ || +740-840[ || ]000-033+ || +740-000-828+ || +740-407-590-690-436-255-920-318-220-415-803+ || +400-740-000-000+ || +000-000-000+ || +740-048-741-851+ || +700-033-711-335-575-413+ || +700-033+ || +000-220+ || +740-785-004+ || +740-904-240+ || +033-700+ || +090-740-103-741-066+ || +000-740+ || +032+ || +032+ || ]155-033+ || +700+ || +032+ || +032+ || +034+ || +550+ || ]705+ || +033+ || +740-066-090-400[ || +001+ || +001+ || +002+ || +002+ || +032+ || +004+ || +003+ || +032+ || +033+ || +032+ || +002+ || +002+ || +031+ || +031+ || +004+ || +033+ || +031-999-032+ || +002+ || +032+ || +031+ || +033+ || +032+ || +004+ || +003-000[ || +032+ || +003/003+ || +698+ || +032+ || +032+ || +400-520-000[ || ]556+ || +700+ || +031+ || +400-740-000[ || +413+ || +000-700/700-000+ || +032+ || +031+ || +032+ || +032+ || +033+ || +032+ || +000-000-014+ || +002+ || +034-000+ || +063-700-176-000+ || +111-033+ || +000-480-003-064-002-003-861+ || +000+ || +220+ || +000+ || +158-000-470+ || +032-000+ || +034-705+ || +032+ || +390-000[ || +033+ || +520-235+ || +700+ || +032+ || ]645-032+ || ]740-000-000-002-575-000[ || +002-861-416+ || +700-034+ || +700-000+ || +033+ || +032+ || +034+ || +003+ || +032+ || +033-700+ || +740-175-415-033-001+ || +740-176+ || +000-700+ || +033+ || +413-031+ || +000-740+ || ]400[ || ]000-700-033+ || +000-400+ || +090+ || +000-000-000+ || +034+ || +400-740-017-503+ || +090-740-792+ || +700-034+ || +032+ || +390[ || +390-000+ || +033+ || +033-000-000-000[ || +840+ || +700+ || +001+ || +000-690+ || +740-032-000+ || ]000-630[ || +000+ || +390-004-002-817+ || +002-002+ || +033+ || +032+ || +000-740+ || +032/032+ || +032+ || +000-698+ || +002+ || +032+ || +031-697+ || +032+ || +004+ || +032+ || +032+ || +002+ || +002+ || +032+ || +032+ || +698+ || +000/034+ || +032+ || +003+ || +032+ || +003+ || +220+ || +032+ || +004+ || +032+ || +001+ || +002-000+ || +740-000+ || ]032+ || +002+ || +033+ || ]000-003+ || +645-999-645+ || +416+ || +416+ || +013+ || +440+ || +035/032-001-000/033+ || +002-003+ || +700+ || +400-740-817-491+ || +700-034+ || +033-034+ || ]820[ || +520-920-320-235-175-000-820+ || +740-590-017+ || +390+ || +000-643-240+ || +740-390-590-220-003-060-840-416+ || +000-740-000[ || +000-000-000[ || ]740-564+ || +831-413-840-091+ || ]000-033-000[ || +740-005+ || +706+ || +000-004-067-703-060-900+ || +064-630[ || +064-002+ || +920-130-511-000-002+ || +590-252+ || +585-831+ || +790+ || +836+ || +740-840-416-240-741-500-091+ || +158-032+ || +140-705[ || +740[ || ]000-033-706-806[ || +740-798-405-000[ || +000-000-000-002-000+ || +740-752-615-503+ || +000-000-122-003-002-000+ || +740-752-615-503+ || +294-844+ || +000-240-000+ || +590-906+ || +821-001-480-850-595-391+ || +740-637-240-002-861+ || +740-390-590-033-705-000+ || +000+ || +000-000-000[ || +740-752-615-503+ || +740-690-435-255-231+ || +749-479+ || +000-100-140-002+ || +407-063-845-240-798+ || +422-003+ || +001-740-923-033-705+ || +740-390-590-002-817+ || +530-000-000-000-808[ || +840+ || +840+ || +032+ || +032+ || +740-000-000[ || +740-032-840+ || +740-752-615-503+ || +740-615-503+ || +407-585-033-705-233-235-806+ || ]700-031+ || +621-740-514+ || +520-070-255-832-220-003-853+ || +740-205-032-002-390-590-032+ || ]000-220-000-740-000[ || +740-400-061-299-350-125-176+ || +151-000+ || +160-090-055-060-190+ || +740-029-220-000[ || +405-004+ || ]740-892-517+ || +000-590-220-033+ || +740-877-032-235+ || +740-585-017+ || +302-460-000[ || +700-604-407-090-365-000+ || +416-150-002-055-031-319-001-924+ || +390-004-002-705-127+ || +000-220-390-440-384+ || +000-603-091-190+ || +090-055-000-132-032+ || +740-740-001-550-467+ || +740-585-231-240-060-820+ || +740-100-415-927-060-920-031+ || +740-222-235-002-820+ || +093-340-924-220-528+ || +002-004-328-001-803-415+ || +000-000-004-090-350+ || +136-031+ || +413-933-031+ || +136-031+ || +136-031+ || +931-000+ || +740-000[ || +740-220+ || +740+ || +740-690-435-255-002-267-000-033+ || +520-033-033+ || +740-760-000-000[ || +455-861-000-000-033+ || +520-073+ || ]240-803-002-861+ || +740-390-590-125-220-235-002-285+ || +520-000-002-820+ || +000-000-002-820+ || +326-000[ || +000-000-000[ || +368-005-741-060-920+ || +740-000[ || +064-004-013-740-176+ || +740-760-001-233+ || +400-125-000+ || +423-003-001-423-002-031-104+ || +740-840-416+ || +776-440-003-421+ || +520-033-706+ || +840-527-002-000+ || +031-055-000[ || ]000-520-220-032+ || ]000-000-000-032-840-000+ || +090-160+ || +392-004-002-278-595+ || +921-000[ || +156-142-741-060-920+ || +148-632-031-741-000+ || +520-233-803-060-001-031-905-032-000+ || +740-000[ || ]000-032+ || +390-006-000[ || +817-130+ || +740-390-590-231-002-705-530-904+ || +740-798-233-742-175+ || +740-032-840-803+ || +000-000-000-740-000+ || +360-000[ || +231-850+ || ]000-861[ || +400-392-631-000+ || +005-408+ || ]740-760-382/000-740-220-000[ || +740-000-000-235+ || ]000-820[ || +154-806-472-013-220-455-806+ || +820-390-590-002-861+ || +391-002-365-550+ || +001-000-000-832-904-002-817+ || +390-550-452-060-690+ || +220-000[ || +575-031-002-226-231[ || +832-140-013-547+ || +416+ || +463-513/390-017-002-463-575+ || ]611-000[ || +740-740-000-742+ || +595-134-000[ || ]519+ || +740-176-001-741-703-900-003+ || +740-384-002-629-279+ || +520-033-705-235-803[ || +740-100-235-002-817+ || +001-111-000+ || +151-740-000[ || +000[ || ]267-125-000[ || +520-000-235+ || ]000-000-000-000+ || ]000-350-125-812-033+ || +032-820-000-900+ || +520-742-861+ || +740-760-234-741-740-590+ || ]000-615-000[ || +031-151+ || +740-235-220+ || +156-019+ || +400-740-920+ || +740-630-098-368-824+ || +740-000-000-000-590+ || +740-390-590-220-463-240-001-820-060+ || ]000+ || +000-798-701+ || +520-235+ || +423-003-031-005-130-090-000[ || ]000-000-002-820+ || ]820-066-415+ || +740-760-175-220-255+ || +151-032-388-002-390-705+ || ]000-000-032+ || +090-095-741-374-132+ || +151-142+ || ]000-740-798-000[ || +004-408+ || ]520-175[ || +033-705-233-235-002-457+ || +233-776+ || +740-798[ || +592+ || +806-091-001-368-255-000+ || +740-000-000[ || +705-000-000+ || +520-090-803-564-741-798-892+ || +255-014-000+ || +740-760-175-002-000[ || ]000-572-090+ || +561-092-625-900+ || +000-740-000[ || +236-231-000[ || ]000-091+ || +892-033+ || ]000-625-000+ || +390-016-002-861+ || ]000-625+ || +400-033[ || +520-095-000[ || ]000-590-820-033+ || ]000-001-740-798-235+ || +443[ || +000-000+ || ]000-032+ || +422-003+ || ]806-002-808+ || +365-820-000[ || +405-016-002-861+ || +000-000[ || +832-001-740-176+ || +090[ || ]705-090-705+ || +740-067-900-002-003+ || +390-003[ || +033+ || ]000-125-001-742+ || +032-820-000[ || ]031-000-590+ || ]233-630[ || +590-407-790-001-746+ || +000[ || +153-220-032+ || +740-798-706-061-060-550+ || ]000-892-000[ || +000-000-000-220-240[ || +400-740-690-436-255+ || +700-033+ || ]148-794-220[ || +604[ || +032+ || ]806[ || ]000-000+ || ]365-000[ || +740-000[ || ]220-000-002-000[ || +368-900-000-741-000+ || ]923+ || +136-033+ || +740-519-002-900-630+ || ]706-002-850+ || ]000-840-552+ || +000-032-515+ || +368[ || +365[ || +000-000-700-617-740[ || ]820+ || ]817[ || ]002-817[ || ]820+ || ]000-229-705-906+ || ]032-700+ || +520-000-002-820+ || +520-000-002-000+ || +411+ || +520-000-000-000[ || ]000-705-906-550+ || +090-740-055-000[ || +090-740-000[ || +090-740-000[ || +000-740-055-000[ || +740-585-000[ || +000[ || +740-032-840-220-000[ || +740-760-000[ || +354-794-892[ || +740[ || ]000-240[ || +094-033[ || ]000+ || ]700-090[ || ]000-000-700-000[ || +000-000-000-000[ || ]240-002-031-000[ || +000-705-002-861+ || ]000-032-840-002-000+ || ]000-803-740-000[ || ]740-142-000-002-861-390[ || ]000-100-001-832[ || +032+ || +032+ || +032+ || +032+ || ]000-741-000-000+ || ]803-000[ || ]630-000[ || ]000-032-000[ || +000-575[ || +426-000[ || ]000-317-000+ || +742+ || +742+ || +742+ || +000-000+ || +000-000+ || +820+ || ]000[ || +035+ || +110[ || +354-001-405-840-626-416-220-415-798-745[ || +034-000+ || +155-005+ || +090-740-100-415-240-820-033+ || +000-000-000+ || +520-070-495-240-060-297-368-632-032+ || +292-352-125-741-900-322+ || +520-463-510+ || +740-000-744-013-255+ || +000-090-001-133-384-160+ || +000-061-032-001-220-033-000+ || ]000-001-000-090-000[ || +002/000-090-725-000+ || +033-001-032-091+ || +031-093-001-091-220-055+ || +740/740+ || ]405-090[ || +055-099-121-055-831-031-071+ || +740-061+ || +740-032-029-002-281+ || +740-405-590-060-146+ || +740-000-000[ || +740+ || +156+ || +382-382-382+ || +740-705-000-000+ || +740-706+ || +740-706+ || +740-706-365-000[ || +740-706-365-000[ || ]000-861+ || ]678+ || +033-033[ || ]000-390+ || +740-900-803+ || ]892-000+ || +500[ || +700+ || +000-600-000-000[ || +033-155+ || +400-137+ || ]000-000-220+ || +740-000-000+ || +032+ || +000-176+ || +843+ || ]000-374-000-820+ || ]000-000-416[ || +515-849[ || ]000-740[ || ]220[ || +034+ || ]000-049-002-820+ || +520-031+ || +151-400-142+ || +740-000-032-000-000+ || +520-001+ || +335-220-098-921-861+ || +220+ || +415-820+ || +237+ || +390-016-013-820+ || +520-235-220-032+ || +000-000-315-849[ || +697-031+ || +000-840-140-002-817+ || +390-840-741-031-370+ || +361-002-000-317-688+ || +002-861-000[ || +820-033+ || +455+ || ]411-956[ || ]741[ || ]861[ || ]000-530[ || ]820[ || ]002-920+ || +091+ || ]742[ || +392-861+ || ]000-590[ || +740-000[ || +000+ || +145-139-000-000+ || ]706-220+ || ]000-100-415-240-741-060-920+ || +400-520-000[ || ]000-220+ || +382-520+ || +000-032-705[ || ]000-220-000-368-220-031+ || +390+ || +390+ || +390+ || +031-820-104-013-817+ || +136-002-298-741+ || +520-033-033-741-572-368+ || +740-861-877-741-000+ || +136-002-861+ || +368-415-104-002-824+ || ]231-226-002-031-575+ || ]035-171+ || +000+ || ]740-081[ || ]705-000[ || +000-176-142+ || +740-154-017-060-130-035-171+ || +407-032-520-095-585-017-231+"
"<START>","455","<START>-220-455","+220-455-125-031+","1","1","1","Mohenjo-daro","SEAL:S","Steatite","2195.1","M-1749","0","0","no_companion_side",""
"<START>","500","<START>-220-500","+220-500-520-002-862-032+","1","1","1","Harappa","SEAL:S","Steatite","293.1","H-1033","0","0","no_companion_side",""
"<START>","700","<START>-220-700","+220-700-004+","3","3","1","Harappa","TAB:I","-;Steatite","1324.1;1793.2;4056.2","H-1191;H-302;H-912","0","0","longer_other","+400-740-760-220-416+ || +400-760-740-220-416+"
"<START>","786","<START>-220-786","+220-786-255+","1","1","1","Mohenjo-daro","SEAL:R","Steatite","2910.1","M-414","0","0","no_companion_side",""
"000","000","000-220-000","+000-220-000+","1","1","1","Harappa","POT:T:g","-","166.1","H-1392","1","1","no_companion_side",""
"000","000","000-220-000","+400-202-000-220-000+","1","1","1","Harappa","TAB:B","Steatite","3964.1","H-1103","0","0","no_companion_side",""
"000","000","000-220-000","+442-000-220-000+","1","1","1","Harappa","TAB:B","-","1686.2","H-795","0","0","700_033_branch","+033-700+"
"000","002","000-220-002","+000-220-002-595-632-354-850+","1","1","1","Harappa","SEAL:S","Steatite","1399.1","H-385","0","0","no_companion_side",""
"000","002","000-220-002","+740-923-000-220-002-817+","1","1","1","Harappa","SEAL:S","Steatite","223.1","H-1042","0","0","no_companion_side",""
"000","003","000-220-003","+000-000-220-003+","1","1","1","Kalibangan","SEAL:S","Steatite","1883.1","K-8","0","0","no_companion_side",""
"000","004","000-220-004","+740-000-220-004-002-390-095+","1","1","1","Harappa","TAB:B","Clay","744.2","H-1993","0","0","700_033_branch","+700-033+"
"000","032","000-220-032","+000-000-220-032+","1","1","1","Mohenjo-daro","SEAL:S","Steatite","2501.1","M-1812","0","0","no_companion_side",""
"000","032","000-220-032","+000-220-032-002-817+","1","1","1","Mohenjo-daro","SEAL:S","-","3989.1","M-1788","0","0","no_companion_side",""
"000","390","000-220-390","+000-220-390-440-384+","1","1","1","Tello","SEAL:S","-","3885.1","-","0","0","one_sign_or_contains_110","+220-000+ || +740-235+ || +405-844-032-840-002-861+ || +000+ || +520-001+ || +000-000-000+ || +390-003-003+ || +006+ || +236-002-820+ || +740-760-000-742-013/742-552+ || +151-892-032+ || +156-019+ || +093-808+ || +244-165/740-879-220-416-803-002-861+ || +520-460-495+ || +740-416-002-861+ || +520-460+ || +154-388-717-705+ || +590-407-790-032+ || +390-016-002-861+ || +617-142+ || +520-033-706-233+ || +740-100-407-590+ || +520-033[ || +090-740-000[ || +740-000+ || +000-400-350-031-002-817+ || +798-821-031-645-850-820-388-611-820+ || +317-817-000-090+ || ]090-001-350-716+ || +240-220+ || +740-760-445+ || +220-032+ || ]615-715+ || +390-371+ || +390-371+ || ]390-390[ || ]740+ || +400-740-900[ || +236-140-893-861+ || +617-117+ || +031-463-000+ || ]000-055-033-033+ || +000-000-033+ || +415-000-160+ || +692+ || +740-000-892+ || +700-033+ || +000-000-000-000+ || +400-740-100-176-000+ || +000-000-002-257-550+ || +804-740-219+ || +700-033+ || +740-031-904-001-032+ || +700-031-000-032+ || +868-705-590+ || +400-156-435-255+ || +776-495+ || ]740-000+ || +060-550+ || +156-384-031-400+ || +700-033+ || +400-740-176+ || +400-740-176+ || +000-700+ || +154-435-255+ || +700-034+ || +000+ || +700-000+ || +390+ || +740-904-240-002-817+ || +700-032+ || +740-840[ || ]000-033+ || +740-000-828+ || +740-407-590-690-436-255-920-318-220-415-803+ || +400-740-000-000+ || +000-000-000+ || +740-048-741-851+ || +700-033-711-335-575-413+ || +700-033+ || +000-220+ || +740-785-004+ || +740-904-240+ || +033-700+ || +090-740-103-741-066+ || +000-740+ || +032+ || +032+ || ]155-033+ || +700+ || +032+ || +032+ || +034+ || +550+ || ]705+ || +033+ || +740-066-090-400[ || +001+ || +001+ || +002+ || +002+ || +032+ || +004+ || +003+ || +032+ || +033+ || +032+ || +002+ || +002+ || +031+ || +031+ || +004+ || +033+ || +031-999-032+ || +002+ || +032+ || +031+ || +033+ || +032+ || +004+ || +003-000[ || +032+ || +003/003+ || +698+ || +032+ || +032+ || +400-520-000[ || ]556+ || +700+ || +031+ || +400-740-000[ || +413+ || +000-700/700-000+ || +032+ || +031+ || +032+ || +032+ || +033+ || +032+ || +000-000-014+ || +002+ || +034-000+ || +063-700-176-000+ || +111-033+ || +000-480-003-064-002-003-861+ || +000+ || +220+ || +000+ || +158-000-470+ || +032-000+ || +034-705+ || +032+ || +390-000[ || +033+ || +520-235+ || +700+ || +032+ || ]645-032+ || ]740-000-000-002-575-000[ || +002-861-416+ || +700-034+ || +700-000+ || +033+ || +032+ || +034+ || +003+ || +032+ || +033-700+ || +740-175-415-033-001+ || +740-176+ || +000-700+ || +033+ || +413-031+ || +000-740+ || ]400[ || ]000-700-033+ || +000-400+ || +090+ || +000-000-000+ || +034+ || +400-740-017-503+ || +090-740-792+ || +700-034+ || +032+ || +390[ || +390-000+ || +033+ || +033-000-000-000[ || +840+ || +700+ || +001+ || +000-690+ || +740-032-000+ || ]000-630[ || +000+ || +390-004-002-817+ || +002-002+ || +033+ || +032+ || +000-740+ || +032/032+ || +032+ || +000-698+ || +002+ || +032+ || +031-697+ || +032+ || +004+ || +032+ || +032+ || +002+ || +002+ || +032+ || +032+ || +698+ || +000/034+ || +032+ || +003+ || +032+ || +003+ || +220+ || +032+ || +004+ || +032+ || +001+ || +002-000+ || +740-000+ || ]032+ || +002+ || +033+ || ]000-003+ || +645-999-645+ || +416+ || +416+ || +013+ || +440+ || +035/032-001-000/033+ || +002-003+ || +700+ || +400-740-817-491+ || +700-034+ || +033-034+ || ]820[ || +520-920-320-235-175-000-820+ || +740-590-017+ || +390+ || +000-643-240+ || +740-390-590-220-003-060-840-416+ || +000-740-000[ || +000-000-000[ || ]740-564+ || +831-413-840-091+ || ]000-033-000[ || +740-005+ || +706+ || +000-004-067-703-060-900+ || +064-630[ || +064-002+ || +920-130-511-000-002+ || +590-252+ || +585-831+ || +790+ || +836+ || +740-840-416-240-741-500-091+ || +158-032+ || +140-705[ || +740[ || ]000-033-706-806[ || +740-798-405-000[ || +000-000-000-002-000+ || +740-752-615-503+ || +000-000-122-003-002-000+ || +740-752-615-503+ || +294-844+ || +000-240-000+ || +590-906+ || +821-001-480-850-595-391+ || +740-637-240-002-861+ || +740-390-590-033-705-000+ || +000+ || +000-000-000[ || +740-752-615-503+ || +740-690-435-255-231+ || +749-479+ || +000-100-140-002+ || +407-063-845-240-798+ || +422-003+ || +001-740-923-033-705+ || +740-390-590-002-817+ || +530-000-000-000-808[ || +840+ || +840+ || +032+ || +032+ || +740-000-000[ || +740-032-840+ || +740-752-615-503+ || +740-615-503+ || +407-585-033-705-233-235-806+ || ]700-031+ || +621-740-514+ || +520-070-255-832-220-003-853+ || +740-205-032-002-390-590-032+ || ]000-220-000-740-000[ || +740-400-061-299-350-125-176+ || +151-000+ || +160-090-055-060-190+ || +740-029-220-000[ || +405-004+ || ]740-892-517+ || +000-590-220-033+ || +740-877-032-235+ || +740-585-017+ || +302-460-000[ || +700-604-407-090-365-000+ || +416-150-002-055-031-319-001-924+ || +390-004-002-705-127+ || +000-603-091-190+ || +090-055-000-132-032+ || +740-740-001-550-467+ || +740-585-231-240-060-820+ || +740-100-415-927-060-920-031+ || +740-222-235-002-820+ || +093-340-924-220-528+ || +002-004-328-001-803-415+ || +000-000-004-090-350+ || +136-031+ || +413-933-031+ || +136-031+ || +136-031+ || +931-000+ || +740-000[ || +740-220+ || +740+ || +740-690-435-255-002-267-000-033+ || +520-033-033+ || +740-760-000-000[ || +455-861-000-000-033+ || +520-073+ || ]240-803-002-861+ || +740-390-590-125-220-235-002-285+ || +520-000-002-820+ || +000-000-002-820+ || +326-000[ || +000-000-000[ || +368-005-741-060-920+ || +740-000[ || +064-004-013-740-176+ || +740-760-001-233+ || +400-125-000+ || +423-003-001-423-002-031-104+ || +740-840-416+ || +776-440-003-421+ || +520-033-706+ || +840-527-002-000+ || +031-055-000[ || ]000-520-220-032+ || ]000-000-000-032-840-000+ || +090-160+ || +392-004-002-278-595+ || +921-000[ || +156-142-741-060-920+ || +148-632-031-741-000+ || +520-233-803-060-001-031-905-032-000+ || +740-000[ || ]000-032+ || +390-006-000[ || +817-130+ || +740-390-590-231-002-705-530-904+ || +740-798-233-742-175+ || +740-032-840-803+ || +000-000-000-740-000+ || +360-000[ || +231-850+ || ]000-861[ || +400-392-631-000+ || +005-408+ || ]740-760-382/000-740-220-000[ || +740-000-000-235+ || ]000-820[ || +154-806-472-013-220-455-806+ || +820-390-590-002-861+ || +391-002-365-550+ || +001-000-000-832-904-002-817+ || +390-550-452-060-690+ || +220-000[ || +575-031-002-226-231[ || +832-140-013-547+ || +416+ || +463-513/390-017-002-463-575+ || ]611-000[ || +740-740-000-742+ || +595-134-000[ || ]519+ || +740-176-001-741-703-900-003+ || +740-384-002-629-279+ || +520-033-705-235-803[ || +740-100-235-002-817+ || +001-111-000+ || +151-740-000[ || +000[ || ]267-125-000[ || +520-000-235+ || ]000-000-000-000+ || ]000-350-125-812-033+ || +032-820-000-900+ || +520-742-861+ || +740-760-234-741-740-590+ || ]000-615-000[ || +031-151+ || +740-235-220+ || +156-019+ || +400-740-920+ || +740-630-098-368-824+ || +740-000-000-000-590+ || +740-390-590-220-463-240-001-820-060+ || ]000+ || +000-798-701+ || +520-235+ || +423-003-031-005-130-090-000[ || ]000-000-002-820+ || ]820-066-415+ || +740-760-175-220-255+ || +151-032-388-002-390-705+ || ]000-000-032+ || +090-095-741-374-132+ || +151-142+ || ]000-740-798-000[ || +004-408+ || ]520-175[ || +033-705-233-235-002-457+ || +233-776+ || +740-798[ || +592+ || +806-091-001-368-255-000+ || +740-000-000[ || +705-000-000+ || +520-090-803-564-741-798-892+ || +255-014-000+ || +740-760-175-002-000[ || ]000-572-090+ || +561-092-625-900+ || +000-740-000[ || +236-231-000[ || ]000-091+ || +892-033+ || ]000-625-000+ || +390-016-002-861+ || ]000-625+ || +400-033[ || +520-095-000[ || ]000-590-820-033+ || ]000-001-740-798-235+ || +443[ || +000-000+ || ]000-032+ || +422-003+ || ]806-002-808+ || +365-820-000[ || +405-016-002-861+ || +000-000[ || +832-001-740-176+ || +090[ || ]705-090-705+ || +740-067-900-002-003+ || +390-003[ || +033+ || ]000-125-001-742+ || +032-820-000[ || ]031-000-590+ || ]233-630[ || +590-407-790-001-746+ || +000[ || +153-220-032+ || +740-798-706-061-060-550+ || ]000-892-000[ || +000-000-000-220-240[ || +400-740-690-436-255+ || +700-033+ || ]148-794-220[ || +604[ || +032+ || ]806[ || ]000-000+ || ]365-000[ || +740-000[ || ]220-000-002-000[ || +368-900-000-741-000+ || ]923+ || +136-033+ || +740-519-002-900-630+ || ]706-002-850+ || ]000-840-552+ || +000-032-515+ || +368[ || +365[ || +000-000-700-617-740[ || ]820+ || ]817[ || ]002-817[ || ]820+ || ]000-229-705-906+ || ]032-700+ || +520-000-002-820+ || +520-000-002-000+ || +411+ || +520-000-000-000[ || ]000-705-906-550+ || +090-740-055-000[ || +090-740-000[ || +090-740-000[ || +000-740-055-000[ || +740-585-000[ || +000[ || +740-032-840-220-000[ || +740-760-000[ || +354-794-892[ || +740[ || ]000-240[ || +094-033[ || ]000+ || ]700-090[ || ]000-000-700-000[ || +000-000-000-000[ || ]240-002-031-000[ || +000-705-002-861+ || ]000-032-840-002-000+ || ]000-803-740-000[ || ]740-142-000-002-861-390[ || ]000-100-001-832[ || +032+ || +032+ || +032+ || +032+ || ]000-741-000-000+ || ]803-000[ || ]630-000[ || ]000-032-000[ || +000-575[ || +426-000[ || ]000-317-000+ || +742+ || +742+ || +742+ || +000-000+ || +000-000+ || +820+ || ]000[ || +035+ || +110[ || +354-001-405-840-626-416-220-415-798-745[ || +034-000+ || +155-005+ || +090-740-100-415-240-820-033+ || +000-000-000+ || +520-070-495-240-060-297-368-632-032+ || +292-352-125-741-900-322+ || +520-463-510+ || +740-000-744-013-255+ || +000-090-001-133-384-160+ || +000-061-032-001-220-033-000+ || ]000-001-000-090-000[ || +002/000-090-725-000+ || +220-455-031-091+ || +033-001-032-091+ || +031-093-001-091-220-055+ || +740/740+ || ]405-090[ || +055-099-121-055-831-031-071+ || +740-061+ || +740-032-029-002-281+ || +740-405-590-060-146+ || +740-000-000[ || +740+ || +156+ || +382-382-382+ || +740-705-000-000+ || +740-706+ || +740-706+ || +740-706-365-000[ || +740-706-365-000[ || ]000-861+ || ]678+ || +033-033[ || ]000-390+ || +740-900-803+ || ]892-000+ || +500[ || +700+ || +000-600-000-000[ || +033-155+ || +400-137+ || ]000-000-220+ || +740-000-000+ || +032+ || +000-176+ || +843+ || ]000-374-000-820+ || ]000-000-416[ || +515-849[ || ]000-740[ || ]220[ || +034+ || ]000-049-002-820+ || +520-031+ || +151-400-142+ || +740-000-032-000-000+ || +520-001+ || +335-220-098-921-861+ || +220+ || +415-820+ || +237+ || +390-016-013-820+ || +520-235-220-032+ || +000-000-315-849[ || +697-031+ || +000-840-140-002-817+ || +390-840-741-031-370+ || +361-002-000-317-688+ || +002-861-000[ || +820-033+ || +455+ || ]411-956[ || ]741[ || ]861[ || ]000-530[ || ]820[ || ]002-920+ || +091+ || ]742[ || +392-861+ || ]000-590[ || +740-000[ || +000+ || +145-139-000-000+ || ]706-220+ || ]000-100-415-240-741-060-920+ || +400-520-000[ || ]000-220+ || +382-520+ || +000-032-705[ || ]000-220-000-368-220-031+ || +390+ || +390+ || +390+ || +031-820-104-013-817+ || +136-002-298-741+ || +520-033-033-741-572-368+ || +740-861-877-741-000+ || +136-002-861+ || +368-415-104-002-824+ || ]231-226-002-031-575+ || ]035-171+ || +000+ || ]740-081[ || ]705-000[ || +000-176-142+ || +740-154-017-060-130-035-171+ || +407-032-520-095-585-017-231+"
"000","415","000-220-415","+000-220-415+","1","1","1","Harappa","TAB:I","Steatite","1849.1","H-972","1","1","no_companion_side",""
"000","415","000-220-415","+400-000-220-415+","2","2","1","Mohenjo-daro","ROD","Ivory","4042.1;4044.1","M-2109;M-2111","0","0","no_companion_side",""
"000","741","000-220-741","+000-031-003/000-220-741-703-632+","1","1","1","Kalibangan","SEAL:S","Steatite","1889.1","K-14","0","0","no_companion_side",""
"002","065","002-220-065","+520-231-002-220-065-132-082+","1","1","1","Kalibangan","SEAL:S","Steatite","1899.1","K-25","0","0","no_companion_side",""
"002","065","002-220-065","+740-336-002-220-065-440-455+","1","1","1","Mohenjo-daro","SEAL:S","Faience","2667.1","M-140","0","0","no_companion_side",""
"002","065","002-220-065","+740-798-240-235-002-220-065-215+","1","1","1","Mohenjo-daro","SEAL:S","Steatite","2574.1","M-46","0","0","no_companion_side",""
"002","455","002-220-455","+002-220-455-000+","1","1","1","Harappa","TAB:B","Faience","388.2","H-1874","0","0","700_034_branch","+700-034+"
"002","455","002-220-455","+226-803-002-220-455-520+","1","1","1","Mohenjo-daro","SEAL:S","Steatite","2674.1","M-147","0","0","no_companion_side",""
