sign,any_occurrences,x240_rows,x240_register_cells,x240_source_cells,x240_formula_families,x240_frame_counts,exact_740_x_240_060_692_rows,post_002_861_tail_initial_rows,post_002_861_tail_register_cells,post_002_861_tail_families,bridge_candidate,x240_examples,post_861_examples,x240_register_counts,post_861_register_counts
440,51,1,1,1,1,740_X_240:1,0,0,0,0,false,H-411 +740-440-240-001-820+,,Harappa|SEAL:S|Bull1:J|square:1,
455,37,2,2,2,2,740_X_240:2,0,0,0,0,false,M-808 +740-455-240-235-060-820+;M-1096 +740-455-240-235+,,Mohenjo-daro|SEAL:S|Bull1:J|square:1;Mohenjo-daro|SEAL:S|Gaur|square:1,
482,30,8,6,7,2,740_X_240:8,0,0,0,0,false,H-2010 +740-482-240-002-861+;H-2011 +740-482-240-002-861+;H-806 +740-482-240-002-861+;H-807 +740-482-240-002-861+;H-808 +740-482-240-002-861+;M-280 +740-482-240-002-944-920-140+;H-1130 +740-482-240-002-861+;H-1131 +740-482-240-002-861+,,Harappa|TAB:B|None|twisted rectangular-rounded:3;Harappa|TAB:B|Bull1|oval:1;Harappa|TAB:B|Bull1|elliptical:1;Mohenjo-daro|SEAL:S|Elep|square:1;Harappa|TAB:B|None|rectangular-round:1;Harappa|TAB:B|None|twisted rectangular:1,
533,2,0,0,0,0,,0,2,1,1,false,,M-376 +740-100-176-002-861-533-717+;M-391 +405-845-686-740-793-003-233-805-002-861-533-717+,,Mohenjo-daro|SEAL:R|None|cuboid-convex:2
585,52,1,1,1,1,740_X_240:1,0,0,0,0,false,M-722 +740-585-240-220-032-002-817+,,Mohenjo-daro|SEAL:S|Bull1|square:1,
603,7,3,1,2,1,740_X_240:3,3,3,3,1,true,H-1138 +740-603-240-060-692+;H-1846 +740-603-240-060-692+;H-1137 +740-603-240-060-692+,M-240 +520-240-220-032-002-861-603+;M-714 +740-585-017-033-705-233-798-803-002-861-603+;M-1273 +740-055-002-861-603+,Harappa|TAB:B|None|rectangular:3,Mohenjo-daro|SEAL:S|Gaur|square:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1;Mohenjo-daro|SEAL:R|None|rectangular:1
626,5,0,0,0,0,,0,1,1,1,false,,L-39 +520-315-002-861-626+,,Lothal|SEAL:S|Bull1|square:1
630,27,3,3,3,3,740_X_240:2;690_X_240:1,0,0,0,0,false,H-2192 +740-630-240-031-032-171+;H-102 +740-630-240-741-861+;H-321 +740-690-630-240+,,Harappa|TAB:I|None|fish:1;Harappa|SEAL:S|Bull1:W|square:1;Harappa|TAB:I|None|rectangular-round:1,
636,15,15,9,10,7,740_X_240:12;690_X_240:3,2,0,0,0,false,H-1308 +740-690-636-240+;H-298 +400-740-636-240+;H-301 +400-740-636-240-031-032-171+;H-360 +740-636-240-060-692+;H-823 +740-636-240-060-692+;H-894 +400-740-636-240+;H-905 +400-740-636-240-031-032-171+;H-919 +740-636-240+,,Harappa|TAB:I|None|rectangular:7;Harappa|TAB:I|Bult|prism:1;Harappa|TAB:B|None|rectangular:1;Harappa|TAB:I|None|rectangular-round:1;Harappa|TAB:I|None|rectangular-rounded:1;Harappa|TAB:I|Bult|cuboid:1;Mohenjo-daro|SEAL:S|Gaur|square:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1;Mohenjo-daro|SEAL:S|Bull1:J|square:1,
637,4,2,2,2,2,740_X_240:2,0,0,0,0,false,H-983 +400-740-637-240+;- +740-637-240-002-861+,,Harappa|TAB:I|Bult|prism:1;Mohenjo-daro|SEAL:S|Bull1:S|square:1,
639,1,1,1,1,1,740_X_240:1,0,0,0,0,false,H-598 +740-639-240-002-435-255-777+,,Harappa|SEAL:S|Bull1:W|square:1,
642,7,7,4,5,5,740_X_240:5;690_X_240:1;000_X_240:1,2,0,0,0,false,H-1845 +740-642-240-060-692+;H-206 +740-642-240-204-705-621+;H-237 +740-642-240-060-692+;H-350 +740-690-642-240+;H-821 +740-642-240-001-692+;H-822 +740-642-240-001-692+;M-941 +000-642-240-031-002-861+,,Harappa|TAB:B|None|fish:3;Harappa|TAB:B|None|rectangular:2;Harappa|TAB:I|Fish|prism:1;Mohenjo-daro|SEAL:S|Bull1:S|square:1,
643,3,3,3,3,3,740_X_240:2;000_X_240:1,0,0,0,0,false,H-51 +740-643-240-002-861+;- +000-643-240+;M-1719 +740-643-240+,,Harappa|SEAL:S|Bull1:W|square:1;Kish|SEAL:S|Bull1|square:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1,
683,2,0,0,0,0,,0,1,1,1,false,,M-1674 +090-740-222-231-002-861-683+,,Mohenjo-daro|SEAL:S|Bull1:J|square:1
698,9,0,0,0,0,,0,2,1,1,false,,M-329 +002-861-698+;M-330 +002-861-698+,,Mohenjo-daro|SEAL:S|None|square:2
760,94,3,1,1,1,740_X_240:3,0,0,0,0,false,H-2076 +740-760-240+;H-2077 +740-760-240+;H-903 +740-760-240+,,Harappa|TAB:I|None|rectangular:3,
765,1,1,1,1,1,740_X_240:1,0,0,0,0,false,M-84 +740-765-240-001-368-920+,,Mohenjo-daro|SEAL:S|Bull1:W|square:1,
772,9,4,4,4,4,740_X_240:4,0,0,0,0,false,H-14 +740-772-240-060-415-056+;M-1988 +740-772-240+;M-705 +740-772-240-803+;M-958 +740-772-240-002-900-003-590+,,Harappa|SEAL:S|Bull1:W|square:1;Mohenjo-daro|SEAL|None|cuboid:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1;Mohenjo-daro|SEAL:S|Bull1:J|square:1,
773,8,2,1,1,2,740_X_240:2,0,0,0,0,false,M-5 +740-773-240-235-060-692+;M-706 +740-773-240-002-861-031+,,Mohenjo-daro|SEAL:S|Bull1:W|square:2,
791,3,0,0,0,0,,0,1,1,1,false,,K-40 +760-031-002-861-791-440-717+,,Kalibangan|SEAL:S|Elep|square:1
798,114,2,2,2,2,740_X_240:2,0,0,0,0,false,L-26 +740-798-240-060-111-166+;M-46 +740-798-240-235-002-220-065-215+,,Lothal|SEAL:S|Bull1:W|square:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1,
803,112,0,0,0,0,,0,1,1,1,false,,M-1698 +740-482-033-705-002-861-803+,,Mohenjo-daro|SEAL:S|Bull1:W|square:1
806,114,1,1,1,1,740_X_240:1,0,0,0,0,false,L-83 +740-806-240-002-820+,,Lothal|SEAL:L|None|oval:1,
831,16,0,0,0,0,,0,1,1,1,false,,H-688 +520-233-002-861-831-165+,,Harappa|SEAL|None|-:1
832,30,0,0,0,0,,0,1,1,1,false,,M-1681 +520-072-233-740-798-002-861-832+,,Mohenjo-daro|SEAL:S|Bull1:W|square:1
835,1,1,1,1,1,000_X_240:1,0,0,0,0,false,C-40 +740-000-835-240-235-031-900-066+,,Chanhu-daro|IMPL|None|-:1,
901,2,0,0,0,0,,0,1,1,1,false,,M-677 +740-923-070-032-033-706-231-242-002-861-901+,,Mohenjo-daro|SEAL:S|Bull1:L|square:1
904,51,7,4,6,4,740_X_240:7,0,0,0,0,false,- +740-904-240-002-817+;- +740-904-240+;H-1897 +400-740-904-240+;H-697 +740-904-240-002-817+;H-781 +740-904-240+;L-111 +740-904-240-235+;H-1100 +740-904-240-002-817+,,Harappa|TAB:B|Bull2|rectangular:3;Harappa|TAB:B|None|rectangular:2;Harappa|TAB:B|None|isosceles trapezoid:1;Lothal|SEAL:R|None|rectangular:1,
923,41,3,3,3,3,740_X_240:3,0,0,0,0,false,M-1760 +740-923-240-235-060-820+;M-405 +740-923-240-235-806+;M-1166 +740-923-240-002-817+,,Mohenjo-daro|SEAL:S|Bull1:S|square:1;Mohenjo-daro|SEAL:R|None|cuboid-convex:1;Mohenjo-daro|SEAL:S|Tigr|square:1,
927,10,1,1,1,1,740_X_240:1,0,0,0,0,false,M-951 +740-927-240-031+,,Mohenjo-daro|SEAL:S|Bull1:S|square:1,
<END>,0,0,0,0,0,,0,113,58,1,false,,- +405-844-032-840-002-861+;C-65 +000-100-240-220-032-002-861+;C-60 +740-176-032-002-861+;C-74 +125-002-861+;- +740-416-002-861+;- +390-016-002-861+;Dlv-1 +151-382-031-002-861+;H-1051 +400-740-575-017-920-320-798-002-861+,,Mohenjo-daro|SEAL:S|Bull1:W|square:17;Mohenjo-daro|SEAL:S|Bull1:S|square:11;Mohenjo-daro|SEAL:S|Bull1:J|square:7;Mohenjo-daro|SEAL:S|Elep|square:5;Harappa|SEAL:S|Bull1:W|square:4;Mohenjo-daro|SEAL:S|Bull1|square:4;Harappa|TAB:B|None|twisted rectangular-rounded:3;Mohenjo-daro|SEAL:S|Bull1:L|square:3;Mohenjo-daro|SEAL:R|None|rectangular:3;Chanhu-daro|SEAL:S|Bull1:W|square:2;Harappa|TAB:B|None|rectangular:2;Harappa|SEAL:R|None|cuboid-convex:2
