focus_cisi,focus_tail,focus_prefix_last1,focus_prefix_last2,focus_site_type_symbol,match_level,match_key,matched_rows,bare_terminal_controls,focus_tail_rows_in_block,other_tail_rows_in_block,bare_terminal_examples,focus_tail_examples,other_tail_examples
M-376,533 717,176,100 176,Mohenjo-daro|SEAL:R|None,prefix_last2,100 176,1,0,1,0,,M-376 533 717 +740-100-176-002-861-533-717+,
M-376,533 717,176,100 176,Mohenjo-daro|SEAL:R|None,prefix_last1,176,6,4,1,1,M-2060 <END> +740-176-002-861+;M-1880 <END> +151-176-002-861+;M-1755 <END> +740-176-002-861+;M-15 <END> +090-740-176-002-861+,M-376 533 717 +740-100-176-002-861-533-717+,L-46 392 +527-388-233-740-176-002-861-392+
M-391,533 717,805,233 805,Mohenjo-daro|SEAL:R|None,site_type_symbol,Mohenjo-daro|SEAL:R|None,7,3,3,1,M-1954 <END> +740-407-590-031-752-033-705-220-415-798-002-861+;M-1267 <END> +416-001-740-720-175-002-861+;M-1973 <END> +740-575-017-233-550-002-861+,M-376 533 717 +740-100-176-002-861-533-717+;M-391 533 717 +405-845-686-740-793-003-233-805-002-861-533-717+;M-1273 603 +740-055-002-861-603+,M-355 360 520 919 140 +740-877-032-033-705-231-235-002-861-360-520-919-140+
M-391,533 717,805,233 805,Mohenjo-daro|SEAL:R|None,site_type_symbol_prefix_last1,Mohenjo-daro|SEAL:R|None|805,1,0,1,0,,M-391 533 717 +405-845-686-740-793-003-233-805-002-861-533-717+,
M-391,533 717,805,233 805,Mohenjo-daro|SEAL:R|None,prefix_last2,233 805,1,0,1,0,,M-391 533 717 +405-845-686-740-793-003-233-805-002-861-533-717+,
M-391,533 717,805,233 805,Mohenjo-daro|SEAL:R|None,prefix_last1,805,1,0,1,0,,M-391 533 717 +405-845-686-740-793-003-233-805-002-861-533-717+,
M-714,603,803,798 803,Mohenjo-daro|SEAL:S|Bull1:W,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,22,16,1,5,M-1697 <END> +390-003-002-861+;M-1704 <END> +740-760-605-002-861+;M-1726 <END> +740-615-495-240-002-861+;M-1763 <END> +416-001-565-740-220-032-002-861+;M-1750 <END> +390-004-002-861+;M-7 <END> +407-845-140-740-101-923-240-002-861+;M-15 <END> +090-740-176-002-861+;M-21 <END> +350-001-740-362-692-032-002-861+,M-714 603 +740-585-017-033-705-233-798-803-002-861-603+,M-1661 032 520 919 140 +520-070-219-002-861-032-520-919-140+;M-1681 832 +520-072-233-740-798-002-861-832+;M-20 036 460 513 +390-005-002-861-036-460-513+;M-706 031 +740-773-240-002-861-031+;M-1698 803 +740-482-033-705-002-861-803+
M-714,603,803,798 803,Mohenjo-daro|SEAL:S|Bull1:W,site_type_symbol_prefix_last1,Mohenjo-daro|SEAL:S|Bull1:W|803,3,2,1,0,M-77 <END> +832-390-803-002-861+;M-118 <END> +740-772-033-705-233-803-002-861+,M-714 603 +740-585-017-033-705-233-798-803-002-861-603+,
M-714,603,803,798 803,Mohenjo-daro|SEAL:S|Bull1:W,prefix_last2,798 803,1,0,1,0,,M-714 603 +740-585-017-033-705-233-798-803-002-861-603+,
M-714,603,803,798 803,Mohenjo-daro|SEAL:S|Bull1:W,prefix_last1,803,3,2,1,0,M-77 <END> +832-390-803-002-861+;M-118 <END> +740-772-033-705-233-803-002-861+,M-714 603 +740-585-017-033-705-233-798-803-002-861-603+,
M-1273,603,055,740 055,Mohenjo-daro|SEAL:R|None,site_type_symbol,Mohenjo-daro|SEAL:R|None,7,3,3,1,M-1954 <END> +740-407-590-031-752-033-705-220-415-798-002-861+;M-1267 <END> +416-001-740-720-175-002-861+;M-1973 <END> +740-575-017-233-550-002-861+,M-376 533 717 +740-100-176-002-861-533-717+;M-391 533 717 +405-845-686-740-793-003-233-805-002-861-533-717+;M-1273 603 +740-055-002-861-603+,M-355 360 520 919 140 +740-877-032-033-705-231-235-002-861-360-520-919-140+
M-1273,603,055,740 055,Mohenjo-daro|SEAL:R|None,site_type_symbol_prefix_last1,Mohenjo-daro|SEAL:R|None|055,1,0,1,0,,M-1273 603 +740-055-002-861-603+,
M-1273,603,055,740 055,Mohenjo-daro|SEAL:R|None,prefix_last2,740 055,1,0,1,0,,M-1273 603 +740-055-002-861-603+,
M-1273,603,055,740 055,Mohenjo-daro|SEAL:R|None,prefix_last1,055,1,0,1,0,,M-1273 603 +740-055-002-861-603+,
