"checked_date","cisi","priority","lanes","roles","batch_ids","packet_source_hooks","route_class","public_evidence_class","cisi_volume_target","source_route_url","ia_ocr_source","ia_ocr_hits","source_action","route_note","accepted_decipherment_claim"
"2026-05-25","H-1772","core","independent_low_copy","control_032","independent_1850_1842_1772","H2000-4437;Figure 39.05","cisi_3_1_library_or_purchase_request","bibliographic_primary_book_route_only","CISI_3_1_Mohenjo-daro_and_Harappa","https://www.harappa.com/content/corpus-indus-seals-and-inscriptions-vol-31","","","inspect_or_request_source_images_before_coding_sheet","HARP excavation hook H2000-4437 and Figure 39.05; route is the 2010 CISI 3.1 volume or archive request.","0"
"2026-05-25","H-1824","core","local_contrast_stress","target_034","local_1824_1883_212","H95-2434;Figure 26.10","cisi_3_1_library_or_purchase_request","bibliographic_primary_book_route_only","CISI_3_1_Mohenjo-daro_and_Harappa","https://www.harappa.com/content/corpus-indus-seals-and-inscriptions-vol-31","","","inspect_or_request_source_images_before_coding_sheet","HARP hook H95-2434 and Figure 26.10; also carries the uncorrected 060 long-context source-check note.","0"
"2026-05-25","H-1842","core","independent_low_copy","control_033","independent_1850_1842_1772","H95-2416;Figure 26.07","cisi_3_1_library_or_purchase_request","bibliographic_primary_book_route_only","CISI_3_1_Mohenjo-daro_and_Harappa","https://www.harappa.com/content/corpus-indus-seals-and-inscriptions-vol-31","","","inspect_or_request_source_images_before_coding_sheet","HARP excavation hook H95-2416 and Figure 26.07; exact public object search stayed source-dark.","0"
"2026-05-25","H-1850","core","independent_low_copy","target_034","independent_1850_1842_1772","H2001-5141;Figure 48.07","cisi_3_1_library_or_purchase_request","bibliographic_primary_book_route_only","CISI_3_1_Mohenjo-daro_and_Harappa","https://www.harappa.com/content/corpus-indus-seals-and-inscriptions-vol-31","","","inspect_or_request_source_images_before_coding_sheet","HARP excavation hook H2001-5141 and Figure 48.07; no direct public object page found in checked exact searches.","0"
"2026-05-25","H-1883","core","local_contrast_stress","control_033","local_1824_1883_212","H98-3498;Figure 24.10","cisi_3_1_library_or_purchase_request","bibliographic_primary_book_route_only","CISI_3_1_Mohenjo-daro_and_Harappa","https://www.harappa.com/content/corpus-indus-seals-and-inscriptions-vol-31","","","inspect_or_request_source_images_before_coding_sheet","HARP hook H98-3498 and Figure 24.10; no direct public object row found.","0"
"2026-05-25","H-1940","core","independent_low_copy","control_033","independent_1943_1940_854","H2001-5072;Figure 44.05","cisi_3_1_library_or_purchase_request","bibliographic_primary_book_route_only","CISI_3_1_Mohenjo-daro_and_Harappa","https://www.harappa.com/content/corpus-indus-seals-and-inscriptions-vol-31","","","inspect_or_request_source_images_before_coding_sheet","HARP excavation hook H2001-5072 and Figure 44.05; no object-level public source found.","0"
"2026-05-25","H-1943","core","independent_low_copy","target_034","independent_1943_1940_854","H2000-4482;Figure 42.10","cisi_3_1_library_or_purchase_request","bibliographic_primary_book_route_only","CISI_3_1_Mohenjo-daro_and_Harappa","https://www.harappa.com/content/corpus-indus-seals-and-inscriptions-vol-31","","","inspect_or_request_source_images_before_coding_sheet","HARP excavation hook H2000-4482 and Figure 42.10; prior CISI-page pointer remains secondary until the plate is consulted.","0"
"2026-05-25","H-2137","core","local_contrast_stress","target_034","local_2137_925_930","H95-2480;Figure 30.09","cisi_3_1_library_or_purchase_request","bibliographic_primary_book_route_only","CISI_3_1_Mohenjo-daro_and_Harappa","https://www.harappa.com/content/corpus-indus-seals-and-inscriptions-vol-31","","","inspect_or_request_source_images_before_coding_sheet","HARP hook H95-2480 and Figure 30.09; route is CISI 3.1 or archive request.","0"
"2026-05-25","H-2204","core","independent_low_copy","target_034","independent_2204_2209_2217","H95-2482;Figure 27.06","harappa_harp_public_object_lead_plus_cisi_3_1_reconcile","direct_public_object_identity_lead","CISI_3_1_Mohenjo-daro_and_Harappa","https://www.harappa.com/indus4/e3.html","","","inspect_or_request_source_images_before_coding_sheet","Harappa article names H95-2482/4419-05 as an incised steatite tablet; Kenoyer 1997 table also links H95-2482 to H-977-family comparisons. Reconcile against local H-2204/Fig 27.06 before using it.","0"
"2026-05-25","H-2209","core","independent_low_copy","control_033","independent_2204_2209_2217","H95-2423","cisi_3_1_library_or_purchase_request","bibliographic_primary_book_route_only","CISI_3_1_Mohenjo-daro_and_Harappa","https://www.harappa.com/content/corpus-indus-seals-and-inscriptions-vol-31","","","inspect_or_request_source_images_before_coding_sheet","HARP hook H95-2423; no direct public object page found in checked exact searches.","0"
"2026-05-25","H-2211","core","local_contrast_stress","control_032","local_983_353_2211","H97-3285;Figure 16.02","cisi_3_1_library_or_purchase_request","bibliographic_primary_book_route_only","CISI_3_1_Mohenjo-daro_and_Harappa","https://www.harappa.com/content/corpus-indus-seals-and-inscriptions-vol-31","","","inspect_or_request_source_images_before_coding_sheet","HARP hook H97-3285 and Figure 16.02; no direct public object page found.","0"
"2026-05-25","H-2217","core","independent_low_copy","control_032","independent_2204_2209_2217","H95-2521;Figure 27.09","cisi_3_1_library_or_purchase_request","bibliographic_primary_book_route_only","CISI_3_1_Mohenjo-daro_and_Harappa","https://www.harappa.com/content/corpus-indus-seals-and-inscriptions-vol-31","","","inspect_or_request_source_images_before_coding_sheet","HARP hook H95-2521 and Figure 27.09; route is CISI 3.1 or archive request.","0"
"2026-05-25","H-910","optional","repeated_branch_check","target_034","optional_910_916_1294","10994470","internet_archive_cisi_vol1_2_ocr_lead","public_cisi_ocr_hit_only","CISI_2_Collections_in_Pakistan","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan","CISI_Collections_in_Pakistan_djvu.txt","1","inspect_or_request_source_images_before_coding_sheet","Optional repeated-branch target; IA OCR finds H-910 once, but repetition pressure keeps it below the core packet.","0"
"2026-05-25","H-916","optional","repeated_branch_check","control_033","optional_910_916_1294","12516456","kenoyer_1997_table2_public_lead","public_table2_identity_lead","CISI_2_Collections_in_Pakistan_with_HARP_comparison","https://www.harappa.com/sites/default/files/pdf/Kenoyer1997_Excavations%20at%20Harappa%201994-1995%20New%20Perspective.pdf","","","inspect_or_request_source_images_before_coding_sheet","Kenoyer 1997 Table 2 lists H94-2172 / Fig. 10.01 against H-916 and related H95 comparisons. Useful optional branch check, not first evidence.","0"
"2026-05-25","H-1294","optional","repeated_branch_check","control_032","optional_910_916_1294","PII-1499","cisi_vol2_archive_request_no_public_ocr_hit","source_request_only","CISI_2_Collections_in_Pakistan_or_later_addenda","https://archive.org/metadata/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan","checked_CISI_vol1_vol2_and_Mahadevan_ocr","0","inspect_or_request_source_images_before_coding_sheet","Optional repeated-branch control with source hook PII-1499; no direct public OCR/object route found in this pass. Check CISI vol. 2/addenda and Vats/PII crosswalk routes.","0"
