"lane","lane_rank","batch_id","priority","lane_question","role","cisi","row_id","short_text","source_hooks","source_hook_grade","local_rows","material_shape","period_phase_depth","dimensions_mm","target_cisi","target_grade","target_copy_pressure","target_long_context_relation","target_independence_rank","target_shared_matches","source_use","public_search_queries","source_grade_if","downgrade_if","kill_if","packet_status"
"independent_low_copy","4","independent_2204_2209_2217","core","copy_family_escape_with_identity_reconcile","control_033","H-2209","638.1","+700-033+","H95-2423","excavation_hook","638.1:+700-033+;638.2:+400-740-032-025+","Steatite/prism/triangular","Period 3B/C/B/C/- -","16 x 7 x 0","H-2204","F_partial_or_weak","moderate_repetition_pressure","all_three_differ","4","aspect_bin;context_class;cross_section;excavation_prefix;h_bin;material;order;period_phase;shape;side_relation;site;type","check_033_control_row","""H-2209"" Indus | ""H95-2423"" Harappa | H-2209 H95-2423 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"independent_low_copy","4","independent_2204_2209_2217","core","copy_family_escape_with_identity_reconcile","control_032","H-2217","679.1","+700-032+","H95-2521;Figure 27.09","excavation_plus_figure_hook","679.1:+700-032+;679.2:+400-854-032+;679.3:+257-360+","Steatite/prism/triangular","Period 3B/C/B/C/- -","18.5 x 9.2 x 0","H-2204","F_partial_or_weak","moderate_repetition_pressure","all_three_differ","4","aspect_bin;context_class;cross_section;excavation_prefix;h_bin;material;order;period_phase;shape;side_relation;site;type","check_032_control_row","""H-2217"" Indus | ""H95-2521 Figure 27.09"" Harappa | H-2217 H95-2521 Figure 27.09 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"local_contrast_stress","1","local_893_925_930","core","strict_local_contrast","target_034","H-893","1775.2","+700-034+","12581522","catalog_or_archive_handle","1775.1:+400-740-337+;1775.2:+700-034+","Steatite/rectangular/rectangular","Period 3B/C/Stratum VI/-16.9 ft","14 x 7.6 x 0","H-893","A_strict_local_minimal_contrast","moderate_repetition_pressure","all_three_differ","17","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;shape;side_relation;sides;site;symbol;type;v_bin","check_target_row_and_contrast","""H-893"" Indus | ""12581522"" Harappa | H-893 12581522 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"local_contrast_stress","1","local_893_925_930","core","strict_local_contrast","control_033","H-925","1805.2","+700-033+","3286512","catalog_or_archive_handle","1805.1:+740-840-013+;1805.2:+700-033+","Steatite/rectangular/rectangular","Period 3C-1/Stratum IV/-12.5 ft","14 x 7.6 x 0","H-893","A_strict_local_minimal_contrast","moderate_repetition_pressure","all_three_differ","17","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;shape;side_relation;sides;site;symbol;type;v_bin","check_033_control_row","""H-925"" Indus | ""3286512"" Harappa | H-925 3286512 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"local_contrast_stress","1","local_893_925_930","core","strict_local_contrast","control_032","H-930","1810.2","+700-032+","J30520","catalog_or_archive_handle","1810.1:+740-900-004+;1810.2:+700-032+","Steatite/rectangular/rectangular","-/Stratum I/-2.0 ft","14 x 8.4 x 0","H-893","A_strict_local_minimal_contrast","moderate_repetition_pressure","all_three_differ","17","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;shape;side_relation;sides;site;symbol;type;v_bin","check_032_control_row","""H-930"" Indus | ""J30520"" Harappa | H-930 J30520 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"local_contrast_stress","2","local_1824_1883_212","core","visual_object_contrast","target_034","H-1824","646.1","+700-034+","H95-2434;Figure 26.10","excavation_plus_figure_hook","646.1:+700-034+;646.2:+740-176-031-060-201+","Faience/rectangular/rectangular","Period 3B/C/B/C/- -","15.7 x 7.3 x 4.3","H-1824","C_visual_object_matched","moderate_repetition_pressure","all_three_differ","16","area_bin;aspect_bin;context_class;cross_section;h_bin;material;shape;sides;site;symbol;type;v_bin","check_target_row_and_contrast","""H-1824"" Indus | ""H95-2434 Figure 26.10"" Harappa | H-1824 H95-2434 Figure 26.10 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"local_contrast_stress","2","local_1824_1883_212","core","visual_object_contrast","control_033","H-1883","930.1","+700-033+","H98-3498;Figure 24.10","excavation_plus_figure_hook","930.1:+700-033+;930.2:+740-790-032+","Faience/rectangular/rectangular","Period 3B/C/B/C/- -","13.3 x 7 x 2","H-1824","C_visual_object_matched","moderate_repetition_pressure","all_three_differ","16","area_bin;aspect_bin;context_class;cross_section;h_bin;material;shape;sides;site;symbol;type;v_bin","check_033_control_row","""H-1883"" Indus | ""H98-3498 Figure 24.10"" Harappa | H-1883 H98-3498 Figure 24.10 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"local_contrast_stress","2","local_1824_1883_212","core","visual_object_contrast","control_032","H-212","1243.2","+032-700+","3890357","catalog_or_archive_handle","1243.1:+400-156-118+;1243.2:+032-700+","Faience/rectangular/rectangular","Period 3B/C/Stratum V/-2.5 ft","14 x 7.1 x 0","H-1824","C_visual_object_matched","moderate_repetition_pressure","all_three_differ","16","area_bin;aspect_bin;context_class;cross_section;h_bin;material;shape;sides;site;symbol;type;v_bin","check_032_control_row","""H-212"" Indus | ""3890357"" Harappa | H-212 3890357 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"local_contrast_stress","3","local_2137_925_930","core","reuse_controls_stress","target_034","H-2137","3932.1","+700-034+","H95-2480;Figure 30.09","excavation_plus_figure_hook","3932.1:+700-034+;3932.2:+740-100-176+","Steatite/rectangular/rectangular","Period 3B/C/B/C/- -","13 x 8 x 2.5","H-2137","B_visual_object_order_matched","moderate_repetition_pressure","all_three_differ","18","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;shape;sides;site;symbol;type;v_bin","check_target_row_and_contrast","""H-2137"" Indus | ""H95-2480 Figure 30.09"" Harappa | H-2137 H95-2480 Figure 30.09 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"local_contrast_stress","3","local_2137_925_930","core","reuse_controls_stress","control_033","H-925","1805.2","+700-033+","3286512","catalog_or_archive_handle","1805.1:+740-840-013+;1805.2:+700-033+","Steatite/rectangular/rectangular","Period 3C-1/Stratum IV/-12.5 ft","14 x 7.6 x 0","H-2137","B_visual_object_order_matched","moderate_repetition_pressure","all_three_differ","18","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;shape;sides;site;symbol;type;v_bin","check_033_control_row","""H-925"" Indus | ""3286512"" Harappa | H-925 3286512 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"local_contrast_stress","3","local_2137_925_930","core","reuse_controls_stress","control_032","H-930","1810.2","+700-032+","J30520","catalog_or_archive_handle","1810.1:+740-900-004+;1810.2:+700-032+","Steatite/rectangular/rectangular","-/Stratum I/-2.0 ft","14 x 8.4 x 0","H-2137","B_visual_object_order_matched","moderate_repetition_pressure","all_three_differ","18","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;shape;sides;site;symbol;type;v_bin","check_032_control_row","""H-930"" Indus | ""J30520"" Harappa | H-930 J30520 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"local_contrast_stress","4","local_983_353_2211","core","visual_object_contrast","target_034","H-983","1859.2","+700-034+","2528582","catalog_or_archive_handle","1859.1:+400-740-637-240+;1859.2:+700-034+","Steatite/prism/triangular","Period 3B/C/Stratum VI/-17.83 ft","15.2 x 6.4 x 0","H-983","B_visual_object_order_matched","moderate_repetition_pressure","all_three_differ","21","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;shape;sides;site;symbol;type;v_bin","check_target_row_and_contrast","""H-983"" Indus | ""2528582"" Harappa | H-983 2528582 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"local_contrast_stress","4","local_983_353_2211","core","visual_object_contrast","control_033","H-353","1372.2","+700-033+","1348","catalog_or_archive_handle","1372.1:+400-740-176+;1372.2:+700-033+","Steatite/prism/triangular","Period 3B/C/Stratum V/-13.0 ft","15.2 x 6.4 x 0","H-983","B_visual_object_order_matched","moderate_repetition_pressure","all_three_differ","21","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;shape;sides;site;symbol;type;v_bin","check_033_control_row","""H-353"" Indus | ""1348"" Harappa | H-353 1348 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"local_contrast_stress","4","local_983_353_2211","core","visual_object_contrast","control_032","H-2211","829.1","+700-032+","H97-3285;Figure 16.02","excavation_plus_figure_hook","829.1:+700-032+;829.2:+700-840-032-741+","Steatite/prism/triangular","Period 3B/C/B/C/- -","13.7 x 6 x 0","H-983","B_visual_object_order_matched","moderate_repetition_pressure","all_three_differ","21","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;shape;sides;site;symbol;type;v_bin","check_032_control_row","""H-2211"" Indus | ""H97-3285 Figure 16.02"" Harappa | H-2211 H97-3285 Figure 16.02 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"repeated_branch_check","1","optional_910_916_1294","optional","old_branch_repetition_check","target_034","H-910","1792.2","+700-034+","10994470","catalog_or_archive_handle","1792.1:+002-861-416+;1792.2:+700-034+","Steatite/rectangular/rectangular","Period 3C-3/Stratum II/-5.5 ft","14.7 x 7.6 x 0","H-910","A_strict_local_minimal_contrast","high_repetition_pressure","all_three_differ","50","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;shape;side_relation;sides;site;symbol;type;v_bin","check_target_row_and_contrast","""H-910"" Indus | ""10994470"" Harappa | H-910 10994470 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"repeated_branch_check","1","optional_910_916_1294","optional","old_branch_repetition_check","control_033","H-916","1796.2","+700-033+","12516456","catalog_or_archive_handle","1796.1:+400-740-032-059+;1796.2:+700-033+","Steatite/rectangular/rectangular","Period 3B/C/Stratum V/-14.17 ft","15.2 x 7.6 x 0","H-910","A_strict_local_minimal_contrast","high_repetition_pressure","all_three_differ","50","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;shape;side_relation;sides;site;symbol;type;v_bin","check_033_control_row","""H-916"" Indus | ""12516456"" Harappa | H-916 12516456 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
"repeated_branch_check","1","optional_910_916_1294","optional","old_branch_repetition_check","control_032","H-1294","1061.2","+700-032+","PII-1499","catalog_or_archive_handle","1061.1:+527-550-233+;1061.2:+700-032+","Steatite/rectangular/rectangular","Period 4/Stratum I/-1.0 ft","15.2 x 7.6 x 0","H-910","A_strict_local_minimal_contrast","high_repetition_pressure","all_three_differ","50","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;shape;side_relation;sides;site;symbol;type;v_bin","check_032_control_row","""H-1294"" Indus | ""PII-1499"" Harappa | H-1294 PII-1499 ""Corpus of Indus Seals and Inscriptions""","source image confirms object identity, row visibility, side distinctness, source order, direction basis, and 032/033/034 separation","object identity is plausible but side order, direction, row visibility, or control comparability remains uncertain","object mismatch, row not visible, sign contrast collapses, side assignment fails, or source row is only a duplicate/copy artifact","source_request_only_not_validated"
