object,site,region,type,material,shape,symbol,condition,complete,tablet_account_context,first_sign,target_initial,text
H-2362,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,?,false,400,true,+400-484[
H-2184,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular-round,NA,Fair,Y,true,400,true,+400-740-032-015+
H-742,Harappa,Inter-Riverine,TAB:B,Faience,cylindrical,NA,Good,Y,true,400,true,+400-740-100-176-175+
H-1798,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,N,true,400,true,+400-711-000-000-000+
H-1836,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,N,true,400,true,+400-740-000-792+
H-1862,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Fair,Y,true,700,false,+700-033-400-740-388+
H-1932,Harappa,Inter-Riverine,TAB:B,NA,prism,Gavi,Poor,N,true,400,true,+400-740-000-832-000+
H-1114,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Fair,Y,true,400,true,+400-740-405-590-235-806+
H-774,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Good,Y,true,400,true,+400-525-550-033-705-240+
H-698,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Gaur,Good,Y,true,400,true,+400-520-233+
H-2069,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Good,Y,true,700,false,+700-034-400-525-550+
H-984,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Bult,Poor,?,true,400,true,+400-740-637[
H-967,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular-round,NA,Good,Y,true,400,true,+400-740-032-028+
H-1931,Harappa,Inter-Riverine,TAB:B,Faience,prism,Gavi,Good,Y,true,400,true,+400-740-176-791+
H-917,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,true,400,true,+400-740-032-027+
H-1822,Harappa,Inter-Riverine,TAB:B,Faience,cuboid,NA,Fair,Y,true,400,true,+400-740-176-519+
H-1906,Harappa,Inter-Riverine,TAB:B,Faience,heart,NA,Fair,Y,true,400,true,+400-090-740-400-090+
H-1939,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bult,Fair,Y,true,400,true,+400-740-141+
H-1855,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,true,400,true,+400-153-118+
H-1171,Harappa,Inter-Riverine,TAB:I,Steatite,NA,Bult,Poor,N,true,400,true,+400-000+
H-1873,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Good,Y,true,400,true,+400-236-233+
H-1923,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Good,Y,true,400,true,+400-740-032-840+
H-248,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Good,Y,true,400,true,+400-740-920-320-233-240-798+
H-1306,Harappa,Inter-Riverine,TAB:I,NA,oval,NA,Fair,?,true,400,true,+400-740[
H-2197,Harappa,Inter-Riverine,TAB:I,Steatite,circular,NA,Fair,Y,true,400,true,+400-090-740-100-390-231+
H-1999,Harappa,Inter-Riverine,TAB:B,Clay,twisted cuboid,Mult,Fair,Y,true,400,true,+400-154-806-467+
H-1892,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,Y,true,400,true,+400-698+
H-2334,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,false,090,false,+090-740-400-000-000[
H-1817,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Good,Y,true,400,true,+400-525-554+
H-1917,Harappa,Inter-Riverine,TAB:B,Faience,triangular,NA,Fair,Y,true,400,true,+400-151-097+
M-830,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Fair,Y,false,400,true,+400-097+
H-2209,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Fish,Fair,Y,true,400,true,+400-740-032-025+
H-2108,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,true,400,true,+400-740-032-014+
H-1823,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,true,400,true,+400-740-798-365-415-001+
H-1849,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,?,true,400,true,+400-740-636[
H-1813,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,true,400,true,+400-525-550-033-705-220+
H-1863,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,Y,true,400,true,+400-740-388+
H-1875,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,?,true,400,true,+400-775[
H-1672,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,false,740,false,+740-400-142-061-033+
H-2217,Harappa,Inter-Riverine,TAB:I,Steatite,prism,NA,Good,Y,true,400,true,+400-854-032+
H-850,Harappa,Inter-Riverine,TAB:B,Faience,prism,Fish,Poor,Y,true,400,true,+400-740-892-617+
H-2267,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Fair,Y,false,400,true,+400-852+
-:726.1,Harappa,Inter-Riverine,POT:T:s,Clay,NA,NA,Poor,N,false,000,false,+000-400+
H-174,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Gavi,Fair,Y,true,400,true,+400-740-017-503+
H-1963,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,Gavi,Poor,N,true,400,true,+400-700-017-000+
H-710,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Gavi,Poor,Y,true,400,true,+400-740-016-503+
H-1980,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Phyt,Poor,Y,true,400,true,+400-158-806-475+
H-2201,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Fish,Poor,Y,true,400,true,+400-740-176-240+
H-2183,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular-round,NA,Poor,Y,true,400,true,+400-740-575-017-798+
H-1124,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Fair,Y,true,400,true,+400-236-220+
H-2038,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,?,true,400,true,+400-520[
H-705,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Gavi,Poor,Y,true,712,false,+712-840-400-740-440+
H-1844,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Good,Y,true,400,true,+400-154-690+
H-2103,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,?,true,740,false,]740-400-142+
H-1961,Harappa,Inter-Riverine,TAB:B,Clay,square,Gavi,Poor,Y,true,400,true,+400-740-440+
H-2585,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Poor,Y,true,400,true,+400-740-032+
H-900,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,true,400,true,+400-740-817-491+
H-2189,Harappa,Inter-Riverine,TAB:B,Steatite,heart,NA,Fair,Y,true,400,true,+400-740-152-240+
H-188,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Phyt,Good,Y,true,400,true,+400-090-740-100-415+
H-889,Harappa,Inter-Riverine,TAB:I,NA,rectangular,Bult,Fair,Y,true,400,true,+400-226+
H-2159,Harappa,Inter-Riverine,TAB:I,Steatite,NA,NA,Poor,N,true,400,true,]400-033-000[
H-2185,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular-round,NA,Fair,Y,true,400,true,+400-158-690+
H-2109,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,true,400,true,+400-740-681+
H-2070,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,true,400,true,+400-740-817-276+
H-1995,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,NA,Good,Y,true,400,true,+400-151-142+
H-1833,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,N,true,400,true,+400-000-000+
H-213,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Good,Y,true,400,true,+400-520-400-352+
H-1945,Harappa,Inter-Riverine,TAB:B,Faience,prism,Fish,Poor,Y,true,400,true,+400-740-388-717-705+
M-879,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,false,740,false,+740-400-142-061+
H-1712,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,?,false,400,true,+400-265[
H-1791,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,?,true,400,true,+400-740-100[
H-1774,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Scene,Good,Y,true,400,true,+400-740-335-482-175+
H-1808,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,N,true,400,true,+400-158-806-000+
H-1182,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,true,400,true,+400-740-817-175+
H-816,Harappa,Inter-Riverine,TAB:B,Faience,hexagonal,NA,Fair,Y,true,400,true,+400-740-390-590+
H-99,Harappa,Inter-Riverine,SEAL:S,Clay,square,Othr,Poor,Y,false,400,true,+400-565+
H-160,Harappa,Inter-Riverine,SEAL:R,Steatite,plano-convex,NA,Good,Y,false,400,true,+400-154-806-468+
H-184,Harappa,Inter-Riverine,TAB:B,Steatite,cylindrical,Phyt,Poor,Y,true,400,true,+400-202-892-220-920+
H-187,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,Phyt,Good,Y,true,400,true,+400-740-463-495+
H-189,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Othr,Good,Y,true,400,true,+400-158-806-470+
M-469,Mohenjo-daro,Lower Indus,TAB:B,Faience,rectangular,Xhch,Fair,Y,true,400,true,+400-740-220-415-798+
H-755,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Poor,?,true,400,true,+400-740-405-590[
H-775,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Good,Y,true,400,true,+400-158-806-472+
H-209,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,Y,true,400,true,+400-921-690-435-255-055+
H-211,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Poor,Y,true,400,true,+400-740-898-617+
H-212,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,true,400,true,+400-156-118+
H-214,Harappa,Inter-Riverine,TAB:B,Faience,cuboid-convex,NA,Fair,Y,true,400,true,+400-520-400-353+
H-810,Harappa,Inter-Riverine,TAB:B,Clay,twisted rectangular-rounded,Mult,Poor,Y,true,400,true,+400-158-904-736+
H-232,Harappa,Inter-Riverine,TAB:B,Faience,notched oval,NA,Fair,Y,true,400,true,+400-740-177-519+
H-242,Harappa,Inter-Riverine,TAB:B,Faience,circular,Scene,Poor,N,true,400,true,+400-740-392-000-000-000-000-255-000+
H-245,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Fair,Y,true,400,true,+400-807-740-219+
H-246,Harappa,Inter-Riverine,TAB:B,NA,circular,NA,Fair,N,true,400,true,+400-804-000-233-240+
H-247,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Poor,N,true,400,true,+400-740-335-000+
H-291,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Good,N,true,400,true,+400-740-927-000-235+
H-296,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,true,400,true,+400-740-575-017-920+
H-297,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Fair,Y,true,400,true,+400-151-336-630-706+
H-1178,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Fair,Y,true,400,true,+400-740-636-240+
K-63,Kalibangan,Inter-Riverine,SEAL:R,Steatite,cuboid,NA,Fair,Y,false,400,true,+400-740-776-495+
H-988,Harappa,Inter-Riverine,TAB:I,Steatite,cuboid,Bult,Poor,Y,true,400,true,+400-740-636-240-031-032-171+
H-302,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Good,Y,true,400,true,+400-760-740-220-416+
H-959,Harappa,Inter-Riverine,TAB:I,Steatite,oval,NA,Fair,Y,true,400,true,+400-740-178+
H-368,Harappa,Inter-Riverine,SEAL:CY,Steatite,cylindrical,NA,Fair,Y,false,400,true,+400-156-384-031+
H-328,Harappa,Inter-Riverine,TAB:I,Steatite,crescent,NA,Poor,Y,true,400,true,+400-741-717-235+
H-334,Harappa,Inter-Riverine,TAB:I,Steatite,hare,NA,Poor,Y,true,400,true,+400-892-829+
H-892,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,true,400,true,+400-740-336-176+
H-351,Harappa,Inter-Riverine,TAB:I,Steatite,prism,X,Good,Y,true,400,true,+400-740-032-060-013+
H-471,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Poor,?,false,740,false,+740-400-142-061-368[
H-530,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Fair,Y,false,520,false,+520-400-350-031+
H-584,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Gaur,Poor,Y,false,400,true,+400-139+
H-591,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Elep,Poor,Y,false,400,true,+400-221-031-741+
H-722,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,Phyt,Poor,N,true,400,true,+400-090-740-000[
M-1312,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,false,400,true,+400-740-220+
H-763,Harappa,Inter-Riverine,TAB:B,Steatite,rectangular,NA,Poor,?,true,400,true,+400-740-920-320-233[
H-768,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,N,true,400,true,+400-740-033-705-233-235-000+
H-783,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,NA,Poor,N,true,400,true,+400-740-690-000+
H-787,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Fair,Y,true,400,true,+400-740-176-700-033+
H-790,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Good,Y,true,400,true,+400-740-384-033+
H-793,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Good,Y,true,400,true,+400-154-896+
H-794,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,NA,Fair,Y,true,400,true,+400-232-235+
H-802,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,N,true,400,true,+400-740-337-000+
H-1134,Harappa,Inter-Riverine,TAB:B,NA,conical,NA,Fair,N,true,400,true,+400-892-000+
H-814,Harappa,Inter-Riverine,TAB:B,Faience,rectangular-round,NA,Poor,Y,true,400,true,+400-820-100-415+
H-817,Harappa,Inter-Riverine,TAB:B,Faience,notched oval,NA,Fair,Y,true,400,true,+400-740-336-018+
-:4290.1,Rajanpur,Inter-Riverine,TAB:B,NA,rectangular,Maze,Good,Y,true,400,true,+400-740-690-436-255+
H-836,Harappa,Inter-Riverine,TAB:B,NA,NA,NA,Poor,N,true,400,true,+400-000-740-000-000+
H-839,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Fair,Y,true,400,true,+400-140+
H-1149,Harappa,Inter-Riverine,TAB:B,NA,circular,NA,Fair,Y,true,400,true,+400-740-790+
H-842,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Fair,Y,true,400,true,+400-740-861+
H-843,Harappa,Inter-Riverine,TAB:B,NA,prism,Xhch,Fair,Y,true,400,true,+400-527-195+
H-1151,Harappa,Inter-Riverine,TAB:B,NA,rectangular,Phyt,Poor,N,true,400,true,+400-740-840-000+
H-846,Harappa,Inter-Riverine,TAB:B,Faience,prism,Gavi,Fair,Y,true,400,true,+400-740-100-031-705+
H-854,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bult,Poor,Y,true,400,true,+400-740-335-003+
H-875,Harappa,Inter-Riverine,TAB:B,Clay,cuboid,NA,Fair,Y,true,400,true,+400-740-840-013+
H-885,Harappa,Inter-Riverine,TAB:I,Steatite,NA,NA,Poor,?,true,400,true,]400-705[
H-946,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,true,400,true,+400-234+
H-891,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,N,true,400,true,+400-740-590-017-000+
H-893,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,true,400,true,+400-740-337+
H-895,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Poor,N,true,400,true,+400-740-630-000[
H-899,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,true,400,true,+400-520-231-240+
H-1191,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Good,Y,true,400,true,+400-740-760-220-416+
H-916,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,true,400,true,+400-740-032-059+
H-977,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Fish,Poor,N,true,400,true,+400-740-032-000[
H-926,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,N,true,400,true,+400-740-840-000-220+
H-944,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,true,400,true,+400-158-592+
H-948,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Good,Y,true,400,true,+400-151-229+
H-1160,Harappa,Inter-Riverine,TAB:I,NA,rectangular,Gavi,Poor,N,true,400,true,+400-740-760-000[
H-983,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Bult,Fair,Y,true,400,true,+400-740-637-240+
K-15,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:II,Fine,Y,false,871,false,+871-947/400-740-543-350-895-785-220-335+
K-68,Kalibangan,Inter-Riverine,TAB:B,Faience,cuboid,Bull1,Poor,Y,true,400,true,+400-740-263+
K-84,Kalibangan,Inter-Riverine,TAG,NA,square,NA,Poor,N,false,400,true,+400-630-000[
K-98,Kalibangan,Inter-Riverine,POT:T:g,NA,NA,NA,Poor,?,false,400,true,+400-740-411-590[
L-96,Lothal,Gujarat/Kutch,SEAL:R,Clay,rectangular,NA,Poor,N,false,400,true,+400-000-692+
M-2092,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,?,false,400,true,+400-158-854[
M-1794,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,false,400,true,+400-703-617+
M-2113,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,Y,false,400,true,+400-740-760-435-690+
M-1744,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Good,Y,false,400,true,+400-892-081-518-001-031-250+
M-1807,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,false,400,true,+400-390-844+
M-1849,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Good,Y,false,400,true,+400-804-233+
M-1981,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,false,400,true,+400-130-746+
M-1974,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,false,064,false,+064-031-400-521-002-820+
M-1846,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Fair,Y,false,400,true,+400-158-003+
M-1917,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Tigr,Fair,Y,false,400,true,+400-527-555-233-235+
M-1772,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Good,Y,false,740,false,+740-400-142-061-002-798-435-255-705+
M-1891,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,false,400,true,+400-740-017-503-240+
M-2098,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Good,Y,false,400,true,+400-740-176-140+
M-1651,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,Y,false,400,true,+400-740-585-838-240+
M-1921,Mohenjo-daro,Lower Indus,SEAL,Steatite,square,NA,Good,Y,false,400,true,+400-750-090+
M-1767,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,false,790,false,+790/400-296-350-892-632-032+
M-1725,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,false,400,true,+400-740-100-140-003+
M-1801,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Poor,Y,false,520,false,+520-400-350-031-741-759+
M-2107,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Good,Y,false,400,true,+400-740-840-013-240+
M-1781,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,false,400,true,+400-520-233-803+
M-1700,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,false,400,true,+400-125-745+
M-73,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,false,400,true,+400-520-897+
M-87,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,false,400,true,+400-890-104+
M-123,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,false,400,true,+400-093-368-072+
M-145,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:U,Fair,Y,false,740,false,+740-400-142-880+
M-202,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:U,Good,Y,false,400,true,+400-241-031-060-820+
M-214,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Bull1:I,Fair,Y,false,400,true,+400-267-820+
M-218,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,false,400,true,+400-220-428+
M-231,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Good,Y,false,400,true,+400-740-100-415+
M-252,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,false,400,true,+400-150-617-055-001-150-243+
