"triad_rank","target_bucket","contrast_readiness","triad_score","target_cisi","target_row_id","target_short_text","target_context_class","target_side_relation","target_long_token_set","target_hva_bins","target_source_hooks","target_material_shape","target_period_phase_depth","target_dimensions_mm","target_local_rows","control_033_cisi","control_033_row_id","control_033_score","control_033_short_text","control_033_context_class","control_033_side_relation","control_033_long_token_set","control_033_hva_bins","control_033_source_hooks","control_033_material_shape","control_033_period_phase_depth","control_033_dimensions_mm","control_033_local_rows","control_033_matches","control_033_mismatches","control_032_cisi","control_032_row_id","control_032_score","control_032_short_text","control_032_context_class","control_032_side_relation","control_032_long_token_set","control_032_hva_bins","control_032_source_hooks","control_032_material_shape","control_032_period_phase_depth","control_032_dimensions_mm","control_032_local_rows","control_032_matches","control_032_mismatches","source_request_bundle","triad_question","preserves_source_contrast_if","downgrades_to_object_format_if","kills_034_residue_if","source_check_status"
"27","A_034_direction_reversal","strong_two_sibling_metadata_controls","62","H-1876","468.1","+034-700+","single_longer_text","short_before_all_longer","400;516;775","h_13_16/v_8p5_10/area_120_180/aspect_1p5_1p9","H2001-5083;Figure 43.11","Faience/rectangular/rectangular","Period 3B/B/- -","15 x 9 x 3","468.1:+034-700+;468.2:+400-775-516+","H-790","1681.2","32","+700-033+","single_longer_text","short_after_all_longer","033;384;400;740","h_13_16/v_8p5_10/area_120_180/aspect_1p5_1p9","12416605","Faience/rectangular/rectangular","Period 3C-4/Stratum I/-3.75 ft","15.2 x 8.9 x 0","1681.1:+400-740-384-033+;1681.2:+700-033+","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class","area_section:ETrench 54->FTrench I;period_phase:Period 3B/B->Period 3C-4/Stratum I;side_relation:short_before_all_longer->short_after_all_longer;order:700_last->700_first;long_token_set:400;516;775->033;384;400;740","H-1772","400.1","30","+700-032+","single_longer_text","short_before_all_longer","001;031;140;740","h_ge_16/v_8p5_10/area_120_180/aspect_ge_1p9","H2000-4437;Figure 39.05","Faience/rectangular/rectangular","Period 3B/C/B/C/- -","17 x 8.8 x 2.1","400.1:+700-032+;400.2:+740-031-001-140+","type;sides;site;material;shape;cross_section;area_section;v_bin;area_bin;context_class;side_relation","symbol:None->Goat:4;period_phase:Period 3B/B->Period 3B/C/B/C;excavation_prefix:H2001->H2000;h_bin:h_13_16->h_ge_16;aspect_bin:aspect_1p5_1p9->aspect_ge_1p9;order:700_last->700_first;long_token_set:400;516;775->001;031;140;740","H-1876: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H2001-5083; Figure 43.11 | H-790: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 12416605 | H-1772: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H2000-4437; Figure 39.05","Does target H-1876 +034-700+ remain visually distinct from matched 033 H-790 +700-033+ and matched 032 H-1772 +700-032+? After source direction and side-order checks, is the target's context (short_before_all_longer; 400;516;775) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"28","A_034_direction_reversal","strong_two_sibling_metadata_controls","59","H-853","1739.2","+034-700+","single_longer_text","short_after_all_longer","177;231;740","h_13_16/v_lt_7/area_80_120/aspect_ge_1p9","13556","-/prism/triangular","-/-/- -","14 x 6 x 0","1739.1:+740-177-231+;1739.2:+034-700+","H-846","1732.2","31","+700-033+","single_longer_text","short_after_all_longer","031;100;400;705;740","h_13_16/v_lt_7/area_80_120/aspect_ge_1p9","12750641","Faience/prism/triangular","-/-/-1.5 ft","15.2 x 6.4 x 0","1732.1:+400-740-100-031-705+;1732.2:+700-033+","type;sides;site;shape;cross_section;period_phase;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation","symbol:Bult->Gavi;order:700_last->700_first;long_token_set:177;231;740->031;100;400;705;740","H-854","1740.2","28","+700-032+","single_longer_text","short_after_all_longer","003;335;400;740","h_ge_16/v_lt_7/area_80_120/aspect_ge_1p9","10010647","Faience/prism/triangular","Period 3B/C/-/-10.0 ft","16.5 x 6.4 x 0","1740.1:+400-740-335-003+;1740.2:+700-032+","type;sides;site;shape;cross_section;symbol;v_bin;area_bin;aspect_bin;context_class;side_relation","period_phase:-/-->Period 3B/C/-;h_bin:h_13_16->h_ge_16;order:700_last->700_first;long_token_set:177;231;740->003;335;400;740","H-853: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 13556 | H-846: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 12750641 | H-854: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 10010647","Does target H-853 +034-700+ remain visually distinct from matched 033 H-846 +700-033+ and matched 032 H-854 +700-032+? After source direction and side-order checks, is the target's context (short_after_all_longer; 177;231;740) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"29","A_034_direction_reversal","strong_two_sibling_metadata_controls","55","H-933","1813.1","+034-700+","single_longer_text","short_before_all_longer","176;400;740","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","G252","-/rectangular/-","-/-/- -","14 x 8 x 0","1813.1:+034-700+;1813.2:+400-740-176+","H-924","1804.2","28","+700-033+","single_longer_text","short_after_all_longer","013;740;840","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","3286","-/rectangular/-","-/-/-10 ft","14 x 8 x 0","1804.1:+740-840-013+;1804.2:+700-033+","type;sides;site;shape;symbol;period_phase;h_bin;v_bin;area_bin;aspect_bin;context_class","side_relation:short_before_all_longer->short_after_all_longer;order:700_last->700_first;long_token_set:176;400;740->013;740;840","H-930","1810.2","27","+700-032+","single_longer_text","short_after_all_longer","004;740;900","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","J30520","Steatite/rectangular/rectangular","-/Stratum I/-2.0 ft","14 x 8.4 x 0","1810.1:+740-900-004+;1810.2:+700-032+","type;sides;site;shape;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class","period_phase:-/-->-/Stratum I;excavation_prefix:G->J;side_relation:short_before_all_longer->short_after_all_longer;order:700_last->700_first;long_token_set:176;400;740->004;740;900","H-933: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks G252 | H-924: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 3286 | H-930: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks J30520","Does target H-933 +034-700+ remain visually distinct from matched 033 H-924 +700-033+ and matched 032 H-930 +700-032+? After source direction and side-order checks, is the target's context (short_before_all_longer; 176;400;740) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"30","A_034_direction_reversal","strong_two_sibling_metadata_controls","53","H-358","1377.2","+034-700+","single_longer_text","short_after_all_longer","156;255;400;435","h_13_16/v_7_8p5/area_80_120/aspect_ge_1p9","11390579","Steatite/prism/triangular","Period 3C-1/Stratum IV/-10.0 ft","15.2 x 7.6 x 0","1377.1:+400-156-435-255+;1377.2:+034-700+;1377.3:+740-000+","H-355","1374.2","28","+700-033+","single_longer_text","short_after_all_longer","176;400;740","h_13_16/v_lt_7/area_80_120/aspect_ge_1p9","1274","-/prism/triangular","-/-/- -","15.5 x 5.8 x 0","1374.1:+400-740-176+;1374.2:+700-033+;1374.3:+700-033+","type;sides;site;shape;cross_section;symbol;h_bin;area_bin;aspect_bin;context_class;side_relation","period_phase:Period 3C-1/Stratum IV->-/-;v_bin:v_7_8p5->v_lt_7;order:700_last->700_first;long_token_set:156;255;400;435->176;400;740","H-1294","1061.2","25","+700-032+","single_longer_text","short_after_all_longer","233;527;550","h_13_16/v_7_8p5/area_80_120/aspect_ge_1p9","PII-1499","Steatite/rectangular/rectangular","Period 4/Stratum I/-1.0 ft","15.2 x 7.6 x 0","1061.1:+527-550-233+;1061.2:+700-032+","type;site;material;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation","sides:3->2;shape:prism->rectangular;cross_section:triangular->rectangular;area_section:FTrench VI->AB-;period_phase:Period 3C-1/Stratum IV->Period 4/Stratum I;order:700_last->700_first;long_token_set:156;255;400;435->233;527;550","H-358: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 11390579 | H-355: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 1274 | H-1294: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks PII-1499","Does target H-358 +034-700+ remain visually distinct from matched 033 H-355 +700-033+ and matched 032 H-1294 +700-032+? After source direction and side-order checks, is the target's context (short_after_all_longer; 156;255;400;435) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"31","B_034_400_740_176_bridge","strong_two_sibling_metadata_controls","74","H-308","1330.2","+700-034+","single_longer_text","short_after_all_longer","176;400;740","h_10_13/v_lt_7/area_lt_80/aspect_1p5_1p9","2569","Steatite/rectangular/rectangular","Period 3B/C/Stratum V/-14.0 ft","11.4 x 6.4 x 0","1330.1:+400-740-176+;1330.2:+700-034+","H-935","1815.2","39","+700-033+","single_longer_text","short_after_all_longer","176;400;740","h_10_13/v_lt_7/area_lt_80/aspect_1p5_1p9","1280509","Steatite/rectangular/rectangular","Period 3B/C/Stratum V/-13.0 ft","10.2 x 6.4 x 0","1815.1:+400-740-176+;1815.2:+700-033+","type;sides;site;material;shape;cross_section;symbol;area_section;period_phase;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order;long_token_set","","H-2146","841.2","35","+700-032+","single_longer_text","short_after_all_longer","220;415;520","h_10_13/v_lt_7/area_lt_80/aspect_1p5_1p9","H97-3300;Figure 16.14","Steatite/rectangular/rectangular","Period 3B/B/- -","11 x 6.8 x 2.5","841.1:+520-220-415+;841.2:+700-032+","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order","area_section:FTrench I->ETrench 11;period_phase:Period 3B/C/Stratum V->Period 3B/B;long_token_set:176;400;740->220;415;520","H-308: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 2569 | H-935: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 1280509 | H-2146: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H97-3300; Figure 16.14","Does target H-308 +700-034+ remain visually distinct from matched 033 H-935 +700-033+ and matched 032 H-2146 +700-032+? After source direction and side-order checks, is the target's context (short_after_all_longer; 176;400;740) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"32","B_034_400_740_176_bridge","strong_two_sibling_metadata_controls","71","H-313","1335.2","+700-034+","single_longer_text","short_after_all_longer","176;400;740","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","2648","Steatite/oval/rectangular","Period 3B/C/Stratum VI/-16.0 ft","14 x 7.6 x 0","1335.1:+400-740-176+;1335.2:+700-034+","H-1303","4077.2","39","+700-033+","single_longer_text","short_after_all_longer","176;400;740","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","2357879","Steatite/oval/rectangular","Period 3B/C/Stratum VI/-15.25 ft","13.2 x 7.6 x 0","4077.1:+400-740-176+;4077.2:+700-033+","type;sides;site;material;shape;cross_section;symbol;area_section;period_phase;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order;long_token_set","","H-315","1337.2","32","+700-032+","single_longer_text","short_after_all_longer","176;400;740","h_lt_10/v_ge_10/area_80_120/aspect_lt_1p5","10185c","Steatite/oval/rectangular","Period 3B/C/Stratum VI/-15.67 ft","7.6 x 12.7 x 0","1337.1:+400-740-176+;1337.2:+700-032+","type;sides;site;material;shape;cross_section;symbol;area_section;period_phase;area_bin;context_class;side_relation;order;long_token_set","h_bin:h_13_16->h_lt_10;v_bin:v_7_8p5->v_ge_10;aspect_bin:aspect_1p5_1p9->aspect_lt_1p5","H-313: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 2648 | H-1303: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 2357879 | H-315: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 10185c","Does target H-313 +700-034+ remain visually distinct from matched 033 H-1303 +700-033+ and matched 032 H-315 +700-032+? After source direction and side-order checks, is the target's context (short_after_all_longer; 176;400;740) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"33","B_034_400_740_176_bridge","strong_two_sibling_metadata_controls","68","H-312","1334.2","+700-034+","single_longer_text","short_after_all_longer","176;400;740","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","2483","Steatite/elliptical/rectangular","Period 3B/C/Stratum VI/-15.0 ft","14 x 7.6 x 0","1334.1:+400-740-176+;1334.2:+700-034+","H-1303","4077.2","36","+700-033+","single_longer_text","short_after_all_longer","176;400;740","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","2357879","Steatite/oval/rectangular","Period 3B/C/Stratum VI/-15.25 ft","13.2 x 7.6 x 0","4077.1:+400-740-176+;4077.2:+700-033+","type;sides;site;material;cross_section;symbol;area_section;period_phase;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order;long_token_set","shape:elliptical->oval","H-930","1810.2","32","+700-032+","single_longer_text","short_after_all_longer","004;740;900","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","J30520","Steatite/rectangular/rectangular","-/Stratum I/-2.0 ft","14 x 8.4 x 0","1810.1:+740-900-004+;1810.2:+700-032+","type;sides;site;material;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order","shape:elliptical->rectangular;area_section:FTrench I->D-;period_phase:Period 3B/C/Stratum VI->-/Stratum I;long_token_set:176;400;740->004;740;900","H-312: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 2483 | H-1303: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 2357879 | H-930: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks J30520","Does target H-312 +700-034+ remain visually distinct from matched 033 H-1303 +700-033+ and matched 032 H-930 +700-032+? After source direction and side-order checks, is the target's context (short_after_all_longer; 176;400;740) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"34","B_034_400_740_176_bridge","strong_two_sibling_metadata_controls","67","H-317","1339.2","+700-034+","single_longer_text","short_after_all_longer","176;400;740","h_10_13/v_lt_7/area_lt_80/aspect_ge_1p9","3025","Steatite/oval/rectangular","Period 3B/C/-/-12.0 ft","11.4 x 5.8 x 0","1339.1:+400-740-176+;1339.2:+700-034+","H-935","1815.2","34","+700-033+","single_longer_text","short_after_all_longer","176;400;740","h_10_13/v_lt_7/area_lt_80/aspect_1p5_1p9","1280509","Steatite/rectangular/rectangular","Period 3B/C/Stratum V/-13.0 ft","10.2 x 6.4 x 0","1815.1:+400-740-176+;1815.2:+700-033+","type;sides;site;material;cross_section;symbol;area_section;h_bin;v_bin;area_bin;context_class;side_relation;order;long_token_set","shape:oval->rectangular;period_phase:Period 3B/C/-->Period 3B/C/Stratum V;aspect_bin:aspect_ge_1p9->aspect_1p5_1p9","H-1312","229.2","33","+700-032+","single_longer_text","short_after_all_longer","001;031;032;740;904","h_13_16/v_lt_7/area_lt_80/aspect_ge_1p9","1154d554","Steatite/oval/rectangular","Period 3B/C/Stratum VI/-15.0 ft","13 x 6 x 0","229.1:+740-031-904-001-032+;229.2:+700-032+","type;sides;site;material;shape;cross_section;symbol;area_section;v_bin;area_bin;aspect_bin;context_class;side_relation;order","period_phase:Period 3B/C/-->Period 3B/C/Stratum VI;h_bin:h_10_13->h_13_16;long_token_set:176;400;740->001;031;032;740;904","H-317: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 3025 | H-935: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 1280509 | H-1312: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 1154d554","Does target H-317 +700-034+ remain visually distinct from matched 033 H-935 +700-033+ and matched 032 H-1312 +700-032+? After source direction and side-order checks, is the target's context (short_after_all_longer; 176;400;740) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"35","B_034_400_740_176_bridge","strong_two_sibling_metadata_controls","67","H-1273","265.2","+700-034+","single_longer_text","short_after_all_longer","176;400;740","h_10_13/v_7_8p5/area_80_120/aspect_1p5_1p9","2568508","Steatite/rectangular/rectangular","Period 3B-1/Stratum VII/-19.5 ft","11.4 x 7.1 x 0","265.1:+400-740-176+;265.2:+700-034+","H-900","1782.2","35","+700-033+","single_longer_text","short_after_all_longer","400;491;740;817","h_10_13/v_7_8p5/area_80_120/aspect_1p5_1p9","10059455/504","Steatite/rectangular/rectangular","Period 3C-1/Stratum IV/-6.0 ft","12.7 x 7.1 x 0","1782.1:+400-740-817-491+;1782.2:+700-033+","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order","area_section:FTrench III->FTrench IV+V;period_phase:Period 3B-1/Stratum VII->Period 3C-1/Stratum IV;long_token_set:176;400;740->400;491;740;817","H-930","1810.2","32","+700-032+","single_longer_text","short_after_all_longer","004;740;900","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","J30520","Steatite/rectangular/rectangular","-/Stratum I/-2.0 ft","14 x 8.4 x 0","1810.1:+740-900-004+;1810.2:+700-032+","type;sides;site;material;shape;cross_section;symbol;v_bin;area_bin;aspect_bin;context_class;side_relation;order","area_section:FTrench III->D-;period_phase:Period 3B-1/Stratum VII->-/Stratum I;h_bin:h_10_13->h_13_16;long_token_set:176;400;740->004;740;900","H-1273: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 2568508 | H-900: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 10059455/504 | H-930: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks J30520","Does target H-1273 +700-034+ remain visually distinct from matched 033 H-900 +700-033+ and matched 032 H-930 +700-032+? After source direction and side-order checks, is the target's context (short_after_all_longer; 176;400;740) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"36","B_034_400_740_176_bridge","strong_two_sibling_metadata_controls","65","H-314","1336.2","+700-034+","single_longer_text","short_after_all_longer","176;400;740","h_10_13/v_lt_7/area_80_120/aspect_1p5_1p9","3091","Steatite/oval/rectangular","Period 3B/C/Stratum V/-12.58 ft","12.7 x 6.9 x 0","1336.1:+400-740-176+;1336.2:+700-034+","H-1302","4073.2","34","+700-033+","single_longer_text","short_after_all_longer","176;400;740","h_13_16/v_lt_7/area_80_120/aspect_ge_1p9","2366","Steatite/oval/rectangular","Period 3B/C/Stratum VI/-15.25 ft","14 x 6.4 x 0","4073.1:+400-740-176+;4073.2:+700-033+","type;sides;site;material;shape;cross_section;symbol;area_section;v_bin;area_bin;context_class;side_relation;order;long_token_set","period_phase:Period 3B/C/Stratum V->Period 3B/C/Stratum VI;h_bin:h_10_13->h_13_16;aspect_bin:aspect_1p5_1p9->aspect_ge_1p9","H-315","1337.2","31","+700-032+","single_longer_text","short_after_all_longer","176;400;740","h_lt_10/v_ge_10/area_80_120/aspect_lt_1p5","10185c","Steatite/oval/rectangular","Period 3B/C/Stratum VI/-15.67 ft","7.6 x 12.7 x 0","1337.1:+400-740-176+;1337.2:+700-032+","type;sides;site;material;shape;cross_section;symbol;area_section;area_bin;context_class;side_relation;order;long_token_set","period_phase:Period 3B/C/Stratum V->Period 3B/C/Stratum VI;h_bin:h_10_13->h_lt_10;v_bin:v_lt_7->v_ge_10;aspect_bin:aspect_1p5_1p9->aspect_lt_1p5","H-314: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 3091 | H-1302: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 2366 | H-315: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 10185c","Does target H-314 +700-034+ remain visually distinct from matched 033 H-1302 +700-033+ and matched 032 H-315 +700-032+? After source direction and side-order checks, is the target's context (short_after_all_longer; 176;400;740) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"37","B_034_400_740_176_bridge","strong_two_sibling_metadata_controls","65","H-936","1816.2","+700-034+","single_longer_text","short_after_all_longer","176;400;740","h_lt_10/v_ge_10/area_80_120/aspect_lt_1p5","1242","Steatite/rectangular/rectangular","Period 3B/C/Stratum V/-12.0 ft","7.6 x 11.9 x 0","1816.1:+400-740-176+;1816.2:+700-034+","H-309","1331.2","30","+700-033+","single_longer_text","short_after_all_longer","176;400;740","h_lt_10/v_lt_7/area_lt_80/aspect_lt_1p5","2056(1)","Steatite/rectangular/-","Period 3B/C/-/-12.0 ft","8.9 x 6.4 x 0","1331.1:+400-740-176+;1331.2:+700-033+","type;sides;site;material;shape;symbol;area_section;h_bin;aspect_bin;context_class;side_relation;order;long_token_set","period_phase:Period 3B/C/Stratum V->Period 3B/C/-;v_bin:v_ge_10->v_lt_7;area_bin:area_80_120->area_lt_80","H-315","1337.2","35","+700-032+","single_longer_text","short_after_all_longer","176;400;740","h_lt_10/v_ge_10/area_80_120/aspect_lt_1p5","10185c","Steatite/oval/rectangular","Period 3B/C/Stratum VI/-15.67 ft","7.6 x 12.7 x 0","1337.1:+400-740-176+;1337.2:+700-032+","type;sides;site;material;cross_section;symbol;area_section;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order;long_token_set","shape:rectangular->oval;period_phase:Period 3B/C/Stratum V->Period 3B/C/Stratum VI","H-936: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 1242 | H-309: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 2056(1) | H-315: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 10185c","Does target H-936 +700-034+ remain visually distinct from matched 033 H-309 +700-033+ and matched 032 H-315 +700-032+? After source direction and side-order checks, is the target's context (short_after_all_longer; 176;400;740) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
