"policy","cisi","flags","lipi_site","lipi_type","lipi_dir","lipi_text","mayig_graphemes","lipi_zero_groups_removed","lipi_slash_compounds","source_lipi_signs","source_mayig_grapheme_count","analyzed_token_count","sequence","class_sequence","class_pattern","collapsed_class_pattern","first_sign","first_code","last_sign","last_code","missing_profile_tokens","missing_profile_share","initial_at_start","terminal_at_end","both_initial_terminal","medial_interior_count","strong_IMT_scaffold","review_status"
"p385_merge_only","M-169","lipi_unknown_zero;mayig_unknown_p000","Mohenjo-daro","SEAL:S","R/L","+740-575-017-000-000-031-032+","P324 P289 P127 P000 P145","2","0","5","5","5","L740 L575 L017 L031 L032","initial_operator_candidate sparse_unclassified sparse_unclassified weak_or_mixed_positional_candidate medial_core_candidate","ISSWM","ISWM","L740","I","L032","M","0","0","True","False","False","0","False","sensitivity_probe_only_not_semantic"
"mayig_observed_parpola","M-169","lipi_unknown_zero;mayig_unknown_p000","Mohenjo-daro","SEAL:S","R/L","+740-575-017-000-000-031-032+","P324 P289 P127 P000 P145","2","0","5","5","5","P324 P289 P127 P000 P145","initial_operator_candidate sparse_unclassified sparse_unclassified missing_profile medial_core_candidate","ISSUM","ISUM","P324","I","P145","M","1","0.2","True","False","False","0","False","sensitivity_probe_only_not_semantic"
"raw_lipi_numeric","M-176","mayig_unknown_p000","Mohenjo-daro","SEAL:S","R/L","+740-690+","P000 P255","0","0","2","2","2","L740 L690","initial_operator_candidate sparse_unclassified","IS","IS","L740","I","L690","S","0","0","True","False","False","0","False","sensitivity_probe_only_not_semantic"
"p385_merge_only","M-176","mayig_unknown_p000","Mohenjo-daro","SEAL:S","R/L","+740-690+","P000 P255","0","0","2","2","2","L740 L690","initial_operator_candidate sparse_unclassified","IS","IS","L740","I","L690","S","0","0","True","False","False","0","False","sensitivity_probe_only_not_semantic"
"mayig_observed_parpola","M-176","mayig_unknown_p000","Mohenjo-daro","SEAL:S","R/L","+740-690+","P000 P255","0","0","2","2","2","P000 P255","missing_profile missing_profile","UU","U","P000","U","P255","U","2","1","False","False","False","0","False","sensitivity_probe_only_not_semantic"
"raw_lipi_numeric","M-23","lipi_compound_slash","Mohenjo-daro","SEAL:S","R/L","+842-871-192-368/740-482-060-692-520-220-235-001-920+","P324 P197 P120 P256 P217 P050 P060 P121 P160 P350 P390 P076 P202","0","1","13","13","13","L842 L871 L192 L368 L740 L482 L060 L692 L520 L220 L235 L001 L920","missing_profile missing_profile missing_profile medial_core_candidate initial_operator_candidate missing_profile medial_core_candidate terminal_operator_candidate initial_operator_candidate medial_core_candidate medial_core_candidate medial_core_candidate weak_or_mixed_positional_candidate","UUUMIUMTIMMMW","UMIUMTIMW","L842","U","L920","W","4","0.307692","False","False","False","5","False","sensitivity_probe_only_not_semantic"
"p385_merge_only","M-23","lipi_compound_slash","Mohenjo-daro","SEAL:S","R/L","+842-871-192-368/740-482-060-692-520-220-235-001-920+","P324 P197 P120 P256 P217 P050 P060 P121 P160 P350 P390 P076 P202","0","1","13","13","13","L842 L871 L192 L368 L740 L482 L060 L692 L520 L220 L235 L001 L920","missing_profile missing_profile missing_profile medial_core_candidate initial_operator_candidate missing_profile medial_core_candidate terminal_operator_candidate initial_operator_candidate medial_core_candidate medial_core_candidate medial_core_candidate weak_or_mixed_positional_candidate","UUUMIUMTIMMMW","UMIUMTIMW","L842","U","L920","W","4","0.307692","False","False","False","5","False","sensitivity_probe_only_not_semantic"
"mayig_observed_parpola","M-23","lipi_compound_slash","Mohenjo-daro","SEAL:S","R/L","+842-871-192-368/740-482-060-692-520-220-235-001-920+","P324 P197 P120 P256 P217 P050 P060 P121 P160 P350 P390 P076 P202","0","1","13","13","13","P324 P197 P120 P256 P217 P050 P060 P121 P160 P350 P390 P076 P202","initial_operator_candidate missing_profile medial_core_candidate terminal_operator_candidate initial_operator_candidate medial_core_candidate medial_core_candidate medial_core_candidate sparse_unclassified missing_profile sparse_unclassified sparse_unclassified medial_core_candidate","IUMTIMMMSUSSM","IUMTIMSUSM","P324","I","P202","M","2","0.153846","True","False","False","4","False","sensitivity_probe_only_not_semantic"
"raw_lipi_numeric","M-28","mayig_unknown_p000","Mohenjo-daro","SEAL:S","R/L","+892-374-740-760-840-416-002-861+","P000 P103 P324 P332 P349 P095 P122 P385","0","0","8","8","8","L892 L374 L740 L760 L840 L416 L002 L861","sparse_unclassified sparse_unclassified initial_operator_candidate medial_core_candidate weak_or_mixed_positional_candidate sparse_unclassified medial_core_candidate terminal_operator_candidate","SSIMWSMT","SIMWSMT","L892","S","L861","T","0","0","False","True","False","2","False","sensitivity_probe_only_not_semantic"
"p385_merge_only","M-28","mayig_unknown_p000","Mohenjo-daro","SEAL:S","R/L","+892-374-740-760-840-416-002-861+","P000 P103 P324 P332 P349 P095 P122 P385","0","0","8","8","8","L892 L374 L740 L760 L840 L416 L002 P385","sparse_unclassified sparse_unclassified initial_operator_candidate medial_core_candidate weak_or_mixed_positional_candidate sparse_unclassified medial_core_candidate terminal_operator_candidate","SSIMWSMT","SIMWSMT","L892","S","P385","T","0","0","False","True","False","2","False","sensitivity_probe_only_not_semantic"
"mayig_observed_parpola","M-28","mayig_unknown_p000","Mohenjo-daro","SEAL:S","R/L","+892-374-740-760-840-416-002-861+","P000 P103 P324 P332 P349 P095 P122 P385","0","0","8","8","8","P000 P103 P324 P332 P349 P095 P122 P385","missing_profile sparse_unclassified initial_operator_candidate medial_core_candidate weak_or_mixed_positional_candidate sparse_unclassified medial_core_candidate terminal_operator_candidate","USIMWSMT","USIMWSMT","P000","U","P385","T","1","0.125","False","True","False","2","False","sensitivity_probe_only_not_semantic"
"raw_lipi_numeric","M-49","mayig_unknown_p000","Mohenjo-daro","SEAL:S","R/L","+527-550-240-220-032-002-300-350-032-190+","P000 P230 P062 P050 P145 P122 P205 P091 P145 P076","0","0","10","10","10","L527 L550 L240 L220 L032 L002 L300 L350 L032 L190","sparse_unclassified weak_or_mixed_positional_candidate medial_core_candidate medial_core_candidate medial_core_candidate medial_core_candidate missing_profile sparse_unclassified medial_core_candidate sparse_unclassified","SWMMMMUSMS","SWMUSMS","L527","S","L190","S","1","0.1","False","False","False","5","False","sensitivity_probe_only_not_semantic"
"p385_merge_only","M-49","mayig_unknown_p000","Mohenjo-daro","SEAL:S","R/L","+527-550-240-220-032-002-300-350-032-190+","P000 P230 P062 P050 P145 P122 P205 P091 P145 P076","0","0","10","10","10","L527 L550 L240 L220 L032 L002 L300 L350 L032 L190","sparse_unclassified weak_or_mixed_positional_candidate medial_core_candidate medial_core_candidate medial_core_candidate medial_core_candidate missing_profile sparse_unclassified medial_core_candidate sparse_unclassified","SWMMMMUSMS","SWMUSMS","L527","S","L190","S","1","0.1","False","False","False","5","False","sensitivity_probe_only_not_semantic"
"mayig_observed_parpola","M-49","mayig_unknown_p000","Mohenjo-daro","SEAL:S","R/L","+527-550-240-220-032-002-300-350-032-190+","P000 P230 P062 P050 P145 P122 P205 P091 P145 P076","0","0","10","10","10","P000 P230 P062 P050 P145 P122 P205 P091 P145 P076","missing_profile medial_core_candidate medial_core_candidate medial_core_candidate medial_core_candidate medial_core_candidate medial_core_candidate sparse_unclassified medial_core_candidate sparse_unclassified","UMMMMMMSMS","UMSMS","P000","U","P076","S","1","0.1","False","False","False","7","False","sensitivity_probe_only_not_semantic"
"raw_lipi_numeric","M-50","mayig_unknown_p000","Mohenjo-daro","SEAL:S","R/L","+740-585-017-033-705-240-798-002-820+","P324 P288 P127 P147 P316 P062 P230 P122 P000","0","0","9","9","9","L740 L585 L017 L033 L705 L240 L798 L002 L820","initial_operator_candidate missing_profile sparse_unclassified medial_core_candidate medial_core_candidate medial_core_candidate medial_core_candidate medial_core_candidate distributed_recurrent_candidate","IUSMMMMMD","IUSMD","L740","I","L820","D","1","0.111111","True","False","False","5","False","sensitivity_probe_only_not_semantic"
"p385_merge_only","M-50","mayig_unknown_p000","Mohenjo-daro","SEAL:S","R/L","+740-585-017-033-705-240-798-002-820+","P324 P288 P127 P147 P316 P062 P230 P122 P000","0","0","9","9","9","L740 L585 L017 L033 L705 L240 L798 L002 L820","initial_operator_candidate missing_profile sparse_unclassified medial_core_candidate medial_core_candidate medial_core_candidate medial_core_candidate medial_core_candidate distributed_recurrent_candidate","IUSMMMMMD","IUSMD","L740","I","L820","D","1","0.111111","True","False","False","5","False","sensitivity_probe_only_not_semantic"
"mayig_observed_parpola","M-50","mayig_unknown_p000","Mohenjo-daro","SEAL:S","R/L","+740-585-017-033-705-240-798-002-820+","P324 P288 P127 P147 P316 P062 P230 P122 P000","0","0","9","9","9","P324 P288 P127 P147 P316 P062 P230 P122 P000","initial_operator_candidate missing_profile sparse_unclassified medial_core_candidate medial_core_candidate medial_core_candidate medial_core_candidate medial_core_candidate missing_profile","IUSMMMMMU","IUSMU","P324","I","P000","U","2","0.222222","True","False","False","5","False","sensitivity_probe_only_not_semantic"
"raw_lipi_numeric","M-67","lipi_compound_slash","Mohenjo-daro","SEAL:S","R/L","+457/740-165-900-060-111-575+","P324 P342 P154 P120 P040 P289 P223","0","1","7","7","7","L457 L740 L165 L900 L060 L111 L575","missing_profile initial_operator_candidate sparse_unclassified medial_core_candidate medial_core_candidate sparse_unclassified sparse_unclassified","UISMMSS","UISMS","L457","U","L575","S","1","0.142857","False","False","False","2","False","sensitivity_probe_only_not_semantic"
"p385_merge_only","M-67","lipi_compound_slash","Mohenjo-daro","SEAL:S","R/L","+457/740-165-900-060-111-575+","P324 P342 P154 P120 P040 P289 P223","0","1","7","7","7","L457 L740 L165 L900 L060 L111 L575","missing_profile initial_operator_candidate sparse_unclassified medial_core_candidate medial_core_candidate sparse_unclassified sparse_unclassified","UISMMSS","UISMS","L457","U","L575","S","1","0.142857","False","False","False","2","False","sensitivity_probe_only_not_semantic"
"mayig_observed_parpola","M-67","lipi_compound_slash","Mohenjo-daro","SEAL:S","R/L","+457/740-165-900-060-111-575+","P324 P342 P154 P120 P040 P289 P223","0","1","7","7","7","P324 P342 P154 P120 P040 P289 P223","initial_operator_candidate sparse_unclassified medial_core_candidate medial_core_candidate sparse_unclassified sparse_unclassified missing_profile","ISMMSSU","ISMSU","P324","I","P223","U","1","0.142857","True","False","False","2","False","sensitivity_probe_only_not_semantic"
"raw_lipi_numeric","M-68","lipi_compound_slash","Mohenjo-daro","SEAL:S","R/L","+690-518/090-740-176-742-060-920+","P013 P324 P194 P326 P120 P160 P260 P047","0","1","8","8","8","L690 L518 L090 L740 L176 L742 L060 L920","sparse_unclassified missing_profile initial_operator_candidate initial_operator_candidate medial_core_candidate sparse_unclassified medial_core_candidate weak_or_mixed_positional_candidate","SUIIMSMW","SUIMSMW","L690","S","L920","W","1","0.125","False","False","False","2","False","sensitivity_probe_only_not_semantic"
"p385_merge_only","M-68","lipi_compound_slash","Mohenjo-daro","SEAL:S","R/L","+690-518/090-740-176-742-060-920+","P013 P324 P194 P326 P120 P160 P260 P047","0","1","8","8","8","L690 L518 L090 L740 L176 L742 L060 L920","sparse_unclassified missing_profile initial_operator_candidate initial_operator_candidate medial_core_candidate sparse_unclassified medial_core_candidate weak_or_mixed_positional_candidate","SUIIMSMW","SUIMSMW","L690","S","L920","W","1","0.125","False","False","False","2","False","sensitivity_probe_only_not_semantic"
"mayig_observed_parpola","M-68","lipi_compound_slash","Mohenjo-daro","SEAL:S","R/L","+690-518/090-740-176-742-060-920+","P013 P324 P194 P326 P120 P160 P260 P047","0","1","8","8","8","P013 P324 P194 P326 P120 P160 P260 P047","initial_operator_candidate initial_operator_candidate medial_core_candidate sparse_unclassified medial_core_candidate sparse_unclassified missing_profile missing_profile","IIMSMSUU","IMSMSU","P013","I","P047","U","2","0.25","True","False","False","2","False","sensitivity_probe_only_not_semantic"
"raw_lipi_numeric","M-79","lipi_compound_slash","Mohenjo-daro","SEAL:S","R/L","+688/740-100-240-233-002-861+","P324 P012 P062 P058 P122 P385 P247","0","1","7","7","7","L688 L740 L100 L240 L233 L002 L861","missing_profile initial_operator_candidate sparse_unclassified medial_core_candidate medial_core_candidate medial_core_candidate terminal_operator_candidate","UISMMMT","UISMT","L688","U","L861","T","1","0.142857","False","True","False","3","False","sensitivity_probe_only_not_semantic"
"p385_merge_only","M-79","lipi_compound_slash","Mohenjo-daro","SEAL:S","R/L","+688/740-100-240-233-002-861+","P324 P012 P062 P058 P122 P385 P247","0","1","7","7","7","L688 L740 L100 L240 L233 L002 P385","missing_profile initial_operator_candidate sparse_unclassified medial_core_candidate medial_core_candidate medial_core_candidate terminal_operator_candidate","UISMMMT","UISMT","L688","U","P385","T","1","0.142857","False","True","False","3","False","sensitivity_probe_only_not_semantic"
"mayig_observed_parpola","M-79","lipi_compound_slash","Mohenjo-daro","SEAL:S","R/L","+688/740-100-240-233-002-861+","P324 P012 P062 P058 P122 P385 P247","0","1","7","7","7","P324 P012 P062 P058 P122 P385 P247","initial_operator_candidate missing_profile medial_core_candidate medial_core_candidate medial_core_candidate terminal_operator_candidate missing_profile","IUMMMTU","IUMTU","P324","I","P247","U","2","0.285714","True","False","False","3","False","sensitivity_probe_only_not_semantic"
