object,site,region,type,material,shape,symbol,condition,complete,frame_before_inner,first_sign,text
H-1961,Harappa,Inter-Riverine,TAB:B,Clay,square,Gavi,Poor,Y,true,400,+400-740-440+
H-2585,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Poor,Y,true,400,+400-740-032+
H-900,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,true,400,+400-740-817-491+
H-2189,Harappa,Inter-Riverine,TAB:B,Steatite,heart,NA,Fair,Y,true,400,+400-740-152-240+
H-188,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Phyt,Good,Y,true,400,+400-090-740-100-415+
H-2109,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,true,400,+400-740-681+
H-2070,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,true,400,+400-740-817-276+
H-1945,Harappa,Inter-Riverine,TAB:B,Faience,prism,Fish,Poor,Y,true,400,+400-740-388-717-705+
M-879,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,false,740,+740-400-142-061+
H-1791,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,?,true,400,+400-740-100[
H-1774,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Scene,Good,Y,true,400,+400-740-335-482-175+
H-1182,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,true,400,+400-740-817-175+
H-816,Harappa,Inter-Riverine,TAB:B,Faience,hexagonal,NA,Fair,Y,true,400,+400-740-390-590+
H-187,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,Phyt,Good,Y,true,400,+400-740-463-495+
M-469,Mohenjo-daro,Lower Indus,TAB:B,Faience,rectangular,Xhch,Fair,Y,true,400,+400-740-220-415-798+
H-755,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Poor,?,true,400,+400-740-405-590[
H-211,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Poor,Y,true,400,+400-740-898-617+
H-232,Harappa,Inter-Riverine,TAB:B,Faience,notched oval,NA,Fair,Y,true,400,+400-740-177-519+
H-242,Harappa,Inter-Riverine,TAB:B,Faience,circular,Scene,Poor,N,true,400,+400-740-392-000-000-000-000-255-000+
H-245,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Fair,Y,true,400,+400-807-740-219+
H-247,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Poor,N,true,400,+400-740-335-000+
H-291,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Good,N,true,400,+400-740-927-000-235+
H-296,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,true,400,+400-740-575-017-920+
H-1178,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Fair,Y,true,400,+400-740-636-240+
K-63,Kalibangan,Inter-Riverine,SEAL:R,Steatite,cuboid,NA,Fair,Y,true,400,+400-740-776-495+
H-988,Harappa,Inter-Riverine,TAB:I,Steatite,cuboid,Bult,Poor,Y,true,400,+400-740-636-240-031-032-171+
H-302,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Good,Y,true,400,+400-760-740-220-416+
H-959,Harappa,Inter-Riverine,TAB:I,Steatite,oval,NA,Fair,Y,true,400,+400-740-178+
H-892,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,true,400,+400-740-336-176+
H-351,Harappa,Inter-Riverine,TAB:I,Steatite,prism,X,Good,Y,true,400,+400-740-032-060-013+
H-471,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Poor,?,false,740,+740-400-142-061-368[
H-722,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,Phyt,Poor,N,true,400,+400-090-740-000[
M-1312,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,true,400,+400-740-220+
H-763,Harappa,Inter-Riverine,TAB:B,Steatite,rectangular,NA,Poor,?,true,400,+400-740-920-320-233[
H-768,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,N,true,400,+400-740-033-705-233-235-000+
H-783,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,NA,Poor,N,true,400,+400-740-690-000+
H-787,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Fair,Y,true,400,+400-740-176-700-033+
H-790,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Good,Y,true,400,+400-740-384-033+
H-802,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,N,true,400,+400-740-337-000+
H-817,Harappa,Inter-Riverine,TAB:B,Faience,notched oval,NA,Fair,Y,true,400,+400-740-336-018+
-:4290.1,Rajanpur,Inter-Riverine,TAB:B,NA,rectangular,Maze,Good,Y,true,400,+400-740-690-436-255+
H-836,Harappa,Inter-Riverine,TAB:B,NA,NA,NA,Poor,N,true,400,+400-000-740-000-000+
H-1149,Harappa,Inter-Riverine,TAB:B,NA,circular,NA,Fair,Y,true,400,+400-740-790+
H-842,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Fair,Y,true,400,+400-740-861+
H-1151,Harappa,Inter-Riverine,TAB:B,NA,rectangular,Phyt,Poor,N,true,400,+400-740-840-000+
H-846,Harappa,Inter-Riverine,TAB:B,Faience,prism,Gavi,Fair,Y,true,400,+400-740-100-031-705+
H-854,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bult,Poor,Y,true,400,+400-740-335-003+
H-875,Harappa,Inter-Riverine,TAB:B,Clay,cuboid,NA,Fair,Y,true,400,+400-740-840-013+
H-891,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,N,true,400,+400-740-590-017-000+
H-893,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,true,400,+400-740-337+
H-895,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Poor,N,true,400,+400-740-630-000[
H-1191,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Good,Y,true,400,+400-740-760-220-416+
H-916,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,true,400,+400-740-032-059+
H-977,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Fish,Poor,N,true,400,+400-740-032-000[
H-926,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,N,true,400,+400-740-840-000-220+
H-1160,Harappa,Inter-Riverine,TAB:I,NA,rectangular,Gavi,Poor,N,true,400,+400-740-760-000[
H-983,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Bult,Fair,Y,true,400,+400-740-637-240+
K-15,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:II,Fine,Y,true,871,+871-947/400-740-543-350-895-785-220-335+
K-68,Kalibangan,Inter-Riverine,TAB:B,Faience,cuboid,Bull1,Poor,Y,true,400,+400-740-263+
K-98,Kalibangan,Inter-Riverine,POT:T:g,NA,NA,NA,Poor,?,true,400,+400-740-411-590[
M-2113,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,Y,true,400,+400-740-760-435-690+
M-1772,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Good,Y,false,740,+740-400-142-061-002-798-435-255-705+
M-1891,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,true,400,+400-740-017-503-240+
M-2098,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Good,Y,true,400,+400-740-176-140+
M-1651,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,Y,true,400,+400-740-585-838-240+
M-1725,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,true,400,+400-740-100-140-003+
M-2107,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Good,Y,true,400,+400-740-840-013-240+
M-145,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:U,Fair,Y,false,740,+740-400-142-880+
M-231,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Good,Y,true,400,+400-740-100-415+
M-263,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Good,Y,false,090,+090-740-400-350-031-545+
M-471,Mohenjo-daro,Lower Indus,TAB:B,NA,rectangular,NA,Fair,Y,true,400,+400-740-904-798-460-350+
M-482,Mohenjo-daro,Lower Indus,TAB:B,Clay,rectangular,Mult,Fair,Y,true,400,+400-740-803+
M-947,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Fair,Y,true,400,+400-090-740-035-171-061+
M-1133,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Rhin,Poor,N,false,463,+463-513-740-400-142-000+
M-1135,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Rhin,Good,Y,false,740,+740-061-002-400-703+
M-1224,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Mult,Good,Y,true,400,+400-090-740-032-840+
M-1402,Mohenjo-daro,Lower Indus,TAB:B,Terracotta,cuboid,Mult,Poor,N,true,000,+000-388-400-740-000-617+
M-1408,Mohenjo-daro,Lower Indus,TAB:B,Clay,cuboid,NA,Poor,Y,true,400,+400-740-033-503+
M-1438,Mohenjo-daro,Lower Indus,SEAL:R,NA,semi-circular,NA,Poor,Y,true,400,+400-740-923-226-032+
-:3769.1,Ganweriwala,Inter-Riverine,TAG,Terracotta,twisted rectangular-rounded,NA,Poor,Y,false,740,+740-400-061-299-350-125-176+
M-1650,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Fair,N,true,400,+400-740-760-032-033-000-550+
M-2103,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,N,true,400,+400-740-760-000-000+
-:4226.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1,Poor,Y,true,400,+400-740-920+
K-417,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Fair,?,true,400,]400-740-055+
Ns-63,Nausharo,Lower Indus,POT:T:g,Clay,NA,NA,Poor,Y,true,795,+795-400-740+
Ns-66,Nausharo,Lower Indus,POT:T:g,Clay,NA,NA,Fair,N,true,033,+033-999-400-090-740-100-000-002-892-000-002+
