"cluster_id","cluster_text","cluster_third_slot","cluster_exact_three","companion_id","cisi","same_row","region","site","area_section","material","shape","type","sides","dir","class","text_length","text","signs","pattern_110","pattern_700_034","pattern_700_033","pattern_700_032","starts_520_220"
"1821.2","+520-220-415+","415","True","1821.1","H-941","False","Inter-Riverine","Harappa","FGranery","Steatite","rectangular","TAB:I","2","R/L","SC","4","+590-032-645-003+","4","False","False","False","False","False"
"1821.2","+520-220-415+","415","True","1821.2","H-941","True","Inter-Riverine","Harappa","FGranery","Steatite","rectangular","TAB:I","2","R/L","MT","3","+520-220-415+","3","False","False","False","False","True"
"1822.1","+520-220-016+","016","True","1822.2","H-942","False","Inter-Riverine","Harappa","AB-","Steatite","rectangular","TAB:I","2","R/L","NV","2","+033-700+","2","False","False","True","False","False"
"1822.1","+520-220-016+","016","True","1822.1","H-942","True","Inter-Riverine","Harappa","AB-","Steatite","rectangular","TAB:I","2","L/R","MT","3","+520-220-016+","3","False","False","False","False","True"
"5277.1","+520-220-006+","006","True","5277.1","K-150","True","Inter-Riverine","Kalibangan","KLB-1-","Steatite","square","SEAL:S","1","R/L","MT","3","+520-220-006+","3","False","False","False","False","True"
"2052.1","+520-220-415-519+","415","False","2052.1","L-98","True","Gujarat/Kutch","Lothal","SRG 3BX 2","Steatite","rectangular","SEAL:R","1","R/L","MT","4","+520-220-415-519+","4","False","False","False","False","True"
"3413.1","+520-220-415-817[","415","False","3413.1","M-1031","True","Lower Indus","Mohenjo-daro","SD-","-","square","SEAL:S","1","R/L","UC","4+?","+520-220-415-817[","4","False","False","False","False","True"
"3421.1","+520-220-032-002-861+","032","False","3421.1","M-1044","True","Lower Indus","Mohenjo-daro","HRB","Steatite","square","SEAL:S","1","R/L","SP","5","+520-220-032-002-861+","5","False","False","False","False","True"
"3464.1","+520-220-235-000-130-741+","235","False","3464.1","M-1090","True","Lower Indus","Mohenjo-daro","DKG","Steatite","square","SEAL:S","1","R/L","??","6","+520-220-235-000-130-741+","5","False","False","False","False","True"
"3509.1","+520-220-002-861+","002","False","3509.1","M-1148","True","Lower Indus","Mohenjo-daro","DKG. (S)","Steatite","square","SEAL:S","1","R/L","SP","4","+520-220-002-861+","4","False","False","False","False","True"
"3556.1","+520-220-034+","034","True","3556.2","M-1206","False","Lower Indus","Mohenjo-daro","DKG. (S)","Steatite","square","SEAL:S","2","R/L","IT","6","+740-690-435-255-002-861+","6","False","False","False","False","False"
"3556.1","+520-220-034+","034","True","3556.1","M-1206","True","Lower Indus","Mohenjo-daro","DKG. (S)","Steatite","square","SEAL:S","2","R/L","MT","3","+520-220-034+","3","False","False","False","False","True"
"2681.1","+520-220-621-415-002-257-898+","621","False","2681.1","M-154","True","Lower Indus","Mohenjo-daro","DKG. (S)","Steatite","square","SEAL:S","1","R/L","2L","7","+520-220-621-415-002-257-898+","7","False","False","False","False","True"
"2689.1","+520-220-415-060-820+","415","False","2689.1","M-163","True","Lower Indus","Mohenjo-daro","HRB","Steatite","square","SEAL:S","1","R/L","SP","5","+520-220-415-060-820+","5","False","False","False","False","True"
"2516.1","+520-220-003-741-060-920+","003","False","2516.1","M-1672","True","Lower Indus","Mohenjo-daro","VSA","Steatite","square","SEAL:S","1","R/L","SP","6","+520-220-003-741-060-920+","6","False","False","False","False","True"
"2485.1","+520-220-368-817+","368","False","2485.1","M-1687","True","Lower Indus","Mohenjo-daro","HRA","Steatite","square","SEAL:S","1","R/L","IT","4","+520-220-368-817+","4","False","False","False","False","True"
"2506.1","+520-220-240-803-002-820+","240","False","2506.1","M-1716","True","Lower Indus","Mohenjo-daro","VS-","Steatite","square","SEAL:S","1","R/L","SP","6","+520-220-240-803-002-820+","6","False","False","False","False","True"
"2513.1","+520-220-803-741-262+","803","False","2513.1","M-1776","True","Lower Indus","Mohenjo-daro","VSA","Steatite","square","SEAL:S","1","R/L","SP","5","+520-220-803-741-262+","5","False","False","False","False","True"
"2420.1","+520-220-415-240+","415","False","2420.1","M-1814","True","Lower Indus","Mohenjo-daro","DKE","Steatite","square","SEAL:S","1","R/L","MT","4","+520-220-415-240+","4","False","False","False","False","True"
"3995.1","+520-220-001-820-220-063-315+","001","False","3995.1","M-1843","True","Lower Indus","Mohenjo-daro","DK-","-","square","SEAL:S","1","R/L","LP","7","+520-220-001-820-220-063-315+","7","False","False","False","False","True"
"2510.1","+520-220-016-002-416-000+","016","False","2510.1","M-1884","True","Lower Indus","Mohenjo-daro","DKA","Steatite","square","SEAL:S","1","R/L","??","6","+520-220-016-002-416-000+","5","False","False","False","False","True"
"2441.1","+520-220-003+","003","True","2441.1","M-1912","True","Lower Indus","Mohenjo-daro","HRA","Steatite","square","SEAL:S","1","R/L","MT","3","+520-220-003+","3","False","False","False","False","True"
"2800.1","+520-220-415-002-700-000+","415","False","2800.1","M-279","True","Lower Indus","Mohenjo-daro","DK-","Steatite","square","SEAL:S","1","R/L","??","6","+520-220-415-002-700-000+","5","False","False","False","False","True"
"2827.1","+520-220-002-727-317+","002","False","2827.1","M-308","True","Lower Indus","Mohenjo-daro","DKG. (N)","Steatite","square","SEAL:S","1","R/L","SP","5","+520-220-002-727-317+","5","False","False","False","False","True"
"2841.1","+520-220-415-235+","415","False","2841.1","M-323","True","Lower Indus","Mohenjo-daro","DKE","Steatite","square","SEAL:S","1","R/L","MT","4","+520-220-415-235+","4","False","False","False","False","True"
"2565.1","+520-220-415+","415","True","2565.1","M-37","True","Lower Indus","Mohenjo-daro","DKB","Steatite","square","SEAL:S","1","R/L","MT","3","+520-220-415+","3","False","False","False","False","True"
"2891.1","+520-220-415-798+","415","False","2891.1","M-395","True","Lower Indus","Mohenjo-daro","DKG. (N)","Steatite","cuboid-convex","SEAL:R","1","R/L","MT","4","+520-220-415-798+","4","False","False","False","False","True"
"2593.1","+520-220-031-001-706-575+","031","False","2593.1","M-65","True","Lower Indus","Mohenjo-daro","DKG. (S)","Steatite","square","SEAL:S","1","R/L","MS","6","+520-220-031-001-706-575+","6","False","False","False","False","True"
"3094.1","+520-220-415-519-002-817+","415","False","3094.1","M-650","True","Lower Indus","Mohenjo-daro","HRB","Steatite","square","SEAL:S","1","R/L","SP","6","+520-220-415-519-002-817+","6","False","False","False","False","True"
"3140.1","+520-220-016-741-556-000[","016","False","3140.1","M-715","True","Lower Indus","Mohenjo-daro","DKG. (S)","Steatite","square","SEAL:S","1","R/L","??","6+?","+520-220-016-741-556-000[","5","False","False","False","False","True"
"2603.1","+520-220-004-002-817+","004","False","2603.1","M-75","True","Lower Indus","Mohenjo-daro","VSA","Steatite","square","SEAL:S","1","R/L","SP","5","+520-220-004-002-817+","5","False","False","False","False","True"
"2265.1","+520-220-240-741-440+","240","False","2265.1","M-888","True","Lower Indus","Mohenjo-daro","DKB","Steatite","square","SEAL:S","1","R/L","SP","5","+520-220-240-741-440+","5","False","False","False","False","True"
"3357.1","+520-220-240-235+","240","False","3357.1","M-962","True","Lower Indus","Mohenjo-daro","DK-","-","square","SEAL:S","1","R/L","MT","4","+520-220-240-235+","4","False","False","False","False","True"
"5360.1","+520-220-742-060-920+","742","False","5360.1","Ns-59","True","Lower Indus","Nausharo","--","Steatite","square","SEAL:S","1","R/L","SP","5","+520-220-742-060-920+","5","False","False","False","False","True"
