"id","cisi","site","region","area_section","material","shape","type","sides","condition","complete","dir","class","text_length","text","signs","length","position_0","position_1","at_start","at_end","prev","next","next2","prev2","frame","damaged_or_open"
"865.2","H-2152","Harappa","Inter-Riverine","ETrench 11","Steatite","rectangular","TAB:I","2","Poor","?","R/L","UC","2+?","]220-415+","220-415","2","0","1","True","False","<START>","415","<END>","<START>","<START>-220-415","True"
"913.1","H-1992","Harappa","Inter-Riverine","ETrench 11","Faience","cylindrical","TAB:B","2","Poor","Y","R/L","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
"913.2","H-1992","Harappa","Inter-Riverine","ETrench 11","Faience","cylindrical","TAB:B","2","Poor","Y","R/L","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
"1025.2","H-2178","Harappa","Inter-Riverine","FTrench 43","Steatite","-","TAB:I","2","Poor","?","R/L","UC","2+?","]220-415+","220-415","2","0","1","True","False","<START>","415","<END>","<START>","<START>-220-415","True"
"1169.1","H-103","Harappa","Inter-Riverine","AB-","Steatite","square","SEAL:S","1","Fair","Y","R/L","3L","10","+159-097/520-033-705/740-717-220-415-806+","159-097-520-033-705-740-717-220-415-806","10","7","8","False","False","717","415","806","740","717-220-415","False"
"1174.1","H-133","Harappa","Inter-Riverine","FTrench IV+V","Steatite","cuboid-convex","SEAL:R","1","Fair","Y","R/L","LP","7","+740-554-220-415-798-060-692+","740-554-220-415-798-060-692","7","2","3","False","False","554","415","798","740","554-220-415","False"
"1234.1","H-203","Harappa","Inter-Riverine","F-","Faience","rectangular","TAB:B","1","Good","Y","R/L","MT","5","+400-740-220-415-798+","400-740-220-415-798","5","2","3","False","False","740","415","798","400","740-220-415","False"
"1294.1","H-270","Harappa","Inter-Riverine","AB-","Steatite","square","SEAL:S","1","Fair","Y","R/L","LP","9","+740-482-055-220-415-798-803-742-617+","740-482-055-220-415-798-803-742-617","9","3","4","False","False","055","415","798","482","055-220-415","False"
"1300.1","H-278","Harappa","Inter-Riverine","F-","Steatite","cylindrical","TAB:B","1","Fair","Y","R/L","LT","11","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","False","False","318","415","803","920","318-220-415","False"
"1301.1","H-279","Harappa","Inter-Riverine","FGranery","Clay","cylindrical","TAB:B","1","Poor","Y","R/L","LT","11","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","False","False","318","415","803","920","318-220-415","False"
"1302.1","H-280","Harappa","Inter-Riverine","FGranery","Clay","cylindrical","TAB:B","1","Poor","Y","R/L","LT","11","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","False","False","318","415","803","920","318-220-415","False"
"1303.1","H-281","Harappa","Inter-Riverine","FGranery","Clay","cylindrical","TAB:B","1","Fair","Y","R/L","LT","11","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","False","False","318","415","803","920","318-220-415","False"
"1304.1","H-282","Harappa","Inter-Riverine","FTrench I","-","cylindrical","TAB:B","1","Fair","Y","R/L","LT","11","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","False","False","318","415","803","920","318-220-415","False"
"1305.1","H-283","Harappa","Inter-Riverine","--","-","cylindrical","TAB:B","1","Fair","Y","R/L","LT","11","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","False","False","318","415","803","920","318-220-415","False"
"1306.1","H-284","Harappa","Inter-Riverine","FGranery","Clay","cylindrical","TAB:B","1","Poor","Y","R/L","LT","11","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","False","False","318","415","803","920","318-220-415","False"
"1341.1","H-319","Harappa","Inter-Riverine","FTrench IV+V","Steatite","oval","TAB:I","2","Good","Y","R/L","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
"1366.1","H-346","Harappa","Inter-Riverine","FTrench IV+V","Steatite","circular","TAB:I","2","Fair","Y","R/L","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
"1383.1","H-364","Harappa","Inter-Riverine","FTrench I","Steatite","cuboid","TAB:I","1","Fair","Y","R/L","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
"1407.1","H-396","Harappa","Inter-Riverine","F-","Steatite","square","SEAL:S","1","Poor","N","R/L","??","6+?","+832-904-220-415-806-000[","832-904-220-415-806-000","6","2","3","False","False","904","415","806","832","904-220-415","True"
"1536.1","H-592","Harappa","Inter-Riverine","--","-","square","SEAL:S","1","Poor","Y","R/L","MT","6","+740-575-017-220-415-803+","740-575-017-220-415-803","6","3","4","False","False","017","415","803","575","017-220-415","False"
"1641.1","H-748","Harappa","Inter-Riverine","FGranery","Faience","cuboid","TAB:B","1","Fair","Y","R/L","MT","5","+400-740-220-415-798+","400-740-220-415-798","5","2","3","False","False","740","415","798","400","740-220-415","False"
"1659.1","H-767","Harappa","Inter-Riverine","FTrench IV+V","Clay","plano-convex","TAB:B","2","Fair","Y","R/L","MT","5","+400-740-220-415-798+","400-740-220-415-798","5","2","3","False","False","740","415","798","400","740-220-415","False"
"1677.2","H-786","Harappa","Inter-Riverine","--","-","rectangular","TAB:B","2","Good","Y","R/L","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
"1754.1","H-871","Harappa","Inter-Riverine","FGranery","Clay","cylindrical","TAB:B","1","Poor","Y","R/L","LT","11","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","False","False","318","415","803","920","318-220-415","False"
"1755.1","H-872","Harappa","Inter-Riverine","FGranery","Clay","cylindrical","TAB:B","1","Poor","Y","R/L","LT","11","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","False","False","318","415","803","920","318-220-415","False"
"1756.1","H-873","Harappa","Inter-Riverine","F-","Clay","cylindrical","TAB:B","1","Poor","Y","R/L","LT","11","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","False","False","318","415","803","920","318-220-415","False"
"1818.1","H-938","Harappa","Inter-Riverine","F-","Steatite","rectangular","TAB:I","2","Good","Y","L/R","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
"1819.2","H-939","Harappa","Inter-Riverine","D-","Steatite","rectangular","TAB:I","2","Poor","Y","L/R","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
"1820.1","H-940","Harappa","Inter-Riverine","FGranery","Steatite","rectangular","TAB:I","2","Fair","Y","R/L","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
"1821.2","H-941","Harappa","Inter-Riverine","FGranery","Steatite","rectangular","TAB:I","2","Poor","Y","R/L","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
"1849.1","H-972","Harappa","Inter-Riverine","FTrench IV+V","Steatite","heart","TAB:I","1","Poor","N","R/L","??","3","+000-220-415+","000-220-415","3","1","2","False","False","000","415","<END>","<START>","000-220-415","False"
"2052.1","L-98","Lothal","Gujarat/Kutch","SRG 3BX 2","Steatite","rectangular","SEAL:R","1","Good","Y","R/L","MT","4","+520-220-415-519+","520-220-415-519","4","1","2","False","False","520","415","519","<START>","520-220-415","False"
"2178.1","M-1696","Mohenjo-daro","Lower Indus","DKB","Steatite","square","SEAL:S","1","Fair","Y","R/L","LP","7","+520-033-705-220-415-002-861+","520-033-705-220-415-002-861","7","3","4","False","False","705","415","002","033","705-220-415","False"
"2234.1","M-1956","Mohenjo-daro","Lower Indus","DKG. (N)","Steatite","rectangular","SEAL:R","1","Good","Y","R/L","MT","7","+740-900-790-220-415-798-806+","740-900-790-220-415-798-806","7","3","4","False","False","790","415","798","900","790-220-415","False"
"2360.1","M-1971","Mohenjo-daro","Lower Indus","DKG. (S)","Steatite","rectangular","SEAL:R","1","Good","N","R/L","??","7","+000-550-033-706-220-415-798+","000-550-033-706-220-415-798","7","4","5","False","False","706","415","798","033","706-220-415","False"
"2377.1","M-707","Mohenjo-daro","Lower Indus","DKG. (S)","Steatite","square","SEAL:S","1","Fair","Y","R/L","LP","7","+740-760-001-220-415-798-803+","740-760-001-220-415-798-803","7","3","4","False","False","001","415","798","760","001-220-415","False"
"2401.1","M-1680","Mohenjo-daro","Lower Indus","DKG. (S)","Steatite","square","SEAL:S","1","Fair","Y","R/L","MT","4","+740-717-220-415+","740-717-220-415","4","2","3","False","False","717","415","<END>","740","717-220-415","False"
"2420.1","M-1814","Mohenjo-daro","Lower Indus","DKE","Steatite","square","SEAL:S","1","Poor","Y","R/L","MT","4","+520-220-415-240+","520-220-415-240","4","1","2","False","False","520","415","240","<START>","520-220-415","False"
"2422.1","M-1954","Mohenjo-daro","Lower Indus","DKE","Steatite","rectangular","SEAL:R","1","Fair","Y","R/L","LP","12","+740-407-590-031-752-033-705-220-415-798-002-861+","740-407-590-031-752-033-705-220-415-798-002-861","12","7","8","False","False","705","415","798","033","705-220-415","False"
"2480.1","M-1985","Mohenjo-daro","Lower Indus","HRB","Steatite","rectangular","SEAL:R","1","Fair","Y","R/L","LC","7","+100-904-717-220-415-806-742+","100-904-717-220-415-806-742","7","3","4","False","False","717","415","806","904","717-220-415","False"
"2565.1","M-37","Mohenjo-daro","Lower Indus","DKB","Steatite","square","SEAL:S","1","Fine","Y","R/L","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
"2580.1","M-52","Mohenjo-daro","Lower Indus","DKD","Steatite","square","SEAL:S","1","Good","Y","R/L","LP","10","+740-904-032-220-415-235-803-002-504-717+","740-904-032-220-415-235-803-002-504-717","10","3","4","False","False","032","415","235","904","032-220-415","False"
"2636.1","M-109","Mohenjo-daro","Lower Indus","HRB","Steatite","square","SEAL:S","1","Good","Y","R/L","LP","7","+740-879-220-415-002-287-140+","740-879-220-415-002-287-140","7","2","3","False","False","879","415","002","740","879-220-415","False"
"2689.1","M-163","Mohenjo-daro","Lower Indus","HRB","Steatite","square","SEAL:S","1","Poor","Y","R/L","SP","5","+520-220-415-060-820+","520-220-415-060-820","5","1","2","False","False","520","415","060","<START>","520-220-415","False"
"2800.1","M-279","Mohenjo-daro","Lower Indus","DK-","Steatite","square","SEAL:S","1","Poor","N","R/L","??","6","+520-220-415-002-700-000+","520-220-415-002-700-000","6","1","2","False","False","520","415","002","<START>","520-220-415","False"
"2841.1","M-323","Mohenjo-daro","Lower Indus","DKE","Steatite","square","SEAL:S","1","Poor","Y","R/L","MT","4","+520-220-415-235+","520-220-415-235","4","1","2","False","False","520","415","235","<START>","520-220-415","False"
"2861.1","M-365","Mohenjo-daro","Lower Indus","DKG. (S)","Steatite","cuboid-convex","SEAL:R","1","Good","Y","R/L","LP","8","+527-550-033-705-220-415-060-550+","527-550-033-705-220-415-060-550","8","4","5","False","False","705","415","060","033","705-220-415","False"
"2865.1","M-369","Mohenjo-daro","Lower Indus","DKG. (S)","Steatite","cuboid-convex","SEAL:R","1","Good","Y","R/L","LP","11","+740-690-435-255-240-220-415-806-742-060-920+","740-690-435-255-240-220-415-806-742-060-920","11","5","6","False","False","240","415","806","255","240-220-415","False"
"2891.1","M-395","Mohenjo-daro","Lower Indus","DKG. (N)","Steatite","cuboid-convex","SEAL:R","1","Good","Y","R/L","MT","4","+520-220-415-798+","520-220-415-798","4","1","2","False","False","520","415","798","<START>","520-220-415","False"
"2902.1","M-406","Mohenjo-daro","Lower Indus","--","Steatite","cuboid-convex","SEAL:R","1","Poor","N","R/L","??","4+?","]000-220-415-832[","000-220-415-832","4","1","2","False","False","000","415","832","<START>","000-220-415","True"
"2908.1","M-412","Mohenjo-daro","Lower Indus","DKC","Steatite","cuboid","SEAL:R","1","Poor","Y","R/L","SC","5","+031-625-140-220-415+","031-625-140-220-415","5","3","4","False","False","140","415","<END>","625","140-220-415","False"
"2953.1","M-468","Mohenjo-daro","Lower Indus","--","-","rectangular","TAB:B","1","Fair","Y","R/L","MT","5","+400-740-220-415-798+","400-740-220-415-798","5","2","3","False","False","740","415","798","400","740-220-415","False"
"2954.1","M-469","Mohenjo-daro","Lower Indus","DKG. (S)","Faience","rectangular","TAB:B","1","Fair","Y","R/L","MT","5","+400-740-220-415-798+","400-740-220-415-798","5","2","3","False","False","740","415","798","400","740-220-415","False"
"2983.1","M-507","Mohenjo-daro","Lower Indus","DK-","Copper","square","TAB:C","1","Fair","Y","R/L","MT","4","+407-845-220-415+","407-845-220-415","4","2","3","False","False","845","415","<END>","407","845-220-415","False"
"2984.1","M-508","Mohenjo-daro","Lower Indus","DK-","Copper","square","TAB:C","1","Poor","Y","R/L","MT","4","+407-845-220-415+","407-845-220-415","4","2","3","False","False","845","415","<END>","407","845-220-415","False"
"3074.1","M-623","Mohenjo-daro","Lower Indus","--","-","square","SEAL:S","1","Poor","Y","R/L","LP","11","+740-760-175-176-220-415-798-002-299-530-820+","740-760-175-176-220-415-798-002-299-530-820","11","4","5","False","False","176","415","798","175","176-220-415","False"
"3082.1","M-632","Mohenjo-daro","Lower Indus","HRB","Steatite","square","SEAL:S","1","Poor","N","R/L","??","7+?","]000-220-415-798-746-442-556+","000-220-415-798-746-442-556","7","1","2","False","False","000","415","798","<START>","000-220-415","True"
"3084.1","M-634","Mohenjo-daro","Lower Indus","DKG. (S)","Steatite","square","SEAL:S","1","Poor","Y","R/L","LC","10","+679-740-220-415-001-820-812-820-140-820+","679-740-220-415-001-820-812-820-140-820","10","2","3","False","False","740","415","001","679","740-220-415","False"
"3094.1","M-650","Mohenjo-daro","Lower Indus","HRB","Steatite","square","SEAL:S","1","Fair","Y","R/L","SP","6","+520-220-415-519-002-817+","520-220-415-519-002-817","6","1","2","False","False","520","415","519","<START>","520-220-415","False"
"3100.1","M-661","Mohenjo-daro","Lower Indus","DKG. (N)","Steatite","square","SEAL:S","1","Fair","Y","R/L","SP","6","+740-798-220-415-741-072+","740-798-220-415-741-072","6","2","3","False","False","798","415","741","740","798-220-415","False"
"3113.1","M-674","Mohenjo-daro","Lower Indus","DKD","Steatite","square","SEAL:S","1","Fair","Y","R/L","MT","5","+520-033-706-220-415+","520-033-706-220-415","5","3","4","False","False","706","415","<END>","033","706-220-415","False"
"3186.1","M-768","Mohenjo-daro","Lower Indus","DKE","Steatite","square","SEAL:S","1","Poor","?","R/L","UC","5+?","+520-920-320-220-415[","520-920-320-220-415","5","3","4","False","False","320","415","<END>","920","320-220-415","True"
"3305.1","M-900","Mohenjo-daro","Lower Indus","DKG. (S)","Steatite","square","SEAL:S","1","Poor","Y","R/L","LP","10","+740-390-590-233-220-415-798-838-002-820+","740-390-590-233-220-415-798-838-002-820","10","4","5","False","False","233","415","798","590","233-220-415","False"
"3311.1","M-914","Mohenjo-daro","Lower Indus","DKG. (N)","Steatite","square","SEAL:S","1","Fair","Y","R/L","MT","5","+520-920-320-220-415+","520-920-320-220-415","5","3","4","False","False","320","415","<END>","920","320-220-415","False"
"3338.1","M-943","Mohenjo-daro","Lower Indus","DKG. (S)","Steatite","square","SEAL:S","1","Good","Y","R/L","MT","5","+740-176-220-415-798+","740-176-220-415-798","5","2","3","False","False","176","415","798","740","176-220-415","False"
"3409.1","M-1027","Mohenjo-daro","Lower Indus","DK-","-","square","SEAL:S","1","Poor","N","R/L","??","7+?","+740-176-220-415-002-435-000[","740-176-220-415-002-435-000","7","2","3","False","False","176","415","002","740","176-220-415","True"
"3413.1","M-1031","Mohenjo-daro","Lower Indus","SD-","-","square","SEAL:S","1","Poor","?","R/L","UC","4+?","+520-220-415-817[","520-220-415-817","4","1","2","False","False","520","415","817","<START>","520-220-415","True"
"3600.1","M-1295","Mohenjo-daro","Lower Indus","SD-","Steatite","cuboid-convex","SEAL:R","1","Poor","N","R/L","??","6+?","+407-845-220-415-798-000[","407-845-220-415-798-000","6","2","3","False","False","845","415","798","407","845-220-415","True"
"3651.1","M-1350","Mohenjo-daro","Lower Indus","DKG. (S)","Steatite","rectangular","SEAL:R","1","Fair","Y","R/L","LC","8","+406-371-220-415-803-742-920-320+","406-371-220-415-803-742-920-320","8","2","3","False","False","371","415","803","406","371-220-415","False"
"3711.1","M-1426","Mohenjo-daro","Lower Indus","DKE","Clay","prism","TAB:B","1","Fair","Y","R/L","LP","8","+740-760-036-220-415-798-002-861+","740-760-036-220-415-798-002-861","8","3","4","False","False","036","415","798","760","036-220-415","False"
"3733.1","M-1456","Mohenjo-daro","Lower Indus","VSA","Copper","square","TAB:C","1","Good","Y","R/L","MT","4","+407-845-220-415+","407-845-220-415","4","2","3","False","False","845","415","<END>","407","845-220-415","False"
"3734.1","M-1457","Mohenjo-daro","Lower Indus","DKG","Copper","square","TAB:C","1","Fair","Y","R/L","MT","4","+407-845-220-415+","407-845-220-415","4","2","3","False","False","845","415","<END>","407","845-220-415","False"
"3861.1","Pbm-1","Pabumath","Gujarat/Kutch","--","-","square","SEAL:S","1","Poor","N","R/L","??","6+?","]220-416-220-415-741-000[","220-416-220-415-741-000","6","2","3","False","False","416","415","741","220","416-220-415","True"
"4009.1","M-1968","Mohenjo-daro","Lower Indus","DK-","-","-","SEAL:R","1","Poor","?","R/L","UC","2+?","]220-415+","220-415","2","0","1","True","False","<START>","415","<END>","<START>","<START>-220-415","True"
"4042.1","M-2109","Mohenjo-daro","Lower Indus","DKB","Ivory","-","ROD","1","Poor","N","R/L","??","4","+400-000-220-415+","400-000-220-415","4","2","3","False","False","000","415","<END>","400","000-220-415","False"
"4044.1","M-2111","Mohenjo-daro","Lower Indus","DK-","Ivory","-","ROD","1","Poor","N","R/L","??","4","+400-000-220-415+","400-000-220-415","4","2","3","False","False","000","415","<END>","400","000-220-415","False"
"4069.1","H-1284","Harappa","Inter-Riverine","--","-","rectangular","TAB:I","2","Good","Y","L/R","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
"4895.1","-","Khirsara","Gujarat/Kutch","--","-","rectangular","SEAL:R","1","Good","?","R/L","UC","10+?","+354-001-405-840-626-416-220-415-798-745[","354-001-405-840-626-416-220-415-798-745","10","6","7","False","False","416","415","798","626","416-220-415","True"
