"checked_date","lipi_sign","source_row_id","cisi","cisi_prefix","in_mayig_overlap_by_cisi","overlap_count_match","overlap_comparison_status","site","type","material","shape","preservation","direction","class","sign_count","frame700_relation","text","overlap_lipi_text","overlap_mayig_graphemes","research_use","accepted_decipherment_claim"
"2026-05-25","032","2584.1","M-56","M","1","True","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","complete","R/L","LP","8","not_adjacent_to_700","+740-877-032-235-060-550-611-840+","+740-877-032-235-060-550-611-840+","P324 P382 P145 P060 P120 P230 P281 P349","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2585.1","M-57","M","1","True","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","complete","R/L","SP","6","not_adjacent_to_700","+226-032-231-798-002-693+","+226-032-231-798-002-693+","P051 P145 P056 P230 P122 P258","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2590.1","M-62","M","1","False","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","complete","R/L","??","5","not_adjacent_to_700","+226-032-741-550-000-551+","+226-032-741-550-000-551+","P051 P122 P325 P230 P310 P234","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2598.1","M-70","M","1","True","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","complete","R/L","IM","5","not_adjacent_to_700","+226-032-002-390-692+","+226-032-002-390-692+","P051 P145 P122 P086 P256","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2605.1","M-78","M","1","True","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","complete","R/L","SS","4","not_adjacent_to_700","+740-344-032-545+","+740-344-032-545+","P324 P043 P145 P226","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2616.1","M-89","M","1","True","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","complete","R/L","SC","5","not_adjacent_to_700","+740-794-734-032-235+","+740-794-734-032-235+","P324 P358 P313 P145 P060","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2618.1","M-91","M","1","True","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","complete","R/L","LP","9","not_adjacent_to_700","+740-100-798-220-032-002-861-255-416+","+740-100-798-220-032-002-861-255-416+","P324 P009 P230 P050 P145 P122 P385 P073 P095","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2640.1","M-113","M","1","True","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","partly damaged","R/L","SP","6","not_adjacent_to_700","+740-032-840-741-060-920+","+740-032-840-741-060-920+","P324 P145 P349 P325 P120 P156","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2646.1","M-119","M","1","True","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","complete","R/L","LC","10","not_adjacent_to_700","+151-337-484-002-390-125-632-032-900-563+","+151-337-484-002-390-125-632-032-900-563+","P001 P309 P195 P122 P086 P035 P270 P145 P154 P230","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2651.1","M-124","M","1","True","sign_system_unmapped","Mohenjo-daro","SEAL:S","Clay","square","complete","R/L","MT","4","not_adjacent_to_700","+740-923-220-032+","+740-923-220-032+","P324 P175 P050 P145","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2657.1","M-130","M","1","True","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","complete","R/L","SP","6","not_adjacent_to_700","+740-094-220-032-002-144+","+740-094-220-032-002-144+","P324 P003 P050 P145 P122 P032","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2661.1","M-134","M","1","True","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","complete","R/L","SC","3","not_adjacent_to_700","+872-032-692+","+872-032-692+","P390 P145 P256","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2670.1","M-143","M","1","True","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","complete","R/L","IT","6","not_adjacent_to_700","+740-205-032-002-252-840+","+740-205-032-002-252-840+","P324 P082 P122 P145 P170 P349","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2212.1","M-165","M","1","True","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","complete","R/L","2L","9","not_adjacent_to_700","+817-740-194/740-760-001-741-390-032+","+817-740-194/740-760-001-741-390-032+","P324 P332 P121 P325 P086 P122 P385 P324 P076","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2694.1","M-169","M","1","True","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","complete","R/L","??","5","not_adjacent_to_700","+740-575-017-000-000-031-032+","+740-575-017-000-000-031-032+","P324 P289 P127 P000 P145","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2695.1","M-170","M","1","True","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","slightly chipped","R/L","LP","8","not_adjacent_to_700","+740-923-406-061-070-032-741-861+","+740-923-406-061-070-032-741-861+","P324 P175 P086 P204 P114 P145 P325 P385","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2699.1","M-174","M","1","True","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","complete","R/L","SP","6","not_adjacent_to_700","+740-923-220-032-002-820+","+740-923-220-032-002-820+","P324 P175 P050 P145 P122 P378","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","18.1","-","-","0","","","Bakkar Buthi","POT:T:g","Clay","-","fragment","R/L","IM","6","not_adjacent_to_700","+405-844-032-840-002-861+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","127.1","-","-","0","","","Dholavira","SEAL:S","Steatite","square","complete","R/L","SS","3","not_adjacent_to_700","+151-892-032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","135.1","-","-","0","","","Dholavira","SEAL:R","Clay","rectangular","complete","R/L","SC","4","not_adjacent_to_700","+590-407-790-032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","151.1","-","-","0","","","Farmana","SEAL:S","Steatite","square","slightly chipped","R/L","ZN","2","not_adjacent_to_700","+220-032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","228.1","-","-","0","","","Harappa","TAB:I","Steatite","oval","complete","R/L","SC","5","not_adjacent_to_700","+740-031-904-001-032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","228.2","-","-","0","","","Harappa","TAB:I","Steatite","oval","complete","R/L","??","3","not_adjacent_to_700","+700-031-000-032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","280.2","-","-","0","","","Harappa","TAB:B","Clay","rectangular","complete","R/L","VN","2","700_before_sign","+700-032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","326.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","328.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","332.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","333.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","343.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","346.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","348.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","355.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","2","not_adjacent_to_700","+031-999-032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","357.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","360.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","363.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","366.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","367.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","442.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","444.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","445.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","493.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","607.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","-","??","1","not_adjacent_to_700","+032-000+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","610.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","615.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","616.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","-","UC","2","not_adjacent_to_700","]645-032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","710.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","714.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","748.1","-","-","0","","","Dholavira","TAG","-","circular","complete","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","877.2","-","-","0","","","Harappa","TAB:I","Steatite","-","fragment","R/L","??","2","not_adjacent_to_700","+740-032-000+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","962.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","964.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","-","2L","2","not_adjacent_to_700","+032/032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","965.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","968.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","970.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","972.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","973.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","976.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","977.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","980.1","-","-","0","","","Harappa","POT:T:g","Clay","-","complete","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","982.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","985.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","987.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","995.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","UC","1","not_adjacent_to_700","]032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","1046.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","-","??","4","not_adjacent_to_700","+035/032-001-000/033+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2209.1","-","-","0","","","Mohenjo-daro","POT:T:g","Steatite","-","complete","L/R","AN","2","not_adjacent_to_700","+158-032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2502.1","-","-","0","","","Mohenjo-daro","BNGL","Stoneware","-","complete","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2503.1","-","-","0","","","Mohenjo-daro","BNGL","Stoneware","-","complete","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2511.1","-","-","0","","","Mohenjo-daro","TAB:B","Faience","-","complete","R/L","SS","3","not_adjacent_to_700","+740-032-840+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","3335.1","-","-","0","","","Unknown","SEAL:S","-","square","complete","R/L","MS","7","not_adjacent_to_700","+740-205-032-002-390-590-032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","3872.1","-","-","0","","","Rupar","TAG:L","Clay","-","fragment","R/L","MT","4","not_adjacent_to_700","+740-877-032-235+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","3888.1","-","-","0","","","Unknown","SEAL:CY","Steatite","cylindrical","fragment","R/L","??","4","not_adjacent_to_700","+090-055-000-132-032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","4170.1","-","-","0","","","Dholavira","TAB:I","-","-","fragment","L/R","??","3","not_adjacent_to_700","]000-520-220-032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","4171.1","-","-","0","","","Dholavira","SEAL:S","-","square","chipped","R/L","??","2","not_adjacent_to_700","]000-000-000-032-840-000+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","4177.1","-","-","0","","","Dholavira","SEAL:S","-","square","complete","R/L","??","8","not_adjacent_to_700","+520-233-803-060-001-031-905-032-000+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","4179.1","-","-","0","","","Dholavira","SEAL:S","Steatite","-","fragment","R/L","??","1","not_adjacent_to_700","]000-032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","4184.1","-","-","0","","","Dholavira","SEAL:S","-","square","complete","R/L","SC","4","not_adjacent_to_700","+740-032-840-803+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","4219.1","-","-","0","","","Dholavira","SEAL:S","-","square","complete","R/L","??","3","not_adjacent_to_700","+032-820-000-900+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","4237.1","-","-","0","","","Dholavira","SEAL:S","-","square","fragment","R/L","SC","6","not_adjacent_to_700","+151-032-388-002-390-705+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","4238.1","-","-","0","","","Dholavira","SEAL:S","Steatite","square","fragment","R/L","??","1","not_adjacent_to_700","]000-000-032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","4268.1","-","-","0","","","Dholavira","SEAL:R","-","rectangular","fragment","R/L","??","1","not_adjacent_to_700","]000-032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","4281.1","-","-","0","","","Dholavira","TAB:I","-","rectangular","fragment","R/L","??","2","not_adjacent_to_700","+032-820-000[","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","4286.1","-","-","0","","","Dholavira","TAB:I","-","rectangular","complete","R/L","SC","3","not_adjacent_to_700","+153-220-032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","4293.1","-","-","0","","","Dholavira","TAG","-","-","complete","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","4304.2","-","-","0","","","Dholavira","TAG","terracotta","-","fragment","-","??","2","not_adjacent_to_700","+000-032-515+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","4313.1","-","-","0","","","Dholavira","TAG","-","-","fragment","R/L","UC","2","700_after_sign","]032-700+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","4335.2","-","-","0","","","Dholavira","TAG:PC","-","-","fragment","R/L","??","4","not_adjacent_to_700","+740-032-840-220-000[","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","4346.1","-","-","0","","","Dholavira","TAG","Clay","-","fragment","R/L","??","3","not_adjacent_to_700","]000-032-840-002-000+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","4350.1","-","-","0","","","Dholavira","TAG","Terracotta","circular","complete","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","4351.1","-","-","0","","","Dholavira","TAG","Terracotta","circular","complete","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","4352.1","-","-","0","","","Dholavira","TAG","Terracotta","circular","complete","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","4353.1","-","-","0","","","Dholavira","TAG","Terracotta","-","slightly chipped","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","4357.1","-","-","0","","","Dholavira","TAG","Clay","-","fragment","R/L","??","1","not_adjacent_to_700","]000-032-000[","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","5218.1","-","-","0","","","Gola Dhoro (Bagasra)","SEAL:S","-","square","complete","R/L","LP","9","not_adjacent_to_700","+520-070-495-240-060-297-368-632-032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","5224.1","-","-","0","","","Unknown","SEAL:C","-","circular","complete","R/L","??","5","not_adjacent_to_700","+000-061-032-001-220-033-000+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","5228.1","-","-","0","","","Karzakan","SEAL:C","-","circular","complete","R/L","SC","4","not_adjacent_to_700","+033-001-032-091+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","5235.1","-","-","0","","","Lakhanjo-daro","SEAL:S","Steatite","square","chipped","R/L","LP","5","not_adjacent_to_700","+740-032-029-002-281+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","5399.1","-","-","0","","","Harappa","POT:T:g","Clay","-","fragment","NR","NU","1","not_adjacent_to_700","+032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","5438.1","-","-","0","","","Tigrana","TAG","Clay","square","complete","R/L","??","2","not_adjacent_to_700","+740-000-032-000-000+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","5456.1","-","-","0","","","Tarkhanewala-dera","TAG","Clay","square","complete","R/L","MT","4","not_adjacent_to_700","+520-235-220-032+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","5564.1","-","-","0","","","Juna Khatiya","POT:T:g","-","-","fragment","-","??","2","not_adjacent_to_700","+000-032-705[","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","5587.1","-","-","0","","","Mohenjo-daro","TAB:C","Copper","rectangular","complete","R/L","MT","7","not_adjacent_to_700","+407-032-520-095-585-017-231+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","98.1","C-10","C","0","","","Chanhu-daro","SEAL:S","Steatite","square","complete","R/L","SP","6","not_adjacent_to_700","+740-231-220-032-002-817+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","101.1","C-13","C","0","","","Chanhu-daro","SEAL:S","Steatite","square","fragment","R/L","??","4","not_adjacent_to_700","]000-220-032-060-766+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","109.1","C-22","C","0","","","Chanhu-daro","SEAL:S","Steatite","square","complete","-","2L","6","not_adjacent_to_700","+440-390-032/368-390-790+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","111.1","C-24","C","0","","","Chanhu-daro","SEAL:S","Steatite","square","fragment","R/L","2L","10","not_adjacent_to_700","+390-128-702-032/226-032-013-480-850+","","","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
