object,site,region,type,material,shape,symbol,condition,complete,first,prev,partner,text
H-1864,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,740,062,817,+740-142-062-002-817+
M-1806,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:S,Fair,Y,390,003,820,+390-003-002-820+
H-833,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Good,Y,526,554,820,+526-554-002-820+
H-1131,Harappa,Inter-Riverine,TAB:B,NA,twisted rectangular,NA,Poor,Y,740,240,861,+740-482-240-002-861+
H-1930,Harappa,Inter-Riverine,TAB:B,Faience,prism,Gavi,Fair,Y,408,920,861,+408-817-920-002-861+
M-1063,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Poor,Y,407,004,861,+407-004-002-861+
H-1788,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,Y,154,470,861,+154-806-470-002-861+
H-1667,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740,540,817,+740-540-002-817+
H-1966,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Gaur,Good,Y,520,049,861,+520-233-049-002-861+
H-1726,Harappa,Inter-Riverine,POT:T:s,Clay,rectangular,NA,Poor,Y,740,491,817,+740-100-692-491-002-817+
H-1851,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Good,Y,740,031,861,+740-803-892-031-002-861+
H-1739,Harappa,Inter-Riverine,POT:T:s,Clay,rectangular,NA,Poor,?,034,034,817,]034-002-817[
H-1050,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,804,235,817,+804-235-002-817+
H-12,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,235,817,+740-690-435-255-803-220-240-235-002-817+
H-13,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,503,817,+740-760-615-503-002-817+
M-110,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,N,000,000,817,+000-000-002-817+
H-18,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,N,000,032,820,]000-220-032-002-820+
H-21,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,405,806,817,+405-061-527-555-233-235-806-002-817+
H-42,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Poor,Y,740,235,817,+740-380-235-002-817+
H-45,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,090,101,820,+090-740-101-002-820+
H-51,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,240,861,+740-643-240-002-861+
H-55,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:X,Fair,Y,390,004,861,+390-004-002-861-125+
H-60,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:II,Poor,Y,621,003,820,+621-740-900-003/002-820+
H-85,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Zebu,Poor,Y,520,219,817,+520-219-002-817+
H-129,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,409,031,861,+409-061-740-235-220-031-002-861-244-165+
H-134,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740,003,861,+740-405-590-220-003-002-861+
H-135,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,740,806,861,+740-773-231-806-002-861+
H-137,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Good,Y,740,233,817,+740-443-388-033-705-233-002-817+
H-140,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,740,032,817,+740-384-032-002-817+
H-149,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,Y,405,220,820,+405-061-033-706-794-630-220-002-820+
H-164,Harappa,Inter-Riverine,SEAL:R,Steatite,rectangular,NA,Poor,Y,161,097,817,+161-097-002-817+
H-177,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Scene,Fair,Y,700,031,817,+700-033-151-706-031-002-817+
H-231,Harappa,Inter-Riverine,TAB:B,Faience,elliptical,NA,Fair,Y,520,240,820,+520-220-240-002-820+
H-244,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Fair,Y,104,104,820,+104-002-820+
H-273,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,N,000,240,820,]000-240-002-820+
H-388,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Good,Y,520,806,817,+520-033-706-231-806-002-817+
H-410,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:L,Good,Y,368,830,861,+368-840-830-002-861+
H-444,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Good,Y,241,032,861,+241-220-032-002-861+
H-446,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740,798,861,+740-585-798-002-861-216+
H-456,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Fair,Y,520,706,817,+520-033-706-002-817-808+
H-459,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:T,Poor,Y,527,231,817,+527-555-231-002-817+
H-478,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,235,817,+740-770-235-002-817+
H-484,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,?,233,233,817,]233-002-817+
H-506,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Good,Y,294,820,820,+294-350-595-820-002-820+
H-514,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,151,016,820,+151-220-016-002-820+
H-574,Harappa,Inter-Riverine,SEAL,Steatite,square,NA,Poor,N,000,803,820,]000-803-002-820+
H-597,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740,032,861,+740-390-590-070-032-002-861+
H-609,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,N,798,231,817,]798-233-231-002-817-000+
H-640,Harappa,Inter-Riverine,SEAL:R,NA,cuboid-convex,NA,Poor,?,220,032,817,]220-032-002-817+
H-649,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,Y,520,806,820,+520-033-705-233-240-806-002-820+
H-651,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,?,031,031,861,]031-002-861+
H-653,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,000,000,820,+000-000-000-000-002-820+
H-658,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,?,900,900,817,]900-002-817+
H-688,Harappa,Inter-Riverine,SEAL,NA,NA,NA,Poor,Y,520,233,861,+520-233-002-861-831-165+
H-702,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Mult,Poor,Y,137,137,820,+137-002-820+
H-706,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Gavi,Poor,Y,700,137,820,+700-033-137-002-820+
H-719,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Phyt,Fair,Y,405,004,861,+405-004-002-861+
H-829,Harappa,Inter-Riverine,TAB:B,NA,semi-circular,NA,Fair,Y,139,139,820,+139-002-820+
H-838,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Fair,Y,740,495,817,+740-615-495-002-817+
H-909,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Poor,N,002,<START>,820,+002-820-000[
Jk-2,Jhukar,Lower Indus,SEAL:S,NA,square,Bull1:J,Fair,Y,740,233,817,+740-803-233-002-817+
K-12,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Poor,N,000,003,820,+000-003-002-820+
K-23,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Good,Y,740,441,820,+740-441-002-820-033+
K-33,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Buff,Fine,Y,226,226,861,+226-002-861+
K-40,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Elep,Fine,Y,760,031,861,+760-031-002-861-791-440-717+
K-78,Kalibangan,Inter-Riverine,TAB:B,Terracotta,rectangular-round,Gavi,Good,Y,740,390,820,+740-817-390-002-820+
M-712,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,390,003,861,+390-003-002-861+
K-85,Kalibangan,Inter-Riverine,TAG:L,NA,NA,Elep,Fair,Y,520,033,861,+520-033-002-861+
K-87,Kalibangan,Inter-Riverine,TAG:L,NA,NA,Mult,Poor,N,740,000,861,+740-000-000-002-861[
K-88,Kalibangan,Inter-Riverine,TAG:L,NA,NA,Bull1,Poor,N,740,460,861,+740-000-460-002-861+
L-11,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:L,Good,Y,590,778,817,+590-705-435-255-778-002-817+
L-18,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:S,Good,Y,415,031,820,+415-031-002-820+
L-39,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1,Fair,Y,520,315,861,+520-315-002-861-626+
L-41,Lothal,Gujarat/Kutch,SEAL:S,Clay,square,Bull,Poor,Y,090,233,817,+090-740-233-002-817+
L-46,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Gaur,Poor,Y,527,176,861,+527-388-233-740-176-002-861-392+
L-57,Lothal,Gujarat/Kutch,SEAL:S,NA,square,NA,Fair,Y,832,832,861,+832-002-861+
L-62,Lothal,Gujarat/Kutch,SEAL,Steatite,NA,NA,Poor,?,003,003,861,]003-002-861[
L-65,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:W,Poor,?,240,240,861,]240-002-861+
L-83,Lothal,Gujarat/Kutch,SEAL:L,Agate,oval,NA,Poor,Y,740,240,820,+740-806-240-002-820+
L-84,Lothal,Gujarat/Kutch,SEAL:R,NA,cuboid-convex,NA,Fair,Y,048,048,817,+048-002-817+
L-89,Lothal,Gujarat/Kutch,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,527,235,861,+527-555-235-002-861+
L-92,Lothal,Gujarat/Kutch,SEAL:R,Steatite,cuboid-convex,NA,Poor,Y,520,832,817,+520-070-255-832-002-817+
L-202,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,?,236,236,861,]236-002-861+
M-895,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,740,048,817,+740-048-002-817+
L-191,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,?,235,235,861,]235-002-861+
L-207,Lothal,Gujarat/Kutch,TAG,Clay,square,Bull1,Poor,Y,740,482,820,+740-482-002-820+
L-208,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,?,234,220,820,]234-220-002-820[
L-226,Lothal,Gujarat/Kutch,POT:T:g,NA,NA,NA,Poor,N,000,495,861,]000-495-002-861+
M-1755,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Fair,Y,740,176,861,+740-176-002-861+
M-1696,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:II,Fair,Y,520,415,861,+520-033-705-220-415-002-861+
M-1880,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Poor,Y,151,176,861,+151-176-002-861+
M-1850,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Poor,Y,506,506,817,+506-002-817+
M-1976,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,617,142,817,+617-142-002-817+
M-2089,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,Y,002,<START>,861,+002-861-096+
M-235,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Fair,Y,368,350,820,+368-001-550/740-543-350-002-820+
M-1675,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,621,844,820,+621-390-844-002-820+
M-1737,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,032,820,+740-760-072-921-032-002-820+
M-1677,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,520,032,820,+520-382-032-002-820-001-440-012+
M-1778,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Poor,N,000,235,861,]000-235-002-861+
M-1674,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,090,231,861,+090-740-222-231-002-861-683+
M-940,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,527,555,817,+527-555-002-817+
M-1704,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,605,861,+740-760-605-002-861+
M-1753,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Good,Y,740,240,861,+740-760-519-240-002-861+
M-656,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,000,803,861,]000-920-705-803-002-861+
M-1721,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,042,820,+740-042-002-820+
M-963,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Poor,Y,740,176,817,+740-176-002-817+
M-1709,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Poor,Y,621,220,817,+621-520-220-002-817+
M-1860,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,?,231,231,861,]231-002-861+
M-1726,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,240,861,+740-615-495-240-002-861+
M-1990,Mohenjo-daro,Lower Indus,SEAL,Steatite,rectangular,NA,Poor,Y,740,220,861,+740-760-440-240-220-002-861+
M-1974,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,064,521,820,+064-031-400-521-002-820+
M-1746,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,090,240,817,+090-740-100-415-240-002-817+
M-1706,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Fair,Y,740,220,820,+740-803-220-032-220-002-820+
M-1711,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,049,817,+740-760-049-002-817+
M-1708,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Fair,Y,740,017,817,+740-585-017-002-817+
M-1763,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Bull1:W,Fair,Y,416,032,861,+416-001-565-740-220-032-002-861+
M-1955,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,390,803,820,+390-920-322-803-002-820+
M-1661,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,520,219,861,+520-070-219-002-861-032-520-919-140+
M-1899,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Good,Y,924,132,861,+924-132-002-861+
M-1928,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Buff,Fair,N,000,220,861,+000-233-220-002-861+
M-1693,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Good,Y,527,235,817,+527-555-033-706-235-002-817+
M-1842,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,520,235,861,+520-000-235-002-861+
K-157,Kalibangan,Inter-Riverine,TAB:B,Terracotta,rectangular-round,Gavi,Poor,N,740,000,820,+740-000-000-002-820+
-:2388.1,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,740,240,861,+740-637-240-002-861+
M-1681,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,520,798,861,+520-072-233-740-798-002-861-832+
M-803,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,390,005,817,+390-005-002-817+
M-1927,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Mult,Fair,N,000,005,817,]000-005-002-817+
M-1911,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Rhin,Good,Y,621,531,820,+621-390-531-002-820+
M-1728,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,161,032,820,+161-055-240-220-032-002-820+
M-2129,Mohenjo-daro,Lower Indus,IMPL,Gold,NA,NA,Good,Y,898,645,817,+898-017-645-002-817+
M-1954,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,740,798,861,+740-407-590-031-752-033-705-220-415-798-002-861+
M-1830,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:X,Poor,Y,740,388,820,+740-388-002-820+
M-1913,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Poor,?,416,416,817,]416-002-817+
M-1750,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,390,004,861,+390-004-002-861+
M-1752,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,740,019,817,+740-760-019-002-817+
M-595,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,176,820,+740-100-415-176-002-820+
-:2489.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:V,Good,Y,740,590,817,+740-390-590-002-817+
M-1716,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,520,803,820,+520-220-240-803-002-820+
M-1833,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,390,015,861,+390-015-002-861+
M-1851,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,832,740,820,+832-390-032/000-032-740-002-820+
M-1662,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,N,520,233,817,+520-033-706-233-002-817-192-000+
M-1961,Mohenjo-daro,Lower Indus,SEAL,Steatite,NA,NA,Poor,Y,406,072,817,+406-072-002-817+
M-7,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,407,240,861,+407-845-140-740-101-923-240-002-861+
M-14,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fine,Y,740,503,817,+740-776-503-002-817+
M-15,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,090,176,861,+090-740-176-002-861+
M-19,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,N,000,000,861,]000-000-002-861+
M-20,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,390,005,861,+390-005-002-861-036-460-513+
M-21,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,350,032,861,+350-001-740-362-692-032-002-861+
M-28,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,892,416,861,+892-374-740-760-840-416-002-861+
M-42,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,527,240,817,+527-550-240-002-817+
M-47,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,Y,740,235,861,+740-760-235-002-861+
M-50,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,798,820,+740-585-017-033-705-240-798-002-820+
M-54,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,236,798,820,+236-240-033-705-798-002-820+
M-58,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,503,817,+740-460-503-002-817+
M-72,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:V,Poor,Y,740,003,861,+740-255-705-140-003-002-861+
M-75,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,520,004,817,+520-220-004-002-817+
M-77,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,832,803,861,+832-390-803-002-861+
M-79,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,688,233,861,+688/740-100-240-233-002-861+
M-86,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,520,231,820,+520-033-705-231-002-820-700+
M-90,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,031,817,+740-840-013-031-002-817+
M-91,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740,032,861,+740-100-798-220-032-002-861-255-416+
M-100,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,090,705,861,+090-740-255-705-002-861+
M-101,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,390,168,817,+390-503-740-168-002-817+
M-103,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,390,004,820,+390-004-002-820+
M-116,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Good,Y,740,013,817,+740-100-176-840-013-002-817+
M-117,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,520,055,820,+520-033-705-220-803-055-002-820+
M-118,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,803,861,+740-772-033-705-233-803-002-861+
M-142,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,136,140,861,+136-140-002-861+
M-144,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,240,817,+740-100-415-240-002-817+
M-152,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,772,861,+740-772-002-861+
M-160,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,151,031,820,+151-243-031-002-820-741+
M-164,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:X,Fair,Y,740,061,817,+740-142-061-002-817+
M-166,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Poor,Y,390,806,861,+390-844-240-806-002-861+
M-174,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:T,Poor,Y,740,032,820,+740-923-220-032-002-820+
