target_sign,id,cisi,region,site,area_section,block_house,room_grid,excavation_idno,time,period,phase,depth,material,color,shape,symbol,cult,type,condition,complete,dir,class,text_length,token_count,text,occurrence_index_0based,position_class,is_terminal,prev1,prev2,next1,next2,prev_window,next_window,frame_class,inside_exact_740_x_240_060_692,inside_740_x_240,inside_690_x_240,inside_000_x_240,post_002_861_tail_initial,row_tail_after_002_861,row_tail_initial_after_002_861,register_key,source_key,formula_key
642,1710.2,H-821,Inter-Riverine,Harappa,--,--,--,13858,-,-,-,- -,-,-,fish,None,None,TAB:B,Good,Y,L/R,SP,5,5,+740-642-240-001-692+,1,medial,false,740,740,240,240 001,740,240 001 692,740_X_240_frame_other,false,true,false,false,false,,,Harappa|TAB:B|None|fish,Harappa|TAB:B|None|fish|-,+740-642-240-001-692+
642,1711.2,H-822,Inter-Riverine,Harappa,--,--,--,13095,-,-,-,- -,-,-,fish,None,None,TAB:B,Fair,Y,L/R,SP,5,5,+740-642-240-001-692+,1,medial,false,740,740,240,240 001,740,240 001 692,740_X_240_frame_other,false,true,false,false,false,,,Harappa|TAB:B|None|fish,Harappa|TAB:B|None|fish|-,+740-642-240-001-692+
636,1712.2,H-823,Inter-Riverine,Harappa,--,--,--,H88-1196,-,-,-,- -,-,-,rectangular,None,None,TAB:B,Fair,Y,R/L,SP,5,5,+740-636-240-060-692+,1,medial,false,740,740,240,240 060,740,240 060 692,exact_740_X_240_060_692,true,true,false,false,false,,,Harappa|TAB:B|None|rectangular,Harappa|TAB:B|None|rectangular|-,+740-636-240-060-692+
636,1776.1,H-894,Inter-Riverine,Harappa,FTrench I,--,-M11/10,1419487,Period 3B/C,-,Stratum VI,-7.5 ft,Steatite,White,rectangular,None,None,TAB:I,Fair,Y,R/L,MT,4,4,+400-740-636-240+,2,medial,false,740,400 740,240,240,400 740,240,740_X_240_frame_other,false,true,false,false,false,,,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|Steatite,+400-740-636-240+
636,1787.2,H-905,Inter-Riverine,Harappa,FTrench VI,--,-O10/22,11077449,Period 3C-2,-,Stratum III ,-6.67 ft,Steatite,White,rectangular,None,None,TAB:I,Poor,Y,R/L,LP,7,7,+400-740-636-240-031-032-171+,2,medial,false,740,400 740,240,240 031,400 740,240 031 032 171,740_X_240_frame_other,false,true,false,false,false,,,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|Steatite,+400-740-636-240-031-032-171+
636,1799.2,H-919,Inter-Riverine,Harappa,--,--,--,13508?,-,-,-,- -,-,-,rectangular,None,None,TAB:I,Poor,Y,R/L,MT,3,3,+740-636-240+,1,medial,false,740,740,240,240,740,240,740_X_240_frame_other,false,true,false,false,false,,,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|-,+740-636-240+
636,1842.1,H-965,Inter-Riverine,Harappa,FTrench I,--,-M11/21,3397562,Period 3C-1,-,Stratum IV,-10.42 ft,Steatite,White,rectangular-round,None,None,TAB:I,Poor,Y,L/R,MT,4,4,+740-690-636-240+,2,medial,false,690,740 690,240,240,740 690,240,690_X_240_frame,false,false,true,false,false,,,Harappa|TAB:I|None|rectangular-round,Harappa|TAB:I|None|rectangular-round|Steatite,+740-690-636-240+
636,1843.1,H-966,Inter-Riverine,Harappa,--,--,--,13823,-,-,-,- -,-,-,rectangular-rounded,None,None,TAB:I,Fair,Y,L/R,MT,4,4,+740-690-636-240+,2,medial,false,690,740 690,240,240,740 690,240,690_X_240_frame,false,false,true,false,false,,,Harappa|TAB:I|None|rectangular-rounded,Harappa|TAB:I|None|rectangular-rounded|-,+740-690-636-240+
636,1864.2,H-988,Inter-Riverine,Harappa,FTrench IV+V,--,-I13/17,11854573,Period 3B/C,-,Stratum VI,-14.0 ft,Steatite,White,cuboid,Bult,None,TAB:I,Poor,Y,R/L,LP,7,7,+400-740-636-240-031-032-171+,2,medial,false,740,400 740,240,240 031,400 740,240 031 032 171,740_X_240_frame_other,false,true,false,false,false,,,Harappa|TAB:I|Bult|cuboid,Harappa|TAB:I|Bult|cuboid|Steatite,+400-740-636-240-031-032-171+
636,2282.1,M-1879,Lower Indus,Mohenjo-daro,DKG. (S),7II,88-,DK3692334,Period 3C-2,Intermediate,I,-10.8 ft,Steatite,-,square,Gaur,Trough,SEAL:S,Fair,Y,R/L,CT,5,5,+740-636-240-066-556+,1,medial,false,740,740,240,240 066,740,240 066 556,740_X_240_frame_other,false,true,false,false,false,,,Mohenjo-daro|SEAL:S|Gaur|square,Mohenjo-daro|SEAL:S|Gaur|square|Steatite,+740-636-240-066-556+
636,2569.1,M-41,Lower Indus,Mohenjo-daro,DKG,First Street-,24-,DK12593271,Period 3C-3,Late,III,-9.5 ft,Steatite,-,square,Bull1:W,SAN,SEAL:S,Good,Y,R/L,LP,9,9,+740-636-240-233-235-002-405-125-820+,1,medial,false,740,740,240,240 233,740,240 233 235 002,740_X_240_frame_other,false,true,false,false,false,,,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+740-636-240-233-235-002-405-125-820+
636,2752.1,M-228,Lower Indus,Mohenjo-daro,DKG. (S),1I,22-,DK7676502,Period 3C-1,Intermediate,II,-14.9 ft,Steatite,-,square,Bull1:J,SAN,SEAL:S,Fair,Y,R/L,MT,3,3,+740-636-240+,1,medial,false,740,740,240,240,740,240,740_X_240_frame_other,false,true,false,false,false,,,Mohenjo-daro|SEAL:S|Bull1:J|square,Mohenjo-daro|SEAL:S|Bull1:J|square|Steatite,+740-636-240+
603,2763.1,M-240,Lower Indus,Mohenjo-daro,HRB,5XXIX,37-,HR 4098324,-,-,-,-6.0 ft,Steatite,White,square,Gaur,Trough,SEAL:S,Good,Y,R/L,LP,7,7,+520-240-220-032-002-861-603+,6,terminal,true,861,002 861,<END>,<END>,032 002 861,<END>,post_002_861_tail_initial,false,false,false,false,true,603,603,Mohenjo-daro|SEAL:S|Gaur|square,Mohenjo-daro|SEAL:S|Gaur|square|Steatite,+520-240-220-032-002-861-603+
603,3139.1,M-714,Lower Indus,Mohenjo-daro,DKG. (S),Long Lane betw. 10/12-,--,DK6357446,Period 3C-1,Intermediate,II,-13.3 ft,Steatite,-,square,Bull1:W,-,SEAL:S,Fair,Y,R/L,LP,11,11,+740-585-017-033-705-233-798-803-002-861-603+,10,terminal,true,861,002 861,<END>,<END>,803 002 861,<END>,post_002_861_tail_initial,false,false,false,false,true,603,603,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+740-585-017-033-705-233-798-803-002-861-603+
642,3336.1,M-941,Lower Indus,Mohenjo-daro,DKG. (N),17I,3-,DK12047256,Period 3C-3,Late,III,-9.0 ft,Steatite,-,square,Bull1:S,SAN,SEAL:S,Good,N,R/L,??,6,6,+000-642-240-031-002-861+,1,medial,false,000,000,240,240 031,000,240 031 002 861,000_X_240_frame,false,false,false,true,false,<END>,<END>,Mohenjo-daro|SEAL:S|Bull1:S|square,Mohenjo-daro|SEAL:S|Bull1:S|square|Steatite,+000-642-240-031-002-861+
603,3580.1,M-1273,Lower Indus,Mohenjo-daro,DKG. (S),Long Lane10/12,--,DK7061679,Period 3B-2,Early,I,-23.7 ft,Steatite,-,rectangular,None,None,SEAL:R,Good,Y,R/L,IT,5,5,+740-055-002-861-603+,4,terminal,true,861,002 861,<END>,<END>,055 002 861,<END>,post_002_861_tail_initial,false,false,false,false,true,603,603,Mohenjo-daro|SEAL:R|None|rectangular,Mohenjo-daro|SEAL:R|None|rectangular|Steatite,+740-055-002-861-603+
603,3887.1,-,Other,Unknown,--,--,--,-,-,-,-,- -,Steatite,Black,circular,Scene,None,SEAL:C,Poor,N,R/L,??,4,4,+000-603-091-190+,1,medial,false,000,000,091,091 190,000,091 190,other,false,false,false,false,false,,,Unknown|SEAL:C|Scene|circular,Unknown|SEAL:C|Scene|circular|Steatite,+000-603-091-190+
603,3975.1,H-1137,Inter-Riverine,Harappa,--,--,--,7537824,-,-,-,- -,-,-,rectangular,None,None,TAB:B,Fair,Y,R/L,SP,5,5,+740-603-240-060-692+,1,medial,false,740,740,240,240 060,740,240 060 692,exact_740_X_240_060_692,true,true,false,false,false,,,Harappa|TAB:B|None|rectangular,Harappa|TAB:B|None|rectangular|-,+740-603-240-060-692+
636,4031.1,H-1178,Inter-Riverine,Harappa,--,--,--,13942481,-,-,-,- -,-,-,rectangular,None,None,TAB:I,Fair,Y,R/L,MT,4,4,+400-740-636-240+,2,medial,false,740,400 740,240,240,400 740,240,740_X_240_frame_other,false,true,false,false,false,,,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|-,+400-740-636-240+
