target,prev,exact_cells,terminal_cells,terminal_share,sites,types,examples
840,032,31,11,0.3548387096774194,5,5,-:032-840-002:+405-844-032-840-002-861+ | H-1977:032-840-<END>:+740-032-840+ | H-1923:032-840-<END>:+400-740-032-840+ | H-2187:032-840-<END>:+740-032-840+ | H-88:032-840-820:+740-032-840-820+
002,840,3,1,0.3333333333333333,3,3,-:840-002-861:+405-844-032-840-002-861+ | H-904:840-002-<END>:+740-032-840-002+ | M-1759:840-002-768:+740-032-840-002-768+
861,002,126,102,0.8095238095238095,8,9,-:002-861-<END>:+405-844-032-840-002-861+ | C-60:002-861-<END>:+740-176-032-002-861+ | C-53:002-861-<END>:+032-031/740-222-235-002-861+ | C-74:002-861-<END>:+125-002-861+ | -:002-861-<END>:+244-165/740-879-220-416-803-002-861+
003,226,2,1,0.5,2,2,Blk-1:226-003-002:+226-003-002-297-350-125-413+ | Ns-83:226-003-<END>:+226-003+
002,003,24,0,0,6,3,Blk-1:003-002-297:+226-003-002-297-350-125-413+ | C-66:003-002-817:+390-003-002-817+ | H-1043:003-002-861:+151-760-220-003-002-861+ | H-1706:003-002-293:+405-003-002-293-360+ | H-1680:003-002-820:+390-003-002-820+
297,002,4,0,0,3,2,Blk-1:002-297-350:+226-003-002-297-350-125-413+ | M-53:002-297-190:+090-740-220-016-002-297-190-920-140+ | M-114:002-297-416:+740-760-440-002-297-416+ | Ns-60:002-297-350:+407-063-740-176-236-798-002-297-350-125-413+
350,297,2,0,0,2,2,Blk-1:297-350-125:+226-003-002-297-350-125-413+ | Ns-60:297-350-125:+407-063-740-176-236-798-002-297-350-125-413+
125,350,3,0,0,3,3,Blk-1:350-125-413:+226-003-002-297-350-125-413+ | -:350-125-176:+740-400-061-299-350-125-176+ | Ns-60:350-125-413:+407-063-740-176-236-798-002-297-350-125-413+
413,125,2,2,1,2,2,Blk-1:125-413-<END>:+226-003-002-297-350-125-413+ | Ns-60:125-413-<END>:+407-063-740-176-236-798-002-297-350-125-413+
717,390,1,0,0,1,1,Blk-2:390-717-061:+390-717-061-002-368-634+
061,717,1,0,0,1,1,Blk-2:717-061-002:+390-717-061-002-368-634+
002,061,12,0,0,4,3,Blk-2:061-002-368:+390-717-061-002-368-634+ | H-1671:061-002-455:+740-061-002-455-420-032+ | M-1772:061-002-798:+740-400-142-061-002-798-435-255-705+ | M-164:061-002-817:+740-142-061-002-817+ | M-204:061-002-817:+740-061-002-817+
368,002,11,0,0,6,1,Blk-2:002-368-634:+390-717-061-002-368-634+ | B-1:002-368-550:+090-740-220-002-368-550-821+ | H-600:002-368-260:+002-368-260+ | K-10:002-368-861:+740-690-435-255-002-368-861-590-032-368+ | M-1789:002-368-260:+740-455-002-368-260+
634,368,2,2,1,1,1,Blk-2:368-634-<END>:+390-717-061-002-368-634+ | Blk-4:368-634-<END>:+527-554-298-368-634+
554,527,3,0,0,3,2,Blk-4:527-554-298:+527-554-298-368-634+ | H-680:527-554-104:+527-554-104+ | M-1087:527-554-001:+527-554-001-297-190+
298,554,1,0,0,1,1,Blk-4:554-298-368:+527-554-298-368-634+
368,298,1,0,0,1,1,Blk-4:298-368-634:+527-554-298-368-634+
798,740,34,2,0.058823529411764705,6,6,Blk-6:740-798-<END>:+740-798+ | H-1402:740-798-820:+740-798-820+ | H-1823:740-798-365:+400-740-798-365-415-001+ | H-36:740-798-220:+740-798-220-742-146+ | H-40:740-798-235:+740-798-235-001-368-831-165+
001,520,3,2,0.6666666666666666,2,1,-:520-001-<END>:+520-001+ | M-1116:520-001-741:+874-543-350/520-001-741-794-324+ | -:520-001-<END>:+520-001+
740,090,77,0,0,9,7,B-1:090-740-220:+090-740-220-002-368-550-821+ | C-6:090-740-221:+817-521-521/090-740-221-002-031-500+ | H-294:090-740-240:+090-740-240-220+ | H-1056:090-740-220:+400-090-740-220-003+ | H-1030:090-740-103:+090-740-103-002-861+
220,740,34,3,0.08823529411764706,7,7,B-1:740-220-002:+090-740-220-002-368-550-821+ | H-1056:740-220-003:+400-090-740-220-003+ | H-68:740-220-003:+090-740-220-003-002-390-072+ | H-203:740-220-415:+400-740-220-415-798+ | H-302:740-220-416:+400-760-740-220-416+
002,220,11,0,0,3,4,B-1:220-002-368:+090-740-220-002-368-550-821+ | H-149:220-002-820:+405-061-033-706-794-630-220-002-820+ | M-1709:220-002-817:+621-520-220-002-817+ | M-1990:220-002-861:+740-760-440-240-220-002-861+ | M-1706:220-002-820:+740-803-220-032-220-002-820+
550,368,1,0,0,1,1,B-1:368-550-821:+090-740-220-002-368-550-821+
821,550,1,1,1,1,1,B-1:550-821-<END>:+090-740-220-002-368-550-821+
014,220,2,1,0.5,2,1,B-3:220-014-<END>:+220-014+ | M-260:220-014-002:+090-740-220-014-002-820+
797,740,2,1,0.5,2,2,B-4:740-797-<END>:+740-797+ | H-2104:740-797-688:+740-797-688+
817,002,108,105,0.9722222222222222,10,9,B-5:002-817-<END>:+002-817+ | B-7:002-817-<END>:+002-817+ | B-15:002-817-<END>:+002-817+ | C-66:002-817-<END>:+390-003-002-817+ | C-78:002-817-<END>:+740-636-240/002-817+
061,740,17,6,0.35294117647058826,4,3,B-8:740-061-<END>:+740-061+ | H-1894:740-061-140:+400-740-061-140+ | H-1671:740-061-002:+740-061-002-455-420-032+ | H-1684:740-061-<END>:+682-413-840/740-061+ | H-1929:740-061-140:+400-740-061-140+
004,390,22,4,0.18181818181818182,8,4,B-9:390-004-<END>:+390-004+ | H-1987:390-004-455:+390-004-455-371-741-590+ | H-2003:390-004-002:+390-004-002-817+ | H-2186:390-004-155:+390-004-155-390+ | -:390-004-002:+390-004-002-817+
002,236,6,0,0,4,3,B-17:236-002-308:+236-002-308-072+ | -:236-002-820:+236-002-820+ | L-130:236-002-861:+236-002-861+ | L-131:236-002-861:+236-002-861+ | M-232:236-002-390:+236-002-390-707+
308,002,1,0,0,1,1,B-17:002-308-072:+236-002-308-072+
072,308,1,1,1,1,1,B-17:308-072-<END>:+236-002-308-072+
803,740,16,4,0.25,5,3,B-19:740-803-<END>:+740-803+ | C-8:740-803-233:+740-803-233-741-250-579+ | H-2040:740-803-060:+740-803-060-550+ | H-1851:740-803-892:+740-803-892-031-002-861+ | H-776:740-803-741:+740-803-741-031-032-716+
003,426,4,1,0.25,4,2,B-21:426-003-060:+426-003-060-692+ | H-1713:426-003-013:+426-003-013-817+ | M-948:426-003-002:+426-003-002-388-031+ | Sh-69:426-003-<END>:+426-003+
060,003,7,0,0,5,3,B-21:003-060-692:+426-003-060-692+ | H-1893:003-060-550:+390-003-060-550+ | -:003-060-840:+740-390-590-220-003-060-840-416+ | L-90:003-060-407:+423-003-060-407-140+ | M-80:003-060-368:+156-003-060-368-817+
692,060,33,28,0.8484848484848485,5,4,B-21:060-692-<END>:+426-003-060-692+ | C-75:060-692-<END>:+740-531-060-692+ | H-1138:060-692-<END>:+740-603-240-060-692+ | H-423:060-692-<END>:+520-220-240-798-060-692+ | H-1845:060-692-<END>:+740-642-240-060-692+
308,374,1,0,0,1,1,B-28:374-308-350:+374-308-350+
350,308,1,1,1,1,1,B-28:308-350-<END>:+374-308-350+
003,390,26,7,0.2692307692307692,7,6,-:390-003-003:+390-003-003+ | C-66:390-003-002:+390-003-002-817+ | H-1893:390-003-060:+390-003-060-550+ | H-585:390-003-<END>:+390-003+ | H-2210:390-003-<END>:+390-003+
003,003,3,3,1,3,2,-:003-003-<END>:+390-003-003+ | -:003-003-<END>:+003/003+ | M-1904:003-003-<END>:+003-003+
820,002,75,70,0.9333333333333333,7,6,-:002-820-<END>:+236-002-820+ | H-1045:002-820-<END>:+740-900-005-002-820+ | H-1967:002-820-<END>:+382-760-382-002-820+ | H-1882:002-820-<END>:+002-820+ | H-1680:002-820-<END>:+390-003-002-820+
050,740,1,0,0,1,1,Ch-2:740-050-705:+740-050-705+
705,050,1,1,1,1,1,Ch-2:050-705-<END>:+740-050-705+
705,031,2,1,0.5,2,1,C-88:031-705-167:+031-705-167+ | H-846:031-705-<END>:+400-740-100-031-705+
167,705,1,1,1,1,1,C-88:705-167-<END>:+031-705-167+
405,740,16,1,0.0625,4,5,C-87:740-405-<END>:+740-405+ | H-1657:740-405-590:+740-405-590-032-900-003-806-235-220-032-002-690-921+ | H-8:740-405-590:+354-001-740-405-590-033-706-002-690-921+ | H-134:740-405-590:+740-405-590-220-003-002-861+ | H-158:740-405-590:+154-806-472-001-740-405-590+
386,740,1,1,1,1,1,C-72:740-386-<END>:+740-386+
700,892,2,2,1,2,1,C-80:892-700-<END>:+892-700+ | H-93:892-700-<END>:+892-700+
032,842,1,0,0,1,1,C-54:842-032-031:+842-032-031-592-031-060-920+
031,032,8,2,0.25,3,2,C-54:032-031-592:+842-032-031-592-031-060-920+ | C-70:032-031-151:+032-031/151-740-240-235+ | C-53:032-031-740:+032-031/740-222-235-002-861+ | C-76:032-031-850:+032-031/850-032-530-740-741-456+ | C-68:032-031-740:+032-031/740-791-713+
592,031,1,0,0,1,1,C-54:031-592-031:+842-032-031-592-031-060-920+
031,592,3,2,0.6666666666666666,3,1,C-54:592-031-060:+842-032-031-592-031-060-920+ | H-67:592-031-<END>:+592-031+ | M-1897:592-031-<END>:+592-031+
060,031,6,0,0,3,2,C-54:031-060-920:+842-032-031-592-031-060-920+ | H-1824:031-060-201:+740-176-031-060-201+ | M-1695:031-060-891:+740-337-484-031-060-891+ | M-1747:031-060-692:+165-741-031-060-692+ | M-202:031-060-820:+400-241-031-060-820+
920,060,52,51,0.9807692307692307,9,7,C-54:060-920-<END>:+842-032-031-592-031-060-920+ | C-11:060-920-<END>:+590-615-140/232-240-001-060-920+ | C-12:060-920-<END>:+161-390-590-031-740-060-920+ | C-16:060-920-<END>:+429-003-741-060-920+ | H-1309:060-920-<END>:+156-176-741-060-920+
482,740,18,1,0.05555555555555555,4,5,C-59:740-482-235:+740-482-235+ | H-2010:740-482-240:+740-482-240-002-861+ | H-270:740-482-055:+740-482-055-220-415-798-803-742-617+ | H-806:740-482-240:+740-482-240-002-861+ | L-23:740-482-235:+740-482-235+
235,482,5,3,0.6,3,2,C-59:482-235-<END>:+740-482-235+ | L-23:482-235-<END>:+740-482-235+ | M-2061:482-235-001:+742-406/740-482-235-001-480+ | M-788:482-235-002:+740-482-235-002-824+ | M-1001:482-235-<END>:+740-482-235+
844,390,7,2,0.2857142857142857,2,1,C-69:390-844-060:+390-844-060-575-717+ | M-1675:390-844-002:+621-390-844-002-820+ | M-1795:390-844-<END>:+390-844+ | M-1807:390-844-<END>:+400-390-844+ | M-1889:390-844-741:+390-844-741-031-371+
060,844,1,0,0,1,1,C-69:844-060-575:+390-844-060-575-717+
575,060,1,0,0,1,1,C-69:060-575-717:+390-844-060-575-717+
717,575,1,1,1,1,1,C-69:575-717-<END>:+390-844-060-575-717+
531,740,4,2,0.5,4,1,C-75:740-531-060:+740-531-060-692+ | H-37:740-531-<END>:+740-531+ | K-17:740-531-<END>:+740-531+ | M-26:740-531-060:+090-740-531-060-692+
060,531,2,0,0,2,1,C-75:531-060-692:+740-531-060-692+ | M-26:531-060-692:+090-740-531-060-692+
067,740,3,0,0,3,3,C-55:740-067-741:+740-067-741-647-892+ | H-1940:740-067-100:+400-740-067-100+ | -:740-067-900:+740-067-900-002-003+
741,067,1,0,0,1,1,C-55:067-741-647:+740-067-741-647-892+
647,741,1,0,0,1,1,C-55:741-647-892:+740-067-741-647-892+
892,647,1,1,1,1,1,C-55:647-892-<END>:+740-067-741-647-892+
176,740,68,17,0.25,7,7,C-60:740-176-032:+740-176-032-002-861+ | -:740-176-<END>:+400-740-176+ | H-2016:740-176-002:+317-740-335-740-176-002-920-491+ | H-2141:740-176-231:+565-740-176-231+ | H-1832:740-176-<END>:+400-297-352-892-590-740-176+
032,176,1,0,0,1,1,C-60:176-032-002:+740-176-032-002-861+
002,032,32,0,0,6,4,C-60:032-002-861:+740-176-032-002-861+ | C-10:032-002-817:+740-231-220-032-002-817+ | Dlp-3:032-002-892:+394-032-002-892-740+ | H-1657:032-002-690:+740-405-590-032-900-003-806-235-220-032-002-690-921+ | H-140:032-002-817:+740-384-032-002-817+
151,031,2,1,0.5,2,1,C-70:031-151-740:+032-031/151-740-240-235+ | -:031-151-<END>:+031-151+
740,151,8,0,0,3,2,C-70:151-740-240:+032-031/151-740-240-235+ | C-51:151-740-100:+151-740-100-240+ | H-1867:151-740-221:+151-740-221+ | H-1869:151-740-222:+151-740-222+ | H-1871:151-740-235:+151-740-235+
240,740,13,0,0,4,3,C-70:740-240-235:+032-031/151-740-240-235+ | H-294:740-240-220:+090-740-240-220+ | H-2055:740-240-235:+090-740-240-235+ | H-2020:740-240-235:+090-740-240-235+ | H-421:740-240-060:+679-740-240-060-550+
235,240,31,10,0.3225806451612903,4,4,C-70:240-235-<END>:+032-031/151-740-240-235+ | H-2055:240-235-<END>:+090-740-240-235+ | H-2020:240-235-<END>:+090-740-240-235+ | H-12:240-235-002:+740-690-435-255-803-220-240-235-002-817+ | H-39:240-235-745:+740-390-590-231-240-235-745-060-920+
740,031,5,0,0,2,2,C-53:031-740-222:+032-031/740-222-235-002-861+ | C-68:031-740-791:+032-031/740-791-713+ | C-12:031-740-060:+161-390-590-031-740-060-920+ | M-1714:031-740-861:+617-243-031-740-861+ | M-2021:031-740-927:+095-031-740-927+
222,740,12,1,0.08333333333333333,5,3,C-53:740-222-235:+032-031/740-222-235-002-861+ | H-1869:740-222-<END>:+151-740-222+ | M-1674:740-222-231:+090-740-222-231-002-861-683+ | M-1671:740-222-176:+791-575-413/740-222-176-060-920+ | M-82:740-222-002:+740-222-002-207-550-390+
235,222,2,0,0,2,1,C-53:222-235-002:+032-031/740-222-235-002-861+ | -:222-235-002:+740-222-235-002-820+
002,235,30,0,0,8,4,C-53:235-002-861:+032-031/740-222-235-002-861+ | H-1050:235-002-817:+804-235-002-817+ | H-12:235-002-817:+740-690-435-255-803-220-240-235-002-817+ | H-42:235-002-817:+740-380-235-002-817+ | H-389:235-002-031:+740-405-590-235-002-031-480-625+
850,031,2,0,0,2,1,C-76:031-850-032:+032-031/850-032-530-740-741-456+ | M-726:031-850-140:+031-850-140-236-220-032-803-002-820+
032,850,3,1,0.3333333333333333,2,1,C-76:850-032-530:+032-031/850-032-530-740-741-456+ | M-733:850-032-<END>:+151-740-760-220/892-590-850-032+ | M-742:850-032-060:+090-850-032-060-573+
530,032,1,0,0,1,1,C-76:032-530-740:+032-031/850-032-530-740-741-456+
740,530,1,0,0,1,1,C-76:530-740-741:+032-031/850-032-530-740-741-456+
741,740,1,0,0,1,1,C-76:740-741-456:+032-031/850-032-530-740-741-456+
456,741,1,1,1,1,1,C-76:741-456-<END>:+032-031/850-032-530-740-741-456+
791,740,1,0,0,1,1,C-68:740-791-713:+032-031/740-791-713+
713,791,1,1,1,1,1,C-68:791-713-<END>:+032-031/740-791-713+
014,226,1,0,0,1,1,C-79:226-014-817:+226-014-817+
817,014,1,1,1,1,1,C-79:014-817-<END>:+226-014-817+
002,125,2,0,0,2,1,C-74:125-002-861:+125-002-861+ | M-901:125-002-861:+090-125-002-861+
100,740,79,2,0.02531645569620253,8,9,C-51:740-100-240:+151-740-100-240+ | C-17:740-100-<END>:+740-100+ | -:740-100-407:+740-100-407-590+ | H-1032:740-100-140:+740-100-140-003+ | H-1080:740-100-176:+740-100-176+
240,100,8,4,0.5,3,4,C-51:100-240-<END>:+151-740-100-240+ | H-1895:100-240-<END>:+400-740-100-240+ | H-76:100-240-235:+740-100-240-235-741-175-132+ | H-251:100-240-<END>:+400-740-100-240+ | H-323:100-240-<END>:+740-100-240+
368,001,9,0,0,3,2,C-56:001-368-767:+001-368-767+ | H-40:001-368-831:+740-798-235-001-368-831-165+ | M-1:001-368-861:+001-368-861-255-371+ | M-84:001-368-920:+740-765-240-001-368-920+ | M-573:001-368-861:+740-222-233-235/617-142-001-368-861+
767,368,1,1,1,1,1,C-56:368-767-<END>:+001-368-767+
388,526,1,1,1,1,1,C-61:526-388-<END>:+526-388+
636,740,10,0,0,3,3,C-78:740-636-240:+740-636-240/002-817+ | H-298:740-636-240:+400-740-636-240+ | H-301:740-636-240:+400-740-636-240-031-032-171+ | H-360:740-636-240:+740-636-240-060-692+ | H-823:740-636-240:+740-636-240-060-692+
240,636,11,4,0.36363636363636365,3,3,C-78:636-240-002:+740-636-240/002-817+ | H-1308:636-240-<END>:+740-690-636-240+ | H-298:636-240-<END>:+400-740-636-240+ | H-301:636-240-031:+400-740-636-240-031-032-171+ | H-360:636-240-060:+740-636-240-060-692+
002,240,38,0,0,4,4,C-78:240-002-817:+740-636-240/002-817+ | -:240-002-817:+740-904-240-002-817+ | H-2010:240-002-861:+740-482-240-002-861+ | H-1670:240-002-824:+740-760-033-033-240-002-824+ | H-51:240-002-861:+740-643-240-002-861+
055,161,2,1,0.5,2,1,C-63:161-055-<END>:+161-055+ | M-1728:161-055-240:+161-055-240-220-032-002-820+
233,520,20,4,0.2,5,4,C-67:520-233-803:+520-233-803-002-817+ | H-874:520-233-240:+520-233-240+ | H-1770:520-233-<END>:+400-520-233+ | H-1678:520-233-240:+520-233-240-220-032+ | H-1966:520-233-049:+520-233-049-002-861+
803,233,13,6,0.46153846153846156,4,4,C-67:233-803-002:+520-233-803-002-817+ | C-9:233-803-033:+151-233-803-033-705-240+ | H-1842:233-803-<END>:+740-690-435-176-233-803+ | H-240:233-803-<END>:+740-904-032-233-803+ | H-501:233-803-002:+520-233-803-002-817+
002,803,28,0,0,4,3,C-67:803-002-817:+520-233-803-002-817+ | C-4:803-002-817:+520-235-803-002-817+ | -:803-002-861:+244-165/740-879-220-416-803-002-861+ | H-44:803-002-031:+520-033-706-235-798-803-002-031-892+ | H-268:803-002-220:+740-585-017-033-706-803-002-220-455-920+
690,151,1,0,0,1,1,C-77:151-690-032:+151-690/032-031+
032,690,3,1,0.3333333333333333,2,2,C-77:690-032-031:+151-690/032-031+ | H-2109:690-032-025:+690-032-025+ | H-43:690-032-<END>:+405-690-032+
840,031,1,0,0,1,1,C-1:031-840-140:+031-840-140-740-101-002-365-287-034+
140,840,2,0,0,2,1,C-1:840-140-740:+031-840-140-740-101-002-365-287-034+ | M-1743:840-140-740:+064-840-140-740-176+
740,140,4,0,0,3,2,C-1:140-740-101:+031-840-140-740-101-002-365-287-034+ | H-659:140-740-233:+407-845-140-740-233-240-798-365-263+ | M-1743:140-740-176:+064-840-140-740-176+ | M-7:140-740-101:+407-845-140-740-101-923-240-002-861+
101,740,6,0,0,3,2,C-1:740-101-002:+031-840-140-740-101-002-365-287-034+ | H-2175:740-101-031:+090-740-101-031+ | H-45:740-101-002:+090-740-101-002-820+ | M-1685:740-101-908:+090-740-101-908-545+ | M-7:740-101-923:+407-845-140-740-101-923-240-002-861+
002,101,2,0,0,2,1,C-1:101-002-365:+031-840-140-740-101-002-365-287-034+ | H-45:101-002-820:+090-740-101-002-820+
365,002,4,0,0,3,2,C-1:002-365-287:+031-840-140-740-101-002-365-287-034+ | M-577:002-365-460:+617-142-597-032-905/407-004-002-365-460-495+ | M-1532:002-365-460:+407-004-002-365-460-495+ | -:002-365-550:+391-002-365-550+
287,365,1,0,0,1,1,C-1:365-287-034:+031-840-140-740-101-002-365-287-034+
034,287,1,1,1,1,1,C-1:287-034-<END>:+031-840-140-740-101-002-365-287-034+
016,740,2,0,0,2,2,C-3:740-016-002:+740-016-002-920-317+ | H-1964:740-016-503:+400-740-016-503+
002,016,9,0,0,5,2,C-3:016-002-920:+740-016-002-920-317+ | -:016-002-861:+390-016-002-861+ | H-514:016-002-820:+151-220-016-002-820+ | M-17:016-002-814:+390-016-002-814-560+ | M-53:016-002-297:+090-740-220-016-002-297-190-920-140+
920,002,3,0,0,3,2,C-3:002-920-317:+740-016-002-920-317+ | H-2016:002-920-491:+317-740-335-740-176-002-920-491+ | M-44:002-920-317:+740-760-033-705-803-002-920-317+
317,920,2,2,1,2,1,C-3:920-317-<END>:+740-016-002-920-317+ | M-44:920-317-<END>:+740-760-033-705-803-002-920-317+
235,520,8,3,0.375,5,5,C-4:520-235-803:+520-235-803-002-817+ | -:520-235-<END>:+520-235+ | M-486:520-235-<END>:+520-235+ | M-686:520-235-806:+520-235-806+ | M-777:520-235-060:+173-520-235-060-550+
803,235,7,3,0.42857142857142855,2,3,C-4:235-803-002:+520-235-803-002-817+ | M-52:235-803-002:+740-904-032-220-415-235-803-002-504-717+ | M-359:235-803-002:+740-405-590-220-235-803-002-388-385-705-632+ | M-806:235-803-001:+520-235-803-001-368-861+ | M-814:235-803-<END>:+740-176-033-705-240-235-803+
140,740,2,0,0,2,1,C-5:740-140-717:+740-140-717-002-298-741+ | M-1114:740-140-002:+740-140-002-741-060-920+
717,140,1,0,0,1,1,C-5:140-717-002:+740-140-717-002-298-741+
002,717,3,0,0,2,1,C-5:717-002-298:+740-140-717-002-298-741+ | M-258:717-002-861:+384-575/892-706-717-002-861+ | M-713:717-002-764:+226-803-717-002-764+
298,002,3,0,0,3,1,C-5:002-298-741:+740-140-717-002-298-741+ | M-683:002-298-460:+740-798-231-002-298-460-032+ | -:002-298-741:+136-002-298-741+
741,298,2,2,1,2,1,C-5:298-741-<END>:+740-140-717-002-298-741+ | -:298-741-<END>:+136-002-298-741+
521,817,1,0,0,1,1,C-6:817-521-521:+817-521-521/090-740-221-002-031-500+
521,521,1,0,0,1,1,C-6:521-521-090:+817-521-521/090-740-221-002-031-500+
090,521,1,0,0,1,1,C-6:521-090-740:+817-521-521/090-740-221-002-031-500+
221,740,2,1,0.5,2,2,C-6:740-221-002:+817-521-521/090-740-221-002-031-500+ | H-1867:740-221-<END>:+151-740-221+
002,221,1,0,0,1,1,C-6:221-002-031:+817-521-521/090-740-221-002-031-500+
031,002,10,0,0,4,2,C-6:002-031-500:+817-521-521/090-740-221-002-031-500+ | H-44:002-031-892:+520-033-706-235-798-803-002-031-892+ | H-389:002-031-480:+740-405-590-235-002-031-480-625+ | M-1745:002-031-892:+368-821-055-031-002-031-892+ | M-211:002-031-165:+090-740-100-220-002-031-165+
500,031,1,1,1,1,1,C-6:031-500-<END>:+817-521-521/090-740-221-002-031-500+
233,803,3,1,0.3333333333333333,3,1,C-8:803-233-741:+740-803-233-741-250-579+ | Jk-2:803-233-002:+740-803-233-002-817+ | M-238:803-233-<END>:+740-803-233+
741,233,4,0,0,2,1,C-8:233-741-250:+740-803-233-741-250-579+ | M-85:233-741-081:+520-233-741-081-272+ | M-647:233-741-060:+740-100-235-233-741-060-920+ | M-786:233-741-175:+740-798-233-741-175+
250,741,2,0,0,2,1,C-8:741-250-579:+740-803-233-741-250-579+ | M-159:741-250-579:+740-048-741-250-579+
579,250,2,2,1,2,1,C-8:250-579-<END>:+740-803-233-741-250-579+ | M-159:250-579-<END>:+740-048-741-250-579+
233,151,1,0,0,1,1,C-9:151-233-803:+151-233-803-033-705-240+
