checked_date,template_4,count,contains_125_in_template_4,contains_125_anywhere_after_002,distinct_sites,distinct_types,distinct_prev_before_002,top_exact_text_share,top_exact_text,sites,types,prev_before_002,cisi,verdict,examples
2026-05-31,390-125-632-032,2,true,true,1,1,2,0.500000,+151-337-484-002-390-125-632-032-900-563+,Mohenjo-daro:2,SEAL:S:2,235:1;484:1,M-38:1;M-119:1,survives_exact_text_control_same_site_125_template,M-38:+740-690-435-255-220-032-240-235-002-390-125-632-032+ | M-119:+151-337-484-002-390-125-632-032-900-563+
2026-05-31,416-<END>-<END>-<END>,2,false,false,1,1,2,0.500000,]002-416+,Harappa:2,SEAL:S:2,<START>:1;003:1,H-457:1;H-480:1,non125_repeated_template_background,H-457:+740-798-003-002-416+ | H-480:]002-416+
2026-05-31,502-031-<END>-<END>,2,false,false,1,1,1,0.500000,+003-001-520-240-806-002-502-031+,Mohenjo-daro:2,SEAL:R:2,806:2,M-358:1;M-1284:1,local_register_formula_control,M-358:+003-001-520-240-806-002-502-031+ | M-1284:+416-001-520-240-806-002-502-031+
2026-05-31,570-<END>-<END>-<END>,2,false,false,1,2,2,0.500000,+000-740-000-520-480-002-570+,Mohenjo-daro:2,SEAL:R:1;TAB:B:1,005:1;480:1,M-1263:1;M-2012:1,non125_repeated_template_background,M-1263:+000-740-000-520-480-002-570+ | M-2012:+740-900-005-002-570+
2026-05-31,617-<END>-<END>-<END>,2,false,false,1,1,2,0.500000,]002-617+,Lothal:2,TAG:2,<START>:1;240:1,L-134:1;L-136:1,non125_repeated_template_background,L-134:+520-233-220-240-002-617+ | L-136:]002-617+
2026-05-31,690-921-<END>-<END>,2,false,false,1,1,2,0.500000,+354-001-740-405-590-033-706-002-690-921+,Harappa:2,SEAL:S:2,032:1;706:1,H-8:1;H-1657:1,non125_repeated_template_background,H-1657:+740-405-590-032-900-003-806-235-220-032-002-690-921+ | H-8:+354-001-740-405-590-033-706-002-690-921+
2026-05-31,820-741-<END>-<END>,2,false,false,1,1,2,0.500000,+151-243-031-002-820-741+,Mohenjo-daro:2,SEAL:S:2,031:1;803:1,M-160:1;M-1119:1,non125_repeated_template_background,M-160:+151-243-031-002-820-741+ | M-1119:+740-803-002-820-741+
2026-05-31,840-016-<END>-<END>,2,false,false,1,1,1,1.000000,+850-140-803-002-840-016+,Mohenjo-daro:2,TAB:B:2,803:2,M-490:1;M-491:1,copy_formula_pressure_control,M-490:+850-140-803-002-840-016+ | M-491:+850-140-803-002-840-016+
2026-05-31,861-096-<END>-<END>,2,false,false,1,1,1,0.500000,+002-861-096[,Mohenjo-daro:2,ROD:2,<START>:2,M-2089:1;M-2090:1,local_register_formula_control,M-2090:+002-861-096[ | M-2089:+002-861-096+
2026-05-31,861-533-717-<END>,2,false,false,1,1,2,0.500000,+405-845-686-740-793-003-233-805-002-861-533-717+,Mohenjo-daro:2,SEAL:R:2,176:1;805:1,M-376:1;M-391:1,non125_repeated_template_background,M-376:+740-100-176-002-861-533-717+ | M-391:+405-845-686-740-793-003-233-805-002-861-533-717+
2026-05-31,861-698-<END>-<END>,2,false,false,1,1,1,1.000000,+002-861-698+,Mohenjo-daro:2,SEAL:S:2,<START>:2,M-329:1;M-330:1,copy_formula_pressure_control,M-329:+002-861-698+ | M-330:+002-861-698+
2026-05-31,900-003-590-<END>,2,false,false,1,1,1,0.500000,+740-772-240-002-900-003-590+,Mohenjo-daro:2,SEAL:S:2,240:2,M-958:1;M-979:1,local_register_formula_control,M-958:+740-772-240-002-900-003-590+ | M-979:+740-773-240/002-900-003-590+
2026-05-31,920-491-<END>-<END>,2,false,false,1,1,1,1.000000,+317-740-335-740-176-002-920-491+,Harappa:2,TAB:B:2,176:2,H-811:1;H-2016:1,copy_formula_pressure_control,H-2016:+317-740-335-740-176-002-920-491+ | H-811:+317-740-335-740-176-002-920-491+
2026-05-31,000-031-<END>-<END>,1,false,false,1,1,1,1.000000,+808-033-002-000-031+,Mohenjo-daro:1,POT:T:g:1,033:1,M-2005:1,singleton_non125_background,M-2005:+808-033-002-000-031+
2026-05-31,000-090-<END>-<END>,1,false,false,1,1,1,1.000000,+740-798-002-000-090+,Mohenjo-daro:1,SEAL:S:1,798:1,M-902:1,singleton_non125_background,M-902:+740-798-002-000-090+
2026-05-31,000-090-725-000,1,false,false,1,1,1,1.000000,+002/000-090-725-000+,Unknown:1,SEAL:C:1,<START>:1,-:1,singleton_non125_background,-:+002/000-090-725-000+
2026-05-31,000-215-<END>-<END>,1,false,false,1,1,1,1.000000,+520-442/425-003-002-000-215+,Mohenjo-daro:1,SEAL:S:1,003:1,M-1783:1,singleton_non125_background,M-1783:+520-442/425-003-002-000-215+
2026-05-31,000-216-<END>-<END>,1,false,false,1,1,1,1.000000,+527-555-235-220-032-002-000-216+,Mohenjo-daro:1,SEAL:S:1,032:1,M-636:1,singleton_non125_background,M-636:+527-555-235-220-032-002-000-216+
2026-05-31,000-317-688-<END>,1,false,false,1,1,1,1.000000,+361-002-000-317-688+,Rakhigarhi:1,SEAL:CY:1,361:1,-:1,singleton_non125_background,-:+361-002-000-317-688+
2026-05-31,000-350-<END>-<END>,1,false,false,1,1,1,1.000000,+740-760-000-002-000-350+,Mohenjo-daro:1,SEAL:S:1,000:1,M-106:1,singleton_non125_background,M-106:+740-760-000-002-000-350+
2026-05-31,000-861-031-<END>,1,false,false,1,1,1,1.000000,]002-000-861-031+,Harappa:1,SEAL:S:1,<START>:1,H-486:1,singleton_non125_background,H-486:]002-000-861-031+
2026-05-31,001-250-<END>-<END>,1,false,false,1,1,1,1.000000,+111-002-001-250+,Nausharo:1,SEAL:S:1,111:1,Ns-56:1,singleton_non125_background,Ns-56:+111-002-001-250+
2026-05-31,002-<END>-<END>-<END>,1,false,false,1,1,1,1.000000,+002-002+,Harappa:1,POT:T:g:1,<START>:1,-:1,singleton_non125_background,-:+002-002+
2026-05-31,002-817-<END>-<END>,1,false,false,1,1,1,1.000000,]000-003-070-002-002-817+,Mohenjo-daro:1,SEAL:S:1,070:1,M-658:1,singleton_non125_background,M-658:]000-003-070-002-002-817+
2026-05-31,003-861-<END>-<END>,1,false,false,1,1,1,1.000000,+000-480-003-064-002-003-861+,Harappa:1,POT:T:g:1,064:1,-:1,singleton_non125_background,-:+000-480-003-064-002-003-861+
2026-05-31,004-328-001-803,1,false,false,1,1,1,1.000000,+002-004-328-001-803-415+,Ur:1,SEAL:C:1,<START>:1,-:1,singleton_non125_background,-:+002-004-328-001-803-415+
2026-05-31,031-104-<END>-<END>,1,false,false,1,1,1,1.000000,+423-003-001-423-002-031-104+,Dholavira:1,SEAL:R:1,423:1,-:1,singleton_non125_background,-:+423-003-001-423-002-031-104+
2026-05-31,031-165-<END>-<END>,1,false,false,1,1,1,1.000000,+090-740-100-220-002-031-165+,Mohenjo-daro:1,SEAL:S:1,220:1,M-211:1,singleton_non125_background,M-211:+090-740-100-220-002-031-165+
2026-05-31,031-350-550-692,1,false,false,1,1,1,1.000000,+090-740-100-415-002-031-350-550-692+,Mohenjo-daro:1,SEAL:S:1,415:1,M-739:1,singleton_non125_background,M-739:+090-740-100-415-002-031-350-550-692+
2026-05-31,031-376-<END>-<END>,1,false,false,1,1,1,1.000000,+390-004-002-031-376+,Mohenjo-daro:1,SEAL:S:1,004:1,M-1823:1,singleton_non125_background,M-1823:+390-004-002-031-376+
2026-05-31,031-480-<END>-<END>,1,false,false,1,1,1,1.000000,]000-000-335-235-002-031-480[,Mohenjo-daro:1,TAB:B:1,235:1,M-1386:1,singleton_non125_background,M-1386:]000-000-335-235-002-031-480[
2026-05-31,031-480-625-<END>,1,false,false,1,1,1,1.000000,+740-405-590-235-002-031-480-625+,Harappa:1,SEAL:S:1,235:1,H-389:1,singleton_non125_background,H-389:+740-405-590-235-002-031-480-625+
2026-05-31,031-500-<END>-<END>,1,false,false,1,1,1,1.000000,+817-521-521/090-740-221-002-031-500+,Chanhu-daro:1,SEAL:S:1,221:1,C-6:1,singleton_non125_background,C-6:+817-521-521/090-740-221-002-031-500+
2026-05-31,031-502-<END>-<END>,1,false,false,1,1,1,1.000000,+740-752-006-503-236-806-002-031-502+,Mohenjo-daro:1,SEAL:S:1,806:1,M-678:1,singleton_non125_background,M-678:+740-752-006-503-236-806-002-031-502+
2026-05-31,031-820-<END>-<END>,1,false,false,1,1,1,1.000000,]002-031-820[,Kalibangan:1,POT:T:g:1,<START>:1,K-429:1,singleton_non125_background,K-429:]002-031-820[
2026-05-31,033-705-<END>-<END>,1,false,false,1,1,1,1.000000,+740-760-335-002-033-705+,Mohenjo-daro:1,SEAL:S:1,335:1,M-1155:1,singleton_non125_background,M-1155:+740-760-335-002-033-705+
2026-05-31,055-031-319-001,1,false,false,1,1,1,1.000000,+416-150-002-055-031-319-001-924+,Susa:1,SEAL:CY:1,150:1,-:1,singleton_non125_background,-:+416-150-002-055-031-319-001-924+
2026-05-31,055-373-<END>-<END>,1,false,false,1,1,1,1.000000,+740-798-231-002-055-373+,Mohenjo-daro:1,SEAL:S:1,231:1,M-43:1,singleton_non125_background,M-43:+740-798-231-002-055-373+
2026-05-31,060-820-<END>-<END>,1,false,false,1,1,1,1.000000,]000-055-592-140-832-002-060-820[,Mohenjo-daro:1,SEAL:C:1,832:1,M-1369:1,singleton_non125_background,M-1369:]000-055-592-140-832-002-060-820[
2026-05-31,065-834-<END>-<END>,1,false,false,1,1,1,1.000000,]000-235-002-065-834+,Mohenjo-daro:1,SEAL:S:1,235:1,M-1082:1,singleton_non125_background,M-1082:]000-235-002-065-834+
2026-05-31,069-<END>-<END>-<END>,1,false,false,1,1,1,1.000000,+090-740-035-171-061-031-002-069+,Mohenjo-daro:1,SEAL:S:1,031:1,M-1883:1,singleton_non125_background,M-1883:+090-740-035-171-061-031-002-069+
2026-05-31,093-033-<END>-<END>,1,false,false,1,1,1,1.000000,+215-031-480-140-632-705-002-093-033+,Mohenjo-daro:1,SEAL:S:1,705:1,M-1765:1,singleton_non125_background,M-1765:+215-031-480-140-632-705-002-093-033+
2026-05-31,095-000-<END>-<END>,1,false,false,1,1,1,1.000000,+002-095-000[,Tepe Yahya:1,POT:T:s:1,<START>:1,TY-106:1,singleton_non125_background,TY-106:+002-095-000[
2026-05-31,107-<END>-<END>-<END>,1,false,false,1,1,1,1.000000,+740-390-590-233-231-002-107+,Mohenjo-daro:1,SEAL:S:1,231:1,M-35:1,singleton_non125_background,M-35:+740-390-590-233-231-002-107+
2026-05-31,111-165-<END>-<END>,1,false,false,1,1,1,1.000000,+390-003-002-111-165+,Mohenjo-daro:1,SEAL:S:1,003:1,M-95:1,singleton_non125_background,M-95:+390-003-002-111-165+
2026-05-31,111-700-<END>-<END>,1,false,false,1,1,1,1.000000,]000-233-002-111-700+,Mohenjo-daro:1,SEAL:S:1,233:1,M-721:1,singleton_non125_background,M-721:]000-233-002-111-700+
2026-05-31,125-350-<END>-<END>,1,true,true,1,1,1,1.000000,+390-003-002-125-350+,Mohenjo-daro:1,SEAL:S:1,003:1,M-251:1,singleton_125_template_wild,M-251:+390-003-002-125-350+
2026-05-31,125-590-<END>-<END>,1,true,true,1,1,1,1.000000,+527-550-002-125-590+,Harappa:1,SEAL:S:1,550:1,H-611:1,singleton_125_template_wild,H-611:+527-550-002-125-590+
2026-05-31,130-035-<END>-<END>,1,false,false,1,1,1,1.000000,+000-798-000-354-002-130-035[,Lothal:1,SEAL:S:1,354:1,L-12:1,singleton_non125_background,L-12:+000-798-000-354-002-130-035[
2026-05-31,142-<END>-<END>-<END>,1,false,false,1,1,1,1.000000,+740-904-220-032-002-142+,Mohenjo-daro:1,SEAL:S:1,032:1,M-1686:1,singleton_non125_background,M-1686:+740-904-220-032-002-142+
2026-05-31,144-<END>-<END>-<END>,1,false,false,1,1,1,1.000000,+740-094-220-032-002-144+,Mohenjo-daro:1,SEAL:S:1,032:1,M-130:1,singleton_non125_background,M-130:+740-094-220-032-002-144+
2026-05-31,156-920-<END>-<END>,1,false,false,1,1,1,1.000000,+740-100-140-003-002-156-920+,Mohenjo-daro:1,SEAL:S:1,003:1,M-1810:1,singleton_non125_background,M-1810:+740-100-140-003-002-156-920+
2026-05-31,168-032-<END>-<END>,1,false,false,1,1,1,1.000000,+232-220-032-002-168-032+,Mohenjo-daro:1,SEAL:S:1,032:1,M-1159:1,singleton_non125_background,M-1159:+232-220-032-002-168-032+
2026-05-31,172-032-<END>-<END>,1,false,false,1,1,1,1.000000,+520-033-705-002-172-032+,Harappa:1,SEAL:S:1,705:1,H-455:1,singleton_non125_background,H-455:+520-033-705-002-172-032+
2026-05-31,190-125-632-032,1,true,true,1,1,1,1.000000,+390-600-617-002-190-125-632-032+,Mohenjo-daro:1,SEAL:S:1,617:1,M-1692:1,singleton_125_template_wild,M-1692:+390-600-617-002-190-125-632-032+
2026-05-31,190-751-<END>-<END>,1,false,false,1,1,1,1.000000,+226-415-002-190-751+,Mohenjo-daro:1,SEAL:S:1,415:1,M-639:1,singleton_non125_background,M-639:+226-415-002-190-751+
2026-05-31,207-550-390-<END>,1,false,false,1,1,1,1.000000,+740-222-002-207-550-390+,Mohenjo-daro:1,SEAL:S:1,222:1,M-82:1,singleton_non125_background,M-82:+740-222-002-207-550-390+
2026-05-31,220-000-<END>-<END>,1,false,false,1,1,1,1.000000,+740-760-235-240-002-220-000[,Harappa:1,SEAL:S:1,240:1,H-593:1,singleton_non125_background,H-593:+740-760-235-240-002-220-000[
2026-05-31,220-065-132-082,1,false,false,1,1,1,1.000000,+520-231-002-220-065-132-082+,Kalibangan:1,SEAL:S:1,231:1,K-25:1,singleton_non125_background,K-25:+520-231-002-220-065-132-082+
2026-05-31,220-065-215-<END>,1,false,false,1,1,1,1.000000,+740-798-240-235-002-220-065-215+,Mohenjo-daro:1,SEAL:S:1,235:1,M-46:1,singleton_non125_background,M-46:+740-798-240-235-002-220-065-215+
