checked_date,row_id,object,site,type,shape,material,prev2,prev,sign,next,next2,terminal,in_002_390_frame,in_060_692_suffix,exact_sequence,text
2026-05-31,3077.1,M-626,Mohenjo-daro,SEAL:S,square,Steatite,803,060,692,740,690,false,false,true,842 374 125 740 803 060 692 740 690 435 255 060 692,+842-374-125/740-803-060-692-740-690-435-255-060-692+
2026-05-31,3077.1,M-626,Mohenjo-daro,SEAL:S,square,Steatite,255,060,692,<END>,<END>,true,false,true,842 374 125 740 803 060 692 740 690 435 255 060 692,+842-374-125/740-803-060-692-740-690-435-255-060-692+
2026-05-31,3105.1,M-666,Mohenjo-daro,SEAL:S,square,Steatite,231,060,692,<END>,<END>,true,false,true,740 440 231 060 692,+740-440-231-060-692+
2026-05-31,3163.1,M-739,Mohenjo-daro,SEAL:S,square,NA,350,550,692,<END>,<END>,true,false,false,090 740 100 415 002 031 350 550 692,+090-740-100-415-002-031-350-550-692+
2026-05-31,3174.1,M-751,Mohenjo-daro,SEAL:S,square,Steatite,<START>,<START>,692,451,<END>,false,false,false,692 451,+692-451+
2026-05-31,3482.1,M-1111,Mohenjo-daro,SEAL:S,square,Steatite,745,924,692,<END>,<END>,true,false,false,740 798 745 924 692,+740-798-745-924-692+
2026-05-31,3496.1,M-1127,Mohenjo-daro,SEAL:S,square,Steatite,<START>,060,692,740,269,false,false,true,060 692 740 269 140 002,+060-692/740-269-140-002+
2026-05-31,3525.1,M-1165,Mohenjo-daro,SEAL:S,square,Steatite,140,060,692,<END>,<END>,true,false,true,090 740 920 140 060 692,+090-740-920-140-060-692+
2026-05-31,3537.1,M-1181,Mohenjo-daro,SEAL:S,square,Steatite,231,060,692,<END>,<END>,true,false,true,740 927 231 060 692,+740-927-231-060-692+
2026-05-31,3540.1,M-1189,Mohenjo-daro,SEAL:S,square,Steatite,861,892,692,000,220,false,false,false,861 892 692 000 220 002 824,]861-892-692/000-220-002-824[
2026-05-31,5355.1,Ns-53,Nausharo,SEAL:S,square,Steatite,391,060,692,<END>,<END>,true,false,true,861 111 391 060 692,+861-111-391-060-692+
