"id","cisi","site","type","material","dir","formula","first","second","third","has_520","has_220","has_220_415","text"
"1821.2","H-941","Harappa","TAB:I","Steatite","R/L","520-220-415","520","220","415","True","True","True","+520-220-415+"
"1822.1","H-942","Harappa","TAB:I","Steatite","L/R","520-220-016","520","220","016","True","True","False","+520-220-016+"
"1849.1","H-972","Harappa","TAB:I","Steatite","R/L","000-220-415","000","220","415","False","True","True","+000-220-415+"
"2011.1","L-38","Lothal","SEAL:S","Steatite","R/L","151-100-220","151","100","220","False","True","False","+151-100-220+"
"2088.1","L-146","Lothal","TAG:O","Clay","R/L","520-033-705","520","033","705","True","False","False","+520-033-705+"
"2441.1","M-1912","Mohenjo-daro","SEAL:S","Steatite","R/L","520-220-003","520","220","003","True","True","False","+520-220-003+"
"2512.1","M-1826","Mohenjo-daro","SEAL:S","Steatite","R/L","520-072-921","520","072","921","True","False","False","+520-072-921+"
"2518.1","M-2019","Mohenjo-daro","TAB:B","Clay","-","000-000-220","000","000","220","False","True","False","+000-000-220+"
"2565.1","M-37","Mohenjo-daro","SEAL:S","Steatite","R/L","520-220-415","520","220","415","True","True","True","+520-220-415+"
"2601.1","M-73","Mohenjo-daro","SEAL:S","Steatite","R/L","400-520-897","400","520","897","True","False","False","+400-520-897+"
"2649.1","M-122","Mohenjo-daro","SEAL:S","Steatite","R/L","520-033-705","520","033","705","True","False","False","+520-033-705+"
"2678.1","M-151","Mohenjo-daro","SEAL:S","Steatite","R/L","220-065-864","220","065","864","False","True","False","+220-065-864+"
"2742.1","M-218","Mohenjo-daro","SEAL:S","Steatite","R/L","400-220-428","400","220","428","False","True","False","+400-220-428+"
"2814.1","M-294","Mohenjo-daro","SEAL:S","Steatite","R/L","740-220-003","740","220","003","False","True","False","+740-220-003+"
"2821.1","M-302","Mohenjo-daro","SEAL:S","Steatite","R/L","520-231-235","520","231","235","True","False","False","+520-231-235+"
"2910.1","M-414","Mohenjo-daro","SEAL:R","Steatite","-","220-786-255","220","786","255","False","True","False","+220-786-255+"
"2958.1","M-473","Mohenjo-daro","TAB:B","Faience","R/L","740-100-220","740","100","220","False","True","False","+740-100-220+"
"3069.1","M-608","Mohenjo-daro","TAB:C","Copper","R/L","740-220-000","740","220","000","False","True","False","+740-220-000+"
"3122.1","M-686","Mohenjo-daro","SEAL","Steatite","R/L","520-235-806","520","235","806","True","False","False","+520-235-806+"
"3182.1","M-759","Mohenjo-daro","SEAL","Steatite","R/L","520-240-806","520","240","806","True","False","False","+520-240-806+"
"3193.1","M-779","Mohenjo-daro","SEAL:S","Steatite","R/L","520-515-921","520","515","921","True","False","False","+520-515-921+"
"3230.1","M-817","Mohenjo-daro","SEAL:S","Steatite","R/L","520-382-878","520","382","878","True","False","False","+520-382-878+"
"3492.1","M-1121","Mohenjo-daro","SEAL:S","-","R/L","000-585-220","000","585","220","False","True","False","+000-585-220+"
"3556.1","M-1206","Mohenjo-daro","SEAL:S","Steatite","R/L","520-220-034","520","220","034","True","True","False","+520-220-034+"
"3617.1","M-1312","Mohenjo-daro","SEAL:R","Steatite","R/L","400-740-220","400","740","220","False","True","False","+400-740-220+"
"3658.1","M-1359","Mohenjo-daro","SEAL","Steatite","R/L","520-033-705","520","033","705","True","False","False","+520-033-705+"
"3720.1","M-1439","Mohenjo-daro","TAB:B","-","R/L","740-220-003","740","220","003","False","True","False","+740-220-003+"
"3722.1","M-1441","Mohenjo-daro","SEAL:R","-","R/L","740-220-003","740","220","003","False","True","False","+740-220-003+"
"3723.1","M-1442","Mohenjo-daro","TAB:B","-","R/L","740-220-003","740","220","003","False","True","False","+740-220-003+"
"3724.1","M-1443","Mohenjo-daro","SEAL:R","-","R/L","740-220-003","740","220","003","False","True","False","+740-220-003+"
"3826.1","M-1632","Mohenjo-daro","BNGL","Stoneware","-","440-220-413","440","220","413","False","True","False","+440-220-413+"
"3969.1","H-1124","Harappa","TAB:B","-","R/L","400-236-220","400","236","220","False","True","False","+400-236-220+"
"4056.2","H-1191","Harappa","TAB:I","-","R/L","220-700-004","220","700","004","False","True","False","+220-700-004+"
"4069.1","H-1284","Harappa","TAB:I","-","L/R","520-220-415","520","220","415","True","True","True","+520-220-415+"
"4084.1","H-1342","Harappa","TAB:I","-","R/L","090-740-220","090","740","220","False","True","False","+090-740-220+"
"4149.1","-","Dholavira","SEAL:S","-","R/L","520-033-033","520","033","033","True","False","False","+520-033-033+"
"4167.1","-","Dholavira","SEAL:R","Steatite","R/L","520-033-706","520","033","706","True","False","False","+520-033-706+"
"4216.1","-","Dholavira","SEAL:S","-","R/L","520-000-235","520","000","235","True","False","False","+520-000-235+"
"4220.1","-","Dholavira","SEAL:S","Steatite","R/L","520-742-861","520","742","861","True","False","False","+520-742-861+"
"4224.1","-","Dholavira","SEAL:S","-","R/L","740-235-220","740","235","220","False","True","False","+740-235-220+"
"4286.1","-","Dholavira","TAB:I","-","R/L","153-220-032","153","220","032","False","True","False","+153-220-032+"
"5220.1","-","Bhirrana","SEAL:S","Steatite","R/L","520-463-510","520","463","510","True","False","False","+520-463-510+"
"5277.1","K-150","Kalibangan","SEAL:S","Steatite","R/L","520-220-006","520","220","006","True","True","False","+520-220-006+"
