"checked_date","source_row_id","cisi","cisi_prefix","priority_lane","priority_score","priority_reasons","mayig_current_repo_has_object","mayig_current_repo_commit","site","type","material","shape","preservation","complete","condition","direction","class","sign_count","frame700_relation","source_hook","text","acquisition_question","accepted_decipherment_claim"
"2026-05-25","855.1","H-2228","H","P1_h_series_034_slot_controls","165","h2218_h2239_slot_series_control;700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","prism","complete","Y","Fair","R/L","VN","2","700_before_034","H97-3316Figure 12.12 | Period 3 | 3 | - -","+700-034+","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","850.1","H-2230","H","P1_h_series_034_slot_controls","165","h2218_h2239_slot_series_control;700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","prism","complete","Y","Fair","R/L","VN","2","700_before_034","H97-3311Figure 12.19 | Period 3 | 3 | - -","+700-034+","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","859.2","H-2231","H","P1_h_series_034_slot_controls","165","h2218_h2239_slot_series_control;700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","prism","complete","Y","Fair","R/L","VN","2","700_before_034","H97-3320Figure 12.21 | Period 3 | 3 | - -","+700-034+","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","860.2","H-2232","H","P1_h_series_034_slot_controls","165","h2218_h2239_slot_series_control;700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","prism","complete","Y","Fair","R/L","VN","2","700_before_034","H97-3321Figure 12.23 | Period 3 | 3 | - -","+700-034+","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","878.1","H-2233","H","P1_h_series_034_slot_controls","165","h2218_h2239_slot_series_control;700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","prism","complete","Y","Fair","R/L","VN","2","700_before_034","H97-3341Figure 12.20 | Period 3B | 3 | B | - -","+700-034+","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","861.2","H-2234","H","P1_h_series_034_slot_controls","165","h2218_h2239_slot_series_control;700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","prism","complete","Y","Fair","R/L","VN","2","700_before_034","H97-3322Figure 12.22 | Period 3 | 3 | - -","+700-034+","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","870.1","H-2235","H","P1_h_series_034_slot_controls","165","h2218_h2239_slot_series_control;700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","prism","complete","Y","Fair","R/L","VN","2","700_before_034","H97-3333Figure 12.09 | Period 3 | 3 | - -","+700-034+","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","847.2","H-2236","H","P1_h_series_034_slot_controls","165","h2218_h2239_slot_series_control;700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","steatite","prism","complete","Y","Fair","R/L","VN","2","700_before_034","H97-3307Figure 12.15 | Period 3 | 3 | - -","+700-034+","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","794.1","H-2237","H","P1_h_series_034_slot_controls","165","h2218_h2239_slot_series_control;700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","prism","complete","Y","Fair","R/L","VN","2","700_before_034","H96-3125Figure 12.17 | Period 3B | 3 | B | - -","+700-034+","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","2269.1","M-1963","M","P0_mohenjo_034_missing_from_current_mayig","165","same_site_as_mayig_overlap_but_absent_from_current_repo;has_source_or_context_hook;fragment_or_uncertain_completeness","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Mohenjo-daro","SEAL:R","Steatite","rectangular","chipped","N","Poor","L/R","??","2","034_without_adjacent_700","DK-B 2732427 | -4.0 ft","+000-034-104+","Obtain Mayig/Parpola record or authoritative sign-list mapping for this exact Mohenjo-daro 034 object.","0"
"2026-05-25","1246.1","H-215","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:B","-","rectangular","complete","Y","Good","R/L","VN","2","700_before_034","13155 | - -","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","1336.2","H-314","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","oval","complete","Y","Good","R/L","VN","2","700_before_034","3091 | Period 3B/C | Stratum V | -12.58 ft","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","1341.2","H-319","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","oval","complete","Y","Good","R/L","VN","2","700_before_034","10060544 | Period 3C-1 | Stratum IV | -6.0 ft","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","1370.2","H-351","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","prism","complete","Y","Good","R/L","VN","2","700_before_034","2429581 | Period 3B/C | Stratum VI | -18.42 ft","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","1663.2","H-771","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:B","Faience","rectangular","complete","Y","Good","R/L","VN","2","700_before_034","657678 | Period 3B/C | Stratum VI | -16.5 ft","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","1818.2","H-938","H","P1_frame700_034_branch","78","700_after_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","rectangular","complete","Y","Good","R/L","NV","2","700_after_034","8650b458 | Period 3C-1 | Stratum IV | -7.0 ft","+034-700+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","265.2","H-1273","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","rectangular","complete","Y","Good","R/L","VN","2","700_before_034","2568508 | Period 3B-1 | Stratum VII | -19.5 ft","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","4069.2","H-1284","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","-","rectangular","complete","Y","Good","L/R","VN","2","700_before_034","-458 | - -","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","624.1","H-1817","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:B","Faience","rectangular","complete","Y","Good","R/L","VN","2","700_before_034","H94-2326Figure 26.06 | Period 3 | 3 | - -","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","646.1","H-1824","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:B","Faience","rectangular","complete","Y","Good","R/L","VN","2","700_before_034","H95-2434Figure 26.10 | Period 3B/C | 3 | B/C | - -","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","467.1","H-1825","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:B","Faience","rectangular","complete","Y","Good","L/R","VN","2","700_before_034","H2001-5082Figure 44.06 | Period 3B | 3 | B | - -","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","890.2","H-1829","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:B","Faience","rectangular","complete","Y","Good","R/L","VN","2","700_before_034","H97-3365Figure 14.13 | Period 3C | 3 | C | - -","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","773.1","H-1830","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:B","Faience","rectangular","complete","Y","Good","R/L","VN","2","700_before_034","H96-3052Figure 21.11 | Period 3B/C | 3 | B/C | - -","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","780.1","H-1844","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:B","Faience","rectangular","complete","Y","Good","R/L","VN","2","700_before_034","H96-3106Figure 21.06 | Period 3B | 3 | B | - -","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","424.1","H-1845","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:B","Faience","rectangular","complete","Y","Good","R/L","VN","2","700_before_034","H2000-4484Figure 42.05 | Period 3B/C | 3 | B/C | -0.0 m","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","686.1","H-1846","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:B","Faience","rectangular","complete","Y","Good","R/L","VN","2","700_before_034","H95-2672Figure 30.13 | - -","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","427.1","H-1854","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:B","Faience","rectangular","complete","Y","Good","R/L","VN","2","700_before_034","H2000-4489Figure 46.01 | Period 3B/C | 3 | B/C | - -","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","637.1","H-1860","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:B","Faience","rectangular","complete","Y","Good","R/L","VN","2","700_before_034","H95-2422Figure 28.09 | Period 3B/C | 3 | B/C | - -","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","396.1","H-1877","H","P1_frame700_034_branch","78","700_after_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:B","Faience","rectangular","complete","Y","Good","R/L","NV","2","700_after_034","H2000-4428Figure 41.06 | Period 3B/C | 3 | B/C | - -","+034-700+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","831.1","H-1880","H","P1_frame700_034_branch","78","700_after_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:B","Faience","rectangular","complete","Y","Good","R/L","NV","2","700_after_034","H97-3289Figure 14.10 | Period 3B | 3 | B | - -","+034-700+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","743.2","H-1907","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:B","Faience","heart","complete","Y","Good","R/L","VN","2","700_before_034","H96-2768Figure 21.07 | Period 3B/C | 3 | B/C | - -","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","938.1","H-1937","H","P1_frame700_034_branch","78","700_after_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:B","Faience","prism","complete","Y","Good","R/L","NV","2","700_after_034","H98-3504Figure 25.09 | Period 3 | 3 | -0.0 m","+034-700+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","422.1","H-1943","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:B","Faience","prism","complete","Y","Good","R/L","VN","2","700_before_034","H2000-4482Figure 42.10 | Period 3B/C | 3 | B/C | - -","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","393.1","H-1981","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:B","Clay","rectangular","complete","Y","Good","R/L","VN","2","700_before_034","H2000-4417Figure 39.08 | Period 3B/C | 3 | B/C | - -","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","532.2","H-2069","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","rectangular","complete","Y","Good","R/L","VX","5","700_before_034","H93-2106Figure 16.e | Period 3B/C | 3 | B/C | - -","+700-034-400-525-550+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","665.1","H-2096","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","-","rectangular","complete","Y","Good","R/L","VN","2","700_before_034","H95-2488 | Period 3B/C | 3 | B/C | - -","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","488.1","H-2097","H","P1_frame700_034_branch","78","700_after_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","rectangular","complete","Y","Good","R/L","NV","2","700_after_034","H2001-5193Figure 48.02 | Period 3C | 3 | C | - -","+034-700+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","1018.1","H-2102","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","rectangular","complete","Y","Good","R/L","VN","2","700_before_034","H99-3960Figure 34.04 | Period 3C | 3 | C | - -","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","418.1","H-2140","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","rectangular","complete","Y","Good","R/L","VN","2","700_before_034","H2000-4475Figure 42.01 | Period 3B/C | 3 | B/C | - -","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
"2026-05-25","752.1","H-2143","H","P1_frame700_034_branch","78","700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","-","rectangular","complete","Y","Good","R/L","VN","2","700_before_034","H96-2780 | Period 3B | 3 | B | - -","+700-034+","Use as FRAME700 034 source/crosswalk control after image and sign-list validation.","0"
