"cisi","priority","type","site","sides","horizontal_mm","vertical_mm","thickness_mm","functional_labels","exact_short_sides","short_side_texts","long_side_texts"
"H-1198","P1_mixed_short_long_core","TAB:I","Harappa","2","15","9.5","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+740-061-001-031-820+"
"H-1287","P1_mixed_short_long_core","TAB:I","Harappa","2","15.2","8.9","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-156-140-032+"
"H-1308","P1_mixed_short_long_core","TAB:I","Harappa","2","17.8","10.2","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+740-690-636-240+"
"H-1309","P1_mixed_short_long_core","TAB:I","Harappa","2","16.5","7.6","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+156-176-741-060-920+"
"H-1312","P1_mixed_short_long_core","TAB:I","Harappa","2","13","6","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+740-031-904-001-032+"
"H-1321","P1_mixed_short_long_core","TAB:B","Harappa","2","16.5","10.2","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+400-226-032+"
"H-1354","P1_mixed_short_long_core","TAB:I","Harappa","3","16.3","6.4","0","FRAME700_SUBTYPE034","+700-034+","3:+700-034+","1:+824-032-578-415+|2:+740-714-840-799+"
"H-1774","P1_mixed_short_long_core","TAB:B","Harappa","2","25","10.7","5.3","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+400-740-335-482-175+"
"H-1793","P1_mixed_short_long_core","TAB:B","Harappa","2","24","14","9","EXACT_700_745","+700-745+","2:+700-745+","1:+740-752-482-240+"
"H-1797","P1_mixed_short_long_core","TAB:B","Harappa","2","19.5","9.2","3.9","FRAME700_SUBTYPE032","+032-700+","1:+032-700+","2:+740-690-435-255-055+"
"H-1817","P1_mixed_short_long_core","TAB:B","Harappa","2","13.5","8","3.3","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+400-525-554+"
"H-1822","P1_mixed_short_long_core","TAB:B","Harappa","2","17.5","10.5","3.5","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+400-740-176-519+"
"H-1823","P1_mixed_short_long_core","TAB:B","Harappa","2","13.5","7.5","3.2","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+400-740-798-365-415-001+"
"H-1824","P1_mixed_short_long_core","TAB:B","Harappa","2","15.7","7.3","4.3","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+740-176-031-060-201+"
"H-1825","P1_mixed_short_long_core","TAB:B","Harappa","2","14","7.7","2.5","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+740-176-220+"
"H-1832","P1_mixed_short_long_core","TAB:B","Harappa","2","24","9","3.5","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+400-297-352-892-590-740-176+"
"H-1839","P1_mixed_short_long_core","TAB:B","Harappa","2","18.5","9.8","3.9","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+740-100-175-630-705+"
"H-1841","P1_mixed_short_long_core","TAB:B","Harappa","2","0","8","3.8","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+740-540-204-255+"
"H-1842","P1_mixed_short_long_core","TAB:B","Harappa","2","18.4","9.2","4.9","FRAME700_SUBTYPE033","+033-700+","1:+033-700+","2:+740-690-435-176-233-803+"
"H-1844","P1_mixed_short_long_core","TAB:B","Harappa","2","12.6","7.5","3","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+400-154-690+"
"H-1845","P1_mixed_short_long_core","TAB:B","Harappa","2","23.6","11.5","3","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+740-642-240-060-692+"
"H-1846","P1_mixed_short_long_core","TAB:B","Harappa","2","23.5","11","5","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+740-603-240-060-692+"
"H-1850","P1_mixed_short_long_core","TAB:B","Harappa","2","17","9","2.2 - 2.8","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+400-740-760-382+"
"H-1851","P1_mixed_short_long_core","TAB:B","Harappa","2","17.3","9","1","FRAME700_SUBTYPE033","+033-700+","1:+033-700+","2:+740-803-892-031-002-861+"
"H-1853","P1_mixed_short_long_core","TAB:B","Harappa","2","20.5","10.5","2.5","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+400-617-829+"
"H-1854","P1_mixed_short_long_core","TAB:B","Harappa","2","15.3","8.3","2.1 - 3.3","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+400-740-717+"
"H-1855","P1_mixed_short_long_core","TAB:B","Harappa","2","17.7","9.6","5.8","FRAME700_SUBTYPE032","+032-700+","1:+032-700+","2:+400-153-118+"
"H-1864","P1_mixed_short_long_core","TAB:B","Harappa","2","18.5","10.4","4.6","FRAME700_SUBTYPE032","+032-700+","1:+032-700+","2:+740-142-062-002-817+"
"H-1867","P1_mixed_short_long_core","TAB:B","Harappa","2","16","8","0","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+151-740-221+"
"H-1871","P1_mixed_short_long_core","TAB:B","Harappa","2","13","7.2","0","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+151-740-235+"
"H-1872","P1_mixed_short_long_core","TAB:B","Harappa","2","13.9","8","4.2","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+400-236-220+"
"H-1873","P1_mixed_short_long_core","TAB:B","Harappa","2","13.7","8.3","3.3","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+400-236-233+"
"H-1883","P1_mixed_short_long_core","TAB:B","Harappa","2","13.3","7","2","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+740-790-032+"
"H-1894","P1_mixed_short_long_core","TAB:B","Harappa","2","14.4","7","2.7","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+400-740-061-140+"
"H-1895","P1_mixed_short_long_core","TAB:B","Harappa","2","13.5","8.8","2","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+400-740-100-240+"
"H-1896","P1_mixed_short_long_core","TAB:B","Harappa","2","16","11","3.2","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+400-892-831+"
"H-1897","P1_mixed_short_long_core","TAB:B","Harappa","2","15.5","7","2.1","FRAME700_SUBTYPE033","+033-700+","1:+033-700+","2:+400-740-904-240+"
"H-1898","P1_mixed_short_long_core","TAB:B","Harappa","2","15","6.8","2.7","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+400-368-741+"
"H-1903","P1_mixed_short_long_core","TAB:B","Harappa","2","20.3","10.7","2.8","FRAME700_SUBTYPE033","+033-700+","1:+033-700+","2:+740-923-235+"
"H-1906","P1_mixed_short_long_core","TAB:B","Harappa","2","0","0","4.8","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+400-090-740-400-090+"
"H-1909","P1_mixed_short_long_core","TAB:B","Harappa","2","16.4","7.4","2.2","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+740-817-491+"
"H-1917","P1_mixed_short_long_core","TAB:B","Harappa","2","15","15","4.3","EXACT_700_004","+700-004+","1:+700-004+","2:+400-151-097+"
"H-1922","P1_mixed_short_long_core","TAB:B","Harappa","2","0","0","3","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+400-740-920-320-233-240-798+"
"H-1923","P1_mixed_short_long_core","TAB:B","Harappa","2","0","0","3.5","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+400-740-032-840+"
"H-1929","P1_mixed_short_long_core","TAB:B","Harappa","2","15","9","0","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+400-740-061-140+"
"H-1931","P1_mixed_short_long_core","TAB:B","Harappa","2","18.5","8.8","0","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+400-740-176-791+"
"H-1933","P1_mixed_short_long_core","TAB:B","Harappa","2","17.7","9","0","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+400-520-400-352+"
"H-1937","P1_mixed_short_long_core","TAB:B","Harappa","2","17.7","9.5","0","FRAME700_SUBTYPE034","+034-700+","1:+034-700+","2:+740-690-435-255+"
"H-1938","P1_mixed_short_long_core","TAB:B","Harappa","2","18","10.5","0","FRAME700_SUBTYPE033","+033-700+","1:+033-700+","2:+740-690-435-255+"
"H-1940","P1_mixed_short_long_core","TAB:B","Harappa","2","15","7.5","0","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+400-740-067-100+"
"H-1941","P1_mixed_short_long_core","TAB:B","Harappa","2","14","7.5","0","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+400-236-220+"
"H-1943","P1_mixed_short_long_core","TAB:B","Harappa","2","12.8","6.6","0","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+740-384-031+"
"H-1945","P1_mixed_short_long_core","TAB:B","Harappa","2","15.8","10","0","FRAME700_SUBTYPE032","+032-700+","1:+032-700+","2:+400-740-388-717-705+"
"H-1995","P1_mixed_short_long_core","TAB:B","Harappa","2","28.4","0","9","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+400-151-142+"
"H-2070","P1_mixed_short_long_core","TAB:I","Harappa","2","13.2","8","2.4","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+400-740-817-276+"
"H-2115","P1_mixed_short_long_core","TAB:I","Harappa","2","17","10","3.5","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+400-740-032-028+"
"H-2123","P1_mixed_short_long_core","TAB:I","Harappa","2","12.4","8.1","2.9","FRAME003_ROLE861","+861-003+","2:+861-003+","1:+740-255-061+"
"H-2125","P1_mixed_short_long_core","TAB:I","Harappa","2","18.3","9","2.5","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+740-143-067+"
"H-2137","P1_mixed_short_long_core","TAB:I","Harappa","2","13","8","2.5","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+740-100-176+"
"H-2139","P1_mixed_short_long_core","TAB:I","Harappa","2","15","8.6","3.6","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+740-176-033-705-235+"
"H-2143","P1_mixed_short_long_core","TAB:I","Harappa","2","13.5","6.5","0","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+090-740-792+"
"H-2173","P1_mixed_short_long_core","TAB:I","Harappa","2","12.8","7","3","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+400-740-817-491+"
"H-2183","P1_mixed_short_long_core","TAB:I","Harappa","2","18.8","10.4","2.2","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+400-740-575-017-798+"
"H-2184","P1_mixed_short_long_core","TAB:I","Harappa","2","19","10","3","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+400-740-032-015+"
"H-2185","P1_mixed_short_long_core","TAB:I","Harappa","2","14.4","8.1","3.2","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+400-158-690+"
"H-2189","P1_mixed_short_long_core","TAB:B","Harappa","2","14.2","9.4","2.7","EXACT_824_700","+824-700+","1:+824-700+","2:+400-740-152-240+"
"H-2190","P1_mixed_short_long_core","TAB:I","Harappa","2","13.7","9","3","FRAME003_ROLE861","+861-003+","2:+861-003+","1:+090-740-327+"
"H-2197","P1_mixed_short_long_core","TAB:I","Harappa","2","0","0","3.6","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+400-090-740-100-390-231+"
"H-2198","P1_mixed_short_long_core","TAB:I","Harappa","2","0","0","2","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+740-255-032+"
"H-2201","P1_mixed_short_long_core","TAB:I","Harappa","2","15.8","4.8","0","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+400-740-176-240+"
"H-2204","P1_mixed_short_long_core","TAB:I","Harappa","2","19","7.3","0","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+400-740-032-027+"
"H-2206","P1_mixed_short_long_core","TAB:I","Harappa","2","0","7","0","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+740-032-025+"
"H-2208","P1_mixed_short_long_core","TAB:I","Harappa","2","14.5","7.5","0","FRAME700_SUBTYPE034","+034-700+","1:+034-700+","2:+400-740-032-027+"
"H-2209","P1_mixed_short_long_core","TAB:I","Harappa","2","16","7","0","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+400-740-032-025+"
"H-2213","P1_mixed_short_long_core","TAB:I","Harappa","3","16.7","7.3","0","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+824-032-578-415+|3:+740-760-840-799+"
"H-2214","P1_mixed_short_long_core","TAB:I","Harappa","3","14.5","6.5","0","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+740-760-840-799+|3:+876-032-578-415+"
"H-2217","P1_mixed_short_long_core","TAB:I","Harappa","3","18.5","9.2","0","EXACT_257_360;FRAME700_SUBTYPE032","+257-360+;+700-032+","1:+700-032+|3:+257-360+","2:+400-854-032+"
"H-2246","P1_mixed_short_long_core","TAB:I","Harappa","3","14.5","5.5","3.1","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+824-032-578-415+|3:+740-760-840-799+"
"H-819","P2_tab_b_core_short_queue","TAB:B","Harappa","2","0","0","0","EXACT_520_240;FRAME700_SUBTYPE034","+520-240+;+700-034+","1:+520-240+|2:+700-034+",""
"H-1828","P2_tab_b_core_short_queue","TAB:B","Harappa","2","12.5","7","5","FRAME700_SUBTYPE034;PAIR156_176","+156-176+;+700-034+","1:+156-176+|2:+700-034+",""
"H-1829","P2_tab_b_core_short_queue","TAB:B","Harappa","2","12.6","7","4.5","FRAME700_SUBTYPE034;PAIR156_176","+156-176+;+700-034+","1:+156-176+|2:+700-034+",""
"H-1830","P2_tab_b_core_short_queue","TAB:B","Harappa","2","11.2","6.5","5","FRAME700_SUBTYPE034;PAIR156_176","+156-176+;+700-034+","1:+700-034+|2:+156-176+",""
"H-1831","P2_tab_b_core_short_queue","TAB:B","Harappa","2","12.5","6","3.5 - 4.8","FRAME700_SUBTYPE034;PAIR156_176","+156-176+;+700-034+","1:+700-034+|2:+156-176+",""
"H-1858","P2_tab_b_core_short_queue","TAB:B","Harappa","2","14.4","7.4","4","EXACT_400_137;FRAME700_SUBTYPE033","+033-700+;+400-137+","1:+033-700+|2:+400-137+",""
"H-1859","P2_tab_b_core_short_queue","TAB:B","Harappa","2","13.5","7.4","4.8","EXACT_400_137;FRAME700_SUBTYPE033","+033-700+;+400-137+","1:+033-700+|2:+400-137+",""
"H-1907","P2_tab_b_core_short_queue","TAB:B","Harappa","2","11","8","2.5","EXACT_520_240;FRAME700_SUBTYPE034","+520-240+;+700-034+","1:+520-240+|2:+700-034+",""
"H-215","P2_tab_b_core_short_queue","TAB:B","Harappa","2","18","9","0","EXACT_400_137;FRAME700_SUBTYPE034","+400-137+;+700-034+","1:+700-034+|2:+400-137+",""
"H-219","P2_tab_b_core_short_queue","TAB:B","Harappa","2","17","7.5","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+415-035-171+"
"H-230","P2_tab_b_core_short_queue","TAB:B","Harappa","2","25.4","11.4","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+520-072-219+"
"H-239","P2_tab_b_core_short_queue","TAB:B","Harappa","2","17.8","0","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+",""
"H-247","P2_tab_b_core_short_queue","TAB:B","Harappa","2","0","0","0","EXACT_116_032","+116-032+","2:+116-032+",""
"H-249","P2_tab_b_core_short_queue","TAB:B","Harappa","2","0","0","0","EXACT_520_233;FRAME700_SUBTYPE033","+033-700+;+520-233+","1:+033-700+|2:+520-233+",""
"H-702","P2_tab_b_core_short_queue","TAB:B","Harappa","2","16.5","8.9","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+137-002-820+"
"H-703","P2_tab_b_core_short_queue","TAB:B","Harappa","2","0","10.2","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+",""
"H-717","P2_tab_b_core_short_queue","TAB:B","Harappa","2","17.8","0","8.9","EXACT_705_904;FRAME700_SUBTYPE032","+700-032+;+705-904+","1:+705-904+|2:+700-032+",""
"H-745","P2_tab_b_core_short_queue","TAB:B","Harappa","2","0","0","0","EXACT_700_745","+700-745+","2:+700-745+",""
"H-766","P2_tab_b_core_short_queue","TAB:B","Harappa","2","16.5","11.4","0","EXACT_065_826;FRAME700_SUBTYPE032","+065-826+;+700-032+","1:+065-826+|2:+700-032+",""
"H-768","P2_tab_b_core_short_queue","TAB:B","Harappa","2","21.6","10.2","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+",""
"H-770","P2_tab_b_core_short_queue","TAB:B","Harappa","2","19.1","10.2","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+151-840-416+"
"H-771","P2_tab_b_core_short_queue","TAB:B","Harappa","2","16.5","8.9","0","FRAME700_SUBTYPE034","+700-034+","2:+700-034+","1:+032-257-840+"
"H-777","P2_tab_b_core_short_queue","TAB:B","Harappa","2","18.5","10","0","FRAME700_SUBTYPE032","+032-700+","1:+032-700+","2:+390-004-104+"
"H-778","P2_tab_b_core_short_queue","TAB:B","Harappa","2","16.5","9.5","0","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+390-004-817+"
"H-779","P2_tab_b_core_short_queue","TAB:B","Harappa","2","17.5","9","0","FRAME700_SUBTYPE032","+032-700+","1:+032-700+",""
"H-783","P2_tab_b_core_short_queue","TAB:B","Harappa","2","20.3","8.9","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+",""
"H-785","P2_tab_b_core_short_queue","TAB:B","Harappa","2","15.2","7.1","0","FRAME700_SUBTYPE034","+700-034+","1:+700-034+",""
"H-788","P2_tab_b_core_short_queue","TAB:B","Harappa","2","12.7","7.6","0","FRAME700_SUBTYPE034","+700-034+","2:+700-034+",""
"H-795","P2_tab_b_core_short_queue","TAB:B","Harappa","2","16","0","0","FRAME700_SUBTYPE033","+033-700+","1:+033-700+",""
"H-796","P2_tab_b_core_short_queue","TAB:B","Harappa","2","14","13","0","EXACT_370_455;FRAME700_SUBTYPE032","+370-455+;+700-032+","1:+370-455+|2:+700-032+",""
"H-798","P2_tab_b_core_short_queue","TAB:B","Harappa","2","15.2","7.6","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+",""
"H-799","P2_tab_b_core_short_queue","TAB:B","Harappa","2","16.5","8.9","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+032-820-100-415+"
"H-801","P2_tab_b_core_short_queue","TAB:B","Harappa","2","17","9","0","EXACT_700_036","+700-036+","1:+700-036+","2:+415-035-171+"
"H-802","P2_tab_b_core_short_queue","TAB:B","Harappa","2","14","6.9","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+",""
"H-812","P2_tab_b_core_short_queue","TAB:B","Harappa","2","16.5","7.6","0","EXACT_368_035;FRAME700_SUBTYPE033","+033-700+;+368-035+","1:+368-035+|2:+033-700+",""
"H-813","P2_tab_b_core_short_queue","TAB:B","Harappa","2","15.2","8.9","0","FRAME700_SUBTYPE032","+032-700+","2:+032-700+",""
"H-815","P2_tab_b_core_short_queue","TAB:B","Harappa","2","25.4","11.4","0","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+520-072-219+"
"H-827","P2_tab_b_core_short_queue","TAB:B","Harappa","2","18","0","0","FRAME700_SUBTYPE033","+700-033+","1:+700-033+",""
"H-833","P2_tab_b_core_short_queue","TAB:B","Harappa","2","0","0","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+526-554-002-820+"
"H-837","P2_tab_b_core_short_queue","TAB:B","Harappa","2","0","0","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+",""
"H-839","P2_tab_b_core_short_queue","TAB:B","Harappa","2","0","0","0","EXACT_400_140;FRAME700_SUBTYPE032","+032-700+;+400-140+","1:+032-700+|2:+400-140+",""
"H-848","P2_tab_b_core_short_queue","TAB:B","Harappa","2","17.8","10.2","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+",""
"H-876","P2_tab_b_core_short_queue","TAB:B","Harappa","2","22","0","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+200-705-380+"
"H-877","P2_tab_b_core_short_queue","TAB:B","Harappa","3","17.8","8.9","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+",""
"H-969","P2_tab_b_core_short_queue","TAB:B","Harappa","2","16.5","7","0","FRAME700_SUBTYPE032","+700-032+","1:+700-032+",""
"H-1112","P2_tab_b_core_short_queue","TAB:B","Harappa","2","11.4","0","0","FRAME700_SUBTYPE033","+033-700+","1:+033-700+",""
"H-1120","P2_tab_b_core_short_queue","TAB:B","Harappa","2","16","8","0","FRAME700_SUBTYPE034","+700-034+","2:+700-034+",""
"H-1123","P2_tab_b_core_short_queue","TAB:B","Harappa","2","19.1","8.4","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+525-550-220+"
"H-1134","P2_tab_b_core_short_queue","TAB:B","Harappa","2","16","7","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+",""
"H-1146","P2_tab_b_core_short_queue","TAB:B","Harappa","2","0","0","0","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+526-554-002-820+"
"H-1153","P2_tab_b_core_short_queue","TAB:B","Harappa","2","17.8","6.4","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+",""
"H-1156","P2_tab_b_core_short_queue","TAB:B","Harappa","2","12.2","6.9","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+",""
"H-1768","P2_tab_b_core_short_queue","TAB:B","Harappa","2","11.2","11.2","2","FRAME700_SUBTYPE033","+700-033+","2:+700-033+",""
"H-1804","P2_tab_b_core_short_queue","TAB:B","Harappa","2","15","9","3.3","FRAME700_SUBTYPE032","+700-032+","1:+700-032+",""
"H-1836","P2_tab_b_core_short_queue","TAB:B","Harappa","2","14","8","2.3","FRAME700_SUBTYPE032","+700-032+","1:+700-032+",""
"H-1860","P2_tab_b_core_short_queue","TAB:B","Harappa","2","13.5","8","4","EXACT_400_097;FRAME700_SUBTYPE034","+400-097+;+700-034+","1:+700-034+|2:+400-097+",""
"H-1861","P2_tab_b_core_short_queue","TAB:B","Harappa","2","13.2","7.2","3.8","EXACT_368_091;FRAME700_SUBTYPE033","+368-091+;+700-033+","1:+700-033+|2:+368-091+",""
"H-1865","P2_tab_b_core_short_queue","TAB:B","Harappa","2","13","8","2","FRAME700_SUBTYPE032","+700-032+","1:+700-032+",""
"H-1870","P2_tab_b_core_short_queue","TAB:B","Harappa","2","16","9","3.7","EXACT_158_221;FRAME700_SUBTYPE034","+158-221+;+700-034+","1:+700-034+|2:+158-221+",""
"H-1874","P2_tab_b_core_short_queue","TAB:B","Harappa","2","14.8","9","3.4","FRAME700_SUBTYPE034","+700-034+","1:+700-034+",""
"H-1880","P2_tab_b_core_short_queue","TAB:B","Harappa","2","13.3","8","2.7","FRAME700_SUBTYPE034","+034-700+","1:+034-700+","2:+520-033-033+"
"H-1881","P2_tab_b_core_short_queue","TAB:B","Harappa","2","16","8.3","3","EXACT_700_036","+700-036+","1:+700-036+","2:+415-700-033-171+"
"H-1882","P2_tab_b_core_short_queue","TAB:B","Harappa","2","12","7","3.2","EXACT_002_820;FRAME003_ROLE861","+002-820+;+861-003+","1:+002-820+|2:+861-003+",""
"H-1902","P2_tab_b_core_short_queue","TAB:B","Harappa","2","14.1","8","2.5","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+158-003-494+"
"H-1905","P2_tab_b_core_short_queue","TAB:B","Harappa","2","14.5","9.3","1.8 - 3.5","EXACT_740_843;FRAME700_SUBTYPE033","+700-033+;+740-843+","1:+740-843+|2:+700-033+",""
"H-1908","P2_tab_b_core_short_queue","TAB:B","Harappa","2","14","6","0","EXACT_520_240;FRAME700_SUBTYPE033","+520-240+;+700-033+","1:+700-033+|2:+520-240+",""
"H-1912","P2_tab_b_core_short_queue","TAB:B","Harappa","2","13.6","11.7","3","EXACT_520_240;FRAME700_SUBTYPE033","+033-700+;+520-240+","1:+033-700+|2:+520-240+",""
"H-1915","P2_tab_b_core_short_queue","TAB:B","Harappa","2","18.3","7.3","4.4","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+032-920-491+"
"H-1916","P2_tab_b_core_short_queue","TAB:B","Harappa","2","16","16","0","EXACT_700_004","+700-004+","1:+700-004+","2:+520-070-255-832+"
"H-1919","P2_tab_b_core_short_queue","TAB:B","Harappa","2","7","7","0","EXACT_700_031;EXACT_740_892","+700-031+;+740-892+","1:+700-031+|2:+740-892+",""
"H-1924","P2_tab_b_core_short_queue","TAB:B","Harappa","2","0","0","2.7","FRAME700_SUBTYPE033","+033-700+","1:+033-700+","2:+550-003-435+"
"H-1932","P2_tab_b_core_short_queue","TAB:B","Harappa","2","17.5","9","0","FRAME700_SUBTYPE032","+032-700+","1:+032-700+",""
"H-1936","P2_tab_b_core_short_queue","TAB:B","Harappa","2","15.4","7","0","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+511-032-142+"
"H-1942","P2_tab_b_core_short_queue","TAB:B","Harappa","2","16.3","8.1","0","FRAME700_SUBTYPE032","+032-700+","1:+032-700+","2:+405-035-002-861+"
"H-1946","P2_tab_b_core_short_queue","TAB:B","Harappa","3","16.5","7.5","0","EXACT_700_014;EXACT_700_125","+700-014+;+700-125+","1:+700-014+|3:+700-125+",""
"H-1947","P2_tab_b_core_short_queue","TAB:B","Harappa","3","19","8","0","FRAME700_SUBTYPE033","+700-033+","1:+700-033+",""
"H-1981","P2_tab_b_core_short_queue","TAB:B","Harappa","2","26.5","10","8","FRAME700_SUBTYPE034","+700-034+","1:+700-034+",""
"H-1982","P2_tab_b_core_short_queue","TAB:B","Harappa","2","28.1","0","8","FRAME700_SUBTYPE034","+700-034+","1:+700-034+",""
"H-1987","P2_tab_b_core_short_queue","TAB:B","Harappa","2","23.2","9.2","7","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+390-004-455-371-741-590+"
"H-1993","P2_tab_b_core_short_queue","TAB:B","Harappa","2","29.2","10.7","6.2","FRAME700_SUBTYPE033","+700-033+","1:+700-033+",""
"H-2142","P2_tab_b_core_short_queue","TAB:B","Harappa","2","13.8","8","2.3","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+526-550-233+"
"H-927","P2_tab_i_core_short_queue","TAB:I","Harappa","2","14.5","7.6","0","EXACT_368_900;FRAME700_SUBTYPE033","+368-900+;+700-033+","1:+700-033+|2:+368-900+",""
"H-928","P2_tab_i_core_short_queue","TAB:I","Harappa","2","12.7","6.4","0","EXACT_368_900;FRAME700_SUBTYPE033","+368-900+;+700-033+","1:+700-033+|2:+368-900+",""
"H-929","P2_tab_i_core_short_queue","TAB:I","Harappa","2","11.4","7.6","0","EXACT_368_900;FRAME700_SUBTYPE033","+368-900+;+700-033+","1:+700-033+|2:+368-900+",""
"H-2131","P2_tab_i_core_short_queue","TAB:I","Harappa","2","14","8.2","2.6","EXACT_368_900;FRAME700_SUBTYPE033","+368-900+;+700-033+","1:+700-033+|2:+368-900+",""
"H-2094","P2_tab_i_core_short_queue","TAB:I","Harappa","2","12.6","7","2.5","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+002-861-416+"
"H-2095","P2_tab_i_core_short_queue","TAB:I","Harappa","2","17","7.5","0","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+002-861-416+"
"H-2096","P2_tab_i_core_short_queue","TAB:I","Harappa","2","13.5","8","0","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+002-861-416+"
