"cisi","lipi_id","lipi_site","lipi_type","lipi_dir","lipi_text_length","lipi_signs","lipi_text","mayig_side_id","mayig_path","mayig_description","mayig_grapheme_count","mayig_graphemes","count_match","comparison_status"
"M-15","2543.1","Mohenjo-daro","SEAL:S","R/L","5","5","+090-740-176-002-861+","M-15A","corpus/m001_m099/m015.json","unicorn II seal","5","P013 P324 P194 P122 P385","True","sign_system_unmapped"
"M-16","2544.1","Mohenjo-daro","SEAL:S","R/L","4","4","+820-130-035-171+","M-16A","corpus/m001_m099/m016.json","unicorn II seal","4","P378 P026 P151 P346","True","sign_system_unmapped"
"M-17","2545.1","Mohenjo-daro","SEAL:S","R/L","5","5","+390-016-002-814-560+","M-17A","corpus/m001_m099/m017.json","unicorn II seal","5","P086 P126 P122 P369 P232","True","sign_system_unmapped"
"M-18","2546.1","Mohenjo-daro","SEAL:S","R/L","3","3","+932-740-055+","M-18A","corpus/m001_m099/m018.json","unicorn II seal","3","P341 P324 P142","True","sign_system_unmapped"
"M-19","2547.1","Mohenjo-daro","SEAL:S","R/L","4+?","2","]000-000-002-861+","M-19A","corpus/m001_m099/m019.json","unicorn II seal","3","P000 P122 P385","False","sign_system_unmapped"
"M-20","2548.1","Mohenjo-daro","SEAL:S","R/L","7","7","+390-005-002-861-036-460-513+","M-20A","corpus/m001_m099/m020.json","unicorn II seal","8","P086 P125 P122 P385 P147 P147 P215 P275","False","sign_system_unmapped"
"M-21","2549.1","Mohenjo-daro","SEAL:S","R/L","8","8","+350-001-740-362-692-032-002-861+","M-21A","corpus/m001_m099/m021.json","unicorn II seal","8","P091 P121 P324 P272 P256 P145 P122 P385","True","sign_system_unmapped"
"M-22","2550.1","Mohenjo-daro","SEAL:S","R/L","7+?","6","+740-904-176-220-032-798-000[","M-22A","corpus/m001_m099/m022.json","unicorn II seal","7","P324 P172 P194 P050 P145 P230 P000","False","sign_system_unmapped"
"M-23","2551.1","Mohenjo-daro","SEAL:S","R/L","13","13","+842-871-192-368/740-482-060-692-520-220-235-001-920+","M-23A","corpus/m001_m099/m023.json","unicorn II seal","13","P324 P197 P120 P256 P217 P050 P060 P121 P160 P350 P390 P076 P202","True","sign_system_unmapped"
"M-24","2552.1","Mohenjo-daro","SEAL:S","R/L","7","7","+090-740-240-235-002-906-140+","M-24A","corpus/m001_m099/m024.json","unicorn II seal","7","P013 P324 P062 P060 P122 P174 P011","True","sign_system_unmapped"
"M-25","2553.1","Mohenjo-daro","SEAL:S","R/L","4","4","+617-243-706-595+","M-25A","corpus/m001_m099/m025.json","unicorn II seal","5","P268 P268 P050 P316 P276","False","sign_system_unmapped"
"M-26","2554.1","Mohenjo-daro","SEAL:S","R/L","5","5","+090-740-531-060-692+","M-26A","corpus/m001_m099/m026.json","unicorn II seal","5","P013 P324 P228 P120 P256","True","sign_system_unmapped"
"M-27","2555.1","Mohenjo-daro","SEAL:S","R/L","7","6","+565-235-803-741-702-900-000+","M-27A","corpus/m001_m099/m027.json","unicorn II seal","7","P238 P060 P364 P325 P311 P154 P123","False","sign_system_unmapped"
"M-28","2556.1","Mohenjo-daro","SEAL:S","R/L","8","8","+892-374-740-760-840-416-002-861+","M-28A","corpus/m001_m099/m028.json","unicorn II seal","8","P000 P103 P324 P332 P349 P095 P122 P385","True","sign_system_unmapped"
"M-29","2557.1","Mohenjo-daro","SEAL:S","R/L","9","9","+740-055-240-235-806-002-220-455-503+","M-29A","corpus/m001_m099/m029.json","unicorn II seal","9","P324 P142 P062 P060 P364 P122 P050 P221 P210","True","sign_system_unmapped"
"M-30","2558.1","Mohenjo-daro","SEAL:S","R/L","7","7","+740-752-017-503-240-235-806+","M-30A","corpus/m001_m099/m030.json","unicorn II seal","7","P324 P332 P127 P210 P062 P060 P364","True","sign_system_unmapped"
"M-31","2559.1","Mohenjo-daro","SEAL:S","R/L","6","6","+740-269-511-233-060-820+","M-31A","corpus/m001_m099/m031.json","unicorn III seal","6","P324 P067 P275 P058 P120 P378","True","sign_system_unmapped"
"M-32","2560.1","Mohenjo-daro","SEAL:S","R/L","4","4","+390-003-002-817+","M-32A","corpus/m001_m099/m032.json","unicorn III seal","4","P086 P123 P122 P385","True","sign_system_unmapped"
"M-33","2561.1","Mohenjo-daro","SEAL:S","R/L","7","7","+740-032-923-382-233-002-112+","M-33A","corpus/m001_m099/m033.json","unicorn III seal","7","P324 P145 P175 P111 P058 P122 P041","True","sign_system_unmapped"
"M-34","2562.1","Mohenjo-daro","SEAL:S","R/L","7","7","+740-336-176-002-405-372-374+","M-34A","corpus/m001_m099/m034.json","unicorn III seal","7","P324 P309 P194 P122 P086 P108 P103","True","sign_system_unmapped"
"M-35","2563.1","Mohenjo-daro","SEAL:S","R/L","7","7","+740-390-590-233-231-002-107+","M-35A","corpus/m001_m099/m035.json","unicorn III seal","7","P324 P086 P276 P058 P056 P122 P007","True","sign_system_unmapped"
"M-36","2564.1","Mohenjo-daro","SEAL:S","R/L","9","9","+740-794-630-220-032-002-368-906-329+","M-36A","corpus/m001_m099/m036.json","unicorn III seal","9","P324 P358 P270 P050 P145 P122 P202 P174 P307","True","sign_system_unmapped"
"M-37","2565.1","Mohenjo-daro","SEAL:S","R/L","3","3","+520-220-415+","M-37A","corpus/m001_m099/m037.json","unicorn III seal","3","P217 P050 P092","True","sign_system_unmapped"
"M-38","2566.1","Mohenjo-daro","SEAL:S","R/L","13","13","+740-690-435-255-220-032-240-235-002-390-125-632-032+","M-38A","corpus/m001_m099/m038.json","unicorn III seal","13","P324 P256 P188 P073 P050 P145 P062 P060 P122 P086 P035 P270 P145","True","sign_system_unmapped"
"M-39","2567.1","Mohenjo-daro","SEAL:S","R/L","6+?","6","]705-240-235-013-204-346+","M-39A","corpus/m001_m099/m039.json","unicorn III seal","7","P000 P316 P062 P060 P139 P083 P303","False","sign_system_unmapped"
"M-40","2568.1","Mohenjo-daro","SEAL:S","R/L","5","5","+391-002-527-475-005+","M-40A","corpus/m001_m099/m040.json","unicorn III seal","5","P089 P122 P301 P186 P125","True","sign_system_unmapped"
"M-41","2569.1","Mohenjo-daro","SEAL:S","R/L","9","9","+740-636-240-233-235-002-405-125-820+","M-41A","corpus/m001_m099/m041.json","unicorn III seal","8","P324 P270 P062 P060 P122 P086 P035 P378","False","sign_system_unmapped"
"M-42","2570.1","Mohenjo-daro","SEAL:S","R/L","5","5","+527-550-240-002-817+","M-42A","corpus/m001_m099/m042.json","unicorn III seal","5","P301 P230 P062 P122 P385","True","sign_system_unmapped"
"M-43","2571.1","Mohenjo-daro","SEAL:S","R/L","6","6","+740-798-231-002-055-373+","M-43A","corpus/m001_m099/m043.json","unicorn III seal","6","P324 P230 P056 P122 P142 P360","True","sign_system_unmapped"
"M-44","2572.1","Mohenjo-daro","SEAL:S","R/L","8","8","+740-760-033-705-803-002-920-317+","M-44A","corpus/m001_m099/m044.json","unicorn III seal","8","P324 P332 P147 P316 P364 P122 P154 P296","True","sign_system_unmapped"
"M-45","2573.1","Mohenjo-daro","SEAL:S","R/L","6","6","+617-831-013-302-840-032+","M-45A","corpus/m001_m099/m045.json","unicorn III seal","7","P268 P268 P372 P139 P205 P349 P145","False","sign_system_unmapped"
"M-46","2574.1","Mohenjo-daro","SEAL:S","R/L","8","8","+740-798-240-235-002-220-065-215+","M-46A","corpus/m001_m099/m046.json","unicorn III seal","8","P324 P230 P062 P060 P122 P050 P201 P353","True","sign_system_unmapped"
"M-47","2575.1","Mohenjo-daro","SEAL:S","R/L","5","5","+740-760-235-002-861+","M-47A","corpus/m001_m099/m047.json","unicorn III seal","5","P324 P332 P060 P122 P385","True","sign_system_unmapped"
"M-48","2576.1","Mohenjo-daro","SEAL:S","R/L","6","6","+390-820-463-060-368-920+","M-48A","corpus/m001_m099/m048.json","unicorn III seal","6","P086 P378 P215 P120 P202 P154","True","sign_system_unmapped"
"M-49","2577.1","Mohenjo-daro","SEAL:S","R/L","10","10","+527-550-240-220-032-002-300-350-032-190+","M-49A","corpus/m001_m099/m049.json","unicorn III seal","10","P000 P230 P062 P050 P145 P122 P205 P091 P145 P076","True","sign_system_unmapped"
"M-50","2578.1","Mohenjo-daro","SEAL:S","R/L","9","9","+740-585-017-033-705-240-798-002-820+","M-50A","corpus/m001_m099/m050.json","unicorn III seal","9","P324 P288 P127 P147 P316 P062 P230 P122 P000","True","sign_system_unmapped"
"M-51","2579.1","Mohenjo-daro","SEAL:S","R/L","8","8","+740-798-460-350-235-741-390-140+","M-51A","corpus/m001_m099/m051.json","unicorn III seal","8","P324 P230 P215 P091 P060 P324 P086 P011","True","sign_system_unmapped"
"M-52","2580.1","Mohenjo-daro","SEAL:S","R/L","10","10","+740-904-032-220-415-235-803-002-504-717+","M-52A","corpus/m001_m099/m052.json","unicorn III seal","10","P324 P172 P145 P050 P092 P060 P364 P122 P211 P320","True","sign_system_unmapped"
"M-53","2581.1","Mohenjo-daro","SEAL:S","R/L","9","9","+090-740-220-016-002-297-190-920-140+","M-53A","corpus/m001_m099/m053.json","unicorn III seal","9","P013 P324 P050 P126 P122 P205 P076 P154 P011","True","sign_system_unmapped"
"M-54","2582.1","Mohenjo-daro","SEAL:S","R/L","7","7","+236-240-033-705-798-002-820+","M-54A","corpus/m001_m099/m054.json","unicorn III seal","7","P051 P062 P147 P316 P230 P122 P378","True","sign_system_unmapped"
"M-55","2583.1","Mohenjo-daro","SEAL:S","R/L","6","5","+000-760-463-510-001-692+","M-55A","corpus/m001_m099/m055.json","unicorn III seal","6","P000 P332 P215 P275 P121 P256","False","sign_system_unmapped"
"M-56","2584.1","Mohenjo-daro","SEAL:S","R/L","8","8","+740-877-032-235-060-550-611-840+","M-56A","corpus/m001_m099/m056.json","unicorn III seal","8","P324 P382 P145 P060 P120 P230 P281 P349","True","sign_system_unmapped"
"M-57","2585.1","Mohenjo-daro","SEAL:S","R/L","6","6","+226-032-231-798-002-693+","M-57A","corpus/m001_m099/m057.json","unicorn III seal","6","P051 P145 P056 P230 P122 P258","True","sign_system_unmapped"
"M-58","2586.1","Mohenjo-daro","SEAL:S","R/L","5","5","+740-460-503-002-817+","M-58A","corpus/m001_m099/m058.json","unicorn III seal","5","P324 P215 P210 P122 P385","True","sign_system_unmapped"
"M-59","2587.1","Mohenjo-daro","SEAL:S","R/L","5","5","+368-003-742-060-920+","M-59A","corpus/m001_m099/m059.json","unicorn III seal","5","P202 P123 P326 P120 P160","True","sign_system_unmapped"
"M-60","2588.1","Mohenjo-daro","SEAL:S","R/L","2","1","+151-000+","M-60A","corpus/m001_m099/m060.json","unicorn III seal","2","P001 P000","False","sign_system_unmapped"
"M-61","2589.1","Mohenjo-daro","SEAL:S","R/L","7","6","+740-000-231-220-455-615-689+","M-61A","corpus/m001_m099/m061.json","unicorn III seal","7","P324 P251 P056 P050 P221 P268 P246","False","sign_system_unmapped"
"M-62","2590.1","Mohenjo-daro","SEAL:S","R/L","6","5","+226-032-741-550-000-551+","M-62A","corpus/m001_m099/m062.json","unicorn III seal","6","P051 P122 P325 P230 P310 P234","False","sign_system_unmapped"
"M-63","2591.1","Mohenjo-daro","SEAL:S","R/L","4","4","+526-555-060-550+","M-63A","corpus/m001_m099/m063.json","unicorn III seal","4","P301 P230 P120 P230","True","sign_system_unmapped"
"M-64","2592.1","Mohenjo-daro","SEAL:S","R/L","6","6","+520-033-706-060-220-004+","M-64A","corpus/m001_m099/m064.json","unicorn III seal","6","P217 P147 P316 P120 P050 P124","True","sign_system_unmapped"
"M-65","2593.1","Mohenjo-daro","SEAL:S","R/L","6","6","+520-220-031-001-706-575+","M-65A","corpus/m001_m099/m065.json","unicorn III seal","6","P217 P050 P144 P121 P316 P289","True","sign_system_unmapped"
"M-66","2594.1","Mohenjo-daro","SEAL:S","BUS","8","8","+740-390-590-235-002-374-309-350+","M-66A","corpus/m001_m099/m066.json","unicorn III seal","8","P086 P276 P060 P122 P103 P206 P091 P324","True","sign_system_unmapped"
"M-67","2595.1","Mohenjo-daro","SEAL:S","R/L","7","7","+457/740-165-900-060-111-575+","M-67A","corpus/m001_m099/m067.json","unicorn III seal","7","P324 P342 P154 P120 P040 P289 P223","True","sign_system_unmapped"
"M-68","2596.1","Mohenjo-daro","SEAL:S","R/L","8","8","+690-518/090-740-176-742-060-920+","M-68A","corpus/m001_m099/m068.json","unicorn III seal","8","P013 P324 P194 P326 P120 P160 P260 P047","True","sign_system_unmapped"
"M-69","2597.1","Mohenjo-daro","SEAL:S","R/L","5","5","+740-803-231-060-692+","M-69A","corpus/m001_m099/m069.json","unicorn III seal","5","P324 P364 P056 P120 P256","True","sign_system_unmapped"
"M-70","2598.1","Mohenjo-daro","SEAL:S","R/L","5","5","+226-032-002-390-692+","M-70A","corpus/m001_m099/m070.json","unicorn III seal","5","P051 P145 P122 P086 P256","True","sign_system_unmapped"
"M-71","2599.1","Mohenjo-daro","SEAL:S","R/L","6","6","+151-279-142-002-390-095+","M-71A","corpus/m001_m099/m071.json","unicorn III seal","6","P001 P108 P031 P122 P086 P023","True","sign_system_unmapped"
"M-72","2600.1","Mohenjo-daro","SEAL:S","R/L","7","7","+740-255-705-140-003-002-861+","M-72A","corpus/m001_m099/m072.json","unicorn III seal","6","P324 P073 P316 P011 P125 P385","False","sign_system_unmapped"
"M-73","2601.1","Mohenjo-daro","SEAL:S","R/L","3","3","+400-520-897+","M-73A","corpus/m001_m099/m073.json","unicorn III seal","4","P098 P217 P181 P000","False","sign_system_unmapped"
"M-74","2602.1","Mohenjo-daro","SEAL:S","R/L","4","4","+595-575-704-140+","M-74A","corpus/m001_m099/m074.json","unicorn III seal","4","P280 P289 P316 P011","True","sign_system_unmapped"
"M-75","2603.1","Mohenjo-daro","SEAL:S","R/L","5","5","+520-220-004-002-817+","M-75A","corpus/m001_m099/m075.json","unicorn III seal","5","P217 P050 P124 P122 P385","True","sign_system_unmapped"
"M-77","2604.1","Mohenjo-daro","SEAL:S","R/L","5","5","+832-390-803-002-861+","M-77A","corpus/m001_m099/m077.json","unicorn IV seal","5","P366 P086 P364 P122 P385","True","sign_system_unmapped"
"M-78","2605.1","Mohenjo-daro","SEAL:S","R/L","4","4","+740-344-032-545+","M-78A","corpus/m001_m099/m078.json","unicorn IV seal","4","P324 P043 P145 P226","True","sign_system_unmapped"
"M-79","2606.1","Mohenjo-daro","SEAL:S","R/L","7","7","+688/740-100-240-233-002-861+","M-79A","corpus/m001_m099/m079.json","unicorn IV seal","7","P324 P012 P062 P058 P122 P385 P247","True","sign_system_unmapped"
"M-80","2607.1","Mohenjo-daro","SEAL:S","R/L","5","5","+156-003-060-368-817+","M-80A","corpus/m001_m099/m080.json","unicorn IV seal","5","P004 P123 P120 P202 P385","True","sign_system_unmapped"
"M-81","2608.1","Mohenjo-daro","SEAL:S","R/L","6","6","+527-555-240-002-617-070+","M-81A","corpus/m001_m099/m081.json","unicorn IV seal","7","P301 P230 P062 P122 P268 P268 P217","False","sign_system_unmapped"
"M-82","2609.1","Mohenjo-daro","SEAL:S","R/L","6","6","+740-222-002-207-550-390+","M-82A","corpus/m001_m099/m082.json","unicorn IV seal","6","P324 P053 P122 P082 P230 P086","True","sign_system_unmapped"
"M-83","2610.1","Mohenjo-daro","SEAL:S","R/L","3","3","+390-018-796+","M-83A","corpus/m001_m099/m083.json","unicorn IV seal","3","P086 P128 P180","True","sign_system_unmapped"
"M-84","2611.1","Mohenjo-daro","SEAL:S","R/L","6","6","+740-765-240-001-368-920+","M-84A","corpus/m001_m099/m084.json","unicorn IV seal","6","P324 P335 P062 P121 P202 P154","True","sign_system_unmapped"
"M-85","2612.1","Mohenjo-daro","SEAL:S","R/L","5","5","+520-233-741-081-272+","M-85A","corpus/m001_m099/m085.json","unicorn IV seal","5","P217 P058 P325 P251 P070","True","sign_system_unmapped"
"M-86","2613.1","Mohenjo-daro","SEAL:S","R/L","7","7","+520-033-705-231-002-820-700+","M-86A","corpus/m001_m099/m086.json","unicorn IV seal","7","P217 P147 P316 P056 P122 P378 P310","True","sign_system_unmapped"
"M-87","2614.1","Mohenjo-daro","SEAL:S","R/L","3","3","+400-890-104+","M-87A","corpus/m001_m099/m087.json","unicorn IV seal","3","P098 P178 P020","True","sign_system_unmapped"
"M-88","2615.1","Mohenjo-daro","SEAL:S","R/L","3","3","+527-388-233+","M-88A","corpus/m001_m099/m088.json","unicorn IV seal","3","P301 P110 P058","True","sign_system_unmapped"
"M-89","2616.1","Mohenjo-daro","SEAL:S","R/L","5","5","+740-794-734-032-235+","M-89A","corpus/m001_m099/m089.json","unicorn IV seal","5","P324 P358 P313 P145 P060","True","sign_system_unmapped"
"M-90","2617.1","Mohenjo-daro","SEAL:S","R/L","6","6","+740-840-013-031-002-817+","M-90A","corpus/m001_m099/m090.json","unicorn IV seal","6","P324 P349 P139 P144 P122 P385","True","sign_system_unmapped"
"M-91","2618.1","Mohenjo-daro","SEAL:S","R/L","9","9","+740-100-798-220-032-002-861-255-416+","M-91A","corpus/m001_m099/m091.json","unicorn IV seal","9","P324 P009 P230 P050 P145 P122 P385 P073 P095","True","sign_system_unmapped"
"M-92","2619.1","Mohenjo-daro","SEAL:S","R/L","7","7","+740-798-460-350-002-814-084+","M-92A","corpus/m001_m099/m092.json","unicorn IV seal","7","P324 P075 P215 P091 P122 P369 P253","True","sign_system_unmapped"
"M-93","2620.1","Mohenjo-daro","SEAL:S","R/L","5","5","+156-003-240-741-345+","M-93A","corpus/m001_m099/m093.json","unicorn IV seal","5","P004 P123 P062 P325 P043","True","sign_system_unmapped"
"M-94","2621.1","Mohenjo-daro","SEAL:S","R/L","5","5","+740-390-590-220-003+","M-94A","corpus/m001_m099/m094.json","unicorn IV seal","5","P324 P086 P276 P050 P123","True","sign_system_unmapped"
"M-95","2622.1","Mohenjo-daro","SEAL:S","R/L","5","5","+390-003-002-111-165+","M-95A","corpus/m001_m099/m095.json","unicorn IV seal","5","P086 P123 P122 P040 P342","True","sign_system_unmapped"
"M-96","2623.1","Mohenjo-daro","SEAL:S","R/L","2","2","+156-004+","M-96A","corpus/m001_m099/m096.json","unicorn IV seal","2","P004 P124","True","sign_system_unmapped"
"M-97","2624.1","Mohenjo-daro","SEAL:S","R/L","3","3","+156-435-255+","M-97A","corpus/m001_m099/m097.json","unicorn IV seal","3","P004 P188 P073","True","sign_system_unmapped"
"M-98","2625.1","Mohenjo-daro","SEAL:S","R/L","4","4","+740-585-017-900+","M-98A","corpus/m001_m099/m098.json","unicorn IV seal","3","P324 P288 P127","False","sign_system_unmapped"
"M-99","2626.1","Mohenjo-daro","SEAL:S","R/L","5","5","+740-215-002-368-119+","M-99A","corpus/m001_m099/m099.json","unicorn IV seal","5","P324 P353 P122 P202 P038","True","sign_system_unmapped"
"M-100","2627.1","Mohenjo-daro","SEAL:S","R/L","6","6","+090-740-255-705-002-861+","M-100A","corpus/m100_m199/m100.json","unicorn IV seal","6","P013 P324 P073 P316 P122 P385","True","sign_system_unmapped"
"M-101","2628.1","Mohenjo-daro","SEAL:S","R/L","6","6","+390-503-740-168-002-817+","M-101A","corpus/m100_m199/m101.json","unicorn IV seal","6","P086 P210 P324 P003 P122 P385","True","sign_system_unmapped"
"M-102","2629.1","Mohenjo-daro","SEAL:S","R/L","4","4","+154-003-900-545+","M-102A","corpus/m100_m199/m102.json","unicorn IV seal","4","P004 P123 P154 P226","True","sign_system_unmapped"
"M-103","2630.1","Mohenjo-daro","SEAL:S","R/L","4","4","+390-004-002-820+","M-103A","corpus/m100_m199/m103.json","unicorn IV seal","4","P086 P124 P122 P378","True","sign_system_unmapped"
"M-104","2631.1","Mohenjo-daro","SEAL:S","R/L","5","5","+090-740-220-235-853+","M-104A","corpus/m100_m199/m104.json","unicorn IV seal","5","P013 P324 P050 P060 P359","True","sign_system_unmapped"
"M-105","2632.1","Mohenjo-daro","SEAL:S","R/L","7","5","+000-000-803-231-742-060-920+","M-105A","corpus/m100_m199/m105.json","unicorn IV seal","7","P324 P324 P364 P056 P326 P120 P154","False","sign_system_unmapped"
"M-106","2633.1","Mohenjo-daro","SEAL:S","R/L","6","4","+740-760-000-002-000-350+","M-106A","corpus/m100_m199/m106.json","unicorn IV seal","3","P324 P332 P000","False","sign_system_unmapped"
"M-107","2634.1","Mohenjo-daro","SEAL:S","R/L","6","6","+740-565-233-002-940-260+","M-107A","corpus/m100_m199/m107.json","unicorn IV seal","6","P324 P238 P058 P122 P054 P071","True","sign_system_unmapped"
"M-108","2635.1","Mohenjo-daro","SEAL:S","R/L","7","7","+413-820-220-065-798-550-820+","M-108A","corpus/m100_m199/m108.json","unicorn IV seal","7","P099 P378 P050 P201 P075 P230 P378","True","sign_system_unmapped"
"M-109","2636.1","Mohenjo-daro","SEAL:S","R/L","7","7","+740-879-220-415-002-287-140+","M-109A","corpus/m100_m199/m109.json","unicorn IV seal","7","P324 P381 P050 P092 P122 P084 P011","True","sign_system_unmapped"
"M-110","2637.1","Mohenjo-daro","SEAL:S","R/L","4","2","+000-000-002-817+","M-110A","corpus/m100_m199/m110.json","unicorn IV seal","3","P000 P122 P385","False","sign_system_unmapped"
"M-111","2638.1","Mohenjo-daro","SEAL:S","R/L","6","6","+740-920-320-233-001-821+","M-111A","corpus/m100_m199/m111.json","unicorn IV seal","7","P324 P160 P303 P058 P121 P378 P378","False","sign_system_unmapped"
"M-112","2639.1","Mohenjo-daro","SEAL:S","R/L","8","8","+740-760-220-016-382-741-572-684+","M-112A","corpus/m100_m199/m112.json","unicorn IV seal","8","P324 P332 P056 P126 P111 P325 P285 P254","True","sign_system_unmapped"
"M-113","2640.1","Mohenjo-daro","SEAL:S","R/L","6","6","+740-032-840-741-060-920+","M-113A","corpus/m100_m199/m113.json","unicorn IV seal","6","P324 P145 P349 P325 P120 P156","True","sign_system_unmapped"
"M-114","2641.1","Mohenjo-daro","SEAL:S","R/L","6","6","+740-760-440-002-297-416+","M-114A","corpus/m100_m199/m114.json","unicorn IV seal","6","P324 P332 P283 P122 P205 P095","True","sign_system_unmapped"
"M-115","2642.1","Mohenjo-daro","SEAL:S","R/L","8","8","+390-844-140-176-803-002-301-190+","M-115A","corpus/m100_m199/m115.json","unicorn IV seal","8","P086 P352 P011 P194 P364 P122 P205 P076","True","sign_system_unmapped"
"M-116","2643.1","Mohenjo-daro","SEAL:S","R/L","7","7","+740-100-176-840-013-002-817+","M-116A","corpus/m100_m199/m116.json","unicorn IV seal","7","P324 P009 P194 P349 P139 P122 P385","True","sign_system_unmapped"
"M-117","2644.1","Mohenjo-daro","SEAL:S","R/L","8","8","+520-033-705-220-803-055-002-820+","M-117A","corpus/m100_m199/m117.json","unicorn IV seal","8","P217 P147 P316 P050 P364 P142 P122 P378","True","sign_system_unmapped"
"M-118","2645.1","Mohenjo-daro","SEAL:S","R/L","8","8","+740-772-033-705-233-803-002-861+","M-118A","corpus/m100_m199/m118.json","unicorn IV seal","8","P324 P096 P147 P316 P058 P364 P122 P385","True","sign_system_unmapped"
"M-119","2646.1","Mohenjo-daro","SEAL:S","R/L","10","10","+151-337-484-002-390-125-632-032-900-563+","M-119A","corpus/m100_m199/m119.json","unicorn IV seal","10","P001 P309 P195 P122 P086 P035 P270 P145 P154 P230","True","sign_system_unmapped"
"M-120","2647.1","Mohenjo-daro","SEAL:S","R/L","7","7","+858/740-100-585-741-840-346+","M-120A","corpus/m100_m199/m120.json","unicorn IV seal","6","P324 P009 P288 P325 P349 P044","False","sign_system_unmapped"
"M-121","2648.1","Mohenjo-daro","SEAL:S","R/L","5","5","+740-900-790-233-798+","M-121A","corpus/m100_m199/m121.json","unicorn IV seal","5","P324 P154 P355 P058 P075","True","sign_system_unmapped"
"M-122","2649.1","Mohenjo-daro","SEAL:S","R/L","3","3","+520-033-705+","M-122A","corpus/m100_m199/m122.json","unicorn IV seal","3","P217 P147 P316","True","sign_system_unmapped"
"M-123","2650.1","Mohenjo-daro","SEAL:S","R/L","4","4","+400-093-368-072+","M-123A","corpus/m100_m199/m123.json","unicorn IV seal","4","P098 P014 P202 P114","True","sign_system_unmapped"
"M-124","2651.1","Mohenjo-daro","SEAL:S","R/L","4","4","+740-923-220-032+","M-124A","corpus/m100_m199/m124.json","unicorn IV seal","4","P324 P175 P050 P145","True","sign_system_unmapped"
"M-125","2652.1","Mohenjo-daro","SEAL:S","R/L","5","3","+000-000-741-031-371+","M-125A","corpus/m100_m199/m125.json","unicorn IV seal","3","P000 P144 P108","True","sign_system_unmapped"
"M-126","2653.1","Mohenjo-daro","SEAL:S","R/L","4","4","+520-552-060-692+","M-126A","corpus/m100_m199/m126.json","unicorn IV seal","5","P000 P230 P234 P120 P256","False","sign_system_unmapped"
