"cisi_a","cisi_b","description_series_a","description_series_b","length_a","length_b","edit_distance","normalized_edit_distance","relation_type","shared_first_sign","shared_last_sign","same_edge_frame","same_class_pattern","class_pattern_a","class_pattern_b","diff_positions","diff_sign_pairs","sequence_a","sequence_b","review_status"
"M-148","M-150","IV","IV","3","2","2","0.666667","two_edit_variant","True","False","False","False","ITS","IS","","","P324 P385 P231","P324 P368","formula_variant_pair_only_not_semantic"
"M-148","M-180","IV","V","3","2","2","0.666667","two_edit_variant","True","False","False","False","ITS","IS","","","P324 P385 P231","P324 P265","formula_variant_pair_only_not_semantic"
"M-148","M-182","IV","V","3","2","2","0.666667","two_edit_variant","True","False","False","False","ITS","IS","","","P324 P385 P231","P324 P095","formula_variant_pair_only_not_semantic"
"M-15","M-152","II","IV","5","4","2","0.4","two_edit_variant","False","True","False","False","IIMMT","ISMT","","","P013 P324 P194 P122 P385","P324 P096 P122 P385","formula_variant_pair_only_not_semantic"
"M-150","M-155","IV","IV","2","3","2","0.666667","two_edit_variant","True","False","False","False","IS","IMW","","","P324 P368","P324 P194 P144","formula_variant_pair_only_not_semantic"
"M-150","M-18","IV","II","2","3","2","0.666667","two_edit_variant","False","False","False","False","IS","SIS","","","P324 P368","P341 P324 P142","formula_variant_pair_only_not_semantic"
"M-152","M-164","IV","IV","4","5","2","0.4","two_edit_variant","True","True","True","False","ISMT","ISSMT","","","P324 P096 P122 P385","P324 P031 P204 P122 P385","formula_variant_pair_only_not_semantic"
"M-152","M-47","IV","III","4","5","2","0.4","two_edit_variant","True","True","True","False","ISMT","IMMMT","","","P324 P096 P122 P385","P324 P332 P060 P122 P385","formula_variant_pair_only_not_semantic"
"M-152","M-58","IV","III","4","5","2","0.4","two_edit_variant","True","True","True","False","ISMT","ISMMT","","","P324 P096 P122 P385","P324 P215 P210 P122 P385","formula_variant_pair_only_not_semantic"
"M-155","M-180","IV","V","3","2","2","0.666667","two_edit_variant","True","False","False","False","IMW","IS","","","P324 P194 P144","P324 P265","formula_variant_pair_only_not_semantic"
"M-155","M-182","IV","V","3","2","2","0.666667","two_edit_variant","True","False","False","False","IMW","IS","","","P324 P194 P144","P324 P095","formula_variant_pair_only_not_semantic"
"M-158","M-178","IV","V","4","2","2","0.5","two_edit_variant","True","False","False","False","DMMM","DM","","","P086 P126 P120 P230","P086 P126","formula_variant_pair_only_not_semantic"
"M-163","M-37","IV","III","5","3","2","0.4","two_edit_variant","True","False","False","False","IMMMD","IMM","","","P217 P050 P092 P120 P378","P217 P050 P092","formula_variant_pair_only_not_semantic"
"M-177","M-179","V","V","4","2","2","0.5","two_edit_variant","True","False","False","False","DMMT","DM","","","P086 P123 P122 P385","P086 P123","formula_variant_pair_only_not_semantic"
"M-177","M-77","V","IV","4","5","2","0.4","two_edit_variant","False","True","False","False","DMMT","SDMMT","","","P086 P123 P122 P385","P366 P086 P364 P122 P385","formula_variant_pair_only_not_semantic"
"M-177","M-95","V","IV","4","5","2","0.4","two_edit_variant","True","False","False","False","DMMT","DMMSS","","","P086 P123 P122 P385","P086 P123 P122 P040 P342","formula_variant_pair_only_not_semantic"
"M-178","M-83","V","IV","2","3","2","0.666667","two_edit_variant","True","False","False","False","DM","DSS","","","P086 P126","P086 P128 P180","formula_variant_pair_only_not_semantic"
"M-179","M-32","V","III","2","4","2","0.5","two_edit_variant","True","False","False","False","DM","DMMT","","","P086 P123","P086 P123 P122 P385","formula_variant_pair_only_not_semantic"
"M-179","M-83","V","IV","2","3","2","0.666667","two_edit_variant","True","False","False","False","DM","DSS","","","P086 P123","P086 P128 P180","formula_variant_pair_only_not_semantic"
"M-18","M-180","II","V","3","2","2","0.666667","two_edit_variant","False","False","False","False","SIS","IS","","","P341 P324 P142","P324 P265","formula_variant_pair_only_not_semantic"
"M-18","M-182","II","V","3","2","2","0.666667","two_edit_variant","False","False","False","False","SIS","IS","","","P341 P324 P142","P324 P095","formula_variant_pair_only_not_semantic"
"M-32","M-77","III","IV","4","5","2","0.4","two_edit_variant","False","True","False","False","DMMT","SDMMT","","","P086 P123 P122 P385","P366 P086 P364 P122 P385","formula_variant_pair_only_not_semantic"
"M-32","M-95","III","IV","4","5","2","0.4","two_edit_variant","True","False","False","False","DMMT","DMMSS","","","P086 P123 P122 P385","P086 P123 P122 P040 P342","formula_variant_pair_only_not_semantic"
"M-96","M-97","IV","IV","2","3","2","0.666667","two_edit_variant","True","False","False","False","IS","ISM","","","P004 P124","P004 P188 P073","formula_variant_pair_only_not_semantic"
"M-103","M-177","IV","V","4","4","2","0.5","two_substitution_same_length","True","False","False","False","DSMD","DMMT","1;3","1:P124>P123;3:P378>P385","P086 P124 P122 P378","P086 P123 P122 P385","formula_variant_pair_only_not_semantic"
"M-103","M-32","IV","III","4","4","2","0.5","two_substitution_same_length","True","False","False","False","DSMD","DMMT","1;3","1:P124>P123;3:P378>P385","P086 P124 P122 P378","P086 P123 P122 P385","formula_variant_pair_only_not_semantic"
"M-122","M-37","IV","III","3","3","2","0.666667","two_substitution_same_length","True","False","False","True","IMM","IMM","1;2","1:P147>P050;2:P316>P092","P217 P147 P316","P217 P050 P092","formula_variant_pair_only_not_semantic"
"M-13","M-9","II","I","3","3","2","0.666667","two_substitution_same_length","False","False","False","False","MMS","WMS","0;2","0:P202>P144;2:P035>P327","P202 P205 P035","P144 P205 P327","formula_variant_pair_only_not_semantic"
"M-130","M-174","IV","IV","6","6","2","0.333333","two_substitution_same_length","True","False","False","False","ISMMMS","IMMMMD","1;5","1:P003>P175;5:P032>P378","P324 P003 P050 P145 P122 P032","P324 P175 P050 P145 P122 P378","formula_variant_pair_only_not_semantic"
"M-132","M-97","IV","IV","3","3","2","0.666667","two_substitution_same_length","True","False","False","False","IMS","ISM","1;2","1:P123>P188;2:P226>P073","P004 P123 P226","P004 P188 P073","formula_variant_pair_only_not_semantic"
"M-134","M-3","IV","I","3","3","2","0.666667","two_substitution_same_length","False","False","False","False","SMT","SMS","0;2","0:P390>P320;2:P256>P094","P390 P145 P256","P320 P145 P094","formula_variant_pair_only_not_semantic"
"M-138","M-148","IV","IV","3","3","2","0.666667","two_substitution_same_length","True","False","False","False","IMS","ITS","1;2","1:P154>P385;2:P125>P231","P324 P154 P125","P324 P385 P231","formula_variant_pair_only_not_semantic"
"M-138","M-155","IV","IV","3","3","2","0.666667","two_substitution_same_length","True","False","False","False","IMS","IMW","1;2","1:P154>P194;2:P125>P144","P324 P154 P125","P324 P194 P144","formula_variant_pair_only_not_semantic"
"M-14","M-164","II","IV","5","5","2","0.4","two_substitution_same_length","True","True","True","False","ISMMT","ISSMT","1;2","1:P117>P031;2:P210>P204","P324 P117 P210 P122 P385","P324 P031 P204 P122 P385","formula_variant_pair_only_not_semantic"
"M-14","M-47","II","III","5","5","2","0.4","two_substitution_same_length","True","True","True","False","ISMMT","IMMMT","1;2","1:P117>P332;2:P210>P060","P324 P117 P210 P122 P385","P324 P332 P060 P122 P385","formula_variant_pair_only_not_semantic"
"M-142","M-152","IV","IV","4","4","2","0.5","two_substitution_same_length","False","True","False","False","STMT","ISMT","0;1","0:P022>P324;1:P011>P096","P022 P011 P122 P385","P324 P096 P122 P385","formula_variant_pair_only_not_semantic"
"M-142","M-177","IV","V","4","4","2","0.5","two_substitution_same_length","False","True","False","False","STMT","DMMT","0;1","0:P022>P086;1:P011>P123","P022 P011 P122 P385","P086 P123 P122 P385","formula_variant_pair_only_not_semantic"
"M-142","M-32","IV","III","4","4","2","0.5","two_substitution_same_length","False","True","False","False","STMT","DMMT","0;1","0:P022>P086;1:P011>P123","P022 P011 P122 P385","P086 P123 P122 P385","formula_variant_pair_only_not_semantic"
"M-146","M-69","IV","III","5","5","2","0.4","two_substitution_same_length","True","True","True","False","IMSMT","IMMMT","1;2","1:P073>P364;2:P160>P056","P324 P073 P160 P120 P256","P324 P364 P056 P120 P256","formula_variant_pair_only_not_semantic"
"M-148","M-155","IV","IV","3","3","2","0.666667","two_substitution_same_length","True","False","False","False","ITS","IMW","1;2","1:P385>P194;2:P231>P144","P324 P385 P231","P324 P194 P144","formula_variant_pair_only_not_semantic"
"M-150","M-178","IV","V","2","2","2","1","two_substitution_same_length","False","False","False","False","IS","DM","0;1","0:P324>P086;1:P368>P126","P324 P368","P086 P126","formula_variant_pair_only_not_semantic"
"M-150","M-179","IV","V","2","2","2","1","two_substitution_same_length","False","False","False","False","IS","DM","0;1","0:P324>P086;1:P368>P123","P324 P368","P086 P123","formula_variant_pair_only_not_semantic"
"M-150","M-96","IV","IV","2","2","2","1","two_substitution_same_length","False","False","False","True","IS","IS","0;1","0:P324>P004;1:P368>P124","P324 P368","P004 P124","formula_variant_pair_only_not_semantic"
"M-152","M-177","IV","V","4","4","2","0.5","two_substitution_same_length","False","True","False","False","ISMT","DMMT","0;1","0:P324>P086;1:P096>P123","P324 P096 P122 P385","P086 P123 P122 P385","formula_variant_pair_only_not_semantic"
"M-152","M-32","IV","III","4","4","2","0.5","two_substitution_same_length","False","True","False","False","ISMT","DMMT","0;1","0:P324>P086;1:P096>P123","P324 P096 P122 P385","P086 P123 P122 P385","formula_variant_pair_only_not_semantic"
"M-158","M-63","IV","III","4","4","2","0.5","two_substitution_same_length","False","True","False","False","DMMM","IMMM","0;1","0:P086>P301;1:P126>P230","P086 P126 P120 P230","P301 P230 P120 P230","formula_variant_pair_only_not_semantic"
"M-164","M-47","IV","III","5","5","2","0.4","two_substitution_same_length","True","True","True","False","ISSMT","IMMMT","1;2","1:P031>P332;2:P204>P060","P324 P031 P204 P122 P385","P324 P332 P060 P122 P385","formula_variant_pair_only_not_semantic"
"M-164","M-58","IV","III","5","5","2","0.4","two_substitution_same_length","True","True","True","False","ISSMT","ISMMT","1;2","1:P031>P215;2:P204>P210","P324 P031 P204 P122 P385","P324 P215 P210 P122 P385","formula_variant_pair_only_not_semantic"
"M-178","M-180","V","V","2","2","2","1","two_substitution_same_length","False","False","False","False","DM","IS","0;1","0:P086>P324;1:P126>P265","P086 P126","P324 P265","formula_variant_pair_only_not_semantic"
"M-178","M-182","V","V","2","2","2","1","two_substitution_same_length","False","False","False","False","DM","IS","0;1","0:P086>P324;1:P126>P095","P086 P126","P324 P095","formula_variant_pair_only_not_semantic"
"M-178","M-96","V","IV","2","2","2","1","two_substitution_same_length","False","False","False","False","DM","IS","0;1","0:P086>P004;1:P126>P124","P086 P126","P004 P124","formula_variant_pair_only_not_semantic"
"M-179","M-180","V","V","2","2","2","1","two_substitution_same_length","False","False","False","False","DM","IS","0;1","0:P086>P324;1:P123>P265","P086 P123","P324 P265","formula_variant_pair_only_not_semantic"
"M-179","M-182","V","V","2","2","2","1","two_substitution_same_length","False","False","False","False","DM","IS","0;1","0:P086>P324;1:P123>P095","P086 P123","P324 P095","formula_variant_pair_only_not_semantic"
"M-179","M-96","V","IV","2","2","2","1","two_substitution_same_length","False","False","False","False","DM","IS","0;1","0:P086>P004;1:P123>P124","P086 P123","P004 P124","formula_variant_pair_only_not_semantic"
"M-180","M-96","V","IV","2","2","2","1","two_substitution_same_length","False","False","False","True","IS","IS","0;1","0:P324>P004;1:P265>P124","P324 P265","P004 P124","formula_variant_pair_only_not_semantic"
"M-182","M-96","V","IV","2","2","2","1","two_substitution_same_length","False","False","False","True","IS","IS","0;1","0:P324>P004;1:P095>P124","P324 P095","P004 P124","formula_variant_pair_only_not_semantic"
"M-47","M-58","III","III","5","5","2","0.4","two_substitution_same_length","True","True","True","False","IMMMT","ISMMT","1;2","1:P332>P215;2:P060>P210","P324 P332 P060 P122 P385","P324 P215 P210 P122 P385","formula_variant_pair_only_not_semantic"
"M-101","M-177","IV","V","6","4","3","0.5","same_edge_frame_length_variant","True","True","True","False","DMISMT","DMMT","","","P086 P210 P324 P003 P122 P385","P086 P123 P122 P385","formula_variant_pair_only_not_semantic"
"M-101","M-32","IV","III","6","4","3","0.5","same_edge_frame_length_variant","True","True","True","False","DMISMT","DMMT","","","P086 P210 P324 P003 P122 P385","P086 P123 P122 P385","formula_variant_pair_only_not_semantic"
"M-116","M-144","IV","IV","7","6","3","0.428571","same_edge_frame_length_variant","True","True","True","False","ISMWSMT","ISMMMT","","","P324 P009 P194 P349 P139 P122 P385","P324 P009 P092 P062 P122 P385","formula_variant_pair_only_not_semantic"
"M-116","M-90","IV","IV","7","6","3","0.428571","same_edge_frame_length_variant","True","True","True","False","ISMWSMT","IWSWMT","","","P324 P009 P194 P349 P139 P122 P385","P324 P349 P139 P144 P122 P385","formula_variant_pair_only_not_semantic"
"M-14","M-144","II","IV","5","6","3","0.5","same_edge_frame_length_variant","True","True","True","False","ISMMT","ISMMMT","","","P324 P117 P210 P122 P385","P324 P009 P092 P062 P122 P385","formula_variant_pair_only_not_semantic"
"M-14","M-90","II","IV","5","6","3","0.5","same_edge_frame_length_variant","True","True","True","False","ISMMT","IWSWMT","","","P324 P117 P210 P122 P385","P324 P349 P139 P144 P122 P385","formula_variant_pair_only_not_semantic"
"M-144","M-152","IV","IV","6","4","3","0.5","same_edge_frame_length_variant","True","True","True","False","ISMMMT","ISMT","","","P324 P009 P092 P062 P122 P385","P324 P096 P122 P385","formula_variant_pair_only_not_semantic"
"M-144","M-164","IV","IV","6","5","3","0.5","same_edge_frame_length_variant","True","True","True","False","ISMMMT","ISSMT","","","P324 P009 P092 P062 P122 P385","P324 P031 P204 P122 P385","formula_variant_pair_only_not_semantic"
"M-144","M-47","IV","III","6","5","3","0.5","same_edge_frame_length_variant","True","True","True","False","ISMMMT","IMMMT","","","P324 P009 P092 P062 P122 P385","P324 P332 P060 P122 P385","formula_variant_pair_only_not_semantic"
"M-144","M-58","IV","III","6","5","3","0.5","same_edge_frame_length_variant","True","True","True","False","ISMMMT","ISMMT","","","P324 P009 P092 P062 P122 P385","P324 P215 P210 P122 P385","formula_variant_pair_only_not_semantic"
"M-146","M-5","IV","I","5","6","3","0.5","same_edge_frame_length_variant","True","True","True","False","IMSMT","ISMMMT","","","P324 P073 P160 P120 P256","P324 P096 P062 P060 P120 P256","formula_variant_pair_only_not_semantic"
"M-152","M-90","IV","IV","4","6","3","0.5","same_edge_frame_length_variant","True","True","True","False","ISMT","IWSWMT","","","P324 P096 P122 P385","P324 P349 P139 P144 P122 P385","formula_variant_pair_only_not_semantic"
"M-164","M-90","IV","IV","5","6","3","0.5","same_edge_frame_length_variant","True","True","True","False","ISSMT","IWSWMT","","","P324 P031 P204 P122 P385","P324 P349 P139 P144 P122 P385","formula_variant_pair_only_not_semantic"
"M-166","M-177","IV","V","6","4","3","0.5","same_edge_frame_length_variant","True","True","True","False","DWMMMT","DMMT","","","P086 P349 P062 P364 P122 P385","P086 P123 P122 P385","formula_variant_pair_only_not_semantic"
"M-166","M-32","IV","III","6","4","3","0.5","same_edge_frame_length_variant","True","True","True","False","DWMMMT","DMMT","","","P086 P349 P062 P364 P122 P385","P086 P123 P122 P385","formula_variant_pair_only_not_semantic"
"M-47","M-90","III","IV","5","6","3","0.5","same_edge_frame_length_variant","True","True","True","False","IMMMT","IWSWMT","","","P324 P332 P060 P122 P385","P324 P349 P139 P144 P122 P385","formula_variant_pair_only_not_semantic"
"M-5","M-69","I","III","6","5","3","0.5","same_edge_frame_length_variant","True","True","True","False","ISMMMT","IMMMT","","","P324 P096 P062 P060 P120 P256","P324 P364 P056 P120 P256","formula_variant_pair_only_not_semantic"
"M-58","M-90","III","IV","5","6","3","0.5","same_edge_frame_length_variant","True","True","True","False","ISMMT","IWSWMT","","","P324 P215 P210 P122 P385","P324 P349 P139 P144 P122 P385","formula_variant_pair_only_not_semantic"
"M-101","M-166","IV","IV","6","6","3","0.5","same_edge_frame_many_differences","True","True","True","False","DMISMT","DWMMMT","1;2;3","1:P210>P349;2:P324>P062;3:P003>P364","P086 P210 P324 P003 P122 P385","P086 P349 P062 P364 P122 P385","formula_variant_pair_only_not_semantic"
"M-144","M-90","IV","IV","6","6","3","0.5","same_edge_frame_many_differences","True","True","True","False","ISMMMT","IWSWMT","1;2;3","1:P009>P349;2:P092>P139;3:P062>P144","P324 P009 P092 P062 P122 P385","P324 P349 P139 P144 P122 P385","formula_variant_pair_only_not_semantic"
"M-114","M-182","IV","V","6","2","4","0.666667","same_edge_frame_length_variant","True","True","True","False","IMSMMS","IS","","","P324 P332 P283 P122 P205 P095","P324 P095","formula_variant_pair_only_not_semantic"
"M-116","M-14","IV","II","7","5","4","0.571429","same_edge_frame_length_variant","True","True","True","False","ISMWSMT","ISMMT","","","P324 P009 P194 P349 P139 P122 P385","P324 P117 P210 P122 P385","formula_variant_pair_only_not_semantic"
"M-116","M-152","IV","IV","7","4","4","0.571429","same_edge_frame_length_variant","True","True","True","False","ISMWSMT","ISMT","","","P324 P009 P194 P349 P139 P122 P385","P324 P096 P122 P385","formula_variant_pair_only_not_semantic"
"M-116","M-164","IV","IV","7","5","4","0.571429","same_edge_frame_length_variant","True","True","True","False","ISMWSMT","ISSMT","","","P324 P009 P194 P349 P139 P122 P385","P324 P031 P204 P122 P385","formula_variant_pair_only_not_semantic"
"M-116","M-47","IV","III","7","5","4","0.571429","same_edge_frame_length_variant","True","True","True","False","ISMWSMT","IMMMT","","","P324 P009 P194 P349 P139 P122 P385","P324 P332 P060 P122 P385","formula_variant_pair_only_not_semantic"
"M-116","M-58","IV","III","7","5","4","0.571429","same_edge_frame_length_variant","True","True","True","False","ISMWSMT","ISMMT","","","P324 P009 P194 P349 P139 P122 P385","P324 P215 P210 P122 P385","formula_variant_pair_only_not_semantic"
"M-118","M-152","IV","IV","8","4","4","0.5","same_edge_frame_length_variant","True","True","True","False","ISMMMMMT","ISMT","","","P324 P096 P147 P316 P058 P364 P122 P385","P324 P096 P122 P385","formula_variant_pair_only_not_semantic"
"M-157","M-31","IV","III","7","6","4","0.571429","same_edge_frame_length_variant","True","True","True","False","IMSMSMD","ISSMMD","","","P324 P154 P355 P058 P075 P121 P378","P324 P067 P275 P058 P120 P378","formula_variant_pair_only_not_semantic"
"M-174","M-31","IV","III","6","6","4","0.666667","same_edge_frame_many_differences","True","True","True","False","IMMMMD","ISSMMD","1;2;3;4","1:P175>P067;2:P050>P275;3:P145>P058;4:P122>P120","P324 P175 P050 P145 P122 P378","P324 P067 P275 P058 P120 P378","formula_variant_pair_only_not_semantic"
"M-116","M-118","IV","IV","7","8","5","0.625","same_edge_frame_length_variant","True","True","True","False","ISMWSMT","ISMMMMMT","","","P324 P009 P194 P349 P139 P122 P385","P324 P096 P147 P316 P058 P364 P122 P385","formula_variant_pair_only_not_semantic"
"M-117","M-163","IV","IV","8","5","5","0.625","same_edge_frame_length_variant","True","True","True","False","IMMMMSMD","IMMMD","","","P217 P147 P316 P050 P364 P142 P122 P378","P217 P050 P092 P120 P378","formula_variant_pair_only_not_semantic"
"M-118","M-14","IV","II","8","5","5","0.625","same_edge_frame_length_variant","True","True","True","False","ISMMMMMT","ISMMT","","","P324 P096 P147 P316 P058 P364 P122 P385","P324 P117 P210 P122 P385","formula_variant_pair_only_not_semantic"
"M-118","M-144","IV","IV","8","6","5","0.625","same_edge_frame_length_variant","True","True","True","False","ISMMMMMT","ISMMMT","","","P324 P096 P147 P316 P058 P364 P122 P385","P324 P009 P092 P062 P122 P385","formula_variant_pair_only_not_semantic"
"M-118","M-164","IV","IV","8","5","5","0.625","same_edge_frame_length_variant","True","True","True","False","ISMMMMMT","ISSMT","","","P324 P096 P147 P316 P058 P364 P122 P385","P324 P031 P204 P122 P385","formula_variant_pair_only_not_semantic"
"M-118","M-47","IV","III","8","5","5","0.625","same_edge_frame_length_variant","True","True","True","False","ISMMMMMT","IMMMT","","","P324 P096 P147 P316 P058 P364 P122 P385","P324 P332 P060 P122 P385","formula_variant_pair_only_not_semantic"
"M-118","M-58","IV","III","8","5","5","0.625","same_edge_frame_length_variant","True","True","True","False","ISMMMMMT","ISMMT","","","P324 P096 P147 P316 P058 P364 P122 P385","P324 P215 P210 P122 P385","formula_variant_pair_only_not_semantic"
"M-118","M-90","IV","IV","8","6","5","0.625","same_edge_frame_length_variant","True","True","True","False","ISMMMMMT","IWSWMT","","","P324 P096 P147 P316 P058 P364 P122 P385","P324 P349 P139 P144 P122 P385","formula_variant_pair_only_not_semantic"
"M-157","M-174","IV","IV","7","6","5","0.714286","same_edge_frame_length_variant","True","True","True","False","IMSMSMD","IMMMMD","","","P324 P154 P355 P058 P075 P121 P378","P324 P175 P050 P145 P122 P378","formula_variant_pair_only_not_semantic"
"M-164","M-170","IV","IV","5","8","5","0.625","same_edge_frame_length_variant","True","True","True","False","ISSMT","IMDSSMMT","","","P324 P031 P204 P122 P385","P324 P175 P086 P204 P114 P145 P325 P385","formula_variant_pair_only_not_semantic"
"M-173","M-30","IV","II","5","7","5","0.714286","same_edge_frame_length_variant","True","True","True","False","ISSSM","IMSMMMM","","","P324 P110 P160 P303 P364","P324 P332 P127 P210 P062 P060 P364","formula_variant_pair_only_not_semantic"
"M-24","M-53","II","III","7","9","5","0.555556","same_edge_frame_length_variant","True","True","True","False","IIMMMST","IIMMMMSMT","","","P013 P324 P062 P060 P122 P174 P011","P013 P324 P050 P126 P122 P205 P076 P154 P011","formula_variant_pair_only_not_semantic"
"M-109","M-51","IV","III","7","8","6","0.75","same_edge_frame_length_variant","True","True","True","False","ISMMMST","IMSSMIDT","","","P324 P381 P050 P092 P122 P084 P011","P324 P230 P215 P091 P060 P324 P086 P011","formula_variant_pair_only_not_semantic"
"M-114","M-91","IV","IV","6","9","6","0.666667","same_edge_frame_length_variant","True","True","True","False","IMSMMS","ISMMMMTMS","","","P324 P332 P283 P122 P205 P095","P324 P009 P230 P050 P145 P122 P385 P073 P095","formula_variant_pair_only_not_semantic"
"M-116","M-170","IV","IV","7","8","6","0.75","same_edge_frame_length_variant","True","True","True","False","ISMWSMT","IMDSSMMT","","","P324 P009 P194 P349 P139 P122 P385","P324 P175 P086 P204 P114 P145 P325 P385","formula_variant_pair_only_not_semantic"
"M-14","M-170","II","IV","5","8","6","0.75","same_edge_frame_length_variant","True","True","True","False","ISMMT","IMDSSMMT","","","P324 P117 P210 P122 P385","P324 P175 P086 P204 P114 P145 P325 P385","formula_variant_pair_only_not_semantic"
"M-143","M-56","IV","III","6","8","6","0.75","same_edge_frame_length_variant","True","True","True","False","ISMMSW","ISMMMMSW","","","P324 P082 P122 P145 P170 P349","P324 P382 P145 P060 P120 P230 P281 P349","formula_variant_pair_only_not_semantic"
"M-144","M-170","IV","IV","6","8","6","0.75","same_edge_frame_length_variant","True","True","True","False","ISMMMT","IMDSSMMT","","","P324 P009 P092 P062 P122 P385","P324 P175 P086 P204 P114 P145 P325 P385","formula_variant_pair_only_not_semantic"
"M-152","M-170","IV","IV","4","8","6","0.75","same_edge_frame_length_variant","True","True","True","False","ISMT","IMDSSMMT","","","P324 P096 P122 P385","P324 P175 P086 P204 P114 P145 P325 P385","formula_variant_pair_only_not_semantic"
"M-170","M-47","IV","III","8","5","6","0.75","same_edge_frame_length_variant","True","True","True","False","IMDSSMMT","IMMMT","","","P324 P175 P086 P204 P114 P145 P325 P385","P324 P332 P060 P122 P385","formula_variant_pair_only_not_semantic"
"M-170","M-58","IV","III","8","5","6","0.75","same_edge_frame_length_variant","True","True","True","False","IMDSSMMT","ISMMT","","","P324 P175 P086 P204 P114 P145 P325 P385","P324 P215 P210 P122 P385","formula_variant_pair_only_not_semantic"
"M-170","M-90","IV","IV","8","6","6","0.75","same_edge_frame_length_variant","True","True","True","False","IMDSSMMT","IWSWMT","","","P324 P175 P086 P204 P114 P145 P325 P385","P324 P349 P139 P144 P122 P385","formula_variant_pair_only_not_semantic"
"M-118","M-170","IV","IV","8","8","6","0.75","same_edge_frame_many_differences","True","True","True","False","ISMMMMMT","IMDSSMMT","1;2;3;4;5;6","1:P096>P175;2:P147>P086;3:P316>P204;4:P058>P114;5:P364>P145;6:P122>P325","P324 P096 P147 P316 P058 P364 P122 P385","P324 P175 P086 P204 P114 P145 P325 P385","formula_variant_pair_only_not_semantic"
"M-182","M-91","V","IV","2","9","7","0.777778","same_edge_frame_length_variant","True","True","True","False","IS","ISMMMMTMS","","","P324 P095","P324 P009 P230 P050 P145 P122 P385 P073 P095","formula_variant_pair_only_not_semantic"
