focus_cisi,focus_tail,focus_text,match_level,match_key,match_cisi,match_id,match_class,site,type,symbol,prefix_last1,prefix_last2,tail_len,tail_full,terminal_861,text
M-91,255 416,+740-100-798-220-032-002-861-255-416+,site_type_symbol_prefix_last1,Mohenjo-daro|SEAL:S|Bull1:S|032,M-91,2618.1,focus_tail,Mohenjo-daro,SEAL:S,Bull1:S,032,220 032,2,255 416,false,+740-100-798-220-032-002-861-255-416+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,prefix_last2,220 032,H-444,1434.1,bare_terminal_002_861,Harappa,SEAL:S,Bull1:W,032,220 032,0,<END>,true,+241-220-032-002-861+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,prefix_last2,220 032,M-1763,2313.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,032,220 032,0,<END>,true,+416-001-565-740-220-032-002-861+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,prefix_last2,220 032,M-91,2618.1,focus_tail,Mohenjo-daro,SEAL:S,Bull1:S,032,220 032,2,255 416,false,+740-100-798-220-032-002-861-255-416+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,prefix_last2,220 032,M-240,2763.1,focus_tail,Mohenjo-daro,SEAL:S,Gaur,032,220 032,1,603,false,+520-240-220-032-002-861-603+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,prefix_last2,220 032,M-723,3147.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1,032,220 032,0,<END>,true,+740-460-510-235-220-032-002-861+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,prefix_last2,220 032,M-1044,3421.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull,032,220 032,0,<END>,true,+520-220-032-002-861+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,prefix_last1,032,C-60,69.1,bare_terminal_002_861,Chanhu-daro,SEAL:S,Bull1:W,032,176 032,0,<END>,true,+740-176-032-002-861+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,prefix_last1,032,H-444,1434.1,bare_terminal_002_861,Harappa,SEAL:S,Bull1:W,032,220 032,0,<END>,true,+241-220-032-002-861+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,prefix_last1,032,H-597,1540.1,bare_terminal_002_861,Harappa,SEAL:S,Bull1:J,032,070 032,0,<END>,true,+740-390-590-070-032-002-861+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,prefix_last1,032,M-1763,2313.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,032,220 032,0,<END>,true,+416-001-565-740-220-032-002-861+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,prefix_last1,032,M-21,2549.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,032,692 032,0,<END>,true,+350-001-740-362-692-032-002-861+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,prefix_last1,032,M-91,2618.1,focus_tail,Mohenjo-daro,SEAL:S,Bull1:S,032,220 032,2,255 416,false,+740-100-798-220-032-002-861-255-416+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,prefix_last1,032,M-240,2763.1,focus_tail,Mohenjo-daro,SEAL:S,Gaur,032,220 032,1,603,false,+520-240-220-032-002-861-603+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,prefix_last1,032,M-723,3147.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1,032,220 032,0,<END>,true,+740-460-510-235-220-032-002-861+
M-91,255 416,+740-100-798-220-032-002-861-255-416+,prefix_last1,032,M-1044,3421.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull,032,220 032,0,<END>,true,+520-220-032-002-861+
M-240,603,+520-240-220-032-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Gaur,M-1880,2179.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Gaur,176,151 176,0,<END>,true,+151-176-002-861+
M-240,603,+520-240-220-032-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Gaur,M-240,2763.1,focus_tail,Mohenjo-daro,SEAL:S,Gaur,032,220 032,1,603,false,+520-240-220-032-002-861-603+
M-240,603,+520-240-220-032-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Gaur,M-1206,3556.2,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Gaur,255,435 255,0,<END>,true,+740-690-435-255-002-861+
M-240,603,+520-240-220-032-002-861-603+,site_type_symbol_prefix_last1,Mohenjo-daro|SEAL:S|Gaur|032,M-240,2763.1,focus_tail,Mohenjo-daro,SEAL:S,Gaur,032,220 032,1,603,false,+520-240-220-032-002-861-603+
M-240,603,+520-240-220-032-002-861-603+,prefix_last2,220 032,H-444,1434.1,bare_terminal_002_861,Harappa,SEAL:S,Bull1:W,032,220 032,0,<END>,true,+241-220-032-002-861+
M-240,603,+520-240-220-032-002-861-603+,prefix_last2,220 032,M-1763,2313.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,032,220 032,0,<END>,true,+416-001-565-740-220-032-002-861+
M-240,603,+520-240-220-032-002-861-603+,prefix_last2,220 032,M-91,2618.1,focus_tail,Mohenjo-daro,SEAL:S,Bull1:S,032,220 032,2,255 416,false,+740-100-798-220-032-002-861-255-416+
M-240,603,+520-240-220-032-002-861-603+,prefix_last2,220 032,M-240,2763.1,focus_tail,Mohenjo-daro,SEAL:S,Gaur,032,220 032,1,603,false,+520-240-220-032-002-861-603+
M-240,603,+520-240-220-032-002-861-603+,prefix_last2,220 032,M-723,3147.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1,032,220 032,0,<END>,true,+740-460-510-235-220-032-002-861+
M-240,603,+520-240-220-032-002-861-603+,prefix_last2,220 032,M-1044,3421.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull,032,220 032,0,<END>,true,+520-220-032-002-861+
M-240,603,+520-240-220-032-002-861-603+,prefix_last1,032,C-60,69.1,bare_terminal_002_861,Chanhu-daro,SEAL:S,Bull1:W,032,176 032,0,<END>,true,+740-176-032-002-861+
M-240,603,+520-240-220-032-002-861-603+,prefix_last1,032,H-444,1434.1,bare_terminal_002_861,Harappa,SEAL:S,Bull1:W,032,220 032,0,<END>,true,+241-220-032-002-861+
M-240,603,+520-240-220-032-002-861-603+,prefix_last1,032,H-597,1540.1,bare_terminal_002_861,Harappa,SEAL:S,Bull1:J,032,070 032,0,<END>,true,+740-390-590-070-032-002-861+
M-240,603,+520-240-220-032-002-861-603+,prefix_last1,032,M-1763,2313.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,032,220 032,0,<END>,true,+416-001-565-740-220-032-002-861+
M-240,603,+520-240-220-032-002-861-603+,prefix_last1,032,M-21,2549.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,032,692 032,0,<END>,true,+350-001-740-362-692-032-002-861+
M-240,603,+520-240-220-032-002-861-603+,prefix_last1,032,M-91,2618.1,focus_tail,Mohenjo-daro,SEAL:S,Bull1:S,032,220 032,2,255 416,false,+740-100-798-220-032-002-861-255-416+
M-240,603,+520-240-220-032-002-861-603+,prefix_last1,032,M-240,2763.1,focus_tail,Mohenjo-daro,SEAL:S,Gaur,032,220 032,1,603,false,+520-240-220-032-002-861-603+
M-240,603,+520-240-220-032-002-861-603+,prefix_last1,032,M-723,3147.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1,032,220 032,0,<END>,true,+740-460-510-235-220-032-002-861+
M-240,603,+520-240-220-032-002-861-603+,prefix_last1,032,M-1044,3421.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull,032,220 032,0,<END>,true,+520-220-032-002-861+
M-376,533 717,+740-100-176-002-861-533-717+,site_type_symbol,Mohenjo-daro|SEAL:R|None,M-1954,2422.1,bare_terminal_002_861,Mohenjo-daro,SEAL:R,None,798,415 798,0,<END>,true,+740-407-590-031-752-033-705-220-415-798-002-861+
M-376,533 717,+740-100-176-002-861-533-717+,site_type_symbol,Mohenjo-daro|SEAL:R|None,M-355,2851.1,other_tail_360-520-919-140,Mohenjo-daro,SEAL:R,None,235,231 235,4,360 520 919 140,false,+740-877-032-033-705-231-235-002-861-360-520-919-140+
M-376,533 717,+740-100-176-002-861-533-717+,site_type_symbol,Mohenjo-daro|SEAL:R|None,M-376,2872.1,focus_tail,Mohenjo-daro,SEAL:R,None,176,100 176,2,533 717,false,+740-100-176-002-861-533-717+
M-376,533 717,+740-100-176-002-861-533-717+,site_type_symbol,Mohenjo-daro|SEAL:R|None,M-391,2887.1,focus_tail,Mohenjo-daro,SEAL:R,None,805,233 805,2,533 717,false,+405-845-686-740-793-003-233-805-002-861-533-717+
M-376,533 717,+740-100-176-002-861-533-717+,site_type_symbol,Mohenjo-daro|SEAL:R|None,M-1267,3574.1,bare_terminal_002_861,Mohenjo-daro,SEAL:R,None,175,720 175,0,<END>,true,+416-001-740-720-175-002-861+
M-376,533 717,+740-100-176-002-861-533-717+,site_type_symbol,Mohenjo-daro|SEAL:R|None,M-1273,3580.1,focus_tail,Mohenjo-daro,SEAL:R,None,055,740 055,1,603,false,+740-055-002-861-603+
M-376,533 717,+740-100-176-002-861-533-717+,site_type_symbol,Mohenjo-daro|SEAL:R|None,M-1973,4010.1,bare_terminal_002_861,Mohenjo-daro,SEAL:R,None,550,233 550,0,<END>,true,+740-575-017-233-550-002-861+
M-376,533 717,+740-100-176-002-861-533-717+,site_type_symbol_prefix_last1,Mohenjo-daro|SEAL:R|None|176,M-376,2872.1,focus_tail,Mohenjo-daro,SEAL:R,None,176,100 176,2,533 717,false,+740-100-176-002-861-533-717+
M-376,533 717,+740-100-176-002-861-533-717+,prefix_last2,100 176,M-376,2872.1,focus_tail,Mohenjo-daro,SEAL:R,None,176,100 176,2,533 717,false,+740-100-176-002-861-533-717+
M-376,533 717,+740-100-176-002-861-533-717+,prefix_last1,176,L-46,2017.1,other_tail_392,Lothal,SEAL:S,Gaur,176,740 176,1,392,false,+527-388-233-740-176-002-861-392+
M-376,533 717,+740-100-176-002-861-533-717+,prefix_last1,176,M-2060,2165.2,bare_terminal_002_861,Mohenjo-daro,POT:T:g,None,176,740 176,0,<END>,true,+740-176-002-861+
M-376,533 717,+740-100-176-002-861-533-717+,prefix_last1,176,M-1880,2179.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Gaur,176,151 176,0,<END>,true,+151-176-002-861+
M-376,533 717,+740-100-176-002-861-533-717+,prefix_last1,176,M-1755,2323.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:L,176,740 176,0,<END>,true,+740-176-002-861+
M-376,533 717,+740-100-176-002-861-533-717+,prefix_last1,176,M-15,2543.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,176,740 176,0,<END>,true,+090-740-176-002-861+
M-376,533 717,+740-100-176-002-861-533-717+,prefix_last1,176,M-376,2872.1,focus_tail,Mohenjo-daro,SEAL:R,None,176,100 176,2,533 717,false,+740-100-176-002-861-533-717+
M-391,533 717,+405-845-686-740-793-003-233-805-002-861-533-717+,site_type_symbol,Mohenjo-daro|SEAL:R|None,M-1954,2422.1,bare_terminal_002_861,Mohenjo-daro,SEAL:R,None,798,415 798,0,<END>,true,+740-407-590-031-752-033-705-220-415-798-002-861+
M-391,533 717,+405-845-686-740-793-003-233-805-002-861-533-717+,site_type_symbol,Mohenjo-daro|SEAL:R|None,M-355,2851.1,other_tail_360-520-919-140,Mohenjo-daro,SEAL:R,None,235,231 235,4,360 520 919 140,false,+740-877-032-033-705-231-235-002-861-360-520-919-140+
M-391,533 717,+405-845-686-740-793-003-233-805-002-861-533-717+,site_type_symbol,Mohenjo-daro|SEAL:R|None,M-376,2872.1,focus_tail,Mohenjo-daro,SEAL:R,None,176,100 176,2,533 717,false,+740-100-176-002-861-533-717+
M-391,533 717,+405-845-686-740-793-003-233-805-002-861-533-717+,site_type_symbol,Mohenjo-daro|SEAL:R|None,M-391,2887.1,focus_tail,Mohenjo-daro,SEAL:R,None,805,233 805,2,533 717,false,+405-845-686-740-793-003-233-805-002-861-533-717+
M-391,533 717,+405-845-686-740-793-003-233-805-002-861-533-717+,site_type_symbol,Mohenjo-daro|SEAL:R|None,M-1267,3574.1,bare_terminal_002_861,Mohenjo-daro,SEAL:R,None,175,720 175,0,<END>,true,+416-001-740-720-175-002-861+
M-391,533 717,+405-845-686-740-793-003-233-805-002-861-533-717+,site_type_symbol,Mohenjo-daro|SEAL:R|None,M-1273,3580.1,focus_tail,Mohenjo-daro,SEAL:R,None,055,740 055,1,603,false,+740-055-002-861-603+
M-391,533 717,+405-845-686-740-793-003-233-805-002-861-533-717+,site_type_symbol,Mohenjo-daro|SEAL:R|None,M-1973,4010.1,bare_terminal_002_861,Mohenjo-daro,SEAL:R,None,550,233 550,0,<END>,true,+740-575-017-233-550-002-861+
M-391,533 717,+405-845-686-740-793-003-233-805-002-861-533-717+,site_type_symbol_prefix_last1,Mohenjo-daro|SEAL:R|None|805,M-391,2887.1,focus_tail,Mohenjo-daro,SEAL:R,None,805,233 805,2,533 717,false,+405-845-686-740-793-003-233-805-002-861-533-717+
M-391,533 717,+405-845-686-740-793-003-233-805-002-861-533-717+,prefix_last2,233 805,M-391,2887.1,focus_tail,Mohenjo-daro,SEAL:R,None,805,233 805,2,533 717,false,+405-845-686-740-793-003-233-805-002-861-533-717+
M-391,533 717,+405-845-686-740-793-003-233-805-002-861-533-717+,prefix_last1,805,M-391,2887.1,focus_tail,Mohenjo-daro,SEAL:R,None,805,233 805,2,533 717,false,+405-845-686-740-793-003-233-805-002-861-533-717+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,M-1697,2228.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,003,390 003,0,<END>,true,+390-003-002-861+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,M-1704,2251.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,605,760 605,0,<END>,true,+740-760-605-002-861+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,M-1726,2276.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,240,495 240,0,<END>,true,+740-615-495-240-002-861+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,M-1763,2313.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,032,220 032,0,<END>,true,+416-001-565-740-220-032-002-861+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,M-1661,2342.1,other_tail_032-520-919-140,Mohenjo-daro,SEAL:S,Bull1:W,219,070 219,4,032 520 919 140,false,+520-070-219-002-861-032-520-919-140+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,M-1681,2389.1,other_tail_832,Mohenjo-daro,SEAL:S,Bull1:W,798,740 798,1,832,false,+520-072-233-740-798-002-861-832+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,M-1750,2450.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,004,390 004,0,<END>,true,+390-004-002-861+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,M-7,2536.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,240,923 240,0,<END>,true,+407-845-140-740-101-923-240-002-861+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,M-15,2543.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,176,740 176,0,<END>,true,+090-740-176-002-861+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,M-20,2548.1,other_tail_036-460-513,Mohenjo-daro,SEAL:S,Bull1:W,005,390 005,3,036 460 513,false,+390-005-002-861-036-460-513+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,M-21,2549.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,032,692 032,0,<END>,true,+350-001-740-362-692-032-002-861+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,M-28,2556.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,416,840 416,0,<END>,true,+892-374-740-760-840-416-002-861+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,M-77,2604.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,803,390 803,0,<END>,true,+832-390-803-002-861+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,M-118,2645.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,803,233 803,0,<END>,true,+740-772-033-705-233-803-002-861+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,M-629,3080.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,798,240 798,0,<END>,true,+679-740-176-240-798-002-861+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,M-653,3096.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,235,740 235,0,<END>,true,+679-740-235-002-861+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,M-706,3133.1,other_tail_031,Mohenjo-daro,SEAL:S,Bull1:W,240,773 240,1,031,false,+740-773-240-002-861-031+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,M-714,3139.1,focus_tail,Mohenjo-daro,SEAL:S,Bull1:W,803,798 803,1,603,false,+740-585-017-033-705-233-798-803-002-861-603+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,M-793,3207.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,798,240 798,0,<END>,true,+740-388-235-240-798-002-861+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,M-815,3228.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,798,233 798,0,<END>,true,+520-070-233-798-002-861+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,M-934,3329.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,235,555 235,0,<END>,true,+526-555-235-002-861+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,M-1698,3909.1,other_tail_803,Mohenjo-daro,SEAL:S,Bull1:W,705,033 705,1,803,false,+740-482-033-705-002-861-803+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol_prefix_last1,Mohenjo-daro|SEAL:S|Bull1:W|803,M-77,2604.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,803,390 803,0,<END>,true,+832-390-803-002-861+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol_prefix_last1,Mohenjo-daro|SEAL:S|Bull1:W|803,M-118,2645.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,803,233 803,0,<END>,true,+740-772-033-705-233-803-002-861+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,site_type_symbol_prefix_last1,Mohenjo-daro|SEAL:S|Bull1:W|803,M-714,3139.1,focus_tail,Mohenjo-daro,SEAL:S,Bull1:W,803,798 803,1,603,false,+740-585-017-033-705-233-798-803-002-861-603+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,prefix_last2,798 803,M-714,3139.1,focus_tail,Mohenjo-daro,SEAL:S,Bull1:W,803,798 803,1,603,false,+740-585-017-033-705-233-798-803-002-861-603+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,prefix_last1,803,M-77,2604.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,803,390 803,0,<END>,true,+832-390-803-002-861+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,prefix_last1,803,M-118,2645.1,bare_terminal_002_861,Mohenjo-daro,SEAL:S,Bull1:W,803,233 803,0,<END>,true,+740-772-033-705-233-803-002-861+
M-714,603,+740-585-017-033-705-233-798-803-002-861-603+,prefix_last1,803,M-714,3139.1,focus_tail,Mohenjo-daro,SEAL:S,Bull1:W,803,798 803,1,603,false,+740-585-017-033-705-233-798-803-002-861-603+
M-1273,603,+740-055-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:R|None,M-1954,2422.1,bare_terminal_002_861,Mohenjo-daro,SEAL:R,None,798,415 798,0,<END>,true,+740-407-590-031-752-033-705-220-415-798-002-861+
M-1273,603,+740-055-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:R|None,M-355,2851.1,other_tail_360-520-919-140,Mohenjo-daro,SEAL:R,None,235,231 235,4,360 520 919 140,false,+740-877-032-033-705-231-235-002-861-360-520-919-140+
M-1273,603,+740-055-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:R|None,M-376,2872.1,focus_tail,Mohenjo-daro,SEAL:R,None,176,100 176,2,533 717,false,+740-100-176-002-861-533-717+
M-1273,603,+740-055-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:R|None,M-391,2887.1,focus_tail,Mohenjo-daro,SEAL:R,None,805,233 805,2,533 717,false,+405-845-686-740-793-003-233-805-002-861-533-717+
M-1273,603,+740-055-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:R|None,M-1267,3574.1,bare_terminal_002_861,Mohenjo-daro,SEAL:R,None,175,720 175,0,<END>,true,+416-001-740-720-175-002-861+
M-1273,603,+740-055-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:R|None,M-1273,3580.1,focus_tail,Mohenjo-daro,SEAL:R,None,055,740 055,1,603,false,+740-055-002-861-603+
M-1273,603,+740-055-002-861-603+,site_type_symbol,Mohenjo-daro|SEAL:R|None,M-1973,4010.1,bare_terminal_002_861,Mohenjo-daro,SEAL:R,None,550,233 550,0,<END>,true,+740-575-017-233-550-002-861+
M-1273,603,+740-055-002-861-603+,site_type_symbol_prefix_last1,Mohenjo-daro|SEAL:R|None|055,M-1273,3580.1,focus_tail,Mohenjo-daro,SEAL:R,None,055,740 055,1,603,false,+740-055-002-861-603+
M-1273,603,+740-055-002-861-603+,prefix_last2,740 055,M-1273,3580.1,focus_tail,Mohenjo-daro,SEAL:R,None,055,740 055,1,603,false,+740-055-002-861-603+
M-1273,603,+740-055-002-861-603+,prefix_last1,055,M-1273,3580.1,focus_tail,Mohenjo-daro,SEAL:R,None,055,740 055,1,603,false,+740-055-002-861-603+
