"category","after_pair","count","dedup_texts","terminal","example_ids","example_texts"
"outside_a_220_x_032","002-820","3","3","false","2229.1;2236.1;3422.1","+740-760-072-921-032-002-820+ || +520-382-032-002-820-001-440-012+ || +740-100-415-070-032-002-820-000+"
"outside_a_220_x_032","840-233","3","3","false","1172.1;1471.1;2041.1","+740-032-840-233-240-033-706-055-002-595-575-794-000+ || +740-032-840-233-060-550+ || +740-032-840-233-220-032-060-825-002+"
"outside_a_220_x_032","904-<END>","3","3","false","1296.1;3779.1;3798.1","+740-585-017-240-002-305-032-904+ || +617-142-597-032-904+ || +904-032-904+"
"outside_a_220_x_032","840-679","3","1","false","1262.2;3976.2;4935.2","+740-032-840-679+ || +740-032-840-679+ || +740-032-840-679+"
"outside_a_220_x_032","002-817","3","2","false","1181.1;3681.1;3681.3","+740-384-032-002-817+ || +740-760-032-002-817+ || +740-760-032-002-817+"
"outside_a_220_x_032","033-706","2","2","false","2539.1;3115.1","+405-061-070-032-033-706-235-806-002-267-455+ || +740-923-070-032-033-706-231-242-002-861-901+"
"outside_a_220_x_032","033-705","2","2","false","2851.1;3673.1","+740-877-032-033-705-231-235-002-861-360-520-919-140+ || +790-032-033-705+"
"outside_a_220_x_032","059-<END>","2","2","false","1326.2;1796.1","+740-032-059+ || +400-740-032-059+"
"outside_a_220_x_032","840-235","2","2","false","3513.1;3925.1","+740-032-840-235-002-861+ || +740-032-840-235-002-817+"
"outside_a_220_x_032","032-700","2","1","false","628.1;876.1","+032-032-700+ || +032-032-700+"
"outside_a_220_x_032","000-000","2","2","false","112.1;5438.1","+032-031-740-384-032/000-000-840-634-032+ || +740-000-032-000-000+"
"outside_a_220_x_032","820-740","2","2","false","2975.3;2976.3","+921-100-415-904-017-032-820-740-904-741+ || +740-100-415-904-017-032-820-740-904-741+"
"outside_a_220_x_032","820-<END>","2","1","false","3868.1;3868.2","+130-032-820+ || +130-032-820+"
"outside_a_220_x_032","226-032","2","2","false","111.1;2336.1","+390-128-702-032/226-032-013-480-850+ || +865-032/226-032-700-605+"
"outside_a_220_x_032","233-803","2","2","false","1265.1;3650.1","+740-904-032-233-803+ || +740-861-032-233-803-002-820+"
"outside_a_220_x_032","235-<END>","2","2","false","2616.1;3872.1","+740-794-734-032-235+ || +740-877-032-235+"
"outside_a_220_x_032","740-335","2","1","false","370.2;1700.2","+700-032-740-335-575-413+ || +700-032-740-335-575-413+"
"outside_a_220_x_032","645-003","2","1","false","848.2;1821.1","+590-032-645-003+ || +590-032-645-003+"
"outside_a_220_x_032","840-220","2","2","false","2432.1;2938.1","+740-032-840-220+ || +740-032-840-220-002-861+"
"outside_a_220_x_032","032-<END>","2","2","false","964.1;3934.1","+032/032+ || +034-032-032+"
"outside_a_220_x_032","840-741","2","2","false","2640.1;2764.1","+740-032-840-741-060-920+ || +090-740-032-840-741-572-683+"
"outside_a_220_x_032","002-390","2","2","false","2598.1;3335.1","+226-032-002-390-692+ || +740-205-032-002-390-590-032+"
"outside_a_220_x_032","031-<END>","2","2","false","88.1;5290.1","+151-690/032-031+ || +032-031+"
"outside_a_220_x_032","900-003","2","2","false","1020.1;1182.1","+740-405-590-032-900-003-806-235-220-032-002-690-921+ || +405-032-900-003-070-002-233-235+"
"outside_a_220_x_032","840-267","1","1","false","2976.2","+032-840-267-150-741-070+"
"outside_a_220_x_032","803-<END>","1","1","false","3224.1","+226-032-803+"
"outside_a_220_x_032","798-742","1","1","false","2883.1","+226-032-798-742-060-920+"
"outside_a_220_x_032","776-625","1","1","false","1067.1","+317-890-001-032-776-625+"
"outside_a_220_x_032","741-861","1","1","false","2695.1","+740-923-406-061-070-032-741-861+"
"outside_a_220_x_032","741-550","1","1","false","2590.1","+226-032-741-550-000-551+"
"outside_a_220_x_032","741-527","1","1","false","3359.1","+740-390-590-032-741-527+"
"outside_a_220_x_032","741-390","1","1","false","2019.1","+865-685/226-032-741-390+"
"outside_a_220_x_032","741-208","1","1","false","3296.1","+740-927-032-741-208+"
"outside_a_220_x_032","741-<END>","1","1","false","829.2","+700-840-032-741+"
"outside_a_220_x_032","920-491","1","1","false","414.2","+032-920-491+"
"outside_a_220_x_032","740-904","1","1","false","4034.1","+820-000-032-740-904-002-861+"
"outside_a_220_x_032","923-382","1","1","false","2561.1","+740-032-923-382-233-002-112+"
"outside_a_220_x_032","740-002","1","1","false","2515.1","+832-390-032/000-032-740-002-820+"
"outside_a_220_x_032","716-<END>","1","1","false","1667.1","+740-803-741-031-032-716+"
"outside_a_220_x_032","999-002","1","1","false","5285.1","+032-999-002+"
"outside_a_220_x_032","700-605","1","1","false","2336.1","+865-032/226-032-700-605+"
"outside_a_220_x_032","999-032","1","1","false","4480.1","+032-999-032+"
"outside_a_220_x_032","700-601","1","1","false","771.1","+032-700-601+"
"outside_a_220_x_032","920-140","1","1","false","1066.1","+920-706-193-384-032-920-140-902+"
"outside_a_220_x_032","905-407","1","1","false","3047.1","+617-142-597-032-905/407-004-002-365-460-495+"
"outside_a_220_x_032","803-002","1","1","false","3295.1","+740-384-032-803-002-820+"
"outside_a_220_x_032","840-240","1","1","false","2939.1","+740-032-840-240-002-000+"
"outside_a_220_x_032","840-585","1","1","false","3190.1","+740-032-840-585-017-002-817+"
"outside_a_220_x_032","840-740","1","1","false","2413.1","+740-032-840-740-455-861+"
"outside_a_220_x_032","700-100","1","1","false","1227.3","+032-700-100-001+"
"outside_a_220_x_032","840-803","1","1","false","4184.1","+740-032-840-803+"
"outside_a_220_x_032","840-820","1","1","false","1144.1","+740-032-840-820+"
"outside_a_220_x_032","845-033","1","1","false","1171.1","+409-032-845-033-705-231-806-002-595-812-125-717+"
"outside_a_220_x_032","840-033","1","1","false","2486.1","+740-032-840-033-705-798+"
"outside_a_220_x_032","845-240","1","1","false","2193.1","+740-032-845-240-002-269-892-810-033+"
"outside_a_220_x_032","850-031","1","1","false","594.1","+032-850-031+"
"outside_a_220_x_032","832-032","1","1","false","1993.1","+000-000-000-000/032-832-032-002-415+"
"outside_a_220_x_032","820-920","1","1","false","2852.1","+400-595-420-125-032-820-920-140+"
"outside_a_220_x_032","820-877","1","1","false","3614.1","+032-820-877+"
"outside_a_220_x_032","820-140","1","1","false","2461.1","+032-820-140-005+"
"outside_a_220_x_032","820-100","1","1","false","1690.1","+032-820-100-415+"
"outside_a_220_x_032","900-563","1","1","false","2646.1","+151-337-484-002-390-125-632-032-900-563+"
"outside_a_220_x_032","820-000","1","1","false","4219.1","+032-820-000-900+"
"outside_a_220_x_032","900-853","1","1","false","2720.1","+298-350-590-032-900-853+"
"outside_a_220_x_032","803-220","1","1","false","116.1","+032-031-390-844-000-000-032-803-220+"
"outside_a_220_x_032","901-620","1","1","false","3621.1","+127-381-292-590-032-901-620+"
"outside_a_220_x_032","803-000","1","1","false","3514.1","+740-923-877-032-803-000-000+"
"outside_a_220_x_032","840-221","1","1","false","2975.2","+032-840-221-150-741-070-255+"
"outside_a_220_x_032","231-798","1","1","false","2585.1","+226-032-231-798-002-693+"
"outside_a_220_x_032","690-368","1","1","false","463.1","+700-032-690-368-817+"
"outside_a_220_x_032","692-<END>","1","1","false","2661.1","+872-032-692+"
"outside_a_220_x_032","033-000","1","1","false","3840.1","+400-740-760-032-033-000-550+"
"outside_a_220_x_032","031-850","1","1","false","72.1","+032-031/850-032-530-740-741-456+"
"outside_a_220_x_032","031-592","1","1","false","64.1","+842-032-031-592-031-060-920+"
"outside_a_220_x_032","031-390","1","1","false","116.1","+032-031-390-844-000-000-032-803-220+"
"outside_a_220_x_032","031-151","1","1","false","70.1","+032-031/151-740-240-235+"
"outside_a_220_x_032","031-046","1","1","false","2158.1","+741-032/031-046+"
"outside_a_220_x_032","029-002","1","1","false","5235.1","+740-032-029-002-281+"
"outside_a_220_x_032","029-<END>","1","1","false","2267.1","+032-029+"
"outside_a_220_x_032","015-<END>","1","1","false","490.2","+400-740-032-015+"
"outside_a_220_x_032","014-<END>","1","1","false","640.2","+400-740-032-014+"
"outside_a_220_x_032","013-480","1","1","false","111.1","+390-128-702-032/226-032-013-480-850+"
"outside_a_220_x_032","002-900","1","1","false","3657.1","+032-002-900-285+"
"outside_a_220_x_032","002-892","1","1","false","125.1","+394-032-002-892-740+"
"outside_a_220_x_032","002-454","1","1","false","2863.1","+001-226-032-002-454+"
"outside_a_220_x_032","002-415","1","1","false","1993.1","+000-000-000-000/032-832-032-002-415+"
"outside_a_220_x_032","002-252","1","1","false","2670.1","+740-205-032-002-252-840+"
"outside_a_220_x_032","002-000","1","1","false","3922.1","+740-904-032-002-000+"
"outside_a_220_x_032","001-505","1","1","false","3301.1","+151-031-090-032-001-505+"
"outside_a_220_x_032","001-223","1","1","false","2135.1","+233-226-032-001-223-575+"
"outside_a_220_x_032","001-220","1","1","false","5224.1","+000-061-032-001-220-033-000+"
"outside_a_220_x_032","001-000","1","1","false","1046.1","+035/032-001-000/033+"
"outside_a_220_x_032","000-140","1","1","false","3637.1","+400-032-000-140+"
"outside_a_220_x_032","000-091","1","1","false","697.1","+700-032-000-091+"
"outside_a_220_x_032","000-032","1","1","false","2515.1","+832-390-032/000-032-740-002-820+"
"outside_a_220_x_032","060-013","1","1","false","1370.1","+400-740-032-060-013+"
"outside_a_220_x_032","060-201","1","1","false","2448.1","+740-390-590-032-060-201+"
"outside_a_220_x_032","055-001","1","1","false","3613.1","+740-032-055-001-407-004+"
"outside_a_220_x_032","060-572","1","1","false","2390.1","+298-350-761-032-060-572+"
"outside_a_220_x_032","595-090","1","1","false","3823.1","+705-032-595-090-175+"
"outside_a_220_x_032","545-<END>","1","1","false","2605.1","+740-344-032-545+"
"outside_a_220_x_032","530-740","1","1","false","72.1","+032-031/850-032-530-740-741-456+"
"outside_a_220_x_032","521-<END>","1","1","false","2532.1","+717-032-521+"
"outside_a_220_x_032","520-919","1","1","false","2342.1","+520-070-219-002-861-032-520-919-140+"
"outside_a_220_x_032","515-<END>","1","1","false","4304.2","+000-032-515+"
"outside_a_220_x_032","480-<END>","1","1","false","2138.1","+877-032-480+"
"outside_a_220_x_032","390-<END>","1","1","false","1717.2","+700-032-390+"
"outside_a_220_x_032","388-002","1","1","false","4237.1","+151-032-388-002-390-705+"
"outside_a_220_x_032","368-390","1","1","false","109.1","+440-390-032/368-390-790+"
"outside_a_220_x_032","060-550","1","1","false","2826.1","+740-904-032-060-550+"
"outside_a_220_x_032","320-<END>","1","1","false","3685.1","+000-000-000-798-002-817-032-320+"
"outside_a_220_x_032","257-840","1","1","false","1663.1","+032-257-840+"
"outside_a_220_x_032","368-<END>","1","1","false","1885.1","+740-690-435-255-002-368-861-590-032-368+"
"outside_a_220_x_032","233-<END>","1","1","false","2741.1","+740-877-032-233+"
"outside_a_220_x_032","060-573","1","1","false","3166.1","+090-850-032-060-573+"
"outside_a_220_x_032","060-891","1","1","false","2349.1","+226-032-060-891+"
"outside_a_220_x_032","235-060","1","1","false","2584.1","+740-877-032-235-060-550-611-840+"
"outside_a_220_x_032","091-<END>","1","1","false","5228.1","+033-001-032-091+"
"outside_a_220_x_032","142-<END>","1","1","false","765.2","+511-032-142+"
"outside_a_220_x_032","063-<END>","1","1","false","2053.1","+390-700-790-032-063+"
"outside_a_220_x_032","165-000","1","1","false","1054.2","+740-032-165-000+"
"outside_a_220_x_032","171-745","1","1","false","2329.1","+031-032-171-745+"
"outside_a_220_x_032","190-<END>","1","1","false","2577.1","+527-550-240-220-032-002-300-350-032-190+"
"outside_a_220_x_032","220-415","1","1","false","2580.1","+740-904-032-220-415-235-803-002-504-717+"
"outside_a_220_x_032","154-806","1","1","false","2867.1","+617-142-384-032-154-806-467+"
"target_240_220_032","<END>","2","2","true","920.1;2837.1","+520-233-240-220-032+ || +740-812-033-240-220-032+"
"target_240_220_032","002-861","2","2","false","62.1;2763.1","+000-100-240-220-032-002-861+ || +520-240-220-032-002-861-603+"
"target_240_220_032","368-263","1","1","false","3081.1","+520-033-706-240-220-032-368-263+"
"target_240_220_032","002-300","1","1","false","2577.1","+527-550-240-220-032-002-300-350-032-190+"
"target_240_220_032","002-817","1","1","false","3146.1","+740-585-240-220-032-002-817+"
"target_240_220_032","002-820","1","1","false","2417.1","+161-055-240-220-032-002-820+"
"target_240_220_032","806-<END>","1","1","false","3572.1","+740-055-240-220-032-806+"
