"site","type","prev","next","frame","text","row_count","ids","cisis","sites","types","materials","companion_classes","prev_is_240","next_is_032","no_companion_side"
"Harappa","SEAL:R","630","002","630-220-002","+405-061-033-706-794-630-220-002-820+","1","1190.1","H-149","Harappa","SEAL:R","Steatite","no_companion_side","false","false","true"
"Harappa","SEAL:R","740","032","740-220-032","+740-220-032+","1","1584.1","H-669","Harappa","SEAL:R","Steatite","no_companion_side","false","true","true"
"Harappa","SEAL:S","<START>","016","<START>-220-016","+220-016+","1","318.1","H-1028","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"Harappa","SEAL:S","<START>","017","<START>-220-017","+220-017+","1","1070.1","H-9","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"Harappa","SEAL:S","<START>","063","<START>-220-063","+220-063-051+","1","1065.1","H-4","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"Harappa","SEAL:S","<START>","500","<START>-220-500","+220-500-520-002-862-032+","1","293.1","H-1033","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"Harappa","SEAL:S","000","002","000-220-002","+000-220-002-595-632-354-850+","1","1399.1","H-385","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"Harappa","SEAL:S","000","002","000-220-002","+740-923-000-220-002-817+","1","223.1","H-1042","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"Harappa","SEAL:S","002","455","002-220-455","+390-017-002-220-455-741+","1","1139.1","H-82","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"Harappa","SEAL:S","002","455","002-220-455","+740-585-017-033-706-803-002-220-455-920+","1","1293.1","H-268","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"Harappa","SEAL:S","017","415","017-220-415","+740-575-017-220-415-803+","1","1536.1","H-592","Harappa","SEAL:S","-","no_companion_side","false","false","true"
"Harappa","SEAL:S","055","415","055-220-415","+740-482-055-220-415-798-803-742-617+","1","1294.1","H-270","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"Harappa","SEAL:S","140","530","140-220-530","+140-220/530+","1","1548.1","H-608","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"Harappa","SEAL:S","151","016","151-220-016","+151-220-016-002-820+","1","1491.1","H-514","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"Harappa","SEAL:S","233","032","233-220-032","+161-233-220-032-741-831+","1","1416.1","H-412","Harappa","SEAL:S","Steatite","no_companion_side","false","true","true"
"Harappa","SEAL:S","233","032","233-220-032","+740-717-233-220-032+","1","1544.1","H-601","Harappa","SEAL:S","Clay","no_companion_side","false","true","true"
"Harappa","SEAL:S","235","032","235-220-032","+740-405-590-032-900-003-806-235-220-032-002-690-921+","1","1020.1","H-1657","Harappa","SEAL:S","Steatite","no_companion_side","false","true","true"
"Harappa","SEAL:S","240","032","240-220-032","+520-233-240-220-032+","1","920.1","H-1678","Harappa","SEAL:S","Steatite","no_companion_side","true","true","true"
"Harappa","SEAL:S","241","032","241-220-032","+241-220-032-002-861+","1","1434.1","H-444","Harappa","SEAL:S","-","no_companion_side","false","true","true"
"Harappa","SEAL:S","255","032","255-220-032","+740-176-690-435-255-220-032-806-060-550+","1","1080.1","H-20","Harappa","SEAL:S","Steatite","no_companion_side","false","true","true"
"Harappa","SEAL:S","518","416","518-220-416","+156-176-518-220-416-002-615+","1","1148.1","H-92","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"Harappa","SEAL:S","520","016","520-220-016","+861-920/520-220-016+","1","1153.1","H-98","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"Harappa","SEAL:S","520","240","520-220-240","+520-220-240-798-060-692+","1","199.1","H-423","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"Harappa","SEAL:S","520","415","520-220-415","+520-220-415-060-920+","1","479.1","H-1669","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"Harappa","SEAL:S","717","415","717-220-415","+159-097/520-033-705/740-717-220-415-806+","1","1169.1","H-103","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"Harappa","SEAL:S","740","000","740-220-000","+090-740-220-000-000-000-000+","1","576.1","H-1685","Harappa","SEAL:S","-","no_companion_side","false","false","true"
"Harappa","SEAL:S","740","003","740-220-003","+090-740-220-003-002-390-072+","1","1127.1","H-68","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"Harappa","SEAL:S","740","003","740-220-003","+400-090-740-220-003+","1","237.1","H-1056","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"Harappa","SEAL:S","740","032","740-220-032","+090-740-220-032+","1","1480.1","H-502","Harappa","SEAL:S","Steatite","no_companion_side","false","true","true"
"Harappa","SEAL:S","760","003","760-220-003","+151-760-220-003-002-861+","1","303.1","H-1043","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"Harappa","SEAL:S","798","742","798-220-742","+740-798-220-742-146+","1","1095.1","H-36","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"Harappa","SEAL:S","803","240","803-220-240","+740-690-435-255-803-220-240-235-002-817+","1","1073.1","H-12","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"Harappa","TAB:B","<START>","000","<START>-220-000","+220-000-000-000+","1","925.2","H-1838","Harappa","TAB:B","Faience","longer_other","false","false","false"
"Harappa","TAB:B","<START>","000","<START>-220-000","+220-000-700-033+","1","824.2","H-1775","Harappa","TAB:B","Faience","longer_other","false","false","false"
"Harappa","TAB:B","<START>","000","<START>-220-000","+220-000-700+","1","595.1","H-1892","Harappa","TAB:B","Faience","two_sign_other","false","false","false"
"Harappa","TAB:B","000","000","000-220-000","+400-202-000-220-000+","1","3964.1","H-1103","Harappa","TAB:B","Steatite","no_companion_side","false","false","true"
"Harappa","TAB:B","000","000","000-220-000","+442-000-220-000+","1","1686.2","H-795","Harappa","TAB:B","-","700_033_branch","false","false","false"
"Harappa","TAB:B","000","004","000-220-004","+740-000-220-004-002-390-095+","1","744.2","H-1993","Harappa","TAB:B","Clay","700_033_branch","false","false","false"
"Harappa","TAB:B","002","455","002-220-455","+002-220-455-000+","1","388.2","H-1874","Harappa","TAB:B","Faience","700_034_branch","false","false","false"
"Harappa","TAB:B","176","235","176-220-235","+740-176-220-235+","7","1695.2;1696.2;1697.2;3970.2;3971.2;729.1;937.1","H-1130;H-1131;H-2010;H-2011;H-806;H-807;H-808","Harappa","TAB:B","-;Clay;Faience","longer_other","false","false","false"
"Harappa","TAB:B","318","415","318-220-415","+740-407-590-690-436-255-920-318-220-415-803+","11","1300.1;1301.1;1302.1;1303.1;1304.1;1305.1;1306.1;1754.1;1755.1;1756.1;291.1","-;H-278;H-279;H-280;H-281;H-282;H-283;H-284;H-871;H-872;H-873","Harappa","TAB:B","-;Clay;Steatite","no_companion_side","false","false","true"
"Harappa","TAB:B","520","016","520-220-016","+400-520-220-016+","2","1680.1;258.1","H-1121;H-789","Harappa","TAB:B","Faience","700_033_branch","false","false","false"
"Harappa","TAB:B","520","240","520-220-240","+520-220-240-002-820+","1","1258.1","H-231","Harappa","TAB:B","Faience","700_033_branch","false","false","false"
"Harappa","TAB:B","520","415","520-220-415","+520-220-415-240-803+","1","485.2","H-1953","Harappa","TAB:B","Clay","700_032_branch","false","false","false"
"Harappa","TAB:B","520","415","520-220-415","+520-220-415+","3","1677.2;913.1;913.2","H-1992;H-786","Harappa","TAB:B","-;Faience","companion_starts_520_220;longer_other","false","false","false"
"Harappa","TAB:B","740","415","740-220-415","+400-740-220-415-798+","3","1234.1;1641.1;1659.1","H-203;H-748;H-767","Harappa","TAB:B","Clay;Faience","700_033_branch;no_companion_side","false","false","false"
"Harappa","TAB:B","892","920","892-220-920","+400-202-892-220-920+","2","1216.1;1217.1","H-183;H-184","Harappa","TAB:B","-;Steatite","no_companion_side","false","false","true"
"Harappa","TAB:I","<START>","233","<START>-220-233","+220-233+","1","416.1","H-2035","Harappa","TAB:I","Steatite","no_companion_side","false","false","true"
"Harappa","TAB:I","<START>","700","<START>-220-700","+220-700-004+","3","1324.1;1793.2;4056.2","H-1191;H-302;H-912","Harappa","TAB:I","-;Steatite","longer_other","false","false","false"
"Harappa","TAB:I","000","415","000-220-415","+000-220-415+","1","1849.1","H-972","Harappa","TAB:I","Steatite","no_companion_side","false","false","true"
"Harappa","TAB:I","074","415","074-220-415","+074-220-415+","1","827.2","H-2145","Harappa","TAB:I","Steatite","700_034_branch","false","false","false"
"Harappa","TAB:I","455","032","455-220-032","+710-455-220-032+","1","1830.1","H-950","Harappa","TAB:I","Steatite","700_033_branch","false","true","false"
"Harappa","TAB:I","520","016","520-220-016","+520-220-016+","1","1822.1","H-942","Harappa","TAB:I","Steatite","700_033_branch","false","false","false"
"Harappa","TAB:I","520","415","520-220-415","+520-220-415+","13","1341.1;1366.1;1383.1;1818.1;1819.2;1820.1;1821.2;221.1;4069.1;481.1;816.1;841.1;848.1","H-1284;H-1326;H-2146;H-2148;H-2149;H-2240;H-319;H-346;H-364;H-938;H-939;H-940;H-941","Harappa","TAB:I","-;Steatite","700_032_branch;700_034_branch;700_other_branch;longer_other;no_companion_side;one_sign_or_contains_110;two_sign_other","false","false","false"
"Harappa","TAB:I","700","004","700-220-004","+700-220-004+","1","311.2","H-1192","Harappa","TAB:I","Steatite","longer_other","false","false","false"
"Harappa","TAB:I","740","416","740-220-416","+400-760-740-220-416+","1","1324.2","H-302","Harappa","TAB:I","Steatite","700_other_branch","false","false","false"
"Harappa","TAB:I","760","416","760-220-416","+400-740-760-220-416+","2","1793.1;4056.1","H-1191;H-912","Harappa","TAB:I","-;Steatite","700_other_branch","false","false","false"
"Harappa","TAB:I","767","416","767-220-416","+400-740-767-220-416+","1","311.1","H-1192","Harappa","TAB:I","Steatite","700_other_branch","false","false","false"
"Kalibangan","SEAL:S","000","003","000-220-003","+000-000-220-003+","1","1883.1","K-8","Kalibangan","SEAL:S","Steatite","no_companion_side","false","false","true"
"Kalibangan","SEAL:S","000","741","000-220-741","+000-031-003/000-220-741-703-632+","1","1889.1","K-14","Kalibangan","SEAL:S","Steatite","no_companion_side","false","false","true"
"Kalibangan","SEAL:S","001","455","001-220-455","+740-100-176-838-001-220-455-530-741+","1","1882.1","K-7","Kalibangan","SEAL:S","Steatite","no_companion_side","false","false","true"
"Kalibangan","SEAL:S","002","065","002-220-065","+520-231-002-220-065-132-082+","1","1899.1","K-25","Kalibangan","SEAL:S","Steatite","no_companion_side","false","false","true"
"Kalibangan","SEAL:S","231","032","231-220-032","+740-585-231-220-032-002-820+","1","5273.1","K-145","Kalibangan","SEAL:S","-","no_companion_side","false","true","true"
"Kalibangan","SEAL:S","520","006","520-220-006","+520-220-006+","1","5277.1","K-150","Kalibangan","SEAL:S","Steatite","no_companion_side","false","false","true"
"Kalibangan","SEAL:S","740","003","740-220-003","+515-740-220-003-900+","1","1884.1","K-9","Kalibangan","SEAL:S","Steatite","no_companion_side","false","false","true"
"Kalibangan","SEAL:S","785","335","785-220-335","+871-947/400-740-543-350-895-785-220-335+","1","1890.1","K-15","Kalibangan","SEAL:S","Steatite","no_companion_side","false","false","true"
"Karzakan","SEAL:C","<START>","455","<START>-220-455","+220-455-031-091+","1","5227.1","-","Karzakan","SEAL:C","-","no_companion_side","false","false","true"
"Kish","SEAL:S","590","003","590-220-003","+740-390-590-220-003-060-840-416+","1","1971.1","-","Kish","SEAL:S","-","no_companion_side","false","false","true"
"Kot-Diji","POT:T:g","031","000","031-220-000","+031-220-000-741-850-001-111-003+","1","1972.1","Kd-7","Kot-Diji","POT:T:g","Clay","no_companion_side","false","false","true"
"Lothal","SEAL:R","233","032","233-220-032","+740-032-840-233-220-032-060-825-002+","1","2041.1","L-87","Lothal","SEAL:R","Steatite","no_companion_side","false","true","true"
"Lothal","SEAL:R","520","415","520-220-415","+520-220-415-519+","1","2052.1","L-98","Lothal","SEAL:R","Steatite","no_companion_side","false","false","true"
"Lothal","SEAL:R","904","032","904-220-032","+740-407-590-904-220-032-803-060-920+","1","2063.1","L-114","Lothal","SEAL:R","Steatite","no_companion_side","false","true","true"
"Lothal","SEAL:S","236","741","236-220-741","+411-440-236-220-741-634+","1","2016.1","L-45","Lothal","SEAL:S","Steatite","no_companion_side","false","false","true"
"Lothal","SEAL:S","904","032","904-220-032","+000-904-220-032-000-000-000+","1","2032.5","L-66","Lothal","SEAL:S","Steatite","one_sign_other","false","true","false"
"Lothal","TAG","233","240","233-220-240","+520-233-220-240-002-617+","1","2077.1","L-134","Lothal","TAG","Clay","no_companion_side","false","false","true"
"Lothal","TAG","388","004","388-220-004","+740-388-220-004-060-920+","1","2085.1","L-143","Lothal","TAG","-","no_companion_side","false","false","true"
"Lothal","TAG","740","055","740-220-055","+090-740-220-055-001-741-500-705+","5","2072.1;2112.1;2113.1;2115.1;2117.1","L-129;L-190;L-191;L-193;L-197","Lothal","TAG","Clay","longer_other;no_companion_side;one_sign_other;two_sign_other","false","false","false"
"Lothal","TAG:L","740","055","740-220-055","+090-740-220-055-001-741-500-705+","5","2068.1;2069.1;2070.1;2071.1;5388.1","L-124;L-125;L-126;L-127;L-128","Lothal","TAG:L","Clay","no_companion_side","false","false","true"
"Lothal","TAG:W","740","055","740-220-055","+090-740-220-055-001-741-500-705+","1","2125.1","L-206","Lothal","TAG:W","Clay","no_companion_side","false","false","true"
"Mohenjo-daro","BNGL","440","413","440-220-413","+440-220-413+","1","3826.1","M-1632","Mohenjo-daro","BNGL","Stoneware","no_companion_side","false","false","true"
"Mohenjo-daro","POT:T:g","241","235","241-220-235","+241-220-235-803+","1","3800.1","M-1576","Mohenjo-daro","POT:T:g","Clay","no_companion_side","false","false","true"
"Mohenjo-daro","ROD","000","415","000-220-415","+400-000-220-415+","2","4042.1;4044.1","M-2109;M-2111","Mohenjo-daro","ROD","Ivory","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL","240","002","240-220-002","+740-760-440-240-220-002-861+","1","2277.1","M-1990","Mohenjo-daro","SEAL","Steatite","no_companion_side","true","false","true"
"Mohenjo-daro","SEAL:R","<START>","786","<START>-220-786","+220-786-255+","1","2910.1","M-414","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:R","055","032","055-220-032","+740-055-220-032-798-002-820+","1","2877.1","M-381","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:R","140","415","140-220-415","+031-625-140-220-415+","1","2908.1","M-412","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:R","233","032","233-220-032","+740-100-233-220-032-002-820+","1","2871.1","M-375","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:R","240","032","240-220-032","+740-055-240-220-032-806+","1","3572.1","M-1265","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","true","true","true"
"Mohenjo-daro","SEAL:R","240","415","240-220-415","+740-690-435-255-240-220-415-806-742-060-920+","1","2865.1","M-369","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","true","false","true"
"Mohenjo-daro","SEAL:R","371","415","371-220-415","+406-371-220-415-803-742-920-320+","1","3651.1","M-1350","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:R","440","032","440-220-032","+740-752-440-220-032-798+","1","3582.1","M-1275","Mohenjo-daro","SEAL:R","-","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:R","520","415","520-220-415","+520-220-415-798+","1","2891.1","M-395","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:R","590","032","590-220-032","+740-405-590-220-032-806+","1","2888.1","M-392","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:R","590","235","590-220-235","+740-405-590-220-235-803-002-388-385-705-632+","1","2855.1","M-359","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:R","705","415","705-220-415","+527-550-033-705-220-415-060-550+","1","2861.1","M-365","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:R","705","415","705-220-415","+740-407-590-031-752-033-705-220-415-798-002-861+","1","2422.1","M-1954","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:R","706","415","706-220-415","+000-550-033-706-220-415-798+","1","2360.1","M-1971","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:R","717","415","717-220-415","+100-904-717-220-415-806-742+","1","2480.1","M-1985","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:R","740","003","740-220-003","+740-220-003+","2","3722.1;3724.1","M-1441;M-1443","Mohenjo-daro","SEAL:R","-","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:R","740","032","740-220-032","+679-740-220-032-806-001-595-575-001-095+","1","3427.1","M-1052","Mohenjo-daro","SEAL:R","-","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:R","790","415","790-220-415","+740-900-790-220-415-798-806+","1","2234.1","M-1956","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","<START>","065","<START>-220-065","+220-065-864+","1","2678.1","M-151","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","<START>","455","<START>-220-455","+220-455-125-031+","1","2195.1","M-1749","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","000","032","000-220-032","+000-000-220-032+","1","2501.1","M-1812","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:S","000","032","000-220-032","+000-220-032-002-817+","1","3989.1","M-1788","Mohenjo-daro","SEAL:S","-","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:S","001","415","001-220-415","+740-760-001-220-415-798-803+","1","2377.1","M-707","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","001","786","001-220-786","+405-018-001-220-786-850+","1","2697.1","M-172","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","002","065","002-220-065","+740-336-002-220-065-440-455+","1","2667.1","M-140","Mohenjo-daro","SEAL:S","Faience","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","002","065","002-220-065","+740-798-240-235-002-220-065-215+","1","2574.1","M-46","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","002","455","002-220-455","+226-803-002-220-455-520+","1","2674.1","M-147","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","002","455","002-220-455","+740-055-240-235-806-002-220-455-503+","1","2557.1","M-29","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","002","880","002-220-880","+740-717-233-002-220-880-689+","1","3097.1","M-655","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","032","002","032-220-002","+740-803-220-032-220-002-820+","1","2292.1","M-1706","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","032","415","032-220-415","+740-904-032-220-415-235-803-002-504-717+","1","2580.1","M-52","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","060","004","060-220-004","+520-033-706-060-220-004+","1","2592.1","M-64","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","060","065","060-220-065","+740-575-017-060-220-065-374+","1","3268.1","M-856","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","070","032","070-220-032","+520-070-220-032-240-838-741-958-220-278+","1","2403.1","M-1690","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:S","094","032","094-220-032","+740-094-220-032-002-144+","1","2657.1","M-130","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:S","100","002","100-220-002","+090-740-100-220-002-031-165+","1","2735.1","M-211","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","100","032","100-220-032","+090-740-100-220-032-741-361+","1","3092.1","M-648","Mohenjo-daro","SEAL:S","-","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:S","140","001","140-220-001","+565-031-416-140-220-001+","1","2332.1","M-1741","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","176","415","176-220-415","+740-176-220-415-798+","1","3338.1","M-943","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","176","415","176-220-415","+740-760-175-176-220-415-798-002-299-530-820+","1","3074.1","M-623","Mohenjo-daro","SEAL:S","-","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","176","803","176-220-803","+140-165-740-176-220-803+","1","2772.1","M-249","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","231","002","231-220-002","+520-033-705-231-220-002-817+","1","3278.1","M-868","Mohenjo-daro","SEAL:S","-","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","231","455","231-220-455","+740-000-231-220-455-615-689+","1","2589.1","M-61","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","232","032","232-220-032","+232-220-032-002-168-032+","1","3519.1","M-1159","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:S","233","002","233-220-002","+000-233-220-002-861+","1","2357.3","M-1928","Mohenjo-daro","SEAL:S","Steatite","longer_other;two_sign_other","false","false","false"
"Mohenjo-daro","SEAL:S","233","415","233-220-415","+740-390-590-233-220-415-798-838-002-820+","1","3305.1","M-900","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"Mohenjo-daro","SEAL:S","235","032","235-220-032","+527-555-235-220-032-002-000-216+","1","3085.1","M-636","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:S","235","032","235-220-032","+740-460-510-235-220-032-002-861+","1","3147.1","M-723","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:S","236","032","236-220-032","+031-850-140-236-220-032-803-002-820+","1","3150.1","M-726","Mohenjo-daro","SEAL:S","-","no_companion_side","false","true","true"
"Mohenjo-daro","SEAL:S","240","032","240-220-032","+161-055-240-220-032-002-820+","1","2417.1","M-1728","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","true","true","true"
"Mohenjo-daro","SEAL:S","240","032","240-220-032","+520-033-706-240-220-032-368-263+","1","3081.1","M-631","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","true","true","true"
"Mohenjo-daro","SEAL:S","240","032","240-220-032","+520-240-220-032-002-861-603+","1","2763.1","M-240","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","true","true","true"
"Mohenjo-daro","SEAL:S","240","032","240-220-032","+527-550-240-220-032-002-300-350-032-190+","1","2577.1","M-49","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","true","true","true"
"Mohenjo-daro","SEAL:S","240","032","240-220-032","+740-585-240-220-032-002-817+","1","3146.1","M-722","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","true","true","true"
