x_sign,x240_rows,distinct_after240_subframes,dominant_after240_subframe,dominant_share,migration_class,register_cells,formula_families,source_cells,prefixes,after240_counts,post_002_861_tail_initial_rows,post_002_861_tail_families,post_002_861_register_cells,x240_examples,post861_examples
630,3,3,031 032 171,1/3,migrates_across_subframes,3,3,3,740:2;690:1,031 032 171:1;741 861:1;<END>:1,0,0,0,H-2192 +740-630-240-031-032-171+;H-102 +740-630-240-741-861+;H-321 +740-690-630-240+,
643,3,2,<END>,2/3,migrates_across_subframes,3,3,3,740:2;000:1,<END>:2;002 861:1,0,0,0,H-51 +740-643-240-002-861+;- +000-643-240+;M-1719 +740-643-240+,
760,3,1,<END>,3/3,locked_duplicate_family,1,1,1,740:3,<END>:3,0,0,0,H-2076 +740-760-240+;H-2077 +740-760-240+;H-903 +740-760-240+,
923,3,3,235 060 820,1/3,migrates_across_subframes,3,3,3,740:3,235 060 820:1;235 806:1;002 817:1,0,0,0,M-1760 +740-923-240-235-060-820+;M-405 +740-923-240-235-806+;M-1166 +740-923-240-002-817+,
000,2,1,<END>,2/2,locked_single_subframe,2,2,2,000:1;740:1,<END>:2,1,1,1,M-477 +840-000-000-240+;M-1231 +740-000-240+,Ad-8 +740-440-503-002-861-000+
455,2,2,235 060 820,1/2,migrates_across_subframes,2,2,2,740:2,235 060 820:1;235:1,0,0,0,M-808 +740-455-240-235-060-820+;M-1096 +740-455-240-235+,
637,2,2,<END>,1/2,migrates_across_subframes,2,2,2,740:2,<END>:1;002 861:1,0,0,0,H-983 +400-740-637-240+;- +740-637-240-002-861+,
773,2,2,235 060 692,1/2,migrates_across_subframes,1,2,1,740:2,235 060 692:1;002 861 031:1,0,0,0,M-5 +740-773-240-235-060-692+;M-706 +740-773-240-002-861-031+,
798,2,2,060 111 166,1/2,migrates_across_subframes,2,2,2,740:2,060 111 166:1;235 002 220:1,0,0,0,L-26 +740-798-240-060-111-166+;M-46 +740-798-240-235-002-220-065-215+,
152,1,1,<END>,1/1,singleton,1,1,1,740:1,<END>:1,0,0,0,H-2189 +400-740-152-240+,
235,1,1,<END>,1/1,singleton,1,1,1,740:1,<END>:1,0,0,0,H-954 +090-740-235-240+,
440,1,1,001 820,1/1,singleton,1,1,1,740:1,001 820:1,0,0,0,H-411 +740-440-240-001-820+,
585,1,1,220 032 002,1/1,singleton,1,1,1,740:1,220 032 002:1,0,0,0,M-722 +740-585-240-220-032-002-817+,
639,1,1,002 435 255,1/1,singleton,1,1,1,740:1,002 435 255:1,0,0,0,H-598 +740-639-240-002-435-255-777+,
765,1,1,001 368 920,1/1,singleton,1,1,1,740:1,001 368 920:1,0,0,0,M-84 +740-765-240-001-368-920+,
806,1,1,002 820,1/1,singleton,1,1,1,740:1,002 820:1,0,0,0,L-83 +740-806-240-002-820+,
835,1,1,235 031 900,1/1,singleton,1,1,1,000:1,235 031 900:1,0,0,0,C-40 +740-000-835-240-235-031-900-066+,
927,1,1,031,1/1,singleton,1,1,1,740:1,031:1,0,0,0,M-951 +740-927-240-031+,
