checked_date,count_matched_rank,branch,frames,terminal,continuing,continuing_share,one_complement,one_complement_share,distinct_heads,distinct_sites,heads,sites,first_tails,decision,examples
2026-05-31,26,350,7,3,4,0.571429,0,0.000000,6,3,297:2;000:1;031:1;125:1;300:1;301:1,Mohenjo-daro:5;Bala-kot:1;Nausharo:1,<END>:3;125:2;032:1;550:1,baseline,Blk-1:+226-003-002-297-350-125-413+ | M-49:+527-550-240-220-032-002-300-350-032-190+ | M-106:+740-760-000-002-000-350+ | M-242:+740-721-002-301-350+ | M-251:+390-003-002-125-350+ | M-739:+090-740-100-415-002-031-350-550-692+ | Ns-60:+407-063-740-176-236-798-002-297-350-125-413+
2026-05-31,27,575,6,5,1,0.166667,0,0.000000,5,4,031:2;252:1;374:1;463:1;595:1,Dholavira:2;Mohenjo-daro:2;Harappa:1;Kalibangan:1,<END>:5;794:1,baseline,H-131:+740-032-840-233-240-033-706-055-002-595-575-794-000+ | K-24:+740-760-093-002-252-575+ | M-318:+390-003-002-031-575+ | M-665:+871-740-643/740-798-463-350-002-374-575+ | -:4203.1:+463-513/390-017-002-463-575+ | -:5579.1:]231-226-002-031-575+
2026-05-31,28,140,3,3,0,0.000000,0,0.000000,3,1,287:1;390:1;906:1,Mohenjo-daro:3,<END>:3,baseline,M-24:+090-740-240-235-002-906-140+ | M-109:+740-879-220-415-002-287-140+ | M-708:+740-061-002-390-140+
2026-05-31,29,165,3,3,0,0.000000,0,0.000000,3,1,031:1;111:1;368:1,Mohenjo-daro:3,<END>:3,baseline,M-95:+390-003-002-111-165+ | M-211:+090-740-100-220-002-031-165+ | M-311:+401-002-368-165+
2026-05-31,30,491,3,3,0,0.000000,0,0.000000,3,3,285:1;850:1;920:1,Harappa:1;Kalibangan:1;Mohenjo-daro:1,<END>:3,baseline,H-811:+317-740-335-740-176-002-920-491+ | K-28:+440-411-740-335-002-285-491+ | M-325:+241-803-002-850-491+
2026-05-31,31,632,3,2,1,0.333333,0,0.000000,3,2,244:1;460:1;595:1,Mohenjo-daro:2;Harappa:1,<END>:2;354:1,baseline,H-385:+000-220-002-595-632-354-850+ | M-845:+000-061-002-460-632+ | M-1188:]000/000-125-632-032/240-002-244-632+
2026-05-31,32,820,3,3,0,0.000000,0,0.000000,3,2,031:1;060:1;717:1,Mohenjo-daro:2;Kalibangan:1,<END>:3,baseline,M-1667:+740-690-435-255-220-032-002-717-820+ | M-1369:]000-055-592-140-832-002-060-820[ | K-429:]002-031-820[
2026-05-31,33,741,4,4,0,0.000000,0,0.000000,2,3,298:2;820:2,Mohenjo-daro:2;Chanhu-daro:1;Unknown:1,<END>:4,baseline,C-5:+740-140-717-002-298-741+ | M-160:+151-243-031-002-820-741+ | M-1119:+740-803-002-820-741+ | -:5572.1:+136-002-298-741+
2026-05-31,34,095,3,3,0,0.000000,0,0.000000,2,3,390:2;812:1,Harappa:1;Lothal:1;Mohenjo-daro:1,<END>:3,baseline,H-1993:+740-000-220-004-002-390-095+ | L-1:+527-550-233-002-812-095+ | M-71:+151-279-142-002-390-095+
2026-05-31,35,260,3,3,0,0.000000,0,0.000000,2,2,368:2;940:1,Mohenjo-daro:2;Harappa:1,<END>:3,baseline,H-600:+002-368-260+ | M-1789:+740-455-002-368-260+ | M-107:+740-565-233-002-940-260+
2026-05-31,36,892,3,2,1,0.333333,0,0.000000,2,2,031:2;269:1,Mohenjo-daro:2;Harappa:1,<END>:2;810:1,baseline,H-44:+520-033-706-235-798-803-002-031-892+ | M-1766:+740-032-845-240-002-269-892-810-033+ | M-1745:+368-821-055-031-002-031-892+
2026-05-31,37,033,2,2,0,0.000000,0,0.000000,2,2,093:1;820:1,Kalibangan:1;Mohenjo-daro:1,<END>:2,baseline,K-23:+740-441-002-820-033+ | M-1765:+215-031-480-140-632-705-002-093-033+
2026-05-31,38,072,2,2,0,0.000000,0,0.000000,2,2,308:1;390:1,Banawali:1;Harappa:1,<END>:2,baseline,B-17:+236-002-308-072+ | H-68:+090-740-220-003-002-390-072+
2026-05-31,39,190,2,1,1,0.500000,0,0.000000,2,1,297:1;301:1,Mohenjo-daro:2,<END>:1;920:1,baseline,M-53:+090-740-220-016-002-297-190-920-140+ | M-115:+390-844-140-176-803-002-301-190+
2026-05-31,40,216,2,2,0,0.000000,0,0.000000,2,2,000:1;861:1,Harappa:1;Mohenjo-daro:1,<END>:2,baseline,H-446:+740-585-798-002-861-216+ | M-636:+527-555-235-220-032-002-000-216+
2026-05-31,41,346,2,2,0,0.000000,0,0.000000,2,1,390:1;904:1,Mohenjo-daro:2,<END>:2,baseline,M-213:+740-384-002-390-346+ | M-1319:]798-806-002-904-346+
2026-05-31,42,360,2,1,1,0.500000,0,0.000000,2,2,293:1;861:1,Harappa:1;Mohenjo-daro:1,<END>:1;520:1,baseline,H-1706:+405-003-002-293-360+ | M-355:+740-877-032-033-705-231-235-002-861-360-520-919-140+
2026-05-31,43,416,2,2,0,0.000000,0,0.000000,2,2,297:1;861:1,Harappa:1;Mohenjo-daro:1,<END>:2,baseline,H-910:+002-861-416+ | M-114:+740-760-440-002-297-416+
2026-05-31,44,502,2,2,0,0.000000,0,0.000000,2,1,031:1;295:1,Mohenjo-daro:2,<END>:2,baseline,M-181:+520-175-002-295-502+ | M-678:+740-752-006-503-236-806-002-031-502+
2026-05-31,45,511,2,2,0,0.000000,0,0.000000,2,2,455:1;460:1,Harappa:1;Mohenjo-daro:1,<END>:2,baseline,H-426:]000-240-235-002-460-511+ | M-1907:+390-005-002-455-511+
2026-05-31,46,700,2,2,0,0.000000,0,0.000000,2,1,111:1;820:1,Mohenjo-daro:2,<END>:2,baseline,M-86:+520-033-705-231-002-820-700+ | M-721:]000-233-002-111-700+
2026-05-31,47,832,2,2,0,0.000000,0,0.000000,2,2,360:1;861:1,Kalibangan:1;Mohenjo-daro:1,<END>:2,baseline,K-89:+090-740-362-002-360-832+ | M-1681:+520-072-233-740-798-002-861-832+
2026-05-31,48,603,3,3,0,0.000000,0,0.000000,1,1,861:3,Mohenjo-daro:3,<END>:3,baseline,M-240:+520-240-220-032-002-861-603+ | M-714:+740-585-017-033-705-233-798-803-002-861-603+ | M-1273:+740-055-002-861-603+
2026-05-31,49,921,2,2,0,0.000000,0,0.000000,1,1,690:2,Harappa:2,<END>:2,baseline,H-1657:+740-405-590-032-900-003-806-235-220-032-002-690-921+ | H-8:+354-001-740-405-590-033-706-002-690-921+
